context: Signs response:	Openingz
context: Please stay with us!\Get out of my way.\I must leave to oversee the organization of the reinforcements.\Behind the safer inner gate?\What the hell are you trying to say?\My actions adhere to the regulations.\I am just following the rules! It is what soldiers are supposed to do!\But if this place falls response:	Silence!
context: Get out of my way.\I must leave to oversee the organization of the reinforcements.\Behind the safer inner gate?\What the hell are you trying to say?\My actions adhere to the regulations.\I am just following the rules! It is what soldiers are supposed to do!\But if this place falls\Silence! response:	If you say one more word, I will consider it as treason and punish you accordingly!
context: I must leave to oversee the organization of the reinforcements.\Behind the safer inner gate?\What the hell are you trying to say?\My actions adhere to the regulations.\I am just following the rules! It is what soldiers are supposed to do!\But if this place falls\Silence!\If you say one more word, I will consider it as treason and punish you accordingly! response:	They should've heard the bells that signaled for retreat.
context: Behind the safer inner gate?\What the hell are you trying to say?\My actions adhere to the regulations.\I am just following the rules! It is what soldiers are supposed to do!\But if this place falls\Silence!\If you say one more word, I will consider it as treason and punish you accordingly!\They should've heard the bells that signaled for retreat. response:	Why aren't they climbing the wall yet?
context: What the hell are you trying to say?\My actions adhere to the regulations.\I am just following the rules! It is what soldiers are supposed to do!\But if this place falls\Silence!\If you say one more word, I will consider it as treason and punish you accordingly!\They should've heard the bells that signaled for retreat.\Why aren't they climbing the wall yet? response:	This is the end...
context: My actions adhere to the regulations.\I am just following the rules! It is what soldiers are supposed to do!\But if this place falls\Silence!\If you say one more word, I will consider it as treason and punish you accordingly!\They should've heard the bells that signaled for retreat.\Why aren't they climbing the wall yet?\This is the end... response:	We're done for.
context: I am just following the rules! It is what soldiers are supposed to do!\But if this place falls\Silence!\If you say one more word, I will consider it as treason and punish you accordingly!\They should've heard the bells that signaled for retreat.\Why aren't they climbing the wall yet?\This is the end...\We're done for. response:	Great.
context: But if this place falls\Silence!\If you say one more word, I will consider it as treason and punish you accordingly!\They should've heard the bells that signaled for retreat.\Why aren't they climbing the wall yet?\This is the end...\We're done for.\Great. response:	What's the point of that?
context: Silence!\If you say one more word, I will consider it as treason and punish you accordingly!\They should've heard the bells that signaled for retreat.\Why aren't they climbing the wall yet?\This is the end...\We're done for.\Great.\What's the point of that? response:	Hey, Jean! What do we do now?
context: If you say one more word, I will consider it as treason and punish you accordingly!\They should've heard the bells that signaled for retreat.\Why aren't they climbing the wall yet?\This is the end...\We're done for.\Great.\What's the point of that?\Hey, Jean! What do we do now? response:	What can we do?
context: They should've heard the bells that signaled for retreat.\Why aren't they climbing the wall yet?\This is the end...\We're done for.\Great.\What's the point of that?\Hey, Jean! What do we do now?\What can we do? response:	We finally received the order to retreat, but we can't get over the wall because we're out of gas.
context: Why aren't they climbing the wall yet?\This is the end...\We're done for.\Great.\What's the point of that?\Hey, Jean! What do we do now?\What can we do?\We finally received the order to retreat, but we can't get over the wall because we're out of gas. response:	We're all going to die.
context: This is the end...\We're done for.\Great.\What's the point of that?\Hey, Jean! What do we do now?\What can we do?\We finally received the order to retreat, but we can't get over the wall because we're out of gas.\We're all going to die. response:	Thanks to those fucking cowards...
context: We're done for.\Great.\What's the point of that?\Hey, Jean! What do we do now?\What can we do?\We finally received the order to retreat, but we can't get over the wall because we're out of gas.\We're all going to die.\Thanks to those fucking cowards... response:	You mean the support squads?
context: Great.\What's the point of that?\Hey, Jean! What do we do now?\What can we do?\We finally received the order to retreat, but we can't get over the wall because we're out of gas.\We're all going to die.\Thanks to those fucking cowards...\You mean the support squads? response:	What happened to them?
context: What's the point of that?\Hey, Jean! What do we do now?\What can we do?\We finally received the order to retreat, but we can't get over the wall because we're out of gas.\We're all going to die.\Thanks to those fucking cowards...\You mean the support squads?\What happened to them? response:	Are they all dead?
context: Hey, Jean! What do we do now?\What can we do?\We finally received the order to retreat, but we can't get over the wall because we're out of gas.\We're all going to die.\Thanks to those fucking cowards...\You mean the support squads?\What happened to them?\Are they all dead? response:	They probably lost their will to fight.
context: What can we do?\We finally received the order to retreat, but we can't get over the wall because we're out of gas.\We're all going to die.\Thanks to those fucking cowards...\You mean the support squads?\What happened to them?\Are they all dead?\They probably lost their will to fight. response:	I understand how they feel.
context: We finally received the order to retreat, but we can't get over the wall because we're out of gas.\We're all going to die.\Thanks to those fucking cowards...\You mean the support squads?\What happened to them?\Are they all dead?\They probably lost their will to fight.\I understand how they feel. response:	But I doubt they've abandoned their mission and barricaded themselves away in the HQ.
context: We're all going to die.\Thanks to those fucking cowards...\You mean the support squads?\What happened to them?\Are they all dead?\They probably lost their will to fight.\I understand how they feel.\But I doubt they've abandoned their mission and barricaded themselves away in the HQ. response:	I'm guessing the Titans have them surrounded, which is why they can't supply us with gas.
context: Thanks to those fucking cowards...\You mean the support squads?\What happened to them?\Are they all dead?\They probably lost their will to fight.\I understand how they feel.\But I doubt they've abandoned their mission and barricaded themselves away in the HQ.\I'm guessing the Titans have them surrounded, which is why they can't supply us with gas. response:	That's exactly why we have no choice but to go all in on those Titans!
context: You mean the support squads?\What happened to them?\Are they all dead?\They probably lost their will to fight.\I understand how they feel.\But I doubt they've abandoned their mission and barricaded themselves away in the HQ.\I'm guessing the Titans have them surrounded, which is why they can't supply us with gas.\That's exactly why we have no choice but to go all in on those Titans! response:	Sitting here and waiting to die isn't going to make a difference!
context: What happened to them?\Are they all dead?\They probably lost their will to fight.\I understand how they feel.\But I doubt they've abandoned their mission and barricaded themselves away in the HQ.\I'm guessing the Titans have them surrounded, which is why they can't supply us with gas.\That's exactly why we have no choice but to go all in on those Titans!\Sitting here and waiting to die isn't going to make a difference! response:	The Titans are going to surround us too!
context: Are they all dead?\They probably lost their will to fight.\I understand how they feel.\But I doubt they've abandoned their mission and barricaded themselves away in the HQ.\I'm guessing the Titans have them surrounded, which is why they can't supply us with gas.\That's exactly why we have no choice but to go all in on those Titans!\Sitting here and waiting to die isn't going to make a difference!\The Titans are going to surround us too! response:	If we keep running away from them, we'd just end up wasting the little gas we have left.
context: They probably lost their will to fight.\I understand how they feel.\But I doubt they've abandoned their mission and barricaded themselves away in the HQ.\I'm guessing the Titans have them surrounded, which is why they can't supply us with gas.\That's exactly why we have no choice but to go all in on those Titans!\Sitting here and waiting to die isn't going to make a difference!\The Titans are going to surround us too!\If we keep running away from them, we'd just end up wasting the little gas we have left. response:	Once we lose our agility, it'd really be over!
context: I understand how they feel.\But I doubt they've abandoned their mission and barricaded themselves away in the HQ.\I'm guessing the Titans have them surrounded, which is why they can't supply us with gas.\That's exactly why we have no choice but to go all in on those Titans!\Sitting here and waiting to die isn't going to make a difference!\The Titans are going to surround us too!\If we keep running away from them, we'd just end up wasting the little gas we have left.\Once we lose our agility, it'd really be over! response:	I never thought I'd hear you make an intelligent comment, Connie.
context: But I doubt they've abandoned their mission and barricaded themselves away in the HQ.\I'm guessing the Titans have them surrounded, which is why they can't supply us with gas.\That's exactly why we have no choice but to go all in on those Titans!\Sitting here and waiting to die isn't going to make a difference!\The Titans are going to surround us too!\If we keep running away from them, we'd just end up wasting the little gas we have left.\Once we lose our agility, it'd really be over!\I never thought I'd hear you make an intelligent comment, Connie. response:	But how do you propose we do that with the forces we have left?
context: I'm guessing the Titans have them surrounded, which is why they can't supply us with gas.\That's exactly why we have no choice but to go all in on those Titans!\Sitting here and waiting to die isn't going to make a difference!\The Titans are going to surround us too!\If we keep running away from them, we'd just end up wasting the little gas we have left.\Once we lose our agility, it'd really be over!\I never thought I'd hear you make an intelligent comment, Connie.\But how do you propose we do that with the forces we have left? response:	The vanguard has nearly been wiped out.
context: That's exactly why we have no choice but to go all in on those Titans!\Sitting here and waiting to die isn't going to make a difference!\The Titans are going to surround us too!\If we keep running away from them, we'd just end up wasting the little gas we have left.\Once we lose our agility, it'd really be over!\I never thought I'd hear you make an intelligent comment, Connie.\But how do you propose we do that with the forces we have left?\The vanguard has nearly been wiped out. response:	Moreover, which one of us cadets could possibly take command of such an operation?
context: Sitting here and waiting to die isn't going to make a difference!\The Titans are going to surround us too!\If we keep running away from them, we'd just end up wasting the little gas we have left.\Once we lose our agility, it'd really be over!\I never thought I'd hear you make an intelligent comment, Connie.\But how do you propose we do that with the forces we have left?\The vanguard has nearly been wiped out.\Moreover, which one of us cadets could possibly take command of such an operation? response:	Not that we could do anything about the Titans even if someone took command.
context: The Titans are going to surround us too!\If we keep running away from them, we'd just end up wasting the little gas we have left.\Once we lose our agility, it'd really be over!\I never thought I'd hear you make an intelligent comment, Connie.\But how do you propose we do that with the forces we have left?\The vanguard has nearly been wiped out.\Moreover, which one of us cadets could possibly take command of such an operation?\Not that we could do anything about the Titans even if someone took command. response:	The gas storage is probably crawling with 3-4 meter class Titans by now.
context: If we keep running away from them, we'd just end up wasting the little gas we have left.\Once we lose our agility, it'd really be over!\I never thought I'd hear you make an intelligent comment, Connie.\But how do you propose we do that with the forces we have left?\The vanguard has nearly been wiped out.\Moreover, which one of us cadets could possibly take command of such an operation?\Not that we could do anything about the Titans even if someone took command.\The gas storage is probably crawling with 3-4 meter class Titans by now. response:	And of course, we can't fight them inside the storage.
context: Once we lose our agility, it'd really be over!\I never thought I'd hear you make an intelligent comment, Connie.\But how do you propose we do that with the forces we have left?\The vanguard has nearly been wiped out.\Moreover, which one of us cadets could possibly take command of such an operation?\Not that we could do anything about the Titans even if someone took command.\The gas storage is probably crawling with 3-4 meter class Titans by now.\And of course, we can't fight them inside the storage. response:	So it's hopeless?
context: I never thought I'd hear you make an intelligent comment, Connie.\But how do you propose we do that with the forces we have left?\The vanguard has nearly been wiped out.\Moreover, which one of us cadets could possibly take command of such an operation?\Not that we could do anything about the Titans even if someone took command.\The gas storage is probably crawling with 3-4 meter class Titans by now.\And of course, we can't fight them inside the storage.\So it's hopeless? response:	I had such a boring life.
context: But how do you propose we do that with the forces we have left?\The vanguard has nearly been wiped out.\Moreover, which one of us cadets could possibly take command of such an operation?\Not that we could do anything about the Titans even if someone took command.\The gas storage is probably crawling with 3-4 meter class Titans by now.\And of course, we can't fight them inside the storage.\So it's hopeless?\I had such a boring life. response:	If someone told me beforehand...
context: The vanguard has nearly been wiped out.\Moreover, which one of us cadets could possibly take command of such an operation?\Not that we could do anything about the Titans even if someone took command.\The gas storage is probably crawling with 3-4 meter class Titans by now.\And of course, we can't fight them inside the storage.\So it's hopeless?\I had such a boring life.\If someone told me beforehand... response:	Let's do it!
context: Moreover, which one of us cadets could possibly take command of such an operation?\Not that we could do anything about the Titans even if someone took command.\The gas storage is probably crawling with 3-4 meter class Titans by now.\And of course, we can't fight them inside the storage.\So it's hopeless?\I had such a boring life.\If someone told me beforehand...\Let's do it! response:	Stand up! If we all work together, we can do it!
context: Not that we could do anything about the Titans even if someone took command.\The gas storage is probably crawling with 3-4 meter class Titans by now.\And of course, we can't fight them inside the storage.\So it's hopeless?\I had such a boring life.\If someone told me beforehand...\Let's do it!\Stand up! If we all work together, we can do it! response:	I'll be in front!
context: The gas storage is probably crawling with 3-4 meter class Titans by now.\And of course, we can't fight them inside the storage.\So it's hopeless?\I had such a boring life.\If someone told me beforehand...\Let's do it!\Stand up! If we all work together, we can do it!\I'll be in front! response:	Armin! Let's go together and
context: And of course, we can't fight them inside the storage.\So it's hopeless?\I had such a boring life.\If someone told me beforehand...\Let's do it!\Stand up! If we all work together, we can do it!\I'll be in front!\Armin! Let's go together and response:	What now, Reiner?
context: So it's hopeless?\I had such a boring life.\If someone told me beforehand...\Let's do it!\Stand up! If we all work together, we can do it!\I'll be in front!\Armin! Let's go together and\What now, Reiner? response:	It's not time yet. We must group up first.
context: I had such a boring life.\If someone told me beforehand...\Let's do it!\Stand up! If we all work together, we can do it!\I'll be in front!\Armin! Let's go together and\What now, Reiner?\It's not time yet. We must group up first. response:	It's over...
context: If someone told me beforehand...\Let's do it!\Stand up! If we all work together, we can do it!\I'll be in front!\Armin! Let's go together and\What now, Reiner?\It's not time yet. We must group up first.\It's over... response:	No matter what we do, we'll be dead before we make it out of here.
context: Let's do it!\Stand up! If we all work together, we can do it!\I'll be in front!\Armin! Let's go together and\What now, Reiner?\It's not time yet. We must group up first.\It's over...\No matter what we do, we'll be dead before we make it out of here. response:	I mean, I'm prepared to die...
context: Stand up! If we all work together, we can do it!\I'll be in front!\Armin! Let's go together and\What now, Reiner?\It's not time yet. We must group up first.\It's over...\No matter what we do, we'll be dead before we make it out of here.\I mean, I'm prepared to die... response:	But what exactly am I going to die for?
context: I'll be in front!\Armin! Let's go together and\What now, Reiner?\It's not time yet. We must group up first.\It's over...\No matter what we do, we'll be dead before we make it out of here.\I mean, I'm prepared to die...\But what exactly am I going to die for? response:	Mikasa!
context: Armin! Let's go together and\What now, Reiner?\It's not time yet. We must group up first.\It's over...\No matter what we do, we'll be dead before we make it out of here.\I mean, I'm prepared to die...\But what exactly am I going to die for?\Mikasa! response:	Weren't you with the rear guard?
context: What now, Reiner?\It's not time yet. We must group up first.\It's over...\No matter what we do, we'll be dead before we make it out of here.\I mean, I'm prepared to die...\But what exactly am I going to die for?\Mikasa!\Weren't you with the rear guard? response:	Annie!
context: It's not time yet. We must group up first.\It's over...\No matter what we do, we'll be dead before we make it out of here.\I mean, I'm prepared to die...\But what exactly am I going to die for?\Mikasa!\Weren't you with the rear guard?\Annie! response:	I think I understand the situation.
context: It's over...\No matter what we do, we'll be dead before we make it out of here.\I mean, I'm prepared to die...\But what exactly am I going to die for?\Mikasa!\Weren't you with the rear guard?\Annie!\I think I understand the situation. response:	And I apologize for bothering you,
context: No matter what we do, we'll be dead before we make it out of here.\I mean, I'm prepared to die...\But what exactly am I going to die for?\Mikasa!\Weren't you with the rear guard?\Annie!\I think I understand the situation.\And I apologize for bothering you, response:	but have you seen Eren's unit?
context: I mean, I'm prepared to die...\But what exactly am I going to die for?\Mikasa!\Weren't you with the rear guard?\Annie!\I think I understand the situation.\And I apologize for bothering you,\but have you seen Eren's unit? response:	No, and I haven't seen anyone climbed the wall either.
context: But what exactly am I going to die for?\Mikasa!\Weren't you with the rear guard?\Annie!\I think I understand the situation.\And I apologize for bothering you,\but have you seen Eren's unit?\No, and I haven't seen anyone climbed the wall either. response:	Armin's over there, though.
context: Mikasa!\Weren't you with the rear guard?\Annie!\I think I understand the situation.\And I apologize for bothering you,\but have you seen Eren's unit?\No, and I haven't seen anyone climbed the wall either.\Armin's over there, though. response:	Armin!
context: Weren't you with the rear guard?\Annie!\I think I understand the situation.\And I apologize for bothering you,\but have you seen Eren's unit?\No, and I haven't seen anyone climbed the wall either.\Armin's over there, though.\Armin! response:	Mikasa?!
context: Annie!\I think I understand the situation.\And I apologize for bothering you,\but have you seen Eren's unit?\No, and I haven't seen anyone climbed the wall either.\Armin's over there, though.\Armin!\Mikasa?! response:	Crap! How can I look her in the face?
context: I think I understand the situation.\And I apologize for bothering you,\but have you seen Eren's unit?\No, and I haven't seen anyone climbed the wall either.\Armin's over there, though.\Armin!\Mikasa?!\Crap! How can I look her in the face? response:	I don't even deserve to be alive.
context: And I apologize for bothering you,\but have you seen Eren's unit?\No, and I haven't seen anyone climbed the wall either.\Armin's over there, though.\Armin!\Mikasa?!\Crap! How can I look her in the face?\I don't even deserve to be alive. response:	If I knew it'd come to this...
context: but have you seen Eren's unit?\No, and I haven't seen anyone climbed the wall either.\Armin's over there, though.\Armin!\Mikasa?!\Crap! How can I look her in the face?\I don't even deserve to be alive.\If I knew it'd come to this... response:	I should've just died with him!
context: No, and I haven't seen anyone climbed the wall either.\Armin's over there, though.\Armin!\Mikasa?!\Crap! How can I look her in the face?\I don't even deserve to be alive.\If I knew it'd come to this...\I should've just died with him! response:	Armin, are you hurt?
context: Armin's over there, though.\Armin!\Mikasa?!\Crap! How can I look her in the face?\I don't even deserve to be alive.\If I knew it'd come to this...\I should've just died with him!\Armin, are you hurt? response:	Feeling okay?
context: Armin!\Mikasa?!\Crap! How can I look her in the face?\I don't even deserve to be alive.\If I knew it'd come to this...\I should've just died with him!\Armin, are you hurt?\Feeling okay? response:	Where's Eren?
context: Mikasa?!\Crap! How can I look her in the face?\I don't even deserve to be alive.\If I knew it'd come to this...\I should've just died with him!\Armin, are you hurt?\Feeling okay?\Where's Eren? response:	Armin?
context: Crap! How can I look her in the face?\I don't even deserve to be alive.\If I knew it'd come to this...\I should've just died with him!\Armin, are you hurt?\Feeling okay?\Where's Eren?\Armin? response:	Our unit... The 34th cadet unit...
context: I don't even deserve to be alive.\If I knew it'd come to this...\I should've just died with him!\Armin, are you hurt?\Feeling okay?\Where's Eren?\Armin?\Our unit... The 34th cadet unit... response:	Thomas Wagner.
context: If I knew it'd come to this...\I should've just died with him!\Armin, are you hurt?\Feeling okay?\Where's Eren?\Armin?\Our unit... The 34th cadet unit...\Thomas Wagner. response:	Nic Tius.
context: I should've just died with him!\Armin, are you hurt?\Feeling okay?\Where's Eren?\Armin?\Our unit... The 34th cadet unit...\Thomas Wagner.\Nic Tius. response:	Mylius Zeramuski.
context: Armin, are you hurt?\Feeling okay?\Where's Eren?\Armin?\Our unit... The 34th cadet unit...\Thomas Wagner.\Nic Tius.\Mylius Zeramuski. response:	Mina Carolina.
context: Feeling okay?\Where's Eren?\Armin?\Our unit... The 34th cadet unit...\Thomas Wagner.\Nic Tius.\Mylius Zeramuski.\Mina Carolina. response:	Eren Jaeger.
context: Where's Eren?\Armin?\Our unit... The 34th cadet unit...\Thomas Wagner.\Nic Tius.\Mylius Zeramuski.\Mina Carolina.\Eren Jaeger. response:	All five of them have fulfilled their duty
context: Armin?\Our unit... The 34th cadet unit...\Thomas Wagner.\Nic Tius.\Mylius Zeramuski.\Mina Carolina.\Eren Jaeger.\All five of them have fulfilled their duty response:	and died heroic deaths in battle!
context: Our unit... The 34th cadet unit...\Thomas Wagner.\Nic Tius.\Mylius Zeramuski.\Mina Carolina.\Eren Jaeger.\All five of them have fulfilled their duty\and died heroic deaths in battle! response:	No way...
context: Thomas Wagner.\Nic Tius.\Mylius Zeramuski.\Mina Carolina.\Eren Jaeger.\All five of them have fulfilled their duty\and died heroic deaths in battle!\No way... response:	So the 34th unit was nearly wiped out...
context: Nic Tius.\Mylius Zeramuski.\Mina Carolina.\Eren Jaeger.\All five of them have fulfilled their duty\and died heroic deaths in battle!\No way...\So the 34th unit was nearly wiped out... response:	If we fight the Titans, we'll end up like them.
context: Mylius Zeramuski.\Mina Carolina.\Eren Jaeger.\All five of them have fulfilled their duty\and died heroic deaths in battle!\No way...\So the 34th unit was nearly wiped out...\If we fight the Titans, we'll end up like them. response:	I'm sorry, Mikasa.
context: Mina Carolina.\Eren Jaeger.\All five of them have fulfilled their duty\and died heroic deaths in battle!\No way...\So the 34th unit was nearly wiped out...\If we fight the Titans, we'll end up like them.\I'm sorry, Mikasa. response:	Eren died in my stead...
context: Eren Jaeger.\All five of them have fulfilled their duty\and died heroic deaths in battle!\No way...\So the 34th unit was nearly wiped out...\If we fight the Titans, we'll end up like them.\I'm sorry, Mikasa.\Eren died in my stead... response:	I couldn't do anything!
context: All five of them have fulfilled their duty\and died heroic deaths in battle!\No way...\So the 34th unit was nearly wiped out...\If we fight the Titans, we'll end up like them.\I'm sorry, Mikasa.\Eren died in my stead...\I couldn't do anything! response:	I'm so sorry!
context: and died heroic deaths in battle!\No way...\So the 34th unit was nearly wiped out...\If we fight the Titans, we'll end up like them.\I'm sorry, Mikasa.\Eren died in my stead...\I couldn't do anything!\I'm so sorry! response:	Armin.
context: No way...\So the 34th unit was nearly wiped out...\If we fight the Titans, we'll end up like them.\I'm sorry, Mikasa.\Eren died in my stead...\I couldn't do anything!\I'm so sorry!\Armin. response:	Take a deep breath.
