context: In order to conduct a force reconnaissance mission response:	and uncover the secrets behind the Valvraves,
context: I'm gonna take that thing down before it can reach Module 77!\Firing angle correction complete.\Adjusting firing timing...\Fire in 5... 3... 2... 1...\Fire!\They didn't hit!\I seem to recall someone\saying that we used two units, one would be sure to hit! response:	That was me. This is a problem...
context: Firing angle correction complete.\Adjusting firing timing...\Fire in 5... 3... 2... 1...\Fire!\They didn't hit!\I seem to recall someone\saying that we used two units, one would be sure to hit!\That was me. This is a problem... response:	It's not working?
context: Adjusting firing timing...\Fire in 5... 3... 2... 1...\Fire!\They didn't hit!\I seem to recall someone\saying that we used two units, one would be sure to hit!\That was me. This is a problem...\It's not working? response:	Don't be crazy!! You'll never catch up!
context: Fire in 5... 3... 2... 1...\Fire!\They didn't hit!\I seem to recall someone\saying that we used two units, one would be sure to hit!\That was me. This is a problem...\It's not working?\Don't be crazy!! You'll never catch up! response:	If you keep up that speed, you're looking a thermal runaway!
context: Fire!\They didn't hit!\I seem to recall someone\saying that we used two units, one would be sure to hit!\That was me. This is a problem...\It's not working?\Don't be crazy!! You'll never catch up!\If you keep up that speed, you're looking a thermal runaway! response:	But I have to try, anyway!
context: They didn't hit!\I seem to recall someone\saying that we used two units, one would be sure to hit!\That was me. This is a problem...\It's not working?\Don't be crazy!! You'll never catch up!\If you keep up that speed, you're looking a thermal runaway!\But I have to try, anyway! response:	Come on, reach!
context: I seem to recall someone\saying that we used two units, one would be sure to hit!\That was me. This is a problem...\It's not working?\Don't be crazy!! You'll never catch up!\If you keep up that speed, you're looking a thermal runaway!\But I have to try, anyway!\Come on, reach! response:	He did it!
context: saying that we used two units, one would be sure to hit!\That was me. This is a problem...\It's not working?\Don't be crazy!! You'll never catch up!\If you keep up that speed, you're looking a thermal runaway!\But I have to try, anyway!\Come on, reach!\He did it! response:	Haruto! That was awesome!
context: That was me. This is a problem...\It's not working?\Don't be crazy!! You'll never catch up!\If you keep up that speed, you're looking a thermal runaway!\But I have to try, anyway!\Come on, reach!\He did it!\Haruto! That was awesome! response:	That was a fluke.
context: It's not working?\Don't be crazy!! You'll never catch up!\If you keep up that speed, you're looking a thermal runaway!\But I have to try, anyway!\Come on, reach!\He did it!\Haruto! That was awesome!\That was a fluke. response:	If we keep fighting this way, we won't win next time.
context: Don't be crazy!! You'll never catch up!\If you keep up that speed, you're looking a thermal runaway!\But I have to try, anyway!\Come on, reach!\He did it!\Haruto! That was awesome!\That was a fluke.\If we keep fighting this way, we won't win next time. response:	Maybe, but right now, this is the best we can do.
context: If you keep up that speed, you're looking a thermal runaway!\But I have to try, anyway!\Come on, reach!\He did it!\Haruto! That was awesome!\That was a fluke.\If we keep fighting this way, we won't win next time.\Maybe, but right now, this is the best we can do. response:	Now that we've lost him as an asset...
context: But I have to try, anyway!\Come on, reach!\He did it!\Haruto! That was awesome!\That was a fluke.\If we keep fighting this way, we won't win next time.\Maybe, but right now, this is the best we can do.\Now that we've lost him as an asset... response:	How have you been?
context: Come on, reach!\He did it!\Haruto! That was awesome!\That was a fluke.\If we keep fighting this way, we won't win next time.\Maybe, but right now, this is the best we can do.\Now that we've lost him as an asset...\How have you been? response:	You did it! Is everybody okay?
context: He did it!\Haruto! That was awesome!\That was a fluke.\If we keep fighting this way, we won't win next time.\Maybe, but right now, this is the best we can do.\Now that we've lost him as an asset...\How have you been?\You did it! Is everybody okay? response:	Haruto!
context: Haruto! That was awesome!\That was a fluke.\If we keep fighting this way, we won't win next time.\Maybe, but right now, this is the best we can do.\Now that we've lost him as an asset...\How have you been?\You did it! Is everybody okay?\Haruto! response:	Haruto! Thank goodness you're okay, Haruto!
context: That was a fluke.\If we keep fighting this way, we won't win next time.\Maybe, but right now, this is the best we can do.\Now that we've lost him as an asset...\How have you been?\You did it! Is everybody okay?\Haruto!\Haruto! Thank goodness you're okay, Haruto! response:	I'm glad you're okay too, Shoko.
context: If we keep fighting this way, we won't win next time.\Maybe, but right now, this is the best we can do.\Now that we've lost him as an asset...\How have you been?\You did it! Is everybody okay?\Haruto!\Haruto! Thank goodness you're okay, Haruto!\I'm glad you're okay too, Shoko. response:	I have so many stories to tell you!
context: Maybe, but right now, this is the best we can do.\Now that we've lost him as an asset...\How have you been?\You did it! Is everybody okay?\Haruto!\Haruto! Thank goodness you're okay, Haruto!\I'm glad you're okay too, Shoko.\I have so many stories to tell you! response:	Will you listen to them?
context: Now that we've lost him as an asset...\How have you been?\You did it! Is everybody okay?\Haruto!\Haruto! Thank goodness you're okay, Haruto!\I'm glad you're okay too, Shoko.\I have so many stories to tell you!\Will you listen to them? response:	It's good to be back.
context: How have you been?\You did it! Is everybody okay?\Haruto!\Haruto! Thank goodness you're okay, Haruto!\I'm glad you're okay too, Shoko.\I have so many stories to tell you!\Will you listen to them?\It's good to be back. response:	Was it business as usual while we were away?
context: You did it! Is everybody okay?\Haruto!\Haruto! Thank goodness you're okay, Haruto!\I'm glad you're okay too, Shoko.\I have so many stories to tell you!\Will you listen to them?\It's good to be back.\Was it business as usual while we were away? response:	Yes, thankfully. The students were hard at work, too.
context: Haruto!\Haruto! Thank goodness you're okay, Haruto!\I'm glad you're okay too, Shoko.\I have so many stories to tell you!\Will you listen to them?\It's good to be back.\Was it business as usual while we were away?\Yes, thankfully. The students were hard at work, too. response:	Who are they?
context: Haruto! Thank goodness you're okay, Haruto!\I'm glad you're okay too, Shoko.\I have so many stories to tell you!\Will you listen to them?\It's good to be back.\Was it business as usual while we were away?\Yes, thankfully. The students were hard at work, too.\Who are they? response:	Oh, them? JIORan researchers.
context: I'm glad you're okay too, Shoko.\I have so many stories to tell you!\Will you listen to them?\It's good to be back.\Was it business as usual while we were away?\Yes, thankfully. The students were hard at work, too.\Who are they?\Oh, them? JIORan researchers. response:	They were being held prisoner by Dorssia, so we brought them with us.
context: I have so many stories to tell you!\Will you listen to them?\It's good to be back.\Was it business as usual while we were away?\Yes, thankfully. The students were hard at work, too.\Who are they?\Oh, them? JIORan researchers.\They were being held prisoner by Dorssia, so we brought them with us. response:	Researchers?
context: Will you listen to them?\It's good to be back.\Was it business as usual while we were away?\Yes, thankfully. The students were hard at work, too.\Who are they?\Oh, them? JIORan researchers.\They were being held prisoner by Dorssia, so we brought them with us.\Researchers? response:	Iori!
context: It's good to be back.\Was it business as usual while we were away?\Yes, thankfully. The students were hard at work, too.\Who are they?\Oh, them? JIORan researchers.\They were being held prisoner by Dorssia, so we brought them with us.\Researchers?\Iori! response:	Iori! Iori!
context: Was it business as usual while we were away?\Yes, thankfully. The students were hard at work, too.\Who are they?\Oh, them? JIORan researchers.\They were being held prisoner by Dorssia, so we brought them with us.\Researchers?\Iori!\Iori! Iori! response:	Dad!
context: Yes, thankfully. The students were hard at work, too.\Who are they?\Oh, them? JIORan researchers.\They were being held prisoner by Dorssia, so we brought them with us.\Researchers?\Iori!\Iori! Iori!\Dad! response:	Is it you? Is it really you? Dad!
context: Who are they?\Oh, them? JIORan researchers.\They were being held prisoner by Dorssia, so we brought them with us.\Researchers?\Iori!\Iori! Iori!\Dad!\Is it you? Is it really you? Dad! response:	I'm sorry, Iori.
context: Oh, them? JIORan researchers.\They were being held prisoner by Dorssia, so we brought them with us.\Researchers?\Iori!\Iori! Iori!\Dad!\Is it you? Is it really you? Dad!\I'm sorry, Iori. response:	I never meant for this to happen... I'm sorry!
context: They were being held prisoner by Dorssia, so we brought them with us.\Researchers?\Iori!\Iori! Iori!\Dad!\Is it you? Is it really you? Dad!\I'm sorry, Iori.\I never meant for this to happen... I'm sorry! response:	Why are you apologizing, Dad?
context: Researchers?\Iori!\Iori! Iori!\Dad!\Is it you? Is it really you? Dad!\I'm sorry, Iori.\I never meant for this to happen... I'm sorry!\Why are you apologizing, Dad? response:	I don't get it...
context: Iori!\Iori! Iori!\Dad!\Is it you? Is it really you? Dad!\I'm sorry, Iori.\I never meant for this to happen... I'm sorry!\Why are you apologizing, Dad?\I don't get it... response:	You're not making any sense!
context: Iori! Iori!\Dad!\Is it you? Is it really you? Dad!\I'm sorry, Iori.\I never meant for this to happen... I'm sorry!\Why are you apologizing, Dad?\I don't get it...\You're not making any sense! response:	Aw, crap... I'm getting all teary-eyed!
context: Dad!\Is it you? Is it really you? Dad!\I'm sorry, Iori.\I never meant for this to happen... I'm sorry!\Why are you apologizing, Dad?\I don't get it...\You're not making any sense!\Aw, crap... I'm getting all teary-eyed! response:	Mr. Yamada!
context: Is it you? Is it really you? Dad!\I'm sorry, Iori.\I never meant for this to happen... I'm sorry!\Why are you apologizing, Dad?\I don't get it...\You're not making any sense!\Aw, crap... I'm getting all teary-eyed!\Mr. Yamada! response:	You're Raizo Yamada, aren't you? The Valvrave pilot?
context: I'm sorry, Iori.\I never meant for this to happen... I'm sorry!\Why are you apologizing, Dad?\I don't get it...\You're not making any sense!\Aw, crap... I'm getting all teary-eyed!\Mr. Yamada!\You're Raizo Yamada, aren't you? The Valvrave pilot? response:	The name's Thunder! And who are you, mac?
context: I never meant for this to happen... I'm sorry!\Why are you apologizing, Dad?\I don't get it...\You're not making any sense!\Aw, crap... I'm getting all teary-eyed!\Mr. Yamada!\You're Raizo Yamada, aren't you? The Valvrave pilot?\The name's Thunder! And who are you, mac? response:	I'm Burnett, with Golden News.
context: Why are you apologizing, Dad?\I don't get it...\You're not making any sense!\Aw, crap... I'm getting all teary-eyed!\Mr. Yamada!\You're Raizo Yamada, aren't you? The Valvrave pilot?\The name's Thunder! And who are you, mac?\I'm Burnett, with Golden News. response:	Haven't you seen my show?
context: I don't get it...\You're not making any sense!\Aw, crap... I'm getting all teary-eyed!\Mr. Yamada!\You're Raizo Yamada, aren't you? The Valvrave pilot?\The name's Thunder! And who are you, mac?\I'm Burnett, with Golden News.\Haven't you seen my show? response:	Never heard of it. Who are you?
context: You're not making any sense!\Aw, crap... I'm getting all teary-eyed!\Mr. Yamada!\You're Raizo Yamada, aren't you? The Valvrave pilot?\The name's Thunder! And who are you, mac?\I'm Burnett, with Golden News.\Haven't you seen my show?\Never heard of it. Who are you? response:	He's a famous journalist!
context: Aw, crap... I'm getting all teary-eyed!\Mr. Yamada!\You're Raizo Yamada, aren't you? The Valvrave pilot?\The name's Thunder! And who are you, mac?\I'm Burnett, with Golden News.\Haven't you seen my show?\Never heard of it. Who are you?\He's a famous journalist! response:	I asked him to come.
context: Mr. Yamada!\You're Raizo Yamada, aren't you? The Valvrave pilot?\The name's Thunder! And who are you, mac?\I'm Burnett, with Golden News.\Haven't you seen my show?\Never heard of it. Who are you?\He's a famous journalist!\I asked him to come. response:	A documentary series about us is airing every week all across ARUS.
context: You're Raizo Yamada, aren't you? The Valvrave pilot?\The name's Thunder! And who are you, mac?\I'm Burnett, with Golden News.\Haven't you seen my show?\Never heard of it. Who are you?\He's a famous journalist!\I asked him to come.\A documentary series about us is airing every week all across ARUS. response:	We have a lot more people rooting for us now!
context: The name's Thunder! And who are you, mac?\I'm Burnett, with Golden News.\Haven't you seen my show?\Never heard of it. Who are you?\He's a famous journalist!\I asked him to come.\A documentary series about us is airing every week all across ARUS.\We have a lot more people rooting for us now! response:	We're raising a ton of funding and supplies!
context: I'm Burnett, with Golden News.\Haven't you seen my show?\Never heard of it. Who are you?\He's a famous journalist!\I asked him to come.\A documentary series about us is airing every week all across ARUS.\We have a lot more people rooting for us now!\We're raising a ton of funding and supplies! response:	I like to think that I'm not putting out some maudlin tearjerker.
context: Haven't you seen my show?\Never heard of it. Who are you?\He's a famous journalist!\I asked him to come.\A documentary series about us is airing every week all across ARUS.\We have a lot more people rooting for us now!\We're raising a ton of funding and supplies!\I like to think that I'm not putting out some maudlin tearjerker. response:	The increase in your supporters is
context: Never heard of it. Who are you?\He's a famous journalist!\I asked him to come.\A documentary series about us is airing every week all across ARUS.\We have a lot more people rooting for us now!\We're raising a ton of funding and supplies!\I like to think that I'm not putting out some maudlin tearjerker.\The increase in your supporters is response:	purely the result of your own perseverance.
context: He's a famous journalist!\I asked him to come.\A documentary series about us is airing every week all across ARUS.\We have a lot more people rooting for us now!\We're raising a ton of funding and supplies!\I like to think that I'm not putting out some maudlin tearjerker.\The increase in your supporters is\purely the result of your own perseverance. response:	Assume that we had fled without accepting Q-vier's challenge.
context: I asked him to come.\A documentary series about us is airing every week all across ARUS.\We have a lot more people rooting for us now!\We're raising a ton of funding and supplies!\I like to think that I'm not putting out some maudlin tearjerker.\The increase in your supporters is\purely the result of your own perseverance.\Assume that we had fled without accepting Q-vier's challenge. response:	Gunfire from behind, loss of escape route.
context: A documentary series about us is airing every week all across ARUS.\We have a lot more people rooting for us now!\We're raising a ton of funding and supplies!\I like to think that I'm not putting out some maudlin tearjerker.\The increase in your supporters is\purely the result of your own perseverance.\Assume that we had fled without accepting Q-vier's challenge.\Gunfire from behind, loss of escape route. response:	The conclusion I'm led to...
context: We have a lot more people rooting for us now!\We're raising a ton of funding and supplies!\I like to think that I'm not putting out some maudlin tearjerker.\The increase in your supporters is\purely the result of your own perseverance.\Assume that we had fled without accepting Q-vier's challenge.\Gunfire from behind, loss of escape route.\The conclusion I'm led to... response:	It won't work!
context: We're raising a ton of funding and supplies!\I like to think that I'm not putting out some maudlin tearjerker.\The increase in your supporters is\purely the result of your own perseverance.\Assume that we had fled without accepting Q-vier's challenge.\Gunfire from behind, loss of escape route.\The conclusion I'm led to...\It won't work! response:	Back even further?
context: I like to think that I'm not putting out some maudlin tearjerker.\The increase in your supporters is\purely the result of your own perseverance.\Assume that we had fled without accepting Q-vier's challenge.\Gunfire from behind, loss of escape route.\The conclusion I'm led to...\It won't work!\Back even further? response:	The timing of my rescue of her...
context: The increase in your supporters is\purely the result of your own perseverance.\Assume that we had fled without accepting Q-vier's challenge.\Gunfire from behind, loss of escape route.\The conclusion I'm led to...\It won't work!\Back even further?\The timing of my rescue of her... response:	Method of escaping the tower.
context: purely the result of your own perseverance.\Assume that we had fled without accepting Q-vier's challenge.\Gunfire from behind, loss of escape route.\The conclusion I'm led to...\It won't work!\Back even further?\The timing of my rescue of her...\Method of escaping the tower. response:	Buying time until Haruto Tokishima's arrival.
context: Assume that we had fled without accepting Q-vier's challenge.\Gunfire from behind, loss of escape route.\The conclusion I'm led to...\It won't work!\Back even further?\The timing of my rescue of her...\Method of escaping the tower.\Buying time until Haruto Tokishima's arrival. response:	No...
context: Gunfire from behind, loss of escape route.\The conclusion I'm led to...\It won't work!\Back even further?\The timing of my rescue of her...\Method of escaping the tower.\Buying time until Haruto Tokishima's arrival.\No... response:	No matter what I do... I can't save her.
context: The conclusion I'm led to...\It won't work!\Back even further?\The timing of my rescue of her...\Method of escaping the tower.\Buying time until Haruto Tokishima's arrival.\No...\No matter what I do... I can't save her. response:	The conclusion I'm led to...
context: It won't work!\Back even further?\The timing of my rescue of her...\Method of escaping the tower.\Buying time until Haruto Tokishima's arrival.\No...\No matter what I do... I can't save her.\The conclusion I'm led to... response:	Resistance activity is flaring up all across Dorssia.
context: Back even further?\The timing of my rescue of her...\Method of escaping the tower.\Buying time until Haruto Tokishima's arrival.\No...\No matter what I do... I can't save her.\The conclusion I'm led to...\Resistance activity is flaring up all across Dorssia. response:	The Valvraves appear to have become a trigger,
context: The timing of my rescue of her...\Method of escaping the tower.\Buying time until Haruto Tokishima's arrival.\No...\No matter what I do... I can't save her.\The conclusion I'm led to...\Resistance activity is flaring up all across Dorssia.\The Valvraves appear to have become a trigger, response:	and fear towards our military is waning.
context: Method of escaping the tower.\Buying time until Haruto Tokishima's arrival.\No...\No matter what I do... I can't save her.\The conclusion I'm led to...\Resistance activity is flaring up all across Dorssia.\The Valvraves appear to have become a trigger,\and fear towards our military is waning. response:	This gives the impression of formerly docile people suddenly acting out.
context: Buying time until Haruto Tokishima's arrival.\No...\No matter what I do... I can't save her.\The conclusion I'm led to...\Resistance activity is flaring up all across Dorssia.\The Valvraves appear to have become a trigger,\and fear towards our military is waning.\This gives the impression of formerly docile people suddenly acting out. response:	Will Princess Lieselotte's death make her a martyr for the Royalists?
context: No...\No matter what I do... I can't save her.\The conclusion I'm led to...\Resistance activity is flaring up all across Dorssia.\The Valvraves appear to have become a trigger,\and fear towards our military is waning.\This gives the impression of formerly docile people suddenly acting out.\Will Princess Lieselotte's death make her a martyr for the Royalists? response:	I couldn't say, sir.
context: No matter what I do... I can't save her.\The conclusion I'm led to...\Resistance activity is flaring up all across Dorssia.\The Valvraves appear to have become a trigger,\and fear towards our military is waning.\This gives the impression of formerly docile people suddenly acting out.\Will Princess Lieselotte's death make her a martyr for the Royalists?\I couldn't say, sir. response:	More importantly, what do you want done with
context: The conclusion I'm led to...\Resistance activity is flaring up all across Dorssia.\The Valvraves appear to have become a trigger,\and fear towards our military is waning.\This gives the impression of formerly docile people suddenly acting out.\Will Princess Lieselotte's death make her a martyr for the Royalists?\I couldn't say, sir.\More importantly, what do you want done with response:	the captured Valvrave pilot?
context: Resistance activity is flaring up all across Dorssia.\The Valvraves appear to have become a trigger,\and fear towards our military is waning.\This gives the impression of formerly docile people suddenly acting out.\Will Princess Lieselotte's death make her a martyr for the Royalists?\I couldn't say, sir.\More importantly, what do you want done with\the captured Valvrave pilot? response:	Saki Rukino, eh?
context: The Valvraves appear to have become a trigger,\and fear towards our military is waning.\This gives the impression of formerly docile people suddenly acting out.\Will Princess Lieselotte's death make her a martyr for the Royalists?\I couldn't say, sir.\More importantly, what do you want done with\the captured Valvrave pilot?\Saki Rukino, eh? response:	I still can't believe it. How can Marie-senpai be dead?
context: and fear towards our military is waning.\This gives the impression of formerly docile people suddenly acting out.\Will Princess Lieselotte's death make her a martyr for the Royalists?\I couldn't say, sir.\More importantly, what do you want done with\the captured Valvrave pilot?\Saki Rukino, eh?\I still can't believe it. How can Marie-senpai be dead? response:	Did you ever give up hope?
context: This gives the impression of formerly docile people suddenly acting out.\Will Princess Lieselotte's death make her a martyr for the Royalists?\I couldn't say, sir.\More importantly, what do you want done with\the captured Valvrave pilot?\Saki Rukino, eh?\I still can't believe it. How can Marie-senpai be dead?\Did you ever give up hope? response:	To be honest, tons of times.
context: Will Princess Lieselotte's death make her a martyr for the Royalists?\I couldn't say, sir.\More importantly, what do you want done with\the captured Valvrave pilot?\Saki Rukino, eh?\I still can't believe it. How can Marie-senpai be dead?\Did you ever give up hope?\To be honest, tons of times. response:	But I was surrounded by friends.
context: I couldn't say, sir.\More importantly, what do you want done with\the captured Valvrave pilot?\Saki Rukino, eh?\I still can't believe it. How can Marie-senpai be dead?\Did you ever give up hope?\To be honest, tons of times.\But I was surrounded by friends. response:	Your escape from Dorssiana was amazing.
context: More importantly, what do you want done with\the captured Valvrave pilot?\Saki Rukino, eh?\I still can't believe it. How can Marie-senpai be dead?\Did you ever give up hope?\To be honest, tons of times.\But I was surrounded by friends.\Your escape from Dorssiana was amazing. response:	I can't believe you used a shuttle from a museum.
context: the captured Valvrave pilot?\Saki Rukino, eh?\I still can't believe it. How can Marie-senpai be dead?\Did you ever give up hope?\To be honest, tons of times.\But I was surrounded by friends.\Your escape from Dorssiana was amazing.\I can't believe you used a shuttle from a museum. response:	It may have been preserved in working order,
context: Saki Rukino, eh?\I still can't believe it. How can Marie-senpai be dead?\Did you ever give up hope?\To be honest, tons of times.\But I was surrounded by friends.\Your escape from Dorssiana was amazing.\I can't believe you used a shuttle from a museum.\It may have been preserved in working order, response:	but it was still a race against the clock.
context: I still can't believe it. How can Marie-senpai be dead?\Did you ever give up hope?\To be honest, tons of times.\But I was surrounded by friends.\Your escape from Dorssiana was amazing.\I can't believe you used a shuttle from a museum.\It may have been preserved in working order,\but it was still a race against the clock. response:	If it weren't for the schedule I'd worked out down to the second, we-
context: Did you ever give up hope?\To be honest, tons of times.\But I was surrounded by friends.\Your escape from Dorssiana was amazing.\I can't believe you used a shuttle from a museum.\It may have been preserved in working order,\but it was still a race against the clock.\If it weren't for the schedule I'd worked out down to the second, we- response:	The return of the Earthfall operation team
context: To be honest, tons of times.\But I was surrounded by friends.\Your escape from Dorssiana was amazing.\I can't believe you used a shuttle from a museum.\It may have been preserved in working order,\but it was still a race against the clock.\If it weren't for the schedule I'd worked out down to the second, we-\The return of the Earthfall operation team response:	seems to have filled the students with both
context: But I was surrounded by friends.\Your escape from Dorssiana was amazing.\I can't believe you used a shuttle from a museum.\It may have been preserved in working order,\but it was still a race against the clock.\If it weren't for the schedule I'd worked out down to the second, we-\The return of the Earthfall operation team\seems to have filled the students with both response:	fresh sadness as well as confidence.
