context: My fingertips tingle softly. response:	It spreads throughout my entire body like blood,
context: so I thought I'd do it at school.\My, how ambitious...\Oh, yeah, I have a favor to ask.\What?\Miyazawa.\Are you friends with Sakura's gang in 1-D?\Yeah, I am.\If they ever ask you if I'm the same Tonami who was in their middle school, response:	I want you to say you don't know.
context: My, how ambitious...\Oh, yeah, I have a favor to ask.\What?\Miyazawa.\Are you friends with Sakura's gang in 1-D?\Yeah, I am.\If they ever ask you if I'm the same Tonami who was in their middle school,\I want you to say you don't know. response:	Why?
context: Oh, yeah, I have a favor to ask.\What?\Miyazawa.\Are you friends with Sakura's gang in 1-D?\Yeah, I am.\If they ever ask you if I'm the same Tonami who was in their middle school,\I want you to say you don't know.\Why? response:	Well you know, this and that.
context: What?\Miyazawa.\Are you friends with Sakura's gang in 1-D?\Yeah, I am.\If they ever ask you if I'm the same Tonami who was in their middle school,\I want you to say you don't know.\Why?\Well you know, this and that. response:	How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg)
context: Miyazawa.\Are you friends with Sakura's gang in 1-D?\Yeah, I am.\If they ever ask you if I'm the same Tonami who was in their middle school,\I want you to say you don't know.\Why?\Well you know, this and that.\How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg) response:	Get away from me!
context: Are you friends with Sakura's gang in 1-D?\Yeah, I am.\If they ever ask you if I'm the same Tonami who was in their middle school,\I want you to say you don't know.\Why?\Well you know, this and that.\How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg)\Get away from me! response:	Women are always so nosy!
context: Yeah, I am.\If they ever ask you if I'm the same Tonami who was in their middle school,\I want you to say you don't know.\Why?\Well you know, this and that.\How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg)\Get away from me!\Women are always so nosy! response:	They want to know everything
context: If they ever ask you if I'm the same Tonami who was in their middle school,\I want you to say you don't know.\Why?\Well you know, this and that.\How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg)\Get away from me!\Women are always so nosy!\They want to know everything response:	Tell me! Tell me!
context: I want you to say you don't know.\Why?\Well you know, this and that.\How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg)\Get away from me!\Women are always so nosy!\They want to know everything\Tell me! Tell me! response:	Let go! Let go of me now!
context: Why?\Well you know, this and that.\How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg)\Get away from me!\Women are always so nosy!\They want to know everything\Tell me! Tell me!\Let go! Let go of me now! response:	Oh, and one more thing.
context: Well you know, this and that.\How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg)\Get away from me!\Women are always so nosy!\They want to know everything\Tell me! Tell me!\Let go! Let go of me now!\Oh, and one more thing. response:	Huh?
context: How INTERESTING! What's going on? Tell me! Tell me why! (Text:Tell me! Tell me! Arrrg)\Get away from me!\Women are always so nosy!\They want to know everything\Tell me! Tell me!\Let go! Let go of me now!\Oh, and one more thing.\Huh? response:	A weirdo like you doesn't suit Arima at all!
context: Get away from me!\Women are always so nosy!\They want to know everything\Tell me! Tell me!\Let go! Let go of me now!\Oh, and one more thing.\Huh?\A weirdo like you doesn't suit Arima at all! response:	What?! Is that how you talk to someone of whom you've asked a favor?!
context: Women are always so nosy!\They want to know everything\Tell me! Tell me!\Let go! Let go of me now!\Oh, and one more thing.\Huh?\A weirdo like you doesn't suit Arima at all!\What?! Is that how you talk to someone of whom you've asked a favor?! response:	I don't want to hear that from you! You're the worst!
context: They want to know everything\Tell me! Tell me!\Let go! Let go of me now!\Oh, and one more thing.\Huh?\A weirdo like you doesn't suit Arima at all!\What?! Is that how you talk to someone of whom you've asked a favor?!\I don't want to hear that from you! You're the worst! response:	You don't suit Arima either!
context: Tell me! Tell me!\Let go! Let go of me now!\Oh, and one more thing.\Huh?\A weirdo like you doesn't suit Arima at all!\What?! Is that how you talk to someone of whom you've asked a favor?!\I don't want to hear that from you! You're the worst!\You don't suit Arima either! response:	Say, do you know where Miyazawa-san and Isawa-san are?
context: Let go! Let go of me now!\Oh, and one more thing.\Huh?\A weirdo like you doesn't suit Arima at all!\What?! Is that how you talk to someone of whom you've asked a favor?!\I don't want to hear that from you! You're the worst!\You don't suit Arima either!\Say, do you know where Miyazawa-san and Isawa-san are? response:	Gee, they were just here a moment ago.
context: Oh, and one more thing.\Huh?\A weirdo like you doesn't suit Arima at all!\What?! Is that how you talk to someone of whom you've asked a favor?!\I don't want to hear that from you! You're the worst!\You don't suit Arima either!\Say, do you know where Miyazawa-san and Isawa-san are?\Gee, they were just here a moment ago. response:	Oh, okay. Thanks.
context: Huh?\A weirdo like you doesn't suit Arima at all!\What?! Is that how you talk to someone of whom you've asked a favor?!\I don't want to hear that from you! You're the worst!\You don't suit Arima either!\Say, do you know where Miyazawa-san and Isawa-san are?\Gee, they were just here a moment ago.\Oh, okay. Thanks. response:	They got away.
context: A weirdo like you doesn't suit Arima at all!\What?! Is that how you talk to someone of whom you've asked a favor?!\I don't want to hear that from you! You're the worst!\You don't suit Arima either!\Say, do you know where Miyazawa-san and Isawa-san are?\Gee, they were just here a moment ago.\Oh, okay. Thanks.\They got away. response:	Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class.
context: What?! Is that how you talk to someone of whom you've asked a favor?!\I don't want to hear that from you! You're the worst!\You don't suit Arima either!\Say, do you know where Miyazawa-san and Isawa-san are?\Gee, they were just here a moment ago.\Oh, okay. Thanks.\They got away.\Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class. response:	Why me?
context: I don't want to hear that from you! You're the worst!\You don't suit Arima either!\Say, do you know where Miyazawa-san and Isawa-san are?\Gee, they were just here a moment ago.\Oh, okay. Thanks.\They got away.\Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class.\Why me? response:	I wish she'd give up already.
context: You don't suit Arima either!\Say, do you know where Miyazawa-san and Isawa-san are?\Gee, they were just here a moment ago.\Oh, okay. Thanks.\They got away.\Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class.\Why me?\I wish she'd give up already. response:	What?! Is she here?!
context: Say, do you know where Miyazawa-san and Isawa-san are?\Gee, they were just here a moment ago.\Oh, okay. Thanks.\They got away.\Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class.\Why me?\I wish she'd give up already.\What?! Is she here?! response:	Is she coming?!
context: Gee, they were just here a moment ago.\Oh, okay. Thanks.\They got away.\Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class.\Why me?\I wish she'd give up already.\What?! Is she here?!\Is she coming?! response:	Hey, wait! wait! wait!!
context: Oh, okay. Thanks.\They got away.\Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class.\Why me?\I wish she'd give up already.\What?! Is she here?!\Is she coming?!\Hey, wait! wait! wait!! response:	AAAh
context: They got away.\Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class.\Why me?\I wish she'd give up already.\What?! Is she here?!\Is she coming?!\Hey, wait! wait! wait!!\AAAh response:	Run for it!
context: Sheesh, if she keeps coming by everyday like this we can't sit peacefully in class.\Why me?\I wish she'd give up already.\What?! Is she here?!\Is she coming?!\Hey, wait! wait! wait!!\AAAh\Run for it! response:	Two unfinished drinks...
context: Why me?\I wish she'd give up already.\What?! Is she here?!\Is she coming?!\Hey, wait! wait! wait!!\AAAh\Run for it!\Two unfinished drinks... response:	According to tips from outside sources,
context: I wish she'd give up already.\What?! Is she here?!\Is she coming?!\Hey, wait! wait! wait!!\AAAh\Run for it!\Two unfinished drinks...\According to tips from outside sources, response:	there's no doubt they were here just now.
context: What?! Is she here?!\Is she coming?!\Hey, wait! wait! wait!!\AAAh\Run for it!\Two unfinished drinks...\According to tips from outside sources,\there's no doubt they were here just now. response:	Considering their past trend in escape routes,
context: Is she coming?!\Hey, wait! wait! wait!!\AAAh\Run for it!\Two unfinished drinks...\According to tips from outside sources,\there's no doubt they were here just now.\Considering their past trend in escape routes, response:	the place where they would likely go to next is...
context: Hey, wait! wait! wait!!\AAAh\Run for it!\Two unfinished drinks...\According to tips from outside sources,\there's no doubt they were here just now.\Considering their past trend in escape routes,\the place where they would likely go to next is... response:	If we just stay here for a while...
context: AAAh\Run for it!\Two unfinished drinks...\According to tips from outside sources,\there's no doubt they were here just now.\Considering their past trend in escape routes,\the place where they would likely go to next is...\If we just stay here for a while... response:	Fancy meeting you in a place like this.
context: Run for it!\Two unfinished drinks...\According to tips from outside sources,\there's no doubt they were here just now.\Considering their past trend in escape routes,\the place where they would likely go to next is...\If we just stay here for a while...\Fancy meeting you in a place like this. response:	I won't do it.
context: Two unfinished drinks...\According to tips from outside sources,\there's no doubt they were here just now.\Considering their past trend in escape routes,\the place where they would likely go to next is...\If we just stay here for a while...\Fancy meeting you in a place like this.\I won't do it. response:	A play is just unreasonable.
context: According to tips from outside sources,\there's no doubt they were here just now.\Considering their past trend in escape routes,\the place where they would likely go to next is...\If we just stay here for a while...\Fancy meeting you in a place like this.\I won't do it.\A play is just unreasonable. response:	Come on, I'm not here for that today.
context: there's no doubt they were here just now.\Considering their past trend in escape routes,\the place where they would likely go to next is...\If we just stay here for a while...\Fancy meeting you in a place like this.\I won't do it.\A play is just unreasonable.\Come on, I'm not here for that today. response:	I just wanted to chat with you two.
context: Considering their past trend in escape routes,\the place where they would likely go to next is...\If we just stay here for a while...\Fancy meeting you in a place like this.\I won't do it.\A play is just unreasonable.\Come on, I'm not here for that today.\I just wanted to chat with you two. response:	Really?
context: the place where they would likely go to next is...\If we just stay here for a while...\Fancy meeting you in a place like this.\I won't do it.\A play is just unreasonable.\Come on, I'm not here for that today.\I just wanted to chat with you two.\Really? response:	Really
context: If we just stay here for a while...\Fancy meeting you in a place like this.\I won't do it.\A play is just unreasonable.\Come on, I'm not here for that today.\I just wanted to chat with you two.\Really?\Really response:	See, I don't have the screenplay on me, do I?
context: Fancy meeting you in a place like this.\I won't do it.\A play is just unreasonable.\Come on, I'm not here for that today.\I just wanted to chat with you two.\Really?\Really\See, I don't have the screenplay on me, do I? response:	I said no!
context: I won't do it.\A play is just unreasonable.\Come on, I'm not here for that today.\I just wanted to chat with you two.\Really?\Really\See, I don't have the screenplay on me, do I?\I said no! response:	Wait! Wait up, Yukinon!
context: A play is just unreasonable.\Come on, I'm not here for that today.\I just wanted to chat with you two.\Really?\Really\See, I don't have the screenplay on me, do I?\I said no!\Wait! Wait up, Yukinon! response:	That's odd, where'd they go?
context: Come on, I'm not here for that today.\I just wanted to chat with you two.\Really?\Really\See, I don't have the screenplay on me, do I?\I said no!\Wait! Wait up, Yukinon!\That's odd, where'd they go? response:	Hey, have you see Miyazawa-san?
context: I just wanted to chat with you two.\Really?\Really\See, I don't have the screenplay on me, do I?\I said no!\Wait! Wait up, Yukinon!\That's odd, where'd they go?\Hey, have you see Miyazawa-san? response:	Th-they went that way.
context: Really?\Really\See, I don't have the screenplay on me, do I?\I said no!\Wait! Wait up, Yukinon!\That's odd, where'd they go?\Hey, have you see Miyazawa-san?\Th-they went that way. response:	Thanks.
context: Really\See, I don't have the screenplay on me, do I?\I said no!\Wait! Wait up, Yukinon!\That's odd, where'd they go?\Hey, have you see Miyazawa-san?\Th-they went that way.\Thanks. response:	Yeah right!
context: See, I don't have the screenplay on me, do I?\I said no!\Wait! Wait up, Yukinon!\That's odd, where'd they go?\Hey, have you see Miyazawa-san?\Th-they went that way.\Thanks.\Yeah right! response:	I didn't think so.
context: I said no!\Wait! Wait up, Yukinon!\That's odd, where'd they go?\Hey, have you see Miyazawa-san?\Th-they went that way.\Thanks.\Yeah right!\I didn't think so. response:	Did you really think it would work?
context: Wait! Wait up, Yukinon!\That's odd, where'd they go?\Hey, have you see Miyazawa-san?\Th-they went that way.\Thanks.\Yeah right!\I didn't think so.\Did you really think it would work? response:	Stop! Stop, I say! You could at least listen!
context: That's odd, where'd they go?\Hey, have you see Miyazawa-san?\Th-they went that way.\Thanks.\Yeah right!\I didn't think so.\Did you really think it would work?\Stop! Stop, I say! You could at least listen! response:	In here!
context: Hey, have you see Miyazawa-san?\Th-they went that way.\Thanks.\Yeah right!\I didn't think so.\Did you really think it would work?\Stop! Stop, I say! You could at least listen!\In here! response:	No way?!
context: Th-they went that way.\Thanks.\Yeah right!\I didn't think so.\Did you really think it would work?\Stop! Stop, I say! You could at least listen!\In here!\No way?! response:	I wonder if we lost her.
context: Thanks.\Yeah right!\I didn't think so.\Did you really think it would work?\Stop! Stop, I say! You could at least listen!\In here!\No way?!\I wonder if we lost her. response:	She's really persistent today.
context: Yeah right!\I didn't think so.\Did you really think it would work?\Stop! Stop, I say! You could at least listen!\In here!\No way?!\I wonder if we lost her.\She's really persistent today. response:	How can we get her to give up?
context: I didn't think so.\Did you really think it would work?\Stop! Stop, I say! You could at least listen!\In here!\No way?!\I wonder if we lost her.\She's really persistent today.\How can we get her to give up? response:	I know, I could say I'll be busy on the Culture Fair committee and I won't have the time.
context: Did you really think it would work?\Stop! Stop, I say! You could at least listen!\In here!\No way?!\I wonder if we lost her.\She's really persistent today.\How can we get her to give up?\I know, I could say I'll be busy on the Culture Fair committee and I won't have the time. response:	Not fair! Trying to save yourself?! What about friendship? Friendship?!
context: Stop! Stop, I say! You could at least listen!\In here!\No way?!\I wonder if we lost her.\She's really persistent today.\How can we get her to give up?\I know, I could say I'll be busy on the Culture Fair committee and I won't have the time.\Not fair! Trying to save yourself?! What about friendship? Friendship?! response:	Forgive me...
context: In here!\No way?!\I wonder if we lost her.\She's really persistent today.\How can we get her to give up?\I know, I could say I'll be busy on the Culture Fair committee and I won't have the time.\Not fair! Trying to save yourself?! What about friendship? Friendship?!\Forgive me... response:	Arima-kun's on the kendo team too.
context: No way?!\I wonder if we lost her.\She's really persistent today.\How can we get her to give up?\I know, I could say I'll be busy on the Culture Fair committee and I won't have the time.\Not fair! Trying to save yourself?! What about friendship? Friendship?!\Forgive me...\Arima-kun's on the kendo team too. response:	Found you.
context: I wonder if we lost her.\She's really persistent today.\How can we get her to give up?\I know, I could say I'll be busy on the Culture Fair committee and I won't have the time.\Not fair! Trying to save yourself?! What about friendship? Friendship?!\Forgive me...\Arima-kun's on the kendo team too.\Found you. response:	You found us.
context: She's really persistent today.\How can we get her to give up?\I know, I could say I'll be busy on the Culture Fair committee and I won't have the time.\Not fair! Trying to save yourself?! What about friendship? Friendship?!\Forgive me...\Arima-kun's on the kendo team too.\Found you.\You found us. response:	The play.
context: How can we get her to give up?\I know, I could say I'll be busy on the Culture Fair committee and I won't have the time.\Not fair! Trying to save yourself?! What about friendship? Friendship?!\Forgive me...\Arima-kun's on the kendo team too.\Found you.\You found us.\The play. response:	I finally cornered you today. You keep sneaking around...
context: I know, I could say I'll be busy on the Culture Fair committee and I won't have the time.\Not fair! Trying to save yourself?! What about friendship? Friendship?!\Forgive me...\Arima-kun's on the kendo team too.\Found you.\You found us.\The play.\I finally cornered you today. You keep sneaking around... response:	You're going to hear me out today.
context: Not fair! Trying to save yourself?! What about friendship? Friendship?!\Forgive me...\Arima-kun's on the kendo team too.\Found you.\You found us.\The play.\I finally cornered you today. You keep sneaking around...\You're going to hear me out today. response:	We don't have to hear you out, we're not doing it.
context: Forgive me...\Arima-kun's on the kendo team too.\Found you.\You found us.\The play.\I finally cornered you today. You keep sneaking around...\You're going to hear me out today.\We don't have to hear you out, we're not doing it. response:	You could at least listen!
context: Arima-kun's on the kendo team too.\Found you.\You found us.\The play.\I finally cornered you today. You keep sneaking around...\You're going to hear me out today.\We don't have to hear you out, we're not doing it.\You could at least listen! response:	You're lying!
context: Found you.\You found us.\The play.\I finally cornered you today. You keep sneaking around...\You're going to hear me out today.\We don't have to hear you out, we're not doing it.\You could at least listen!\You're lying! response:	Those eyes tell us you're trying to snare us in by hook or by crook!
context: You found us.\The play.\I finally cornered you today. You keep sneaking around...\You're going to hear me out today.\We don't have to hear you out, we're not doing it.\You could at least listen!\You're lying!\Those eyes tell us you're trying to snare us in by hook or by crook! response:	Acting in front of people isn't our style!
context: The play.\I finally cornered you today. You keep sneaking around...\You're going to hear me out today.\We don't have to hear you out, we're not doing it.\You could at least listen!\You're lying!\Those eyes tell us you're trying to snare us in by hook or by crook!\Acting in front of people isn't our style! response:	Style? Well that's strange, Yukinon.
context: I finally cornered you today. You keep sneaking around...\You're going to hear me out today.\We don't have to hear you out, we're not doing it.\You could at least listen!\You're lying!\Those eyes tell us you're trying to snare us in by hook or by crook!\Acting in front of people isn't our style!\Style? Well that's strange, Yukinon. response:	Although you've come out of the closet, are you saying that you,
context: You're going to hear me out today.\We don't have to hear you out, we're not doing it.\You could at least listen!\You're lying!\Those eyes tell us you're trying to snare us in by hook or by crook!\Acting in front of people isn't our style!\Style? Well that's strange, Yukinon.\Although you've come out of the closet, are you saying that you, response:	the masked girl who acted as the beautiful model student all these years,
context: We don't have to hear you out, we're not doing it.\You could at least listen!\You're lying!\Those eyes tell us you're trying to snare us in by hook or by crook!\Acting in front of people isn't our style!\Style? Well that's strange, Yukinon.\Although you've come out of the closet, are you saying that you,\the masked girl who acted as the beautiful model student all these years, response:	can't act in front of people?
context: You could at least listen!\You're lying!\Those eyes tell us you're trying to snare us in by hook or by crook!\Acting in front of people isn't our style!\Style? Well that's strange, Yukinon.\Although you've come out of the closet, are you saying that you,\the masked girl who acted as the beautiful model student all these years,\can't act in front of people? response:	You must know the ecstacy you feel of having others under your spell
context: You're lying!\Those eyes tell us you're trying to snare us in by hook or by crook!\Acting in front of people isn't our style!\Style? Well that's strange, Yukinon.\Although you've come out of the closet, are you saying that you,\the masked girl who acted as the beautiful model student all these years,\can't act in front of people?\You must know the ecstacy you feel of having others under your spell response:	the moment you become someone not yourself.
context: Those eyes tell us you're trying to snare us in by hook or by crook!\Acting in front of people isn't our style!\Style? Well that's strange, Yukinon.\Although you've come out of the closet, are you saying that you,\the masked girl who acted as the beautiful model student all these years,\can't act in front of people?\You must know the ecstacy you feel of having others under your spell\the moment you become someone not yourself. response:	Have you really forgotten?
context: Acting in front of people isn't our style!\Style? Well that's strange, Yukinon.\Although you've come out of the closet, are you saying that you,\the masked girl who acted as the beautiful model student all these years,\can't act in front of people?\You must know the ecstacy you feel of having others under your spell\the moment you become someone not yourself.\Have you really forgotten? response:	Can you forget those days full of praise, in these mundane times?
context: Style? Well that's strange, Yukinon.\Although you've come out of the closet, are you saying that you,\the masked girl who acted as the beautiful model student all these years,\can't act in front of people?\You must know the ecstacy you feel of having others under your spell\the moment you become someone not yourself.\Have you really forgotten?\Can you forget those days full of praise, in these mundane times? response:	You cannot go on living without acting!!
context: Although you've come out of the closet, are you saying that you,\the masked girl who acted as the beautiful model student all these years,\can't act in front of people?\You must know the ecstacy you feel of having others under your spell\the moment you become someone not yourself.\Have you really forgotten?\Can you forget those days full of praise, in these mundane times?\You cannot go on living without acting!! response:	Shut up!
context: the masked girl who acted as the beautiful model student all these years,\can't act in front of people?\You must know the ecstacy you feel of having others under your spell\the moment you become someone not yourself.\Have you really forgotten?\Can you forget those days full of praise, in these mundane times?\You cannot go on living without acting!!\Shut up! response:	I'm not going to be tricked by the magic of words!
context: can't act in front of people?\You must know the ecstacy you feel of having others under your spell\the moment you become someone not yourself.\Have you really forgotten?\Can you forget those days full of praise, in these mundane times?\You cannot go on living without acting!!\Shut up!\I'm not going to be tricked by the magic of words! response:	No, no, no, I said no!
context: You must know the ecstacy you feel of having others under your spell\the moment you become someone not yourself.\Have you really forgotten?\Can you forget those days full of praise, in these mundane times?\You cannot go on living without acting!!\Shut up!\I'm not going to be tricked by the magic of words!\No, no, no, I said no! response:	Tsubasa-chan, you're not going to act either, right?
context: the moment you become someone not yourself.\Have you really forgotten?\Can you forget those days full of praise, in these mundane times?\You cannot go on living without acting!!\Shut up!\I'm not going to be tricked by the magic of words!\No, no, no, I said no!\Tsubasa-chan, you're not going to act either, right? response:	I don't mind.
context: Have you really forgotten?\Can you forget those days full of praise, in these mundane times?\You cannot go on living without acting!!\Shut up!\I'm not going to be tricked by the magic of words!\No, no, no, I said no!\Tsubasa-chan, you're not going to act either, right?\I don't mind. response:	What?!
context: Can you forget those days full of praise, in these mundane times?\You cannot go on living without acting!!\Shut up!\I'm not going to be tricked by the magic of words!\No, no, no, I said no!\Tsubasa-chan, you're not going to act either, right?\I don't mind.\What?! response:	She's been bought off...
context: You cannot go on living without acting!!\Shut up!\I'm not going to be tricked by the magic of words!\No, no, no, I said no!\Tsubasa-chan, you're not going to act either, right?\I don't mind.\What?!\She's been bought off... response:	It's not like she's in kindergarten any more...
context: Shut up!\I'm not going to be tricked by the magic of words!\No, no, no, I said no!\Tsubasa-chan, you're not going to act either, right?\I don't mind.\What?!\She's been bought off...\It's not like she's in kindergarten any more... response:	And so...
context: I'm not going to be tricked by the magic of words!\No, no, no, I said no!\Tsubasa-chan, you're not going to act either, right?\I don't mind.\What?!\She's been bought off...\It's not like she's in kindergarten any more...\And so... response:	C'mon! Let's do it!
context: No, no, no, I said no!\Tsubasa-chan, you're not going to act either, right?\I don't mind.\What?!\She's been bought off...\It's not like she's in kindergarten any more...\And so...\C'mon! Let's do it! response:	Share the sweet dream with me!
context: Tsubasa-chan, you're not going to act either, right?\I don't mind.\What?!\She's been bought off...\It's not like she's in kindergarten any more...\And so...\C'mon! Let's do it!\Share the sweet dream with me! response:	No!
context: I don't mind.\What?!\She's been bought off...\It's not like she's in kindergarten any more...\And so...\C'mon! Let's do it!\Share the sweet dream with me!\No! response:	If you want to do it so much, do it yourself!
context: What?!\She's been bought off...\It's not like she's in kindergarten any more...\And so...\C'mon! Let's do it!\Share the sweet dream with me!\No!\If you want to do it so much, do it yourself! response:	But I don't fit the image for the story!
context: She's been bought off...\It's not like she's in kindergarten any more...\And so...\C'mon! Let's do it!\Share the sweet dream with me!\No!\If you want to do it so much, do it yourself!\But I don't fit the image for the story! response:	No, no, I won't do it!
context: It's not like she's in kindergarten any more...\And so...\C'mon! Let's do it!\Share the sweet dream with me!\No!\If you want to do it so much, do it yourself!\But I don't fit the image for the story!\No, no, I won't do it! response:	So it's no use.
context: And so...\C'mon! Let's do it!\Share the sweet dream with me!\No!\If you want to do it so much, do it yourself!\But I don't fit the image for the story!\No, no, I won't do it!\So it's no use. response:	No use, No use.
context: C'mon! Let's do it!\Share the sweet dream with me!\No!\If you want to do it so much, do it yourself!\But I don't fit the image for the story!\No, no, I won't do it!\So it's no use.\No use, No use. response:	I knew that it was sudden too.
context: Share the sweet dream with me!\No!\If you want to do it so much, do it yourself!\But I don't fit the image for the story!\No, no, I won't do it!\So it's no use.\No use, No use.\I knew that it was sudden too. response:	I'd really wanted to see it live, with visuals.
context: No!\If you want to do it so much, do it yourself!\But I don't fit the image for the story!\No, no, I won't do it!\So it's no use.\No use, No use.\I knew that it was sudden too.\I'd really wanted to see it live, with visuals. response:	Whew.
context: If you want to do it so much, do it yourself!\But I don't fit the image for the story!\No, no, I won't do it!\So it's no use.\No use, No use.\I knew that it was sudden too.\I'd really wanted to see it live, with visuals.\Whew. response:	She finally gave up.
context: But I don't fit the image for the story!\No, no, I won't do it!\So it's no use.\No use, No use.\I knew that it was sudden too.\I'd really wanted to see it live, with visuals.\Whew.\She finally gave up. response:	I wanted to see it too.
context: No, no, I won't do it!\So it's no use.\No use, No use.\I knew that it was sudden too.\I'd really wanted to see it live, with visuals.\Whew.\She finally gave up.\I wanted to see it too. response:	Everyone would have been perfect for it.
context: So it's no use.\No use, No use.\I knew that it was sudden too.\I'd really wanted to see it live, with visuals.\Whew.\She finally gave up.\I wanted to see it too.\Everyone would have been perfect for it. response:	I wanted to make the costumes for the professor and the android.
context: No use, No use.\I knew that it was sudden too.\I'd really wanted to see it live, with visuals.\Whew.\She finally gave up.\I wanted to see it too.\Everyone would have been perfect for it.\I wanted to make the costumes for the professor and the android. response:	Professor? Android?
context: I knew that it was sudden too.\I'd really wanted to see it live, with visuals.\Whew.\She finally gave up.\I wanted to see it too.\Everyone would have been perfect for it.\I wanted to make the costumes for the professor and the android.\Professor? Android? response:	I don't want to waste it, so I'll convert it into a novel and have my editor take a look at it.
