context: Someone beloved to me... response:	I first learned what that meant... during the winter when I was fifteen years old.
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 6 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 6 ... response:	Jama da ne te wo futta ushirosugata anna ni mou
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 6 ...\Jama da ne te wo futta ushirosugata anna ni mou response:	Yuugure no hitonami ni yurenagara chiisaku naru
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 6 ...\Jama da ne te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru response:	Anata ga kureta kotoba wo hitotsuzutsu
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 6 ...\Jama da ne te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu response:	Omoidashi me wo tojita shiwase na omoi dake
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 6 ...\Jama da ne te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita shiwase na omoi dake response:	Koko ni aru hazu na no ni fuan ni naru
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 6 ...\Jama da ne te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita shiwase na omoi dake\Koko ni aru hazu na no ni fuan ni naru response:	Doushite na no
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 6 ...\Jama da ne te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita shiwase na omoi dake\Koko ni aru hazu na no ni fuan ni naru\Doushite na no response:	Everyone's in the way, I waved my hand, but your back is
context: Episode 6 ...\Jama da ne te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita shiwase na omoi dake\Koko ni aru hazu na no ni fuan ni naru\Doushite na no\Everyone's in the way, I waved my hand, but your back is response:	already swerving through the crowd of people and sinking into the evening sun.
context: Jama da ne te wo futta ushirosugata anna ni mou\Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita shiwase na omoi dake\Koko ni aru hazu na no ni fuan ni naru\Doushite na no\Everyone's in the way, I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun. response:	I closed my eyes and began to remember
context: Yuugure no hitonami ni yurenagara chiisaku naru\Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita shiwase na omoi dake\Koko ni aru hazu na no ni fuan ni naru\Doushite na no\Everyone's in the way, I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember response:	the words you told me. Only happy memories
context: Anata ga kureta kotoba wo hitotsuzutsu\Omoidashi me wo tojita shiwase na omoi dake\Koko ni aru hazu na no ni fuan ni naru\Doushite na no\Everyone's in the way, I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories response:	are supposed to be there, but I became anxious.
context: Omoidashi me wo tojita shiwase na omoi dake\Koko ni aru hazu na no ni fuan ni naru\Doushite na no\Everyone's in the way, I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I became anxious. response:	Why does my...
context: Koko ni aru hazu na no ni fuan ni naru\Doushite na no\Everyone's in the way, I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I became anxious.\Why does my... response:	Yano embraces me.
context: Doushite na no\Everyone's in the way, I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I became anxious.\Why does my...\Yano embraces me. response:	The smoothness of my uniform against my skin feels good.
context: Everyone's in the way, I waved my hand, but your back is\already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I became anxious.\Why does my...\Yano embraces me.\The smoothness of my uniform against my skin feels good. response:	Yano's hands... touch my back.
context: already swerving through the crowd of people and sinking into the evening sun.\I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I became anxious.\Why does my...\Yano embraces me.\The smoothness of my uniform against my skin feels good.\Yano's hands... touch my back. response:	Somehow, I can feel Yano's masculinity really coming through.
context: I closed my eyes and began to remember\the words you told me. Only happy memories\are supposed to be there, but I became anxious.\Why does my...\Yano embraces me.\The smoothness of my uniform against my skin feels good.\Yano's hands... touch my back.\Somehow, I can feel Yano's masculinity really coming through. response:	Yano's fingers run through my hair.
context: the words you told me. Only happy memories\are supposed to be there, but I became anxious.\Why does my...\Yano embraces me.\The smoothness of my uniform against my skin feels good.\Yano's hands... touch my back.\Somehow, I can feel Yano's masculinity really coming through.\Yano's fingers run through my hair. response:	Leaving myself so open to him makes my heart clench up.
context: are supposed to be there, but I became anxious.\Why does my...\Yano embraces me.\The smoothness of my uniform against my skin feels good.\Yano's hands... touch my back.\Somehow, I can feel Yano's masculinity really coming through.\Yano's fingers run through my hair.\Leaving myself so open to him makes my heart clench up. response:	Yano kisses me.
context: Why does my...\Yano embraces me.\The smoothness of my uniform against my skin feels good.\Yano's hands... touch my back.\Somehow, I can feel Yano's masculinity really coming through.\Yano's fingers run through my hair.\Leaving myself so open to him makes my heart clench up.\Yano kisses me. response:	It leaves me so hopeless, unable to think...
context: Yano embraces me.\The smoothness of my uniform against my skin feels good.\Yano's hands... touch my back.\Somehow, I can feel Yano's masculinity really coming through.\Yano's fingers run through my hair.\Leaving myself so open to him makes my heart clench up.\Yano kisses me.\It leaves me so hopeless, unable to think... response:	And... Yano's hands on my chest...
context: The smoothness of my uniform against my skin feels good.\Yano's hands... touch my back.\Somehow, I can feel Yano's masculinity really coming through.\Yano's fingers run through my hair.\Leaving myself so open to him makes my heart clench up.\Yano kisses me.\It leaves me so hopeless, unable to think...\And... Yano's hands on my chest... response:	Wait just a second!!
context: Yano's hands... touch my back.\Somehow, I can feel Yano's masculinity really coming through.\Yano's fingers run through my hair.\Leaving myself so open to him makes my heart clench up.\Yano kisses me.\It leaves me so hopeless, unable to think...\And... Yano's hands on my chest...\Wait just a second!! response:	Let go.
context: Somehow, I can feel Yano's masculinity really coming through.\Yano's fingers run through my hair.\Leaving myself so open to him makes my heart clench up.\Yano kisses me.\It leaves me so hopeless, unable to think...\And... Yano's hands on my chest...\Wait just a second!!\Let go. response:	No!
context: Yano's fingers run through my hair.\Leaving myself so open to him makes my heart clench up.\Yano kisses me.\It leaves me so hopeless, unable to think...\And... Yano's hands on my chest...\Wait just a second!!\Let go.\No! response:	You won't let me?
context: Leaving myself so open to him makes my heart clench up.\Yano kisses me.\It leaves me so hopeless, unable to think...\And... Yano's hands on my chest...\Wait just a second!!\Let go.\No!\You won't let me? response:	Obviously not!
context: Yano kisses me.\It leaves me so hopeless, unable to think...\And... Yano's hands on my chest...\Wait just a second!!\Let go.\No!\You won't let me?\Obviously not! response:	I-Is it that obvious?
context: It leaves me so hopeless, unable to think...\And... Yano's hands on my chest...\Wait just a second!!\Let go.\No!\You won't let me?\Obviously not!\I-Is it that obvious? response:	Y-Yes, for now...
context: And... Yano's hands on my chest...\Wait just a second!!\Let go.\No!\You won't let me?\Obviously not!\I-Is it that obvious?\Y-Yes, for now... response:	If I just touch...
context: Wait just a second!!\Let go.\No!\You won't let me?\Obviously not!\I-Is it that obvious?\Y-Yes, for now...\If I just touch... response:	You wouldn't stop with just a touch.
context: Let go.\No!\You won't let me?\Obviously not!\I-Is it that obvious?\Y-Yes, for now...\If I just touch...\You wouldn't stop with just a touch. response:	The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now.
context: No!\You won't let me?\Obviously not!\I-Is it that obvious?\Y-Yes, for now...\If I just touch...\You wouldn't stop with just a touch.\The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now. response:	Message Sent
context: You won't let me?\Obviously not!\I-Is it that obvious?\Y-Yes, for now...\If I just touch...\You wouldn't stop with just a touch.\The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now.\Message Sent response:	I wonder if I was wrong this afternoon...
context: Obviously not!\I-Is it that obvious?\Y-Yes, for now...\If I just touch...\You wouldn't stop with just a touch.\The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now.\Message Sent\I wonder if I was wrong this afternoon... response:	Though for a second, I thought it might actually be all right...
context: I-Is it that obvious?\Y-Yes, for now...\If I just touch...\You wouldn't stop with just a touch.\The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now.\Message Sent\I wonder if I was wrong this afternoon...\Though for a second, I thought it might actually be all right... response:	Being held tightly by Yano...
context: Y-Yes, for now...\If I just touch...\You wouldn't stop with just a touch.\The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now.\Message Sent\I wonder if I was wrong this afternoon...\Though for a second, I thought it might actually be all right...\Being held tightly by Yano... response:	I'm afraid of what that version of me would be like...
context: If I just touch...\You wouldn't stop with just a touch.\The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now.\Message Sent\I wonder if I was wrong this afternoon...\Though for a second, I thought it might actually be all right...\Being held tightly by Yano...\I'm afraid of what that version of me would be like... response:	I'm sorry, Yano.
context: You wouldn't stop with just a touch.\The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now.\Message Sent\I wonder if I was wrong this afternoon...\Though for a second, I thought it might actually be all right...\Being held tightly by Yano...\I'm afraid of what that version of me would be like...\I'm sorry, Yano. response:	Right now, I'm not really sure what's right.
context: The meeting's finally over. I'm on the bus right now. I think I should be there in about 15 minutes from now.\Message Sent\I wonder if I was wrong this afternoon...\Though for a second, I thought it might actually be all right...\Being held tightly by Yano...\I'm afraid of what that version of me would be like...\I'm sorry, Yano.\Right now, I'm not really sure what's right. response:	I got here before him.
context: Message Sent\I wonder if I was wrong this afternoon...\Though for a second, I thought it might actually be all right...\Being held tightly by Yano...\I'm afraid of what that version of me would be like...\I'm sorry, Yano.\Right now, I'm not really sure what's right.\I got here before him. response:	All of this jewelry's so cute!
context: I wonder if I was wrong this afternoon...\Though for a second, I thought it might actually be all right...\Being held tightly by Yano...\I'm afraid of what that version of me would be like...\I'm sorry, Yano.\Right now, I'm not really sure what's right.\I got here before him.\All of this jewelry's so cute! response:	If you'd like, I can take some out for you.
context: Though for a second, I thought it might actually be all right...\Being held tightly by Yano...\I'm afraid of what that version of me would be like...\I'm sorry, Yano.\Right now, I'm not really sure what's right.\I got here before him.\All of this jewelry's so cute!\If you'd like, I can take some out for you. response:	Yes, please.
context: Being held tightly by Yano...\I'm afraid of what that version of me would be like...\I'm sorry, Yano.\Right now, I'm not really sure what's right.\I got here before him.\All of this jewelry's so cute!\If you'd like, I can take some out for you.\Yes, please. response:	Takeuchi
context: I'm afraid of what that version of me would be like...\I'm sorry, Yano.\Right now, I'm not really sure what's right.\I got here before him.\All of this jewelry's so cute!\If you'd like, I can take some out for you.\Yes, please.\Takeuchi response:	She's such a beautiful woman...
context: I'm sorry, Yano.\Right now, I'm not really sure what's right.\I got here before him.\All of this jewelry's so cute!\If you'd like, I can take some out for you.\Yes, please.\Takeuchi\She's such a beautiful woman... response:	Ah... but I may not be buying anything today, so...
context: Right now, I'm not really sure what's right.\I got here before him.\All of this jewelry's so cute!\If you'd like, I can take some out for you.\Yes, please.\Takeuchi\She's such a beautiful woman...\Ah... but I may not be buying anything today, so... response:	There's nothing wrong with just looking.
context: I got here before him.\All of this jewelry's so cute!\If you'd like, I can take some out for you.\Yes, please.\Takeuchi\She's such a beautiful woman...\Ah... but I may not be buying anything today, so...\There's nothing wrong with just looking. response:	Would you like to try one on?
context: All of this jewelry's so cute!\If you'd like, I can take some out for you.\Yes, please.\Takeuchi\She's such a beautiful woman...\Ah... but I may not be buying anything today, so...\There's nothing wrong with just looking.\Would you like to try one on? response:	Takaha-
context: If you'd like, I can take some out for you.\Yes, please.\Takeuchi\She's such a beautiful woman...\Ah... but I may not be buying anything today, so...\There's nothing wrong with just looking.\Would you like to try one on?\Takaha- response:	Ah, Yano.
context: Yes, please.\Takeuchi\She's such a beautiful woman...\Ah... but I may not be buying anything today, so...\There's nothing wrong with just looking.\Would you like to try one on?\Takaha-\Ah, Yano. response:	Do you think this one's cute?
context: Takeuchi\She's such a beautiful woman...\Ah... but I may not be buying anything today, so...\There's nothing wrong with just looking.\Would you like to try one on?\Takaha-\Ah, Yano.\Do you think this one's cute? response:	Huh? You're Takeuchi-kun's older sister?
context: She's such a beautiful woman...\Ah... but I may not be buying anything today, so...\There's nothing wrong with just looking.\Would you like to try one on?\Takaha-\Ah, Yano.\Do you think this one's cute?\Huh? You're Takeuchi-kun's older sister? response:	A-Ah, Takeuchi-kun is always taking good care of me!
context: Ah... but I may not be buying anything today, so...\There's nothing wrong with just looking.\Would you like to try one on?\Takaha-\Ah, Yano.\Do you think this one's cute?\Huh? You're Takeuchi-kun's older sister?\A-Ah, Takeuchi-kun is always taking good care of me! response:	If you're a friend of Masahami, I can get you a discount as a friend.
context: There's nothing wrong with just looking.\Would you like to try one on?\Takaha-\Ah, Yano.\Do you think this one's cute?\Huh? You're Takeuchi-kun's older sister?\A-Ah, Takeuchi-kun is always taking good care of me!\If you're a friend of Masahami, I can get you a discount as a friend. response:	Really?
context: Would you like to try one on?\Takaha-\Ah, Yano.\Do you think this one's cute?\Huh? You're Takeuchi-kun's older sister?\A-Ah, Takeuchi-kun is always taking good care of me!\If you're a friend of Masahami, I can get you a discount as a friend.\Really? response:	I'm going to buy one now! I'm definitely going to!
context: Takaha-\Ah, Yano.\Do you think this one's cute?\Huh? You're Takeuchi-kun's older sister?\A-Ah, Takeuchi-kun is always taking good care of me!\If you're a friend of Masahami, I can get you a discount as a friend.\Really?\I'm going to buy one now! I'm definitely going to! response:	Yano, do you mind if I look around a little longer?
context: Ah, Yano.\Do you think this one's cute?\Huh? You're Takeuchi-kun's older sister?\A-Ah, Takeuchi-kun is always taking good care of me!\If you're a friend of Masahami, I can get you a discount as a friend.\Really?\I'm going to buy one now! I'm definitely going to!\Yano, do you mind if I look around a little longer? response:	Go ahead.
context: Do you think this one's cute?\Huh? You're Takeuchi-kun's older sister?\A-Ah, Takeuchi-kun is always taking good care of me!\If you're a friend of Masahami, I can get you a discount as a friend.\Really?\I'm going to buy one now! I'm definitely going to!\Yano, do you mind if I look around a little longer?\Go ahead. response:	Why are you acting so surprised?
context: Huh? You're Takeuchi-kun's older sister?\A-Ah, Takeuchi-kun is always taking good care of me!\If you're a friend of Masahami, I can get you a discount as a friend.\Really?\I'm going to buy one now! I'm definitely going to!\Yano, do you mind if I look around a little longer?\Go ahead.\Why are you acting so surprised? response:	I wasn't really surprised or anything.
context: A-Ah, Takeuchi-kun is always taking good care of me!\If you're a friend of Masahami, I can get you a discount as a friend.\Really?\I'm going to buy one now! I'm definitely going to!\Yano, do you mind if I look around a little longer?\Go ahead.\Why are you acting so surprised?\I wasn't really surprised or anything. response:	You've really grown since I last saw you.
context: If you're a friend of Masahami, I can get you a discount as a friend.\Really?\I'm going to buy one now! I'm definitely going to!\Yano, do you mind if I look around a little longer?\Go ahead.\Why are you acting so surprised?\I wasn't really surprised or anything.\You've really grown since I last saw you. response:	Your girlfriend's cute. She seems like a good girl.
context: Really?\I'm going to buy one now! I'm definitely going to!\Yano, do you mind if I look around a little longer?\Go ahead.\Why are you acting so surprised?\I wasn't really surprised or anything.\You've really grown since I last saw you.\Your girlfriend's cute. She seems like a good girl. response:	Ah, well, I suppose.
context: I'm going to buy one now! I'm definitely going to!\Yano, do you mind if I look around a little longer?\Go ahead.\Why are you acting so surprised?\I wasn't really surprised or anything.\You've really grown since I last saw you.\Your girlfriend's cute. She seems like a good girl.\Ah, well, I suppose. response:	She sorta looks like a baby, though.
context: Yano, do you mind if I look around a little longer?\Go ahead.\Why are you acting so surprised?\I wasn't really surprised or anything.\You've really grown since I last saw you.\Your girlfriend's cute. She seems like a good girl.\Ah, well, I suppose.\She sorta looks like a baby, though. response:	Like a baby?
context: Go ahead.\Why are you acting so surprised?\I wasn't really surprised or anything.\You've really grown since I last saw you.\Your girlfriend's cute. She seems like a good girl.\Ah, well, I suppose.\She sorta looks like a baby, though.\Like a baby? response:	U-Umm... could I see this one please?
context: Why are you acting so surprised?\I wasn't really surprised or anything.\You've really grown since I last saw you.\Your girlfriend's cute. She seems like a good girl.\Ah, well, I suppose.\She sorta looks like a baby, though.\Like a baby?\U-Umm... could I see this one please? response:	Ah, gladly.
context: I wasn't really surprised or anything.\You've really grown since I last saw you.\Your girlfriend's cute. She seems like a good girl.\Ah, well, I suppose.\She sorta looks like a baby, though.\Like a baby?\U-Umm... could I see this one please?\Ah, gladly. response:	It's hard to decide...
context: You've really grown since I last saw you.\Your girlfriend's cute. She seems like a good girl.\Ah, well, I suppose.\She sorta looks like a baby, though.\Like a baby?\U-Umm... could I see this one please?\Ah, gladly.\It's hard to decide... response:	Yano, do you think this looks good on me?
context: Your girlfriend's cute. She seems like a good girl.\Ah, well, I suppose.\She sorta looks like a baby, though.\Like a baby?\U-Umm... could I see this one please?\Ah, gladly.\It's hard to decide...\Yano, do you think this looks good on me? response:	She is a baby...
context: Ah, well, I suppose.\She sorta looks like a baby, though.\Like a baby?\U-Umm... could I see this one please?\Ah, gladly.\It's hard to decide...\Yano, do you think this looks good on me?\She is a baby... response:	Ah, no, maybe something more childi-
context: She sorta looks like a baby, though.\Like a baby?\U-Umm... could I see this one please?\Ah, gladly.\It's hard to decide...\Yano, do you think this looks good on me?\She is a baby...\Ah, no, maybe something more childi- response:	What?
context: Like a baby?\U-Umm... could I see this one please?\Ah, gladly.\It's hard to decide...\Yano, do you think this looks good on me?\She is a baby...\Ah, no, maybe something more childi-\What? response:	Maybe something cuter.
context: U-Umm... could I see this one please?\Ah, gladly.\It's hard to decide...\Yano, do you think this looks good on me?\She is a baby...\Ah, no, maybe something more childi-\What?\Maybe something cuter. response:	This is cute.
context: Ah, gladly.\It's hard to decide...\Yano, do you think this looks good on me?\She is a baby...\Ah, no, maybe something more childi-\What?\Maybe something cuter.\This is cute. response:	Oh, I know! Just wait here a sec.
context: It's hard to decide...\Yano, do you think this looks good on me?\She is a baby...\Ah, no, maybe something more childi-\What?\Maybe something cuter.\This is cute.\Oh, I know! Just wait here a sec. response:	We just got these in today, and we haven't even put them on display yet.
context: Yano, do you think this looks good on me?\She is a baby...\Ah, no, maybe something more childi-\What?\Maybe something cuter.\This is cute.\Oh, I know! Just wait here a sec.\We just got these in today, and we haven't even put them on display yet. response:	It's so adorable...
context: She is a baby...\Ah, no, maybe something more childi-\What?\Maybe something cuter.\This is cute.\Oh, I know! Just wait here a sec.\We just got these in today, and we haven't even put them on display yet.\It's so adorable... response:	There are flower-shaped gems inset into it...
context: Ah, no, maybe something more childi-\What?\Maybe something cuter.\This is cute.\Oh, I know! Just wait here a sec.\We just got these in today, and we haven't even put them on display yet.\It's so adorable...\There are flower-shaped gems inset into it... response:	That's a nice one.
context: What?\Maybe something cuter.\This is cute.\Oh, I know! Just wait here a sec.\We just got these in today, and we haven't even put them on display yet.\It's so adorable...\There are flower-shaped gems inset into it...\That's a nice one. response:	Yeah. That definitely would fit someone like you.
context: Maybe something cuter.\This is cute.\Oh, I know! Just wait here a sec.\We just got these in today, and we haven't even put them on display yet.\It's so adorable...\There are flower-shaped gems inset into it...\That's a nice one.\Yeah. That definitely would fit someone like you. response:	Ah, then I'll take...
context: This is cute.\Oh, I know! Just wait here a sec.\We just got these in today, and we haven't even put them on display yet.\It's so adorable...\There are flower-shaped gems inset into it...\That's a nice one.\Yeah. That definitely would fit someone like you.\Ah, then I'll take... response:	I-It's so expensive...
context: Oh, I know! Just wait here a sec.\We just got these in today, and we haven't even put them on display yet.\It's so adorable...\There are flower-shaped gems inset into it...\That's a nice one.\Yeah. That definitely would fit someone like you.\Ah, then I'll take...\I-It's so expensive... response:	Ah, umm... I think I'll go with the one I was just trying on instead...
context: We just got these in today, and we haven't even put them on display yet.\It's so adorable...\There are flower-shaped gems inset into it...\That's a nice one.\Yeah. That definitely would fit someone like you.\Ah, then I'll take...\I-It's so expensive...\Ah, umm... I think I'll go with the one I was just trying on instead... response:	It was less expensive...
context: It's so adorable...\There are flower-shaped gems inset into it...\That's a nice one.\Yeah. That definitely would fit someone like you.\Ah, then I'll take...\I-It's so expensive...\Ah, umm... I think I'll go with the one I was just trying on instead...\It was less expensive... response:	So I'll go with the other one, please.
context: There are flower-shaped gems inset into it...\That's a nice one.\Yeah. That definitely would fit someone like you.\Ah, then I'll take...\I-It's so expensive...\Ah, umm... I think I'll go with the one I was just trying on instead...\It was less expensive...\So I'll go with the other one, please. response:	Ah, the other one? We only have those sizes 11 and 13.
