context: I put on the armillary compass I found in the laboratory basement, response:	which sent me back to 19th century London with Mari.
context: But Mr. Farraday's patron, Sir Davy, said this about his results...\These experimental results and your thesis are both stolen from our research!\Wait, sir!\Things were looking real bad, but...\Sir...\Something happened, so I couldn't even worry about that!\Where's Mari?\Episode 6 Faraday's Resolve response:	No... I don't like this...
context: These experimental results and your thesis are both stolen from our research!\Wait, sir!\Things were looking real bad, but...\Sir...\Something happened, so I couldn't even worry about that!\Where's Mari?\Episode 6 Faraday's Resolve\No... I don't like this... response:	I can't go home... I can't go home!
context: Wait, sir!\Things were looking real bad, but...\Sir...\Something happened, so I couldn't even worry about that!\Where's Mari?\Episode 6 Faraday's Resolve\No... I don't like this...\I can't go home... I can't go home! response:	Go on, drink this. It'll warm you up.
context: Things were looking real bad, but...\Sir...\Something happened, so I couldn't even worry about that!\Where's Mari?\Episode 6 Faraday's Resolve\No... I don't like this...\I can't go home... I can't go home!\Go on, drink this. It'll warm you up. response:	As I understand it, when Mari would go back into the past,
context: Sir...\Something happened, so I couldn't even worry about that!\Where's Mari?\Episode 6 Faraday's Resolve\No... I don't like this...\I can't go home... I can't go home!\Go on, drink this. It'll warm you up.\As I understand it, when Mari would go back into the past, response:	she would return naturally after a certain amount of time had passed.
context: Something happened, so I couldn't even worry about that!\Where's Mari?\Episode 6 Faraday's Resolve\No... I don't like this...\I can't go home... I can't go home!\Go on, drink this. It'll warm you up.\As I understand it, when Mari would go back into the past,\she would return naturally after a certain amount of time had passed. response:	You came here this time under the same circumstances.
context: Where's Mari?\Episode 6 Faraday's Resolve\No... I don't like this...\I can't go home... I can't go home!\Go on, drink this. It'll warm you up.\As I understand it, when Mari would go back into the past,\she would return naturally after a certain amount of time had passed.\You came here this time under the same circumstances. response:	Yet Mari returned to her own time without you. Right?
context: Episode 6 Faraday's Resolve\No... I don't like this...\I can't go home... I can't go home!\Go on, drink this. It'll warm you up.\As I understand it, when Mari would go back into the past,\she would return naturally after a certain amount of time had passed.\You came here this time under the same circumstances.\Yet Mari returned to her own time without you. Right? response:	Waka?
context: No... I don't like this...\I can't go home... I can't go home!\Go on, drink this. It'll warm you up.\As I understand it, when Mari would go back into the past,\she would return naturally after a certain amount of time had passed.\You came here this time under the same circumstances.\Yet Mari returned to her own time without you. Right?\Waka? response:	Hey, it's okay. When a scientific experiment fails,
context: I can't go home... I can't go home!\Go on, drink this. It'll warm you up.\As I understand it, when Mari would go back into the past,\she would return naturally after a certain amount of time had passed.\You came here this time under the same circumstances.\Yet Mari returned to her own time without you. Right?\Waka?\Hey, it's okay. When a scientific experiment fails, response:	or presents a phenomenon you've never seen before,
context: Go on, drink this. It'll warm you up.\As I understand it, when Mari would go back into the past,\she would return naturally after a certain amount of time had passed.\You came here this time under the same circumstances.\Yet Mari returned to her own time without you. Right?\Waka?\Hey, it's okay. When a scientific experiment fails,\or presents a phenomenon you've never seen before, response:	there's always a reason for it.
context: As I understand it, when Mari would go back into the past,\she would return naturally after a certain amount of time had passed.\You came here this time under the same circumstances.\Yet Mari returned to her own time without you. Right?\Waka?\Hey, it's okay. When a scientific experiment fails,\or presents a phenomenon you've never seen before,\there's always a reason for it. response:	If we can figure out a reason...
context: she would return naturally after a certain amount of time had passed.\You came here this time under the same circumstances.\Yet Mari returned to her own time without you. Right?\Waka?\Hey, it's okay. When a scientific experiment fails,\or presents a phenomenon you've never seen before,\there's always a reason for it.\If we can figure out a reason... response:	Shut up!
context: You came here this time under the same circumstances.\Yet Mari returned to her own time without you. Right?\Waka?\Hey, it's okay. When a scientific experiment fails,\or presents a phenomenon you've never seen before,\there's always a reason for it.\If we can figure out a reason...\Shut up! response:	What would you understand? Science is all you talk about.
context: Yet Mari returned to her own time without you. Right?\Waka?\Hey, it's okay. When a scientific experiment fails,\or presents a phenomenon you've never seen before,\there's always a reason for it.\If we can figure out a reason...\Shut up!\What would you understand? Science is all you talk about. response:	Look at the situation your science has put me in!
context: Waka?\Hey, it's okay. When a scientific experiment fails,\or presents a phenomenon you've never seen before,\there's always a reason for it.\If we can figure out a reason...\Shut up!\What would you understand? Science is all you talk about.\Look at the situation your science has put me in! response:	I can't take this!
context: Hey, it's okay. When a scientific experiment fails,\or presents a phenomenon you've never seen before,\there's always a reason for it.\If we can figure out a reason...\Shut up!\What would you understand? Science is all you talk about.\Look at the situation your science has put me in!\I can't take this! response:	Let me go home! Send me home!
context: or presents a phenomenon you've never seen before,\there's always a reason for it.\If we can figure out a reason...\Shut up!\What would you understand? Science is all you talk about.\Look at the situation your science has put me in!\I can't take this!\Let me go home! Send me home! response:	Waka! Calm down!
context: there's always a reason for it.\If we can figure out a reason...\Shut up!\What would you understand? Science is all you talk about.\Look at the situation your science has put me in!\I can't take this!\Let me go home! Send me home!\Waka! Calm down! response:	Let me go home!
context: If we can figure out a reason...\Shut up!\What would you understand? Science is all you talk about.\Look at the situation your science has put me in!\I can't take this!\Let me go home! Send me home!\Waka! Calm down!\Let me go home! response:	It's no use. I can't find a single clue about how to bring Waka back.
context: Shut up!\What would you understand? Science is all you talk about.\Look at the situation your science has put me in!\I can't take this!\Let me go home! Send me home!\Waka! Calm down!\Let me go home!\It's no use. I can't find a single clue about how to bring Waka back. response:	Shun! Awful news!
context: What would you understand? Science is all you talk about.\Look at the situation your science has put me in!\I can't take this!\Let me go home! Send me home!\Waka! Calm down!\Let me go home!\It's no use. I can't find a single clue about how to bring Waka back.\Shun! Awful news! response:	What's wrong?
context: Look at the situation your science has put me in!\I can't take this!\Let me go home! Send me home!\Waka! Calm down!\Let me go home!\It's no use. I can't find a single clue about how to bring Waka back.\Shun! Awful news!\What's wrong? response:	She's panicking...
context: I can't take this!\Let me go home! Send me home!\Waka! Calm down!\Let me go home!\It's no use. I can't find a single clue about how to bring Waka back.\Shun! Awful news!\What's wrong?\She's panicking... response:	I'm sorry...
context: Let me go home! Send me home!\Waka! Calm down!\Let me go home!\It's no use. I can't find a single clue about how to bring Waka back.\Shun! Awful news!\What's wrong?\She's panicking...\I'm sorry... response:	Mari...
context: Waka! Calm down!\Let me go home!\It's no use. I can't find a single clue about how to bring Waka back.\Shun! Awful news!\What's wrong?\She's panicking...\I'm sorry...\Mari... response:	If I had only told her the way to get back...
context: Let me go home!\It's no use. I can't find a single clue about how to bring Waka back.\Shun! Awful news!\What's wrong?\She's panicking...\I'm sorry...\Mari...\If I had only told her the way to get back... response:	I'm sure we'll find a way.
context: It's no use. I can't find a single clue about how to bring Waka back.\Shun! Awful news!\What's wrong?\She's panicking...\I'm sorry...\Mari...\If I had only told her the way to get back...\I'm sure we'll find a way. response:	Waka...
context: Shun! Awful news!\What's wrong?\She's panicking...\I'm sorry...\Mari...\If I had only told her the way to get back...\I'm sure we'll find a way.\Waka... response:	Breach of contract? My husband?
context: What's wrong?\She's panicking...\I'm sorry...\Mari...\If I had only told her the way to get back...\I'm sure we'll find a way.\Waka...\Breach of contract? My husband? response:	Yes. I can't tell you all the details,
context: She's panicking...\I'm sorry...\Mari...\If I had only told her the way to get back...\I'm sure we'll find a way.\Waka...\Breach of contract? My husband?\Yes. I can't tell you all the details, response:	but Dr. Hayase may have committed a severe breach
context: I'm sorry...\Mari...\If I had only told her the way to get back...\I'm sure we'll find a way.\Waka...\Breach of contract? My husband?\Yes. I can't tell you all the details,\but Dr. Hayase may have committed a severe breach response:	of the contract he signed with me.
context: Mari...\If I had only told her the way to get back...\I'm sure we'll find a way.\Waka...\Breach of contract? My husband?\Yes. I can't tell you all the details,\but Dr. Hayase may have committed a severe breach\of the contract he signed with me. response:	Therefore, I want his laboratory opened
context: If I had only told her the way to get back...\I'm sure we'll find a way.\Waka...\Breach of contract? My husband?\Yes. I can't tell you all the details,\but Dr. Hayase may have committed a severe breach\of the contract he signed with me.\Therefore, I want his laboratory opened response:	and a full delivery of all his research materials to me.
context: I'm sure we'll find a way.\Waka...\Breach of contract? My husband?\Yes. I can't tell you all the details,\but Dr. Hayase may have committed a severe breach\of the contract he signed with me.\Therefore, I want his laboratory opened\and a full delivery of all his research materials to me. response:	His research materials?
context: Waka...\Breach of contract? My husband?\Yes. I can't tell you all the details,\but Dr. Hayase may have committed a severe breach\of the contract he signed with me.\Therefore, I want his laboratory opened\and a full delivery of all his research materials to me.\His research materials? response:	What kind of contract did he sign?
context: Breach of contract? My husband?\Yes. I can't tell you all the details,\but Dr. Hayase may have committed a severe breach\of the contract he signed with me.\Therefore, I want his laboratory opened\and a full delivery of all his research materials to me.\His research materials?\What kind of contract did he sign? response:	There's no need for you to know that.
context: Yes. I can't tell you all the details,\but Dr. Hayase may have committed a severe breach\of the contract he signed with me.\Therefore, I want his laboratory opened\and a full delivery of all his research materials to me.\His research materials?\What kind of contract did he sign?\There's no need for you to know that. response:	Just be quiet and comply with our request.
context: but Dr. Hayase may have committed a severe breach\of the contract he signed with me.\Therefore, I want his laboratory opened\and a full delivery of all his research materials to me.\His research materials?\What kind of contract did he sign?\There's no need for you to know that.\Just be quiet and comply with our request. response:	Request? This sounds more like a threat.
context: of the contract he signed with me.\Therefore, I want his laboratory opened\and a full delivery of all his research materials to me.\His research materials?\What kind of contract did he sign?\There's no need for you to know that.\Just be quiet and comply with our request.\Request? This sounds more like a threat. response:	We don't mind taking this to the authorities.
context: Therefore, I want his laboratory opened\and a full delivery of all his research materials to me.\His research materials?\What kind of contract did he sign?\There's no need for you to know that.\Just be quiet and comply with our request.\Request? This sounds more like a threat.\We don't mind taking this to the authorities. response:	Take it anywhere you want!
context: and a full delivery of all his research materials to me.\His research materials?\What kind of contract did he sign?\There's no need for you to know that.\Just be quiet and comply with our request.\Request? This sounds more like a threat.\We don't mind taking this to the authorities.\Take it anywhere you want! response:	What was that?
context: His research materials?\What kind of contract did he sign?\There's no need for you to know that.\Just be quiet and comply with our request.\Request? This sounds more like a threat.\We don't mind taking this to the authorities.\Take it anywhere you want!\What was that? response:	Then I'll be able to have a good look at the contract. I'll go through the whole thing.
context: What kind of contract did he sign?\There's no need for you to know that.\Just be quiet and comply with our request.\Request? This sounds more like a threat.\We don't mind taking this to the authorities.\Take it anywhere you want!\What was that?\Then I'll be able to have a good look at the contract. I'll go through the whole thing. response:	Now, please leave.
context: There's no need for you to know that.\Just be quiet and comply with our request.\Request? This sounds more like a threat.\We don't mind taking this to the authorities.\Take it anywhere you want!\What was that?\Then I'll be able to have a good look at the contract. I'll go through the whole thing.\Now, please leave. response:	I'm losing all my customers because of you.
context: Just be quiet and comply with our request.\Request? This sounds more like a threat.\We don't mind taking this to the authorities.\Take it anywhere you want!\What was that?\Then I'll be able to have a good look at the contract. I'll go through the whole thing.\Now, please leave.\I'm losing all my customers because of you. response:	This is obstruction of my business.
context: Request? This sounds more like a threat.\We don't mind taking this to the authorities.\Take it anywhere you want!\What was that?\Then I'll be able to have a good look at the contract. I'll go through the whole thing.\Now, please leave.\I'm losing all my customers because of you.\This is obstruction of my business. response:	I apologize. We'll return later.
context: We don't mind taking this to the authorities.\Take it anywhere you want!\What was that?\Then I'll be able to have a good look at the contract. I'll go through the whole thing.\Now, please leave.\I'm losing all my customers because of you.\This is obstruction of my business.\I apologize. We'll return later. response:	As apology for sending your customers away, I'll buy a few things.
context: Take it anywhere you want!\What was that?\Then I'll be able to have a good look at the contract. I'll go through the whole thing.\Now, please leave.\I'm losing all my customers because of you.\This is obstruction of my business.\I apologize. We'll return later.\As apology for sending your customers away, I'll buy a few things. response:	From here...
context: What was that?\Then I'll be able to have a good look at the contract. I'll go through the whole thing.\Now, please leave.\I'm losing all my customers because of you.\This is obstruction of my business.\I apologize. We'll return later.\As apology for sending your customers away, I'll buy a few things.\From here... response:	No, thank you! I don't accept such random purchases!
context: Then I'll be able to have a good look at the contract. I'll go through the whole thing.\Now, please leave.\I'm losing all my customers because of you.\This is obstruction of my business.\I apologize. We'll return later.\As apology for sending your customers away, I'll buy a few things.\From here...\No, thank you! I don't accept such random purchases! response:	I work hard to make those for people who love cake!
context: Now, please leave.\I'm losing all my customers because of you.\This is obstruction of my business.\I apologize. We'll return later.\As apology for sending your customers away, I'll buy a few things.\From here...\No, thank you! I don't accept such random purchases!\I work hard to make those for people who love cake! response:	The layering in these mille-feuilles was done with great care.
context: I'm losing all my customers because of you.\This is obstruction of my business.\I apologize. We'll return later.\As apology for sending your customers away, I'll buy a few things.\From here...\No, thank you! I don't accept such random purchases!\I work hard to make those for people who love cake!\The layering in these mille-feuilles was done with great care. response:	I can tell just from looking how much time it took you.
context: This is obstruction of my business.\I apologize. We'll return later.\As apology for sending your customers away, I'll buy a few things.\From here...\No, thank you! I don't accept such random purchases!\I work hard to make those for people who love cake!\The layering in these mille-feuilles was done with great care.\I can tell just from looking how much time it took you. response:	This gateau chocolat
context: I apologize. We'll return later.\As apology for sending your customers away, I'll buy a few things.\From here...\No, thank you! I don't accept such random purchases!\I work hard to make those for people who love cake!\The layering in these mille-feuilles was done with great care.\I can tell just from looking how much time it took you.\This gateau chocolat response:	has a hint of chocolat mon amour from Dolce de Michelle in France, right?
context: As apology for sending your customers away, I'll buy a few things.\From here...\No, thank you! I don't accept such random purchases!\I work hard to make those for people who love cake!\The layering in these mille-feuilles was done with great care.\I can tell just from looking how much time it took you.\This gateau chocolat\has a hint of chocolat mon amour from Dolce de Michelle in France, right? response:	They're very good cakes.
context: From here...\No, thank you! I don't accept such random purchases!\I work hard to make those for people who love cake!\The layering in these mille-feuilles was done with great care.\I can tell just from looking how much time it took you.\This gateau chocolat\has a hint of chocolat mon amour from Dolce de Michelle in France, right?\They're very good cakes. response:	Thank you for your patronage.
context: No, thank you! I don't accept such random purchases!\I work hard to make those for people who love cake!\The layering in these mille-feuilles was done with great care.\I can tell just from looking how much time it took you.\This gateau chocolat\has a hint of chocolat mon amour from Dolce de Michelle in France, right?\They're very good cakes.\Thank you for your patronage. response:	Mr. Mikage... Are you sure about this?
context: I work hard to make those for people who love cake!\The layering in these mille-feuilles was done with great care.\I can tell just from looking how much time it took you.\This gateau chocolat\has a hint of chocolat mon amour from Dolce de Michelle in France, right?\They're very good cakes.\Thank you for your patronage.\Mr. Mikage... Are you sure about this? response:	She's a smart person.
context: The layering in these mille-feuilles was done with great care.\I can tell just from looking how much time it took you.\This gateau chocolat\has a hint of chocolat mon amour from Dolce de Michelle in France, right?\They're very good cakes.\Thank you for your patronage.\Mr. Mikage... Are you sure about this?\She's a smart person. response:	Good morning!
context: I can tell just from looking how much time it took you.\This gateau chocolat\has a hint of chocolat mon amour from Dolce de Michelle in France, right?\They're very good cakes.\Thank you for your patronage.\Mr. Mikage... Are you sure about this?\She's a smart person.\Good morning! response:	Good morning! Have a good sleep?
context: This gateau chocolat\has a hint of chocolat mon amour from Dolce de Michelle in France, right?\They're very good cakes.\Thank you for your patronage.\Mr. Mikage... Are you sure about this?\She's a smart person.\Good morning!\Good morning! Have a good sleep? response:	Um... I...
context: has a hint of chocolat mon amour from Dolce de Michelle in France, right?\They're very good cakes.\Thank you for your patronage.\Mr. Mikage... Are you sure about this?\She's a smart person.\Good morning!\Good morning! Have a good sleep?\Um... I... response:	I'm sorry to make a lady sleep on the sofa,
context: They're very good cakes.\Thank you for your patronage.\Mr. Mikage... Are you sure about this?\She's a smart person.\Good morning!\Good morning! Have a good sleep?\Um... I...\I'm sorry to make a lady sleep on the sofa, response:	but it was all I had.
context: Thank you for your patronage.\Mr. Mikage... Are you sure about this?\She's a smart person.\Good morning!\Good morning! Have a good sleep?\Um... I...\I'm sorry to make a lady sleep on the sofa,\but it was all I had. response:	I see.
context: Mr. Mikage... Are you sure about this?\She's a smart person.\Good morning!\Good morning! Have a good sleep?\Um... I...\I'm sorry to make a lady sleep on the sofa,\but it was all I had.\I see. response:	I got tired from all the crying and fell asleep.
context: She's a smart person.\Good morning!\Good morning! Have a good sleep?\Um... I...\I'm sorry to make a lady sleep on the sofa,\but it was all I had.\I see.\I got tired from all the crying and fell asleep. response:	Hold on. I can make breakfast.
context: Good morning!\Good morning! Have a good sleep?\Um... I...\I'm sorry to make a lady sleep on the sofa,\but it was all I had.\I see.\I got tired from all the crying and fell asleep.\Hold on. I can make breakfast. response:	Um...
context: Good morning! Have a good sleep?\Um... I...\I'm sorry to make a lady sleep on the sofa,\but it was all I had.\I see.\I got tired from all the crying and fell asleep.\Hold on. I can make breakfast.\Um... response:	I'm sorry about yesterday.
context: Um... I...\I'm sorry to make a lady sleep on the sofa,\but it was all I had.\I see.\I got tired from all the crying and fell asleep.\Hold on. I can make breakfast.\Um...\I'm sorry about yesterday. response:	Don't sweat it!
context: I'm sorry to make a lady sleep on the sofa,\but it was all I had.\I see.\I got tired from all the crying and fell asleep.\Hold on. I can make breakfast.\Um...\I'm sorry about yesterday.\Don't sweat it! response:	Go on, wash up.
context: but it was all I had.\I see.\I got tired from all the crying and fell asleep.\Hold on. I can make breakfast.\Um...\I'm sorry about yesterday.\Don't sweat it!\Go on, wash up. response:	It wasn't just a nightmare...
context: I see.\I got tired from all the crying and fell asleep.\Hold on. I can make breakfast.\Um...\I'm sorry about yesterday.\Don't sweat it!\Go on, wash up.\It wasn't just a nightmare... response:	Waka! It's done!
context: I got tired from all the crying and fell asleep.\Hold on. I can make breakfast.\Um...\I'm sorry about yesterday.\Don't sweat it!\Go on, wash up.\It wasn't just a nightmare...\Waka! It's done! response:	Wow! It looks delicious!
context: Hold on. I can make breakfast.\Um...\I'm sorry about yesterday.\Don't sweat it!\Go on, wash up.\It wasn't just a nightmare...\Waka! It's done!\Wow! It looks delicious! response:	You haven't eaten since yesterday! It's only natural.
context: Um...\I'm sorry about yesterday.\Don't sweat it!\Go on, wash up.\It wasn't just a nightmare...\Waka! It's done!\Wow! It looks delicious!\You haven't eaten since yesterday! It's only natural. response:	Go on!
context: I'm sorry about yesterday.\Don't sweat it!\Go on, wash up.\It wasn't just a nightmare...\Waka! It's done!\Wow! It looks delicious!\You haven't eaten since yesterday! It's only natural.\Go on! response:	Th-Thanks.
context: Don't sweat it!\Go on, wash up.\It wasn't just a nightmare...\Waka! It's done!\Wow! It looks delicious!\You haven't eaten since yesterday! It's only natural.\Go on!\Th-Thanks. response:	First, eat a good meal.
context: Go on, wash up.\It wasn't just a nightmare...\Waka! It's done!\Wow! It looks delicious!\You haven't eaten since yesterday! It's only natural.\Go on!\Th-Thanks.\First, eat a good meal. response:	You can worry about the rest after that.
context: It wasn't just a nightmare...\Waka! It's done!\Wow! It looks delicious!\You haven't eaten since yesterday! It's only natural.\Go on!\Th-Thanks.\First, eat a good meal.\You can worry about the rest after that. response:	Sure... Let's eat!
context: Waka! It's done!\Wow! It looks delicious!\You haven't eaten since yesterday! It's only natural.\Go on!\Th-Thanks.\First, eat a good meal.\You can worry about the rest after that.\Sure... Let's eat! response:	Delicious!
context: Wow! It looks delicious!\You haven't eaten since yesterday! It's only natural.\Go on!\Th-Thanks.\First, eat a good meal.\You can worry about the rest after that.\Sure... Let's eat!\Delicious! response:	I'm glad.
context: You haven't eaten since yesterday! It's only natural.\Go on!\Th-Thanks.\First, eat a good meal.\You can worry about the rest after that.\Sure... Let's eat!\Delicious!\I'm glad. response:	I believe...
context: Go on!\Th-Thanks.\First, eat a good meal.\You can worry about the rest after that.\Sure... Let's eat!\Delicious!\I'm glad.\I believe... response:	My brother's still back in my time.
context: Th-Thanks.\First, eat a good meal.\You can worry about the rest after that.\Sure... Let's eat!\Delicious!\I'm glad.\I believe...\My brother's still back in my time. response:	Your brother?
context: First, eat a good meal.\You can worry about the rest after that.\Sure... Let's eat!\Delicious!\I'm glad.\I believe...\My brother's still back in my time.\Your brother? response:	Yes.
context: You can worry about the rest after that.\Sure... Let's eat!\Delicious!\I'm glad.\I believe...\My brother's still back in my time.\Your brother?\Yes. response:	He's really smart and reliable.
context: Sure... Let's eat!\Delicious!\I'm glad.\I believe...\My brother's still back in my time.\Your brother?\Yes.\He's really smart and reliable. response:	Mari, too. She can be a scatterbrain,
context: Delicious!\I'm glad.\I believe...\My brother's still back in my time.\Your brother?\Yes.\He's really smart and reliable.\Mari, too. She can be a scatterbrain, response:	but she really comes through when it counts.
context: I'm glad.\I believe...\My brother's still back in my time.\Your brother?\Yes.\He's really smart and reliable.\Mari, too. She can be a scatterbrain,\but she really comes through when it counts. response:	Anyway, I trust them both.
context: I believe...\My brother's still back in my time.\Your brother?\Yes.\He's really smart and reliable.\Mari, too. She can be a scatterbrain,\but she really comes through when it counts.\Anyway, I trust them both. response:	I'm sure they'll find a way to help me.
context: My brother's still back in my time.\Your brother?\Yes.\He's really smart and reliable.\Mari, too. She can be a scatterbrain,\but she really comes through when it counts.\Anyway, I trust them both.\I'm sure they'll find a way to help me. response:	I see!
context: Your brother?\Yes.\He's really smart and reliable.\Mari, too. She can be a scatterbrain,\but she really comes through when it counts.\Anyway, I trust them both.\I'm sure they'll find a way to help me.\I see! response:	I wonder how long it's been there...
context: Yes.\He's really smart and reliable.\Mari, too. She can be a scatterbrain,\but she really comes through when it counts.\Anyway, I trust them both.\I'm sure they'll find a way to help me.\I see!\I wonder how long it's been there... response:	I guess there's no way to get Waka back...
context: He's really smart and reliable.\Mari, too. She can be a scatterbrain,\but she really comes through when it counts.\Anyway, I trust them both.\I'm sure they'll find a way to help me.\I see!\I wonder how long it's been there...\I guess there's no way to get Waka back... response:	Waka must be feeling so lonely...
context: Mari, too. She can be a scatterbrain,\but she really comes through when it counts.\Anyway, I trust them both.\I'm sure they'll find a way to help me.\I see!\I wonder how long it's been there...\I guess there's no way to get Waka back...\Waka must be feeling so lonely... response:	What's wrong?
context: but she really comes through when it counts.\Anyway, I trust them both.\I'm sure they'll find a way to help me.\I see!\I wonder how long it's been there...\I guess there's no way to get Waka back...\Waka must be feeling so lonely...\What's wrong? response:	I remember! Papa told me!
context: Anyway, I trust them both.\I'm sure they'll find a way to help me.\I see!\I wonder how long it's been there...\I guess there's no way to get Waka back...\Waka must be feeling so lonely...\What's wrong?\I remember! Papa told me! response:	And when you get back,
context: I'm sure they'll find a way to help me.\I see!\I wonder how long it's been there...\I guess there's no way to get Waka back...\Waka must be feeling so lonely...\What's wrong?\I remember! Papa told me!\And when you get back, response:	tell Shun to press the triangle button in the middle of the keyboard.
context: I see!\I wonder how long it's been there...\I guess there's no way to get Waka back...\Waka must be feeling so lonely...\What's wrong?\I remember! Papa told me!\And when you get back,\tell Shun to press the triangle button in the middle of the keyboard. response:	The triangle button?
context: I wonder how long it's been there...\I guess there's no way to get Waka back...\Waka must be feeling so lonely...\What's wrong?\I remember! Papa told me!\And when you get back,\tell Shun to press the triangle button in the middle of the keyboard.\The triangle button? response:	Yeah! He said it would teach you the system controls!
context: I guess there's no way to get Waka back...\Waka must be feeling so lonely...\What's wrong?\I remember! Papa told me!\And when you get back,\tell Shun to press the triangle button in the middle of the keyboard.\The triangle button?\Yeah! He said it would teach you the system controls! response:	In the center?
context: Waka must be feeling so lonely...\What's wrong?\I remember! Papa told me!\And when you get back,\tell Shun to press the triangle button in the middle of the keyboard.\The triangle button?\Yeah! He said it would teach you the system controls!\In the center? response:	This one?
context: What's wrong?\I remember! Papa told me!\And when you get back,\tell Shun to press the triangle button in the middle of the keyboard.\The triangle button?\Yeah! He said it would teach you the system controls!\In the center?\This one? response:	Probably!
context: I remember! Papa told me!\And when you get back,\tell Shun to press the triangle button in the middle of the keyboard.\The triangle button?\Yeah! He said it would teach you the system controls!\In the center?\This one?\Probably! response:	I was being careful not to touch things
context: And when you get back,\tell Shun to press the triangle button in the middle of the keyboard.\The triangle button?\Yeah! He said it would teach you the system controls!\In the center?\This one?\Probably!\I was being careful not to touch things response:	when someone was in the past, so as not to cause any trouble, but...
context: tell Shun to press the triangle button in the middle of the keyboard.\The triangle button?\Yeah! He said it would teach you the system controls!\In the center?\This one?\Probably!\I was being careful not to touch things\when someone was in the past, so as not to cause any trouble, but... response:	Would you like more tea?
context: The triangle button?\Yeah! He said it would teach you the system controls!\In the center?\This one?\Probably!\I was being careful not to touch things\when someone was in the past, so as not to cause any trouble, but...\Would you like more tea? response:	Yes, please!
context: Yeah! He said it would teach you the system controls!\In the center?\This one?\Probably!\I was being careful not to touch things\when someone was in the past, so as not to cause any trouble, but...\Would you like more tea?\Yes, please! response:	Faraday! Awful news!
