context: The same power, the same voice... response:	I see. It's uncanny.
context: There's even a human!\Whoa, I've never seen one before!\It's a human, a human!\What is she doing here?\What's going on?\The Fallen one...\brought a human...\Please let me see the Queen! response:	Extalia is in grave danger.
context: Whoa, I've never seen one before!\It's a human, a human!\What is she doing here?\What's going on?\The Fallen one...\brought a human...\Please let me see the Queen!\Extalia is in grave danger. response:	The Doomsday Dragon Chain Cannon.
context: It's a human, a human!\What is she doing here?\What's going on?\The Fallen one...\brought a human...\Please let me see the Queen!\Extalia is in grave danger.\The Doomsday Dragon Chain Cannon. response:	Move it, move it!
context: What is she doing here?\What's going on?\The Fallen one...\brought a human...\Please let me see the Queen!\Extalia is in grave danger.\The Doomsday Dragon Chain Cannon.\Move it, move it! response:	Let me through!
context: What's going on?\The Fallen one...\brought a human...\Please let me see the Queen!\Extalia is in grave danger.\The Doomsday Dragon Chain Cannon.\Move it, move it!\Let me through! response:	N-Nady-sama!
context: The Fallen one...\brought a human...\Please let me see the Queen!\Extalia is in grave danger.\The Doomsday Dragon Chain Cannon.\Move it, move it!\Let me through!\N-Nady-sama! response:	Good timing!
context: brought a human...\Please let me see the Queen!\Extalia is in grave danger.\The Doomsday Dragon Chain Cannon.\Move it, move it!\Let me through!\N-Nady-sama!\Good timing! response:	This isn't good at all!
context: Please let me see the Queen!\Extalia is in grave danger.\The Doomsday Dragon Chain Cannon.\Move it, move it!\Let me through!\N-Nady-sama!\Good timing!\This isn't good at all! response:	The Fallen and Humans are forbidden from entering Extalia!
context: Extalia is in grave danger.\The Doomsday Dragon Chain Cannon.\Move it, move it!\Let me through!\N-Nady-sama!\Good timing!\This isn't good at all!\The Fallen and Humans are forbidden from entering Extalia! response:	This isn't the time for that.
context: The Doomsday Dragon Chain Cannon.\Move it, move it!\Let me through!\N-Nady-sama!\Good timing!\This isn't good at all!\The Fallen and Humans are forbidden from entering Extalia!\This isn't the time for that. response:	If you people value your lives, then listen.
context: Move it, move it!\Let me through!\N-Nady-sama!\Good timing!\This isn't good at all!\The Fallen and Humans are forbidden from entering Extalia!\This isn't the time for that.\If you people value your lives, then listen. response:	Where did Nichiya-san and the rest of the guards go that were chasing you?
context: Let me through!\N-Nady-sama!\Good timing!\This isn't good at all!\The Fallen and Humans are forbidden from entering Extalia!\This isn't the time for that.\If you people value your lives, then listen.\Where did Nichiya-san and the rest of the guards go that were chasing you? response:	They've been turned into a lacrima by the Royal Army.
context: N-Nady-sama!\Good timing!\This isn't good at all!\The Fallen and Humans are forbidden from entering Extalia!\This isn't the time for that.\If you people value your lives, then listen.\Where did Nichiya-san and the rest of the guards go that were chasing you?\They've been turned into a lacrima by the Royal Army. response:	Extalia's Royal Guard done in by some humans?
context: Good timing!\This isn't good at all!\The Fallen and Humans are forbidden from entering Extalia!\This isn't the time for that.\If you people value your lives, then listen.\Where did Nichiya-san and the rest of the guards go that were chasing you?\They've been turned into a lacrima by the Royal Army.\Extalia's Royal Guard done in by some humans? response:	You expect us to believe something as silly as that?
context: This isn't good at all!\The Fallen and Humans are forbidden from entering Extalia!\This isn't the time for that.\If you people value your lives, then listen.\Where did Nichiya-san and the rest of the guards go that were chasing you?\They've been turned into a lacrima by the Royal Army.\Extalia's Royal Guard done in by some humans?\You expect us to believe something as silly as that? response:	It's the truth! The Royal Army will be attacking here shortly!
context: The Fallen and Humans are forbidden from entering Extalia!\This isn't the time for that.\If you people value your lives, then listen.\Where did Nichiya-san and the rest of the guards go that were chasing you?\They've been turned into a lacrima by the Royal Army.\Extalia's Royal Guard done in by some humans?\You expect us to believe something as silly as that?\It's the truth! The Royal Army will be attacking here shortly! response:	So what?
context: This isn't the time for that.\If you people value your lives, then listen.\Where did Nichiya-san and the rest of the guards go that were chasing you?\They've been turned into a lacrima by the Royal Army.\Extalia's Royal Guard done in by some humans?\You expect us to believe something as silly as that?\It's the truth! The Royal Army will be attacking here shortly!\So what? response:	Our Queen will blow them all away with her magic!
context: If you people value your lives, then listen.\Where did Nichiya-san and the rest of the guards go that were chasing you?\They've been turned into a lacrima by the Royal Army.\Extalia's Royal Guard done in by some humans?\You expect us to believe something as silly as that?\It's the truth! The Royal Army will be attacking here shortly!\So what?\Our Queen will blow them all away with her magic! response:	That's right!
context: Where did Nichiya-san and the rest of the guards go that were chasing you?\They've been turned into a lacrima by the Royal Army.\Extalia's Royal Guard done in by some humans?\You expect us to believe something as silly as that?\It's the truth! The Royal Army will be attacking here shortly!\So what?\Our Queen will blow them all away with her magic!\That's right! response:	Everyone, if you don't escape, you'll all be in big trouble!
context: They've been turned into a lacrima by the Royal Army.\Extalia's Royal Guard done in by some humans?\You expect us to believe something as silly as that?\It's the truth! The Royal Army will be attacking here shortly!\So what?\Our Queen will blow them all away with her magic!\That's right!\Everyone, if you don't escape, you'll all be in big trouble! response:	Shut up, human!
context: Extalia's Royal Guard done in by some humans?\You expect us to believe something as silly as that?\It's the truth! The Royal Army will be attacking here shortly!\So what?\Our Queen will blow them all away with her magic!\That's right!\Everyone, if you don't escape, you'll all be in big trouble!\Shut up, human! response:	Wendy!
context: You expect us to believe something as silly as that?\It's the truth! The Royal Army will be attacking here shortly!\So what?\Our Queen will blow them all away with her magic!\That's right!\Everyone, if you don't escape, you'll all be in big trouble!\Shut up, human!\Wendy! response:	You don't even know how powerful our Queen is!
context: It's the truth! The Royal Army will be attacking here shortly!\So what?\Our Queen will blow them all away with her magic!\That's right!\Everyone, if you don't escape, you'll all be in big trouble!\Shut up, human!\Wendy!\You don't even know how powerful our Queen is! response:	We're Exceeds!
context: So what?\Our Queen will blow them all away with her magic!\That's right!\Everyone, if you don't escape, you'll all be in big trouble!\Shut up, human!\Wendy!\You don't even know how powerful our Queen is!\We're Exceeds! response:	We're not like you humans!
context: Our Queen will blow them all away with her magic!\That's right!\Everyone, if you don't escape, you'll all be in big trouble!\Shut up, human!\Wendy!\You don't even know how powerful our Queen is!\We're Exceeds!\We're not like you humans! response:	Stop it!
context: That's right!\Everyone, if you don't escape, you'll all be in big trouble!\Shut up, human!\Wendy!\You don't even know how powerful our Queen is!\We're Exceeds!\We're not like you humans!\Stop it! response:	Get out, Human! Get out, Fallen!
context: Everyone, if you don't escape, you'll all be in big trouble!\Shut up, human!\Wendy!\You don't even know how powerful our Queen is!\We're Exceeds!\We're not like you humans!\Stop it!\Get out, Human! Get out, Fallen! response:	This is the blessed land of our Queen, Extalia!
context: Shut up, human!\Wendy!\You don't even know how powerful our Queen is!\We're Exceeds!\We're not like you humans!\Stop it!\Get out, Human! Get out, Fallen!\This is the blessed land of our Queen, Extalia! response:	We aren't going to lose to some humans!
context: Wendy!\You don't even know how powerful our Queen is!\We're Exceeds!\We're not like you humans!\Stop it!\Get out, Human! Get out, Fallen!\This is the blessed land of our Queen, Extalia!\We aren't going to lose to some humans! response:	Not as long as our Queen is here!
context: You don't even know how powerful our Queen is!\We're Exceeds!\We're not like you humans!\Stop it!\Get out, Human! Get out, Fallen!\This is the blessed land of our Queen, Extalia!\We aren't going to lose to some humans!\Not as long as our Queen is here! response:	If...
context: We're Exceeds!\We're not like you humans!\Stop it!\Get out, Human! Get out, Fallen!\This is the blessed land of our Queen, Extalia!\We aren't going to lose to some humans!\Not as long as our Queen is here!\If... response:	If you hate humans that much, do with me what you must!
context: We're not like you humans!\Stop it!\Get out, Human! Get out, Fallen!\This is the blessed land of our Queen, Extalia!\We aren't going to lose to some humans!\Not as long as our Queen is here!\If...\If you hate humans that much, do with me what you must! response:	But Carla is different!
context: Stop it!\Get out, Human! Get out, Fallen!\This is the blessed land of our Queen, Extalia!\We aren't going to lose to some humans!\Not as long as our Queen is here!\If...\If you hate humans that much, do with me what you must!\But Carla is different! response:	She's one of you!
context: Get out, Human! Get out, Fallen!\This is the blessed land of our Queen, Extalia!\We aren't going to lose to some humans!\Not as long as our Queen is here!\If...\If you hate humans that much, do with me what you must!\But Carla is different!\She's one of you! response:	Listen to what she says, please!
context: This is the blessed land of our Queen, Extalia!\We aren't going to lose to some humans!\Not as long as our Queen is here!\If...\If you hate humans that much, do with me what you must!\But Carla is different!\She's one of you!\Listen to what she says, please! response:	Wendy...
context: We aren't going to lose to some humans!\Not as long as our Queen is here!\If...\If you hate humans that much, do with me what you must!\But Carla is different!\She's one of you!\Listen to what she says, please!\Wendy... response:	Get out! Get out! Get out! Get out...
context: Not as long as our Queen is here!\If...\If you hate humans that much, do with me what you must!\But Carla is different!\She's one of you!\Listen to what she says, please!\Wendy...\Get out! Get out! Get out! Get out... response:	Why? Why?
context: If...\If you hate humans that much, do with me what you must!\But Carla is different!\She's one of you!\Listen to what she says, please!\Wendy...\Get out! Get out! Get out! Get out...\Why? Why? response:	Gajeel!
context: If you hate humans that much, do with me what you must!\But Carla is different!\She's one of you!\Listen to what she says, please!\Wendy...\Get out! Get out! Get out! Get out...\Why? Why?\Gajeel! response:	Unarmed, you can stop my iron-hard sword?
context: But Carla is different!\She's one of you!\Listen to what she says, please!\Wendy...\Get out! Get out! Get out! Get out...\Why? Why?\Gajeel!\Unarmed, you can stop my iron-hard sword? response:	Earthland magic is full of surprises.
context: She's one of you!\Listen to what she says, please!\Wendy...\Get out! Get out! Get out! Get out...\Why? Why?\Gajeel!\Unarmed, you can stop my iron-hard sword?\Earthland magic is full of surprises. response:	Sorry to break it to you, but an Iron Dragon's iron isn't normal iron.
context: Listen to what she says, please!\Wendy...\Get out! Get out! Get out! Get out...\Why? Why?\Gajeel!\Unarmed, you can stop my iron-hard sword?\Earthland magic is full of surprises.\Sorry to break it to you, but an Iron Dragon's iron isn't normal iron. response:	Anyway, aren't you one of the cats?
context: Wendy...\Get out! Get out! Get out! Get out...\Why? Why?\Gajeel!\Unarmed, you can stop my iron-hard sword?\Earthland magic is full of surprises.\Sorry to break it to you, but an Iron Dragon's iron isn't normal iron.\Anyway, aren't you one of the cats? response:	Why're you working for the Royal Army?
context: Get out! Get out! Get out! Get out...\Why? Why?\Gajeel!\Unarmed, you can stop my iron-hard sword?\Earthland magic is full of surprises.\Sorry to break it to you, but an Iron Dragon's iron isn't normal iron.\Anyway, aren't you one of the cats?\Why're you working for the Royal Army? response:	U-Um...
context: Why? Why?\Gajeel!\Unarmed, you can stop my iron-hard sword?\Earthland magic is full of surprises.\Sorry to break it to you, but an Iron Dragon's iron isn't normal iron.\Anyway, aren't you one of the cats?\Why're you working for the Royal Army?\U-Um... response:	You're an Exceed like me, right?
context: Gajeel!\Unarmed, you can stop my iron-hard sword?\Earthland magic is full of surprises.\Sorry to break it to you, but an Iron Dragon's iron isn't normal iron.\Anyway, aren't you one of the cats?\Why're you working for the Royal Army?\U-Um...\You're an Exceed like me, right? response:	Would... you like a fish?
context: Unarmed, you can stop my iron-hard sword?\Earthland magic is full of surprises.\Sorry to break it to you, but an Iron Dragon's iron isn't normal iron.\Anyway, aren't you one of the cats?\Why're you working for the Royal Army?\U-Um...\You're an Exceed like me, right?\Would... you like a fish? response:	That's in the past.
context: Earthland magic is full of surprises.\Sorry to break it to you, but an Iron Dragon's iron isn't normal iron.\Anyway, aren't you one of the cats?\Why're you working for the Royal Army?\U-Um...\You're an Exceed like me, right?\Would... you like a fish?\That's in the past. response:	I have forsaken my homeland!
context: Sorry to break it to you, but an Iron Dragon's iron isn't normal iron.\Anyway, aren't you one of the cats?\Why're you working for the Royal Army?\U-Um...\You're an Exceed like me, right?\Would... you like a fish?\That's in the past.\I have forsaken my homeland! response:	That fake country!
context: Anyway, aren't you one of the cats?\Why're you working for the Royal Army?\U-Um...\You're an Exceed like me, right?\Would... you like a fish?\That's in the past.\I have forsaken my homeland!\That fake country! response:	Fake country...?
context: Why're you working for the Royal Army?\U-Um...\You're an Exceed like me, right?\Would... you like a fish?\That's in the past.\I have forsaken my homeland!\That fake country!\Fake country...? response:	An outcast, huh?
context: U-Um...\You're an Exceed like me, right?\Would... you like a fish?\That's in the past.\I have forsaken my homeland!\That fake country!\Fake country...?\An outcast, huh? response:	I like it. Same as me.
context: You're an Exceed like me, right?\Would... you like a fish?\That's in the past.\I have forsaken my homeland!\That fake country!\Fake country...?\An outcast, huh?\I like it. Same as me. response:	I like your style!
context: Would... you like a fish?\That's in the past.\I have forsaken my homeland!\That fake country!\Fake country...?\An outcast, huh?\I like it. Same as me.\I like your style! response:	I'm gonna make this guy my cat!
context: That's in the past.\I have forsaken my homeland!\That fake country!\Fake country...?\An outcast, huh?\I like it. Same as me.\I like your style!\I'm gonna make this guy my cat! response:	My Buster Maam!
context: I have forsaken my homeland!\That fake country!\Fake country...?\An outcast, huh?\I like it. Same as me.\I like your style!\I'm gonna make this guy my cat!\My Buster Maam! response:	But first I gotta show you which one of us is stronger!
context: That fake country!\Fake country...?\An outcast, huh?\I like it. Same as me.\I like your style!\I'm gonna make this guy my cat!\My Buster Maam!\But first I gotta show you which one of us is stronger! response:	Uh, I think his switch just flipped on.
context: Fake country...?\An outcast, huh?\I like it. Same as me.\I like your style!\I'm gonna make this guy my cat!\My Buster Maam!\But first I gotta show you which one of us is stronger!\Uh, I think his switch just flipped on. response:	I won't be outdone by Salamander or that little girl!
context: An outcast, huh?\I like it. Same as me.\I like your style!\I'm gonna make this guy my cat!\My Buster Maam!\But first I gotta show you which one of us is stronger!\Uh, I think his switch just flipped on.\I won't be outdone by Salamander or that little girl! response:	He's...
context: I like it. Same as me.\I like your style!\I'm gonna make this guy my cat!\My Buster Maam!\But first I gotta show you which one of us is stronger!\Uh, I think his switch just flipped on.\I won't be outdone by Salamander or that little girl!\He's... response:	Roar of the Iron Dragon!
context: I like your style!\I'm gonna make this guy my cat!\My Buster Maam!\But first I gotta show you which one of us is stronger!\Uh, I think his switch just flipped on.\I won't be outdone by Salamander or that little girl!\He's...\Roar of the Iron Dragon! response:	Gajeel's looking scary!
context: I'm gonna make this guy my cat!\My Buster Maam!\But first I gotta show you which one of us is stronger!\Uh, I think his switch just flipped on.\I won't be outdone by Salamander or that little girl!\He's...\Roar of the Iron Dragon!\Gajeel's looking scary! response:	That's how it's gotta be.
context: My Buster Maam!\But first I gotta show you which one of us is stronger!\Uh, I think his switch just flipped on.\I won't be outdone by Salamander or that little girl!\He's...\Roar of the Iron Dragon!\Gajeel's looking scary!\That's how it's gotta be. response:	You're strong.
context: But first I gotta show you which one of us is stronger!\Uh, I think his switch just flipped on.\I won't be outdone by Salamander or that little girl!\He's...\Roar of the Iron Dragon!\Gajeel's looking scary!\That's how it's gotta be.\You're strong. response:	Gajeel... Are you forgetting why we're here in the first place?
context: Uh, I think his switch just flipped on.\I won't be outdone by Salamander or that little girl!\He's...\Roar of the Iron Dragon!\Gajeel's looking scary!\That's how it's gotta be.\You're strong.\Gajeel... Are you forgetting why we're here in the first place? response:	I'm an Ice Maker Magic wizard.
context: I won't be outdone by Salamander or that little girl!\He's...\Roar of the Iron Dragon!\Gajeel's looking scary!\That's how it's gotta be.\You're strong.\Gajeel... Are you forgetting why we're here in the first place?\I'm an Ice Maker Magic wizard. response:	I can make as many keys as I need.
context: He's...\Roar of the Iron Dragon!\Gajeel's looking scary!\That's how it's gotta be.\You're strong.\Gajeel... Are you forgetting why we're here in the first place?\I'm an Ice Maker Magic wizard.\I can make as many keys as I need. response:	Gray!
context: Roar of the Iron Dragon!\Gajeel's looking scary!\That's how it's gotta be.\You're strong.\Gajeel... Are you forgetting why we're here in the first place?\I'm an Ice Maker Magic wizard.\I can make as many keys as I need.\Gray! response:	Natsu!
context: Gajeel's looking scary!\That's how it's gotta be.\You're strong.\Gajeel... Are you forgetting why we're here in the first place?\I'm an Ice Maker Magic wizard.\I can make as many keys as I need.\Gray!\Natsu! response:	Finally caught up to the bastard!
context: That's how it's gotta be.\You're strong.\Gajeel... Are you forgetting why we're here in the first place?\I'm an Ice Maker Magic wizard.\I can make as many keys as I need.\Gray!\Natsu!\Finally caught up to the bastard! response:	I told you to leave him to me, remember?
context: You're strong.\Gajeel... Are you forgetting why we're here in the first place?\I'm an Ice Maker Magic wizard.\I can make as many keys as I need.\Gray!\Natsu!\Finally caught up to the bastard!\I told you to leave him to me, remember? response:	Where's the key?
context: Gajeel... Are you forgetting why we're here in the first place?\I'm an Ice Maker Magic wizard.\I can make as many keys as I need.\Gray!\Natsu!\Finally caught up to the bastard!\I told you to leave him to me, remember?\Where's the key? response:	Hand it over, you!
context: I'm an Ice Maker Magic wizard.\I can make as many keys as I need.\Gray!\Natsu!\Finally caught up to the bastard!\I told you to leave him to me, remember?\Where's the key?\Hand it over, you! response:	You chinny bastard!
context: I can make as many keys as I need.\Gray!\Natsu!\Finally caught up to the bastard!\I told you to leave him to me, remember?\Where's the key?\Hand it over, you!\You chinny bastard! response:	Um... Can't you see what I have in my hand?
context: Gray!\Natsu!\Finally caught up to the bastard!\I told you to leave him to me, remember?\Where's the key?\Hand it over, you!\You chinny bastard!\Um... Can't you see what I have in my hand? response:	Anyway, we're fine.
context: Natsu!\Finally caught up to the bastard!\I told you to leave him to me, remember?\Where's the key?\Hand it over, you!\You chinny bastard!\Um... Can't you see what I have in my hand?\Anyway, we're fine. response:	The situation has changed a bit.
context: Finally caught up to the bastard!\I told you to leave him to me, remember?\Where's the key?\Hand it over, you!\You chinny bastard!\Um... Can't you see what I have in my hand?\Anyway, we're fine.\The situation has changed a bit. response:	Where's Lucy?
context: I told you to leave him to me, remember?\Where's the key?\Hand it over, you!\You chinny bastard!\Um... Can't you see what I have in my hand?\Anyway, we're fine.\The situation has changed a bit.\Where's Lucy? response:	Oh, right...
context: Where's the key?\Hand it over, you!\You chinny bastard!\Um... Can't you see what I have in my hand?\Anyway, we're fine.\The situation has changed a bit.\Where's Lucy?\Oh, right... response:	She's stuck.
context: Hand it over, you!\You chinny bastard!\Um... Can't you see what I have in my hand?\Anyway, we're fine.\The situation has changed a bit.\Where's Lucy?\Oh, right...\She's stuck. response:	Stuck? What?
context: You chinny bastard!\Um... Can't you see what I have in my hand?\Anyway, we're fine.\The situation has changed a bit.\Where's Lucy?\Oh, right...\She's stuck.\Stuck? What? response:	Just a little more!
context: Um... Can't you see what I have in my hand?\Anyway, we're fine.\The situation has changed a bit.\Where's Lucy?\Oh, right...\She's stuck.\Stuck? What?\Just a little more! response:	Your boobs are huge!
context: Anyway, we're fine.\The situation has changed a bit.\Where's Lucy?\Oh, right...\She's stuck.\Stuck? What?\Just a little more!\Your boobs are huge! response:	Anyway, Natsu... We can use this key!
context: The situation has changed a bit.\Where's Lucy?\Oh, right...\She's stuck.\Stuck? What?\Just a little more!\Your boobs are huge!\Anyway, Natsu... We can use this key! response:	We can use it to save all of our friends!
context: Where's Lucy?\Oh, right...\She's stuck.\Stuck? What?\Just a little more!\Your boobs are huge!\Anyway, Natsu... We can use this key!\We can use it to save all of our friends! response:	What?
context: Oh, right...\She's stuck.\Stuck? What?\Just a little more!\Your boobs are huge!\Anyway, Natsu... We can use this key!\We can use it to save all of our friends!\What? response:	Their plan was to use the Dragon Chain cannon
context: She's stuck.\Stuck? What?\Just a little more!\Your boobs are huge!\Anyway, Natsu... We can use this key!\We can use it to save all of our friends!\What?\Their plan was to use the Dragon Chain cannon response:	to pull the lacrima island and ram it into Extalia.
context: Stuck? What?\Just a little more!\Your boobs are huge!\Anyway, Natsu... We can use this key!\We can use it to save all of our friends!\What?\Their plan was to use the Dragon Chain cannon\to pull the lacrima island and ram it into Extalia. response:	But!
context: Just a little more!\Your boobs are huge!\Anyway, Natsu... We can use this key!\We can use it to save all of our friends!\What?\Their plan was to use the Dragon Chain cannon\to pull the lacrima island and ram it into Extalia.\But! response:	If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic,
context: Your boobs are huge!\Anyway, Natsu... We can use this key!\We can use it to save all of our friends!\What?\Their plan was to use the Dragon Chain cannon\to pull the lacrima island and ram it into Extalia.\But!\If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic, response:	directly into the lacrima...
context: Anyway, Natsu... We can use this key!\We can use it to save all of our friends!\What?\Their plan was to use the Dragon Chain cannon\to pull the lacrima island and ram it into Extalia.\But!\If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic,\directly into the lacrima... response:	Oh! I don't get it, but I see!
context: We can use it to save all of our friends!\What?\Their plan was to use the Dragon Chain cannon\to pull the lacrima island and ram it into Extalia.\But!\If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic,\directly into the lacrima...\Oh! I don't get it, but I see! response:	The Dragon Chain Cannon seems to be up ahead.
context: What?\Their plan was to use the Dragon Chain cannon\to pull the lacrima island and ram it into Extalia.\But!\If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic,\directly into the lacrima...\Oh! I don't get it, but I see!\The Dragon Chain Cannon seems to be up ahead. response:	Right, let's go.
context: Their plan was to use the Dragon Chain cannon\to pull the lacrima island and ram it into Extalia.\But!\If we crash the Dragon Chain Cannon, infused with Dragon Slayer magic,\directly into the lacrima...\Oh! I don't get it, but I see!\The Dragon Chain Cannon seems to be up ahead.\Right, let's go. response:	We have a problem though.
