context: She's so annoying. response:	And she's so loud, even though she's tiny.
context: Oh, morning.\The revenge meal...\What if she adds stuff like lizards in addition to the taros?\I'll eat it.\The lizard?!\Won't you?\If you don't like her.\No, I don't dislike her... response:	It's just that she looks you right in the eye
context: The revenge meal...\What if she adds stuff like lizards in addition to the taros?\I'll eat it.\The lizard?!\Won't you?\If you don't like her.\No, I don't dislike her...\It's just that she looks you right in the eye response:	when you're speaking to her,
context: What if she adds stuff like lizards in addition to the taros?\I'll eat it.\The lizard?!\Won't you?\If you don't like her.\No, I don't dislike her...\It's just that she looks you right in the eye\when you're speaking to her, response:	and her voice is really loud...
context: I'll eat it.\The lizard?!\Won't you?\If you don't like her.\No, I don't dislike her...\It's just that she looks you right in the eye\when you're speaking to her,\and her voice is really loud... response:	Episode 3: Balut
context: The lizard?!\Won't you?\If you don't like her.\No, I don't dislike her...\It's just that she looks you right in the eye\when you're speaking to her,\and her voice is really loud...\Episode 3: Balut response:	I'm a bit afraid of her...
context: Won't you?\If you don't like her.\No, I don't dislike her...\It's just that she looks you right in the eye\when you're speaking to her,\and her voice is really loud...\Episode 3: Balut\I'm a bit afraid of her... response:	Let's go in.
context: If you don't like her.\No, I don't dislike her...\It's just that she looks you right in the eye\when you're speaking to her,\and her voice is really loud...\Episode 3: Balut\I'm a bit afraid of her...\Let's go in. response:	She...
context: No, I don't dislike her...\It's just that she looks you right in the eye\when you're speaking to her,\and her voice is really loud...\Episode 3: Balut\I'm a bit afraid of her...\Let's go in.\She... response:	She betrayed me!
context: It's just that she looks you right in the eye\when you're speaking to her,\and her voice is really loud...\Episode 3: Balut\I'm a bit afraid of her...\Let's go in.\She...\She betrayed me! response:	Huh?
context: when you're speaking to her,\and her voice is really loud...\Episode 3: Balut\I'm a bit afraid of her...\Let's go in.\She...\She betrayed me!\Huh? response:	I didn't prepare any meals for today!
context: and her voice is really loud...\Episode 3: Balut\I'm a bit afraid of her...\Let's go in.\She...\She betrayed me!\Huh?\I didn't prepare any meals for today! response:	She'll pay for this...
context: Episode 3: Balut\I'm a bit afraid of her...\Let's go in.\She...\She betrayed me!\Huh?\I didn't prepare any meals for today!\She'll pay for this... response:	I'm going to get yelled at ag-
context: I'm a bit afraid of her...\Let's go in.\She...\She betrayed me!\Huh?\I didn't prepare any meals for today!\She'll pay for this...\I'm going to get yelled at ag- response:	Th-This much taros...?!
context: Let's go in.\She...\She betrayed me!\Huh?\I didn't prepare any meals for today!\She'll pay for this...\I'm going to get yelled at ag-\Th-This much taros...?! response:	Spinach?!
context: She...\She betrayed me!\Huh?\I didn't prepare any meals for today!\She'll pay for this...\I'm going to get yelled at ag-\Th-This much taros...?!\Spinach?! response:	But where is *she*?
context: She betrayed me!\Huh?\I didn't prepare any meals for today!\She'll pay for this...\I'm going to get yelled at ag-\Th-This much taros...?!\Spinach?!\But where is *she*? response:	That's right.
context: Huh?\I didn't prepare any meals for today!\She'll pay for this...\I'm going to get yelled at ag-\Th-This much taros...?!\Spinach?!\But where is *she*?\That's right. response:	At that very moment, I was in the middle of an outrageous situation.
context: I didn't prepare any meals for today!\She'll pay for this...\I'm going to get yelled at ag-\Th-This much taros...?!\Spinach?!\But where is *she*?\That's right.\At that very moment, I was in the middle of an outrageous situation. response:	Wave Room
context: She'll pay for this...\I'm going to get yelled at ag-\Th-This much taros...?!\Spinach?!\But where is *she*?\That's right.\At that very moment, I was in the middle of an outrageous situation.\Wave Room response:	Let's see...
context: I'm going to get yelled at ag-\Th-This much taros...?!\Spinach?!\But where is *she*?\That's right.\At that very moment, I was in the middle of an outrageous situation.\Wave Room\Let's see... response:	Ah.
context: Th-This much taros...?!\Spinach?!\But where is *she*?\That's right.\At that very moment, I was in the middle of an outrageous situation.\Wave Room\Let's see...\Ah. response:	Okay...
context: Spinach?!\But where is *she*?\That's right.\At that very moment, I was in the middle of an outrageous situation.\Wave Room\Let's see...\Ah.\Okay... response:	This goes in that hole.
context: But where is *she*?\That's right.\At that very moment, I was in the middle of an outrageous situation.\Wave Room\Let's see...\Ah.\Okay...\This goes in that hole. response:	Dammit!
context: That's right.\At that very moment, I was in the middle of an outrageous situation.\Wave Room\Let's see...\Ah.\Okay...\This goes in that hole.\Dammit! response:	I was going for a turtle shell bondage, but it's so difficult!
context: At that very moment, I was in the middle of an outrageous situation.\Wave Room\Let's see...\Ah.\Okay...\This goes in that hole.\Dammit!\I was going for a turtle shell bondage, but it's so difficult! response:	Umm...
context: Wave Room\Let's see...\Ah.\Okay...\This goes in that hole.\Dammit!\I was going for a turtle shell bondage, but it's so difficult!\Umm... response:	You need to start over here.
context: Let's see...\Ah.\Okay...\This goes in that hole.\Dammit!\I was going for a turtle shell bondage, but it's so difficult!\Umm...\You need to start over here. response:	O-Oh!
context: Ah.\Okay...\This goes in that hole.\Dammit!\I was going for a turtle shell bondage, but it's so difficult!\Umm...\You need to start over here.\O-Oh! response:	Thanks.
context: Okay...\This goes in that hole.\Dammit!\I was going for a turtle shell bondage, but it's so difficult!\Umm...\You need to start over here.\O-Oh!\Thanks. response:	Why am I being taught by the girl I confined...?
context: This goes in that hole.\Dammit!\I was going for a turtle shell bondage, but it's so difficult!\Umm...\You need to start over here.\O-Oh!\Thanks.\Why am I being taught by the girl I confined...? response:	Hey-
context: Dammit!\I was going for a turtle shell bondage, but it's so difficult!\Umm...\You need to start over here.\O-Oh!\Thanks.\Why am I being taught by the girl I confined...?\Hey- response:	Don't worry. I won't scream or anything.
context: I was going for a turtle shell bondage, but it's so difficult!\Umm...\You need to start over here.\O-Oh!\Thanks.\Why am I being taught by the girl I confined...?\Hey-\Don't worry. I won't scream or anything. response:	Oh, you won't?
context: Umm...\You need to start over here.\O-Oh!\Thanks.\Why am I being taught by the girl I confined...?\Hey-\Don't worry. I won't scream or anything.\Oh, you won't? response:	But first things first.
context: You need to start over here.\O-Oh!\Thanks.\Why am I being taught by the girl I confined...?\Hey-\Don't worry. I won't scream or anything.\Oh, you won't?\But first things first. response:	Why did you tie me up and gag me?
context: O-Oh!\Thanks.\Why am I being taught by the girl I confined...?\Hey-\Don't worry. I won't scream or anything.\Oh, you won't?\But first things first.\Why did you tie me up and gag me? response:	You saw my draft, didn't you?
context: Thanks.\Why am I being taught by the girl I confined...?\Hey-\Don't worry. I won't scream or anything.\Oh, you won't?\But first things first.\Why did you tie me up and gag me?\You saw my draft, didn't you? response:	The Hot Spring Waitress and Her Bubbly Training?
context: Why am I being taught by the girl I confined...?\Hey-\Don't worry. I won't scream or anything.\Oh, you won't?\But first things first.\Why did you tie me up and gag me?\You saw my draft, didn't you?\The Hot Spring Waitress and Her Bubbly Training? response:	Yeah, to tell you the truth,
context: Hey-\Don't worry. I won't scream or anything.\Oh, you won't?\But first things first.\Why did you tie me up and gag me?\You saw my draft, didn't you?\The Hot Spring Waitress and Her Bubbly Training?\Yeah, to tell you the truth, response:	I'm actually not a best-selling author.
context: Don't worry. I won't scream or anything.\Oh, you won't?\But first things first.\Why did you tie me up and gag me?\You saw my draft, didn't you?\The Hot Spring Waitress and Her Bubbly Training?\Yeah, to tell you the truth,\I'm actually not a best-selling author. response:	Figured as much.
context: Oh, you won't?\But first things first.\Why did you tie me up and gag me?\You saw my draft, didn't you?\The Hot Spring Waitress and Her Bubbly Training?\Yeah, to tell you the truth,\I'm actually not a best-selling author.\Figured as much. response:	I can't write...
context: But first things first.\Why did you tie me up and gag me?\You saw my draft, didn't you?\The Hot Spring Waitress and Her Bubbly Training?\Yeah, to tell you the truth,\I'm actually not a best-selling author.\Figured as much.\I can't write... response:	I just can't. I can't put my heart into it.
context: Why did you tie me up and gag me?\You saw my draft, didn't you?\The Hot Spring Waitress and Her Bubbly Training?\Yeah, to tell you the truth,\I'm actually not a best-selling author.\Figured as much.\I can't write...\I just can't. I can't put my heart into it. response:	I thought I'd come up with some good ideas
context: You saw my draft, didn't you?\The Hot Spring Waitress and Her Bubbly Training?\Yeah, to tell you the truth,\I'm actually not a best-selling author.\Figured as much.\I can't write...\I just can't. I can't put my heart into it.\I thought I'd come up with some good ideas response:	if I were to live the cooped up life I'd always dreamed of.
context: The Hot Spring Waitress and Her Bubbly Training?\Yeah, to tell you the truth,\I'm actually not a best-selling author.\Figured as much.\I can't write...\I just can't. I can't put my heart into it.\I thought I'd come up with some good ideas\if I were to live the cooped up life I'd always dreamed of. response:	I was planning on winning an award
context: Yeah, to tell you the truth,\I'm actually not a best-selling author.\Figured as much.\I can't write...\I just can't. I can't put my heart into it.\I thought I'd come up with some good ideas\if I were to live the cooped up life I'd always dreamed of.\I was planning on winning an award response:	with that and make a turnabout, but...
context: I'm actually not a best-selling author.\Figured as much.\I can't write...\I just can't. I can't put my heart into it.\I thought I'd come up with some good ideas\if I were to live the cooped up life I'd always dreamed of.\I was planning on winning an award\with that and make a turnabout, but... response:	So that explains the draft.
context: Figured as much.\I can't write...\I just can't. I can't put my heart into it.\I thought I'd come up with some good ideas\if I were to live the cooped up life I'd always dreamed of.\I was planning on winning an award\with that and make a turnabout, but...\So that explains the draft. response:	I started writing a sex novel in order to pay for the bill here!
context: I can't write...\I just can't. I can't put my heart into it.\I thought I'd come up with some good ideas\if I were to live the cooped up life I'd always dreamed of.\I was planning on winning an award\with that and make a turnabout, but...\So that explains the draft.\I started writing a sex novel in order to pay for the bill here! response:	Sex novel...?
context: I just can't. I can't put my heart into it.\I thought I'd come up with some good ideas\if I were to live the cooped up life I'd always dreamed of.\I was planning on winning an award\with that and make a turnabout, but...\So that explains the draft.\I started writing a sex novel in order to pay for the bill here!\Sex novel...? response:	But I can't write even that!
context: I thought I'd come up with some good ideas\if I were to live the cooped up life I'd always dreamed of.\I was planning on winning an award\with that and make a turnabout, but...\So that explains the draft.\I started writing a sex novel in order to pay for the bill here!\Sex novel...?\But I can't write even that! response:	I have no talent!
context: if I were to live the cooped up life I'd always dreamed of.\I was planning on winning an award\with that and make a turnabout, but...\So that explains the draft.\I started writing a sex novel in order to pay for the bill here!\Sex novel...?\But I can't write even that!\I have no talent! response:	My life is over!
context: I was planning on winning an award\with that and make a turnabout, but...\So that explains the draft.\I started writing a sex novel in order to pay for the bill here!\Sex novel...?\But I can't write even that!\I have no talent!\My life is over! response:	Come on, don't be so depressed!
context: with that and make a turnabout, but...\So that explains the draft.\I started writing a sex novel in order to pay for the bill here!\Sex novel...?\But I can't write even that!\I have no talent!\My life is over!\Come on, don't be so depressed! response:	It's impossible for one to tell that they themselves have no talent.
context: So that explains the draft.\I started writing a sex novel in order to pay for the bill here!\Sex novel...?\But I can't write even that!\I have no talent!\My life is over!\Come on, don't be so depressed!\It's impossible for one to tell that they themselves have no talent. response:	Then...
context: I started writing a sex novel in order to pay for the bill here!\Sex novel...?\But I can't write even that!\I have no talent!\My life is over!\Come on, don't be so depressed!\It's impossible for one to tell that they themselves have no talent.\Then... response:	Can I ask you for a favor?
context: Sex novel...?\But I can't write even that!\I have no talent!\My life is over!\Come on, don't be so depressed!\It's impossible for one to tell that they themselves have no talent.\Then...\Can I ask you for a favor? response:	Huh?
context: But I can't write even that!\I have no talent!\My life is over!\Come on, don't be so depressed!\It's impossible for one to tell that they themselves have no talent.\Then...\Can I ask you for a favor?\Huh? response:	What...?
context: I have no talent!\My life is over!\Come on, don't be so depressed!\It's impossible for one to tell that they themselves have no talent.\Then...\Can I ask you for a favor?\Huh?\What...? response:	She wasn't in the hall, either.
context: My life is over!\Come on, don't be so depressed!\It's impossible for one to tell that they themselves have no talent.\Then...\Can I ask you for a favor?\Huh?\What...?\She wasn't in the hall, either. response:	Any luck, Beanman?
context: Come on, don't be so depressed!\It's impossible for one to tell that they themselves have no talent.\Then...\Can I ask you for a favor?\Huh?\What...?\She wasn't in the hall, either.\Any luck, Beanman? response:	Disappearing in the middle of cooking...
context: It's impossible for one to tell that they themselves have no talent.\Then...\Can I ask you for a favor?\Huh?\What...?\She wasn't in the hall, either.\Any luck, Beanman?\Disappearing in the middle of cooking... response:	I get the feeling this is related to that novelist's draft going missing.
context: Then...\Can I ask you for a favor?\Huh?\What...?\She wasn't in the hall, either.\Any luck, Beanman?\Disappearing in the middle of cooking...\I get the feeling this is related to that novelist's draft going missing. response:	You mean, there's a criminal living here?!
context: Can I ask you for a favor?\Huh?\What...?\She wasn't in the hall, either.\Any luck, Beanman?\Disappearing in the middle of cooking...\I get the feeling this is related to that novelist's draft going missing.\You mean, there's a criminal living here?! response:	Maybe she doesn't like us anymore...
context: Huh?\What...?\She wasn't in the hall, either.\Any luck, Beanman?\Disappearing in the middle of cooking...\I get the feeling this is related to that novelist's draft going missing.\You mean, there's a criminal living here?!\Maybe she doesn't like us anymore... response:	What?
context: What...?\She wasn't in the hall, either.\Any luck, Beanman?\Disappearing in the middle of cooking...\I get the feeling this is related to that novelist's draft going missing.\You mean, there's a criminal living here?!\Maybe she doesn't like us anymore...\What? response:	I was horrible to her.
context: She wasn't in the hall, either.\Any luck, Beanman?\Disappearing in the middle of cooking...\I get the feeling this is related to that novelist's draft going missing.\You mean, there's a criminal living here?!\Maybe she doesn't like us anymore...\What?\I was horrible to her. response:	Maybe she went back to Tokyo...
context: Any luck, Beanman?\Disappearing in the middle of cooking...\I get the feeling this is related to that novelist's draft going missing.\You mean, there's a criminal living here?!\Maybe she doesn't like us anymore...\What?\I was horrible to her.\Maybe she went back to Tokyo... response:	That's quite enough.
context: Disappearing in the middle of cooking...\I get the feeling this is related to that novelist's draft going missing.\You mean, there's a criminal living here?!\Maybe she doesn't like us anymore...\What?\I was horrible to her.\Maybe she went back to Tokyo...\That's quite enough. response:	Huh?
context: I get the feeling this is related to that novelist's draft going missing.\You mean, there's a criminal living here?!\Maybe she doesn't like us anymore...\What?\I was horrible to her.\Maybe she went back to Tokyo...\That's quite enough.\Huh? response:	We won't have any more customers tonight.
context: You mean, there's a criminal living here?!\Maybe she doesn't like us anymore...\What?\I was horrible to her.\Maybe she went back to Tokyo...\That's quite enough.\Huh?\We won't have any more customers tonight. response:	We'll be cleaning places we don't usually clean.
context: Maybe she doesn't like us anymore...\What?\I was horrible to her.\Maybe she went back to Tokyo...\That's quite enough.\Huh?\We won't have any more customers tonight.\We'll be cleaning places we don't usually clean. response:	But Madam Manager...
context: What?\I was horrible to her.\Maybe she went back to Tokyo...\That's quite enough.\Huh?\We won't have any more customers tonight.\We'll be cleaning places we don't usually clean.\But Madam Manager... response:	Oh right, Nako...
context: I was horrible to her.\Maybe she went back to Tokyo...\That's quite enough.\Huh?\We won't have any more customers tonight.\We'll be cleaning places we don't usually clean.\But Madam Manager...\Oh right, Nako... response:	M-Ma'am?
context: Maybe she went back to Tokyo...\That's quite enough.\Huh?\We won't have any more customers tonight.\We'll be cleaning places we don't usually clean.\But Madam Manager...\Oh right, Nako...\M-Ma'am? response:	You don't have to hold back.
context: That's quite enough.\Huh?\We won't have any more customers tonight.\We'll be cleaning places we don't usually clean.\But Madam Manager...\Oh right, Nako...\M-Ma'am?\You don't have to hold back. response:	I'll teach you everything, and not only things related to the inn.
context: Huh?\We won't have any more customers tonight.\We'll be cleaning places we don't usually clean.\But Madam Manager...\Oh right, Nako...\M-Ma'am?\You don't have to hold back.\I'll teach you everything, and not only things related to the inn. response:	Seems like you're loud even in situations like these.
context: We won't have any more customers tonight.\We'll be cleaning places we don't usually clean.\But Madam Manager...\Oh right, Nako...\M-Ma'am?\You don't have to hold back.\I'll teach you everything, and not only things related to the inn.\Seems like you're loud even in situations like these. response:	Please, don't say that!
context: We'll be cleaning places we don't usually clean.\But Madam Manager...\Oh right, Nako...\M-Ma'am?\You don't have to hold back.\I'll teach you everything, and not only things related to the inn.\Seems like you're loud even in situations like these.\Please, don't say that! response:	Do you still think I have talent?
context: But Madam Manager...\Oh right, Nako...\M-Ma'am?\You don't have to hold back.\I'll teach you everything, and not only things related to the inn.\Seems like you're loud even in situations like these.\Please, don't say that!\Do you still think I have talent? response:	Is my voice really that loud?
context: Oh right, Nako...\M-Ma'am?\You don't have to hold back.\I'll teach you everything, and not only things related to the inn.\Seems like you're loud even in situations like these.\Please, don't say that!\Do you still think I have talent?\Is my voice really that loud? response:	W-Well, I wouldn't say it's small.
context: M-Ma'am?\You don't have to hold back.\I'll teach you everything, and not only things related to the inn.\Seems like you're loud even in situations like these.\Please, don't say that!\Do you still think I have talent?\Is my voice really that loud?\W-Well, I wouldn't say it's small. response:	But how can you write about me?
context: You don't have to hold back.\I'll teach you everything, and not only things related to the inn.\Seems like you're loud even in situations like these.\Please, don't say that!\Do you still think I have talent?\Is my voice really that loud?\W-Well, I wouldn't say it's small.\But how can you write about me? response:	O-Obviously because I've been watching you.
context: I'll teach you everything, and not only things related to the inn.\Seems like you're loud even in situations like these.\Please, don't say that!\Do you still think I have talent?\Is my voice really that loud?\W-Well, I wouldn't say it's small.\But how can you write about me?\O-Obviously because I've been watching you. response:	Don't get me wrong!
context: Seems like you're loud even in situations like these.\Please, don't say that!\Do you still think I have talent?\Is my voice really that loud?\W-Well, I wouldn't say it's small.\But how can you write about me?\O-Obviously because I've been watching you.\Don't get me wrong! response:	I never peeked at you in the bath or anything!
context: Please, don't say that!\Do you still think I have talent?\Is my voice really that loud?\W-Well, I wouldn't say it's small.\But how can you write about me?\O-Obviously because I've been watching you.\Don't get me wrong!\I never peeked at you in the bath or anything! response:	I'm serious! I swear on the bible!
context: Do you still think I have talent?\Is my voice really that loud?\W-Well, I wouldn't say it's small.\But how can you write about me?\O-Obviously because I've been watching you.\Don't get me wrong!\I never peeked at you in the bath or anything!\I'm serious! I swear on the bible! response:	It sucks, right?
context: Is my voice really that loud?\W-Well, I wouldn't say it's small.\But how can you write about me?\O-Obviously because I've been watching you.\Don't get me wrong!\I never peeked at you in the bath or anything!\I'm serious! I swear on the bible!\It sucks, right? response:	Isn't it boring?
context: W-Well, I wouldn't say it's small.\But how can you write about me?\O-Obviously because I've been watching you.\Don't get me wrong!\I never peeked at you in the bath or anything!\I'm serious! I swear on the bible!\It sucks, right?\Isn't it boring? response:	Well, it's too early to judge whether-
context: But how can you write about me?\O-Obviously because I've been watching you.\Don't get me wrong!\I never peeked at you in the bath or anything!\I'm serious! I swear on the bible!\It sucks, right?\Isn't it boring?\Well, it's too early to judge whether- response:	I-I want to sparkle!
context: O-Obviously because I've been watching you.\Don't get me wrong!\I never peeked at you in the bath or anything!\I'm serious! I swear on the bible!\It sucks, right?\Isn't it boring?\Well, it's too early to judge whether-\I-I want to sparkle! response:	Don't worry.
context: Don't get me wrong!\I never peeked at you in the bath or anything!\I'm serious! I swear on the bible!\It sucks, right?\Isn't it boring?\Well, it's too early to judge whether-\I-I want to sparkle!\Don't worry. response:	Let us rub you up, and you'll be sparkling in no time.
context: I never peeked at you in the bath or anything!\I'm serious! I swear on the bible!\It sucks, right?\Isn't it boring?\Well, it's too early to judge whether-\I-I want to sparkle!\Don't worry.\Let us rub you up, and you'll be sparkling in no time. response:	B-But that's...
context: I'm serious! I swear on the bible!\It sucks, right?\Isn't it boring?\Well, it's too early to judge whether-\I-I want to sparkle!\Don't worry.\Let us rub you up, and you'll be sparkling in no time.\B-But that's... response:	Didn't you say you wanted to sparkle?
context: It sucks, right?\Isn't it boring?\Well, it's too early to judge whether-\I-I want to sparkle!\Don't worry.\Let us rub you up, and you'll be sparkling in no time.\B-But that's...\Didn't you say you wanted to sparkle? response:	Huh?!
context: Isn't it boring?\Well, it's too early to judge whether-\I-I want to sparkle!\Don't worry.\Let us rub you up, and you'll be sparkling in no time.\B-But that's...\Didn't you say you wanted to sparkle?\Huh?! response:	I've been so out of shape lately!
context: Well, it's too early to judge whether-\I-I want to sparkle!\Don't worry.\Let us rub you up, and you'll be sparkling in no time.\B-But that's...\Didn't you say you wanted to sparkle?\Huh?!\I've been so out of shape lately! response:	Mr. Jiroumaru, isn't this...
context: I-I want to sparkle!\Don't worry.\Let us rub you up, and you'll be sparkling in no time.\B-But that's...\Didn't you say you wanted to sparkle?\Huh?!\I've been so out of shape lately!\Mr. Jiroumaru, isn't this... response:	So, today's cleaning...
context: Don't worry.\Let us rub you up, and you'll be sparkling in no time.\B-But that's...\Didn't you say you wanted to sparkle?\Huh?!\I've been so out of shape lately!\Mr. Jiroumaru, isn't this...\So, today's cleaning... response:	Don't need it! Not today!
context: Let us rub you up, and you'll be sparkling in no time.\B-But that's...\Didn't you say you wanted to sparkle?\Huh?!\I've been so out of shape lately!\Mr. Jiroumaru, isn't this...\So, today's cleaning...\Don't need it! Not today! response:	Okay.
context: B-But that's...\Didn't you say you wanted to sparkle?\Huh?!\I've been so out of shape lately!\Mr. Jiroumaru, isn't this...\So, today's cleaning...\Don't need it! Not today!\Okay. response:	And I was also asked to check the lightbulbs in this room...
context: Didn't you say you wanted to sparkle?\Huh?!\I've been so out of shape lately!\Mr. Jiroumaru, isn't this...\So, today's cleaning...\Don't need it! Not today!\Okay.\And I was also asked to check the lightbulbs in this room... response:	You're persistent!
context: Huh?!\I've been so out of shape lately!\Mr. Jiroumaru, isn't this...\So, today's cleaning...\Don't need it! Not today!\Okay.\And I was also asked to check the lightbulbs in this room...\You're persistent! response:	You guys misplaced my draft because you're caught
context: I've been so out of shape lately!\Mr. Jiroumaru, isn't this...\So, today's cleaning...\Don't need it! Not today!\Okay.\And I was also asked to check the lightbulbs in this room...\You're persistent!\You guys misplaced my draft because you're caught response:	up in stupid things like that!
context: Mr. Jiroumaru, isn't this...\So, today's cleaning...\Don't need it! Not today!\Okay.\And I was also asked to check the lightbulbs in this room...\You're persistent!\You guys misplaced my draft because you're caught\up in stupid things like that! response:	But...
context: So, today's cleaning...\Don't need it! Not today!\Okay.\And I was also asked to check the lightbulbs in this room...\You're persistent!\You guys misplaced my draft because you're caught\up in stupid things like that!\But... response:	For crying out loud...
context: Don't need it! Not today!\Okay.\And I was also asked to check the lightbulbs in this room...\You're persistent!\You guys misplaced my draft because you're caught\up in stupid things like that!\But...\For crying out loud... response:	I'm sorry!
context: Okay.\And I was also asked to check the lightbulbs in this room...\You're persistent!\You guys misplaced my draft because you're caught\up in stupid things like that!\But...\For crying out loud...\I'm sorry! response:	I guess it makes sense for there to
context: And I was also asked to check the lightbulbs in this room...\You're persistent!\You guys misplaced my draft because you're caught\up in stupid things like that!\But...\For crying out loud...\I'm sorry!\I guess it makes sense for there to response:	be low-class waitresses at a low-class hot spring inn.
context: You're persistent!\You guys misplaced my draft because you're caught\up in stupid things like that!\But...\For crying out loud...\I'm sorry!\I guess it makes sense for there to\be low-class waitresses at a low-class hot spring inn. response:	Back off already!
context: You guys misplaced my draft because you're caught\up in stupid things like that!\But...\For crying out loud...\I'm sorry!\I guess it makes sense for there to\be low-class waitresses at a low-class hot spring inn.\Back off already! response:	Hey! Why did you show yourself?!
context: up in stupid things like that!\But...\For crying out loud...\I'm sorry!\I guess it makes sense for there to\be low-class waitresses at a low-class hot spring inn.\Back off already!\Hey! Why did you show yourself?! response:	Because you're taking it too far!
context: But...\For crying out loud...\I'm sorry!\I guess it makes sense for there to\be low-class waitresses at a low-class hot spring inn.\Back off already!\Hey! Why did you show yourself?!\Because you're taking it too far! response:	Ohana...?
context: For crying out loud...\I'm sorry!\I guess it makes sense for there to\be low-class waitresses at a low-class hot spring inn.\Back off already!\Hey! Why did you show yourself?!\Because you're taking it too far!\Ohana...? response:	There's no other choice!
context: I'm sorry!\I guess it makes sense for there to\be low-class waitresses at a low-class hot spring inn.\Back off already!\Hey! Why did you show yourself?!\Because you're taking it too far!\Ohana...?\There's no other choice! response:	Now I'll have to confine you too!
