context: A healthy soul... response:	I'll leave this to you.
context: Get blown away, idiot!\This is absurd...\Suddenly, I'm a mess.\I don't know how to deal with that weak girl...\Kill her.\Yeah...\Even though we landed the first attack,\Do we have any prospects of victory? response:	I mean, of course there are some, right?
context: This is absurd...\Suddenly, I'm a mess.\I don't know how to deal with that weak girl...\Kill her.\Yeah...\Even though we landed the first attack,\Do we have any prospects of victory?\I mean, of course there are some, right? response:	Nope.
context: Suddenly, I'm a mess.\I don't know how to deal with that weak girl...\Kill her.\Yeah...\Even though we landed the first attack,\Do we have any prospects of victory?\I mean, of course there are some, right?\Nope. response:	Not really.
context: I don't know how to deal with that weak girl...\Kill her.\Yeah...\Even though we landed the first attack,\Do we have any prospects of victory?\I mean, of course there are some, right?\Nope.\Not really. response:	You've got some nice brains but you're really dumb, huh?
context: Kill her.\Yeah...\Even though we landed the first attack,\Do we have any prospects of victory?\I mean, of course there are some, right?\Nope.\Not really.\You've got some nice brains but you're really dumb, huh? response:	You're the best!
context: Yeah...\Even though we landed the first attack,\Do we have any prospects of victory?\I mean, of course there are some, right?\Nope.\Not really.\You've got some nice brains but you're really dumb, huh?\You're the best! response:	Really, you're a cool partner!
context: Even though we landed the first attack,\Do we have any prospects of victory?\I mean, of course there are some, right?\Nope.\Not really.\You've got some nice brains but you're really dumb, huh?\You're the best!\Really, you're a cool partner! response:	Well, it'll work out.
context: Do we have any prospects of victory?\I mean, of course there are some, right?\Nope.\Not really.\You've got some nice brains but you're really dumb, huh?\You're the best!\Really, you're a cool partner!\Well, it'll work out. response:	We've got to do it somehow, right?
context: I mean, of course there are some, right?\Nope.\Not really.\You've got some nice brains but you're really dumb, huh?\You're the best!\Really, you're a cool partner!\Well, it'll work out.\We've got to do it somehow, right? response:	Cut the crap!
context: Nope.\Not really.\You've got some nice brains but you're really dumb, huh?\You're the best!\Really, you're a cool partner!\Well, it'll work out.\We've got to do it somehow, right?\Cut the crap! response:	There's no such as doing it somehow!
context: Not really.\You've got some nice brains but you're really dumb, huh?\You're the best!\Really, you're a cool partner!\Well, it'll work out.\We've got to do it somehow, right?\Cut the crap!\There's no such as doing it somehow! response:	Have you forgotten?
context: You've got some nice brains but you're really dumb, huh?\You're the best!\Really, you're a cool partner!\Well, it'll work out.\We've got to do it somehow, right?\Cut the crap!\There's no such as doing it somehow!\Have you forgotten? response:	You can't put a scratch on Chrona!
context: You're the best!\Really, you're a cool partner!\Well, it'll work out.\We've got to do it somehow, right?\Cut the crap!\There's no such as doing it somehow!\Have you forgotten?\You can't put a scratch on Chrona! response:	It's damn annoying!
context: Really, you're a cool partner!\Well, it'll work out.\We've got to do it somehow, right?\Cut the crap!\There's no such as doing it somehow!\Have you forgotten?\You can't put a scratch on Chrona!\It's damn annoying! response:	Eating a small fry's soul like yours won't even leave a taste.
context: Well, it'll work out.\We've got to do it somehow, right?\Cut the crap!\There's no such as doing it somehow!\Have you forgotten?\You can't put a scratch on Chrona!\It's damn annoying!\Eating a small fry's soul like yours won't even leave a taste. response:	That star brat from before looked much more delicious!
context: We've got to do it somehow, right?\Cut the crap!\There's no such as doing it somehow!\Have you forgotten?\You can't put a scratch on Chrona!\It's damn annoying!\Eating a small fry's soul like yours won't even leave a taste.\That star brat from before looked much more delicious! response:	How dare you, you insolent, lowly brat with no sex appeal...
context: Cut the crap!\There's no such as doing it somehow!\Have you forgotten?\You can't put a scratch on Chrona!\It's damn annoying!\Eating a small fry's soul like yours won't even leave a taste.\That star brat from before looked much more delicious!\How dare you, you insolent, lowly brat with no sex appeal... response:	I'm gonna torment you! That's all that's left to do!
context: There's no such as doing it somehow!\Have you forgotten?\You can't put a scratch on Chrona!\It's damn annoying!\Eating a small fry's soul like yours won't even leave a taste.\That star brat from before looked much more delicious!\How dare you, you insolent, lowly brat with no sex appeal...\I'm gonna torment you! That's all that's left to do! response:	I did it.
context: Have you forgotten?\You can't put a scratch on Chrona!\It's damn annoying!\Eating a small fry's soul like yours won't even leave a taste.\That star brat from before looked much more delicious!\How dare you, you insolent, lowly brat with no sex appeal...\I'm gonna torment you! That's all that's left to do!\I did it. response:	You finally acknowledged me, heh?
context: You can't put a scratch on Chrona!\It's damn annoying!\Eating a small fry's soul like yours won't even leave a taste.\That star brat from before looked much more delicious!\How dare you, you insolent, lowly brat with no sex appeal...\I'm gonna torment you! That's all that's left to do!\I did it.\You finally acknowledged me, heh? response:	When we battled before, you saw me as no more than a meal, right?
context: It's damn annoying!\Eating a small fry's soul like yours won't even leave a taste.\That star brat from before looked much more delicious!\How dare you, you insolent, lowly brat with no sex appeal...\I'm gonna torment you! That's all that's left to do!\I did it.\You finally acknowledged me, heh?\When we battled before, you saw me as no more than a meal, right? response:	Right now, you see me a person.
context: Eating a small fry's soul like yours won't even leave a taste.\That star brat from before looked much more delicious!\How dare you, you insolent, lowly brat with no sex appeal...\I'm gonna torment you! That's all that's left to do!\I did it.\You finally acknowledged me, heh?\When we battled before, you saw me as no more than a meal, right?\Right now, you see me a person. response:	Hence, I've done it!
context: That star brat from before looked much more delicious!\How dare you, you insolent, lowly brat with no sex appeal...\I'm gonna torment you! That's all that's left to do!\I did it.\You finally acknowledged me, heh?\When we battled before, you saw me as no more than a meal, right?\Right now, you see me a person.\Hence, I've done it! response:	And as for the Technician...
context: How dare you, you insolent, lowly brat with no sex appeal...\I'm gonna torment you! That's all that's left to do!\I did it.\You finally acknowledged me, heh?\When we battled before, you saw me as no more than a meal, right?\Right now, you see me a person.\Hence, I've done it!\And as for the Technician... response:	You're always acting timid...
context: I'm gonna torment you! That's all that's left to do!\I did it.\You finally acknowledged me, heh?\When we battled before, you saw me as no more than a meal, right?\Right now, you see me a person.\Hence, I've done it!\And as for the Technician...\You're always acting timid... response:	Face me properly!
context: I did it.\You finally acknowledged me, heh?\When we battled before, you saw me as no more than a meal, right?\Right now, you see me a person.\Hence, I've done it!\And as for the Technician...\You're always acting timid...\Face me properly! response:	Leave me alone!
context: You finally acknowledged me, heh?\When we battled before, you saw me as no more than a meal, right?\Right now, you see me a person.\Hence, I've done it!\And as for the Technician...\You're always acting timid...\Face me properly!\Leave me alone! response:	I don't get it!
context: When we battled before, you saw me as no more than a meal, right?\Right now, you see me a person.\Hence, I've done it!\And as for the Technician...\You're always acting timid...\Face me properly!\Leave me alone!\I don't get it! response:	Even though you're so weak...
context: Right now, you see me a person.\Hence, I've done it!\And as for the Technician...\You're always acting timid...\Face me properly!\Leave me alone!\I don't get it!\Even though you're so weak... response:	You'll get cut up again.
context: Hence, I've done it!\And as for the Technician...\You're always acting timid...\Face me properly!\Leave me alone!\I don't get it!\Even though you're so weak...\You'll get cut up again. response:	Why should I get serious about beating you up?
context: And as for the Technician...\You're always acting timid...\Face me properly!\Leave me alone!\I don't get it!\Even though you're so weak...\You'll get cut up again.\Why should I get serious about beating you up? response:	Cut it out...
context: You're always acting timid...\Face me properly!\Leave me alone!\I don't get it!\Even though you're so weak...\You'll get cut up again.\Why should I get serious about beating you up?\Cut it out... response:	If I'm looked at with such focused eyes,
context: Face me properly!\Leave me alone!\I don't get it!\Even though you're so weak...\You'll get cut up again.\Why should I get serious about beating you up?\Cut it out...\If I'm looked at with such focused eyes, response:	I may certainly be weaker than you...
context: Leave me alone!\I don't get it!\Even though you're so weak...\You'll get cut up again.\Why should I get serious about beating you up?\Cut it out...\If I'm looked at with such focused eyes,\I may certainly be weaker than you... response:	But I have no intention to lose.
context: I don't get it!\Even though you're so weak...\You'll get cut up again.\Why should I get serious about beating you up?\Cut it out...\If I'm looked at with such focused eyes,\I may certainly be weaker than you...\But I have no intention to lose. response:	After all...
context: Even though you're so weak...\You'll get cut up again.\Why should I get serious about beating you up?\Cut it out...\If I'm looked at with such focused eyes,\I may certainly be weaker than you...\But I have no intention to lose.\After all... response:	When it comes to souls I can't lose!
context: You'll get cut up again.\Why should I get serious about beating you up?\Cut it out...\If I'm looked at with such focused eyes,\I may certainly be weaker than you...\But I have no intention to lose.\After all...\When it comes to souls I can't lose! response:	That's a bad joke at best!
context: Why should I get serious about beating you up?\Cut it out...\If I'm looked at with such focused eyes,\I may certainly be weaker than you...\But I have no intention to lose.\After all...\When it comes to souls I can't lose!\That's a bad joke at best! response:	A sore loser's voice doesn't reach anywhere.
context: Cut it out...\If I'm looked at with such focused eyes,\I may certainly be weaker than you...\But I have no intention to lose.\After all...\When it comes to souls I can't lose!\That's a bad joke at best!\A sore loser's voice doesn't reach anywhere. response:	What was that? Did I hit a nerve?
context: If I'm looked at with such focused eyes,\I may certainly be weaker than you...\But I have no intention to lose.\After all...\When it comes to souls I can't lose!\That's a bad joke at best!\A sore loser's voice doesn't reach anywhere.\What was that? Did I hit a nerve? response:	What was that? Did I hit a nerve?
context: I may certainly be weaker than you...\But I have no intention to lose.\After all...\When it comes to souls I can't lose!\That's a bad joke at best!\A sore loser's voice doesn't reach anywhere.\What was that? Did I hit a nerve?\What was that? Did I hit a nerve? response:	I am the Scythe Technician, Maka.
context: But I have no intention to lose.\After all...\When it comes to souls I can't lose!\That's a bad joke at best!\A sore loser's voice doesn't reach anywhere.\What was that? Did I hit a nerve?\What was that? Did I hit a nerve?\I am the Scythe Technician, Maka. response:	Your name?
context: After all...\When it comes to souls I can't lose!\That's a bad joke at best!\A sore loser's voice doesn't reach anywhere.\What was that? Did I hit a nerve?\What was that? Did I hit a nerve?\I am the Scythe Technician, Maka.\Your name? response:	Devil Sword user, Chrona.
context: When it comes to souls I can't lose!\That's a bad joke at best!\A sore loser's voice doesn't reach anywhere.\What was that? Did I hit a nerve?\What was that? Did I hit a nerve?\I am the Scythe Technician, Maka.\Your name?\Devil Sword user, Chrona. response:	It's a duel then, Chrona.
context: That's a bad joke at best!\A sore loser's voice doesn't reach anywhere.\What was that? Did I hit a nerve?\What was that? Did I hit a nerve?\I am the Scythe Technician, Maka.\Your name?\Devil Sword user, Chrona.\It's a duel then, Chrona. response:	What... you can make such a nice expression.
context: A sore loser's voice doesn't reach anywhere.\What was that? Did I hit a nerve?\What was that? Did I hit a nerve?\I am the Scythe Technician, Maka.\Your name?\Devil Sword user, Chrona.\It's a duel then, Chrona.\What... you can make such a nice expression. response:	Maka...
context: What was that? Did I hit a nerve?\What was that? Did I hit a nerve?\I am the Scythe Technician, Maka.\Your name?\Devil Sword user, Chrona.\It's a duel then, Chrona.\What... you can make such a nice expression.\Maka... response:	That is the name of the person standing in front of me?
context: What was that? Did I hit a nerve?\I am the Scythe Technician, Maka.\Your name?\Devil Sword user, Chrona.\It's a duel then, Chrona.\What... you can make such a nice expression.\Maka...\That is the name of the person standing in front of me? response:	Ah, no...
context: I am the Scythe Technician, Maka.\Your name?\Devil Sword user, Chrona.\It's a duel then, Chrona.\What... you can make such a nice expression.\Maka...\That is the name of the person standing in front of me?\Ah, no... response:	Uhm, no this is...
context: Your name?\Devil Sword user, Chrona.\It's a duel then, Chrona.\What... you can make such a nice expression.\Maka...\That is the name of the person standing in front of me?\Ah, no...\Uhm, no this is... response:	Does a woman need a reason for sneezing, you idiot?!
context: Devil Sword user, Chrona.\It's a duel then, Chrona.\What... you can make such a nice expression.\Maka...\That is the name of the person standing in front of me?\Ah, no...\Uhm, no this is...\Does a woman need a reason for sneezing, you idiot?! response:	With that said, let's do it over.
context: It's a duel then, Chrona.\What... you can make such a nice expression.\Maka...\That is the name of the person standing in front of me?\Ah, no...\Uhm, no this is...\Does a woman need a reason for sneezing, you idiot?!\With that said, let's do it over. response:	Stein, this is...
context: What... you can make such a nice expression.\Maka...\That is the name of the person standing in front of me?\Ah, no...\Uhm, no this is...\Does a woman need a reason for sneezing, you idiot?!\With that said, let's do it over.\Stein, this is... response:	Maka is ignoring her orders and fighting the Devil Sword.
context: Maka...\That is the name of the person standing in front of me?\Ah, no...\Uhm, no this is...\Does a woman need a reason for sneezing, you idiot?!\With that said, let's do it over.\Stein, this is...\Maka is ignoring her orders and fighting the Devil Sword. response:	What?
context: That is the name of the person standing in front of me?\Ah, no...\Uhm, no this is...\Does a woman need a reason for sneezing, you idiot?!\With that said, let's do it over.\Stein, this is...\Maka is ignoring her orders and fighting the Devil Sword.\What? response:	It seems your cute little daughter has chosen death...
context: Ah, no...\Uhm, no this is...\Does a woman need a reason for sneezing, you idiot?!\With that said, let's do it over.\Stein, this is...\Maka is ignoring her orders and fighting the Devil Sword.\What?\It seems your cute little daughter has chosen death... response:	My daughter isn't that weak.
context: Uhm, no this is...\Does a woman need a reason for sneezing, you idiot?!\With that said, let's do it over.\Stein, this is...\Maka is ignoring her orders and fighting the Devil Sword.\What?\It seems your cute little daughter has chosen death...\My daughter isn't that weak. response:	Fool of a father...
context: Does a woman need a reason for sneezing, you idiot?!\With that said, let's do it over.\Stein, this is...\Maka is ignoring her orders and fighting the Devil Sword.\What?\It seems your cute little daughter has chosen death...\My daughter isn't that weak.\Fool of a father... response:	Black Blood's Resonance War!
context: With that said, let's do it over.\Stein, this is...\Maka is ignoring her orders and fighting the Devil Sword.\What?\It seems your cute little daughter has chosen death...\My daughter isn't that weak.\Fool of a father...\Black Blood's Resonance War! response:	The Small Soul's Large Struggle To Oppose Fear?
context: Stein, this is...\Maka is ignoring her orders and fighting the Devil Sword.\What?\It seems your cute little daughter has chosen death...\My daughter isn't that weak.\Fool of a father...\Black Blood's Resonance War!\The Small Soul's Large Struggle To Oppose Fear? response:	Oi, Maka! What are you doing, firing up our opponent?
context: Maka is ignoring her orders and fighting the Devil Sword.\What?\It seems your cute little daughter has chosen death...\My daughter isn't that weak.\Fool of a father...\Black Blood's Resonance War!\The Small Soul's Large Struggle To Oppose Fear?\Oi, Maka! What are you doing, firing up our opponent? response:	Right?
context: What?\It seems your cute little daughter has chosen death...\My daughter isn't that weak.\Fool of a father...\Black Blood's Resonance War!\The Small Soul's Large Struggle To Oppose Fear?\Oi, Maka! What are you doing, firing up our opponent?\Right? response:	Here I go.
context: It seems your cute little daughter has chosen death...\My daughter isn't that weak.\Fool of a father...\Black Blood's Resonance War!\The Small Soul's Large Struggle To Oppose Fear?\Oi, Maka! What are you doing, firing up our opponent?\Right?\Here I go. response:	She's coming, Maka!
context: My daughter isn't that weak.\Fool of a father...\Black Blood's Resonance War!\The Small Soul's Large Struggle To Oppose Fear?\Oi, Maka! What are you doing, firing up our opponent?\Right?\Here I go.\She's coming, Maka! response:	Bloody Slicer!
context: Fool of a father...\Black Blood's Resonance War!\The Small Soul's Large Struggle To Oppose Fear?\Oi, Maka! What are you doing, firing up our opponent?\Right?\Here I go.\She's coming, Maka!\Bloody Slicer! response:	The hardened black blood has liquefied?
context: Black Blood's Resonance War!\The Small Soul's Large Struggle To Oppose Fear?\Oi, Maka! What are you doing, firing up our opponent?\Right?\Here I go.\She's coming, Maka!\Bloody Slicer!\The hardened black blood has liquefied? response:	Bloody Needle!
context: The Small Soul's Large Struggle To Oppose Fear?\Oi, Maka! What are you doing, firing up our opponent?\Right?\Here I go.\She's coming, Maka!\Bloody Slicer!\The hardened black blood has liquefied?\Bloody Needle! response:	She's really a troublesome one.
context: Oi, Maka! What are you doing, firing up our opponent?\Right?\Here I go.\She's coming, Maka!\Bloody Slicer!\The hardened black blood has liquefied?\Bloody Needle!\She's really a troublesome one. response:	Ragnarok...
context: Right?\Here I go.\She's coming, Maka!\Bloody Slicer!\The hardened black blood has liquefied?\Bloody Needle!\She's really a troublesome one.\Ragnarok... response:	Shut it!
context: Here I go.\She's coming, Maka!\Bloody Slicer!\The hardened black blood has liquefied?\Bloody Needle!\She's really a troublesome one.\Ragnarok...\Shut it! response:	Scream Resonance.
context: She's coming, Maka!\Bloody Slicer!\The hardened black blood has liquefied?\Bloody Needle!\She's really a troublesome one.\Ragnarok...\Shut it!\Scream Resonance. response:	Why? Why target the souls of innocent people and revive the Kishin?
context: Bloody Slicer!\The hardened black blood has liquefied?\Bloody Needle!\She's really a troublesome one.\Ragnarok...\Shut it!\Scream Resonance.\Why? Why target the souls of innocent people and revive the Kishin? response:	Because I'm afraid...
context: The hardened black blood has liquefied?\Bloody Needle!\She's really a troublesome one.\Ragnarok...\Shut it!\Scream Resonance.\Why? Why target the souls of innocent people and revive the Kishin?\Because I'm afraid... response:	If I become stronger, I'll know how to deal with a lot of things.
context: Bloody Needle!\She's really a troublesome one.\Ragnarok...\Shut it!\Scream Resonance.\Why? Why target the souls of innocent people and revive the Kishin?\Because I'm afraid...\If I become stronger, I'll know how to deal with a lot of things. response:	If I don't become a Kishin, Medusa-sama will abandon me.
context: She's really a troublesome one.\Ragnarok...\Shut it!\Scream Resonance.\Why? Why target the souls of innocent people and revive the Kishin?\Because I'm afraid...\If I become stronger, I'll know how to deal with a lot of things.\If I don't become a Kishin, Medusa-sama will abandon me. response:	If I don't become strong, everything will be full of scary things!
context: Ragnarok...\Shut it!\Scream Resonance.\Why? Why target the souls of innocent people and revive the Kishin?\Because I'm afraid...\If I become stronger, I'll know how to deal with a lot of things.\If I don't become a Kishin, Medusa-sama will abandon me.\If I don't become strong, everything will be full of scary things! response:	Screech Alpha!
context: Shut it!\Scream Resonance.\Why? Why target the souls of innocent people and revive the Kishin?\Because I'm afraid...\If I become stronger, I'll know how to deal with a lot of things.\If I don't become a Kishin, Medusa-sama will abandon me.\If I don't become strong, everything will be full of scary things!\Screech Alpha! response:	Come at me with everything you got!
context: Scream Resonance.\Why? Why target the souls of innocent people and revive the Kishin?\Because I'm afraid...\If I become stronger, I'll know how to deal with a lot of things.\If I don't become a Kishin, Medusa-sama will abandon me.\If I don't become strong, everything will be full of scary things!\Screech Alpha!\Come at me with everything you got! response:	Even though I'm weak and scared, I'll crush it down!
context: Why? Why target the souls of innocent people and revive the Kishin?\Because I'm afraid...\If I become stronger, I'll know how to deal with a lot of things.\If I don't become a Kishin, Medusa-sama will abandon me.\If I don't become strong, everything will be full of scary things!\Screech Alpha!\Come at me with everything you got!\Even though I'm weak and scared, I'll crush it down! response:	Chrona!
context: Because I'm afraid...\If I become stronger, I'll know how to deal with a lot of things.\If I don't become a Kishin, Medusa-sama will abandon me.\If I don't become strong, everything will be full of scary things!\Screech Alpha!\Come at me with everything you got!\Even though I'm weak and scared, I'll crush it down!\Chrona! response:	One question.
context: If I become stronger, I'll know how to deal with a lot of things.\If I don't become a Kishin, Medusa-sama will abandon me.\If I don't become strong, everything will be full of scary things!\Screech Alpha!\Come at me with everything you got!\Even though I'm weak and scared, I'll crush it down!\Chrona!\One question. response:	You abducted Devil Sword kid from somewhere.
context: If I don't become a Kishin, Medusa-sama will abandon me.\If I don't become strong, everything will be full of scary things!\Screech Alpha!\Come at me with everything you got!\Even though I'm weak and scared, I'll crush it down!\Chrona!\One question.\You abducted Devil Sword kid from somewhere. response:	By using that Devil Sword you tried to create a Kishin, right?
context: If I don't become strong, everything will be full of scary things!\Screech Alpha!\Come at me with everything you got!\Even though I'm weak and scared, I'll crush it down!\Chrona!\One question.\You abducted Devil Sword kid from somewhere.\By using that Devil Sword you tried to create a Kishin, right? response:	But still, why are you trying to resurrect Kishin?
context: Screech Alpha!\Come at me with everything you got!\Even though I'm weak and scared, I'll crush it down!\Chrona!\One question.\You abducted Devil Sword kid from somewhere.\By using that Devil Sword you tried to create a Kishin, right?\But still, why are you trying to resurrect Kishin? response:	You're disappointed by a Devil Sword that shows no sign of turning into a Kishin.
context: Come at me with everything you got!\Even though I'm weak and scared, I'll crush it down!\Chrona!\One question.\You abducted Devil Sword kid from somewhere.\By using that Devil Sword you tried to create a Kishin, right?\But still, why are you trying to resurrect Kishin?\You're disappointed by a Devil Sword that shows no sign of turning into a Kishin. response:	That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin.
context: Even though I'm weak and scared, I'll crush it down!\Chrona!\One question.\You abducted Devil Sword kid from somewhere.\By using that Devil Sword you tried to create a Kishin, right?\But still, why are you trying to resurrect Kishin?\You're disappointed by a Devil Sword that shows no sign of turning into a Kishin.\That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin. response:	Once she becomes of no use what do you intend to do with her?
context: Chrona!\One question.\You abducted Devil Sword kid from somewhere.\By using that Devil Sword you tried to create a Kishin, right?\But still, why are you trying to resurrect Kishin?\You're disappointed by a Devil Sword that shows no sign of turning into a Kishin.\That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin.\Once she becomes of no use what do you intend to do with her? response:	Your experience was a failure.
context: One question.\You abducted Devil Sword kid from somewhere.\By using that Devil Sword you tried to create a Kishin, right?\But still, why are you trying to resurrect Kishin?\You're disappointed by a Devil Sword that shows no sign of turning into a Kishin.\That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin.\Once she becomes of no use what do you intend to do with her?\Your experience was a failure. response:	That's the best news of this year!
context: You abducted Devil Sword kid from somewhere.\By using that Devil Sword you tried to create a Kishin, right?\But still, why are you trying to resurrect Kishin?\You're disappointed by a Devil Sword that shows no sign of turning into a Kishin.\That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin.\Once she becomes of no use what do you intend to do with her?\Your experience was a failure.\That's the best news of this year! response:	What is it?
context: By using that Devil Sword you tried to create a Kishin, right?\But still, why are you trying to resurrect Kishin?\You're disappointed by a Devil Sword that shows no sign of turning into a Kishin.\That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin.\Once she becomes of no use what do you intend to do with her?\Your experience was a failure.\That's the best news of this year!\What is it? response:	Did I say something funny?
context: But still, why are you trying to resurrect Kishin?\You're disappointed by a Devil Sword that shows no sign of turning into a Kishin.\That's why you're taking this huge risk by using the black blood and aiming to revive the Kishin.\Once she becomes of no use what do you intend to do with her?\Your experience was a failure.\That's the best news of this year!\What is it?\Did I say something funny? response:	Really, such a cheeky boy.
