context: The Kingdom of Fiore... response:	A neutral country of 17 million people.
context: The wizards belong to various guilds and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Last time on Fairy Tail!\You were looking for a dragon?\I feel sick... response:	I've been tricked!
context: There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Last time on Fairy Tail!\You were looking for a dragon?\I feel sick...\I've been tricked! response:	I won't forgive those who pretend to be from Fairy Tail!
context: And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Last time on Fairy Tail!\You were looking for a dragon?\I feel sick...\I've been tricked!\I won't forgive those who pretend to be from Fairy Tail! response:	That's going overboard!
context: A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Last time on Fairy Tail!\You were looking for a dragon?\I feel sick...\I've been tricked!\I won't forgive those who pretend to be from Fairy Tail!\That's going overboard! response:	Come join our guild!
context: Fairy Tail!\Last time on Fairy Tail!\You were looking for a dragon?\I feel sick...\I've been tricked!\I won't forgive those who pretend to be from Fairy Tail!\That's going overboard!\Come join our guild! response:	Sure!
context: Last time on Fairy Tail!\You were looking for a dragon?\I feel sick...\I've been tricked!\I won't forgive those who pretend to be from Fairy Tail!\That's going overboard!\Come join our guild!\Sure! response:	The Magic Council, Era.
context: You were looking for a dragon?\I feel sick...\I've been tricked!\I won't forgive those who pretend to be from Fairy Tail!\That's going overboard!\Come join our guild!\Sure!\The Magic Council, Era. response:	Those idiots from Fairy Tail are at it again!
context: I feel sick...\I've been tricked!\I won't forgive those who pretend to be from Fairy Tail!\That's going overboard!\Come join our guild!\Sure!\The Magic Council, Era.\Those idiots from Fairy Tail are at it again! response:	This time they've destroyed half a port!
context: I've been tricked!\I won't forgive those who pretend to be from Fairy Tail!\That's going overboard!\Come join our guild!\Sure!\The Magic Council, Era.\Those idiots from Fairy Tail are at it again!\This time they've destroyed half a port! response:	Now they've done it!
context: I won't forgive those who pretend to be from Fairy Tail!\That's going overboard!\Come join our guild!\Sure!\The Magic Council, Era.\Those idiots from Fairy Tail are at it again!\This time they've destroyed half a port!\Now they've done it! response:	I quite like those bunch of fools, personally.
context: That's going overboard!\Come join our guild!\Sure!\The Magic Council, Era.\Those idiots from Fairy Tail are at it again!\This time they've destroyed half a port!\Now they've done it!\I quite like those bunch of fools, personally. response:	Indeed they are quite the fools, yes.
context: Come join our guild!\Sure!\The Magic Council, Era.\Those idiots from Fairy Tail are at it again!\This time they've destroyed half a port!\Now they've done it!\I quite like those bunch of fools, personally.\Indeed they are quite the fools, yes. response:	But they've assembled many wizards of talent and ability.
context: Sure!\The Magic Council, Era.\Those idiots from Fairy Tail are at it again!\This time they've destroyed half a port!\Now they've done it!\I quite like those bunch of fools, personally.\Indeed they are quite the fools, yes.\But they've assembled many wizards of talent and ability. response:	I guess you take the good with the bad.
context: The Magic Council, Era.\Those idiots from Fairy Tail are at it again!\This time they've destroyed half a port!\Now they've done it!\I quite like those bunch of fools, personally.\Indeed they are quite the fools, yes.\But they've assembled many wizards of talent and ability.\I guess you take the good with the bad. response:	Just leave them be.
context: Those idiots from Fairy Tail are at it again!\This time they've destroyed half a port!\Now they've done it!\I quite like those bunch of fools, personally.\Indeed they are quite the fools, yes.\But they've assembled many wizards of talent and ability.\I guess you take the good with the bad.\Just leave them be. response:	Without those fools, this world would be boring.
context: This time they've destroyed half a port!\Now they've done it!\I quite like those bunch of fools, personally.\Indeed they are quite the fools, yes.\But they've assembled many wizards of talent and ability.\I guess you take the good with the bad.\Just leave them be.\Without those fools, this world would be boring. response:	Fire Dragon, Monkey, and Bull!
context: Now they've done it!\I quite like those bunch of fools, personally.\Indeed they are quite the fools, yes.\But they've assembled many wizards of talent and ability.\I guess you take the good with the bad.\Just leave them be.\Without those fools, this world would be boring.\Fire Dragon, Monkey, and Bull! response:	We're back!
context: I quite like those bunch of fools, personally.\Indeed they are quite the fools, yes.\But they've assembled many wizards of talent and ability.\I guess you take the good with the bad.\Just leave them be.\Without those fools, this world would be boring.\Fire Dragon, Monkey, and Bull!\We're back! response:	We're back!
context: Indeed they are quite the fools, yes.\But they've assembled many wizards of talent and ability.\I guess you take the good with the bad.\Just leave them be.\Without those fools, this world would be boring.\Fire Dragon, Monkey, and Bull!\We're back!\We're back! response:	Yo!
context: But they've assembled many wizards of talent and ability.\I guess you take the good with the bad.\Just leave them be.\Without those fools, this world would be boring.\Fire Dragon, Monkey, and Bull!\We're back!\We're back!\Yo! response:	What's up!
context: I guess you take the good with the bad.\Just leave them be.\Without those fools, this world would be boring.\Fire Dragon, Monkey, and Bull!\We're back!\We're back!\Yo!\What's up! response:	Hey!
context: Just leave them be.\Without those fools, this world would be boring.\Fire Dragon, Monkey, and Bull!\We're back!\We're back!\Yo!\What's up!\Hey! response:	There you go makin' trouble again!
context: Without those fools, this world would be boring.\Fire Dragon, Monkey, and Bull!\We're back!\We're back!\Yo!\What's up!\Hey!\There you go makin' trouble again! response:	You half destroyed Harge-
context: Fire Dragon, Monkey, and Bull!\We're back!\We're back!\Yo!\What's up!\Hey!\There you go makin' trouble again!\You half destroyed Harge- response:	Why?
context: We're back!\We're back!\Yo!\What's up!\Hey!\There you go makin' trouble again!\You half destroyed Harge-\Why? response:	That info about the salamander was a lie, wasn't it?
context: We're back!\Yo!\What's up!\Hey!\There you go makin' trouble again!\You half destroyed Harge-\Why?\That info about the salamander was a lie, wasn't it? response:	How would I know?
context: Yo!\What's up!\Hey!\There you go makin' trouble again!\You half destroyed Harge-\Why?\That info about the salamander was a lie, wasn't it?\How would I know? response:	I just told you some rumors that've been going around!
context: What's up!\Hey!\There you go makin' trouble again!\You half destroyed Harge-\Why?\That info about the salamander was a lie, wasn't it?\How would I know?\I just told you some rumors that've been going around! response:	What'd you say?!
context: Hey!\There you go makin' trouble again!\You half destroyed Harge-\Why?\That info about the salamander was a lie, wasn't it?\How would I know?\I just told you some rumors that've been going around!\What'd you say?! response:	You wanna go?
context: There you go makin' trouble again!\You half destroyed Harge-\Why?\That info about the salamander was a lie, wasn't it?\How would I know?\I just told you some rumors that've been going around!\What'd you say?!\You wanna go? response:	Now, now, Natsu...
context: You half destroyed Harge-\Why?\That info about the salamander was a lie, wasn't it?\How would I know?\I just told you some rumors that've been going around!\What'd you say?!\You wanna go?\Now, now, Natsu... response:	This isn't something to get-
context: Why?\That info about the salamander was a lie, wasn't it?\How would I know?\I just told you some rumors that've been going around!\What'd you say?!\You wanna go?\Now, now, Natsu...\This isn't something to get- response:	Wow...
context: That info about the salamander was a lie, wasn't it?\How would I know?\I just told you some rumors that've been going around!\What'd you say?!\You wanna go?\Now, now, Natsu...\This isn't something to get-\Wow... response:	I've actually made it into Fairy Tail!
context: How would I know?\I just told you some rumors that've been going around!\What'd you say?!\You wanna go?\Now, now, Natsu...\This isn't something to get-\Wow...\I've actually made it into Fairy Tail! response:	So Natsu's back?
context: I just told you some rumors that've been going around!\What'd you say?!\You wanna go?\Now, now, Natsu...\This isn't something to get-\Wow...\I've actually made it into Fairy Tail!\So Natsu's back? response:	This man is Gray Fullbuster.
context: What'd you say?!\You wanna go?\Now, now, Natsu...\This isn't something to get-\Wow...\I've actually made it into Fairy Tail!\So Natsu's back?\This man is Gray Fullbuster. response:	He is capable at his work, but has a small...
context: You wanna go?\Now, now, Natsu...\This isn't something to get-\Wow...\I've actually made it into Fairy Tail!\So Natsu's back?\This man is Gray Fullbuster.\He is capable at his work, but has a small... response:	We're gonna finish what we started, Natsu!
context: Now, now, Natsu...\This isn't something to get-\Wow...\I've actually made it into Fairy Tail!\So Natsu's back?\This man is Gray Fullbuster.\He is capable at his work, but has a small...\We're gonna finish what we started, Natsu! response:	Gray... Your clothes.
context: This isn't something to get-\Wow...\I've actually made it into Fairy Tail!\So Natsu's back?\This man is Gray Fullbuster.\He is capable at his work, but has a small...\We're gonna finish what we started, Natsu!\Gray... Your clothes. response:	Oops!
context: Wow...\I've actually made it into Fairy Tail!\So Natsu's back?\This man is Gray Fullbuster.\He is capable at his work, but has a small...\We're gonna finish what we started, Natsu!\Gray... Your clothes.\Oops! response:	This woman is Cana Alberona, the biggest drinker in all of Fairy Tail.
context: I've actually made it into Fairy Tail!\So Natsu's back?\This man is Gray Fullbuster.\He is capable at his work, but has a small...\We're gonna finish what we started, Natsu!\Gray... Your clothes.\Oops!\This woman is Cana Alberona, the biggest drinker in all of Fairy Tail. response:	This is why all the men here have no class.
context: So Natsu's back?\This man is Gray Fullbuster.\He is capable at his work, but has a small...\We're gonna finish what we started, Natsu!\Gray... Your clothes.\Oops!\This woman is Cana Alberona, the biggest drinker in all of Fairy Tail.\This is why all the men here have no class. response:	Let's do this!
context: This man is Gray Fullbuster.\He is capable at his work, but has a small...\We're gonna finish what we started, Natsu!\Gray... Your clothes.\Oops!\This woman is Cana Alberona, the biggest drinker in all of Fairy Tail.\This is why all the men here have no class.\Let's do this! response:	Put some clothes on and have at me!
context: He is capable at his work, but has a small...\We're gonna finish what we started, Natsu!\Gray... Your clothes.\Oops!\This woman is Cana Alberona, the biggest drinker in all of Fairy Tail.\This is why all the men here have no class.\Let's do this!\Put some clothes on and have at me! response:	All this crying and whining before noon?
context: We're gonna finish what we started, Natsu!\Gray... Your clothes.\Oops!\This woman is Cana Alberona, the biggest drinker in all of Fairy Tail.\This is why all the men here have no class.\Let's do this!\Put some clothes on and have at me!\All this crying and whining before noon? response:	What a bunch of babies!
context: Gray... Your clothes.\Oops!\This woman is Cana Alberona, the biggest drinker in all of Fairy Tail.\This is why all the men here have no class.\Let's do this!\Put some clothes on and have at me!\All this crying and whining before noon?\What a bunch of babies! response:	This man is Elfman.
context: Oops!\This woman is Cana Alberona, the biggest drinker in all of Fairy Tail.\This is why all the men here have no class.\Let's do this!\Put some clothes on and have at me!\All this crying and whining before noon?\What a bunch of babies!\This man is Elfman. response:	He'll solve any kind of job with only his fists.
context: This woman is Cana Alberona, the biggest drinker in all of Fairy Tail.\This is why all the men here have no class.\Let's do this!\Put some clothes on and have at me!\All this crying and whining before noon?\What a bunch of babies!\This man is Elfman.\He'll solve any kind of job with only his fists. response:	He's a hyper-muscled wizard.
context: This is why all the men here have no class.\Let's do this!\Put some clothes on and have at me!\All this crying and whining before noon?\What a bunch of babies!\This man is Elfman.\He'll solve any kind of job with only his fists.\He's a hyper-muscled wizard. response:	If you're a man, then talk with your fists!
context: Let's do this!\Put some clothes on and have at me!\All this crying and whining before noon?\What a bunch of babies!\This man is Elfman.\He'll solve any kind of job with only his fists.\He's a hyper-muscled wizard.\If you're a man, then talk with your fists! response:	Oh, he's actually encouraging them...
context: Put some clothes on and have at me!\All this crying and whining before noon?\What a bunch of babies!\This man is Elfman.\He'll solve any kind of job with only his fists.\He's a hyper-muscled wizard.\If you're a man, then talk with your fists!\Oh, he's actually encouraging them... response:	Outta our way!
context: All this crying and whining before noon?\What a bunch of babies!\This man is Elfman.\He'll solve any kind of job with only his fists.\He's a hyper-muscled wizard.\If you're a man, then talk with your fists!\Oh, he's actually encouraging them...\Outta our way! response:	And he's already out for the count!
context: What a bunch of babies!\This man is Elfman.\He'll solve any kind of job with only his fists.\He's a hyper-muscled wizard.\If you're a man, then talk with your fists!\Oh, he's actually encouraging them...\Outta our way!\And he's already out for the count! response:	My, how noisy it is.
context: This man is Elfman.\He'll solve any kind of job with only his fists.\He's a hyper-muscled wizard.\If you're a man, then talk with your fists!\Oh, he's actually encouraging them...\Outta our way!\And he's already out for the count!\My, how noisy it is. response:	This man is Loke.
context: He'll solve any kind of job with only his fists.\He's a hyper-muscled wizard.\If you're a man, then talk with your fists!\Oh, he's actually encouraging them...\Outta our way!\And he's already out for the count!\My, how noisy it is.\This man is Loke. response:	He's high up on the list of Most Eligible Wizards.
context: He's a hyper-muscled wizard.\If you're a man, then talk with your fists!\Oh, he's actually encouraging them...\Outta our way!\And he's already out for the count!\My, how noisy it is.\This man is Loke.\He's high up on the list of Most Eligible Wizards. response:	I'm gonna mix it up, just for you all!
context: If you're a man, then talk with your fists!\Oh, he's actually encouraging them...\Outta our way!\And he's already out for the count!\My, how noisy it is.\This man is Loke.\He's high up on the list of Most Eligible Wizards.\I'm gonna mix it up, just for you all! response:	Good luck!
context: Oh, he's actually encouraging them...\Outta our way!\And he's already out for the count!\My, how noisy it is.\This man is Loke.\He's high up on the list of Most Eligible Wizards.\I'm gonna mix it up, just for you all!\Good luck! response:	Okay, this guy just went off my list.
context: Outta our way!\And he's already out for the count!\My, how noisy it is.\This man is Loke.\He's high up on the list of Most Eligible Wizards.\I'm gonna mix it up, just for you all!\Good luck!\Okay, this guy just went off my list. response:	But man, what's with this place?
context: And he's already out for the count!\My, how noisy it is.\This man is Loke.\He's high up on the list of Most Eligible Wizards.\I'm gonna mix it up, just for you all!\Good luck!\Okay, this guy just went off my list.\But man, what's with this place? response:	Is there not a single serious wizard in the joint?
context: My, how noisy it is.\This man is Loke.\He's high up on the list of Most Eligible Wizards.\I'm gonna mix it up, just for you all!\Good luck!\Okay, this guy just went off my list.\But man, what's with this place?\Is there not a single serious wizard in the joint? response:	Oh, it's a newcomer!
context: This man is Loke.\He's high up on the list of Most Eligible Wizards.\I'm gonna mix it up, just for you all!\Good luck!\Okay, this guy just went off my list.\But man, what's with this place?\Is there not a single serious wizard in the joint?\Oh, it's a newcomer! response:	Mirajane!
context: He's high up on the list of Most Eligible Wizards.\I'm gonna mix it up, just for you all!\Good luck!\Okay, this guy just went off my list.\But man, what's with this place?\Is there not a single serious wizard in the joint?\Oh, it's a newcomer!\Mirajane! response:	In the flesh!
context: I'm gonna mix it up, just for you all!\Good luck!\Okay, this guy just went off my list.\But man, what's with this place?\Is there not a single serious wizard in the joint?\Oh, it's a newcomer!\Mirajane!\In the flesh! response:	This woman is Mirajane.
context: Good luck!\Okay, this guy just went off my list.\But man, what's with this place?\Is there not a single serious wizard in the joint?\Oh, it's a newcomer!\Mirajane!\In the flesh!\This woman is Mirajane. response:	A wizard that does photo spreads in the Weekly Sorcerer.
context: Okay, this guy just went off my list.\But man, what's with this place?\Is there not a single serious wizard in the joint?\Oh, it's a newcomer!\Mirajane!\In the flesh!\This woman is Mirajane.\A wizard that does photo spreads in the Weekly Sorcerer. response:	She currently is an employee at Fairy Tail.
context: But man, what's with this place?\Is there not a single serious wizard in the joint?\Oh, it's a newcomer!\Mirajane!\In the flesh!\This woman is Mirajane.\A wizard that does photo spreads in the Weekly Sorcerer.\She currently is an employee at Fairy Tail. response:	Um, are you sure it's okay not to stop them?
context: Is there not a single serious wizard in the joint?\Oh, it's a newcomer!\Mirajane!\In the flesh!\This woman is Mirajane.\A wizard that does photo spreads in the Weekly Sorcerer.\She currently is an employee at Fairy Tail.\Um, are you sure it's okay not to stop them? response:	They're always like this.
context: Oh, it's a newcomer!\Mirajane!\In the flesh!\This woman is Mirajane.\A wizard that does photo spreads in the Weekly Sorcerer.\She currently is an employee at Fairy Tail.\Um, are you sure it's okay not to stop them?\They're always like this. response:	It's better to leave them alone.
context: Mirajane!\In the flesh!\This woman is Mirajane.\A wizard that does photo spreads in the Weekly Sorcerer.\She currently is an employee at Fairy Tail.\Um, are you sure it's okay not to stop them?\They're always like this.\It's better to leave them alone. response:	And anyway...
context: In the flesh!\This woman is Mirajane.\A wizard that does photo spreads in the Weekly Sorcerer.\She currently is an employee at Fairy Tail.\Um, are you sure it's okay not to stop them?\They're always like this.\It's better to leave them alone.\And anyway... response:	Isn't it fun?
context: This woman is Mirajane.\A wizard that does photo spreads in the Weekly Sorcerer.\She currently is an employee at Fairy Tail.\Um, are you sure it's okay not to stop them?\They're always like this.\It's better to leave them alone.\And anyway...\Isn't it fun? response:	Mirajane-san!
context: A wizard that does photo spreads in the Weekly Sorcerer.\She currently is an employee at Fairy Tail.\Um, are you sure it's okay not to stop them?\They're always like this.\It's better to leave them alone.\And anyway...\Isn't it fun?\Mirajane-san! response:	My underwear!
context: She currently is an employee at Fairy Tail.\Um, are you sure it's okay not to stop them?\They're always like this.\It's better to leave them alone.\And anyway...\Isn't it fun?\Mirajane-san!\My underwear! response:	Miss, would you be so kind as to lend me your under-
context: Um, are you sure it's okay not to stop them?\They're always like this.\It's better to leave them alone.\And anyway...\Isn't it fun?\Mirajane-san!\My underwear!\Miss, would you be so kind as to lend me your under- response:	As if!
context: They're always like this.\It's better to leave them alone.\And anyway...\Isn't it fun?\Mirajane-san!\My underwear!\Miss, would you be so kind as to lend me your under-\As if! response:	These indelicate oafs causing you trouble?
context: It's better to leave them alone.\And anyway...\Isn't it fun?\Mirajane-san!\My underwear!\Miss, would you be so kind as to lend me your under-\As if!\These indelicate oafs causing you trouble? response:	Men talk with their fists!
context: And anyway...\Isn't it fun?\Mirajane-san!\My underwear!\Miss, would you be so kind as to lend me your under-\As if!\These indelicate oafs causing you trouble?\Men talk with their fists! response:	You're in the way!
context: Isn't it fun?\Mirajane-san!\My underwear!\Miss, would you be so kind as to lend me your under-\As if!\These indelicate oafs causing you trouble?\Men talk with their fists!\You're in the way! response:	Aye!
context: Mirajane-san!\My underwear!\Miss, would you be so kind as to lend me your under-\As if!\These indelicate oafs causing you trouble?\Men talk with their fists!\You're in the way!\Aye! response:	Everyone's being so loud! I can't relax and drink.
context: My underwear!\Miss, would you be so kind as to lend me your under-\As if!\These indelicate oafs causing you trouble?\Men talk with their fists!\You're in the way!\Aye!\Everyone's being so loud! I can't relax and drink. response:	I've had enough out of all of you!
context: Miss, would you be so kind as to lend me your under-\As if!\These indelicate oafs causing you trouble?\Men talk with their fists!\You're in the way!\Aye!\Everyone's being so loud! I can't relax and drink.\I've had enough out of all of you! response:	Now you've done it!
context: As if!\These indelicate oafs causing you trouble?\Men talk with their fists!\You're in the way!\Aye!\Everyone's being so loud! I can't relax and drink.\I've had enough out of all of you!\Now you've done it! response:	What troublemakers you are.
context: These indelicate oafs causing you trouble?\Men talk with their fists!\You're in the way!\Aye!\Everyone's being so loud! I can't relax and drink.\I've had enough out of all of you!\Now you've done it!\What troublemakers you are. response:	Bring it on!
context: Men talk with their fists!\You're in the way!\Aye!\Everyone's being so loud! I can't relax and drink.\I've had enough out of all of you!\Now you've done it!\What troublemakers you are.\Bring it on! response:	Shield
context: You're in the way!\Aye!\Everyone's being so loud! I can't relax and drink.\I've had enough out of all of you!\Now you've done it!\What troublemakers you are.\Bring it on!\Shield response:	They're gonna fight with magic?
context: Aye!\Everyone's being so loud! I can't relax and drink.\I've had enough out of all of you!\Now you've done it!\What troublemakers you are.\Bring it on!\Shield\They're gonna fight with magic? response:	Aye!
context: Everyone's being so loud! I can't relax and drink.\I've had enough out of all of you!\Now you've done it!\What troublemakers you are.\Bring it on!\Shield\They're gonna fight with magic?\Aye! response:	Aye, nothing!
context: I've had enough out of all of you!\Now you've done it!\What troublemakers you are.\Bring it on!\Shield\They're gonna fight with magic?\Aye!\Aye, nothing! response:	Stop this, you fools!
context: Now you've done it!\What troublemakers you are.\Bring it on!\Shield\They're gonna fight with magic?\Aye!\Aye, nothing!\Stop this, you fools! response:	A giant!
context: What troublemakers you are.\Bring it on!\Shield\They're gonna fight with magic?\Aye!\Aye, nothing!\Stop this, you fools!\A giant! response:	Oh, you were here, Master?
context: Bring it on!\Shield\They're gonna fight with magic?\Aye!\Aye, nothing!\Stop this, you fools!\A giant!\Oh, you were here, Master? response:	Yes.
context: Shield\They're gonna fight with magic?\Aye!\Aye, nothing!\Stop this, you fools!\A giant!\Oh, you were here, Master?\Yes. response:	Master?!
context: They're gonna fight with magic?\Aye!\Aye, nothing!\Stop this, you fools!\A giant!\Oh, you were here, Master?\Yes.\Master?! response:	Everyone's scared stiff!
context: Aye!\Aye, nothing!\Stop this, you fools!\A giant!\Oh, you were here, Master?\Yes.\Master?!\Everyone's scared stiff! response:	Victory is mi-
context: Aye, nothing!\Stop this, you fools!\A giant!\Oh, you were here, Master?\Yes.\Master?!\Everyone's scared stiff!\Victory is mi- response:	A new recruit, are we?
context: Stop this, you fools!\A giant!\Oh, you were here, Master?\Yes.\Master?!\Everyone's scared stiff!\Victory is mi-\A new recruit, are we? response:	Y-Yes!
context: A giant!\Oh, you were here, Master?\Yes.\Master?!\Everyone's scared stiff!\Victory is mi-\A new recruit, are we?\Y-Yes! response:	Glad to have you on board!
context: Oh, you were here, Master?\Yes.\Master?!\Everyone's scared stiff!\Victory is mi-\A new recruit, are we?\Y-Yes!\Glad to have you on board! response:	Now he's tiny!
context: Yes.\Master?!\Everyone's scared stiff!\Victory is mi-\A new recruit, are we?\Y-Yes!\Glad to have you on board!\Now he's tiny! response:	And wait, if you're the master...
context: Master?!\Everyone's scared stiff!\Victory is mi-\A new recruit, are we?\Y-Yes!\Glad to have you on board!\Now he's tiny!\And wait, if you're the master... response:	That's right, this is Fairy Tail's Guild Master, Makarov-san.
context: Everyone's scared stiff!\Victory is mi-\A new recruit, are we?\Y-Yes!\Glad to have you on board!\Now he's tiny!\And wait, if you're the master...\That's right, this is Fairy Tail's Guild Master, Makarov-san. response:	You've gone and done it again, rascals!
context: Victory is mi-\A new recruit, are we?\Y-Yes!\Glad to have you on board!\Now he's tiny!\And wait, if you're the master...\That's right, this is Fairy Tail's Guild Master, Makarov-san.\You've gone and done it again, rascals! response:	Look at all this paperwork the council sent me!
context: A new recruit, are we?\Y-Yes!\Glad to have you on board!\Now he's tiny!\And wait, if you're the master...\That's right, this is Fairy Tail's Guild Master, Makarov-san.\You've gone and done it again, rascals!\Look at all this paperwork the council sent me! response:	They're all complaints!
context: Y-Yes!\Glad to have you on board!\Now he's tiny!\And wait, if you're the master...\That's right, this is Fairy Tail's Guild Master, Makarov-san.\You've gone and done it again, rascals!\Look at all this paperwork the council sent me!\They're all complaints! response:	The council.
context: Glad to have you on board!\Now he's tiny!\And wait, if you're the master...\That's right, this is Fairy Tail's Guild Master, Makarov-san.\You've gone and done it again, rascals!\Look at all this paperwork the council sent me!\They're all complaints!\The council. response:	The Place from Before
context: Now he's tiny!\And wait, if you're the master...\That's right, this is Fairy Tail's Guild Master, Makarov-san.\You've gone and done it again, rascals!\Look at all this paperwork the council sent me!\They're all complaints!\The council.\The Place from Before response:	The organization that manages all the different Wizard's Guilds.
context: And wait, if you're the master...\That's right, this is Fairy Tail's Guild Master, Makarov-san.\You've gone and done it again, rascals!\Look at all this paperwork the council sent me!\They're all complaints!\The council.\The Place from Before\The organization that manages all the different Wizard's Guilds. response:	All you fools do is make the council angry at me!
context: That's right, this is Fairy Tail's Guild Master, Makarov-san.\You've gone and done it again, rascals!\Look at all this paperwork the council sent me!\They're all complaints!\The council.\The Place from Before\The organization that manages all the different Wizard's Guilds.\All you fools do is make the council angry at me! response:	However...
context: You've gone and done it again, rascals!\Look at all this paperwork the council sent me!\They're all complaints!\The council.\The Place from Before\The organization that manages all the different Wizard's Guilds.\All you fools do is make the council angry at me!\However... response:	Screw the council!
context: Look at all this paperwork the council sent me!\They're all complaints!\The council.\The Place from Before\The organization that manages all the different Wizard's Guilds.\All you fools do is make the council angry at me!\However...\Screw the council! response:	Listen up!
context: They're all complaints!\The council.\The Place from Before\The organization that manages all the different Wizard's Guilds.\All you fools do is make the council angry at me!\However...\Screw the council!\Listen up! response:	Magic is an unreasonable power, but it is born from reason!
context: The council.\The Place from Before\The organization that manages all the different Wizard's Guilds.\All you fools do is make the council angry at me!\However...\Screw the council!\Listen up!\Magic is an unreasonable power, but it is born from reason! response:	It is not some miraculous ability.
context: The Place from Before\The organization that manages all the different Wizard's Guilds.\All you fools do is make the council angry at me!\However...\Screw the council!\Listen up!\Magic is an unreasonable power, but it is born from reason!\It is not some miraculous ability. response:	It is the combination of the spirit that flows withing us
context: The organization that manages all the different Wizard's Guilds.\All you fools do is make the council angry at me!\However...\Screw the council!\Listen up!\Magic is an unreasonable power, but it is born from reason!\It is not some miraculous ability.\It is the combination of the spirit that flows withing us response:	with the spirit that flows within nature itself, incarnated into physical form!
context: All you fools do is make the council angry at me!\However...\Screw the council!\Listen up!\Magic is an unreasonable power, but it is born from reason!\It is not some miraculous ability.\It is the combination of the spirit that flows withing us\with the spirit that flows within nature itself, incarnated into physical form! response:	It takes a strong mind and focus!
context: However...\Screw the council!\Listen up!\Magic is an unreasonable power, but it is born from reason!\It is not some miraculous ability.\It is the combination of the spirit that flows withing us\with the spirit that flows within nature itself, incarnated into physical form!\It takes a strong mind and focus! response:	In fact, magic is the pouring out of ones entire soul!
context: Screw the council!\Listen up!\Magic is an unreasonable power, but it is born from reason!\It is not some miraculous ability.\It is the combination of the spirit that flows withing us\with the spirit that flows within nature itself, incarnated into physical form!\It takes a strong mind and focus!\In fact, magic is the pouring out of ones entire soul! response:	One cannot progress in the way of magic by being mindful of the watchful eye from above!
