context: Until the competition is over, response:	there will be no practice.
context: Deer...\Senpai.. It must be a real shock for you..\that everyone in the orchestra isn't serious about this Oke..\but I'm returning to Boston in spring.\Me too, sooner or later, I intend to return to Vienna\but about professional Oke, are you serious??\No.. Not at all!\Nodame don't mind... even if I have to eat canned foods... response:	However, I want you to know that in this world there are such things like food stores,
context: Senpai.. It must be a real shock for you..\that everyone in the orchestra isn't serious about this Oke..\but I'm returning to Boston in spring.\Me too, sooner or later, I intend to return to Vienna\but about professional Oke, are you serious??\No.. Not at all!\Nodame don't mind... even if I have to eat canned foods...\However, I want you to know that in this world there are such things like food stores, response:	lunch boxes, and various other foods...
context: that everyone in the orchestra isn't serious about this Oke..\but I'm returning to Boston in spring.\Me too, sooner or later, I intend to return to Vienna\but about professional Oke, are you serious??\No.. Not at all!\Nodame don't mind... even if I have to eat canned foods...\However, I want you to know that in this world there are such things like food stores,\lunch boxes, and various other foods... response:	If you have complaints, then don't eat them.
context: but I'm returning to Boston in spring.\Me too, sooner or later, I intend to return to Vienna\but about professional Oke, are you serious??\No.. Not at all!\Nodame don't mind... even if I have to eat canned foods...\However, I want you to know that in this world there are such things like food stores,\lunch boxes, and various other foods...\If you have complaints, then don't eat them. response:	I was not complaining..
context: Me too, sooner or later, I intend to return to Vienna\but about professional Oke, are you serious??\No.. Not at all!\Nodame don't mind... even if I have to eat canned foods...\However, I want you to know that in this world there are such things like food stores,\lunch boxes, and various other foods...\If you have complaints, then don't eat them.\I was not complaining.. response:	Only Senpai too, why don't you try
context: but about professional Oke, are you serious??\No.. Not at all!\Nodame don't mind... even if I have to eat canned foods...\However, I want you to know that in this world there are such things like food stores,\lunch boxes, and various other foods...\If you have complaints, then don't eat them.\I was not complaining..\Only Senpai too, why don't you try response:	eating this bear-meat flake by yourself once again...
context: No.. Not at all!\Nodame don't mind... even if I have to eat canned foods...\However, I want you to know that in this world there are such things like food stores,\lunch boxes, and various other foods...\If you have complaints, then don't eat them.\I was not complaining..\Only Senpai too, why don't you try\eating this bear-meat flake by yourself once again... response:	I have no appetite
context: Nodame don't mind... even if I have to eat canned foods...\However, I want you to know that in this world there are such things like food stores,\lunch boxes, and various other foods...\If you have complaints, then don't eat them.\I was not complaining..\Only Senpai too, why don't you try\eating this bear-meat flake by yourself once again...\I have no appetite response:	Ack, Senpai! The phone!
context: However, I want you to know that in this world there are such things like food stores,\lunch boxes, and various other foods...\If you have complaints, then don't eat them.\I was not complaining..\Only Senpai too, why don't you try\eating this bear-meat flake by yourself once again...\I have no appetite\Ack, Senpai! The phone! response:	Let Nodame answer the phone! Because I am your wife
context: lunch boxes, and various other foods...\If you have complaints, then don't eat them.\I was not complaining..\Only Senpai too, why don't you try\eating this bear-meat flake by yourself once again...\I have no appetite\Ack, Senpai! The phone!\Let Nodame answer the phone! Because I am your wife response:	Hello
context: If you have complaints, then don't eat them.\I was not complaining..\Only Senpai too, why don't you try\eating this bear-meat flake by yourself once again...\I have no appetite\Ack, Senpai! The phone!\Let Nodame answer the phone! Because I am your wife\Hello response:	Shinichi?
context: I was not complaining..\Only Senpai too, why don't you try\eating this bear-meat flake by yourself once again...\I have no appetite\Ack, Senpai! The phone!\Let Nodame answer the phone! Because I am your wife\Hello\Shinichi? response:	Mom?
context: Only Senpai too, why don't you try\eating this bear-meat flake by yourself once again...\I have no appetite\Ack, Senpai! The phone!\Let Nodame answer the phone! Because I am your wife\Hello\Shinichi?\Mom? response:	As always, it's dusty...this country.
context: eating this bear-meat flake by yourself once again...\I have no appetite\Ack, Senpai! The phone!\Let Nodame answer the phone! Because I am your wife\Hello\Shinichi?\Mom?\As always, it's dusty...this country. response:	Aren't you supposed to be in Europe now?
context: I have no appetite\Ack, Senpai! The phone!\Let Nodame answer the phone! Because I am your wife\Hello\Shinichi?\Mom?\As always, it's dusty...this country.\Aren't you supposed to be in Europe now? response:	This time in my company's Culture Project,
context: Ack, Senpai! The phone!\Let Nodame answer the phone! Because I am your wife\Hello\Shinichi?\Mom?\As always, it's dusty...this country.\Aren't you supposed to be in Europe now?\This time in my company's Culture Project, response:	they started to support Music Academy students to study abroad.
context: Let Nodame answer the phone! Because I am your wife\Hello\Shinichi?\Mom?\As always, it's dusty...this country.\Aren't you supposed to be in Europe now?\This time in my company's Culture Project,\they started to support Music Academy students to study abroad. response:	To help in that project, I will be in Japan for a while
context: Hello\Shinichi?\Mom?\As always, it's dusty...this country.\Aren't you supposed to be in Europe now?\This time in my company's Culture Project,\they started to support Music Academy students to study abroad.\To help in that project, I will be in Japan for a while response:	For a while..?
context: Shinichi?\Mom?\As always, it's dusty...this country.\Aren't you supposed to be in Europe now?\This time in my company's Culture Project,\they started to support Music Academy students to study abroad.\To help in that project, I will be in Japan for a while\For a while..? response:	Hajimemashite, my name is Noda Megumi.
context: Mom?\As always, it's dusty...this country.\Aren't you supposed to be in Europe now?\This time in my company's Culture Project,\they started to support Music Academy students to study abroad.\To help in that project, I will be in Japan for a while\For a while..?\Hajimemashite, my name is Noda Megumi. response:	Okaasama..ah no...I didn't like it, I was not looking..
context: As always, it's dusty...this country.\Aren't you supposed to be in Europe now?\This time in my company's Culture Project,\they started to support Music Academy students to study abroad.\To help in that project, I will be in Japan for a while\For a while..?\Hajimemashite, my name is Noda Megumi.\Okaasama..ah no...I didn't like it, I was not looking.. response:	I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel.
context: Aren't you supposed to be in Europe now?\This time in my company's Culture Project,\they started to support Music Academy students to study abroad.\To help in that project, I will be in Japan for a while\For a while..?\Hajimemashite, my name is Noda Megumi.\Okaasama..ah no...I didn't like it, I was not looking..\I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel. response:	Rather than that, Shinichi,
context: This time in my company's Culture Project,\they started to support Music Academy students to study abroad.\To help in that project, I will be in Japan for a while\For a while..?\Hajimemashite, my name is Noda Megumi.\Okaasama..ah no...I didn't like it, I was not looking..\I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel.\Rather than that, Shinichi, response:	I met Maestro Stresemann there
context: they started to support Music Academy students to study abroad.\To help in that project, I will be in Japan for a while\For a while..?\Hajimemashite, my name is Noda Megumi.\Okaasama..ah no...I didn't like it, I was not looking..\I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel.\Rather than that, Shinichi,\I met Maestro Stresemann there response:	Eh?
context: To help in that project, I will be in Japan for a while\For a while..?\Hajimemashite, my name is Noda Megumi.\Okaasama..ah no...I didn't like it, I was not looking..\I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel.\Rather than that, Shinichi,\I met Maestro Stresemann there\Eh? response:	Then he told me that you have become his pupil
context: For a while..?\Hajimemashite, my name is Noda Megumi.\Okaasama..ah no...I didn't like it, I was not looking..\I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel.\Rather than that, Shinichi,\I met Maestro Stresemann there\Eh?\Then he told me that you have become his pupil response:	and he asked me to convey this message to you..
context: Hajimemashite, my name is Noda Megumi.\Okaasama..ah no...I didn't like it, I was not looking..\I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel.\Rather than that, Shinichi,\I met Maestro Stresemann there\Eh?\Then he told me that you have become his pupil\and he asked me to convey this message to you.. response:	What is it?
context: Okaasama..ah no...I didn't like it, I was not looking..\I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel.\Rather than that, Shinichi,\I met Maestro Stresemann there\Eh?\Then he told me that you have become his pupil\and he asked me to convey this message to you..\What is it? response:	Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is..
context: I'll be fine, I plan to stay with my parents in Yokohama.. or in a hotel.\Rather than that, Shinichi,\I met Maestro Stresemann there\Eh?\Then he told me that you have become his pupil\and he asked me to convey this message to you..\What is it?\Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is.. response:	And then..
context: Rather than that, Shinichi,\I met Maestro Stresemann there\Eh?\Then he told me that you have become his pupil\and he asked me to convey this message to you..\What is it?\Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is..\And then.. response:	I'm always watching over you.
context: I met Maestro Stresemann there\Eh?\Then he told me that you have become his pupil\and he asked me to convey this message to you..\What is it?\Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is..\And then..\I'm always watching over you. response:	Whether in Japan, or anywhere,
context: Eh?\Then he told me that you have become his pupil\and he asked me to convey this message to you..\What is it?\Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is..\And then..\I'm always watching over you.\Whether in Japan, or anywhere, response:	we are connected by music.
context: Then he told me that you have become his pupil\and he asked me to convey this message to you..\What is it?\Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is..\And then..\I'm always watching over you.\Whether in Japan, or anywhere,\we are connected by music. response:	I won't forgive
context: and he asked me to convey this message to you..\What is it?\Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is..\And then..\I'm always watching over you.\Whether in Japan, or anywhere,\we are connected by music.\I won't forgive response:	half-heartedness!
context: What is it?\Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is..\And then..\I'm always watching over you.\Whether in Japan, or anywhere,\we are connected by music.\I won't forgive\half-heartedness! response:	Even if this is an Oke that will disband tomorrow...
context: Please certainly send me Nagaoka Mami's Photo Book! I wonder what it is..\And then..\I'm always watching over you.\Whether in Japan, or anywhere,\we are connected by music.\I won't forgive\half-heartedness!\Even if this is an Oke that will disband tomorrow... response:	The time spent on it would never
context: And then..\I'm always watching over you.\Whether in Japan, or anywhere,\we are connected by music.\I won't forgive\half-heartedness!\Even if this is an Oke that will disband tomorrow...\The time spent on it would never response:	be a waste!
context: I'm always watching over you.\Whether in Japan, or anywhere,\we are connected by music.\I won't forgive\half-heartedness!\Even if this is an Oke that will disband tomorrow...\The time spent on it would never\be a waste! response:	Senpai?
context: Whether in Japan, or anywhere,\we are connected by music.\I won't forgive\half-heartedness!\Even if this is an Oke that will disband tomorrow...\The time spent on it would never\be a waste!\Senpai? response:	Ummm..
context: we are connected by music.\I won't forgive\half-heartedness!\Even if this is an Oke that will disband tomorrow...\The time spent on it would never\be a waste!\Senpai?\Ummm.. response:	I made these, would you like to eat some..?
context: I won't forgive\half-heartedness!\Even if this is an Oke that will disband tomorrow...\The time spent on it would never\be a waste!\Senpai?\Ummm..\I made these, would you like to eat some..? response:	You had better take a bath too...
context: half-heartedness!\Even if this is an Oke that will disband tomorrow...\The time spent on it would never\be a waste!\Senpai?\Ummm..\I made these, would you like to eat some..?\You had better take a bath too... response:	As expected, nobody came.
context: Even if this is an Oke that will disband tomorrow...\The time spent on it would never\be a waste!\Senpai?\Ummm..\I made these, would you like to eat some..?\You had better take a bath too...\As expected, nobody came. response:	Yes...
context: The time spent on it would never\be a waste!\Senpai?\Ummm..\I made these, would you like to eat some..?\You had better take a bath too...\As expected, nobody came.\Yes... response:	Oboe Concerto aside,
context: be a waste!\Senpai?\Ummm..\I made these, would you like to eat some..?\You had better take a bath too...\As expected, nobody came.\Yes...\Oboe Concerto aside, response:	it's too bad, as we've just started Brahms No 1
context: Senpai?\Ummm..\I made these, would you like to eat some..?\You had better take a bath too...\As expected, nobody came.\Yes...\Oboe Concerto aside,\it's too bad, as we've just started Brahms No 1 response:	Being dispersed like this, I wonder if we'll manage to do it on time
context: Ummm..\I made these, would you like to eat some..?\You had better take a bath too...\As expected, nobody came.\Yes...\Oboe Concerto aside,\it's too bad, as we've just started Brahms No 1\Being dispersed like this, I wonder if we'll manage to do it on time response:	Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra!
context: I made these, would you like to eat some..?\You had better take a bath too...\As expected, nobody came.\Yes...\Oboe Concerto aside,\it's too bad, as we've just started Brahms No 1\Being dispersed like this, I wonder if we'll manage to do it on time\Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra! response:	Masumi chan
context: You had better take a bath too...\As expected, nobody came.\Yes...\Oboe Concerto aside,\it's too bad, as we've just started Brahms No 1\Being dispersed like this, I wonder if we'll manage to do it on time\Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra!\Masumi chan response:	Kuroki-kun!
context: As expected, nobody came.\Yes...\Oboe Concerto aside,\it's too bad, as we've just started Brahms No 1\Being dispersed like this, I wonder if we'll manage to do it on time\Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra!\Masumi chan\Kuroki-kun! response:	What are you doing? I think we won't have any practice today.
context: Yes...\Oboe Concerto aside,\it's too bad, as we've just started Brahms No 1\Being dispersed like this, I wonder if we'll manage to do it on time\Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra!\Masumi chan\Kuroki-kun!\What are you doing? I think we won't have any practice today. response:	I just happened to pass by here...
context: Oboe Concerto aside,\it's too bad, as we've just started Brahms No 1\Being dispersed like this, I wonder if we'll manage to do it on time\Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra!\Masumi chan\Kuroki-kun!\What are you doing? I think we won't have any practice today.\I just happened to pass by here... response:	And that flower?
context: it's too bad, as we've just started Brahms No 1\Being dispersed like this, I wonder if we'll manage to do it on time\Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra!\Masumi chan\Kuroki-kun!\What are you doing? I think we won't have any practice today.\I just happened to pass by here...\And that flower? response:	I happened to see it at a flower shop...
context: Being dispersed like this, I wonder if we'll manage to do it on time\Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra!\Masumi chan\Kuroki-kun!\What are you doing? I think we won't have any practice today.\I just happened to pass by here...\And that flower?\I happened to see it at a flower shop... response:	Do you guys know... Noda Megumi-chan's house?
context: Dec. 3 Tokyo Sympony Hall First show of Rising Star Orchestra!\Masumi chan\Kuroki-kun!\What are you doing? I think we won't have any practice today.\I just happened to pass by here...\And that flower?\I happened to see it at a flower shop...\Do you guys know... Noda Megumi-chan's house? response:	Could it be that that flower is for Nodame-chan??
context: Masumi chan\Kuroki-kun!\What are you doing? I think we won't have any practice today.\I just happened to pass by here...\And that flower?\I happened to see it at a flower shop...\Do you guys know... Noda Megumi-chan's house?\Could it be that that flower is for Nodame-chan?? response:	KUROKI KUN!
context: Kuroki-kun!\What are you doing? I think we won't have any practice today.\I just happened to pass by here...\And that flower?\I happened to see it at a flower shop...\Do you guys know... Noda Megumi-chan's house?\Could it be that that flower is for Nodame-chan??\KUROKI KUN! response:	What's good with that girl??
context: What are you doing? I think we won't have any practice today.\I just happened to pass by here...\And that flower?\I happened to see it at a flower shop...\Do you guys know... Noda Megumi-chan's house?\Could it be that that flower is for Nodame-chan??\KUROKI KUN!\What's good with that girl?? response:	She's cute, and her character is honest, cheerful, and gentle...
context: I just happened to pass by here...\And that flower?\I happened to see it at a flower shop...\Do you guys know... Noda Megumi-chan's house?\Could it be that that flower is for Nodame-chan??\KUROKI KUN!\What's good with that girl??\She's cute, and her character is honest, cheerful, and gentle... response:	her clothes are clean, her language is very polite...how pure she is...
context: And that flower?\I happened to see it at a flower shop...\Do you guys know... Noda Megumi-chan's house?\Could it be that that flower is for Nodame-chan??\KUROKI KUN!\What's good with that girl??\She's cute, and her character is honest, cheerful, and gentle...\her clothes are clean, her language is very polite...how pure she is... response:	Her character is insensitive, and cold!
context: I happened to see it at a flower shop...\Do you guys know... Noda Megumi-chan's house?\Could it be that that flower is for Nodame-chan??\KUROKI KUN!\What's good with that girl??\She's cute, and her character is honest, cheerful, and gentle...\her clothes are clean, her language is very polite...how pure she is...\Her character is insensitive, and cold! response:	She wears the same clothes for several days
context: Do you guys know... Noda Megumi-chan's house?\Could it be that that flower is for Nodame-chan??\KUROKI KUN!\What's good with that girl??\She's cute, and her character is honest, cheerful, and gentle...\her clothes are clean, her language is very polite...how pure she is...\Her character is insensitive, and cold!\She wears the same clothes for several days response:	she's not clean, she's a weird girl, AITSU! (=that person, rude)
context: Could it be that that flower is for Nodame-chan??\KUROKI KUN!\What's good with that girl??\She's cute, and her character is honest, cheerful, and gentle...\her clothes are clean, her language is very polite...how pure she is...\Her character is insensitive, and cold!\She wears the same clothes for several days\she's not clean, she's a weird girl, AITSU! (=that person, rude) response:	She always wears one-piece dress because it is easy to change..
context: KUROKI KUN!\What's good with that girl??\She's cute, and her character is honest, cheerful, and gentle...\her clothes are clean, her language is very polite...how pure she is...\Her character is insensitive, and cold!\She wears the same clothes for several days\she's not clean, she's a weird girl, AITSU! (=that person, rude)\She always wears one-piece dress because it is easy to change.. response:	And that keigo (=very polite level of Japanese language)
context: What's good with that girl??\She's cute, and her character is honest, cheerful, and gentle...\her clothes are clean, her language is very polite...how pure she is...\Her character is insensitive, and cold!\She wears the same clothes for several days\she's not clean, she's a weird girl, AITSU! (=that person, rude)\She always wears one-piece dress because it is easy to change..\And that keigo (=very polite level of Japanese language) response:	that's to hide her regional dialect!
context: She's cute, and her character is honest, cheerful, and gentle...\her clothes are clean, her language is very polite...how pure she is...\Her character is insensitive, and cold!\She wears the same clothes for several days\she's not clean, she's a weird girl, AITSU! (=that person, rude)\She always wears one-piece dress because it is easy to change..\And that keigo (=very polite level of Japanese language)\that's to hide her regional dialect! response:	She always eats other people's lunch box,
context: her clothes are clean, her language is very polite...how pure she is...\Her character is insensitive, and cold!\She wears the same clothes for several days\she's not clean, she's a weird girl, AITSU! (=that person, rude)\She always wears one-piece dress because it is easy to change..\And that keigo (=very polite level of Japanese language)\that's to hide her regional dialect!\She always eats other people's lunch box, response:	shampoos her hair once every 3 days,
context: Her character is insensitive, and cold!\She wears the same clothes for several days\she's not clean, she's a weird girl, AITSU! (=that person, rude)\She always wears one-piece dress because it is easy to change..\And that keigo (=very polite level of Japanese language)\that's to hide her regional dialect!\She always eats other people's lunch box,\shampoos her hair once every 3 days, response:	her room is a a pile of garbage,
context: She wears the same clothes for several days\she's not clean, she's a weird girl, AITSU! (=that person, rude)\She always wears one-piece dress because it is easy to change..\And that keigo (=very polite level of Japanese language)\that's to hide her regional dialect!\She always eats other people's lunch box,\shampoos her hair once every 3 days,\her room is a a pile of garbage, response:	suddenly she'll turn into a mongoose and starts to dance!
context: she's not clean, she's a weird girl, AITSU! (=that person, rude)\She always wears one-piece dress because it is easy to change..\And that keigo (=very polite level of Japanese language)\that's to hide her regional dialect!\She always eats other people's lunch box,\shampoos her hair once every 3 days,\her room is a a pile of garbage,\suddenly she'll turn into a mongoose and starts to dance! response:	That's her real identity!
context: She always wears one-piece dress because it is easy to change..\And that keigo (=very polite level of Japanese language)\that's to hide her regional dialect!\She always eats other people's lunch box,\shampoos her hair once every 3 days,\her room is a a pile of garbage,\suddenly she'll turn into a mongoose and starts to dance!\That's her real identity! response:	It's impossible that Megumi-chan is hentai like that!
context: And that keigo (=very polite level of Japanese language)\that's to hide her regional dialect!\She always eats other people's lunch box,\shampoos her hair once every 3 days,\her room is a a pile of garbage,\suddenly she'll turn into a mongoose and starts to dance!\That's her real identity!\It's impossible that Megumi-chan is hentai like that! response:	She's HENTAI, I told you!
context: that's to hide her regional dialect!\She always eats other people's lunch box,\shampoos her hair once every 3 days,\her room is a a pile of garbage,\suddenly she'll turn into a mongoose and starts to dance!\That's her real identity!\It's impossible that Megumi-chan is hentai like that!\She's HENTAI, I told you! response:	<c:FF80FF>Somehow it is coming
context: She always eats other people's lunch box,\shampoos her hair once every 3 days,\her room is a a pile of garbage,\suddenly she'll turn into a mongoose and starts to dance!\That's her real identity!\It's impossible that Megumi-chan is hentai like that!\She's HENTAI, I told you!\<c:FF80FF>Somehow it is coming response:	<c:FF80FF>It is coming soon
context: shampoos her hair once every 3 days,\her room is a a pile of garbage,\suddenly she'll turn into a mongoose and starts to dance!\That's her real identity!\It's impossible that Megumi-chan is hentai like that!\She's HENTAI, I told you!\<c:FF80FF>Somehow it is coming\<c:FF80FF>It is coming soon response:	<c:FF80FF>so, la, si, do, boo, boo, boo! Waaa
context: her room is a a pile of garbage,\suddenly she'll turn into a mongoose and starts to dance!\That's her real identity!\It's impossible that Megumi-chan is hentai like that!\She's HENTAI, I told you!\<c:FF80FF>Somehow it is coming\<c:FF80FF>It is coming soon\<c:FF80FF>so, la, si, do, boo, boo, boo! Waaa response:	I must not be angry!
context: suddenly she'll turn into a mongoose and starts to dance!\That's her real identity!\It's impossible that Megumi-chan is hentai like that!\She's HENTAI, I told you!\<c:FF80FF>Somehow it is coming\<c:FF80FF>It is coming soon\<c:FF80FF>so, la, si, do, boo, boo, boo! Waaa\I must not be angry! response:	<c:FF80FF>Energetic fart, cute fart,
context: That's her real identity!\It's impossible that Megumi-chan is hentai like that!\She's HENTAI, I told you!\<c:FF80FF>Somehow it is coming\<c:FF80FF>It is coming soon\<c:FF80FF>so, la, si, do, boo, boo, boo! Waaa\I must not be angry!\<c:FF80FF>Energetic fart, cute fart, response:	Her talent, I will bring out with my own hands
context: It's impossible that Megumi-chan is hentai like that!\She's HENTAI, I told you!\<c:FF80FF>Somehow it is coming\<c:FF80FF>It is coming soon\<c:FF80FF>so, la, si, do, boo, boo, boo! Waaa\I must not be angry!\<c:FF80FF>Energetic fart, cute fart,\Her talent, I will bring out with my own hands response:	<c:FF80FF>What kind of fart will come out this time?
context: She's HENTAI, I told you!\<c:FF80FF>Somehow it is coming\<c:FF80FF>It is coming soon\<c:FF80FF>so, la, si, do, boo, boo, boo! Waaa\I must not be angry!\<c:FF80FF>Energetic fart, cute fart,\Her talent, I will bring out with my own hands\<c:FF80FF>What kind of fart will come out this time? response:	But..why is she playing so happily?
context: <c:FF80FF>Somehow it is coming\<c:FF80FF>It is coming soon\<c:FF80FF>so, la, si, do, boo, boo, boo! Waaa\I must not be angry!\<c:FF80FF>Energetic fart, cute fart,\Her talent, I will bring out with my own hands\<c:FF80FF>What kind of fart will come out this time?\But..why is she playing so happily? response:	<c:FF80FF>Alright, everyone, let's fart together!
context: <c:FF80FF>It is coming soon\<c:FF80FF>so, la, si, do, boo, boo, boo! Waaa\I must not be angry!\<c:FF80FF>Energetic fart, cute fart,\Her talent, I will bring out with my own hands\<c:FF80FF>What kind of fart will come out this time?\But..why is she playing so happily?\<c:FF80FF>Alright, everyone, let's fart together! response:	<c:FF80FF>Hey! Hey!
context: <c:FF80FF>so, la, si, do, boo, boo, boo! Waaa\I must not be angry!\<c:FF80FF>Energetic fart, cute fart,\Her talent, I will bring out with my own hands\<c:FF80FF>What kind of fart will come out this time?\But..why is she playing so happily?\<c:FF80FF>Alright, everyone, let's fart together!\<c:FF80FF>Hey! Hey! response:	<c:FF80FF> Booo!!
context: I must not be angry!\<c:FF80FF>Energetic fart, cute fart,\Her talent, I will bring out with my own hands\<c:FF80FF>What kind of fart will come out this time?\But..why is she playing so happily?\<c:FF80FF>Alright, everyone, let's fart together!\<c:FF80FF>Hey! Hey!\<c:FF80FF> Booo!! response:	<c:FF80FF>(It came out!!)
context: <c:FF80FF>Energetic fart, cute fart,\Her talent, I will bring out with my own hands\<c:FF80FF>What kind of fart will come out this time?\But..why is she playing so happily?\<c:FF80FF>Alright, everyone, let's fart together!\<c:FF80FF>Hey! Hey!\<c:FF80FF> Booo!!\<c:FF80FF>(It came out!!) response:	Fart exercise... We finished it!
context: Her talent, I will bring out with my own hands\<c:FF80FF>What kind of fart will come out this time?\But..why is she playing so happily?\<c:FF80FF>Alright, everyone, let's fart together!\<c:FF80FF>Hey! Hey!\<c:FF80FF> Booo!!\<c:FF80FF>(It came out!!)\Fart exercise... We finished it! response:	Sensei..
context: <c:FF80FF>What kind of fart will come out this time?\But..why is she playing so happily?\<c:FF80FF>Alright, everyone, let's fart together!\<c:FF80FF>Hey! Hey!\<c:FF80FF> Booo!!\<c:FF80FF>(It came out!!)\Fart exercise... We finished it!\Sensei.. response:	Although it is just for a short time, I'm indebted to you.
