context: He became a prince out of necessity. response:	He realized that if nothing else, the future we hoped for
context: In this world with no king...\But exactly how did he become a prince?\I still don't know that secret.\Well, here we are, Miss.\And here's your bag.\This is the center of the world?\Episode 1 : I Picked Up a Prince\It's different than I imagined, somehow. response:	And the fountain is way further away than I thought...
context: But exactly how did he become a prince?\I still don't know that secret.\Well, here we are, Miss.\And here's your bag.\This is the center of the world?\Episode 1 : I Picked Up a Prince\It's different than I imagined, somehow.\And the fountain is way further away than I thought... response:	Washington
context: I still don't know that secret.\Well, here we are, Miss.\And here's your bag.\This is the center of the world?\Episode 1 : I Picked Up a Prince\It's different than I imagined, somehow.\And the fountain is way further away than I thought...\Washington response:	I wonder if everyone's mad at me.
context: Well, here we are, Miss.\And here's your bag.\This is the center of the world?\Episode 1 : I Picked Up a Prince\It's different than I imagined, somehow.\And the fountain is way further away than I thought...\Washington\I wonder if everyone's mad at me. response:	If I had my phone on, Osugi would definitely be calling me.
context: And here's your bag.\This is the center of the world?\Episode 1 : I Picked Up a Prince\It's different than I imagined, somehow.\And the fountain is way further away than I thought...\Washington\I wonder if everyone's mad at me.\If I had my phone on, Osugi would definitely be calling me. response:	Well, I've come this far, so I have to do what I'm here for!
context: This is the center of the world?\Episode 1 : I Picked Up a Prince\It's different than I imagined, somehow.\And the fountain is way further away than I thought...\Washington\I wonder if everyone's mad at me.\If I had my phone on, Osugi would definitely be calling me.\Well, I've come this far, so I have to do what I'm here for! response:	No good... It's too far away!
context: Episode 1 : I Picked Up a Prince\It's different than I imagined, somehow.\And the fountain is way further away than I thought...\Washington\I wonder if everyone's mad at me.\If I had my phone on, Osugi would definitely be calling me.\Well, I've come this far, so I have to do what I'm here for!\No good... It's too far away! response:	Hey! Young lady, what did you just throw?
context: It's different than I imagined, somehow.\And the fountain is way further away than I thought...\Washington\I wonder if everyone's mad at me.\If I had my phone on, Osugi would definitely be calling me.\Well, I've come this far, so I have to do what I'm here for!\No good... It's too far away!\Hey! Young lady, what did you just throw? response:	Hey, you wanna die?!
context: And the fountain is way further away than I thought...\Washington\I wonder if everyone's mad at me.\If I had my phone on, Osugi would definitely be calling me.\Well, I've come this far, so I have to do what I'm here for!\No good... It's too far away!\Hey! Young lady, what did you just throw?\Hey, you wanna die?! response:	Hey there, are you okay?
context: Washington\I wonder if everyone's mad at me.\If I had my phone on, Osugi would definitely be calling me.\Well, I've come this far, so I have to do what I'm here for!\No good... It's too far away!\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay? response:	What? For real?!
context: I wonder if everyone's mad at me.\If I had my phone on, Osugi would definitely be calling me.\Well, I've come this far, so I have to do what I'm here for!\No good... It's too far away!\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\What? For real?! response:	More like, why is he naked?
context: If I had my phone on, Osugi would definitely be calling me.\Well, I've come this far, so I have to do what I'm here for!\No good... It's too far away!\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\What? For real?!\More like, why is he naked? response:	No. 9 is even more unique than I'd imagined.
context: Well, I've come this far, so I have to do what I'm here for!\No good... It's too far away!\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\What? For real?!\More like, why is he naked?\No. 9 is even more unique than I'd imagined. response:	But it ends here.
context: No good... It's too far away!\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\What? For real?!\More like, why is he naked?\No. 9 is even more unique than I'd imagined.\But it ends here. response:	I see. That's rather regrettable.
context: Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\What? For real?!\More like, why is he naked?\No. 9 is even more unique than I'd imagined.\But it ends here.\I see. That's rather regrettable. response:	Are you on his side? I'm jealous, Juiz.
context: Hey, you wanna die?!\Hey there, are you okay?\What? For real?!\More like, why is he naked?\No. 9 is even more unique than I'd imagined.\But it ends here.\I see. That's rather regrettable.\Are you on his side? I'm jealous, Juiz. response:	Prepare for my return to Japan.
context: Hey there, are you okay?\What? For real?!\More like, why is he naked?\No. 9 is even more unique than I'd imagined.\But it ends here.\I see. That's rather regrettable.\Are you on his side? I'm jealous, Juiz.\Prepare for my return to Japan. response:	Yes, Sir. I pray you shall continue to be a savior.
context: What? For real?!\More like, why is he naked?\No. 9 is even more unique than I'd imagined.\But it ends here.\I see. That's rather regrettable.\Are you on his side? I'm jealous, Juiz.\Prepare for my return to Japan.\Yes, Sir. I pray you shall continue to be a savior. response:	Brr, I'm cold! For that matter, I'm naked...
context: More like, why is he naked?\No. 9 is even more unique than I'd imagined.\But it ends here.\I see. That's rather regrettable.\Are you on his side? I'm jealous, Juiz.\Prepare for my return to Japan.\Yes, Sir. I pray you shall continue to be a savior.\Brr, I'm cold! For that matter, I'm naked... response:	A cell phone and... a gun?!
context: No. 9 is even more unique than I'd imagined.\But it ends here.\I see. That's rather regrettable.\Are you on his side? I'm jealous, Juiz.\Prepare for my return to Japan.\Yes, Sir. I pray you shall continue to be a savior.\Brr, I'm cold! For that matter, I'm naked...\A cell phone and... a gun?! response:	The White House...
context: But it ends here.\I see. That's rather regrettable.\Are you on his side? I'm jealous, Juiz.\Prepare for my return to Japan.\Yes, Sir. I pray you shall continue to be a savior.\Brr, I'm cold! For that matter, I'm naked...\A cell phone and... a gun?!\The White House... response:	I remember the White House, but I don't know who I am.
context: I see. That's rather regrettable.\Are you on his side? I'm jealous, Juiz.\Prepare for my return to Japan.\Yes, Sir. I pray you shall continue to be a savior.\Brr, I'm cold! For that matter, I'm naked...\A cell phone and... a gun?!\The White House...\I remember the White House, but I don't know who I am. response:	Hey! Young lady, what did you just throw?
context: Are you on his side? I'm jealous, Juiz.\Prepare for my return to Japan.\Yes, Sir. I pray you shall continue to be a savior.\Brr, I'm cold! For that matter, I'm naked...\A cell phone and... a gun?!\The White House...\I remember the White House, but I don't know who I am.\Hey! Young lady, what did you just throw? response:	Hey, you wanna die?!
context: Prepare for my return to Japan.\Yes, Sir. I pray you shall continue to be a savior.\Brr, I'm cold! For that matter, I'm naked...\A cell phone and... a gun?!\The White House...\I remember the White House, but I don't know who I am.\Hey! Young lady, what did you just throw?\Hey, you wanna die?! response:	Hey there, are you okay?
context: Yes, Sir. I pray you shall continue to be a savior.\Brr, I'm cold! For that matter, I'm naked...\A cell phone and... a gun?!\The White House...\I remember the White House, but I don't know who I am.\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay? response:	Actually, I think I'm the one in trouble.
context: Brr, I'm cold! For that matter, I'm naked...\A cell phone and... a gun?!\The White House...\I remember the White House, but I don't know who I am.\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\Actually, I think I'm the one in trouble. response:	Was he hit?!
context: A cell phone and... a gun?!\The White House...\I remember the White House, but I don't know who I am.\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\Actually, I think I'm the one in trouble.\Was he hit?! response:	Get that guy!
context: The White House...\I remember the White House, but I don't know who I am.\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\Actually, I think I'm the one in trouble.\Was he hit?!\Get that guy! response:	Now's my chance...
context: I remember the White House, but I don't know who I am.\Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\Actually, I think I'm the one in trouble.\Was he hit?!\Get that guy!\Now's my chance... response:	No way!
context: Hey! Young lady, what did you just throw?\Hey, you wanna die?!\Hey there, are you okay?\Actually, I think I'm the one in trouble.\Was he hit?!\Get that guy!\Now's my chance...\No way! response:	You were almost in real trouble there.
context: Hey, you wanna die?!\Hey there, are you okay?\Actually, I think I'm the one in trouble.\Was he hit?!\Get that guy!\Now's my chance...\No way!\You were almost in real trouble there. response:	You should get away while you've got the chance.
context: Hey there, are you okay?\Actually, I think I'm the one in trouble.\Was he hit?!\Get that guy!\Now's my chance...\No way!\You were almost in real trouble there.\You should get away while you've got the chance. response:	I-I'm not in trouble...
context: Actually, I think I'm the one in trouble.\Was he hit?!\Get that guy!\Now's my chance...\No way!\You were almost in real trouble there.\You should get away while you've got the chance.\I-I'm not in trouble... response:	But you know it's bad to throw things at the White House.
context: Was he hit?!\Get that guy!\Now's my chance...\No way!\You were almost in real trouble there.\You should get away while you've got the chance.\I-I'm not in trouble...\But you know it's bad to throw things at the White House. response:	You were watching?
context: Get that guy!\Now's my chance...\No way!\You were almost in real trouble there.\You should get away while you've got the chance.\I-I'm not in trouble...\But you know it's bad to throw things at the White House.\You were watching? response:	Kind of.
context: Now's my chance...\No way!\You were almost in real trouble there.\You should get away while you've got the chance.\I-I'm not in trouble...\But you know it's bad to throw things at the White House.\You were watching?\Kind of. response:	Thank you...
context: No way!\You were almost in real trouble there.\You should get away while you've got the chance.\I-I'm not in trouble...\But you know it's bad to throw things at the White House.\You were watching?\Kind of.\Thank you... response:	Um, aren't you cold?
context: You were almost in real trouble there.\You should get away while you've got the chance.\I-I'm not in trouble...\But you know it's bad to throw things at the White House.\You were watching?\Kind of.\Thank you...\Um, aren't you cold? response:	Yeah, I am.
context: You should get away while you've got the chance.\I-I'm not in trouble...\But you know it's bad to throw things at the White House.\You were watching?\Kind of.\Thank you...\Um, aren't you cold?\Yeah, I am. response:	Er, I'll lend you this.
context: I-I'm not in trouble...\But you know it's bad to throw things at the White House.\You were watching?\Kind of.\Thank you...\Um, aren't you cold?\Yeah, I am.\Er, I'll lend you this. response:	Are you sure? I need to get away, too.
context: But you know it's bad to throw things at the White House.\You were watching?\Kind of.\Thank you...\Um, aren't you cold?\Yeah, I am.\Er, I'll lend you this.\Are you sure? I need to get away, too. response:	It's fine. It's my thanks for helping me.
context: You were watching?\Kind of.\Thank you...\Um, aren't you cold?\Yeah, I am.\Er, I'll lend you this.\Are you sure? I need to get away, too.\It's fine. It's my thanks for helping me. response:	Thanks. Don't mind if I do, then.
context: Kind of.\Thank you...\Um, aren't you cold?\Yeah, I am.\Er, I'll lend you this.\Are you sure? I need to get away, too.\It's fine. It's my thanks for helping me.\Thanks. Don't mind if I do, then. response:	Bye!
context: Thank you...\Um, aren't you cold?\Yeah, I am.\Er, I'll lend you this.\Are you sure? I need to get away, too.\It's fine. It's my thanks for helping me.\Thanks. Don't mind if I do, then.\Bye! response:	It's totally blank!
context: Um, aren't you cold?\Yeah, I am.\Er, I'll lend you this.\Are you sure? I need to get away, too.\It's fine. It's my thanks for helping me.\Thanks. Don't mind if I do, then.\Bye!\It's totally blank! response:	Isn't there some record that'll help me figure out who I am?
context: Yeah, I am.\Er, I'll lend you this.\Are you sure? I need to get away, too.\It's fine. It's my thanks for helping me.\Thanks. Don't mind if I do, then.\Bye!\It's totally blank!\Isn't there some record that'll help me figure out who I am? response:	-Hello, this is Juiz. -Juiz? Who are you?
context: Er, I'll lend you this.\Are you sure? I need to get away, too.\It's fine. It's my thanks for helping me.\Thanks. Don't mind if I do, then.\Bye!\It's totally blank!\Isn't there some record that'll help me figure out who I am?\-Hello, this is Juiz. -Juiz? Who are you? response:	I'm your concierge. I thought you were just going to fade out.
context: Are you sure? I need to get away, too.\It's fine. It's my thanks for helping me.\Thanks. Don't mind if I do, then.\Bye!\It's totally blank!\Isn't there some record that'll help me figure out who I am?\-Hello, this is Juiz. -Juiz? Who are you?\I'm your concierge. I thought you were just going to fade out. response:	It sounds like you're all right.
context: It's fine. It's my thanks for helping me.\Thanks. Don't mind if I do, then.\Bye!\It's totally blank!\Isn't there some record that'll help me figure out who I am?\-Hello, this is Juiz. -Juiz? Who are you?\I'm your concierge. I thought you were just going to fade out.\It sounds like you're all right. response:	Huh?
context: Thanks. Don't mind if I do, then.\Bye!\It's totally blank!\Isn't there some record that'll help me figure out who I am?\-Hello, this is Juiz. -Juiz? Who are you?\I'm your concierge. I thought you were just going to fade out.\It sounds like you're all right.\Huh? response:	Hey... Do you know who I am?
context: Bye!\It's totally blank!\Isn't there some record that'll help me figure out who I am?\-Hello, this is Juiz. -Juiz? Who are you?\I'm your concierge. I thought you were just going to fade out.\It sounds like you're all right.\Huh?\Hey... Do you know who I am? response:	Who you are?
context: It's totally blank!\Isn't there some record that'll help me figure out who I am?\-Hello, this is Juiz. -Juiz? Who are you?\I'm your concierge. I thought you were just going to fade out.\It sounds like you're all right.\Huh?\Hey... Do you know who I am?\Who you are? response:	This is the first time you've erased your memories,
context: Isn't there some record that'll help me figure out who I am?\-Hello, this is Juiz. -Juiz? Who are you?\I'm your concierge. I thought you were just going to fade out.\It sounds like you're all right.\Huh?\Hey... Do you know who I am?\Who you are?\This is the first time you've erased your memories, response:	and I received no order to prepare a new background for you,
context: -Hello, this is Juiz. -Juiz? Who are you?\I'm your concierge. I thought you were just going to fade out.\It sounds like you're all right.\Huh?\Hey... Do you know who I am?\Who you are?\This is the first time you've erased your memories,\and I received no order to prepare a new background for you, response:	so I really couldn't say who you might be right now.
context: I'm your concierge. I thought you were just going to fade out.\It sounds like you're all right.\Huh?\Hey... Do you know who I am?\Who you are?\This is the first time you've erased your memories,\and I received no order to prepare a new background for you,\so I really couldn't say who you might be right now. response:	Erased my memories?!
context: It sounds like you're all right.\Huh?\Hey... Do you know who I am?\Who you are?\This is the first time you've erased your memories,\and I received no order to prepare a new background for you,\so I really couldn't say who you might be right now.\Erased my memories?! response:	My last order was to tell you where to go next, so I'm sending that to you.
context: Huh?\Hey... Do you know who I am?\Who you are?\This is the first time you've erased your memories,\and I received no order to prepare a new background for you,\so I really couldn't say who you might be right now.\Erased my memories?!\My last order was to tell you where to go next, so I'm sending that to you. response:	Well then, I wish for your success
context: Hey... Do you know who I am?\Who you are?\This is the first time you've erased your memories,\and I received no order to prepare a new background for you,\so I really couldn't say who you might be right now.\Erased my memories?!\My last order was to tell you where to go next, so I'm sending that to you.\Well then, I wish for your success response:	and sincerely pray you shall continue to be a savior.
context: Who you are?\This is the first time you've erased your memories,\and I received no order to prepare a new background for you,\so I really couldn't say who you might be right now.\Erased my memories?!\My last order was to tell you where to go next, so I'm sending that to you.\Well then, I wish for your success\and sincerely pray you shall continue to be a savior. response:	Huh?
context: This is the first time you've erased your memories,\and I received no order to prepare a new background for you,\so I really couldn't say who you might be right now.\Erased my memories?!\My last order was to tell you where to go next, so I'm sending that to you.\Well then, I wish for your success\and sincerely pray you shall continue to be a savior.\Huh? response:	So is this where I live, then?
context: and I received no order to prepare a new background for you,\so I really couldn't say who you might be right now.\Erased my memories?!\My last order was to tell you where to go next, so I'm sending that to you.\Well then, I wish for your success\and sincerely pray you shall continue to be a savior.\Huh?\So is this where I live, then? response:	I was so scared... what was that about?
context: so I really couldn't say who you might be right now.\Erased my memories?!\My last order was to tell you where to go next, so I'm sending that to you.\Well then, I wish for your success\and sincerely pray you shall continue to be a savior.\Huh?\So is this where I live, then?\I was so scared... what was that about? response:	I guess people really shouldn't do unfamiliar things.
context: Erased my memories?!\My last order was to tell you where to go next, so I'm sending that to you.\Well then, I wish for your success\and sincerely pray you shall continue to be a savior.\Huh?\So is this where I live, then?\I was so scared... what was that about?\I guess people really shouldn't do unfamiliar things. response:	Oh, no! My passport!
context: My last order was to tell you where to go next, so I'm sending that to you.\Well then, I wish for your success\and sincerely pray you shall continue to be a savior.\Huh?\So is this where I live, then?\I was so scared... what was that about?\I guess people really shouldn't do unfamiliar things.\Oh, no! My passport! response:	What do I do?
context: Well then, I wish for your success\and sincerely pray you shall continue to be a savior.\Huh?\So is this where I live, then?\I was so scared... what was that about?\I guess people really shouldn't do unfamiliar things.\Oh, no! My passport!\What do I do? response:	It's in my coat pocket!
context: and sincerely pray you shall continue to be a savior.\Huh?\So is this where I live, then?\I was so scared... what was that about?\I guess people really shouldn't do unfamiliar things.\Oh, no! My passport!\What do I do?\It's in my coat pocket! response:	Hi there!
context: Huh?\So is this where I live, then?\I was so scared... what was that about?\I guess people really shouldn't do unfamiliar things.\Oh, no! My passport!\What do I do?\It's in my coat pocket!\Hi there! response:	Well, considering how I'm dressed...
context: So is this where I live, then?\I was so scared... what was that about?\I guess people really shouldn't do unfamiliar things.\Oh, no! My passport!\What do I do?\It's in my coat pocket!\Hi there!\Well, considering how I'm dressed... response:	What do I do? I have to get it back!
context: I was so scared... what was that about?\I guess people really shouldn't do unfamiliar things.\Oh, no! My passport!\What do I do?\It's in my coat pocket!\Hi there!\Well, considering how I'm dressed...\What do I do? I have to get it back! response:	That way.
context: I guess people really shouldn't do unfamiliar things.\Oh, no! My passport!\What do I do?\It's in my coat pocket!\Hi there!\Well, considering how I'm dressed...\What do I do? I have to get it back!\That way. response:	There he is!
context: Oh, no! My passport!\What do I do?\It's in my coat pocket!\Hi there!\Well, considering how I'm dressed...\What do I do? I have to get it back!\That way.\There he is! response:	Wh-Why would that guy give him his pants?!
context: What do I do?\It's in my coat pocket!\Hi there!\Well, considering how I'm dressed...\What do I do? I have to get it back!\That way.\There he is!\Wh-Why would that guy give him his pants?! response:	This makes no sense!
context: It's in my coat pocket!\Hi there!\Well, considering how I'm dressed...\What do I do? I have to get it back!\That way.\There he is!\Wh-Why would that guy give him his pants?!\This makes no sense! response:	Woo-hoo!
context: Hi there!\Well, considering how I'm dressed...\What do I do? I have to get it back!\That way.\There he is!\Wh-Why would that guy give him his pants?!\This makes no sense!\Woo-hoo! response:	Hey!
context: Well, considering how I'm dressed...\What do I do? I have to get it back!\That way.\There he is!\Wh-Why would that guy give him his pants?!\This makes no sense!\Woo-hoo!\Hey! response:	Hey! Excuse me!
context: What do I do? I have to get it back!\That way.\There he is!\Wh-Why would that guy give him his pants?!\This makes no sense!\Woo-hoo!\Hey!\Hey! Excuse me! response:	Is this it?
context: That way.\There he is!\Wh-Why would that guy give him his pants?!\This makes no sense!\Woo-hoo!\Hey!\Hey! Excuse me!\Is this it? response:	Huh? No way, where'd he go?
context: There he is!\Wh-Why would that guy give him his pants?!\This makes no sense!\Woo-hoo!\Hey!\Hey! Excuse me!\Is this it?\Huh? No way, where'd he go? response:	Hey-
context: Wh-Why would that guy give him his pants?!\This makes no sense!\Woo-hoo!\Hey!\Hey! Excuse me!\Is this it?\Huh? No way, where'd he go?\Hey- response:	Hello.
context: This makes no sense!\Woo-hoo!\Hey!\Hey! Excuse me!\Is this it?\Huh? No way, where'd he go?\Hey-\Hello. response:	Hey.
context: Woo-hoo!\Hey!\Hey! Excuse me!\Is this it?\Huh? No way, where'd he go?\Hey-\Hello.\Hey. response:	Dude, what do you think you're doing?
context: Hey!\Hey! Excuse me!\Is this it?\Huh? No way, where'd he go?\Hey-\Hello.\Hey.\Dude, what do you think you're doing? response:	Say, my apartment's on the second floor, right?
context: Hey! Excuse me!\Is this it?\Huh? No way, where'd he go?\Hey-\Hello.\Hey.\Dude, what do you think you're doing?\Say, my apartment's on the second floor, right? response:	Aren't you in Room B on the third floor?
context: Is this it?\Huh? No way, where'd he go?\Hey-\Hello.\Hey.\Dude, what do you think you're doing?\Say, my apartment's on the second floor, right?\Aren't you in Room B on the third floor? response:	Oh, this is bad!
context: Huh? No way, where'd he go?\Hey-\Hello.\Hey.\Dude, what do you think you're doing?\Say, my apartment's on the second floor, right?\Aren't you in Room B on the third floor?\Oh, this is bad! response:	If I don't hurry, I'll miss my flight!
context: Hey-\Hello.\Hey.\Dude, what do you think you're doing?\Say, my apartment's on the second floor, right?\Aren't you in Room B on the third floor?\Oh, this is bad!\If I don't hurry, I'll miss my flight! response:	What's his room number?
context: Hello.\Hey.\Dude, what do you think you're doing?\Say, my apartment's on the second floor, right?\Aren't you in Room B on the third floor?\Oh, this is bad!\If I don't hurry, I'll miss my flight!\What's his room number? response:	3B.
context: Hey.\Dude, what do you think you're doing?\Say, my apartment's on the second floor, right?\Aren't you in Room B on the third floor?\Oh, this is bad!\If I don't hurry, I'll miss my flight!\What's his room number?\3B. response:	Thanks.
context: Dude, what do you think you're doing?\Say, my apartment's on the second floor, right?\Aren't you in Room B on the third floor?\Oh, this is bad!\If I don't hurry, I'll miss my flight!\What's his room number?\3B.\Thanks. response:	Hey, we got a suspicious male and female couple on the loose.
context: Say, my apartment's on the second floor, right?\Aren't you in Room B on the third floor?\Oh, this is bad!\If I don't hurry, I'll miss my flight!\What's his room number?\3B.\Thanks.\Hey, we got a suspicious male and female couple on the loose. response:	I'm sending the pic from the security camera.
context: Aren't you in Room B on the third floor?\Oh, this is bad!\If I don't hurry, I'll miss my flight!\What's his room number?\3B.\Thanks.\Hey, we got a suspicious male and female couple on the loose.\I'm sending the pic from the security camera. response:	Aw, man...
context: Oh, this is bad!\If I don't hurry, I'll miss my flight!\What's his room number?\3B.\Thanks.\Hey, we got a suspicious male and female couple on the loose.\I'm sending the pic from the security camera.\Aw, man... response:	I don't remember this at all.
context: If I don't hurry, I'll miss my flight!\What's his room number?\3B.\Thanks.\Hey, we got a suspicious male and female couple on the loose.\I'm sending the pic from the security camera.\Aw, man...\I don't remember this at all. response:	Is this my apartment?
context: What's his room number?\3B.\Thanks.\Hey, we got a suspicious male and female couple on the loose.\I'm sending the pic from the security camera.\Aw, man...\I don't remember this at all.\Is this my apartment? response:	Perfect fit...
context: 3B.\Thanks.\Hey, we got a suspicious male and female couple on the loose.\I'm sending the pic from the security camera.\Aw, man...\I don't remember this at all.\Is this my apartment?\Perfect fit... response:	Wh-What the heck? What is this, a terrorist hideout?!
context: Thanks.\Hey, we got a suspicious male and female couple on the loose.\I'm sending the pic from the security camera.\Aw, man...\I don't remember this at all.\Is this my apartment?\Perfect fit...\Wh-What the heck? What is this, a terrorist hideout?! response:	It's like that movie- what was it called again?
context: Hey, we got a suspicious male and female couple on the loose.\I'm sending the pic from the security camera.\Aw, man...\I don't remember this at all.\Is this my apartment?\Perfect fit...\Wh-What the heck? What is this, a terrorist hideout?!\It's like that movie- what was it called again? response:	Taxi Driver!
context: I'm sending the pic from the security camera.\Aw, man...\I don't remember this at all.\Is this my apartment?\Perfect fit...\Wh-What the heck? What is this, a terrorist hideout?!\It's like that movie- what was it called again?\Taxi Driver! response:	No, then I wouldn't be naked, I'd have a Mohawk.
context: Aw, man...\I don't remember this at all.\Is this my apartment?\Perfect fit...\Wh-What the heck? What is this, a terrorist hideout?!\It's like that movie- what was it called again?\Taxi Driver!\No, then I wouldn't be naked, I'd have a Mohawk. response:	Passports?
context: I don't remember this at all.\Is this my apartment?\Perfect fit...\Wh-What the heck? What is this, a terrorist hideout?!\It's like that movie- what was it called again?\Taxi Driver!\No, then I wouldn't be naked, I'd have a Mohawk.\Passports? response:	How many are there?
context: Is this my apartment?\Perfect fit...\Wh-What the heck? What is this, a terrorist hideout?!\It's like that movie- what was it called again?\Taxi Driver!\No, then I wouldn't be naked, I'd have a Mohawk.\Passports?\How many are there? response:	What, instead of De Niro, I'm Jason Bourne?
context: Perfect fit...\Wh-What the heck? What is this, a terrorist hideout?!\It's like that movie- what was it called again?\Taxi Driver!\No, then I wouldn't be naked, I'd have a Mohawk.\Passports?\How many are there?\What, instead of De Niro, I'm Jason Bourne? response:	They're all me?
context: Wh-What the heck? What is this, a terrorist hideout?!\It's like that movie- what was it called again?\Taxi Driver!\No, then I wouldn't be naked, I'd have a Mohawk.\Passports?\How many are there?\What, instead of De Niro, I'm Jason Bourne?\They're all me? response:	Someone's definitely setting me up.
context: It's like that movie- what was it called again?\Taxi Driver!\No, then I wouldn't be naked, I'd have a Mohawk.\Passports?\How many are there?\What, instead of De Niro, I'm Jason Bourne?\They're all me?\Someone's definitely setting me up. response:	For real?!
context: Taxi Driver!\No, then I wouldn't be naked, I'd have a Mohawk.\Passports?\How many are there?\What, instead of De Niro, I'm Jason Bourne?\They're all me?\Someone's definitely setting me up.\For real?! response:	Am I a terrorist after all?!
context: No, then I wouldn't be naked, I'd have a Mohawk.\Passports?\How many are there?\What, instead of De Niro, I'm Jason Bourne?\They're all me?\Someone's definitely setting me up.\For real?!\Am I a terrorist after all?! response:	Have I killed people?!
context: Passports?\How many are there?\What, instead of De Niro, I'm Jason Bourne?\They're all me?\Someone's definitely setting me up.\For real?!\Am I a terrorist after all?!\Have I killed people?! response:	U-Um, you're the person I loaned my coat to, right?
context: How many are there?\What, instead of De Niro, I'm Jason Bourne?\They're all me?\Someone's definitely setting me up.\For real?!\Am I a terrorist after all?!\Have I killed people?!\U-Um, you're the person I loaned my coat to, right? response:	Would you mind giving it back?
context: What, instead of De Niro, I'm Jason Bourne?\They're all me?\Someone's definitely setting me up.\For real?!\Am I a terrorist after all?!\Have I killed people?!\U-Um, you're the person I loaned my coat to, right?\Would you mind giving it back? response:	You see, my passport and wallet are in the pockets.
context: They're all me?\Someone's definitely setting me up.\For real?!\Am I a terrorist after all?!\Have I killed people?!\U-Um, you're the person I loaned my coat to, right?\Would you mind giving it back?\You see, my passport and wallet are in the pockets. response:	I'll give you the coat itself, so please just give those back!
context: Someone's definitely setting me up.\For real?!\Am I a terrorist after all?!\Have I killed people?!\U-Um, you're the person I loaned my coat to, right?\Would you mind giving it back?\You see, my passport and wallet are in the pockets.\I'll give you the coat itself, so please just give those back! response:	That's fine. Hang on a second.
context: For real?!\Am I a terrorist after all?!\Have I killed people?!\U-Um, you're the person I loaned my coat to, right?\Would you mind giving it back?\You see, my passport and wallet are in the pockets.\I'll give you the coat itself, so please just give those back!\That's fine. Hang on a second. response:	Saki Morimi...
context: Am I a terrorist after all?!\Have I killed people?!\U-Um, you're the person I loaned my coat to, right?\Would you mind giving it back?\You see, my passport and wallet are in the pockets.\I'll give you the coat itself, so please just give those back!\That's fine. Hang on a second.\Saki Morimi... response:	Born in 1 989, eh?
