context: I have put up a barrier. response:	Those insects cannot get through.
context: Well...\Inuyasha's mind is full of Kikyo right now.\Besides, why did I always go onto his back...\when he was not even my boyfriend?\Oh dear...I feel so embarrassed!\Oh dear...how embarrassing!\What's the matter with Kagome?\Dunno... response:	Kikyo died because of Naraku.
context: Inuyasha's mind is full of Kikyo right now.\Besides, why did I always go onto his back...\when he was not even my boyfriend?\Oh dear...I feel so embarrassed!\Oh dear...how embarrassing!\What's the matter with Kagome?\Dunno...\Kikyo died because of Naraku. response:	I will not let Naraku have Kikyo!
context: Besides, why did I always go onto his back...\when he was not even my boyfriend?\Oh dear...I feel so embarrassed!\Oh dear...how embarrassing!\What's the matter with Kagome?\Dunno...\Kikyo died because of Naraku.\I will not let Naraku have Kikyo! response:	The number of soul collectors have increased.
context: when he was not even my boyfriend?\Oh dear...I feel so embarrassed!\Oh dear...how embarrassing!\What's the matter with Kagome?\Dunno...\Kikyo died because of Naraku.\I will not let Naraku have Kikyo!\The number of soul collectors have increased. response:	They're!
context: Oh dear...I feel so embarrassed!\Oh dear...how embarrassing!\What's the matter with Kagome?\Dunno...\Kikyo died because of Naraku.\I will not let Naraku have Kikyo!\The number of soul collectors have increased.\They're! response:	They're!
context: Oh dear...how embarrassing!\What's the matter with Kagome?\Dunno...\Kikyo died because of Naraku.\I will not let Naraku have Kikyo!\The number of soul collectors have increased.\They're!\They're! response:	Everyone, it's a trap!
context: What's the matter with Kagome?\Dunno...\Kikyo died because of Naraku.\I will not let Naraku have Kikyo!\The number of soul collectors have increased.\They're!\They're!\Everyone, it's a trap! response:	Watch out!
context: Dunno...\Kikyo died because of Naraku.\I will not let Naraku have Kikyo!\The number of soul collectors have increased.\They're!\They're!\Everyone, it's a trap!\Watch out! response:	What's that?!
context: Kikyo died because of Naraku.\I will not let Naraku have Kikyo!\The number of soul collectors have increased.\They're!\They're!\Everyone, it's a trap!\Watch out!\What's that?! response:	That's!
context: I will not let Naraku have Kikyo!\The number of soul collectors have increased.\They're!\They're!\Everyone, it's a trap!\Watch out!\What's that?!\That's! response:	Where am I?
context: The number of soul collectors have increased.\They're!\They're!\Everyone, it's a trap!\Watch out!\What's that?!\That's!\Where am I? response:	He's the one who attacked the village!
context: They're!\They're!\Everyone, it's a trap!\Watch out!\What's that?!\That's!\Where am I?\He's the one who attacked the village! response:	That's Inuyasha!
context: They're!\Everyone, it's a trap!\Watch out!\What's that?!\That's!\Where am I?\He's the one who attacked the village!\That's Inuyasha! response:	It's Inuyasha!
context: Everyone, it's a trap!\Watch out!\What's that?!\That's!\Where am I?\He's the one who attacked the village!\That's Inuyasha!\It's Inuyasha! response:	Where am I?!
context: Watch out!\What's that?!\That's!\Where am I?\He's the one who attacked the village!\That's Inuyasha!\It's Inuyasha!\Where am I?! response:	This is?!
context: What's that?!\That's!\Where am I?\He's the one who attacked the village!\That's Inuyasha!\It's Inuyasha!\Where am I?!\This is?! response:	the Sacred Jewel!
context: That's!\Where am I?\He's the one who attacked the village!\That's Inuyasha!\It's Inuyasha!\Where am I?!\This is?!\the Sacred Jewel! response:	Inuyasha!
context: Where am I?\He's the one who attacked the village!\That's Inuyasha!\It's Inuyasha!\Where am I?!\This is?!\the Sacred Jewel!\Inuyasha! response:	Kikyo!
context: He's the one who attacked the village!\That's Inuyasha!\It's Inuyasha!\Where am I?!\This is?!\the Sacred Jewel!\Inuyasha!\Kikyo! response:	I know...
context: That's Inuyasha!\It's Inuyasha!\Where am I?!\This is?!\the Sacred Jewel!\Inuyasha!\Kikyo!\I know... response:	this is fifty years ago...
context: It's Inuyasha!\Where am I?!\This is?!\the Sacred Jewel!\Inuyasha!\Kikyo!\I know...\this is fifty years ago... response:	in this village, on this day, Kikyo killed me.
context: Where am I?!\This is?!\the Sacred Jewel!\Inuyasha!\Kikyo!\I know...\this is fifty years ago...\in this village, on this day, Kikyo killed me. response:	I attacked this village in order to steal the Sacred Jewel.
context: This is?!\the Sacred Jewel!\Inuyasha!\Kikyo!\I know...\this is fifty years ago...\in this village, on this day, Kikyo killed me.\I attacked this village in order to steal the Sacred Jewel. response:	Kikyo, this was a trap!
context: the Sacred Jewel!\Inuyasha!\Kikyo!\I know...\this is fifty years ago...\in this village, on this day, Kikyo killed me.\I attacked this village in order to steal the Sacred Jewel.\Kikyo, this was a trap! response:	Kikyo! Wait!
context: Inuyasha!\Kikyo!\I know...\this is fifty years ago...\in this village, on this day, Kikyo killed me.\I attacked this village in order to steal the Sacred Jewel.\Kikyo, this was a trap!\Kikyo! Wait! response:	Wait, Kikyo!
context: Kikyo!\I know...\this is fifty years ago...\in this village, on this day, Kikyo killed me.\I attacked this village in order to steal the Sacred Jewel.\Kikyo, this was a trap!\Kikyo! Wait!\Wait, Kikyo! response:	No... a dream?
context: I know...\this is fifty years ago...\in this village, on this day, Kikyo killed me.\I attacked this village in order to steal the Sacred Jewel.\Kikyo, this was a trap!\Kikyo! Wait!\Wait, Kikyo!\No... a dream? response:	What is this?!
context: this is fifty years ago...\in this village, on this day, Kikyo killed me.\I attacked this village in order to steal the Sacred Jewel.\Kikyo, this was a trap!\Kikyo! Wait!\Wait, Kikyo!\No... a dream?\What is this?! response:	Inuyasha and the others are gone.
context: in this village, on this day, Kikyo killed me.\I attacked this village in order to steal the Sacred Jewel.\Kikyo, this was a trap!\Kikyo! Wait!\Wait, Kikyo!\No... a dream?\What is this?!\Inuyasha and the others are gone. response:	The wind is picking up.
context: I attacked this village in order to steal the Sacred Jewel.\Kikyo, this was a trap!\Kikyo! Wait!\Wait, Kikyo!\No... a dream?\What is this?!\Inuyasha and the others are gone.\The wind is picking up. response:	The sound of the wind...
context: Kikyo, this was a trap!\Kikyo! Wait!\Wait, Kikyo!\No... a dream?\What is this?!\Inuyasha and the others are gone.\The wind is picking up.\The sound of the wind... response:	From my Wind Tunnel?
context: Kikyo! Wait!\Wait, Kikyo!\No... a dream?\What is this?!\Inuyasha and the others are gone.\The wind is picking up.\The sound of the wind...\From my Wind Tunnel? response:	I'm being sucked in!
context: Wait, Kikyo!\No... a dream?\What is this?!\Inuyasha and the others are gone.\The wind is picking up.\The sound of the wind...\From my Wind Tunnel?\I'm being sucked in! response:	All right, Kirara...
context: No... a dream?\What is this?!\Inuyasha and the others are gone.\The wind is picking up.\The sound of the wind...\From my Wind Tunnel?\I'm being sucked in!\All right, Kirara... response:	there's nothing behind us.
context: What is this?!\Inuyasha and the others are gone.\The wind is picking up.\The sound of the wind...\From my Wind Tunnel?\I'm being sucked in!\All right, Kirara...\there's nothing behind us. response:	Hmm? What's going on?
context: Inuyasha and the others are gone.\The wind is picking up.\The sound of the wind...\From my Wind Tunnel?\I'm being sucked in!\All right, Kirara...\there's nothing behind us.\Hmm? What's going on? response:	Kirara has disappeared!
context: The wind is picking up.\The sound of the wind...\From my Wind Tunnel?\I'm being sucked in!\All right, Kirara...\there's nothing behind us.\Hmm? What's going on?\Kirara has disappeared! response:	Huh?! Kagome! Sango!
context: The sound of the wind...\From my Wind Tunnel?\I'm being sucked in!\All right, Kirara...\there's nothing behind us.\Hmm? What's going on?\Kirara has disappeared!\Huh?! Kagome! Sango! response:	Wait!
context: From my Wind Tunnel?\I'm being sucked in!\All right, Kirara...\there's nothing behind us.\Hmm? What's going on?\Kirara has disappeared!\Huh?! Kagome! Sango!\Wait! response:	Everyone's clothes!
context: I'm being sucked in!\All right, Kirara...\there's nothing behind us.\Hmm? What's going on?\Kirara has disappeared!\Huh?! Kagome! Sango!\Wait!\Everyone's clothes! response:	What happened to everyone?!
context: All right, Kirara...\there's nothing behind us.\Hmm? What's going on?\Kirara has disappeared!\Huh?! Kagome! Sango!\Wait!\Everyone's clothes!\What happened to everyone?! response:	Where did their bodies go?!
context: there's nothing behind us.\Hmm? What's going on?\Kirara has disappeared!\Huh?! Kagome! Sango!\Wait!\Everyone's clothes!\What happened to everyone?!\Where did their bodies go?! response:	Inuyasha!
context: Hmm? What's going on?\Kirara has disappeared!\Huh?! Kagome! Sango!\Wait!\Everyone's clothes!\What happened to everyone?!\Where did their bodies go?!\Inuyasha! response:	Miroku!
context: Kirara has disappeared!\Huh?! Kagome! Sango!\Wait!\Everyone's clothes!\What happened to everyone?!\Where did their bodies go?!\Inuyasha!\Miroku! response:	Kagome! Sango!
context: Huh?! Kagome! Sango!\Wait!\Everyone's clothes!\What happened to everyone?!\Where did their bodies go?!\Inuyasha!\Miroku!\Kagome! Sango! response:	Kohaku!
context: Wait!\Everyone's clothes!\What happened to everyone?!\Where did their bodies go?!\Inuyasha!\Miroku!\Kagome! Sango!\Kohaku! response:	My evil spell... of Illusionary Death.
context: Everyone's clothes!\What happened to everyone?!\Where did their bodies go?!\Inuyasha!\Miroku!\Kagome! Sango!\Kohaku!\My evil spell... of Illusionary Death. response:	Truly, the heart is such a weak thing.
context: What happened to everyone?!\Where did their bodies go?!\Inuyasha!\Miroku!\Kagome! Sango!\Kohaku!\My evil spell... of Illusionary Death.\Truly, the heart is such a weak thing. response:	Sadness... Fear... Confusion...
context: Where did their bodies go?!\Inuyasha!\Miroku!\Kagome! Sango!\Kohaku!\My evil spell... of Illusionary Death.\Truly, the heart is such a weak thing.\Sadness... Fear... Confusion... response:	If the negative forces inside their hearts...
context: Inuyasha!\Miroku!\Kagome! Sango!\Kohaku!\My evil spell... of Illusionary Death.\Truly, the heart is such a weak thing.\Sadness... Fear... Confusion...\If the negative forces inside their hearts... response:	are touched by the creepers I've placed here...
context: Miroku!\Kagome! Sango!\Kohaku!\My evil spell... of Illusionary Death.\Truly, the heart is such a weak thing.\Sadness... Fear... Confusion...\If the negative forces inside their hearts...\are touched by the creepers I've placed here... response:	their soul will be consumed into the dark.
context: Kagome! Sango!\Kohaku!\My evil spell... of Illusionary Death.\Truly, the heart is such a weak thing.\Sadness... Fear... Confusion...\If the negative forces inside their hearts...\are touched by the creepers I've placed here...\their soul will be consumed into the dark. response:	Where have they all gone?
context: Kohaku!\My evil spell... of Illusionary Death.\Truly, the heart is such a weak thing.\Sadness... Fear... Confusion...\If the negative forces inside their hearts...\are touched by the creepers I've placed here...\their soul will be consumed into the dark.\Where have they all gone? response:	What are these vines?!
context: My evil spell... of Illusionary Death.\Truly, the heart is such a weak thing.\Sadness... Fear... Confusion...\If the negative forces inside their hearts...\are touched by the creepers I've placed here...\their soul will be consumed into the dark.\Where have they all gone?\What are these vines?! response:	Oh yuck!
context: Truly, the heart is such a weak thing.\Sadness... Fear... Confusion...\If the negative forces inside their hearts...\are touched by the creepers I've placed here...\their soul will be consumed into the dark.\Where have they all gone?\What are these vines?!\Oh yuck! response:	Is it because she has the Sacred Jewel fragments?
context: Sadness... Fear... Confusion...\If the negative forces inside their hearts...\are touched by the creepers I've placed here...\their soul will be consumed into the dark.\Where have they all gone?\What are these vines?!\Oh yuck!\Is it because she has the Sacred Jewel fragments? response:	That girl alone is unaffected by my sorcery.
context: If the negative forces inside their hearts...\are touched by the creepers I've placed here...\their soul will be consumed into the dark.\Where have they all gone?\What are these vines?!\Oh yuck!\Is it because she has the Sacred Jewel fragments?\That girl alone is unaffected by my sorcery. response:	Only she will succeed in reaching here.
