context: Timing and Subtitles brought to you by The Little Lover Team@Viki. response:	Moon Bunny Michaela!
context: I've liked Minami-kun...\all this time.\I'm not going to take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to get back to that time again.\I want to be little again.\Minami-kun...\Why? response:	I became the One-Inch-Princess?
context: all this time.\I'm not going to take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to get back to that time again.\I want to be little again.\Minami-kun...\Why?\I became the One-Inch-Princess? response:	No way...
context: I'm not going to take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to get back to that time again.\I want to be little again.\Minami-kun...\Why?\I became the One-Inch-Princess?\No way... response:	Can't be!
context: You are so spoiled and easy going.\I want to get back to that time again.\I want to be little again.\Minami-kun...\Why?\I became the One-Inch-Princess?\No way...\Can't be! response:	Stay away!
context: I want to get back to that time again.\I want to be little again.\Minami-kun...\Why?\I became the One-Inch-Princess?\No way...\Can't be!\Stay away! response:	Don't come this way!
context: I want to be little again.\Minami-kun...\Why?\I became the One-Inch-Princess?\No way...\Can't be!\Stay away!\Don't come this way! response:	My Little Lover - Minami Kun No Koibito
context: Minami-kun...\Why?\I became the One-Inch-Princess?\No way...\Can't be!\Stay away!\Don't come this way!\My Little Lover - Minami Kun No Koibito response:	N I am not good at talking in similitudes N
context: Why?\I became the One-Inch-Princess?\No way...\Can't be!\Stay away!\Don't come this way!\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N response:	N But, I will tell you an amazing story N
context: I became the One-Inch-Princess?\No way...\Can't be!\Stay away!\Don't come this way!\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N response:	N that will fit in a pocket N
context: No way...\Can't be!\Stay away!\Don't come this way!\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N response:	N God played a trick N
context: Can't be!\Stay away!\Don't come this way!\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N response:	N And a dramatic time began N
context: Stay away!\Don't come this way!\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N response:	N The shape of happiness you and I imagined N
context: Don't come this way!\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N response:	N doesn't have a name N
context: My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N response:	N But if it is a world I create with you, it's okay N
context: N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N response:	N I will write words that won't be erased like a magic N
context: N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N response:	N and turn the page N
context: N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N response:	N It is like a sequel to the fairy tale N N We can smile forever N
context: N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N response:	N To a place over the rainbow N
context: N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N To a place over the rainbow N response:	N Let's imagine N
context: N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N To a place over the rainbow N\N Let's imagine N response:	N a story with a happy ending N
context: N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N response:	Stay away! Don't come any closer!
context: N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Stay away! Don't come any closer! response:	Go away!
context: N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Stay away! Don't come any closer!\Go away! response:	Come. Don't go off the road.
context: N and turn the page N\N It is like a sequel to the fairy tale N N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Stay away! Don't come any closer!\Go away!\Come. Don't go off the road. response:	Come now. Let's go.
context: N It is like a sequel to the fairy tale N N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Stay away! Don't come any closer!\Go away!\Come. Don't go off the road.\Come now. Let's go. response:	Run!
context: N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Stay away! Don't come any closer!\Go away!\Come. Don't go off the road.\Come now. Let's go.\Run! response:	What should I do?
context: N Let's imagine N\N a story with a happy ending N\Stay away! Don't come any closer!\Go away!\Come. Don't go off the road.\Come now. Let's go.\Run!\What should I do? response:	Please find her.
context: N a story with a happy ending N\Stay away! Don't come any closer!\Go away!\Come. Don't go off the road.\Come now. Let's go.\Run!\What should I do?\Please find her. response:	I am counting on you, Sakaizawa-chan.
context: Stay away! Don't come any closer!\Go away!\Come. Don't go off the road.\Come now. Let's go.\Run!\What should I do?\Please find her.\I am counting on you, Sakaizawa-chan. response:	Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss.
context: Go away!\Come. Don't go off the road.\Come now. Let's go.\Run!\What should I do?\Please find her.\I am counting on you, Sakaizawa-chan.\Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss. response:	I will keep this a secret myself.
context: Come. Don't go off the road.\Come now. Let's go.\Run!\What should I do?\Please find her.\I am counting on you, Sakaizawa-chan.\Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss.\I will keep this a secret myself. response:	- Thank you. - It's fine.
context: Come now. Let's go.\Run!\What should I do?\Please find her.\I am counting on you, Sakaizawa-chan.\Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss.\I will keep this a secret myself.\- Thank you. - It's fine. response:	Shunichi. Oh!
context: Run!\What should I do?\Please find her.\I am counting on you, Sakaizawa-chan.\Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss.\I will keep this a secret myself.\- Thank you. - It's fine.\Shunichi. Oh! response:	Our next-door neighbor Chiyomi-chan disappeared.
context: What should I do?\Please find her.\I am counting on you, Sakaizawa-chan.\Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss.\I will keep this a secret myself.\- Thank you. - It's fine.\Shunichi. Oh!\Our next-door neighbor Chiyomi-chan disappeared. response:	Disappeared?
context: Please find her.\I am counting on you, Sakaizawa-chan.\Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss.\I will keep this a secret myself.\- Thank you. - It's fine.\Shunichi. Oh!\Our next-door neighbor Chiyomi-chan disappeared.\Disappeared? response:	She hasn't come home since she went out last night.
context: I am counting on you, Sakaizawa-chan.\Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss.\I will keep this a secret myself.\- Thank you. - It's fine.\Shunichi. Oh!\Our next-door neighbor Chiyomi-chan disappeared.\Disappeared?\She hasn't come home since she went out last night. response:	I heard that from a police officer outside.
context: Well, Chiyomi-chan is adolescent. You'd better not make too much of a fuss.\I will keep this a secret myself.\- Thank you. - It's fine.\Shunichi. Oh!\Our next-door neighbor Chiyomi-chan disappeared.\Disappeared?\She hasn't come home since she went out last night.\I heard that from a police officer outside. response:	Why do you say such a thing? You're so mean.
context: I will keep this a secret myself.\- Thank you. - It's fine.\Shunichi. Oh!\Our next-door neighbor Chiyomi-chan disappeared.\Disappeared?\She hasn't come home since she went out last night.\I heard that from a police officer outside.\Why do you say such a thing? You're so mean. response:	We used to be so close.
context: - Thank you. - It's fine.\Shunichi. Oh!\Our next-door neighbor Chiyomi-chan disappeared.\Disappeared?\She hasn't come home since she went out last night.\I heard that from a police officer outside.\Why do you say such a thing? You're so mean.\We used to be so close. response:	I don't like you anymore.
context: Shunichi. Oh!\Our next-door neighbor Chiyomi-chan disappeared.\Disappeared?\She hasn't come home since she went out last night.\I heard that from a police officer outside.\Why do you say such a thing? You're so mean.\We used to be so close.\I don't like you anymore. response:	She doesn't pick up her cellphone either.
context: Our next-door neighbor Chiyomi-chan disappeared.\Disappeared?\She hasn't come home since she went out last night.\I heard that from a police officer outside.\Why do you say such a thing? You're so mean.\We used to be so close.\I don't like you anymore.\She doesn't pick up her cellphone either. response:	Last night, the police officer saw Chiyomi-chan around Misaki Park.
context: Disappeared?\She hasn't come home since she went out last night.\I heard that from a police officer outside.\Why do you say such a thing? You're so mean.\We used to be so close.\I don't like you anymore.\She doesn't pick up her cellphone either.\Last night, the police officer saw Chiyomi-chan around Misaki Park. response:	It was so stormy, you know.
context: She hasn't come home since she went out last night.\I heard that from a police officer outside.\Why do you say such a thing? You're so mean.\We used to be so close.\I don't like you anymore.\She doesn't pick up her cellphone either.\Last night, the police officer saw Chiyomi-chan around Misaki Park.\It was so stormy, you know. response:	I am worried.
context: I heard that from a police officer outside.\Why do you say such a thing? You're so mean.\We used to be so close.\I don't like you anymore.\She doesn't pick up her cellphone either.\Last night, the police officer saw Chiyomi-chan around Misaki Park.\It was so stormy, you know.\I am worried. response:	- Shunichi? - I'm going out for a run.
context: Why do you say such a thing? You're so mean.\We used to be so close.\I don't like you anymore.\She doesn't pick up her cellphone either.\Last night, the police officer saw Chiyomi-chan around Misaki Park.\It was so stormy, you know.\I am worried.\- Shunichi? - I'm going out for a run. response:	Chiyomi...
context: We used to be so close.\I don't like you anymore.\She doesn't pick up her cellphone either.\Last night, the police officer saw Chiyomi-chan around Misaki Park.\It was so stormy, you know.\I am worried.\- Shunichi? - I'm going out for a run.\Chiyomi... response:	Chiyomi? Chiyomi!
context: I don't like you anymore.\She doesn't pick up her cellphone either.\Last night, the police officer saw Chiyomi-chan around Misaki Park.\It was so stormy, you know.\I am worried.\- Shunichi? - I'm going out for a run.\Chiyomi...\Chiyomi? Chiyomi! response:	Chiyomi! Chiyomi! Chiyomi!
context: She doesn't pick up her cellphone either.\Last night, the police officer saw Chiyomi-chan around Misaki Park.\It was so stormy, you know.\I am worried.\- Shunichi? - I'm going out for a run.\Chiyomi...\Chiyomi? Chiyomi!\Chiyomi! Chiyomi! Chiyomi! response:	Minami-kun!
context: Last night, the police officer saw Chiyomi-chan around Misaki Park.\It was so stormy, you know.\I am worried.\- Shunichi? - I'm going out for a run.\Chiyomi...\Chiyomi? Chiyomi!\Chiyomi! Chiyomi! Chiyomi!\Minami-kun! response:	Chiyomi?
context: It was so stormy, you know.\I am worried.\- Shunichi? - I'm going out for a run.\Chiyomi...\Chiyomi? Chiyomi!\Chiyomi! Chiyomi! Chiyomi!\Minami-kun!\Chiyomi? response:	Minami-kun!
context: I am worried.\- Shunichi? - I'm going out for a run.\Chiyomi...\Chiyomi? Chiyomi!\Chiyomi! Chiyomi! Chiyomi!\Minami-kun!\Chiyomi?\Minami-kun! response:	Chiyomi? Where are you, Chiyomi?
context: - Shunichi? - I'm going out for a run.\Chiyomi...\Chiyomi? Chiyomi!\Chiyomi! Chiyomi! Chiyomi!\Minami-kun!\Chiyomi?\Minami-kun!\Chiyomi? Where are you, Chiyomi? response:	Here, I'm here! Minami-kun!
context: Chiyomi...\Chiyomi? Chiyomi!\Chiyomi! Chiyomi! Chiyomi!\Minami-kun!\Chiyomi?\Minami-kun!\Chiyomi? Where are you, Chiyomi?\Here, I'm here! Minami-kun! response:	Over here!
context: Chiyomi? Chiyomi!\Chiyomi! Chiyomi! Chiyomi!\Minami-kun!\Chiyomi?\Minami-kun!\Chiyomi? Where are you, Chiyomi?\Here, I'm here! Minami-kun!\Over here! response:	Minami-kun!
context: Chiyomi! Chiyomi! Chiyomi!\Minami-kun!\Chiyomi?\Minami-kun!\Chiyomi? Where are you, Chiyomi?\Here, I'm here! Minami-kun!\Over here!\Minami-kun! response:	Chiyomi...
context: Minami-kun!\Chiyomi?\Minami-kun!\Chiyomi? Where are you, Chiyomi?\Here, I'm here! Minami-kun!\Over here!\Minami-kun!\Chiyomi... response:	It's not a dream!
context: Chiyomi?\Minami-kun!\Chiyomi? Where are you, Chiyomi?\Here, I'm here! Minami-kun!\Over here!\Minami-kun!\Chiyomi...\It's not a dream! response:	It's me, Chiyomi!
context: Minami-kun!\Chiyomi? Where are you, Chiyomi?\Here, I'm here! Minami-kun!\Over here!\Minami-kun!\Chiyomi...\It's not a dream!\It's me, Chiyomi! response:	Minami-kun!
context: Chiyomi? Where are you, Chiyomi?\Here, I'm here! Minami-kun!\Over here!\Minami-kun!\Chiyomi...\It's not a dream!\It's me, Chiyomi!\Minami-kun! response:	Minami-kun...
context: Here, I'm here! Minami-kun!\Over here!\Minami-kun!\Chiyomi...\It's not a dream!\It's me, Chiyomi!\Minami-kun!\Minami-kun... response:	Chiyomi...
context: Over here!\Minami-kun!\Chiyomi...\It's not a dream!\It's me, Chiyomi!\Minami-kun!\Minami-kun...\Chiyomi... response:	You are up early, as always.
context: Minami-kun!\Chiyomi...\It's not a dream!\It's me, Chiyomi!\Minami-kun!\Minami-kun...\Chiyomi...\You are up early, as always. response:	- Good morning. - Hi.
context: Chiyomi...\It's not a dream!\It's me, Chiyomi!\Minami-kun!\Minami-kun...\Chiyomi...\You are up early, as always.\- Good morning. - Hi. response:	Hey, hey. Have you heard about Chiyomi-chan?
context: It's not a dream!\It's me, Chiyomi!\Minami-kun!\Minami-kun...\Chiyomi...\You are up early, as always.\- Good morning. - Hi.\Hey, hey. Have you heard about Chiyomi-chan? response:	Yes... I heard a bit about it from Mom.
context: It's me, Chiyomi!\Minami-kun!\Minami-kun...\Chiyomi...\You are up early, as always.\- Good morning. - Hi.\Hey, hey. Have you heard about Chiyomi-chan?\Yes... I heard a bit about it from Mom. response:	Right. She ran away from home.
context: Minami-kun!\Minami-kun...\Chiyomi...\You are up early, as always.\- Good morning. - Hi.\Hey, hey. Have you heard about Chiyomi-chan?\Yes... I heard a bit about it from Mom.\Right. She ran away from home. response:	Chiyomi-chan seems to have suffered from domestic violence.
context: Minami-kun...\Chiyomi...\You are up early, as always.\- Good morning. - Hi.\Hey, hey. Have you heard about Chiyomi-chan?\Yes... I heard a bit about it from Mom.\Right. She ran away from home.\Chiyomi-chan seems to have suffered from domestic violence. response:	It's between you and me, but
context: Chiyomi...\You are up early, as always.\- Good morning. - Hi.\Hey, hey. Have you heard about Chiyomi-chan?\Yes... I heard a bit about it from Mom.\Right. She ran away from home.\Chiyomi-chan seems to have suffered from domestic violence.\It's between you and me, but response:	I think she eloped with her boyfriend.
context: You are up early, as always.\- Good morning. - Hi.\Hey, hey. Have you heard about Chiyomi-chan?\Yes... I heard a bit about it from Mom.\Right. She ran away from home.\Chiyomi-chan seems to have suffered from domestic violence.\It's between you and me, but\I think she eloped with her boyfriend. response:	What?
context: - Good morning. - Hi.\Hey, hey. Have you heard about Chiyomi-chan?\Yes... I heard a bit about it from Mom.\Right. She ran away from home.\Chiyomi-chan seems to have suffered from domestic violence.\It's between you and me, but\I think she eloped with her boyfriend.\What? response:	I see.
context: Hey, hey. Have you heard about Chiyomi-chan?\Yes... I heard a bit about it from Mom.\Right. She ran away from home.\Chiyomi-chan seems to have suffered from domestic violence.\It's between you and me, but\I think she eloped with her boyfriend.\What?\I see. response:	Don't tell anyone.
context: Yes... I heard a bit about it from Mom.\Right. She ran away from home.\Chiyomi-chan seems to have suffered from domestic violence.\It's between you and me, but\I think she eloped with her boyfriend.\What?\I see.\Don't tell anyone. response:	Chiyomi-chan is an adolescent after all.
context: Right. She ran away from home.\Chiyomi-chan seems to have suffered from domestic violence.\It's between you and me, but\I think she eloped with her boyfriend.\What?\I see.\Don't tell anyone.\Chiyomi-chan is an adolescent after all. response:	It'll be a problem if a bad rumor spreads.
context: Chiyomi-chan seems to have suffered from domestic violence.\It's between you and me, but\I think she eloped with her boyfriend.\What?\I see.\Don't tell anyone.\Chiyomi-chan is an adolescent after all.\It'll be a problem if a bad rumor spreads. response:	See you later.
context: It's between you and me, but\I think she eloped with her boyfriend.\What?\I see.\Don't tell anyone.\Chiyomi-chan is an adolescent after all.\It'll be a problem if a bad rumor spreads.\See you later. response:	Elope?
context: I think she eloped with her boyfriend.\What?\I see.\Don't tell anyone.\Chiyomi-chan is an adolescent after all.\It'll be a problem if a bad rumor spreads.\See you later.\Elope? response:	Things are getting serious.
context: What?\I see.\Don't tell anyone.\Chiyomi-chan is an adolescent after all.\It'll be a problem if a bad rumor spreads.\See you later.\Elope?\Things are getting serious. response:	Domestic violence is bad.
context: I see.\Don't tell anyone.\Chiyomi-chan is an adolescent after all.\It'll be a problem if a bad rumor spreads.\See you later.\Elope?\Things are getting serious.\Domestic violence is bad. response:	No, it's not DV -
context: Don't tell anyone.\Chiyomi-chan is an adolescent after all.\It'll be a problem if a bad rumor spreads.\See you later.\Elope?\Things are getting serious.\Domestic violence is bad.\No, it's not DV - response:	Well, you have to teach her a lesson when necessary.
context: Chiyomi-chan is an adolescent after all.\It'll be a problem if a bad rumor spreads.\See you later.\Elope?\Things are getting serious.\Domestic violence is bad.\No, it's not DV -\Well, you have to teach her a lesson when necessary. response:	But, she hasn't come home since last night.
context: It'll be a problem if a bad rumor spreads.\See you later.\Elope?\Things are getting serious.\Domestic violence is bad.\No, it's not DV -\Well, you have to teach her a lesson when necessary.\But, she hasn't come home since last night. response:	Hey, I told you not to make a ruckus.
context: See you later.\Elope?\Things are getting serious.\Domestic violence is bad.\No, it's not DV -\Well, you have to teach her a lesson when necessary.\But, she hasn't come home since last night.\Hey, I told you not to make a ruckus. response:	Gosh, people in this town are loose lipped.
context: Elope?\Things are getting serious.\Domestic violence is bad.\No, it's not DV -\Well, you have to teach her a lesson when necessary.\But, she hasn't come home since last night.\Hey, I told you not to make a ruckus.\Gosh, people in this town are loose lipped. response:	When I think about it, it is your fault, Sakaizawa-chan...
context: Things are getting serious.\Domestic violence is bad.\No, it's not DV -\Well, you have to teach her a lesson when necessary.\But, she hasn't come home since last night.\Hey, I told you not to make a ruckus.\Gosh, people in this town are loose lipped.\When I think about it, it is your fault, Sakaizawa-chan... response:	What am I going to do?
context: Domestic violence is bad.\No, it's not DV -\Well, you have to teach her a lesson when necessary.\But, she hasn't come home since last night.\Hey, I told you not to make a ruckus.\Gosh, people in this town are loose lipped.\When I think about it, it is your fault, Sakaizawa-chan...\What am I going to do? response:	What else can we do?
context: No, it's not DV -\Well, you have to teach her a lesson when necessary.\But, she hasn't come home since last night.\Hey, I told you not to make a ruckus.\Gosh, people in this town are loose lipped.\When I think about it, it is your fault, Sakaizawa-chan...\What am I going to do?\What else can we do? response:	We have no choice but to explain what happend.
context: Well, you have to teach her a lesson when necessary.\But, she hasn't come home since last night.\Hey, I told you not to make a ruckus.\Gosh, people in this town are loose lipped.\When I think about it, it is your fault, Sakaizawa-chan...\What am I going to do?\What else can we do?\We have no choice but to explain what happend. response:	Wait, wait, Minami-kun!
context: But, she hasn't come home since last night.\Hey, I told you not to make a ruckus.\Gosh, people in this town are loose lipped.\When I think about it, it is your fault, Sakaizawa-chan...\What am I going to do?\What else can we do?\We have no choice but to explain what happend.\Wait, wait, Minami-kun! response:	What is it?
context: Hey, I told you not to make a ruckus.\Gosh, people in this town are loose lipped.\When I think about it, it is your fault, Sakaizawa-chan...\What am I going to do?\What else can we do?\We have no choice but to explain what happend.\Wait, wait, Minami-kun!\What is it? response:	I can't go back like this!
context: Gosh, people in this town are loose lipped.\When I think about it, it is your fault, Sakaizawa-chan...\What am I going to do?\What else can we do?\We have no choice but to explain what happend.\Wait, wait, Minami-kun!\What is it?\I can't go back like this! response:	Eat it when you get hungry.
context: When I think about it, it is your fault, Sakaizawa-chan...\What am I going to do?\What else can we do?\We have no choice but to explain what happend.\Wait, wait, Minami-kun!\What is it?\I can't go back like this!\Eat it when you get hungry. response:	Thanks!
context: What am I going to do?\What else can we do?\We have no choice but to explain what happend.\Wait, wait, Minami-kun!\What is it?\I can't go back like this!\Eat it when you get hungry.\Thanks! response:	Listen. Don't touch my stuff unnecessarily.
context: What else can we do?\We have no choice but to explain what happend.\Wait, wait, Minami-kun!\What is it?\I can't go back like this!\Eat it when you get hungry.\Thanks!\Listen. Don't touch my stuff unnecessarily. response:	Also, don't ever let my mom and grandma see you.
context: We have no choice but to explain what happend.\Wait, wait, Minami-kun!\What is it?\I can't go back like this!\Eat it when you get hungry.\Thanks!\Listen. Don't touch my stuff unnecessarily.\Also, don't ever let my mom and grandma see you. response:	My grandma's always at home.
context: Wait, wait, Minami-kun!\What is it?\I can't go back like this!\Eat it when you get hungry.\Thanks!\Listen. Don't touch my stuff unnecessarily.\Also, don't ever let my mom and grandma see you.\My grandma's always at home. response:	I understand!
context: What is it?\I can't go back like this!\Eat it when you get hungry.\Thanks!\Listen. Don't touch my stuff unnecessarily.\Also, don't ever let my mom and grandma see you.\My grandma's always at home.\I understand! response:	Um...
context: I can't go back like this!\Eat it when you get hungry.\Thanks!\Listen. Don't touch my stuff unnecessarily.\Also, don't ever let my mom and grandma see you.\My grandma's always at home.\I understand!\Um... response:	What is it? What's wrong?
context: Eat it when you get hungry.\Thanks!\Listen. Don't touch my stuff unnecessarily.\Also, don't ever let my mom and grandma see you.\My grandma's always at home.\I understand!\Um...\What is it? What's wrong? response:	I don't need this flower pot since the plant is dead.
context: Thanks!\Listen. Don't touch my stuff unnecessarily.\Also, don't ever let my mom and grandma see you.\My grandma's always at home.\I understand!\Um...\What is it? What's wrong?\I don't need this flower pot since the plant is dead. response:	What?
context: Listen. Don't touch my stuff unnecessarily.\Also, don't ever let my mom and grandma see you.\My grandma's always at home.\I understand!\Um...\What is it? What's wrong?\I don't need this flower pot since the plant is dead.\What? response:	Shunichi, come eat your breakfast!
context: Also, don't ever let my mom and grandma see you.\My grandma's always at home.\I understand!\Um...\What is it? What's wrong?\I don't need this flower pot since the plant is dead.\What?\Shunichi, come eat your breakfast! response:	I'm coming now.
context: My grandma's always at home.\I understand!\Um...\What is it? What's wrong?\I don't need this flower pot since the plant is dead.\What?\Shunichi, come eat your breakfast!\I'm coming now. response:	That was close!
context: I understand!\Um...\What is it? What's wrong?\I don't need this flower pot since the plant is dead.\What?\Shunichi, come eat your breakfast!\I'm coming now.\That was close! response:	Ohno-sensei.
context: Um...\What is it? What's wrong?\I don't need this flower pot since the plant is dead.\What?\Shunichi, come eat your breakfast!\I'm coming now.\That was close!\Ohno-sensei. response:	What is it?
context: What is it? What's wrong?\I don't need this flower pot since the plant is dead.\What?\Shunichi, come eat your breakfast!\I'm coming now.\That was close!\Ohno-sensei.\What is it? response:	Well, what happened to Horikiri-san?
context: I don't need this flower pot since the plant is dead.\What?\Shunichi, come eat your breakfast!\I'm coming now.\That was close!\Ohno-sensei.\What is it?\Well, what happened to Horikiri-san? response:	I got a call from Chiyomi's mom last night. I am so worried.
context: What?\Shunichi, come eat your breakfast!\I'm coming now.\That was close!\Ohno-sensei.\What is it?\Well, what happened to Horikiri-san?\I got a call from Chiyomi's mom last night. I am so worried. response:	Right, you are good friends of Horikiri-san.
context: Shunichi, come eat your breakfast!\I'm coming now.\That was close!\Ohno-sensei.\What is it?\Well, what happened to Horikiri-san?\I got a call from Chiyomi's mom last night. I am so worried.\Right, you are good friends of Horikiri-san. response:	She doesn't really have a cold, does she?
context: I'm coming now.\That was close!\Ohno-sensei.\What is it?\Well, what happened to Horikiri-san?\I got a call from Chiyomi's mom last night. I am so worried.\Right, you are good friends of Horikiri-san.\She doesn't really have a cold, does she? response:	There's no need for you to worry.
context: That was close!\Ohno-sensei.\What is it?\Well, what happened to Horikiri-san?\I got a call from Chiyomi's mom last night. I am so worried.\Right, you are good friends of Horikiri-san.\She doesn't really have a cold, does she?\There's no need for you to worry. response:	But, I know you can't help it.
context: Ohno-sensei.\What is it?\Well, what happened to Horikiri-san?\I got a call from Chiyomi's mom last night. I am so worried.\Right, you are good friends of Horikiri-san.\She doesn't really have a cold, does she?\There's no need for you to worry.\But, I know you can't help it. response:	The school talked with her parents and decided not to make a big deal out of this.
