context: And, the one-inch-boy, wearing a needle sword response:	that his grandfather made,
context: - Over here. - One-inch-princess!\Where is she?\Ah... I got wet.\Timing and Subtitles brought to you by The Little Lover Team @Viki\What's the matter? Are you okay?\- One-inch-princess. - Eh?\She was really here.\I saw her now. See over there? response:	Since she floated from that way...
context: Where is she?\Ah... I got wet.\Timing and Subtitles brought to you by The Little Lover Team @Viki\What's the matter? Are you okay?\- One-inch-princess. - Eh?\She was really here.\I saw her now. See over there?\Since she floated from that way... response:	I love you very much, Chiyomi.
context: Ah... I got wet.\Timing and Subtitles brought to you by The Little Lover Team @Viki\What's the matter? Are you okay?\- One-inch-princess. - Eh?\She was really here.\I saw her now. See over there?\Since she floated from that way...\I love you very much, Chiyomi. response:	Me, too. I love you very much, Minami-kun.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\What's the matter? Are you okay?\- One-inch-princess. - Eh?\She was really here.\I saw her now. See over there?\Since she floated from that way...\I love you very much, Chiyomi.\Me, too. I love you very much, Minami-kun. response:	Then, shall we stay together forever?
context: What's the matter? Are you okay?\- One-inch-princess. - Eh?\She was really here.\I saw her now. See over there?\Since she floated from that way...\I love you very much, Chiyomi.\Me, too. I love you very much, Minami-kun.\Then, shall we stay together forever? response:	Eh?
context: - One-inch-princess. - Eh?\She was really here.\I saw her now. See over there?\Since she floated from that way...\I love you very much, Chiyomi.\Me, too. I love you very much, Minami-kun.\Then, shall we stay together forever?\Eh? response:	Yup. Let's stay together.
context: She was really here.\I saw her now. See over there?\Since she floated from that way...\I love you very much, Chiyomi.\Me, too. I love you very much, Minami-kun.\Then, shall we stay together forever?\Eh?\Yup. Let's stay together. response:	Let's promise.
context: I saw her now. See over there?\Since she floated from that way...\I love you very much, Chiyomi.\Me, too. I love you very much, Minami-kun.\Then, shall we stay together forever?\Eh?\Yup. Let's stay together.\Let's promise. response:	Let's make a pinky promise. If you lie, I will make you swallow a thousand needles.
context: Since she floated from that way...\I love you very much, Chiyomi.\Me, too. I love you very much, Minami-kun.\Then, shall we stay together forever?\Eh?\Yup. Let's stay together.\Let's promise.\Let's make a pinky promise. If you lie, I will make you swallow a thousand needles. response:	Pinky swear!
context: I love you very much, Chiyomi.\Me, too. I love you very much, Minami-kun.\Then, shall we stay together forever?\Eh?\Yup. Let's stay together.\Let's promise.\Let's make a pinky promise. If you lie, I will make you swallow a thousand needles.\Pinky swear! response:	Minami-kun, look.
context: Me, too. I love you very much, Minami-kun.\Then, shall we stay together forever?\Eh?\Yup. Let's stay together.\Let's promise.\Let's make a pinky promise. If you lie, I will make you swallow a thousand needles.\Pinky swear!\Minami-kun, look. response:	Wow, cool.
context: Then, shall we stay together forever?\Eh?\Yup. Let's stay together.\Let's promise.\Let's make a pinky promise. If you lie, I will make you swallow a thousand needles.\Pinky swear!\Minami-kun, look.\Wow, cool. response:	I was asleep.
context: Eh?\Yup. Let's stay together.\Let's promise.\Let's make a pinky promise. If you lie, I will make you swallow a thousand needles.\Pinky swear!\Minami-kun, look.\Wow, cool.\I was asleep. response:	It's morning.
context: Yup. Let's stay together.\Let's promise.\Let's make a pinky promise. If you lie, I will make you swallow a thousand needles.\Pinky swear!\Minami-kun, look.\Wow, cool.\I was asleep.\It's morning. response:	Why did I have that dream now?
context: Let's promise.\Let's make a pinky promise. If you lie, I will make you swallow a thousand needles.\Pinky swear!\Minami-kun, look.\Wow, cool.\I was asleep.\It's morning.\Why did I have that dream now? response:	Okay, I'll work on it a little bit more.
context: Let's make a pinky promise. If you lie, I will make you swallow a thousand needles.\Pinky swear!\Minami-kun, look.\Wow, cool.\I was asleep.\It's morning.\Why did I have that dream now?\Okay, I'll work on it a little bit more. response:	Memories from your childhood are not reliable.
context: Pinky swear!\Minami-kun, look.\Wow, cool.\I was asleep.\It's morning.\Why did I have that dream now?\Okay, I'll work on it a little bit more.\Memories from your childhood are not reliable. response:	The real memories and fantasies are all mixed in.
context: Minami-kun, look.\Wow, cool.\I was asleep.\It's morning.\Why did I have that dream now?\Okay, I'll work on it a little bit more.\Memories from your childhood are not reliable.\The real memories and fantasies are all mixed in. response:	And, I don't know what was true and what was not.
context: Wow, cool.\I was asleep.\It's morning.\Why did I have that dream now?\Okay, I'll work on it a little bit more.\Memories from your childhood are not reliable.\The real memories and fantasies are all mixed in.\And, I don't know what was true and what was not. response:	Did one-inch-princess really exist?
context: I was asleep.\It's morning.\Why did I have that dream now?\Okay, I'll work on it a little bit more.\Memories from your childhood are not reliable.\The real memories and fantasies are all mixed in.\And, I don't know what was true and what was not.\Did one-inch-princess really exist? response:	Was that beautiful rainbow an illusion?
context: It's morning.\Why did I have that dream now?\Okay, I'll work on it a little bit more.\Memories from your childhood are not reliable.\The real memories and fantasies are all mixed in.\And, I don't know what was true and what was not.\Did one-inch-princess really exist?\Was that beautiful rainbow an illusion? response:	And, how about the promise I made with Minami-kun?
context: Why did I have that dream now?\Okay, I'll work on it a little bit more.\Memories from your childhood are not reliable.\The real memories and fantasies are all mixed in.\And, I don't know what was true and what was not.\Did one-inch-princess really exist?\Was that beautiful rainbow an illusion?\And, how about the promise I made with Minami-kun? response:	My Little Lover - Minami Kun No Koibito
context: Okay, I'll work on it a little bit more.\Memories from your childhood are not reliable.\The real memories and fantasies are all mixed in.\And, I don't know what was true and what was not.\Did one-inch-princess really exist?\Was that beautiful rainbow an illusion?\And, how about the promise I made with Minami-kun?\My Little Lover - Minami Kun No Koibito response:	N I am not good at talking in similitudes N
context: Memories from your childhood are not reliable.\The real memories and fantasies are all mixed in.\And, I don't know what was true and what was not.\Did one-inch-princess really exist?\Was that beautiful rainbow an illusion?\And, how about the promise I made with Minami-kun?\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N response:	N But, I will tell you an amazing story N
context: The real memories and fantasies are all mixed in.\And, I don't know what was true and what was not.\Did one-inch-princess really exist?\Was that beautiful rainbow an illusion?\And, how about the promise I made with Minami-kun?\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N response:	N that will fit in a pocket N
context: And, I don't know what was true and what was not.\Did one-inch-princess really exist?\Was that beautiful rainbow an illusion?\And, how about the promise I made with Minami-kun?\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N response:	N God played a trick N
context: Did one-inch-princess really exist?\Was that beautiful rainbow an illusion?\And, how about the promise I made with Minami-kun?\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N response:	N And a dramatic time began N
context: Was that beautiful rainbow an illusion?\And, how about the promise I made with Minami-kun?\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N response:	N The shape of happiness you and I imagined N
context: And, how about the promise I made with Minami-kun?\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N response:	N doesn't have a name N
context: My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N response:	N But if it is a world I create with you, it's okay N
context: N I am not good at talking in similitudes N\N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N response:	N I will write words that won't be erased like a magic N
context: N But, I will tell you an amazing story N\N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N response:	N and turn the page N
context: N that will fit in a pocket N\N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N response:	N We can smile forever N
context: N God played a trick N\N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N response:	N To a place over the rainbow N
context: N And a dramatic time began N\N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N response:	N Let's imagine N
context: N The shape of happiness you and I imagined N\N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N response:	N a story with a happy ending N
context: N doesn't have a name N\N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N response:	Good morning.
context: N But if it is a world I create with you, it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning. response:	I will just have vegetable juice today.
context: N I will write words that won't be erased like a magic N\N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning.\I will just have vegetable juice today. response:	Right, the new school year starts today.
context: N and turn the page N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning.\I will just have vegetable juice today.\Right, the new school year starts today. response:	Lilac flowers are beautiful at this time of the year. Lilacs have meaning that...
context: N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning.\I will just have vegetable juice today.\Right, the new school year starts today.\Lilac flowers are beautiful at this time of the year. Lilacs have meaning that... response:	You went to bed late last night?
context: N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Good morning.\I will just have vegetable juice today.\Right, the new school year starts today.\Lilac flowers are beautiful at this time of the year. Lilacs have meaning that...\You went to bed late last night? response:	I'll bet you watched dance videos or something on your computer.
context: N Let's imagine N\N a story with a happy ending N\Good morning.\I will just have vegetable juice today.\Right, the new school year starts today.\Lilac flowers are beautiful at this time of the year. Lilacs have meaning that...\You went to bed late last night?\I'll bet you watched dance videos or something on your computer. response:	No, I didn't.
context: N a story with a happy ending N\Good morning.\I will just have vegetable juice today.\Right, the new school year starts today.\Lilac flowers are beautiful at this time of the year. Lilacs have meaning that...\You went to bed late last night?\I'll bet you watched dance videos or something on your computer.\No, I didn't. response:	Have you been studying?
context: Good morning.\I will just have vegetable juice today.\Right, the new school year starts today.\Lilac flowers are beautiful at this time of the year. Lilacs have meaning that...\You went to bed late last night?\I'll bet you watched dance videos or something on your computer.\No, I didn't.\Have you been studying? response:	Well, yeah, sort of.
context: I will just have vegetable juice today.\Right, the new school year starts today.\Lilac flowers are beautiful at this time of the year. Lilacs have meaning that...\You went to bed late last night?\I'll bet you watched dance videos or something on your computer.\No, I didn't.\Have you been studying?\Well, yeah, sort of. response:	You need to pull yourself together. You are a 12th grader now, having to take a college exam.
context: Right, the new school year starts today.\Lilac flowers are beautiful at this time of the year. Lilacs have meaning that...\You went to bed late last night?\I'll bet you watched dance videos or something on your computer.\No, I didn't.\Have you been studying?\Well, yeah, sort of.\You need to pull yourself together. You are a 12th grader now, having to take a college exam. response:	Okay, okay.
context: Lilac flowers are beautiful at this time of the year. Lilacs have meaning that...\You went to bed late last night?\I'll bet you watched dance videos or something on your computer.\No, I didn't.\Have you been studying?\Well, yeah, sort of.\You need to pull yourself together. You are a 12th grader now, having to take a college exam.\Okay, okay. response:	Asuka, you too. You are a 9th grader from today.
context: You went to bed late last night?\I'll bet you watched dance videos or something on your computer.\No, I didn't.\Have you been studying?\Well, yeah, sort of.\You need to pull yourself together. You are a 12th grader now, having to take a college exam.\Okay, okay.\Asuka, you too. You are a 9th grader from today. response:	My goodness. You have to be aware that you are lazy, taking after your father.
context: I'll bet you watched dance videos or something on your computer.\No, I didn't.\Have you been studying?\Well, yeah, sort of.\You need to pull yourself together. You are a 12th grader now, having to take a college exam.\Okay, okay.\Asuka, you too. You are a 9th grader from today.\My goodness. You have to be aware that you are lazy, taking after your father. response:	Okay, I know. Thank you for the meal.
context: No, I didn't.\Have you been studying?\Well, yeah, sort of.\You need to pull yourself together. You are a 12th grader now, having to take a college exam.\Okay, okay.\Asuka, you too. You are a 9th grader from today.\My goodness. You have to be aware that you are lazy, taking after your father.\Okay, I know. Thank you for the meal. response:	Hey, Honey. You have to tell them, too.
context: Have you been studying?\Well, yeah, sort of.\You need to pull yourself together. You are a 12th grader now, having to take a college exam.\Okay, okay.\Asuka, you too. You are a 9th grader from today.\My goodness. You have to be aware that you are lazy, taking after your father.\Okay, I know. Thank you for the meal.\Hey, Honey. You have to tell them, too. response:	I am LAZY, you know.
context: Well, yeah, sort of.\You need to pull yourself together. You are a 12th grader now, having to take a college exam.\Okay, okay.\Asuka, you too. You are a 9th grader from today.\My goodness. You have to be aware that you are lazy, taking after your father.\Okay, I know. Thank you for the meal.\Hey, Honey. You have to tell them, too.\I am LAZY, you know. response:	Chiyomi-chan, would you give this to Shunichi?
context: You need to pull yourself together. You are a 12th grader now, having to take a college exam.\Okay, okay.\Asuka, you too. You are a 9th grader from today.\My goodness. You have to be aware that you are lazy, taking after your father.\Okay, I know. Thank you for the meal.\Hey, Honey. You have to tell them, too.\I am LAZY, you know.\Chiyomi-chan, would you give this to Shunichi? response:	He left this bento lunch.
context: Okay, okay.\Asuka, you too. You are a 9th grader from today.\My goodness. You have to be aware that you are lazy, taking after your father.\Okay, I know. Thank you for the meal.\Hey, Honey. You have to tell them, too.\I am LAZY, you know.\Chiyomi-chan, would you give this to Shunichi?\He left this bento lunch. response:	Sorry. Here.
context: Asuka, you too. You are a 9th grader from today.\My goodness. You have to be aware that you are lazy, taking after your father.\Okay, I know. Thank you for the meal.\Hey, Honey. You have to tell them, too.\I am LAZY, you know.\Chiyomi-chan, would you give this to Shunichi?\He left this bento lunch.\Sorry. Here. response:	Oh, okay.
context: My goodness. You have to be aware that you are lazy, taking after your father.\Okay, I know. Thank you for the meal.\Hey, Honey. You have to tell them, too.\I am LAZY, you know.\Chiyomi-chan, would you give this to Shunichi?\He left this bento lunch.\Sorry. Here.\Oh, okay. response:	Ah, bento...
context: Okay, I know. Thank you for the meal.\Hey, Honey. You have to tell them, too.\I am LAZY, you know.\Chiyomi-chan, would you give this to Shunichi?\He left this bento lunch.\Sorry. Here.\Oh, okay.\Ah, bento... response:	I am sorry.
context: Hey, Honey. You have to tell them, too.\I am LAZY, you know.\Chiyomi-chan, would you give this to Shunichi?\He left this bento lunch.\Sorry. Here.\Oh, okay.\Ah, bento...\I am sorry. response:	This is from your mom.
context: I am LAZY, you know.\Chiyomi-chan, would you give this to Shunichi?\He left this bento lunch.\Sorry. Here.\Oh, okay.\Ah, bento...\I am sorry.\This is from your mom. response:	Well, I...
context: Chiyomi-chan, would you give this to Shunichi?\He left this bento lunch.\Sorry. Here.\Oh, okay.\Ah, bento...\I am sorry.\This is from your mom.\Well, I... response:	What was that? Can't be happening.
context: He left this bento lunch.\Sorry. Here.\Oh, okay.\Ah, bento...\I am sorry.\This is from your mom.\Well, I...\What was that? Can't be happening. response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: Sorry. Here.\Oh, okay.\Ah, bento...\I am sorry.\This is from your mom.\Well, I...\What was that? Can't be happening.\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	Chiyomi? Hey, Chiyomi!
context: Oh, okay.\Ah, bento...\I am sorry.\This is from your mom.\Well, I...\What was that? Can't be happening.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi? Hey, Chiyomi! response:	Eh?
context: Ah, bento...\I am sorry.\This is from your mom.\Well, I...\What was that? Can't be happening.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi? Hey, Chiyomi!\Eh? response:	What?
context: I am sorry.\This is from your mom.\Well, I...\What was that? Can't be happening.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi? Hey, Chiyomi!\Eh?\What? response:	What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.)
context: This is from your mom.\Well, I...\What was that? Can't be happening.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi? Hey, Chiyomi!\Eh?\What?\What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.) response:	Ah, nothing's the matter.
context: Well, I...\What was that? Can't be happening.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi? Hey, Chiyomi!\Eh?\What?\What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.)\Ah, nothing's the matter. response:	- Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right?
context: What was that? Can't be happening.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi? Hey, Chiyomi!\Eh?\What?\What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.)\Ah, nothing's the matter.\- Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right? response:	I am glad I am with Riku. Please show me your homework again.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi? Hey, Chiyomi!\Eh?\What?\What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.)\Ah, nothing's the matter.\- Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right?\I am glad I am with Riku. Please show me your homework again. response:	Please.
context: Chiyomi? Hey, Chiyomi!\Eh?\What?\What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.)\Ah, nothing's the matter.\- Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right?\I am glad I am with Riku. Please show me your homework again.\Please. response:	So, you value me only for that reason?
context: Eh?\What?\What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.)\Ah, nothing's the matter.\- Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right?\I am glad I am with Riku. Please show me your homework again.\Please.\So, you value me only for that reason? response:	- It's not that. - It's not that.
context: What?\What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.)\Ah, nothing's the matter.\- Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right?\I am glad I am with Riku. Please show me your homework again.\Please.\So, you value me only for that reason?\- It's not that. - It's not that. response:	That didn't sound sincere.
context: What's the matter, Horikiri-shi? (-shi is a formal/honorific ending for names.)\Ah, nothing's the matter.\- Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right?\I am glad I am with Riku. Please show me your homework again.\Please.\So, you value me only for that reason?\- It's not that. - It's not that.\That didn't sound sincere. response:	Nomura-san is also in this class.
context: Ah, nothing's the matter.\- Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right?\I am glad I am with Riku. Please show me your homework again.\Please.\So, you value me only for that reason?\- It's not that. - It's not that.\That didn't sound sincere.\Nomura-san is also in this class. response:	Eh?
context: - Well, I am so glad we are in the same class, Ami. - We are taking the same subjects, right?\I am glad I am with Riku. Please show me your homework again.\Please.\So, you value me only for that reason?\- It's not that. - It's not that.\That didn't sound sincere.\Nomura-san is also in this class.\Eh? response:	- Pheromone? - Pheromone?
context: I am glad I am with Riku. Please show me your homework again.\Please.\So, you value me only for that reason?\- It's not that. - It's not that.\That didn't sound sincere.\Nomura-san is also in this class.\Eh?\- Pheromone? - Pheromone? response:	Ah, Nomura-san.
context: Please.\So, you value me only for that reason?\- It's not that. - It's not that.\That didn't sound sincere.\Nomura-san is also in this class.\Eh?\- Pheromone? - Pheromone?\Ah, Nomura-san. response:	I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone.
context: So, you value me only for that reason?\- It's not that. - It's not that.\That didn't sound sincere.\Nomura-san is also in this class.\Eh?\- Pheromone? - Pheromone?\Ah, Nomura-san.\I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone. response:	Hey, look.
context: - It's not that. - It's not that.\That didn't sound sincere.\Nomura-san is also in this class.\Eh?\- Pheromone? - Pheromone?\Ah, Nomura-san.\I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone.\Hey, look. response:	Wow, she is so cute!
context: That didn't sound sincere.\Nomura-san is also in this class.\Eh?\- Pheromone? - Pheromone?\Ah, Nomura-san.\I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone.\Hey, look.\Wow, she is so cute! response:	Far out!
context: Nomura-san is also in this class.\Eh?\- Pheromone? - Pheromone?\Ah, Nomura-san.\I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone.\Hey, look.\Wow, she is so cute!\Far out! response:	We are in the same class as Pheromone. We are super lucky.
context: Eh?\- Pheromone? - Pheromone?\Ah, Nomura-san.\I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone.\Hey, look.\Wow, she is so cute!\Far out!\We are in the same class as Pheromone. We are super lucky. response:	Yeah, I wanna date her. I feel like melting.
context: - Pheromone? - Pheromone?\Ah, Nomura-san.\I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone.\Hey, look.\Wow, she is so cute!\Far out!\We are in the same class as Pheromone. We are super lucky.\Yeah, I wanna date her. I feel like melting. response:	I am different.
context: Ah, Nomura-san.\I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone.\Hey, look.\Wow, she is so cute!\Far out!\We are in the same class as Pheromone. We are super lucky.\Yeah, I wanna date her. I feel like melting.\I am different. response:	Minami-kun.
context: I don't like seeing boys' eyes becoming heart-shaped, looking at Pheromone.\Hey, look.\Wow, she is so cute!\Far out!\We are in the same class as Pheromone. We are super lucky.\Yeah, I wanna date her. I feel like melting.\I am different.\Minami-kun. response:	Minami-kun.
