context: The girl I fell in love with at first sight, Rebecca, response:	has successfully become Pastillage's Hero!
context: The Pastillage army's morale went up.\Couverte-sama seems to be quite popular, too.\Rebecca!\Cou-sama!\Looks like my eyes didn't deceive me.\Your flying is great!\I've fallen for you once again.\Thanks! response:	This is kind of made like a video game, so it's pretty easy to use.
context: Couverte-sama seems to be quite popular, too.\Rebecca!\Cou-sama!\Looks like my eyes didn't deceive me.\Your flying is great!\I've fallen for you once again.\Thanks!\This is kind of made like a video game, so it's pretty easy to use. response:	I think I can handle this.
context: Rebecca!\Cou-sama!\Looks like my eyes didn't deceive me.\Your flying is great!\I've fallen for you once again.\Thanks!\This is kind of made like a video game, so it's pretty easy to use.\I think I can handle this. response:	Next, you've got to attack.
context: Cou-sama!\Looks like my eyes didn't deceive me.\Your flying is great!\I've fallen for you once again.\Thanks!\This is kind of made like a video game, so it's pretty easy to use.\I think I can handle this.\Next, you've got to attack. response:	Just do it like I showed you before.
context: Looks like my eyes didn't deceive me.\Your flying is great!\I've fallen for you once again.\Thanks!\This is kind of made like a video game, so it's pretty easy to use.\I think I can handle this.\Next, you've got to attack.\Just do it like I showed you before. response:	Okay, Cou-sama!
context: Your flying is great!\I've fallen for you once again.\Thanks!\This is kind of made like a video game, so it's pretty easy to use.\I think I can handle this.\Next, you've got to attack.\Just do it like I showed you before.\Okay, Cou-sama! response:	Here I go!
context: I've fallen for you once again.\Thanks!\This is kind of made like a video game, so it's pretty easy to use.\I think I can handle this.\Next, you've got to attack.\Just do it like I showed you before.\Okay, Cou-sama!\Here I go! response:	What's that? It's coming this way!
context: Thanks!\This is kind of made like a video game, so it's pretty easy to use.\I think I can handle this.\Next, you've got to attack.\Just do it like I showed you before.\Okay, Cou-sama!\Here I go!\What's that? It's coming this way! response:	Really?
context: This is kind of made like a video game, so it's pretty easy to use.\I think I can handle this.\Next, you've got to attack.\Just do it like I showed you before.\Okay, Cou-sama!\Here I go!\What's that? It's coming this way!\Really? response:	Here's my palette card set.
context: I think I can handle this.\Next, you've got to attack.\Just do it like I showed you before.\Okay, Cou-sama!\Here I go!\What's that? It's coming this way!\Really?\Here's my palette card set. response:	Fire!
context: Next, you've got to attack.\Just do it like I showed you before.\Okay, Cou-sama!\Here I go!\What's that? It's coming this way!\Really?\Here's my palette card set.\Fire! response:	She can freely control those shots of light!
context: Just do it like I showed you before.\Okay, Cou-sama!\Here I go!\What's that? It's coming this way!\Really?\Here's my palette card set.\Fire!\She can freely control those shots of light! response:	These are not emblem cannons!
context: Okay, Cou-sama!\Here I go!\What's that? It's coming this way!\Really?\Here's my palette card set.\Fire!\She can freely control those shots of light!\These are not emblem cannons! response:	Their trajectories cannot be predicted!
context: Here I go!\What's that? It's coming this way!\Really?\Here's my palette card set.\Fire!\She can freely control those shots of light!\These are not emblem cannons!\Their trajectories cannot be predicted! response:	What a show!
context: What's that? It's coming this way!\Really?\Here's my palette card set.\Fire!\She can freely control those shots of light!\These are not emblem cannons!\Their trajectories cannot be predicted!\What a show! response:	Looks like fireworks.
context: Really?\Here's my palette card set.\Fire!\She can freely control those shots of light!\These are not emblem cannons!\Their trajectories cannot be predicted!\What a show!\Looks like fireworks. response:	Yeah.
context: Here's my palette card set.\Fire!\She can freely control those shots of light!\These are not emblem cannons!\Their trajectories cannot be predicted!\What a show!\Looks like fireworks.\Yeah. response:	That's Pastillage's Crystal Magic Shot!
context: Fire!\She can freely control those shots of light!\These are not emblem cannons!\Their trajectories cannot be predicted!\What a show!\Looks like fireworks.\Yeah.\That's Pastillage's Crystal Magic Shot! response:	Rebecca is a mage-type Hero, after all.
context: She can freely control those shots of light!\These are not emblem cannons!\Their trajectories cannot be predicted!\What a show!\Looks like fireworks.\Yeah.\That's Pastillage's Crystal Magic Shot!\Rebecca is a mage-type Hero, after all. response:	Rebecca-sama's got the skies under control.
context: These are not emblem cannons!\Their trajectories cannot be predicted!\What a show!\Looks like fireworks.\Yeah.\That's Pastillage's Crystal Magic Shot!\Rebecca is a mage-type Hero, after all.\Rebecca-sama's got the skies under control. response:	All right, we're going to join the attack!
context: Their trajectories cannot be predicted!\What a show!\Looks like fireworks.\Yeah.\That's Pastillage's Crystal Magic Shot!\Rebecca is a mage-type Hero, after all.\Rebecca-sama's got the skies under control.\All right, we're going to join the attack! response:	Yes!
context: What a show!\Looks like fireworks.\Yeah.\That's Pastillage's Crystal Magic Shot!\Rebecca is a mage-type Hero, after all.\Rebecca-sama's got the skies under control.\All right, we're going to join the attack!\Yes! response:	Our target: their main force!
context: Looks like fireworks.\Yeah.\That's Pastillage's Crystal Magic Shot!\Rebecca is a mage-type Hero, after all.\Rebecca-sama's got the skies under control.\All right, we're going to join the attack!\Yes!\Our target: their main force! response:	All units, halt!
context: Yeah.\That's Pastillage's Crystal Magic Shot!\Rebecca is a mage-type Hero, after all.\Rebecca-sama's got the skies under control.\All right, we're going to join the attack!\Yes!\Our target: their main force!\All units, halt! response:	Mobile artillery unit, arm your weapons!
context: That's Pastillage's Crystal Magic Shot!\Rebecca is a mage-type Hero, after all.\Rebecca-sama's got the skies under control.\All right, we're going to join the attack!\Yes!\Our target: their main force!\All units, halt!\Mobile artillery unit, arm your weapons! response:	I won't let you go any further!
context: Rebecca is a mage-type Hero, after all.\Rebecca-sama's got the skies under control.\All right, we're going to join the attack!\Yes!\Our target: their main force!\All units, halt!\Mobile artillery unit, arm your weapons!\I won't let you go any further! response:	All units... fire!
context: Rebecca-sama's got the skies under control.\All right, we're going to join the attack!\Yes!\Our target: their main force!\All units, halt!\Mobile artillery unit, arm your weapons!\I won't let you go any further!\All units... fire! response:	Rebecca, our allies need help!
context: All right, we're going to join the attack!\Yes!\Our target: their main force!\All units, halt!\Mobile artillery unit, arm your weapons!\I won't let you go any further!\All units... fire!\Rebecca, our allies need help! response:	Okay.
context: Yes!\Our target: their main force!\All units, halt!\Mobile artillery unit, arm your weapons!\I won't let you go any further!\All units... fire!\Rebecca, our allies need help!\Okay. response:	We're taking down Rico's anti-air unit!
context: Our target: their main force!\All units, halt!\Mobile artillery unit, arm your weapons!\I won't let you go any further!\All units... fire!\Rebecca, our allies need help!\Okay.\We're taking down Rico's anti-air unit! response:	I'll help you!
context: All units, halt!\Mobile artillery unit, arm your weapons!\I won't let you go any further!\All units... fire!\Rebecca, our allies need help!\Okay.\We're taking down Rico's anti-air unit!\I'll help you! response:	Roger!
context: Mobile artillery unit, arm your weapons!\I won't let you go any further!\All units... fire!\Rebecca, our allies need help!\Okay.\We're taking down Rico's anti-air unit!\I'll help you!\Roger! response:	Looks like Hero Rebecca and Lady Couverte
context: I won't let you go any further!\All units... fire!\Rebecca, our allies need help!\Okay.\We're taking down Rico's anti-air unit!\I'll help you!\Roger!\Looks like Hero Rebecca and Lady Couverte response:	are charging in together!
context: All units... fire!\Rebecca, our allies need help!\Okay.\We're taking down Rico's anti-air unit!\I'll help you!\Roger!\Looks like Hero Rebecca and Lady Couverte\are charging in together! response:	Everyone, intercept them!
context: Rebecca, our allies need help!\Okay.\We're taking down Rico's anti-air unit!\I'll help you!\Roger!\Looks like Hero Rebecca and Lady Couverte\are charging in together!\Everyone, intercept them! response:	Roger!
context: Okay.\We're taking down Rico's anti-air unit!\I'll help you!\Roger!\Looks like Hero Rebecca and Lady Couverte\are charging in together!\Everyone, intercept them!\Roger! response:	Hero Rebecca is dodging every single shot in that bullet hell!
context: We're taking down Rico's anti-air unit!\I'll help you!\Roger!\Looks like Hero Rebecca and Lady Couverte\are charging in together!\Everyone, intercept them!\Roger!\Hero Rebecca is dodging every single shot in that bullet hell! response:	Wow, you're doing great, Rebecca.
context: I'll help you!\Roger!\Looks like Hero Rebecca and Lady Couverte\are charging in together!\Everyone, intercept them!\Roger!\Hero Rebecca is dodging every single shot in that bullet hell!\Wow, you're doing great, Rebecca. response:	I guess my experience with 3D shooters is helping.
context: Roger!\Looks like Hero Rebecca and Lady Couverte\are charging in together!\Everyone, intercept them!\Roger!\Hero Rebecca is dodging every single shot in that bullet hell!\Wow, you're doing great, Rebecca.\I guess my experience with 3D shooters is helping. response:	Please miss!
context: Looks like Hero Rebecca and Lady Couverte\are charging in together!\Everyone, intercept them!\Roger!\Hero Rebecca is dodging every single shot in that bullet hell!\Wow, you're doing great, Rebecca.\I guess my experience with 3D shooters is helping.\Please miss! response:	Take that, Rico!
context: are charging in together!\Everyone, intercept them!\Roger!\Hero Rebecca is dodging every single shot in that bullet hell!\Wow, you're doing great, Rebecca.\I guess my experience with 3D shooters is helping.\Please miss!\Take that, Rico! response:	Garnet Spark!
context: Everyone, intercept them!\Roger!\Hero Rebecca is dodging every single shot in that bullet hell!\Wow, you're doing great, Rebecca.\I guess my experience with 3D shooters is helping.\Please miss!\Take that, Rico!\Garnet Spark! response:	She got us!
context: Roger!\Hero Rebecca is dodging every single shot in that bullet hell!\Wow, you're doing great, Rebecca.\I guess my experience with 3D shooters is helping.\Please miss!\Take that, Rico!\Garnet Spark!\She got us! response:	You're finished!
context: Hero Rebecca is dodging every single shot in that bullet hell!\Wow, you're doing great, Rebecca.\I guess my experience with 3D shooters is helping.\Please miss!\Take that, Rico!\Garnet Spark!\She got us!\You're finished! response:	Excellent disrobing, Rico!
context: Wow, you're doing great, Rebecca.\I guess my experience with 3D shooters is helping.\Please miss!\Take that, Rico!\Garnet Spark!\She got us!\You're finished!\Excellent disrobing, Rico! response:	Cou-sama, how could you?!
context: I guess my experience with 3D shooters is helping.\Please miss!\Take that, Rico!\Garnet Spark!\She got us!\You're finished!\Excellent disrobing, Rico!\Cou-sama, how could you?! response:	All right, Rebecca.
context: Please miss!\Take that, Rico!\Garnet Spark!\She got us!\You're finished!\Excellent disrobing, Rico!\Cou-sama, how could you?!\All right, Rebecca. response:	Let's split up again and attack their main force!
context: Take that, Rico!\Garnet Spark!\She got us!\You're finished!\Excellent disrobing, Rico!\Cou-sama, how could you?!\All right, Rebecca.\Let's split up again and attack their main force! response:	Got it!
context: Garnet Spark!\She got us!\You're finished!\Excellent disrobing, Rico!\Cou-sama, how could you?!\All right, Rebecca.\Let's split up again and attack their main force!\Got it! response:	I'm going to Galette, you go to Biscotti.
context: She got us!\You're finished!\Excellent disrobing, Rico!\Cou-sama, how could you?!\All right, Rebecca.\Let's split up again and attack their main force!\Got it!\I'm going to Galette, you go to Biscotti. response:	What?
context: You're finished!\Excellent disrobing, Rico!\Cou-sama, how could you?!\All right, Rebecca.\Let's split up again and attack their main force!\Got it!\I'm going to Galette, you go to Biscotti.\What? response:	Go, Rebecca!
context: Excellent disrobing, Rico!\Cou-sama, how could you?!\All right, Rebecca.\Let's split up again and attack their main force!\Got it!\I'm going to Galette, you go to Biscotti.\What?\Go, Rebecca! response:	It looks like Hero Rebecca and Couverte-sama have split up again.
context: Cou-sama, how could you?!\All right, Rebecca.\Let's split up again and attack their main force!\Got it!\I'm going to Galette, you go to Biscotti.\What?\Go, Rebecca!\It looks like Hero Rebecca and Couverte-sama have split up again. response:	Is Couverte-sama attacking the main Galette force?
context: All right, Rebecca.\Let's split up again and attack their main force!\Got it!\I'm going to Galette, you go to Biscotti.\What?\Go, Rebecca!\It looks like Hero Rebecca and Couverte-sama have split up again.\Is Couverte-sama attacking the main Galette force? response:	Couverte's attacking by herself, huh?
context: Let's split up again and attack their main force!\Got it!\I'm going to Galette, you go to Biscotti.\What?\Go, Rebecca!\It looks like Hero Rebecca and Couverte-sama have split up again.\Is Couverte-sama attacking the main Galette force?\Couverte's attacking by herself, huh? response:	Go back, d'Arquien!
context: Got it!\I'm going to Galette, you go to Biscotti.\What?\Go, Rebecca!\It looks like Hero Rebecca and Couverte-sama have split up again.\Is Couverte-sama attacking the main Galette force?\Couverte's attacking by herself, huh?\Go back, d'Arquien! response:	I will go head her off by the main force!
context: I'm going to Galette, you go to Biscotti.\What?\Go, Rebecca!\It looks like Hero Rebecca and Couverte-sama have split up again.\Is Couverte-sama attacking the main Galette force?\Couverte's attacking by herself, huh?\Go back, d'Arquien!\I will go head her off by the main force! response:	As you wish.
context: What?\Go, Rebecca!\It looks like Hero Rebecca and Couverte-sama have split up again.\Is Couverte-sama attacking the main Galette force?\Couverte's attacking by herself, huh?\Go back, d'Arquien!\I will go head her off by the main force!\As you wish. response:	On the one hand, we've got the
context: Go, Rebecca!\It looks like Hero Rebecca and Couverte-sama have split up again.\Is Couverte-sama attacking the main Galette force?\Couverte's attacking by herself, huh?\Go back, d'Arquien!\I will go head her off by the main force!\As you wish.\On the one hand, we've got the response:	Hero Rebecca flying off to attack Biscotti!
context: It looks like Hero Rebecca and Couverte-sama have split up again.\Is Couverte-sama attacking the main Galette force?\Couverte's attacking by herself, huh?\Go back, d'Arquien!\I will go head her off by the main force!\As you wish.\On the one hand, we've got the\Hero Rebecca flying off to attack Biscotti! response:	Our Princess readies herself on the rooftop to counter the attack!
context: Is Couverte-sama attacking the main Galette force?\Couverte's attacking by herself, huh?\Go back, d'Arquien!\I will go head her off by the main force!\As you wish.\On the one hand, we've got the\Hero Rebecca flying off to attack Biscotti!\Our Princess readies herself on the rooftop to counter the attack! response:	In her hand is the Holy Sword Excelide!
context: Couverte's attacking by herself, huh?\Go back, d'Arquien!\I will go head her off by the main force!\As you wish.\On the one hand, we've got the\Hero Rebecca flying off to attack Biscotti!\Our Princess readies herself on the rooftop to counter the attack!\In her hand is the Holy Sword Excelide! response:	Before that...
context: Go back, d'Arquien!\I will go head her off by the main force!\As you wish.\On the one hand, we've got the\Hero Rebecca flying off to attack Biscotti!\Our Princess readies herself on the rooftop to counter the attack!\In her hand is the Holy Sword Excelide!\Before that... response:	You'll have to fight us, Becky!
context: I will go head her off by the main force!\As you wish.\On the one hand, we've got the\Hero Rebecca flying off to attack Biscotti!\Our Princess readies herself on the rooftop to counter the attack!\In her hand is the Holy Sword Excelide!\Before that...\You'll have to fight us, Becky! response:	Rebecca-sama, watch out!
context: As you wish.\On the one hand, we've got the\Hero Rebecca flying off to attack Biscotti!\Our Princess readies herself on the rooftop to counter the attack!\In her hand is the Holy Sword Excelide!\Before that...\You'll have to fight us, Becky!\Rebecca-sama, watch out! response:	Infernal...
context: On the one hand, we've got the\Hero Rebecca flying off to attack Biscotti!\Our Princess readies herself on the rooftop to counter the attack!\In her hand is the Holy Sword Excelide!\Before that...\You'll have to fight us, Becky!\Rebecca-sama, watch out!\Infernal... response:	Neptune...
context: Hero Rebecca flying off to attack Biscotti!\Our Princess readies herself on the rooftop to counter the attack!\In her hand is the Holy Sword Excelide!\Before that...\You'll have to fight us, Becky!\Rebecca-sama, watch out!\Infernal...\Neptune... response:	Twin God Fist!
context: Our Princess readies herself on the rooftop to counter the attack!\In her hand is the Holy Sword Excelide!\Before that...\You'll have to fight us, Becky!\Rebecca-sama, watch out!\Infernal...\Neptune...\Twin God Fist! response:	She dodged it?
context: In her hand is the Holy Sword Excelide!\Before that...\You'll have to fight us, Becky!\Rebecca-sama, watch out!\Infernal...\Neptune...\Twin God Fist!\She dodged it? response:	Explosion shot!
context: Before that...\You'll have to fight us, Becky!\Rebecca-sama, watch out!\Infernal...\Neptune...\Twin God Fist!\She dodged it?\Explosion shot! response:	I did it!
context: You'll have to fight us, Becky!\Rebecca-sama, watch out!\Infernal...\Neptune...\Twin God Fist!\She dodged it?\Explosion shot!\I did it! response:	That was amazing!
context: Rebecca-sama, watch out!\Infernal...\Neptune...\Twin God Fist!\She dodged it?\Explosion shot!\I did it!\That was amazing! response:	It looks like Hero Becky destroyed Hero Sink
context: Infernal...\Neptune...\Twin God Fist!\She dodged it?\Explosion shot!\I did it!\That was amazing!\It looks like Hero Becky destroyed Hero Sink response:	and Hero Nanami in one hit!
context: Neptune...\Twin God Fist!\She dodged it?\Explosion shot!\I did it!\That was amazing!\It looks like Hero Becky destroyed Hero Sink\and Hero Nanami in one hit! response:	That was a shock...
context: Twin God Fist!\She dodged it?\Explosion shot!\I did it!\That was amazing!\It looks like Hero Becky destroyed Hero Sink\and Hero Nanami in one hit!\That was a shock... response:	Becky's incredible.
context: She dodged it?\Explosion shot!\I did it!\That was amazing!\It looks like Hero Becky destroyed Hero Sink\and Hero Nanami in one hit!\That was a shock...\Becky's incredible. response:	This is actually really embarrassing.
context: Explosion shot!\I did it!\That was amazing!\It looks like Hero Becky destroyed Hero Sink\and Hero Nanami in one hit!\That was a shock...\Becky's incredible.\This is actually really embarrassing. response:	Hero Nanami's equipment has been completely destroyed!
context: I did it!\That was amazing!\It looks like Hero Becky destroyed Hero Sink\and Hero Nanami in one hit!\That was a shock...\Becky's incredible.\This is actually really embarrassing.\Hero Nanami's equipment has been completely destroyed! response:	Your Majesty, I hope you're ready!
context: That was amazing!\It looks like Hero Becky destroyed Hero Sink\and Hero Nanami in one hit!\That was a shock...\Becky's incredible.\This is actually really embarrassing.\Hero Nanami's equipment has been completely destroyed!\Your Majesty, I hope you're ready! response:	You won't get me.
context: It looks like Hero Becky destroyed Hero Sink\and Hero Nanami in one hit!\That was a shock...\Becky's incredible.\This is actually really embarrassing.\Hero Nanami's equipment has been completely destroyed!\Your Majesty, I hope you're ready!\You won't get me. response:	They hit each other!
context: and Hero Nanami in one hit!\That was a shock...\Becky's incredible.\This is actually really embarrassing.\Hero Nanami's equipment has been completely destroyed!\Your Majesty, I hope you're ready!\You won't get me.\They hit each other! response:	Both Hero Rebecca and
context: That was a shock...\Becky's incredible.\This is actually really embarrassing.\Hero Nanami's equipment has been completely destroyed!\Your Majesty, I hope you're ready!\You won't get me.\They hit each other!\Both Hero Rebecca and response:	the Princess Millihiore's armor are destroyed!
context: Becky's incredible.\This is actually really embarrassing.\Hero Nanami's equipment has been completely destroyed!\Your Majesty, I hope you're ready!\You won't get me.\They hit each other!\Both Hero Rebecca and\the Princess Millihiore's armor are destroyed! response:	I'm sorry, Princess!
context: This is actually really embarrassing.\Hero Nanami's equipment has been completely destroyed!\Your Majesty, I hope you're ready!\You won't get me.\They hit each other!\Both Hero Rebecca and\the Princess Millihiore's armor are destroyed!\I'm sorry, Princess! response:	I'm going to retreat for now.
context: Hero Nanami's equipment has been completely destroyed!\Your Majesty, I hope you're ready!\You won't get me.\They hit each other!\Both Hero Rebecca and\the Princess Millihiore's armor are destroyed!\I'm sorry, Princess!\I'm going to retreat for now. response:	Of course! I hope I'll see you later.
context: Your Majesty, I hope you're ready!\You won't get me.\They hit each other!\Both Hero Rebecca and\the Princess Millihiore's armor are destroyed!\I'm sorry, Princess!\I'm going to retreat for now.\Of course! I hope I'll see you later. response:	Yes, Your Highness!
context: You won't get me.\They hit each other!\Both Hero Rebecca and\the Princess Millihiore's armor are destroyed!\I'm sorry, Princess!\I'm going to retreat for now.\Of course! I hope I'll see you later.\Yes, Your Highness! response:	They are friends!
context: They hit each other!\Both Hero Rebecca and\the Princess Millihiore's armor are destroyed!\I'm sorry, Princess!\I'm going to retreat for now.\Of course! I hope I'll see you later.\Yes, Your Highness!\They are friends! response:	Even in the heat of battle, they remain friends!
context: Both Hero Rebecca and\the Princess Millihiore's armor are destroyed!\I'm sorry, Princess!\I'm going to retreat for now.\Of course! I hope I'll see you later.\Yes, Your Highness!\They are friends!\Even in the heat of battle, they remain friends! response:	It makes one smile.
context: the Princess Millihiore's armor are destroyed!\I'm sorry, Princess!\I'm going to retreat for now.\Of course! I hope I'll see you later.\Yes, Your Highness!\They are friends!\Even in the heat of battle, they remain friends!\It makes one smile. response:	How is Galette doing?
context: I'm sorry, Princess!\I'm going to retreat for now.\Of course! I hope I'll see you later.\Yes, Your Highness!\They are friends!\Even in the heat of battle, they remain friends!\It makes one smile.\How is Galette doing? response:	Leo-nee, come out.
