context: It's been a long time, kid. response:	I'm taking Hana back.
context: will face a future where only they survive, locked in this iron box.\They'll sleep for thousands,\tens of thousands of years, perhaps forever, inside a spaceship.\That isn't life.\The way I felt in that cold spaceship, just watching time pass...\I don't want anyone else to experience that.\It's miserable.\I'm sure they all want to run around, full of life, on that blue planet below! response:	I'm sure the captain will make that happen.
context: They'll sleep for thousands,\tens of thousands of years, perhaps forever, inside a spaceship.\That isn't life.\The way I felt in that cold spaceship, just watching time pass...\I don't want anyone else to experience that.\It's miserable.\I'm sure they all want to run around, full of life, on that blue planet below!\I'm sure the captain will make that happen. response:	I cannot imagine that kid is prepared for that.
context: tens of thousands of years, perhaps forever, inside a spaceship.\That isn't life.\The way I felt in that cold spaceship, just watching time pass...\I don't want anyone else to experience that.\It's miserable.\I'm sure they all want to run around, full of life, on that blue planet below!\I'm sure the captain will make that happen.\I cannot imagine that kid is prepared for that. response:	Put down your gun.
context: That isn't life.\The way I felt in that cold spaceship, just watching time pass...\I don't want anyone else to experience that.\It's miserable.\I'm sure they all want to run around, full of life, on that blue planet below!\I'm sure the captain will make that happen.\I cannot imagine that kid is prepared for that.\Put down your gun. response:	Pull that trigger, and you'll blow up the whole Tenkaidou.
context: The way I felt in that cold spaceship, just watching time pass...\I don't want anyone else to experience that.\It's miserable.\I'm sure they all want to run around, full of life, on that blue planet below!\I'm sure the captain will make that happen.\I cannot imagine that kid is prepared for that.\Put down your gun.\Pull that trigger, and you'll blow up the whole Tenkaidou. response:	This is a detonator.
context: I don't want anyone else to experience that.\It's miserable.\I'm sure they all want to run around, full of life, on that blue planet below!\I'm sure the captain will make that happen.\I cannot imagine that kid is prepared for that.\Put down your gun.\Pull that trigger, and you'll blow up the whole Tenkaidou.\This is a detonator. response:	If my vital signs stop, it will activate.
context: It's miserable.\I'm sure they all want to run around, full of life, on that blue planet below!\I'm sure the captain will make that happen.\I cannot imagine that kid is prepared for that.\Put down your gun.\Pull that trigger, and you'll blow up the whole Tenkaidou.\This is a detonator.\If my vital signs stop, it will activate. response:	Don't forget that I hold hostage all the lives aboard the Tenkaidou.
context: I'm sure they all want to run around, full of life, on that blue planet below!\I'm sure the captain will make that happen.\I cannot imagine that kid is prepared for that.\Put down your gun.\Pull that trigger, and you'll blow up the whole Tenkaidou.\This is a detonator.\If my vital signs stop, it will activate.\Don't forget that I hold hostage all the lives aboard the Tenkaidou. response:	I can't imagine a member of the Ark Faction like you would destroy
context: I'm sure the captain will make that happen.\I cannot imagine that kid is prepared for that.\Put down your gun.\Pull that trigger, and you'll blow up the whole Tenkaidou.\This is a detonator.\If my vital signs stop, it will activate.\Don't forget that I hold hostage all the lives aboard the Tenkaidou.\I can't imagine a member of the Ark Faction like you would destroy response:	all the young men sleeping here.
context: I cannot imagine that kid is prepared for that.\Put down your gun.\Pull that trigger, and you'll blow up the whole Tenkaidou.\This is a detonator.\If my vital signs stop, it will activate.\Don't forget that I hold hostage all the lives aboard the Tenkaidou.\I can't imagine a member of the Ark Faction like you would destroy\all the young men sleeping here. response:	With humanity's future at stake, you really think we wouldn't have a spare on hand?
context: Put down your gun.\Pull that trigger, and you'll blow up the whole Tenkaidou.\This is a detonator.\If my vital signs stop, it will activate.\Don't forget that I hold hostage all the lives aboard the Tenkaidou.\I can't imagine a member of the Ark Faction like you would destroy\all the young men sleeping here.\With humanity's future at stake, you really think we wouldn't have a spare on hand? response:	We're prepared to make some sacrifices to save humanity from extinction.
context: Pull that trigger, and you'll blow up the whole Tenkaidou.\This is a detonator.\If my vital signs stop, it will activate.\Don't forget that I hold hostage all the lives aboard the Tenkaidou.\I can't imagine a member of the Ark Faction like you would destroy\all the young men sleeping here.\With humanity's future at stake, you really think we wouldn't have a spare on hand?\We're prepared to make some sacrifices to save humanity from extinction. response:	Don't underestimate us, kid!
context: This is a detonator.\If my vital signs stop, it will activate.\Don't forget that I hold hostage all the lives aboard the Tenkaidou.\I can't imagine a member of the Ark Faction like you would destroy\all the young men sleeping here.\With humanity's future at stake, you really think we wouldn't have a spare on hand?\We're prepared to make some sacrifices to save humanity from extinction.\Don't underestimate us, kid! response:	I've run a trace simulation on the enemy's actions
context: If my vital signs stop, it will activate.\Don't forget that I hold hostage all the lives aboard the Tenkaidou.\I can't imagine a member of the Ark Faction like you would destroy\all the young men sleeping here.\With humanity's future at stake, you really think we wouldn't have a spare on hand?\We're prepared to make some sacrifices to save humanity from extinction.\Don't underestimate us, kid!\I've run a trace simulation on the enemy's actions response:	to predict where the bombs are.
context: Don't forget that I hold hostage all the lives aboard the Tenkaidou.\I can't imagine a member of the Ark Faction like you would destroy\all the young men sleeping here.\With humanity's future at stake, you really think we wouldn't have a spare on hand?\We're prepared to make some sacrifices to save humanity from extinction.\Don't underestimate us, kid!\I've run a trace simulation on the enemy's actions\to predict where the bombs are. response:	But given that he's been moving about freely,
context: I can't imagine a member of the Ark Faction like you would destroy\all the young men sleeping here.\With humanity's future at stake, you really think we wouldn't have a spare on hand?\We're prepared to make some sacrifices to save humanity from extinction.\Don't underestimate us, kid!\I've run a trace simulation on the enemy's actions\to predict where the bombs are.\But given that he's been moving about freely, response:	we should assume he has inside help.
context: all the young men sleeping here.\With humanity's future at stake, you really think we wouldn't have a spare on hand?\We're prepared to make some sacrifices to save humanity from extinction.\Don't underestimate us, kid!\I've run a trace simulation on the enemy's actions\to predict where the bombs are.\But given that he's been moving about freely,\we should assume he has inside help. response:	There are other bombs, too.
context: With humanity's future at stake, you really think we wouldn't have a spare on hand?\We're prepared to make some sacrifices to save humanity from extinction.\Don't underestimate us, kid!\I've run a trace simulation on the enemy's actions\to predict where the bombs are.\But given that he's been moving about freely,\we should assume he has inside help.\There are other bombs, too. response:	Give the bomb disposal team the estimated locations.
context: We're prepared to make some sacrifices to save humanity from extinction.\Don't underestimate us, kid!\I've run a trace simulation on the enemy's actions\to predict where the bombs are.\But given that he's been moving about freely,\we should assume he has inside help.\There are other bombs, too.\Give the bomb disposal team the estimated locations. response:	Roger.
context: Don't underestimate us, kid!\I've run a trace simulation on the enemy's actions\to predict where the bombs are.\But given that he's been moving about freely,\we should assume he has inside help.\There are other bombs, too.\Give the bomb disposal team the estimated locations.\Roger. response:	Don't move.
context: I've run a trace simulation on the enemy's actions\to predict where the bombs are.\But given that he's been moving about freely,\we should assume he has inside help.\There are other bombs, too.\Give the bomb disposal team the estimated locations.\Roger.\Don't move. response:	Midsummer's Knights?
context: to predict where the bombs are.\But given that he's been moving about freely,\we should assume he has inside help.\There are other bombs, too.\Give the bomb disposal team the estimated locations.\Roger.\Don't move.\Midsummer's Knights? response:	Those lacking resolve cannot save this planet,
context: But given that he's been moving about freely,\we should assume he has inside help.\There are other bombs, too.\Give the bomb disposal team the estimated locations.\Roger.\Don't move.\Midsummer's Knights?\Those lacking resolve cannot save this planet, response:	Daichi Manatsu.
context: we should assume he has inside help.\There are other bombs, too.\Give the bomb disposal team the estimated locations.\Roger.\Don't move.\Midsummer's Knights?\Those lacking resolve cannot save this planet,\Daichi Manatsu. response:	Especially not you.
context: There are other bombs, too.\Give the bomb disposal team the estimated locations.\Roger.\Don't move.\Midsummer's Knights?\Those lacking resolve cannot save this planet,\Daichi Manatsu.\Especially not you. response:	Hana!
context: Give the bomb disposal team the estimated locations.\Roger.\Don't move.\Midsummer's Knights?\Those lacking resolve cannot save this planet,\Daichi Manatsu.\Especially not you.\Hana! response:	We've no intention of unnecessarily hurting those aboard the Tenkaidou.
context: Roger.\Don't move.\Midsummer's Knights?\Those lacking resolve cannot save this planet,\Daichi Manatsu.\Especially not you.\Hana!\We've no intention of unnecessarily hurting those aboard the Tenkaidou. response:	Our primary objective is securing Hana Mutou.
context: Don't move.\Midsummer's Knights?\Those lacking resolve cannot save this planet,\Daichi Manatsu.\Especially not you.\Hana!\We've no intention of unnecessarily hurting those aboard the Tenkaidou.\Our primary objective is securing Hana Mutou. response:	And if Pointer screws up?
context: Midsummer's Knights?\Those lacking resolve cannot save this planet,\Daichi Manatsu.\Especially not you.\Hana!\We've no intention of unnecessarily hurting those aboard the Tenkaidou.\Our primary objective is securing Hana Mutou.\And if Pointer screws up? response:	If nothing else, he'll be able rid us of our problem.
context: Those lacking resolve cannot save this planet,\Daichi Manatsu.\Especially not you.\Hana!\We've no intention of unnecessarily hurting those aboard the Tenkaidou.\Our primary objective is securing Hana Mutou.\And if Pointer screws up?\If nothing else, he'll be able rid us of our problem. response:	We'll stop Operation Summer, whatever it takes.
context: Daichi Manatsu.\Especially not you.\Hana!\We've no intention of unnecessarily hurting those aboard the Tenkaidou.\Our primary objective is securing Hana Mutou.\And if Pointer screws up?\If nothing else, he'll be able rid us of our problem.\We'll stop Operation Summer, whatever it takes. response:	Yes, the Blume belongs to us.
context: Especially not you.\Hana!\We've no intention of unnecessarily hurting those aboard the Tenkaidou.\Our primary objective is securing Hana Mutou.\And if Pointer screws up?\If nothing else, he'll be able rid us of our problem.\We'll stop Operation Summer, whatever it takes.\Yes, the Blume belongs to us. response:	The Meaning of a Captain
context: Hana!\We've no intention of unnecessarily hurting those aboard the Tenkaidou.\Our primary objective is securing Hana Mutou.\And if Pointer screws up?\If nothing else, he'll be able rid us of our problem.\We'll stop Operation Summer, whatever it takes.\Yes, the Blume belongs to us.\The Meaning of a Captain response:	Sorry, but today's concert isn't an abreaction.
context: We've no intention of unnecessarily hurting those aboard the Tenkaidou.\Our primary objective is securing Hana Mutou.\And if Pointer screws up?\If nothing else, he'll be able rid us of our problem.\We'll stop Operation Summer, whatever it takes.\Yes, the Blume belongs to us.\The Meaning of a Captain\Sorry, but today's concert isn't an abreaction. response:	The Blume is in orbit.
context: Our primary objective is securing Hana Mutou.\And if Pointer screws up?\If nothing else, he'll be able rid us of our problem.\We'll stop Operation Summer, whatever it takes.\Yes, the Blume belongs to us.\The Meaning of a Captain\Sorry, but today's concert isn't an abreaction.\The Blume is in orbit. response:	If they attack us, it'll pose a bit of a problem.
context: And if Pointer screws up?\If nothing else, he'll be able rid us of our problem.\We'll stop Operation Summer, whatever it takes.\Yes, the Blume belongs to us.\The Meaning of a Captain\Sorry, but today's concert isn't an abreaction.\The Blume is in orbit.\If they attack us, it'll pose a bit of a problem. response:	If they convert their Orgone energy into pure physical energy,
context: If nothing else, he'll be able rid us of our problem.\We'll stop Operation Summer, whatever it takes.\Yes, the Blume belongs to us.\The Meaning of a Captain\Sorry, but today's concert isn't an abreaction.\The Blume is in orbit.\If they attack us, it'll pose a bit of a problem.\If they convert their Orgone energy into pure physical energy, response:	destroying an Ego Block is theoretically possible.
context: We'll stop Operation Summer, whatever it takes.\Yes, the Blume belongs to us.\The Meaning of a Captain\Sorry, but today's concert isn't an abreaction.\The Blume is in orbit.\If they attack us, it'll pose a bit of a problem.\If they convert their Orgone energy into pure physical energy,\destroying an Ego Block is theoretically possible. response:	There's a good chance
context: Yes, the Blume belongs to us.\The Meaning of a Captain\Sorry, but today's concert isn't an abreaction.\The Blume is in orbit.\If they attack us, it'll pose a bit of a problem.\If they convert their Orgone energy into pure physical energy,\destroying an Ego Block is theoretically possible.\There's a good chance response:	they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon.
context: The Meaning of a Captain\Sorry, but today's concert isn't an abreaction.\The Blume is in orbit.\If they attack us, it'll pose a bit of a problem.\If they convert their Orgone energy into pure physical energy,\destroying an Ego Block is theoretically possible.\There's a good chance\they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon. response:	That would be bad!
context: Sorry, but today's concert isn't an abreaction.\The Blume is in orbit.\If they attack us, it'll pose a bit of a problem.\If they convert their Orgone energy into pure physical energy,\destroying an Ego Block is theoretically possible.\There's a good chance\they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon.\That would be bad! response:	You're right...
context: The Blume is in orbit.\If they attack us, it'll pose a bit of a problem.\If they convert their Orgone energy into pure physical energy,\destroying an Ego Block is theoretically possible.\There's a good chance\they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon.\That would be bad!\You're right... response:	If we can, we should stop that disaster before it happens.
context: If they attack us, it'll pose a bit of a problem.\If they convert their Orgone energy into pure physical energy,\destroying an Ego Block is theoretically possible.\There's a good chance\they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon.\That would be bad!\You're right...\If we can, we should stop that disaster before it happens. response:	Ai, go up there and defeat them.
context: If they convert their Orgone energy into pure physical energy,\destroying an Ego Block is theoretically possible.\There's a good chance\they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon.\That would be bad!\You're right...\If we can, we should stop that disaster before it happens.\Ai, go up there and defeat them. response:	Why Ai?
context: destroying an Ego Block is theoretically possible.\There's a good chance\they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon.\That would be bad!\You're right...\If we can, we should stop that disaster before it happens.\Ai, go up there and defeat them.\Why Ai? response:	She's the only one whose face they don't know.
context: There's a good chance\they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon.\That would be bad!\You're right...\If we can, we should stop that disaster before it happens.\Ai, go up there and defeat them.\Why Ai?\She's the only one whose face they don't know. response:	I can't believe it...
context: they'll use the Blume's Entangle Link to destroy the cocoon inside Oberon.\That would be bad!\You're right...\If we can, we should stop that disaster before it happens.\Ai, go up there and defeat them.\Why Ai?\She's the only one whose face they don't know.\I can't believe it... response:	Using an idol who hides her face with sunglasses for a terrorist act?
context: That would be bad!\You're right...\If we can, we should stop that disaster before it happens.\Ai, go up there and defeat them.\Why Ai?\She's the only one whose face they don't know.\I can't believe it...\Using an idol who hides her face with sunglasses for a terrorist act? response:	Zin's singularity will be helpful.
context: You're right...\If we can, we should stop that disaster before it happens.\Ai, go up there and defeat them.\Why Ai?\She's the only one whose face they don't know.\I can't believe it...\Using an idol who hides her face with sunglasses for a terrorist act?\Zin's singularity will be helpful. response:	Have him share it with you by telepathic kiss.
context: If we can, we should stop that disaster before it happens.\Ai, go up there and defeat them.\Why Ai?\She's the only one whose face they don't know.\I can't believe it...\Using an idol who hides her face with sunglasses for a terrorist act?\Zin's singularity will be helpful.\Have him share it with you by telepathic kiss. response:	I can't believe it!
context: Ai, go up there and defeat them.\Why Ai?\She's the only one whose face they don't know.\I can't believe it...\Using an idol who hides her face with sunglasses for a terrorist act?\Zin's singularity will be helpful.\Have him share it with you by telepathic kiss.\I can't believe it! response:	If the press sees that, there'll be total chaos.
context: Why Ai?\She's the only one whose face they don't know.\I can't believe it...\Using an idol who hides her face with sunglasses for a terrorist act?\Zin's singularity will be helpful.\Have him share it with you by telepathic kiss.\I can't believe it!\If the press sees that, there'll be total chaos. response:	Hey, Ai?
context: She's the only one whose face they don't know.\I can't believe it...\Using an idol who hides her face with sunglasses for a terrorist act?\Zin's singularity will be helpful.\Have him share it with you by telepathic kiss.\I can't believe it!\If the press sees that, there'll be total chaos.\Hey, Ai? response:	I think I like the way you try so hard in this video.
context: I can't believe it...\Using an idol who hides her face with sunglasses for a terrorist act?\Zin's singularity will be helpful.\Have him share it with you by telepathic kiss.\I can't believe it!\If the press sees that, there'll be total chaos.\Hey, Ai?\I think I like the way you try so hard in this video. response:	Well, you know...
context: Using an idol who hides her face with sunglasses for a terrorist act?\Zin's singularity will be helpful.\Have him share it with you by telepathic kiss.\I can't believe it!\If the press sees that, there'll be total chaos.\Hey, Ai?\I think I like the way you try so hard in this video.\Well, you know... response:	It's my job.
context: Zin's singularity will be helpful.\Have him share it with you by telepathic kiss.\I can't believe it!\If the press sees that, there'll be total chaos.\Hey, Ai?\I think I like the way you try so hard in this video.\Well, you know...\It's my job. response:	Kiss scenes are also part of my job, huh?
context: Have him share it with you by telepathic kiss.\I can't believe it!\If the press sees that, there'll be total chaos.\Hey, Ai?\I think I like the way you try so hard in this video.\Well, you know...\It's my job.\Kiss scenes are also part of my job, huh? response:	I found a good one.
context: I can't believe it!\If the press sees that, there'll be total chaos.\Hey, Ai?\I think I like the way you try so hard in this video.\Well, you know...\It's my job.\Kiss scenes are also part of my job, huh?\I found a good one. response:	What's wrong, Pitz?
context: If the press sees that, there'll be total chaos.\Hey, Ai?\I think I like the way you try so hard in this video.\Well, you know...\It's my job.\Kiss scenes are also part of my job, huh?\I found a good one.\What's wrong, Pitz? response:	This is Manatsu.
context: Hey, Ai?\I think I like the way you try so hard in this video.\Well, you know...\It's my job.\Kiss scenes are also part of my job, huh?\I found a good one.\What's wrong, Pitz?\This is Manatsu. response:	What's wrong, Captain?
context: I think I like the way you try so hard in this video.\Well, you know...\It's my job.\Kiss scenes are also part of my job, huh?\I found a good one.\What's wrong, Pitz?\This is Manatsu.\What's wrong, Captain? response:	Hana's been kidnapped.
context: Well, you know...\It's my job.\Kiss scenes are also part of my job, huh?\I found a good one.\What's wrong, Pitz?\This is Manatsu.\What's wrong, Captain?\Hana's been kidnapped. response:	It was Hirosue, from Salty Dog.
context: It's my job.\Kiss scenes are also part of my job, huh?\I found a good one.\What's wrong, Pitz?\This is Manatsu.\What's wrong, Captain?\Hana's been kidnapped.\It was Hirosue, from Salty Dog. response:	He has the detonator for the bombs placed on the Tenkaidou by Salty Dog.
context: Kiss scenes are also part of my job, huh?\I found a good one.\What's wrong, Pitz?\This is Manatsu.\What's wrong, Captain?\Hana's been kidnapped.\It was Hirosue, from Salty Dog.\He has the detonator for the bombs placed on the Tenkaidou by Salty Dog. response:	Governor Yomatsuri, I'll send you the route we expect him to take.
context: I found a good one.\What's wrong, Pitz?\This is Manatsu.\What's wrong, Captain?\Hana's been kidnapped.\It was Hirosue, from Salty Dog.\He has the detonator for the bombs placed on the Tenkaidou by Salty Dog.\Governor Yomatsuri, I'll send you the route we expect him to take. response:	Roger.
context: What's wrong, Pitz?\This is Manatsu.\What's wrong, Captain?\Hana's been kidnapped.\It was Hirosue, from Salty Dog.\He has the detonator for the bombs placed on the Tenkaidou by Salty Dog.\Governor Yomatsuri, I'll send you the route we expect him to take.\Roger. response:	I'll forward it to security.
context: This is Manatsu.\What's wrong, Captain?\Hana's been kidnapped.\It was Hirosue, from Salty Dog.\He has the detonator for the bombs placed on the Tenkaidou by Salty Dog.\Governor Yomatsuri, I'll send you the route we expect him to take.\Roger.\I'll forward it to security. response:	Security, you hear me, right?
context: What's wrong, Captain?\Hana's been kidnapped.\It was Hirosue, from Salty Dog.\He has the detonator for the bombs placed on the Tenkaidou by Salty Dog.\Governor Yomatsuri, I'll send you the route we expect him to take.\Roger.\I'll forward it to security.\Security, you hear me, right? response:	From the estimated escape path,
context: Hana's been kidnapped.\It was Hirosue, from Salty Dog.\He has the detonator for the bombs placed on the Tenkaidou by Salty Dog.\Governor Yomatsuri, I'll send you the route we expect him to take.\Roger.\I'll forward it to security.\Security, you hear me, right?\From the estimated escape path, response:	he likely escaped into the engine block.
context: It was Hirosue, from Salty Dog.\He has the detonator for the bombs placed on the Tenkaidou by Salty Dog.\Governor Yomatsuri, I'll send you the route we expect him to take.\Roger.\I'll forward it to security.\Security, you hear me, right?\From the estimated escape path,\he likely escaped into the engine block. response:	The detonator is connected to his vital signs,
context: He has the detonator for the bombs placed on the Tenkaidou by Salty Dog.\Governor Yomatsuri, I'll send you the route we expect him to take.\Roger.\I'll forward it to security.\Security, you hear me, right?\From the estimated escape path,\he likely escaped into the engine block.\The detonator is connected to his vital signs, response:	so firearm use is prohibited!
context: Governor Yomatsuri, I'll send you the route we expect him to take.\Roger.\I'll forward it to security.\Security, you hear me, right?\From the estimated escape path,\he likely escaped into the engine block.\The detonator is connected to his vital signs,\so firearm use is prohibited! response:	Also, he has kidnapped Hana Mutou.
context: Roger.\I'll forward it to security.\Security, you hear me, right?\From the estimated escape path,\he likely escaped into the engine block.\The detonator is connected to his vital signs,\so firearm use is prohibited!\Also, he has kidnapped Hana Mutou. response:	What now?
context: I'll forward it to security.\Security, you hear me, right?\From the estimated escape path,\he likely escaped into the engine block.\The detonator is connected to his vital signs,\so firearm use is prohibited!\Also, he has kidnapped Hana Mutou.\What now? response:	A meteoroid is approaching the Tenkaidou.
context: Security, you hear me, right?\From the estimated escape path,\he likely escaped into the engine block.\The detonator is connected to his vital signs,\so firearm use is prohibited!\Also, he has kidnapped Hana Mutou.\What now?\A meteoroid is approaching the Tenkaidou. response:	Spectral analysis has identified its constitution.
context: From the estimated escape path,\he likely escaped into the engine block.\The detonator is connected to his vital signs,\so firearm use is prohibited!\Also, he has kidnapped Hana Mutou.\What now?\A meteoroid is approaching the Tenkaidou.\Spectral analysis has identified its constitution. response:	Inconel... Probably the remnants of a spaceship.
context: he likely escaped into the engine block.\The detonator is connected to his vital signs,\so firearm use is prohibited!\Also, he has kidnapped Hana Mutou.\What now?\A meteoroid is approaching the Tenkaidou.\Spectral analysis has identified its constitution.\Inconel... Probably the remnants of a spaceship. response:	I don't see this debris in our catalog.
context: The detonator is connected to his vital signs,\so firearm use is prohibited!\Also, he has kidnapped Hana Mutou.\What now?\A meteoroid is approaching the Tenkaidou.\Spectral analysis has identified its constitution.\Inconel... Probably the remnants of a spaceship.\I don't see this debris in our catalog. response:	It isn't in our catalog?
context: so firearm use is prohibited!\Also, he has kidnapped Hana Mutou.\What now?\A meteoroid is approaching the Tenkaidou.\Spectral analysis has identified its constitution.\Inconel... Probably the remnants of a spaceship.\I don't see this debris in our catalog.\It isn't in our catalog? response:	Bearing: 736.
context: Also, he has kidnapped Hana Mutou.\What now?\A meteoroid is approaching the Tenkaidou.\Spectral analysis has identified its constitution.\Inconel... Probably the remnants of a spaceship.\I don't see this debris in our catalog.\It isn't in our catalog?\Bearing: 736. response:	Relative distance: 300,000.
context: What now?\A meteoroid is approaching the Tenkaidou.\Spectral analysis has identified its constitution.\Inconel... Probably the remnants of a spaceship.\I don't see this debris in our catalog.\It isn't in our catalog?\Bearing: 736.\Relative distance: 300,000. response:	Relative speed: 400.
context: A meteoroid is approaching the Tenkaidou.\Spectral analysis has identified its constitution.\Inconel... Probably the remnants of a spaceship.\I don't see this debris in our catalog.\It isn't in our catalog?\Bearing: 736.\Relative distance: 300,000.\Relative speed: 400. response:	We can't dodge it.
context: Spectral analysis has identified its constitution.\Inconel... Probably the remnants of a spaceship.\I don't see this debris in our catalog.\It isn't in our catalog?\Bearing: 736.\Relative distance: 300,000.\Relative speed: 400.\We can't dodge it. response:	Collision in 750 seconds.
context: Inconel... Probably the remnants of a spaceship.\I don't see this debris in our catalog.\It isn't in our catalog?\Bearing: 736.\Relative distance: 300,000.\Relative speed: 400.\We can't dodge it.\Collision in 750 seconds. response:	Estimated mass: 1,200 kilograms.
context: I don't see this debris in our catalog.\It isn't in our catalog?\Bearing: 736.\Relative distance: 300,000.\Relative speed: 400.\We can't dodge it.\Collision in 750 seconds.\Estimated mass: 1,200 kilograms. response:	Impact energy: 96 megajoules.
context: It isn't in our catalog?\Bearing: 736.\Relative distance: 300,000.\Relative speed: 400.\We can't dodge it.\Collision in 750 seconds.\Estimated mass: 1,200 kilograms.\Impact energy: 96 megajoules. response:	That's enough energy to penetrate the debris bumper!
context: Bearing: 736.\Relative distance: 300,000.\Relative speed: 400.\We can't dodge it.\Collision in 750 seconds.\Estimated mass: 1,200 kilograms.\Impact energy: 96 megajoules.\That's enough energy to penetrate the debris bumper! response:	Akari?
context: Relative distance: 300,000.\Relative speed: 400.\We can't dodge it.\Collision in 750 seconds.\Estimated mass: 1,200 kilograms.\Impact energy: 96 megajoules.\That's enough energy to penetrate the debris bumper!\Akari? response:	A large piece of debris is heading for us.
context: Relative speed: 400.\We can't dodge it.\Collision in 750 seconds.\Estimated mass: 1,200 kilograms.\Impact energy: 96 megajoules.\That's enough energy to penetrate the debris bumper!\Akari?\A large piece of debris is heading for us. response:	Debris?
context: We can't dodge it.\Collision in 750 seconds.\Estimated mass: 1,200 kilograms.\Impact energy: 96 megajoules.\That's enough energy to penetrate the debris bumper!\Akari?\A large piece of debris is heading for us.\Debris? response:	Just get Hana back as soon as possible.
context: Collision in 750 seconds.\Estimated mass: 1,200 kilograms.\Impact energy: 96 megajoules.\That's enough energy to penetrate the debris bumper!\Akari?\A large piece of debris is heading for us.\Debris?\Just get Hana back as soon as possible. response:	Otherwise, I won't know what Pitz is saying!
