context: A raid is a large-scale battle response:	with many adventurers, instead of the usual party of six.
context: as the Silver Sword guild master.\Understood. I'm in.\A man's come all the way out to the ends of the North to ask for my help.\Wouldn't it be rude to wait to hear what he wanted?\Thanks.\Well?\I'm requesting your participation in a full raid.\In a new raid zone at the lowest level of the Depths of Palm. response:	It's a full raid, so only twenty-four adventurers can go in at once.
context: Understood. I'm in.\A man's come all the way out to the ends of the North to ask for my help.\Wouldn't it be rude to wait to hear what he wanted?\Thanks.\Well?\I'm requesting your participation in a full raid.\In a new raid zone at the lowest level of the Depths of Palm.\It's a full raid, so only twenty-four adventurers can go in at once. response:	We can't rely on numbers.
context: A man's come all the way out to the ends of the North to ask for my help.\Wouldn't it be rude to wait to hear what he wanted?\Thanks.\Well?\I'm requesting your participation in a full raid.\In a new raid zone at the lowest level of the Depths of Palm.\It's a full raid, so only twenty-four adventurers can go in at once.\We can't rely on numbers. response:	Then we'll have to go in to investigate it.
context: Wouldn't it be rude to wait to hear what he wanted?\Thanks.\Well?\I'm requesting your participation in a full raid.\In a new raid zone at the lowest level of the Depths of Palm.\It's a full raid, so only twenty-four adventurers can go in at once.\We can't rely on numbers.\Then we'll have to go in to investigate it. response:	Already done.
context: Thanks.\Well?\I'm requesting your participation in a full raid.\In a new raid zone at the lowest level of the Depths of Palm.\It's a full raid, so only twenty-four adventurers can go in at once.\We can't rely on numbers.\Then we'll have to go in to investigate it.\Already done. response:	Oh?
context: Well?\I'm requesting your participation in a full raid.\In a new raid zone at the lowest level of the Depths of Palm.\It's a full raid, so only twenty-four adventurers can go in at once.\We can't rely on numbers.\Then we'll have to go in to investigate it.\Already done.\Oh? response:	Look at this!
context: I'm requesting your participation in a full raid.\In a new raid zone at the lowest level of the Depths of Palm.\It's a full raid, so only twenty-four adventurers can go in at once.\We can't rely on numbers.\Then we'll have to go in to investigate it.\Already done.\Oh?\Look at this! response:	What a surprise.
context: In a new raid zone at the lowest level of the Depths of Palm.\It's a full raid, so only twenty-four adventurers can go in at once.\We can't rely on numbers.\Then we'll have to go in to investigate it.\Already done.\Oh?\Look at this!\What a surprise. response:	That's enough for today.
context: It's a full raid, so only twenty-four adventurers can go in at once.\We can't rely on numbers.\Then we'll have to go in to investigate it.\Already done.\Oh?\Look at this!\What a surprise.\That's enough for today. response:	Let's go back.
context: We can't rely on numbers.\Then we'll have to go in to investigate it.\Already done.\Oh?\Look at this!\What a surprise.\That's enough for today.\Let's go back. response:	Right on.
context: Then we'll have to go in to investigate it.\Already done.\Oh?\Look at this!\What a surprise.\That's enough for today.\Let's go back.\Right on. response:	Oh, my... There are monsters everywhere.
context: Already done.\Oh?\Look at this!\What a surprise.\That's enough for today.\Let's go back.\Right on.\Oh, my... There are monsters everywhere. response:	Orks' Jelly Rank/ Raid
context: Oh?\Look at this!\What a surprise.\That's enough for today.\Let's go back.\Right on.\Oh, my... There are monsters everywhere.\Orks' Jelly Rank/ Raid response:	The enemies are above level 80.
context: Look at this!\What a surprise.\That's enough for today.\Let's go back.\Right on.\Oh, my... There are monsters everywhere.\Orks' Jelly Rank/ Raid\The enemies are above level 80. response:	I believe it will be extremely difficult.
context: What a surprise.\That's enough for today.\Let's go back.\Right on.\Oh, my... There are monsters everywhere.\Orks' Jelly Rank/ Raid\The enemies are above level 80.\I believe it will be extremely difficult. response:	What types of enemies?
context: That's enough for today.\Let's go back.\Right on.\Oh, my... There are monsters everywhere.\Orks' Jelly Rank/ Raid\The enemies are above level 80.\I believe it will be extremely difficult.\What types of enemies? response:	The ones we saw were slimes.
context: Let's go back.\Right on.\Oh, my... There are monsters everywhere.\Orks' Jelly Rank/ Raid\The enemies are above level 80.\I believe it will be extremely difficult.\What types of enemies?\The ones we saw were slimes. response:	More than five meters in diameter.
context: Right on.\Oh, my... There are monsters everywhere.\Orks' Jelly Rank/ Raid\The enemies are above level 80.\I believe it will be extremely difficult.\What types of enemies?\The ones we saw were slimes.\More than five meters in diameter. response:	The rest is only my guess,
context: Oh, my... There are monsters everywhere.\Orks' Jelly Rank/ Raid\The enemies are above level 80.\I believe it will be extremely difficult.\What types of enemies?\The ones we saw were slimes.\More than five meters in diameter.\The rest is only my guess, response:	but given the layout of the facility and the legends surrounding it,
context: Orks' Jelly Rank/ Raid\The enemies are above level 80.\I believe it will be extremely difficult.\What types of enemies?\The ones we saw were slimes.\More than five meters in diameter.\The rest is only my guess,\but given the layout of the facility and the legends surrounding it, response:	I believe there's a large monster, either a giant or a phantom beast.
context: The enemies are above level 80.\I believe it will be extremely difficult.\What types of enemies?\The ones we saw were slimes.\More than five meters in diameter.\The rest is only my guess,\but given the layout of the facility and the legends surrounding it,\I believe there's a large monster, either a giant or a phantom beast. response:	A giant? Convenient.
context: I believe it will be extremely difficult.\What types of enemies?\The ones we saw were slimes.\More than five meters in diameter.\The rest is only my guess,\but given the layout of the facility and the legends surrounding it,\I believe there's a large monster, either a giant or a phantom beast.\A giant? Convenient. response:	We're based in Susukino, so we're used to them.
context: What types of enemies?\The ones we saw were slimes.\More than five meters in diameter.\The rest is only my guess,\but given the layout of the facility and the legends surrounding it,\I believe there's a large monster, either a giant or a phantom beast.\A giant? Convenient.\We're based in Susukino, so we're used to them. response:	But there are still problems.
context: The ones we saw were slimes.\More than five meters in diameter.\The rest is only my guess,\but given the layout of the facility and the legends surrounding it,\I believe there's a large monster, either a giant or a phantom beast.\A giant? Convenient.\We're based in Susukino, so we're used to them.\But there are still problems. response:	Have you ever been to Susukino?
context: More than five meters in diameter.\The rest is only my guess,\but given the layout of the facility and the legends surrounding it,\I believe there's a large monster, either a giant or a phantom beast.\A giant? Convenient.\We're based in Susukino, so we're used to them.\But there are still problems.\Have you ever been to Susukino? response:	Yes, a few times.
context: The rest is only my guess,\but given the layout of the facility and the legends surrounding it,\I believe there's a large monster, either a giant or a phantom beast.\A giant? Convenient.\We're based in Susukino, so we're used to them.\But there are still problems.\Have you ever been to Susukino?\Yes, a few times. response:	I'd heard it had gotten dangerous after the Apocalypse.
context: but given the layout of the facility and the legends surrounding it,\I believe there's a large monster, either a giant or a phantom beast.\A giant? Convenient.\We're based in Susukino, so we're used to them.\But there are still problems.\Have you ever been to Susukino?\Yes, a few times.\I'd heard it had gotten dangerous after the Apocalypse. response:	Silver Sword's presence here is a big help.
context: I believe there's a large monster, either a giant or a phantom beast.\A giant? Convenient.\We're based in Susukino, so we're used to them.\But there are still problems.\Have you ever been to Susukino?\Yes, a few times.\I'd heard it had gotten dangerous after the Apocalypse.\Silver Sword's presence here is a big help. response:	Nothing like having a well-ordered combat guild around.
context: A giant? Convenient.\We're based in Susukino, so we're used to them.\But there are still problems.\Have you ever been to Susukino?\Yes, a few times.\I'd heard it had gotten dangerous after the Apocalypse.\Silver Sword's presence here is a big help.\Nothing like having a well-ordered combat guild around. response:	They aren't thugs like Brigandia.
context: We're based in Susukino, so we're used to them.\But there are still problems.\Have you ever been to Susukino?\Yes, a few times.\I'd heard it had gotten dangerous after the Apocalypse.\Silver Sword's presence here is a big help.\Nothing like having a well-ordered combat guild around.\They aren't thugs like Brigandia. response:	I suppose those thugs must have wandered off somewhere.
context: But there are still problems.\Have you ever been to Susukino?\Yes, a few times.\I'd heard it had gotten dangerous after the Apocalypse.\Silver Sword's presence here is a big help.\Nothing like having a well-ordered combat guild around.\They aren't thugs like Brigandia.\I suppose those thugs must have wandered off somewhere. response:	What do you mean, problems?
context: Have you ever been to Susukino?\Yes, a few times.\I'd heard it had gotten dangerous after the Apocalypse.\Silver Sword's presence here is a big help.\Nothing like having a well-ordered combat guild around.\They aren't thugs like Brigandia.\I suppose those thugs must have wandered off somewhere.\What do you mean, problems? response:	Right now, we're shut down.
context: Yes, a few times.\I'd heard it had gotten dangerous after the Apocalypse.\Silver Sword's presence here is a big help.\Nothing like having a well-ordered combat guild around.\They aren't thugs like Brigandia.\I suppose those thugs must have wandered off somewhere.\What do you mean, problems?\Right now, we're shut down. response:	We don't have enough people.
context: I'd heard it had gotten dangerous after the Apocalypse.\Silver Sword's presence here is a big help.\Nothing like having a well-ordered combat guild around.\They aren't thugs like Brigandia.\I suppose those thugs must have wandered off somewhere.\What do you mean, problems?\Right now, we're shut down.\We don't have enough people. response:	Some members couldn't keep up with the raids.
context: Silver Sword's presence here is a big help.\Nothing like having a well-ordered combat guild around.\They aren't thugs like Brigandia.\I suppose those thugs must have wandered off somewhere.\What do you mean, problems?\Right now, we're shut down.\We don't have enough people.\Some members couldn't keep up with the raids. response:	And some people are still in the guild,
context: Nothing like having a well-ordered combat guild around.\They aren't thugs like Brigandia.\I suppose those thugs must have wandered off somewhere.\What do you mean, problems?\Right now, we're shut down.\We don't have enough people.\Some members couldn't keep up with the raids.\And some people are still in the guild, response:	but they don't want to participate in any more large-scale fights.
context: They aren't thugs like Brigandia.\I suppose those thugs must have wandered off somewhere.\What do you mean, problems?\Right now, we're shut down.\We don't have enough people.\Some members couldn't keep up with the raids.\And some people are still in the guild,\but they don't want to participate in any more large-scale fights. response:	In other words, they've retired.
context: I suppose those thugs must have wandered off somewhere.\What do you mean, problems?\Right now, we're shut down.\We don't have enough people.\Some members couldn't keep up with the raids.\And some people are still in the guild,\but they don't want to participate in any more large-scale fights.\In other words, they've retired. response:	They could do an easy raid,
context: What do you mean, problems?\Right now, we're shut down.\We don't have enough people.\Some members couldn't keep up with the raids.\And some people are still in the guild,\but they don't want to participate in any more large-scale fights.\In other words, they've retired.\They could do an easy raid, response:	but not a really rough one.
context: Right now, we're shut down.\We don't have enough people.\Some members couldn't keep up with the raids.\And some people are still in the guild,\but they don't want to participate in any more large-scale fights.\In other words, they've retired.\They could do an easy raid,\but not a really rough one. response:	This one will be top-level difficulty, right?
context: We don't have enough people.\Some members couldn't keep up with the raids.\And some people are still in the guild,\but they don't want to participate in any more large-scale fights.\In other words, they've retired.\They could do an easy raid,\but not a really rough one.\This one will be top-level difficulty, right? response:	We're up to level 95, but we can only take twenty people at most.
context: Some members couldn't keep up with the raids.\And some people are still in the guild,\but they don't want to participate in any more large-scale fights.\In other words, they've retired.\They could do an easy raid,\but not a really rough one.\This one will be top-level difficulty, right?\We're up to level 95, but we can only take twenty people at most. response:	Is that because of your memories?
context: And some people are still in the guild,\but they don't want to participate in any more large-scale fights.\In other words, they've retired.\They could do an easy raid,\but not a really rough one.\This one will be top-level difficulty, right?\We're up to level 95, but we can only take twenty people at most.\Is that because of your memories? response:	Oh, that story about how if you die, you lose your memories?
context: but they don't want to participate in any more large-scale fights.\In other words, they've retired.\They could do an easy raid,\but not a really rough one.\This one will be top-level difficulty, right?\We're up to level 95, but we can only take twenty people at most.\Is that because of your memories?\Oh, that story about how if you die, you lose your memories? response:	We don't believe idle gossip like that.
context: In other words, they've retired.\They could do an easy raid,\but not a really rough one.\This one will be top-level difficulty, right?\We're up to level 95, but we can only take twenty people at most.\Is that because of your memories?\Oh, that story about how if you die, you lose your memories?\We don't believe idle gossip like that. response:	We aren't scared or anything, either.
context: They could do an easy raid,\but not a really rough one.\This one will be top-level difficulty, right?\We're up to level 95, but we can only take twenty people at most.\Is that because of your memories?\Oh, that story about how if you die, you lose your memories?\We don't believe idle gossip like that.\We aren't scared or anything, either. response:	Then why?
context: but not a really rough one.\This one will be top-level difficulty, right?\We're up to level 95, but we can only take twenty people at most.\Is that because of your memories?\Oh, that story about how if you die, you lose your memories?\We don't believe idle gossip like that.\We aren't scared or anything, either.\Then why? response:	How many times have you died since then?
context: This one will be top-level difficulty, right?\We're up to level 95, but we can only take twenty people at most.\Is that because of your memories?\Oh, that story about how if you die, you lose your memories?\We don't believe idle gossip like that.\We aren't scared or anything, either.\Then why?\How many times have you died since then? response:	Since the Apocalypse?
context: We're up to level 95, but we can only take twenty people at most.\Is that because of your memories?\Oh, that story about how if you die, you lose your memories?\We don't believe idle gossip like that.\We aren't scared or anything, either.\Then why?\How many times have you died since then?\Since the Apocalypse? response:	No, not once.
context: Is that because of your memories?\Oh, that story about how if you die, you lose your memories?\We don't believe idle gossip like that.\We aren't scared or anything, either.\Then why?\How many times have you died since then?\Since the Apocalypse?\No, not once. response:	I can't explain it to someone who doesn't understand.
context: Oh, that story about how if you die, you lose your memories?\We don't believe idle gossip like that.\We aren't scared or anything, either.\Then why?\How many times have you died since then?\Since the Apocalypse?\No, not once.\I can't explain it to someone who doesn't understand. response:	When you die, you learn a lot...
context: We don't believe idle gossip like that.\We aren't scared or anything, either.\Then why?\How many times have you died since then?\Since the Apocalypse?\No, not once.\I can't explain it to someone who doesn't understand.\When you die, you learn a lot... response:	That you suck, that you're petty, that you're lame.
context: We aren't scared or anything, either.\Then why?\How many times have you died since then?\Since the Apocalypse?\No, not once.\I can't explain it to someone who doesn't understand.\When you die, you learn a lot...\That you suck, that you're petty, that you're lame. response:	If you die a hundred times, you learn that a hundred times.
context: Then why?\How many times have you died since then?\Since the Apocalypse?\No, not once.\I can't explain it to someone who doesn't understand.\When you die, you learn a lot...\That you suck, that you're petty, that you're lame.\If you die a hundred times, you learn that a hundred times. response:	It gets too painful to continue.
context: How many times have you died since then?\Since the Apocalypse?\No, not once.\I can't explain it to someone who doesn't understand.\When you die, you learn a lot...\That you suck, that you're petty, that you're lame.\If you die a hundred times, you learn that a hundred times.\It gets too painful to continue. response:	I'm amazed you had the guts to show yourself again here,
context: Since the Apocalypse?\No, not once.\I can't explain it to someone who doesn't understand.\When you die, you learn a lot...\That you suck, that you're petty, that you're lame.\If you die a hundred times, you learn that a hundred times.\It gets too painful to continue.\I'm amazed you had the guts to show yourself again here, response:	Shiroe the enchanter.
