context: Ouma Shu has obtained the Void Genome and recovered his powers. response:	He has also materialized his own Void.
context: would you fight with us?\Ill ask the rest of you as well.\Please lend us your help!\Would someone tell me something first?\Whats Gai trying to do exactly?\The Fourth Apocalypse.\Gai intends to cause Lost Christmas on a worldwide scale.\Shibungi! No way, are you a ghost?! response:	Im quite alive.
context: Ill ask the rest of you as well.\Please lend us your help!\Would someone tell me something first?\Whats Gai trying to do exactly?\The Fourth Apocalypse.\Gai intends to cause Lost Christmas on a worldwide scale.\Shibungi! No way, are you a ghost?!\Im quite alive. response:	Shu. Gai gave me this.
context: Please lend us your help!\Would someone tell me something first?\Whats Gai trying to do exactly?\The Fourth Apocalypse.\Gai intends to cause Lost Christmas on a worldwide scale.\Shibungi! No way, are you a ghost?!\Im quite alive.\Shu. Gai gave me this. response:	Thats
context: Would someone tell me something first?\Whats Gai trying to do exactly?\The Fourth Apocalypse.\Gai intends to cause Lost Christmas on a worldwide scale.\Shibungi! No way, are you a ghost?!\Im quite alive.\Shu. Gai gave me this.\Thats response:	Dr. Ouma Kurosus diary.
context: Whats Gai trying to do exactly?\The Fourth Apocalypse.\Gai intends to cause Lost Christmas on a worldwide scale.\Shibungi! No way, are you a ghost?!\Im quite alive.\Shu. Gai gave me this.\Thats\Dr. Ouma Kurosus diary. response:	Dads?
context: The Fourth Apocalypse.\Gai intends to cause Lost Christmas on a worldwide scale.\Shibungi! No way, are you a ghost?!\Im quite alive.\Shu. Gai gave me this.\Thats\Dr. Ouma Kurosus diary.\Dads? response:	They have the right to die knowing everything
context: Gai intends to cause Lost Christmas on a worldwide scale.\Shibungi! No way, are you a ghost?!\Im quite alive.\Shu. Gai gave me this.\Thats\Dr. Ouma Kurosus diary.\Dads?\They have the right to die knowing everything response:	and the obligation as well.
context: Shibungi! No way, are you a ghost?!\Im quite alive.\Shu. Gai gave me this.\Thats\Dr. Ouma Kurosus diary.\Dads?\They have the right to die knowing everything\and the obligation as well. response:	Especially Shu.
context: Im quite alive.\Shu. Gai gave me this.\Thats\Dr. Ouma Kurosus diary.\Dads?\They have the right to die knowing everything\and the obligation as well.\Especially Shu. response:	As Ouma Kurosus former best friend, isnt that what you want, Dad?
context: Shu. Gai gave me this.\Thats\Dr. Ouma Kurosus diary.\Dads?\They have the right to die knowing everything\and the obligation as well.\Especially Shu.\As Ouma Kurosus former best friend, isnt that what you want, Dad? response:	”Best friend” There was a time when I could call him that.
context: Thats\Dr. Ouma Kurosus diary.\Dads?\They have the right to die knowing everything\and the obligation as well.\Especially Shu.\As Ouma Kurosus former best friend, isnt that what you want, Dad?\”Best friend” There was a time when I could call him that. response:	That was back when I was still a graduate student at Tennozu College.
context: Dr. Ouma Kurosus diary.\Dads?\They have the right to die knowing everything\and the obligation as well.\Especially Shu.\As Ouma Kurosus former best friend, isnt that what you want, Dad?\”Best friend” There was a time when I could call him that.\That was back when I was still a graduate student at Tennozu College. response:	At the time, other people were nothing but annoyances to me.
context: Dads?\They have the right to die knowing everything\and the obligation as well.\Especially Shu.\As Ouma Kurosus former best friend, isnt that what you want, Dad?\”Best friend” There was a time when I could call him that.\That was back when I was still a graduate student at Tennozu College.\At the time, other people were nothing but annoyances to me. response:	However
context: They have the right to die knowing everything\and the obligation as well.\Especially Shu.\As Ouma Kurosus former best friend, isnt that what you want, Dad?\”Best friend” There was a time when I could call him that.\That was back when I was still a graduate student at Tennozu College.\At the time, other people were nothing but annoyances to me.\However response:	Keido! This paper of yours is just too beautiful!
context: and the obligation as well.\Especially Shu.\As Ouma Kurosus former best friend, isnt that what you want, Dad?\”Best friend” There was a time when I could call him that.\That was back when I was still a graduate student at Tennozu College.\At the time, other people were nothing but annoyances to me.\However\Keido! This paper of yours is just too beautiful! response:	I cant stop crying, Im so moved!
context: Especially Shu.\As Ouma Kurosus former best friend, isnt that what you want, Dad?\”Best friend” There was a time when I could call him that.\That was back when I was still a graduate student at Tennozu College.\At the time, other people were nothing but annoyances to me.\However\Keido! This paper of yours is just too beautiful!\I cant stop crying, Im so moved! response:	I found out something when Ouma Kurosu appeared.
context: As Ouma Kurosus former best friend, isnt that what you want, Dad?\”Best friend” There was a time when I could call him that.\That was back when I was still a graduate student at Tennozu College.\At the time, other people were nothing but annoyances to me.\However\Keido! This paper of yours is just too beautiful!\I cant stop crying, Im so moved!\I found out something when Ouma Kurosu appeared. response:	There were others who could operate from the same conceptual framework as me,
context: ”Best friend” There was a time when I could call him that.\That was back when I was still a graduate student at Tennozu College.\At the time, other people were nothing but annoyances to me.\However\Keido! This paper of yours is just too beautiful!\I cant stop crying, Im so moved!\I found out something when Ouma Kurosu appeared.\There were others who could operate from the same conceptual framework as me, response:	argue theory with me,
context: That was back when I was still a graduate student at Tennozu College.\At the time, other people were nothing but annoyances to me.\However\Keido! This paper of yours is just too beautiful!\I cant stop crying, Im so moved!\I found out something when Ouma Kurosu appeared.\There were others who could operate from the same conceptual framework as me,\argue theory with me, response:	and compete with me.
context: At the time, other people were nothing but annoyances to me.\However\Keido! This paper of yours is just too beautiful!\I cant stop crying, Im so moved!\I found out something when Ouma Kurosu appeared.\There were others who could operate from the same conceptual framework as me,\argue theory with me,\and compete with me. response:	And then the Genomic Resonance Theory Kurosu constructed
context: However\Keido! This paper of yours is just too beautiful!\I cant stop crying, Im so moved!\I found out something when Ouma Kurosu appeared.\There were others who could operate from the same conceptual framework as me,\argue theory with me,\and compete with me.\And then the Genomic Resonance Theory Kurosu constructed response:	on the basis of my Intron RAM Hypothesis
context: Keido! This paper of yours is just too beautiful!\I cant stop crying, Im so moved!\I found out something when Ouma Kurosu appeared.\There were others who could operate from the same conceptual framework as me,\argue theory with me,\and compete with me.\And then the Genomic Resonance Theory Kurosu constructed\on the basis of my Intron RAM Hypothesis response:	commanded worldwide attention as the key to unlocking the mysteries
context: I cant stop crying, Im so moved!\I found out something when Ouma Kurosu appeared.\There were others who could operate from the same conceptual framework as me,\argue theory with me,\and compete with me.\And then the Genomic Resonance Theory Kurosu constructed\on the basis of my Intron RAM Hypothesis\commanded worldwide attention as the key to unlocking the mysteries response:	of evolution and natural selection.
context: I found out something when Ouma Kurosu appeared.\There were others who could operate from the same conceptual framework as me,\argue theory with me,\and compete with me.\And then the Genomic Resonance Theory Kurosu constructed\on the basis of my Intron RAM Hypothesis\commanded worldwide attention as the key to unlocking the mysteries\of evolution and natural selection. response:	Kurosu, look! Your paper is
context: There were others who could operate from the same conceptual framework as me,\argue theory with me,\and compete with me.\And then the Genomic Resonance Theory Kurosu constructed\on the basis of my Intron RAM Hypothesis\commanded worldwide attention as the key to unlocking the mysteries\of evolution and natural selection.\Kurosu, look! Your paper is response:	Saeko Shijou.
context: argue theory with me,\and compete with me.\And then the Genomic Resonance Theory Kurosu constructed\on the basis of my Intron RAM Hypothesis\commanded worldwide attention as the key to unlocking the mysteries\of evolution and natural selection.\Kurosu, look! Your paper is\Saeko Shijou. response:	A woman from the colleges medical school who was famous across campus for her accomplishments.
context: and compete with me.\And then the Genomic Resonance Theory Kurosu constructed\on the basis of my Intron RAM Hypothesis\commanded worldwide attention as the key to unlocking the mysteries\of evolution and natural selection.\Kurosu, look! Your paper is\Saeko Shijou.\A woman from the colleges medical school who was famous across campus for her accomplishments. response:	She was already carrying Kurosus child by then.
context: And then the Genomic Resonance Theory Kurosu constructed\on the basis of my Intron RAM Hypothesis\commanded worldwide attention as the key to unlocking the mysteries\of evolution and natural selection.\Kurosu, look! Your paper is\Saeko Shijou.\A woman from the colleges medical school who was famous across campus for her accomplishments.\She was already carrying Kurosus child by then. response:	Before long, they were married
context: on the basis of my Intron RAM Hypothesis\commanded worldwide attention as the key to unlocking the mysteries\of evolution and natural selection.\Kurosu, look! Your paper is\Saeko Shijou.\A woman from the colleges medical school who was famous across campus for her accomplishments.\She was already carrying Kurosus child by then.\Before long, they were married response:	and moved to Oshima, where her family lived.
context: commanded worldwide attention as the key to unlocking the mysteries\of evolution and natural selection.\Kurosu, look! Your paper is\Saeko Shijou.\A woman from the colleges medical school who was famous across campus for her accomplishments.\She was already carrying Kurosus child by then.\Before long, they were married\and moved to Oshima, where her family lived. response:	Five years later
context: of evolution and natural selection.\Kurosu, look! Your paper is\Saeko Shijou.\A woman from the colleges medical school who was famous across campus for her accomplishments.\She was already carrying Kurosus child by then.\Before long, they were married\and moved to Oshima, where her family lived.\Five years later response:	Check this out, Shuuichirou!
context: Kurosu, look! Your paper is\Saeko Shijou.\A woman from the colleges medical school who was famous across campus for her accomplishments.\She was already carrying Kurosus child by then.\Before long, they were married\and moved to Oshima, where her family lived.\Five years later\Check this out, Shuuichirou! response:	Amino acid bonding?!
context: Saeko Shijou.\A woman from the colleges medical school who was famous across campus for her accomplishments.\She was already carrying Kurosus child by then.\Before long, they were married\and moved to Oshima, where her family lived.\Five years later\Check this out, Shuuichirou!\Amino acid bonding?! response:	And this is a Genomic Resonance reaction!
context: A woman from the colleges medical school who was famous across campus for her accomplishments.\She was already carrying Kurosus child by then.\Before long, they were married\and moved to Oshima, where her family lived.\Five years later\Check this out, Shuuichirou!\Amino acid bonding?!\And this is a Genomic Resonance reaction! response:	It was Mana who found the meteorite.
context: She was already carrying Kurosus child by then.\Before long, they were married\and moved to Oshima, where her family lived.\Five years later\Check this out, Shuuichirou!\Amino acid bonding?!\And this is a Genomic Resonance reaction!\It was Mana who found the meteorite. response:	Well have to thank her.
context: Before long, they were married\and moved to Oshima, where her family lived.\Five years later\Check this out, Shuuichirou!\Amino acid bonding?!\And this is a Genomic Resonance reaction!\It was Mana who found the meteorite.\Well have to thank her. response:	I knew it. This is a virus.
context: and moved to Oshima, where her family lived.\Five years later\Check this out, Shuuichirou!\Amino acid bonding?!\And this is a Genomic Resonance reaction!\It was Mana who found the meteorite.\Well have to thank her.\I knew it. This is a virus. response:	Generally its not very infectious.
context: Five years later\Check this out, Shuuichirou!\Amino acid bonding?!\And this is a Genomic Resonance reaction!\It was Mana who found the meteorite.\Well have to thank her.\I knew it. This is a virus.\Generally its not very infectious. response:	Yet, when its activated by Genomic Resonance
context: Check this out, Shuuichirou!\Amino acid bonding?!\And this is a Genomic Resonance reaction!\It was Mana who found the meteorite.\Well have to thank her.\I knew it. This is a virus.\Generally its not very infectious.\Yet, when its activated by Genomic Resonance response:	It inserts itself into introns and starts replicating,
context: Amino acid bonding?!\And this is a Genomic Resonance reaction!\It was Mana who found the meteorite.\Well have to thank her.\I knew it. This is a virus.\Generally its not very infectious.\Yet, when its activated by Genomic Resonance\It inserts itself into introns and starts replicating, response:	causing structural sclerosis.
context: And this is a Genomic Resonance reaction!\It was Mana who found the meteorite.\Well have to thank her.\I knew it. This is a virus.\Generally its not very infectious.\Yet, when its activated by Genomic Resonance\It inserts itself into introns and starts replicating,\causing structural sclerosis. response:	Then this is
context: It was Mana who found the meteorite.\Well have to thank her.\I knew it. This is a virus.\Generally its not very infectious.\Yet, when its activated by Genomic Resonance\It inserts itself into introns and starts replicating,\causing structural sclerosis.\Then this is response:	An instrument for playing the notes of Genomic Resonance.
context: Well have to thank her.\I knew it. This is a virus.\Generally its not very infectious.\Yet, when its activated by Genomic Resonance\It inserts itself into introns and starts replicating,\causing structural sclerosis.\Then this is\An instrument for playing the notes of Genomic Resonance. response:	Its a trumpet for the Apocalypse.
context: I knew it. This is a virus.\Generally its not very infectious.\Yet, when its activated by Genomic Resonance\It inserts itself into introns and starts replicating,\causing structural sclerosis.\Then this is\An instrument for playing the notes of Genomic Resonance.\Its a trumpet for the Apocalypse. response:	Her growth is coming along nicely, isnt it?
context: Generally its not very infectious.\Yet, when its activated by Genomic Resonance\It inserts itself into introns and starts replicating,\causing structural sclerosis.\Then this is\An instrument for playing the notes of Genomic Resonance.\Its a trumpet for the Apocalypse.\Her growth is coming along nicely, isnt it? response:	Who are you?
context: Yet, when its activated by Genomic Resonance\It inserts itself into introns and starts replicating,\causing structural sclerosis.\Then this is\An instrument for playing the notes of Genomic Resonance.\Its a trumpet for the Apocalypse.\Her growth is coming along nicely, isnt it?\Who are you? response:	Im Yu. Im an envoy of Daath.
context: It inserts itself into introns and starts replicating,\causing structural sclerosis.\Then this is\An instrument for playing the notes of Genomic Resonance.\Its a trumpet for the Apocalypse.\Her growth is coming along nicely, isnt it?\Who are you?\Im Yu. Im an envoy of Daath. response:	Daath”?
context: causing structural sclerosis.\Then this is\An instrument for playing the notes of Genomic Resonance.\Its a trumpet for the Apocalypse.\Her growth is coming along nicely, isnt it?\Who are you?\Im Yu. Im an envoy of Daath.\Daath”? response:	The meteorite has sown the seeds of Apocalypse across the nation.
context: Then this is\An instrument for playing the notes of Genomic Resonance.\Its a trumpet for the Apocalypse.\Her growth is coming along nicely, isnt it?\Who are you?\Im Yu. Im an envoy of Daath.\Daath”?\The meteorite has sown the seeds of Apocalypse across the nation. response:	Very soon, all the people of your country will become their seedbed.
context: An instrument for playing the notes of Genomic Resonance.\Its a trumpet for the Apocalypse.\Her growth is coming along nicely, isnt it?\Who are you?\Im Yu. Im an envoy of Daath.\Daath”?\The meteorite has sown the seeds of Apocalypse across the nation.\Very soon, all the people of your country will become their seedbed. response:	When Mana eventually matures as Eve,
context: Its a trumpet for the Apocalypse.\Her growth is coming along nicely, isnt it?\Who are you?\Im Yu. Im an envoy of Daath.\Daath”?\The meteorite has sown the seeds of Apocalypse across the nation.\Very soon, all the people of your country will become their seedbed.\When Mana eventually matures as Eve, response:	the Earth will witness its fourth Apocalypse
context: Her growth is coming along nicely, isnt it?\Who are you?\Im Yu. Im an envoy of Daath.\Daath”?\The meteorite has sown the seeds of Apocalypse across the nation.\Very soon, all the people of your country will become their seedbed.\When Mana eventually matures as Eve,\the Earth will witness its fourth Apocalypse response:	The simultaneous selection and evolution of all life.
context: Who are you?\Im Yu. Im an envoy of Daath.\Daath”?\The meteorite has sown the seeds of Apocalypse across the nation.\Very soon, all the people of your country will become their seedbed.\When Mana eventually matures as Eve,\the Earth will witness its fourth Apocalypse\The simultaneous selection and evolution of all life. response:	You see, Apocalypse is the invisible hand of God” at work.
context: Im Yu. Im an envoy of Daath.\Daath”?\The meteorite has sown the seeds of Apocalypse across the nation.\Very soon, all the people of your country will become their seedbed.\When Mana eventually matures as Eve,\the Earth will witness its fourth Apocalypse\The simultaneous selection and evolution of all life.\You see, Apocalypse is the invisible hand of God” at work. response:	Kurosu, I believe your wife is symptomatic already,
context: Daath”?\The meteorite has sown the seeds of Apocalypse across the nation.\Very soon, all the people of your country will become their seedbed.\When Mana eventually matures as Eve,\the Earth will witness its fourth Apocalypse\The simultaneous selection and evolution of all life.\You see, Apocalypse is the invisible hand of God” at work.\Kurosu, I believe your wife is symptomatic already, response:	but you mustnt kill her unborn child.
context: The meteorite has sown the seeds of Apocalypse across the nation.\Very soon, all the people of your country will become their seedbed.\When Mana eventually matures as Eve,\the Earth will witness its fourth Apocalypse\The simultaneous selection and evolution of all life.\You see, Apocalypse is the invisible hand of God” at work.\Kurosu, I believe your wife is symptomatic already,\but you mustnt kill her unborn child. response:	Eve appears intent on making him her Adam.
context: Very soon, all the people of your country will become their seedbed.\When Mana eventually matures as Eve,\the Earth will witness its fourth Apocalypse\The simultaneous selection and evolution of all life.\You see, Apocalypse is the invisible hand of God” at work.\Kurosu, I believe your wife is symptomatic already,\but you mustnt kill her unborn child.\Eve appears intent on making him her Adam. response:	And so, Ouma Shu was born.
context: When Mana eventually matures as Eve,\the Earth will witness its fourth Apocalypse\The simultaneous selection and evolution of all life.\You see, Apocalypse is the invisible hand of God” at work.\Kurosu, I believe your wife is symptomatic already,\but you mustnt kill her unborn child.\Eve appears intent on making him her Adam.\And so, Ouma Shu was born. response:	At the cost of his mothers life.
context: the Earth will witness its fourth Apocalypse\The simultaneous selection and evolution of all life.\You see, Apocalypse is the invisible hand of God” at work.\Kurosu, I believe your wife is symptomatic already,\but you mustnt kill her unborn child.\Eve appears intent on making him her Adam.\And so, Ouma Shu was born.\At the cost of his mothers life. response:	The Adam that Eve desired
