context: We're here? response:	No, we aren't...
context: I'll scramble our communications.\The backdoor I used on them last time...\I guess I can't use it anymore.\Your lives don't even last a century. They're no different than dreams!\They end quickly, and you lose everything!\What is something like that worth?\Why are you the one to decide if our lives are worth anything or not?!\This is the extent of your power. response:	Those without power can't protect anything.
context: The backdoor I used on them last time...\I guess I can't use it anymore.\Your lives don't even last a century. They're no different than dreams!\They end quickly, and you lose everything!\What is something like that worth?\Why are you the one to decide if our lives are worth anything or not?!\This is the extent of your power.\Those without power can't protect anything. response:	I know you are a special person.
context: I guess I can't use it anymore.\Your lives don't even last a century. They're no different than dreams!\They end quickly, and you lose everything!\What is something like that worth?\Why are you the one to decide if our lives are worth anything or not?!\This is the extent of your power.\Those without power can't protect anything.\I know you are a special person. response:	Live in a way that lets you see the true light...
context: Your lives don't even last a century. They're no different than dreams!\They end quickly, and you lose everything!\What is something like that worth?\Why are you the one to decide if our lives are worth anything or not?!\This is the extent of your power.\Those without power can't protect anything.\I know you are a special person.\Live in a way that lets you see the true light... response:	Like me.
context: They end quickly, and you lose everything!\What is something like that worth?\Why are you the one to decide if our lives are worth anything or not?!\This is the extent of your power.\Those without power can't protect anything.\I know you are a special person.\Live in a way that lets you see the true light...\Like me. response:	Earthlings are meaningless creatures.
context: What is something like that worth?\Why are you the one to decide if our lives are worth anything or not?!\This is the extent of your power.\Those without power can't protect anything.\I know you are a special person.\Live in a way that lets you see the true light...\Like me.\Earthlings are meaningless creatures. response:	I'll kill them all!
context: Why are you the one to decide if our lives are worth anything or not?!\This is the extent of your power.\Those without power can't protect anything.\I know you are a special person.\Live in a way that lets you see the true light...\Like me.\Earthlings are meaningless creatures.\I'll kill them all! response:	Can you hear me, Captain?
context: This is the extent of your power.\Those without power can't protect anything.\I know you are a special person.\Live in a way that lets you see the true light...\Like me.\Earthlings are meaningless creatures.\I'll kill them all!\Can you hear me, Captain? response:	I'll use the Boosted.
context: Those without power can't protect anything.\I know you are a special person.\Live in a way that lets you see the true light...\Like me.\Earthlings are meaningless creatures.\I'll kill them all!\Can you hear me, Captain?\I'll use the Boosted. response:	Get away from Bugbear, or you'll be caught in the blast!
context: I know you are a special person.\Live in a way that lets you see the true light...\Like me.\Earthlings are meaningless creatures.\I'll kill them all!\Can you hear me, Captain?\I'll use the Boosted.\Get away from Bugbear, or you'll be caught in the blast! response:	Roger.
context: Live in a way that lets you see the true light...\Like me.\Earthlings are meaningless creatures.\I'll kill them all!\Can you hear me, Captain?\I'll use the Boosted.\Get away from Bugbear, or you'll be caught in the blast!\Roger. response:	It doesn't matter what you try to do, Daichi Manatsu!
context: Like me.\Earthlings are meaningless creatures.\I'll kill them all!\Can you hear me, Captain?\I'll use the Boosted.\Get away from Bugbear, or you'll be caught in the blast!\Roger.\It doesn't matter what you try to do, Daichi Manatsu! response:	Captain!
context: Earthlings are meaningless creatures.\I'll kill them all!\Can you hear me, Captain?\I'll use the Boosted.\Get away from Bugbear, or you'll be caught in the blast!\Roger.\It doesn't matter what you try to do, Daichi Manatsu!\Captain! response:	Captain!
context: I'll kill them all!\Can you hear me, Captain?\I'll use the Boosted.\Get away from Bugbear, or you'll be caught in the blast!\Roger.\It doesn't matter what you try to do, Daichi Manatsu!\Captain!\Captain! response:	You are helpless.
context: Can you hear me, Captain?\I'll use the Boosted.\Get away from Bugbear, or you'll be caught in the blast!\Roger.\It doesn't matter what you try to do, Daichi Manatsu!\Captain!\Captain!\You are helpless. response:	Against overwhelming power,
context: I'll use the Boosted.\Get away from Bugbear, or you'll be caught in the blast!\Roger.\It doesn't matter what you try to do, Daichi Manatsu!\Captain!\Captain!\You are helpless.\Against overwhelming power, response:	your desire to protect something is meaningless.
context: Get away from Bugbear, or you'll be caught in the blast!\Roger.\It doesn't matter what you try to do, Daichi Manatsu!\Captain!\Captain!\You are helpless.\Against overwhelming power,\your desire to protect something is meaningless. response:	Feelings are powerless.
context: Roger.\It doesn't matter what you try to do, Daichi Manatsu!\Captain!\Captain!\You are helpless.\Against overwhelming power,\your desire to protect something is meaningless.\Feelings are powerless. response:	No...
context: It doesn't matter what you try to do, Daichi Manatsu!\Captain!\Captain!\You are helpless.\Against overwhelming power,\your desire to protect something is meaningless.\Feelings are powerless.\No... response:	Power doesn't come first.
context: Captain!\Captain!\You are helpless.\Against overwhelming power,\your desire to protect something is meaningless.\Feelings are powerless.\No...\Power doesn't come first. response:	Your feelings come first.
context: Captain!\You are helpless.\Against overwhelming power,\your desire to protect something is meaningless.\Feelings are powerless.\No...\Power doesn't come first.\Your feelings come first. response:	The strength of your feelings becomes your power.
context: You are helpless.\Against overwhelming power,\your desire to protect something is meaningless.\Feelings are powerless.\No...\Power doesn't come first.\Your feelings come first.\The strength of your feelings becomes your power. response:	Captain...
context: Against overwhelming power,\your desire to protect something is meaningless.\Feelings are powerless.\No...\Power doesn't come first.\Your feelings come first.\The strength of your feelings becomes your power.\Captain... response:	That's why he'll be fine.
context: your desire to protect something is meaningless.\Feelings are powerless.\No...\Power doesn't come first.\Your feelings come first.\The strength of your feelings becomes your power.\Captain...\That's why he'll be fine. response:	Is that what you mean by strength?
context: Feelings are powerless.\No...\Power doesn't come first.\Your feelings come first.\The strength of your feelings becomes your power.\Captain...\That's why he'll be fine.\Is that what you mean by strength? response:	But...
context: No...\Power doesn't come first.\Your feelings come first.\The strength of your feelings becomes your power.\Captain...\That's why he'll be fine.\Is that what you mean by strength?\But... response:	Once you're dead, everything is over!
context: Power doesn't come first.\Your feelings come first.\The strength of your feelings becomes your power.\Captain...\That's why he'll be fine.\Is that what you mean by strength?\But...\Once you're dead, everything is over! response:	Give me the power to protect my friends, too...
context: Your feelings come first.\The strength of your feelings becomes your power.\Captain...\That's why he'll be fine.\Is that what you mean by strength?\But...\Once you're dead, everything is over!\Give me the power to protect my friends, too... response:	God!
context: The strength of your feelings becomes your power.\Captain...\That's why he'll be fine.\Is that what you mean by strength?\But...\Once you're dead, everything is over!\Give me the power to protect my friends, too...\God! response:	What?
context: Captain...\That's why he'll be fine.\Is that what you mean by strength?\But...\Once you're dead, everything is over!\Give me the power to protect my friends, too...\God!\What? response:	The captain is correct, Bugbear.
context: That's why he'll be fine.\Is that what you mean by strength?\But...\Once you're dead, everything is over!\Give me the power to protect my friends, too...\God!\What?\The captain is correct, Bugbear. response:	We've always turned the strength of our emotions into power!
context: Is that what you mean by strength?\But...\Once you're dead, everything is over!\Give me the power to protect my friends, too...\God!\What?\The captain is correct, Bugbear.\We've always turned the strength of our emotions into power! response:	Albion?!
context: But...\Once you're dead, everything is over!\Give me the power to protect my friends, too...\God!\What?\The captain is correct, Bugbear.\We've always turned the strength of our emotions into power!\Albion?! response:	The Nebula Engine Entangle Linked?
context: Once you're dead, everything is over!\Give me the power to protect my friends, too...\God!\What?\The captain is correct, Bugbear.\We've always turned the strength of our emotions into power!\Albion?!\The Nebula Engine Entangle Linked? response:	Yeah, that's how it looked to me.
context: Give me the power to protect my friends, too...\God!\What?\The captain is correct, Bugbear.\We've always turned the strength of our emotions into power!\Albion?!\The Nebula Engine Entangle Linked?\Yeah, that's how it looked to me. response:	Are you okay?
context: God!\What?\The captain is correct, Bugbear.\We've always turned the strength of our emotions into power!\Albion?!\The Nebula Engine Entangle Linked?\Yeah, that's how it looked to me.\Are you okay? response:	You look really beat.
context: What?\The captain is correct, Bugbear.\We've always turned the strength of our emotions into power!\Albion?!\The Nebula Engine Entangle Linked?\Yeah, that's how it looked to me.\Are you okay?\You look really beat. response:	I didn't realize it.
context: The captain is correct, Bugbear.\We've always turned the strength of our emotions into power!\Albion?!\The Nebula Engine Entangle Linked?\Yeah, that's how it looked to me.\Are you okay?\You look really beat.\I didn't realize it. response:	But I guess I really did jump.
context: We've always turned the strength of our emotions into power!\Albion?!\The Nebula Engine Entangle Linked?\Yeah, that's how it looked to me.\Are you okay?\You look really beat.\I didn't realize it.\But I guess I really did jump. response:	Your Ego Block is gone now, isn't it?
context: Albion?!\The Nebula Engine Entangle Linked?\Yeah, that's how it looked to me.\Are you okay?\You look really beat.\I didn't realize it.\But I guess I really did jump.\Your Ego Block is gone now, isn't it? response:	Yeah.
context: The Nebula Engine Entangle Linked?\Yeah, that's how it looked to me.\Are you okay?\You look really beat.\I didn't realize it.\But I guess I really did jump.\Your Ego Block is gone now, isn't it?\Yeah. response:	But even without our Ego Blocks or spaceships like Blume,
context: Yeah, that's how it looked to me.\Are you okay?\You look really beat.\I didn't realize it.\But I guess I really did jump.\Your Ego Block is gone now, isn't it?\Yeah.\But even without our Ego Blocks or spaceships like Blume, response:	it was said that a Neoteny
context: Are you okay?\You look really beat.\I didn't realize it.\But I guess I really did jump.\Your Ego Block is gone now, isn't it?\Yeah.\But even without our Ego Blocks or spaceships like Blume,\it was said that a Neoteny response:	could also Entangle Link, depending on how they used the Livlaster.
context: You look really beat.\I didn't realize it.\But I guess I really did jump.\Your Ego Block is gone now, isn't it?\Yeah.\But even without our Ego Blocks or spaceships like Blume,\it was said that a Neoteny\could also Entangle Link, depending on how they used the Livlaster. response:	Then it was you that jumped, not the Nebula?
context: I didn't realize it.\But I guess I really did jump.\Your Ego Block is gone now, isn't it?\Yeah.\But even without our Ego Blocks or spaceships like Blume,\it was said that a Neoteny\could also Entangle Link, depending on how they used the Livlaster.\Then it was you that jumped, not the Nebula? response:	The Livlasters are devices capable of Entangle Links, too?
context: But I guess I really did jump.\Your Ego Block is gone now, isn't it?\Yeah.\But even without our Ego Blocks or spaceships like Blume,\it was said that a Neoteny\could also Entangle Link, depending on how they used the Livlaster.\Then it was you that jumped, not the Nebula?\The Livlasters are devices capable of Entangle Links, too? response:	When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived
context: Your Ego Block is gone now, isn't it?\Yeah.\But even without our Ego Blocks or spaceships like Blume,\it was said that a Neoteny\could also Entangle Link, depending on how they used the Livlaster.\Then it was you that jumped, not the Nebula?\The Livlasters are devices capable of Entangle Links, too?\When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived response:	must be because it phase shifted, via Entangle Link.
context: Yeah.\But even without our Ego Blocks or spaceships like Blume,\it was said that a Neoteny\could also Entangle Link, depending on how they used the Livlaster.\Then it was you that jumped, not the Nebula?\The Livlasters are devices capable of Entangle Links, too?\When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived\must be because it phase shifted, via Entangle Link. response:	Well, anyway...
context: But even without our Ego Blocks or spaceships like Blume,\it was said that a Neoteny\could also Entangle Link, depending on how they used the Livlaster.\Then it was you that jumped, not the Nebula?\The Livlasters are devices capable of Entangle Links, too?\When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived\must be because it phase shifted, via Entangle Link.\Well, anyway... response:	When you tried to protect the captain, you powered up.
context: it was said that a Neoteny\could also Entangle Link, depending on how they used the Livlaster.\Then it was you that jumped, not the Nebula?\The Livlasters are devices capable of Entangle Links, too?\When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived\must be because it phase shifted, via Entangle Link.\Well, anyway...\When you tried to protect the captain, you powered up. response:	You two boys really are in love.
context: could also Entangle Link, depending on how they used the Livlaster.\Then it was you that jumped, not the Nebula?\The Livlasters are devices capable of Entangle Links, too?\When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived\must be because it phase shifted, via Entangle Link.\Well, anyway...\When you tried to protect the captain, you powered up.\You two boys really are in love. response:	For a second, I was praying to God.
context: Then it was you that jumped, not the Nebula?\The Livlasters are devices capable of Entangle Links, too?\When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived\must be because it phase shifted, via Entangle Link.\Well, anyway...\When you tried to protect the captain, you powered up.\You two boys really are in love.\For a second, I was praying to God. response:	I think, for the first time, I found a God I want to believe in.
context: The Livlasters are devices capable of Entangle Links, too?\When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived\must be because it phase shifted, via Entangle Link.\Well, anyway...\When you tried to protect the captain, you powered up.\You two boys really are in love.\For a second, I was praying to God.\I think, for the first time, I found a God I want to believe in. response:	Thanks to you.
context: When the Nebula Engine was hit by the Boosted Plasmagnum, the reason it survived\must be because it phase shifted, via Entangle Link.\Well, anyway...\When you tried to protect the captain, you powered up.\You two boys really are in love.\For a second, I was praying to God.\I think, for the first time, I found a God I want to believe in.\Thanks to you. response:	If you did that, can I do it, too?
context: must be because it phase shifted, via Entangle Link.\Well, anyway...\When you tried to protect the captain, you powered up.\You two boys really are in love.\For a second, I was praying to God.\I think, for the first time, I found a God I want to believe in.\Thanks to you.\If you did that, can I do it, too? response:	I love the way you can't stand to lose.
context: Well, anyway...\When you tried to protect the captain, you powered up.\You two boys really are in love.\For a second, I was praying to God.\I think, for the first time, I found a God I want to believe in.\Thanks to you.\If you did that, can I do it, too?\I love the way you can't stand to lose. response:	Hey, you said they were inside your dream, right?
context: When you tried to protect the captain, you powered up.\You two boys really are in love.\For a second, I was praying to God.\I think, for the first time, I found a God I want to believe in.\Thanks to you.\If you did that, can I do it, too?\I love the way you can't stand to lose.\Hey, you said they were inside your dream, right? response:	Yeah, during the Entangle Link, they were trying to shake me up inside my dream.
context: You two boys really are in love.\For a second, I was praying to God.\I think, for the first time, I found a God I want to believe in.\Thanks to you.\If you did that, can I do it, too?\I love the way you can't stand to lose.\Hey, you said they were inside your dream, right?\Yeah, during the Entangle Link, they were trying to shake me up inside my dream. response:	Is that really possible?
context: For a second, I was praying to God.\I think, for the first time, I found a God I want to believe in.\Thanks to you.\If you did that, can I do it, too?\I love the way you can't stand to lose.\Hey, you said they were inside your dream, right?\Yeah, during the Entangle Link, they were trying to shake me up inside my dream.\Is that really possible? response:	They have Ego Blocks, so I don't think it's impossible.
context: I think, for the first time, I found a God I want to believe in.\Thanks to you.\If you did that, can I do it, too?\I love the way you can't stand to lose.\Hey, you said they were inside your dream, right?\Yeah, during the Entangle Link, they were trying to shake me up inside my dream.\Is that really possible?\They have Ego Blocks, so I don't think it's impossible. response:	If they've prioritized Operation Summer over attacking the Earth,
context: Thanks to you.\If you did that, can I do it, too?\I love the way you can't stand to lose.\Hey, you said they were inside your dream, right?\Yeah, during the Entangle Link, they were trying to shake me up inside my dream.\Is that really possible?\They have Ego Blocks, so I don't think it's impossible.\If they've prioritized Operation Summer over attacking the Earth, response:	then why?
context: If you did that, can I do it, too?\I love the way you can't stand to lose.\Hey, you said they were inside your dream, right?\Yeah, during the Entangle Link, they were trying to shake me up inside my dream.\Is that really possible?\They have Ego Blocks, so I don't think it's impossible.\If they've prioritized Operation Summer over attacking the Earth,\then why? response:	They've realized that with our power now,
context: I love the way you can't stand to lose.\Hey, you said they were inside your dream, right?\Yeah, during the Entangle Link, they were trying to shake me up inside my dream.\Is that really possible?\They have Ego Blocks, so I don't think it's impossible.\If they've prioritized Operation Summer over attacking the Earth,\then why?\They've realized that with our power now, response:	we can destroy the cocoon inside Auberon.
context: Hey, you said they were inside your dream, right?\Yeah, during the Entangle Link, they were trying to shake me up inside my dream.\Is that really possible?\They have Ego Blocks, so I don't think it's impossible.\If they've prioritized Operation Summer over attacking the Earth,\then why?\They've realized that with our power now,\we can destroy the cocoon inside Auberon. response:	The cocoon at Auberon's center contains the safeguard systems
context: Yeah, during the Entangle Link, they were trying to shake me up inside my dream.\Is that really possible?\They have Ego Blocks, so I don't think it's impossible.\If they've prioritized Operation Summer over attacking the Earth,\then why?\They've realized that with our power now,\we can destroy the cocoon inside Auberon.\The cocoon at Auberon's center contains the safeguard systems response:	for the Ego Blocks, and the core of the mechanical intelligence controlling Auberon.
context: Is that really possible?\They have Ego Blocks, so I don't think it's impossible.\If they've prioritized Operation Summer over attacking the Earth,\then why?\They've realized that with our power now,\we can destroy the cocoon inside Auberon.\The cocoon at Auberon's center contains the safeguard systems\for the Ego Blocks, and the core of the mechanical intelligence controlling Auberon. response:	But there's another reason they wouldn't want it destroyed.
context: They have Ego Blocks, so I don't think it's impossible.\If they've prioritized Operation Summer over attacking the Earth,\then why?\They've realized that with our power now,\we can destroy the cocoon inside Auberon.\The cocoon at Auberon's center contains the safeguard systems\for the Ego Blocks, and the core of the mechanical intelligence controlling Auberon.\But there's another reason they wouldn't want it destroyed. response:	That's right.
context: If they've prioritized Operation Summer over attacking the Earth,\then why?\They've realized that with our power now,\we can destroy the cocoon inside Auberon.\The cocoon at Auberon's center contains the safeguard systems\for the Ego Blocks, and the core of the mechanical intelligence controlling Auberon.\But there's another reason they wouldn't want it destroyed.\That's right. response:	On their own, the Kiltgangs can't Entangle Link through interstellar distances, right?
context: then why?\They've realized that with our power now,\we can destroy the cocoon inside Auberon.\The cocoon at Auberon's center contains the safeguard systems\for the Ego Blocks, and the core of the mechanical intelligence controlling Auberon.\But there's another reason they wouldn't want it destroyed.\That's right.\On their own, the Kiltgangs can't Entangle Link through interstellar distances, right? response:	Yeah.
context: They've realized that with our power now,\we can destroy the cocoon inside Auberon.\The cocoon at Auberon's center contains the safeguard systems\for the Ego Blocks, and the core of the mechanical intelligence controlling Auberon.\But there's another reason they wouldn't want it destroyed.\That's right.\On their own, the Kiltgangs can't Entangle Link through interstellar distances, right?\Yeah. response:	If they lose the cocoon, even if their Ego Blocks are intact,
context: we can destroy the cocoon inside Auberon.\The cocoon at Auberon's center contains the safeguard systems\for the Ego Blocks, and the core of the mechanical intelligence controlling Auberon.\But there's another reason they wouldn't want it destroyed.\That's right.\On their own, the Kiltgangs can't Entangle Link through interstellar distances, right?\Yeah.\If they lose the cocoon, even if their Ego Blocks are intact, response:	they wouldn't be able to leave the Solar System.
context: The cocoon at Auberon's center contains the safeguard systems\for the Ego Blocks, and the core of the mechanical intelligence controlling Auberon.\But there's another reason they wouldn't want it destroyed.\That's right.\On their own, the Kiltgangs can't Entangle Link through interstellar distances, right?\Yeah.\If they lose the cocoon, even if their Ego Blocks are intact,\they wouldn't be able to leave the Solar System. response:	That explosion was really huge, wasn't it?
