context: Endymion... Mother... Usagi has learned everything. response:	Kunzite! You won't always get your way in this world!
context: I am the incarnation of the Moon Goddess, Serene.\I am the Queen of Silver Millennium, Queen Serenity.\I am your mother.\What?! You're my mom?!\What do you mean by that?\I revived Luna and Artemis from their cold sleep,\had them make contact with you\and watched over all of you. response:	We are long-living life forms born on the moon.
context: I am the Queen of Silver Millennium, Queen Serenity.\I am your mother.\What?! You're my mom?!\What do you mean by that?\I revived Luna and Artemis from their cold sleep,\had them make contact with you\and watched over all of you.\We are long-living life forms born on the moon. response:	Our mission is to protect the sacred will passed down to us
context: I am your mother.\What?! You're my mom?!\What do you mean by that?\I revived Luna and Artemis from their cold sleep,\had them make contact with you\and watched over all of you.\We are long-living life forms born on the moon.\Our mission is to protect the sacred will passed down to us response:	on the moon, the legendary Silver Crystal,
context: What?! You're my mom?!\What do you mean by that?\I revived Luna and Artemis from their cold sleep,\had them make contact with you\and watched over all of you.\We are long-living life forms born on the moon.\Our mission is to protect the sacred will passed down to us\on the moon, the legendary Silver Crystal, response:	and to watch over and aid
context: What do you mean by that?\I revived Luna and Artemis from their cold sleep,\had them make contact with you\and watched over all of you.\We are long-living life forms born on the moon.\Our mission is to protect the sacred will passed down to us\on the moon, the legendary Silver Crystal,\and to watch over and aid response:	the progression of Earth's evolution.
context: I revived Luna and Artemis from their cold sleep,\had them make contact with you\and watched over all of you.\We are long-living life forms born on the moon.\Our mission is to protect the sacred will passed down to us\on the moon, the legendary Silver Crystal,\and to watch over and aid\the progression of Earth's evolution. response:	Remember, Serenity...
context: had them make contact with you\and watched over all of you.\We are long-living life forms born on the moon.\Our mission is to protect the sacred will passed down to us\on the moon, the legendary Silver Crystal,\and to watch over and aid\the progression of Earth's evolution.\Remember, Serenity... response:	of the time when you were living as the princess of the moon.
context: and watched over all of you.\We are long-living life forms born on the moon.\Our mission is to protect the sacred will passed down to us\on the moon, the legendary Silver Crystal,\and to watch over and aid\the progression of Earth's evolution.\Remember, Serenity...\of the time when you were living as the princess of the moon. response:	Serenity, you adored the green trees and wind
context: We are long-living life forms born on the moon.\Our mission is to protect the sacred will passed down to us\on the moon, the legendary Silver Crystal,\and to watch over and aid\the progression of Earth's evolution.\Remember, Serenity...\of the time when you were living as the princess of the moon.\Serenity, you adored the green trees and wind response:	of the beautiful blue Earth, and often gazed up at it.
context: Our mission is to protect the sacred will passed down to us\on the moon, the legendary Silver Crystal,\and to watch over and aid\the progression of Earth's evolution.\Remember, Serenity...\of the time when you were living as the princess of the moon.\Serenity, you adored the green trees and wind\of the beautiful blue Earth, and often gazed up at it. response:	Then you found love.
context: on the moon, the legendary Silver Crystal,\and to watch over and aid\the progression of Earth's evolution.\Remember, Serenity...\of the time when you were living as the princess of the moon.\Serenity, you adored the green trees and wind\of the beautiful blue Earth, and often gazed up at it.\Then you found love. response:	Princess Serenity!
context: and to watch over and aid\the progression of Earth's evolution.\Remember, Serenity...\of the time when you were living as the princess of the moon.\Serenity, you adored the green trees and wind\of the beautiful blue Earth, and often gazed up at it.\Then you found love.\Princess Serenity! response:	Prince Endymion!
context: the progression of Earth's evolution.\Remember, Serenity...\of the time when you were living as the princess of the moon.\Serenity, you adored the green trees and wind\of the beautiful blue Earth, and often gazed up at it.\Then you found love.\Princess Serenity!\Prince Endymion! response:	Please pardon me for being late to the ball.
context: Remember, Serenity...\of the time when you were living as the princess of the moon.\Serenity, you adored the green trees and wind\of the beautiful blue Earth, and often gazed up at it.\Then you found love.\Princess Serenity!\Prince Endymion!\Please pardon me for being late to the ball. response:	I have been waiting for you.
context: of the time when you were living as the princess of the moon.\Serenity, you adored the green trees and wind\of the beautiful blue Earth, and often gazed up at it.\Then you found love.\Princess Serenity!\Prince Endymion!\Please pardon me for being late to the ball.\I have been waiting for you. response:	Something terrible has happened.
context: Serenity, you adored the green trees and wind\of the beautiful blue Earth, and often gazed up at it.\Then you found love.\Princess Serenity!\Prince Endymion!\Please pardon me for being late to the ball.\I have been waiting for you.\Something terrible has happened. response:	What?
context: of the beautiful blue Earth, and often gazed up at it.\Then you found love.\Princess Serenity!\Prince Endymion!\Please pardon me for being late to the ball.\I have been waiting for you.\Something terrible has happened.\What? response:	Most of us on Earth have been brainwashed by Beryl.
context: Then you found love.\Princess Serenity!\Prince Endymion!\Please pardon me for being late to the ball.\I have been waiting for you.\Something terrible has happened.\What?\Most of us on Earth have been brainwashed by Beryl. response:	Beryl?
context: Princess Serenity!\Prince Endymion!\Please pardon me for being late to the ball.\I have been waiting for you.\Something terrible has happened.\What?\Most of us on Earth have been brainwashed by Beryl.\Beryl? response:	Beryl has been possessed by an evil energy called Metalia.
context: Prince Endymion!\Please pardon me for being late to the ball.\I have been waiting for you.\Something terrible has happened.\What?\Most of us on Earth have been brainwashed by Beryl.\Beryl?\Beryl has been possessed by an evil energy called Metalia. response:	And now, she is taking advantage of
context: Please pardon me for being late to the ball.\I have been waiting for you.\Something terrible has happened.\What?\Most of us on Earth have been brainwashed by Beryl.\Beryl?\Beryl has been possessed by an evil energy called Metalia.\And now, she is taking advantage of response:	the humans' yearning for the longevity of your people,
context: I have been waiting for you.\Something terrible has happened.\What?\Most of us on Earth have been brainwashed by Beryl.\Beryl?\Beryl has been possessed by an evil energy called Metalia.\And now, she is taking advantage of\the humans' yearning for the longevity of your people, response:	and getting ready to attack the moon!
context: Something terrible has happened.\What?\Most of us on Earth have been brainwashed by Beryl.\Beryl?\Beryl has been possessed by an evil energy called Metalia.\And now, she is taking advantage of\the humans' yearning for the longevity of your people,\and getting ready to attack the moon! response:	Who's there?!
context: What?\Most of us on Earth have been brainwashed by Beryl.\Beryl?\Beryl has been possessed by an evil energy called Metalia.\And now, she is taking advantage of\the humans' yearning for the longevity of your people,\and getting ready to attack the moon!\Who's there?! response:	At the ball...
context: Most of us on Earth have been brainwashed by Beryl.\Beryl?\Beryl has been possessed by an evil energy called Metalia.\And now, she is taking advantage of\the humans' yearning for the longevity of your people,\and getting ready to attack the moon!\Who's there?!\At the ball... response:	Endymion...
context: Beryl?\Beryl has been possessed by an evil energy called Metalia.\And now, she is taking advantage of\the humans' yearning for the longevity of your people,\and getting ready to attack the moon!\Who's there?!\At the ball...\Endymion... response:	Where did everyone else go?!
context: Beryl has been possessed by an evil energy called Metalia.\And now, she is taking advantage of\the humans' yearning for the longevity of your people,\and getting ready to attack the moon!\Who's there?!\At the ball...\Endymion...\Where did everyone else go?! response:	Even if it's only us,
context: And now, she is taking advantage of\the humans' yearning for the longevity of your people,\and getting ready to attack the moon!\Who's there?!\At the ball...\Endymion...\Where did everyone else go?!\Even if it's only us, response:	we have to find the Dark Kingdom's hideout!
context: the humans' yearning for the longevity of your people,\and getting ready to attack the moon!\Who's there?!\At the ball...\Endymion...\Where did everyone else go?!\Even if it's only us,\we have to find the Dark Kingdom's hideout! response:	What is this place?!
context: and getting ready to attack the moon!\Who's there?!\At the ball...\Endymion...\Where did everyone else go?!\Even if it's only us,\we have to find the Dark Kingdom's hideout!\What is this place?! response:	The North Pole?!
context: Who's there?!\At the ball...\Endymion...\Where did everyone else go?!\Even if it's only us,\we have to find the Dark Kingdom's hideout!\What is this place?!\The North Pole?! response:	Princess, may I?
context: At the ball...\Endymion...\Where did everyone else go?!\Even if it's only us,\we have to find the Dark Kingdom's hideout!\What is this place?!\The North Pole?!\Princess, may I? response:	Endymion.
context: Endymion...\Where did everyone else go?!\Even if it's only us,\we have to find the Dark Kingdom's hideout!\What is this place?!\The North Pole?!\Princess, may I?\Endymion. response:	There is no doubt that a bitter war is about to break out
context: Where did everyone else go?!\Even if it's only us,\we have to find the Dark Kingdom's hideout!\What is this place?!\The North Pole?!\Princess, may I?\Endymion.\There is no doubt that a bitter war is about to break out response:	between your people and us Earth people.
context: Even if it's only us,\we have to find the Dark Kingdom's hideout!\What is this place?!\The North Pole?!\Princess, may I?\Endymion.\There is no doubt that a bitter war is about to break out\between your people and us Earth people. response:	I will be your future enemy,
context: we have to find the Dark Kingdom's hideout!\What is this place?!\The North Pole?!\Princess, may I?\Endymion.\There is no doubt that a bitter war is about to break out\between your people and us Earth people.\I will be your future enemy, response:	so it would be bad for my identity to be known now.
context: What is this place?!\The North Pole?!\Princess, may I?\Endymion.\There is no doubt that a bitter war is about to break out\between your people and us Earth people.\I will be your future enemy,\so it would be bad for my identity to be known now. response:	So, please pardon my appearance.
context: The North Pole?!\Princess, may I?\Endymion.\There is no doubt that a bitter war is about to break out\between your people and us Earth people.\I will be your future enemy,\so it would be bad for my identity to be known now.\So, please pardon my appearance. response:	You will be my enemy?
context: Princess, may I?\Endymion.\There is no doubt that a bitter war is about to break out\between your people and us Earth people.\I will be your future enemy,\so it would be bad for my identity to be known now.\So, please pardon my appearance.\You will be my enemy? response:	Metalia is not a human being. She is a mass of evil energy.
context: Endymion.\There is no doubt that a bitter war is about to break out\between your people and us Earth people.\I will be your future enemy,\so it would be bad for my identity to be known now.\So, please pardon my appearance.\You will be my enemy?\Metalia is not a human being. She is a mass of evil energy. response:	Beryl is a witch.
context: There is no doubt that a bitter war is about to break out\between your people and us Earth people.\I will be your future enemy,\so it would be bad for my identity to be known now.\So, please pardon my appearance.\You will be my enemy?\Metalia is not a human being. She is a mass of evil energy.\Beryl is a witch. response:	By using the power of Metalia,
context: between your people and us Earth people.\I will be your future enemy,\so it would be bad for my identity to be known now.\So, please pardon my appearance.\You will be my enemy?\Metalia is not a human being. She is a mass of evil energy.\Beryl is a witch.\By using the power of Metalia, response:	she is trying to conquer the moon and Earth.
context: I will be your future enemy,\so it would be bad for my identity to be known now.\So, please pardon my appearance.\You will be my enemy?\Metalia is not a human being. She is a mass of evil energy.\Beryl is a witch.\By using the power of Metalia,\she is trying to conquer the moon and Earth. response:	If we do nothing, this moon will be destroyed.
context: so it would be bad for my identity to be known now.\So, please pardon my appearance.\You will be my enemy?\Metalia is not a human being. She is a mass of evil energy.\Beryl is a witch.\By using the power of Metalia,\she is trying to conquer the moon and Earth.\If we do nothing, this moon will be destroyed. response:	We must not waste a moment in obliterating Metalia,
context: So, please pardon my appearance.\You will be my enemy?\Metalia is not a human being. She is a mass of evil energy.\Beryl is a witch.\By using the power of Metalia,\she is trying to conquer the moon and Earth.\If we do nothing, this moon will be destroyed.\We must not waste a moment in obliterating Metalia, response:	who possesses an enormous amount of evil energy,
context: You will be my enemy?\Metalia is not a human being. She is a mass of evil energy.\Beryl is a witch.\By using the power of Metalia,\she is trying to conquer the moon and Earth.\If we do nothing, this moon will be destroyed.\We must not waste a moment in obliterating Metalia,\who possesses an enormous amount of evil energy, response:	and crushing Beryl's ambitions!
context: Metalia is not a human being. She is a mass of evil energy.\Beryl is a witch.\By using the power of Metalia,\she is trying to conquer the moon and Earth.\If we do nothing, this moon will be destroyed.\We must not waste a moment in obliterating Metalia,\who possesses an enormous amount of evil energy,\and crushing Beryl's ambitions! response:	I would like your help in this, Serenity.
context: Beryl is a witch.\By using the power of Metalia,\she is trying to conquer the moon and Earth.\If we do nothing, this moon will be destroyed.\We must not waste a moment in obliterating Metalia,\who possesses an enormous amount of evil energy,\and crushing Beryl's ambitions!\I would like your help in this, Serenity. response:	Will you believe what I just told you?
context: By using the power of Metalia,\she is trying to conquer the moon and Earth.\If we do nothing, this moon will be destroyed.\We must not waste a moment in obliterating Metalia,\who possesses an enormous amount of evil energy,\and crushing Beryl's ambitions!\I would like your help in this, Serenity.\Will you believe what I just told you? response:	Yes.
context: she is trying to conquer the moon and Earth.\If we do nothing, this moon will be destroyed.\We must not waste a moment in obliterating Metalia,\who possesses an enormous amount of evil energy,\and crushing Beryl's ambitions!\I would like your help in this, Serenity.\Will you believe what I just told you?\Yes. response:	Serenity...
context: If we do nothing, this moon will be destroyed.\We must not waste a moment in obliterating Metalia,\who possesses an enormous amount of evil energy,\and crushing Beryl's ambitions!\I would like your help in this, Serenity.\Will you believe what I just told you?\Yes.\Serenity... response:	Endymion...
context: We must not waste a moment in obliterating Metalia,\who possesses an enormous amount of evil energy,\and crushing Beryl's ambitions!\I would like your help in this, Serenity.\Will you believe what I just told you?\Yes.\Serenity...\Endymion... response:	It's terrible! It's terrible!
context: who possesses an enormous amount of evil energy,\and crushing Beryl's ambitions!\I would like your help in this, Serenity.\Will you believe what I just told you?\Yes.\Serenity...\Endymion...\It's terrible! It's terrible! response:	The people of Earth are attacking us!
context: and crushing Beryl's ambitions!\I would like your help in this, Serenity.\Will you believe what I just told you?\Yes.\Serenity...\Endymion...\It's terrible! It's terrible!\The people of Earth are attacking us! response:	Bubble
context: I would like your help in this, Serenity.\Will you believe what I just told you?\Yes.\Serenity...\Endymion...\It's terrible! It's terrible!\The people of Earth are attacking us!\Bubble response:	Spray!
context: Will you believe what I just told you?\Yes.\Serenity...\Endymion...\It's terrible! It's terrible!\The people of Earth are attacking us!\Bubble\Spray! response:	Fire
context: Yes.\Serenity...\Endymion...\It's terrible! It's terrible!\The people of Earth are attacking us!\Bubble\Spray!\Fire response:	Soul!
context: Serenity...\Endymion...\It's terrible! It's terrible!\The people of Earth are attacking us!\Bubble\Spray!\Fire\Soul! response:	Supreme
context: Endymion...\It's terrible! It's terrible!\The people of Earth are attacking us!\Bubble\Spray!\Fire\Soul!\Supreme response:	Thunder!
