context: Nana had a red tattoo on her arm. response:	It was the lotus flower, the flower also known as Ren...
context: The clock you got yesterday at Mizukoshi's?\You mean it's broken already?\Nana, I don't think this clock is moving.\It's still at the time it was when I set it last night.\I'm gonna get that Mizukoshi, just as soon as I get to work.\The refrigerator better be working.\Oh good. It's nice and cold.\Were you cooling something? response:	Beer. Want some?
context: You mean it's broken already?\Nana, I don't think this clock is moving.\It's still at the time it was when I set it last night.\I'm gonna get that Mizukoshi, just as soon as I get to work.\The refrigerator better be working.\Oh good. It's nice and cold.\Were you cooling something?\Beer. Want some? response:	Yay!
context: Nana, I don't think this clock is moving.\It's still at the time it was when I set it last night.\I'm gonna get that Mizukoshi, just as soon as I get to work.\The refrigerator better be working.\Oh good. It's nice and cold.\Were you cooling something?\Beer. Want some?\Yay! response:	No, not yay! You got work, remember?
context: It's still at the time it was when I set it last night.\I'm gonna get that Mizukoshi, just as soon as I get to work.\The refrigerator better be working.\Oh good. It's nice and cold.\Were you cooling something?\Beer. Want some?\Yay!\No, not yay! You got work, remember? response:	But I'm thirsty! No, I'm hungry!
context: I'm gonna get that Mizukoshi, just as soon as I get to work.\The refrigerator better be working.\Oh good. It's nice and cold.\Were you cooling something?\Beer. Want some?\Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry! response:	I should have bought something!
context: The refrigerator better be working.\Oh good. It's nice and cold.\Were you cooling something?\Beer. Want some?\Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry!\I should have bought something! response:	By the way, I ate the hamburger.
context: Oh good. It's nice and cold.\Were you cooling something?\Beer. Want some?\Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry!\I should have bought something!\By the way, I ate the hamburger. response:	It was awesome good! Thanks.
context: Were you cooling something?\Beer. Want some?\Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry!\I should have bought something!\By the way, I ate the hamburger.\It was awesome good! Thanks. response:	You ate it all by yourself. Not fair!
context: Beer. Want some?\Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry!\I should have bought something!\By the way, I ate the hamburger.\It was awesome good! Thanks.\You ate it all by yourself. Not fair! response:	Well then, write do not eat on the darn thing next time!
context: Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry!\I should have bought something!\By the way, I ate the hamburger.\It was awesome good! Thanks.\You ate it all by yourself. Not fair!\Well then, write do not eat on the darn thing next time! response:	A present for Nana From Hachi Well then, write do not eat on the darn thing next time!
context: No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry!\I should have bought something!\By the way, I ate the hamburger.\It was awesome good! Thanks.\You ate it all by yourself. Not fair!\Well then, write do not eat on the darn thing next time!\A present for Nana From Hachi Well then, write do not eat on the darn thing next time! response:	I wonder if there's a classy cafe or something like that open right now.
context: But I'm thirsty! No, I'm hungry!\I should have bought something!\By the way, I ate the hamburger.\It was awesome good! Thanks.\You ate it all by yourself. Not fair!\Well then, write do not eat on the darn thing next time!\A present for Nana From Hachi Well then, write do not eat on the darn thing next time!\I wonder if there's a classy cafe or something like that open right now. response:	At this time of the morning? What do you expect?
context: I should have bought something!\By the way, I ate the hamburger.\It was awesome good! Thanks.\You ate it all by yourself. Not fair!\Well then, write do not eat on the darn thing next time!\A present for Nana From Hachi Well then, write do not eat on the darn thing next time!\I wonder if there's a classy cafe or something like that open right now.\At this time of the morning? What do you expect? response:	I'll get you some dog food at the convenience store.
context: By the way, I ate the hamburger.\It was awesome good! Thanks.\You ate it all by yourself. Not fair!\Well then, write do not eat on the darn thing next time!\A present for Nana From Hachi Well then, write do not eat on the darn thing next time!\I wonder if there's a classy cafe or something like that open right now.\At this time of the morning? What do you expect?\I'll get you some dog food at the convenience store. response:	Found a cute bakery!
context: It was awesome good! Thanks.\You ate it all by yourself. Not fair!\Well then, write do not eat on the darn thing next time!\A present for Nana From Hachi Well then, write do not eat on the darn thing next time!\I wonder if there's a classy cafe or something like that open right now.\At this time of the morning? What do you expect?\I'll get you some dog food at the convenience store.\Found a cute bakery! response:	They all look really good! I don't know which one to get!
context: You ate it all by yourself. Not fair!\Well then, write do not eat on the darn thing next time!\A present for Nana From Hachi Well then, write do not eat on the darn thing next time!\I wonder if there's a classy cafe or something like that open right now.\At this time of the morning? What do you expect?\I'll get you some dog food at the convenience store.\Found a cute bakery!\They all look really good! I don't know which one to get! response:	You really do have a good nose, don't you?
context: Well then, write do not eat on the darn thing next time!\A present for Nana From Hachi Well then, write do not eat on the darn thing next time!\I wonder if there's a classy cafe or something like that open right now.\At this time of the morning? What do you expect?\I'll get you some dog food at the convenience store.\Found a cute bakery!\They all look really good! I don't know which one to get!\You really do have a good nose, don't you? response:	Being a dog.
context: A present for Nana From Hachi Well then, write do not eat on the darn thing next time!\I wonder if there's a classy cafe or something like that open right now.\At this time of the morning? What do you expect?\I'll get you some dog food at the convenience store.\Found a cute bakery!\They all look really good! I don't know which one to get!\You really do have a good nose, don't you?\Being a dog. response:	Let's eat by the riverside. It looks so refreshing. A mini-picnic.
context: I wonder if there's a classy cafe or something like that open right now.\At this time of the morning? What do you expect?\I'll get you some dog food at the convenience store.\Found a cute bakery!\They all look really good! I don't know which one to get!\You really do have a good nose, don't you?\Being a dog.\Let's eat by the riverside. It looks so refreshing. A mini-picnic. response:	We need to get a table.
context: At this time of the morning? What do you expect?\I'll get you some dog food at the convenience store.\Found a cute bakery!\They all look really good! I don't know which one to get!\You really do have a good nose, don't you?\Being a dog.\Let's eat by the riverside. It looks so refreshing. A mini-picnic.\We need to get a table. response:	Hey, Nana.
context: I'll get you some dog food at the convenience store.\Found a cute bakery!\They all look really good! I don't know which one to get!\You really do have a good nose, don't you?\Being a dog.\Let's eat by the riverside. It looks so refreshing. A mini-picnic.\We need to get a table.\Hey, Nana. response:	The gas man's coming to open the valve today, isn't he?
context: Found a cute bakery!\They all look really good! I don't know which one to get!\You really do have a good nose, don't you?\Being a dog.\Let's eat by the riverside. It looks so refreshing. A mini-picnic.\We need to get a table.\Hey, Nana.\The gas man's coming to open the valve today, isn't he? response:	Oh yeah. He said he could come in the morning.
context: They all look really good! I don't know which one to get!\You really do have a good nose, don't you?\Being a dog.\Let's eat by the riverside. It looks so refreshing. A mini-picnic.\We need to get a table.\Hey, Nana.\The gas man's coming to open the valve today, isn't he?\Oh yeah. He said he could come in the morning. response:	I'll be at home, so don't you worry about it.
context: You really do have a good nose, don't you?\Being a dog.\Let's eat by the riverside. It looks so refreshing. A mini-picnic.\We need to get a table.\Hey, Nana.\The gas man's coming to open the valve today, isn't he?\Oh yeah. He said he could come in the morning.\I'll be at home, so don't you worry about it. response:	You go to work.
context: Being a dog.\Let's eat by the riverside. It looks so refreshing. A mini-picnic.\We need to get a table.\Hey, Nana.\The gas man's coming to open the valve today, isn't he?\Oh yeah. He said he could come in the morning.\I'll be at home, so don't you worry about it.\You go to work. response:	Your stuff from home is arriving today too, isn't it?
context: Let's eat by the riverside. It looks so refreshing. A mini-picnic.\We need to get a table.\Hey, Nana.\The gas man's coming to open the valve today, isn't he?\Oh yeah. He said he could come in the morning.\I'll be at home, so don't you worry about it.\You go to work.\Your stuff from home is arriving today too, isn't it? response:	I'll be there to accept it.
context: We need to get a table.\Hey, Nana.\The gas man's coming to open the valve today, isn't he?\Oh yeah. He said he could come in the morning.\I'll be at home, so don't you worry about it.\You go to work.\Your stuff from home is arriving today too, isn't it?\I'll be there to accept it. response:	Sorry. I've been leaving everything to you since yesterday.
context: Hey, Nana.\The gas man's coming to open the valve today, isn't he?\Oh yeah. He said he could come in the morning.\I'll be at home, so don't you worry about it.\You go to work.\Your stuff from home is arriving today too, isn't it?\I'll be there to accept it.\Sorry. I've been leaving everything to you since yesterday. response:	No worries.
context: The gas man's coming to open the valve today, isn't he?\Oh yeah. He said he could come in the morning.\I'll be at home, so don't you worry about it.\You go to work.\Your stuff from home is arriving today too, isn't it?\I'll be there to accept it.\Sorry. I've been leaving everything to you since yesterday.\No worries. response:	I got nothing better to do anyway.
context: Oh yeah. He said he could come in the morning.\I'll be at home, so don't you worry about it.\You go to work.\Your stuff from home is arriving today too, isn't it?\I'll be there to accept it.\Sorry. I've been leaving everything to you since yesterday.\No worries.\I got nothing better to do anyway. response:	But still...
context: I'll be at home, so don't you worry about it.\You go to work.\Your stuff from home is arriving today too, isn't it?\I'll be there to accept it.\Sorry. I've been leaving everything to you since yesterday.\No worries.\I got nothing better to do anyway.\But still... response:	What are you going to do about work?
context: You go to work.\Your stuff from home is arriving today too, isn't it?\I'll be there to accept it.\Sorry. I've been leaving everything to you since yesterday.\No worries.\I got nothing better to do anyway.\But still...\What are you going to do about work? response:	Don't you have to find a job?
context: Your stuff from home is arriving today too, isn't it?\I'll be there to accept it.\Sorry. I've been leaving everything to you since yesterday.\No worries.\I got nothing better to do anyway.\But still...\What are you going to do about work?\Don't you have to find a job? response:	If you're not particular, jobs are easy to come by.
context: I'll be there to accept it.\Sorry. I've been leaving everything to you since yesterday.\No worries.\I got nothing better to do anyway.\But still...\What are you going to do about work?\Don't you have to find a job?\If you're not particular, jobs are easy to come by. response:	I wonder if that's true. Like, is life that easy?
context: Sorry. I've been leaving everything to you since yesterday.\No worries.\I got nothing better to do anyway.\But still...\What are you going to do about work?\Don't you have to find a job?\If you're not particular, jobs are easy to come by.\I wonder if that's true. Like, is life that easy? response:	Bought on impulse
context: No worries.\I got nothing better to do anyway.\But still...\What are you going to do about work?\Don't you have to find a job?\If you're not particular, jobs are easy to come by.\I wonder if that's true. Like, is life that easy?\Bought on impulse response:	Bought on impulse I know it's not for me to say, but...
context: I got nothing better to do anyway.\But still...\What are you going to do about work?\Don't you have to find a job?\If you're not particular, jobs are easy to come by.\I wonder if that's true. Like, is life that easy?\Bought on impulse\Bought on impulse I know it's not for me to say, but... response:	Bought on impulse 50's headband I know it's not for me to say, but...
context: But still...\What are you going to do about work?\Don't you have to find a job?\If you're not particular, jobs are easy to come by.\I wonder if that's true. Like, is life that easy?\Bought on impulse\Bought on impulse I know it's not for me to say, but...\Bought on impulse 50's headband I know it's not for me to say, but... response:	Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but...
context: What are you going to do about work?\Don't you have to find a job?\If you're not particular, jobs are easy to come by.\I wonder if that's true. Like, is life that easy?\Bought on impulse\Bought on impulse I know it's not for me to say, but...\Bought on impulse 50's headband I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but... response:	I know it's not for me to say, but...
context: Don't you have to find a job?\If you're not particular, jobs are easy to come by.\I wonder if that's true. Like, is life that easy?\Bought on impulse\Bought on impulse I know it's not for me to say, but...\Bought on impulse 50's headband I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but...\I know it's not for me to say, but... response:	Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet.
context: If you're not particular, jobs are easy to come by.\I wonder if that's true. Like, is life that easy?\Bought on impulse\Bought on impulse I know it's not for me to say, but...\Bought on impulse 50's headband I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but...\I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet. response:	Hello, how are you today?
context: I wonder if that's true. Like, is life that easy?\Bought on impulse\Bought on impulse I know it's not for me to say, but...\Bought on impulse 50's headband I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but...\I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet.\Hello, how are you today? response:	Jun-chan!
context: Bought on impulse\Bought on impulse I know it's not for me to say, but...\Bought on impulse 50's headband I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but...\I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet.\Hello, how are you today?\Jun-chan! response:	This place really suits you.
context: Bought on impulse I know it's not for me to say, but...\Bought on impulse 50's headband I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but...\I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet.\Hello, how are you today?\Jun-chan!\This place really suits you. response:	Shoji came over last night, you know.
context: Bought on impulse 50's headband I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but...\I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet.\Hello, how are you today?\Jun-chan!\This place really suits you.\Shoji came over last night, you know. response:	Said you were going to be working here,
context: Bought on impulse 50's headband 70's dress and shoes I know it's not for me to say, but...\I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet.\Hello, how are you today?\Jun-chan!\This place really suits you.\Shoji came over last night, you know.\Said you were going to be working here, response:	so I thought I'd come by and check it out.
context: I know it's not for me to say, but...\Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet.\Hello, how are you today?\Jun-chan!\This place really suits you.\Shoji came over last night, you know.\Said you were going to be working here,\so I thought I'd come by and check it out. response:	It's good to see you got a good job.
context: Bought on impulse 50's headband 70's dress and shoes Hasn't been paid yet.\Hello, how are you today?\Jun-chan!\This place really suits you.\Shoji came over last night, you know.\Said you were going to be working here,\so I thought I'd come by and check it out.\It's good to see you got a good job. response:	Oh, so Shoji went over to your place after that!
context: Hello, how are you today?\Jun-chan!\This place really suits you.\Shoji came over last night, you know.\Said you were going to be working here,\so I thought I'd come by and check it out.\It's good to see you got a good job.\Oh, so Shoji went over to your place after that! response:	Yup. He spent the rest of the night
context: Jun-chan!\This place really suits you.\Shoji came over last night, you know.\Said you were going to be working here,\so I thought I'd come by and check it out.\It's good to see you got a good job.\Oh, so Shoji went over to your place after that!\Yup. He spent the rest of the night response:	drinking with Kyosuke until morning.
context: This place really suits you.\Shoji came over last night, you know.\Said you were going to be working here,\so I thought I'd come by and check it out.\It's good to see you got a good job.\Oh, so Shoji went over to your place after that!\Yup. He spent the rest of the night\drinking with Kyosuke until morning. response:	Oh good. I really didn't know what I would do
context: Shoji came over last night, you know.\Said you were going to be working here,\so I thought I'd come by and check it out.\It's good to see you got a good job.\Oh, so Shoji went over to your place after that!\Yup. He spent the rest of the night\drinking with Kyosuke until morning.\Oh good. I really didn't know what I would do response:	if he had gone to Sachiko's.
context: Said you were going to be working here,\so I thought I'd come by and check it out.\It's good to see you got a good job.\Oh, so Shoji went over to your place after that!\Yup. He spent the rest of the night\drinking with Kyosuke until morning.\Oh good. I really didn't know what I would do\if he had gone to Sachiko's. response:	Who's Sachiko?
context: so I thought I'd come by and check it out.\It's good to see you got a good job.\Oh, so Shoji went over to your place after that!\Yup. He spent the rest of the night\drinking with Kyosuke until morning.\Oh good. I really didn't know what I would do\if he had gone to Sachiko's.\Who's Sachiko? response:	She's like an apprentice of the Demon Lord.
context: It's good to see you got a good job.\Oh, so Shoji went over to your place after that!\Yup. He spent the rest of the night\drinking with Kyosuke until morning.\Oh good. I really didn't know what I would do\if he had gone to Sachiko's.\Who's Sachiko?\She's like an apprentice of the Demon Lord. response:	If it makes it easier to understand, she's kinda like the Muddy Mistress?
context: Oh, so Shoji went over to your place after that!\Yup. He spent the rest of the night\drinking with Kyosuke until morning.\Oh good. I really didn't know what I would do\if he had gone to Sachiko's.\Who's Sachiko?\She's like an apprentice of the Demon Lord.\If it makes it easier to understand, she's kinda like the Muddy Mistress? response:	I have no idea what you're saying.
context: Yup. He spent the rest of the night\drinking with Kyosuke until morning.\Oh good. I really didn't know what I would do\if he had gone to Sachiko's.\Who's Sachiko?\She's like an apprentice of the Demon Lord.\If it makes it easier to understand, she's kinda like the Muddy Mistress?\I have no idea what you're saying. response:	Nana, is this your friend?
context: drinking with Kyosuke until morning.\Oh good. I really didn't know what I would do\if he had gone to Sachiko's.\Who's Sachiko?\She's like an apprentice of the Demon Lord.\If it makes it easier to understand, she's kinda like the Muddy Mistress?\I have no idea what you're saying.\Nana, is this your friend? response:	Nice to see you, I'm Mizukoshi. I run the joint.
context: Oh good. I really didn't know what I would do\if he had gone to Sachiko's.\Who's Sachiko?\She's like an apprentice of the Demon Lord.\If it makes it easier to understand, she's kinda like the Muddy Mistress?\I have no idea what you're saying.\Nana, is this your friend?\Nice to see you, I'm Mizukoshi. I run the joint. response:	Oh, Mr. Mizukoshi, this is my best friend Jun-chan.
context: if he had gone to Sachiko's.\Who's Sachiko?\She's like an apprentice of the Demon Lord.\If it makes it easier to understand, she's kinda like the Muddy Mistress?\I have no idea what you're saying.\Nana, is this your friend?\Nice to see you, I'm Mizukoshi. I run the joint.\Oh, Mr. Mizukoshi, this is my best friend Jun-chan. response:	She's an art student.
context: Who's Sachiko?\She's like an apprentice of the Demon Lord.\If it makes it easier to understand, she's kinda like the Muddy Mistress?\I have no idea what you're saying.\Nana, is this your friend?\Nice to see you, I'm Mizukoshi. I run the joint.\Oh, Mr. Mizukoshi, this is my best friend Jun-chan.\She's an art student. response:	Thank you for looking after Nana.
context: She's like an apprentice of the Demon Lord.\If it makes it easier to understand, she's kinda like the Muddy Mistress?\I have no idea what you're saying.\Nana, is this your friend?\Nice to see you, I'm Mizukoshi. I run the joint.\Oh, Mr. Mizukoshi, this is my best friend Jun-chan.\She's an art student.\Thank you for looking after Nana. response:	Jun-chan? Not Kyu, Japanese for nine?
context: If it makes it easier to understand, she's kinda like the Muddy Mistress?\I have no idea what you're saying.\Nana, is this your friend?\Nice to see you, I'm Mizukoshi. I run the joint.\Oh, Mr. Mizukoshi, this is my best friend Jun-chan.\She's an art student.\Thank you for looking after Nana.\Jun-chan? Not Kyu, Japanese for nine? response:	Stop that, Mr. Mizukoshi.
context: I have no idea what you're saying.\Nana, is this your friend?\Nice to see you, I'm Mizukoshi. I run the joint.\Oh, Mr. Mizukoshi, this is my best friend Jun-chan.\She's an art student.\Thank you for looking after Nana.\Jun-chan? Not Kyu, Japanese for nine?\Stop that, Mr. Mizukoshi. response:	By the way, Hachi...
context: Nana, is this your friend?\Nice to see you, I'm Mizukoshi. I run the joint.\Oh, Mr. Mizukoshi, this is my best friend Jun-chan.\She's an art student.\Thank you for looking after Nana.\Jun-chan? Not Kyu, Japanese for nine?\Stop that, Mr. Mizukoshi.\By the way, Hachi... response:	- Hachi? - About this clock.
