context: It comes! From the forest! response:	Slayer! Please!
context: Simply put, he's saving us work.\Make him gather lots and lots, then take them all from him.\Inuyasha...\The more Sacred Jewel fragments he gathers...\the stronger Naraku becomes!\Then it'll be too late!\We must hurry and gather lots ourselves.\Cripes! Even a kid like me knows that! response:	You were really born without a brain!
context: Make him gather lots and lots, then take them all from him.\Inuyasha...\The more Sacred Jewel fragments he gathers...\the stronger Naraku becomes!\Then it'll be too late!\We must hurry and gather lots ourselves.\Cripes! Even a kid like me knows that!\You were really born without a brain! response:	What?! Say that again!
context: Inuyasha...\The more Sacred Jewel fragments he gathers...\the stronger Naraku becomes!\Then it'll be too late!\We must hurry and gather lots ourselves.\Cripes! Even a kid like me knows that!\You were really born without a brain!\What?! Say that again! response:	Inuyasha, what will you do when you gather all the fragments?
context: The more Sacred Jewel fragments he gathers...\the stronger Naraku becomes!\Then it'll be too late!\We must hurry and gather lots ourselves.\Cripes! Even a kid like me knows that!\You were really born without a brain!\What?! Say that again!\Inuyasha, what will you do when you gather all the fragments? response:	Isn't it obvious?
context: the stronger Naraku becomes!\Then it'll be too late!\We must hurry and gather lots ourselves.\Cripes! Even a kid like me knows that!\You were really born without a brain!\What?! Say that again!\Inuyasha, what will you do when you gather all the fragments?\Isn't it obvious? response:	I'm gonna become a full-fledged demon!
context: Then it'll be too late!\We must hurry and gather lots ourselves.\Cripes! Even a kid like me knows that!\You were really born without a brain!\What?! Say that again!\Inuyasha, what will you do when you gather all the fragments?\Isn't it obvious?\I'm gonna become a full-fledged demon! response:	Ohh... Is that all?
context: We must hurry and gather lots ourselves.\Cripes! Even a kid like me knows that!\You were really born without a brain!\What?! Say that again!\Inuyasha, what will you do when you gather all the fragments?\Isn't it obvious?\I'm gonna become a full-fledged demon!\Ohh... Is that all? response:	Can't do a thing when you're weak.
context: Cripes! Even a kid like me knows that!\You were really born without a brain!\What?! Say that again!\Inuyasha, what will you do when you gather all the fragments?\Isn't it obvious?\I'm gonna become a full-fledged demon!\Ohh... Is that all?\Can't do a thing when you're weak. response:	If there's a guy you don't care for...
context: You were really born without a brain!\What?! Say that again!\Inuyasha, what will you do when you gather all the fragments?\Isn't it obvious?\I'm gonna become a full-fledged demon!\Ohh... Is that all?\Can't do a thing when you're weak.\If there's a guy you don't care for... response:	what's the sense if you lose to him?
context: What?! Say that again!\Inuyasha, what will you do when you gather all the fragments?\Isn't it obvious?\I'm gonna become a full-fledged demon!\Ohh... Is that all?\Can't do a thing when you're weak.\If there's a guy you don't care for...\what's the sense if you lose to him? response:	However, Inuyasha...
context: Inuyasha, what will you do when you gather all the fragments?\Isn't it obvious?\I'm gonna become a full-fledged demon!\Ohh... Is that all?\Can't do a thing when you're weak.\If there's a guy you don't care for...\what's the sense if you lose to him?\However, Inuyasha... response:	When you become a true demon with the sacred jewel...
context: Isn't it obvious?\I'm gonna become a full-fledged demon!\Ohh... Is that all?\Can't do a thing when you're weak.\If there's a guy you don't care for...\what's the sense if you lose to him?\However, Inuyasha...\When you become a true demon with the sacred jewel... response:	will you be able to remain as you are?
context: I'm gonna become a full-fledged demon!\Ohh... Is that all?\Can't do a thing when you're weak.\If there's a guy you don't care for...\what's the sense if you lose to him?\However, Inuyasha...\When you become a true demon with the sacred jewel...\will you be able to remain as you are? response:	W-what do you mean?
context: Ohh... Is that all?\Can't do a thing when you're weak.\If there's a guy you don't care for...\what's the sense if you lose to him?\However, Inuyasha...\When you become a true demon with the sacred jewel...\will you be able to remain as you are?\W-what do you mean? response:	Have you ever seen anyone using the Sacred Jewel fragments...
context: Can't do a thing when you're weak.\If there's a guy you don't care for...\what's the sense if you lose to him?\However, Inuyasha...\When you become a true demon with the sacred jewel...\will you be able to remain as you are?\W-what do you mean?\Have you ever seen anyone using the Sacred Jewel fragments... response:	to do good deeds?
context: If there's a guy you don't care for...\what's the sense if you lose to him?\However, Inuyasha...\When you become a true demon with the sacred jewel...\will you be able to remain as you are?\W-what do you mean?\Have you ever seen anyone using the Sacred Jewel fragments...\to do good deeds? response:	This is what I believe...
context: what's the sense if you lose to him?\However, Inuyasha...\When you become a true demon with the sacred jewel...\will you be able to remain as you are?\W-what do you mean?\Have you ever seen anyone using the Sacred Jewel fragments...\to do good deeds?\This is what I believe... response:	Those who seek the Sacred Jewel, lose their hearts in the process.
context: However, Inuyasha...\When you become a true demon with the sacred jewel...\will you be able to remain as you are?\W-what do you mean?\Have you ever seen anyone using the Sacred Jewel fragments...\to do good deeds?\This is what I believe...\Those who seek the Sacred Jewel, lose their hearts in the process. response:	I don't remember ever saying...
context: When you become a true demon with the sacred jewel...\will you be able to remain as you are?\W-what do you mean?\Have you ever seen anyone using the Sacred Jewel fragments...\to do good deeds?\This is what I believe...\Those who seek the Sacred Jewel, lose their hearts in the process.\I don't remember ever saying... response:	that I want to become a good demon.
context: will you be able to remain as you are?\W-what do you mean?\Have you ever seen anyone using the Sacred Jewel fragments...\to do good deeds?\This is what I believe...\Those who seek the Sacred Jewel, lose their hearts in the process.\I don't remember ever saying...\that I want to become a good demon. response:	However... you want to protect Kagome.
context: W-what do you mean?\Have you ever seen anyone using the Sacred Jewel fragments...\to do good deeds?\This is what I believe...\Those who seek the Sacred Jewel, lose their hearts in the process.\I don't remember ever saying...\that I want to become a good demon.\However... you want to protect Kagome. response:	And that's why you want power.
context: Have you ever seen anyone using the Sacred Jewel fragments...\to do good deeds?\This is what I believe...\Those who seek the Sacred Jewel, lose their hearts in the process.\I don't remember ever saying...\that I want to become a good demon.\However... you want to protect Kagome.\And that's why you want power. response:	But when you use the Jewel's power to become a demon...
context: to do good deeds?\This is what I believe...\Those who seek the Sacred Jewel, lose their hearts in the process.\I don't remember ever saying...\that I want to become a good demon.\However... you want to protect Kagome.\And that's why you want power.\But when you use the Jewel's power to become a demon... response:	you may just end up devouring Shippo and Kagome.
context: This is what I believe...\Those who seek the Sacred Jewel, lose their hearts in the process.\I don't remember ever saying...\that I want to become a good demon.\However... you want to protect Kagome.\And that's why you want power.\But when you use the Jewel's power to become a demon...\you may just end up devouring Shippo and Kagome. response:	Me, too?!
context: Those who seek the Sacred Jewel, lose their hearts in the process.\I don't remember ever saying...\that I want to become a good demon.\However... you want to protect Kagome.\And that's why you want power.\But when you use the Jewel's power to become a demon...\you may just end up devouring Shippo and Kagome.\Me, too?! response:	What about you, Miroku?
context: I don't remember ever saying...\that I want to become a good demon.\However... you want to protect Kagome.\And that's why you want power.\But when you use the Jewel's power to become a demon...\you may just end up devouring Shippo and Kagome.\Me, too?!\What about you, Miroku? response:	I would have run away long before that.
context: that I want to become a good demon.\However... you want to protect Kagome.\And that's why you want power.\But when you use the Jewel's power to become a demon...\you may just end up devouring Shippo and Kagome.\Me, too?!\What about you, Miroku?\I would have run away long before that. response:	Stupid!
context: However... you want to protect Kagome.\And that's why you want power.\But when you use the Jewel's power to become a demon...\you may just end up devouring Shippo and Kagome.\Me, too?!\What about you, Miroku?\I would have run away long before that.\Stupid! response:	All the demons I fought until now...
context: And that's why you want power.\But when you use the Jewel's power to become a demon...\you may just end up devouring Shippo and Kagome.\Me, too?!\What about you, Miroku?\I would have run away long before that.\Stupid!\All the demons I fought until now... response:	were bad from the start.
context: But when you use the Jewel's power to become a demon...\you may just end up devouring Shippo and Kagome.\Me, too?!\What about you, Miroku?\I would have run away long before that.\Stupid!\All the demons I fought until now...\were bad from the start. response:	That's all it is!
context: you may just end up devouring Shippo and Kagome.\Me, too?!\What about you, Miroku?\I would have run away long before that.\Stupid!\All the demons I fought until now...\were bad from the start.\That's all it is! response:	But I'm different!
context: Me, too?!\What about you, Miroku?\I would have run away long before that.\Stupid!\All the demons I fought until now...\were bad from the start.\That's all it is!\But I'm different! response:	Inuyasha...
context: What about you, Miroku?\I would have run away long before that.\Stupid!\All the demons I fought until now...\were bad from the start.\That's all it is!\But I'm different!\Inuyasha... response:	What?! A woman had a Jewel fragment?!
context: I would have run away long before that.\Stupid!\All the demons I fought until now...\were bad from the start.\That's all it is!\But I'm different!\Inuyasha...\What?! A woman had a Jewel fragment?! response:	When was this?
context: Stupid!\All the demons I fought until now...\were bad from the start.\That's all it is!\But I'm different!\Inuyasha...\What?! A woman had a Jewel fragment?!\When was this? response:	When?! Answer me!
context: All the demons I fought until now...\were bad from the start.\That's all it is!\But I'm different!\Inuyasha...\What?! A woman had a Jewel fragment?!\When was this?\When?! Answer me! response:	Another demon!
context: were bad from the start.\That's all it is!\But I'm different!\Inuyasha...\What?! A woman had a Jewel fragment?!\When was this?\When?! Answer me!\Another demon! response:	We must hire the Slayer!
context: That's all it is!\But I'm different!\Inuyasha...\What?! A woman had a Jewel fragment?!\When was this?\When?! Answer me!\Another demon!\We must hire the Slayer! response:	A giant centipede!
context: But I'm different!\Inuyasha...\What?! A woman had a Jewel fragment?!\When was this?\When?! Answer me!\Another demon!\We must hire the Slayer!\A giant centipede! response:	Me?! A centipede?!
context: Inuyasha...\What?! A woman had a Jewel fragment?!\When was this?\When?! Answer me!\Another demon!\We must hire the Slayer!\A giant centipede!\Me?! A centipede?! response:	A Demon Slayer?
context: What?! A woman had a Jewel fragment?!\When was this?\When?! Answer me!\Another demon!\We must hire the Slayer!\A giant centipede!\Me?! A centipede?!\A Demon Slayer? response:	Hmm...
context: When was this?\When?! Answer me!\Another demon!\We must hire the Slayer!\A giant centipede!\Me?! A centipede?!\A Demon Slayer?\Hmm... response:	Someone actually makes a living slaying demons?
context: When?! Answer me!\Another demon!\We must hire the Slayer!\A giant centipede!\Me?! A centipede?!\A Demon Slayer?\Hmm...\Someone actually makes a living slaying demons? response:	And this Slayer gathers the Sacred Jewel fragments?
context: Another demon!\We must hire the Slayer!\A giant centipede!\Me?! A centipede?!\A Demon Slayer?\Hmm...\Someone actually makes a living slaying demons?\And this Slayer gathers the Sacred Jewel fragments? response:	Uh-huh... She says that this Sacred Whatever...
context: We must hire the Slayer!\A giant centipede!\Me?! A centipede?!\A Demon Slayer?\Hmm...\Someone actually makes a living slaying demons?\And this Slayer gathers the Sacred Jewel fragments?\Uh-huh... She says that this Sacred Whatever... response:	originally appeared in her province.
context: A giant centipede!\Me?! A centipede?!\A Demon Slayer?\Hmm...\Someone actually makes a living slaying demons?\And this Slayer gathers the Sacred Jewel fragments?\Uh-huh... She says that this Sacred Whatever...\originally appeared in her province. response:	Yeah...
context: Me?! A centipede?!\A Demon Slayer?\Hmm...\Someone actually makes a living slaying demons?\And this Slayer gathers the Sacred Jewel fragments?\Uh-huh... She says that this Sacred Whatever...\originally appeared in her province.\Yeah... response:	Did you know this, Inuyasha?
context: A Demon Slayer?\Hmm...\Someone actually makes a living slaying demons?\And this Slayer gathers the Sacred Jewel fragments?\Uh-huh... She says that this Sacred Whatever...\originally appeared in her province.\Yeah...\Did you know this, Inuyasha? response:	Err... No.
context: Hmm...\Someone actually makes a living slaying demons?\And this Slayer gathers the Sacred Jewel fragments?\Uh-huh... She says that this Sacred Whatever...\originally appeared in her province.\Yeah...\Did you know this, Inuyasha?\Err... No. response:	When I first came across the Sacred Jewel...
context: Someone actually makes a living slaying demons?\And this Slayer gathers the Sacred Jewel fragments?\Uh-huh... She says that this Sacred Whatever...\originally appeared in her province.\Yeah...\Did you know this, Inuyasha?\Err... No.\When I first came across the Sacred Jewel... response:	it was already in Kikyo's possession.
context: And this Slayer gathers the Sacred Jewel fragments?\Uh-huh... She says that this Sacred Whatever...\originally appeared in her province.\Yeah...\Did you know this, Inuyasha?\Err... No.\When I first came across the Sacred Jewel...\it was already in Kikyo's possession. response:	I never even thought about...
context: Uh-huh... She says that this Sacred Whatever...\originally appeared in her province.\Yeah...\Did you know this, Inuyasha?\Err... No.\When I first came across the Sacred Jewel...\it was already in Kikyo's possession.\I never even thought about... response:	how the Jewel was made or where it came from.
context: originally appeared in her province.\Yeah...\Did you know this, Inuyasha?\Err... No.\When I first came across the Sacred Jewel...\it was already in Kikyo's possession.\I never even thought about...\how the Jewel was made or where it came from. response:	Hello.
context: Yeah...\Did you know this, Inuyasha?\Err... No.\When I first came across the Sacred Jewel...\it was already in Kikyo's possession.\I never even thought about...\how the Jewel was made or where it came from.\Hello. response:	What was your prey?
context: Did you know this, Inuyasha?\Err... No.\When I first came across the Sacred Jewel...\it was already in Kikyo's possession.\I never even thought about...\how the Jewel was made or where it came from.\Hello.\What was your prey? response:	A giant centipede.
context: Err... No.\When I first came across the Sacred Jewel...\it was already in Kikyo's possession.\I never even thought about...\how the Jewel was made or where it came from.\Hello.\What was your prey?\A giant centipede. response:	It's not much, but I brought back the legs and skin.
context: When I first came across the Sacred Jewel...\it was already in Kikyo's possession.\I never even thought about...\how the Jewel was made or where it came from.\Hello.\What was your prey?\A giant centipede.\It's not much, but I brought back the legs and skin. response:	You can use it for an armor.
context: it was already in Kikyo's possession.\I never even thought about...\how the Jewel was made or where it came from.\Hello.\What was your prey?\A giant centipede.\It's not much, but I brought back the legs and skin.\You can use it for an armor. response:	Good girl, Kirara. Have you been good?
context: I never even thought about...\how the Jewel was made or where it came from.\Hello.\What was your prey?\A giant centipede.\It's not much, but I brought back the legs and skin.\You can use it for an armor.\Good girl, Kirara. Have you been good? response:	Hi, Kohaku.
context: how the Jewel was made or where it came from.\Hello.\What was your prey?\A giant centipede.\It's not much, but I brought back the legs and skin.\You can use it for an armor.\Good girl, Kirara. Have you been good?\Hi, Kohaku. response:	Father... I mean the Chief wants to see you.
context: Hello.\What was your prey?\A giant centipede.\It's not much, but I brought back the legs and skin.\You can use it for an armor.\Good girl, Kirara. Have you been good?\Hi, Kohaku.\Father... I mean the Chief wants to see you. response:	I see... So you found a fragment of the Sacred Jewel.
context: What was your prey?\A giant centipede.\It's not much, but I brought back the legs and skin.\You can use it for an armor.\Good girl, Kirara. Have you been good?\Hi, Kohaku.\Father... I mean the Chief wants to see you.\I see... So you found a fragment of the Sacred Jewel. response:	Good work, Sango.
context: A giant centipede.\It's not much, but I brought back the legs and skin.\You can use it for an armor.\Good girl, Kirara. Have you been good?\Hi, Kohaku.\Father... I mean the Chief wants to see you.\I see... So you found a fragment of the Sacred Jewel.\Good work, Sango. response:	Let's see...
context: It's not much, but I brought back the legs and skin.\You can use it for an armor.\Good girl, Kirara. Have you been good?\Hi, Kohaku.\Father... I mean the Chief wants to see you.\I see... So you found a fragment of the Sacred Jewel.\Good work, Sango.\Let's see... response:	Father, will that be enough to suppress the evil within the Jewel?
context: You can use it for an armor.\Good girl, Kirara. Have you been good?\Hi, Kohaku.\Father... I mean the Chief wants to see you.\I see... So you found a fragment of the Sacred Jewel.\Good work, Sango.\Let's see...\Father, will that be enough to suppress the evil within the Jewel? response:	Probably not.
context: Good girl, Kirara. Have you been good?\Hi, Kohaku.\Father... I mean the Chief wants to see you.\I see... So you found a fragment of the Sacred Jewel.\Good work, Sango.\Let's see...\Father, will that be enough to suppress the evil within the Jewel?\Probably not. response:	I doubt it.
context: Hi, Kohaku.\Father... I mean the Chief wants to see you.\I see... So you found a fragment of the Sacred Jewel.\Good work, Sango.\Let's see...\Father, will that be enough to suppress the evil within the Jewel?\Probably not.\I doubt it. response:	About fifty years ago, it was supposedly turned over...
context: Father... I mean the Chief wants to see you.\I see... So you found a fragment of the Sacred Jewel.\Good work, Sango.\Let's see...\Father, will that be enough to suppress the evil within the Jewel?\Probably not.\I doubt it.\About fifty years ago, it was supposedly turned over... response:	to a priestess with unusual powers for purification.
context: I see... So you found a fragment of the Sacred Jewel.\Good work, Sango.\Let's see...\Father, will that be enough to suppress the evil within the Jewel?\Probably not.\I doubt it.\About fifty years ago, it was supposedly turned over...\to a priestess with unusual powers for purification. response:	But even that priestess became...
context: Good work, Sango.\Let's see...\Father, will that be enough to suppress the evil within the Jewel?\Probably not.\I doubt it.\About fifty years ago, it was supposedly turned over...\to a priestess with unusual powers for purification.\But even that priestess became... response:	embroiled in a fight over the Jewel and died.
context: Let's see...\Father, will that be enough to suppress the evil within the Jewel?\Probably not.\I doubt it.\About fifty years ago, it was supposedly turned over...\to a priestess with unusual powers for purification.\But even that priestess became...\embroiled in a fight over the Jewel and died. response:	All we can do is...
context: Father, will that be enough to suppress the evil within the Jewel?\Probably not.\I doubt it.\About fifty years ago, it was supposedly turned over...\to a priestess with unusual powers for purification.\But even that priestess became...\embroiled in a fight over the Jewel and died.\All we can do is... response:	until someone is found who has the power to purify the Jewel...
context: Probably not.\I doubt it.\About fifty years ago, it was supposedly turned over...\to a priestess with unusual powers for purification.\But even that priestess became...\embroiled in a fight over the Jewel and died.\All we can do is...\until someone is found who has the power to purify the Jewel... response:	we must gather the fragments and keep watch over them.
context: I doubt it.\About fifty years ago, it was supposedly turned over...\to a priestess with unusual powers for purification.\But even that priestess became...\embroiled in a fight over the Jewel and died.\All we can do is...\until someone is found who has the power to purify the Jewel...\we must gather the fragments and keep watch over them. response:	The power to purify the Jewel...?
context: About fifty years ago, it was supposedly turned over...\to a priestess with unusual powers for purification.\But even that priestess became...\embroiled in a fight over the Jewel and died.\All we can do is...\until someone is found who has the power to purify the Jewel...\we must gather the fragments and keep watch over them.\The power to purify the Jewel...? response:	Rest a bit. We'll be needing you very shortly.
context: to a priestess with unusual powers for purification.\But even that priestess became...\embroiled in a fight over the Jewel and died.\All we can do is...\until someone is found who has the power to purify the Jewel...\we must gather the fragments and keep watch over them.\The power to purify the Jewel...?\Rest a bit. We'll be needing you very shortly. response:	Okay.
context: But even that priestess became...\embroiled in a fight over the Jewel and died.\All we can do is...\until someone is found who has the power to purify the Jewel...\we must gather the fragments and keep watch over them.\The power to purify the Jewel...?\Rest a bit. We'll be needing you very shortly.\Okay. response:	Kohaku, make ready too.
context: embroiled in a fight over the Jewel and died.\All we can do is...\until someone is found who has the power to purify the Jewel...\we must gather the fragments and keep watch over them.\The power to purify the Jewel...?\Rest a bit. We'll be needing you very shortly.\Okay.\Kohaku, make ready too. response:	Huh? Me?
context: All we can do is...\until someone is found who has the power to purify the Jewel...\we must gather the fragments and keep watch over them.\The power to purify the Jewel...?\Rest a bit. We'll be needing you very shortly.\Okay.\Kohaku, make ready too.\Huh? Me? response:	You are already eleven.
context: until someone is found who has the power to purify the Jewel...\we must gather the fragments and keep watch over them.\The power to purify the Jewel...?\Rest a bit. We'll be needing you very shortly.\Okay.\Kohaku, make ready too.\Huh? Me?\You are already eleven. response:	It's time you got some real battle experience.
context: we must gather the fragments and keep watch over them.\The power to purify the Jewel...?\Rest a bit. We'll be needing you very shortly.\Okay.\Kohaku, make ready too.\Huh? Me?\You are already eleven.\It's time you got some real battle experience. response:	Sister...
context: The power to purify the Jewel...?\Rest a bit. We'll be needing you very shortly.\Okay.\Kohaku, make ready too.\Huh? Me?\You are already eleven.\It's time you got some real battle experience.\Sister... response:	Hmm?
context: Rest a bit. We'll be needing you very shortly.\Okay.\Kohaku, make ready too.\Huh? Me?\You are already eleven.\It's time you got some real battle experience.\Sister...\Hmm? response:	Do demons really spit out toxins and fire?
context: Okay.\Kohaku, make ready too.\Huh? Me?\You are already eleven.\It's time you got some real battle experience.\Sister...\Hmm?\Do demons really spit out toxins and fire? response:	Sometimes.
context: Kohaku, make ready too.\Huh? Me?\You are already eleven.\It's time you got some real battle experience.\Sister...\Hmm?\Do demons really spit out toxins and fire?\Sometimes. response:	I see...
context: Huh? Me?\You are already eleven.\It's time you got some real battle experience.\Sister...\Hmm?\Do demons really spit out toxins and fire?\Sometimes.\I see... response:	Kohaku... Are you afraid?
context: You are already eleven.\It's time you got some real battle experience.\Sister...\Hmm?\Do demons really spit out toxins and fire?\Sometimes.\I see...\Kohaku... Are you afraid? response:	N-no...
context: It's time you got some real battle experience.\Sister...\Hmm?\Do demons really spit out toxins and fire?\Sometimes.\I see...\Kohaku... Are you afraid?\N-no... response:	Don't worry!
context: Sister...\Hmm?\Do demons really spit out toxins and fire?\Sometimes.\I see...\Kohaku... Are you afraid?\N-no...\Don't worry! response:	We slay large serpents and spiders.
context: Hmm?\Do demons really spit out toxins and fire?\Sometimes.\I see...\Kohaku... Are you afraid?\N-no...\Don't worry!\We slay large serpents and spiders. response:	Father always says...
context: Do demons really spit out toxins and fire?\Sometimes.\I see...\Kohaku... Are you afraid?\N-no...\Don't worry!\We slay large serpents and spiders.\Father always says... response:	the demons to fear most...
context: Sometimes.\I see...\Kohaku... Are you afraid?\N-no...\Don't worry!\We slay large serpents and spiders.\Father always says...\the demons to fear most... response:	are the ones pretending to be humans.
context: I see...\Kohaku... Are you afraid?\N-no...\Don't worry!\We slay large serpents and spiders.\Father always says...\the demons to fear most...\are the ones pretending to be humans. response:	And if such demons get a hold of the Jewel...
context: Kohaku... Are you afraid?\N-no...\Don't worry!\We slay large serpents and spiders.\Father always says...\the demons to fear most...\are the ones pretending to be humans.\And if such demons get a hold of the Jewel... response:	terrible things would happen.
context: N-no...\Don't worry!\We slay large serpents and spiders.\Father always says...\the demons to fear most...\are the ones pretending to be humans.\And if such demons get a hold of the Jewel...\terrible things would happen. response:	Nightly, a giant spider terrorizes this castle...
context: Don't worry!\We slay large serpents and spiders.\Father always says...\the demons to fear most...\are the ones pretending to be humans.\And if such demons get a hold of the Jewel...\terrible things would happen.\Nightly, a giant spider terrorizes this castle... response:	and has eaten several of our people.
context: We slay large serpents and spiders.\Father always says...\the demons to fear most...\are the ones pretending to be humans.\And if such demons get a hold of the Jewel...\terrible things would happen.\Nightly, a giant spider terrorizes this castle...\and has eaten several of our people. response:	Will you be able to destroy it?
context: Father always says...\the demons to fear most...\are the ones pretending to be humans.\And if such demons get a hold of the Jewel...\terrible things would happen.\Nightly, a giant spider terrorizes this castle...\and has eaten several of our people.\Will you be able to destroy it? response:	Leave it to me.
context: the demons to fear most...\are the ones pretending to be humans.\And if such demons get a hold of the Jewel...\terrible things would happen.\Nightly, a giant spider terrorizes this castle...\and has eaten several of our people.\Will you be able to destroy it?\Leave it to me. response:	I have chosen the most skilled ones to assist.
context: are the ones pretending to be humans.\And if such demons get a hold of the Jewel...\terrible things would happen.\Nightly, a giant spider terrorizes this castle...\and has eaten several of our people.\Will you be able to destroy it?\Leave it to me.\I have chosen the most skilled ones to assist. response:	Oh?
context: And if such demons get a hold of the Jewel...\terrible things would happen.\Nightly, a giant spider terrorizes this castle...\and has eaten several of our people.\Will you be able to destroy it?\Leave it to me.\I have chosen the most skilled ones to assist.\Oh? response:	Most skilled perhaps...
context: terrible things would happen.\Nightly, a giant spider terrorizes this castle...\and has eaten several of our people.\Will you be able to destroy it?\Leave it to me.\I have chosen the most skilled ones to assist.\Oh?\Most skilled perhaps... response:	but a young woman... and you even brought a child?
context: Nightly, a giant spider terrorizes this castle...\and has eaten several of our people.\Will you be able to destroy it?\Leave it to me.\I have chosen the most skilled ones to assist.\Oh?\Most skilled perhaps...\but a young woman... and you even brought a child? response:	These two are my daughter and son.
context: and has eaten several of our people.\Will you be able to destroy it?\Leave it to me.\I have chosen the most skilled ones to assist.\Oh?\Most skilled perhaps...\but a young woman... and you even brought a child?\These two are my daughter and son. response:	In the province, they are the top two fighters.
context: Will you be able to destroy it?\Leave it to me.\I have chosen the most skilled ones to assist.\Oh?\Most skilled perhaps...\but a young woman... and you even brought a child?\These two are my daughter and son.\In the province, they are the top two fighters. response:	You can witness their skill tonight.
