context: War... response:	Did you say war?!
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise the Void\First, let's send emissaries to talk it out! response:	What will come of it?
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise the Void\First, let's send emissaries to talk it out!\What will come of it? response:	We're up against a large nation that has entire flagships!
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise the Void\First, let's send emissaries to talk it out!\What will come of it?\We're up against a large nation that has entire flagships! response:	The two paths left for us are to surrender,
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise the Void\First, let's send emissaries to talk it out!\What will come of it?\We're up against a large nation that has entire flagships!\The two paths left for us are to surrender, response:	or resist and be annihilated!
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise the Void\First, let's send emissaries to talk it out!\What will come of it?\We're up against a large nation that has entire flagships!\The two paths left for us are to surrender,\or resist and be annihilated! response:	There will be no surrender!
context: You, the one who cast magic on this destiny, suddenly appeared\Louise the Void\First, let's send emissaries to talk it out!\What will come of it?\We're up against a large nation that has entire flagships!\The two paths left for us are to surrender,\or resist and be annihilated!\There will be no surrender! response:	It is the same as death to lose one's pride as a noble!
context: Louise the Void\First, let's send emissaries to talk it out!\What will come of it?\We're up against a large nation that has entire flagships!\The two paths left for us are to surrender,\or resist and be annihilated!\There will be no surrender!\It is the same as death to lose one's pride as a noble! response:	I will take charge of the army.
context: First, let's send emissaries to talk it out!\What will come of it?\We're up against a large nation that has entire flagships!\The two paths left for us are to surrender,\or resist and be annihilated!\There will be no surrender!\It is the same as death to lose one's pride as a noble!\I will take charge of the army. response:	Three days' time, huh...
context: What will come of it?\We're up against a large nation that has entire flagships!\The two paths left for us are to surrender,\or resist and be annihilated!\There will be no surrender!\It is the same as death to lose one's pride as a noble!\I will take charge of the army.\Three days' time, huh... response:	You're sympathizing with them?
context: We're up against a large nation that has entire flagships!\The two paths left for us are to surrender,\or resist and be annihilated!\There will be no surrender!\It is the same as death to lose one's pride as a noble!\I will take charge of the army.\Three days' time, huh...\You're sympathizing with them? response:	Who would, to such a girl!
context: The two paths left for us are to surrender,\or resist and be annihilated!\There will be no surrender!\It is the same as death to lose one's pride as a noble!\I will take charge of the army.\Three days' time, huh...\You're sympathizing with them?\Who would, to such a girl! response:	Girl? I was talking about this world as a whole.
context: or resist and be annihilated!\There will be no surrender!\It is the same as death to lose one's pride as a noble!\I will take charge of the army.\Three days' time, huh...\You're sympathizing with them?\Who would, to such a girl!\Girl? I was talking about this world as a whole. response:	It's so sudden that I can't organize my feelings right!
context: There will be no surrender!\It is the same as death to lose one's pride as a noble!\I will take charge of the army.\Three days' time, huh...\You're sympathizing with them?\Who would, to such a girl!\Girl? I was talking about this world as a whole.\It's so sudden that I can't organize my feelings right! response:	Come to think of it, Louise said she was in a meeting...
context: It is the same as death to lose one's pride as a noble!\I will take charge of the army.\Three days' time, huh...\You're sympathizing with them?\Who would, to such a girl!\Girl? I was talking about this world as a whole.\It's so sudden that I can't organize my feelings right!\Come to think of it, Louise said she was in a meeting... response:	But she's kind of late for that.
context: I will take charge of the army.\Three days' time, huh...\You're sympathizing with them?\Who would, to such a girl!\Girl? I was talking about this world as a whole.\It's so sudden that I can't organize my feelings right!\Come to think of it, Louise said she was in a meeting...\But she's kind of late for that. response:	The battle against Albion... no, the Reconquista,
context: Three days' time, huh...\You're sympathizing with them?\Who would, to such a girl!\Girl? I was talking about this world as a whole.\It's so sudden that I can't organize my feelings right!\Come to think of it, Louise said she was in a meeting...\But she's kind of late for that.\The battle against Albion... no, the Reconquista, response:	cannot be avoided now.
context: You're sympathizing with them?\Who would, to such a girl!\Girl? I was talking about this world as a whole.\It's so sudden that I can't organize my feelings right!\Come to think of it, Louise said she was in a meeting...\But she's kind of late for that.\The battle against Albion... no, the Reconquista,\cannot be avoided now. response:	Under the direct orders of Princess Henrietta,
context: Who would, to such a girl!\Girl? I was talking about this world as a whole.\It's so sudden that I can't organize my feelings right!\Come to think of it, Louise said she was in a meeting...\But she's kind of late for that.\The battle against Albion... no, the Reconquista,\cannot be avoided now.\Under the direct orders of Princess Henrietta, response:	we are reorganizing our armed forces.
context: Girl? I was talking about this world as a whole.\It's so sudden that I can't organize my feelings right!\Come to think of it, Louise said she was in a meeting...\But she's kind of late for that.\The battle against Albion... no, the Reconquista,\cannot be avoided now.\Under the direct orders of Princess Henrietta,\we are reorganizing our armed forces. response:	The Princess is on the front line?!
context: It's so sudden that I can't organize my feelings right!\Come to think of it, Louise said she was in a meeting...\But she's kind of late for that.\The battle against Albion... no, the Reconquista,\cannot be avoided now.\Under the direct orders of Princess Henrietta,\we are reorganizing our armed forces.\The Princess is on the front line?! response:	A war?
context: Come to think of it, Louise said she was in a meeting...\But she's kind of late for that.\The battle against Albion... no, the Reconquista,\cannot be avoided now.\Under the direct orders of Princess Henrietta,\we are reorganizing our armed forces.\The Princess is on the front line?!\A war? response:	This is turning out to be a huge deal.
context: But she's kind of late for that.\The battle against Albion... no, the Reconquista,\cannot be avoided now.\Under the direct orders of Princess Henrietta,\we are reorganizing our armed forces.\The Princess is on the front line?!\A war?\This is turning out to be a huge deal. response:	As of today, the Tristein Institute of Magic
context: The battle against Albion... no, the Reconquista,\cannot be avoided now.\Under the direct orders of Princess Henrietta,\we are reorganizing our armed forces.\The Princess is on the front line?!\A war?\This is turning out to be a huge deal.\As of today, the Tristein Institute of Magic response:	will be closed for the unforeseeable future.
context: cannot be avoided now.\Under the direct orders of Princess Henrietta,\we are reorganizing our armed forces.\The Princess is on the front line?!\A war?\This is turning out to be a huge deal.\As of today, the Tristein Institute of Magic\will be closed for the unforeseeable future. response:	What are you going to do?
context: Under the direct orders of Princess Henrietta,\we are reorganizing our armed forces.\The Princess is on the front line?!\A war?\This is turning out to be a huge deal.\As of today, the Tristein Institute of Magic\will be closed for the unforeseeable future.\What are you going to do? response:	I guess I have to go back home.
context: we are reorganizing our armed forces.\The Princess is on the front line?!\A war?\This is turning out to be a huge deal.\As of today, the Tristein Institute of Magic\will be closed for the unforeseeable future.\What are you going to do?\I guess I have to go back home. response:	How pathetic. Isn't there anyone willing to enlist for the country?
context: The Princess is on the front line?!\A war?\This is turning out to be a huge deal.\As of today, the Tristein Institute of Magic\will be closed for the unforeseeable future.\What are you going to do?\I guess I have to go back home.\How pathetic. Isn't there anyone willing to enlist for the country? response:	Guiche, are you joining the army?
context: A war?\This is turning out to be a huge deal.\As of today, the Tristein Institute of Magic\will be closed for the unforeseeable future.\What are you going to do?\I guess I have to go back home.\How pathetic. Isn't there anyone willing to enlist for the country?\Guiche, are you joining the army? response:	My father is a general,
context: This is turning out to be a huge deal.\As of today, the Tristein Institute of Magic\will be closed for the unforeseeable future.\What are you going to do?\I guess I have to go back home.\How pathetic. Isn't there anyone willing to enlist for the country?\Guiche, are you joining the army?\My father is a general, response:	so I have no choice...
context: As of today, the Tristein Institute of Magic\will be closed for the unforeseeable future.\What are you going to do?\I guess I have to go back home.\How pathetic. Isn't there anyone willing to enlist for the country?\Guiche, are you joining the army?\My father is a general,\so I have no choice... response:	I'm more or less forced to.
context: will be closed for the unforeseeable future.\What are you going to do?\I guess I have to go back home.\How pathetic. Isn't there anyone willing to enlist for the country?\Guiche, are you joining the army?\My father is a general,\so I have no choice...\I'm more or less forced to. response:	So you don't want to do it.
context: What are you going to do?\I guess I have to go back home.\How pathetic. Isn't there anyone willing to enlist for the country?\Guiche, are you joining the army?\My father is a general,\so I have no choice...\I'm more or less forced to.\So you don't want to do it. response:	Louise, what are you going to do?
context: I guess I have to go back home.\How pathetic. Isn't there anyone willing to enlist for the country?\Guiche, are you joining the army?\My father is a general,\so I have no choice...\I'm more or less forced to.\So you don't want to do it.\Louise, what are you going to do? response:	That's a given!
context: How pathetic. Isn't there anyone willing to enlist for the country?\Guiche, are you joining the army?\My father is a general,\so I have no choice...\I'm more or less forced to.\So you don't want to do it.\Louise, what are you going to do?\That's a given! response:	Goodbye...
context: Guiche, are you joining the army?\My father is a general,\so I have no choice...\I'm more or less forced to.\So you don't want to do it.\Louise, what are you going to do?\That's a given!\Goodbye... response:	What's this?
context: My father is a general,\so I have no choice...\I'm more or less forced to.\So you don't want to do it.\Louise, what are you going to do?\That's a given!\Goodbye...\What's this? response:	Derf, can you read this?
context: so I have no choice...\I'm more or less forced to.\So you don't want to do it.\Louise, what are you going to do?\That's a given!\Goodbye...\What's this?\Derf, can you read this? response:	You're fired. Go wherever you want. - Louise,
context: I'm more or less forced to.\So you don't want to do it.\Louise, what are you going to do?\That's a given!\Goodbye...\What's this?\Derf, can you read this?\You're fired. Go wherever you want. - Louise, response:	so it says.
context: So you don't want to do it.\Louise, what are you going to do?\That's a given!\Goodbye...\What's this?\Derf, can you read this?\You're fired. Go wherever you want. - Louise,\so it says. response:	Fired?!
context: Louise, what are you going to do?\That's a given!\Goodbye...\What's this?\Derf, can you read this?\You're fired. Go wherever you want. - Louise,\so it says.\Fired?! response:	What the hell is she...
context: That's a given!\Goodbye...\What's this?\Derf, can you read this?\You're fired. Go wherever you want. - Louise,\so it says.\Fired?!\What the hell is she... response:	Such a waste... Just a little more, and...
context: Goodbye...\What's this?\Derf, can you read this?\You're fired. Go wherever you want. - Louise,\so it says.\Fired?!\What the hell is she...\Such a waste... Just a little more, and... response:	Fired?
context: What's this?\Derf, can you read this?\You're fired. Go wherever you want. - Louise,\so it says.\Fired?!\What the hell is she...\Such a waste... Just a little more, and...\Fired? response:	Louise wrote this out and disappeared.
context: Derf, can you read this?\You're fired. Go wherever you want. - Louise,\so it says.\Fired?!\What the hell is she...\Such a waste... Just a little more, and...\Fired?\Louise wrote this out and disappeared. response:	What are you going to do?
context: You're fired. Go wherever you want. - Louise,\so it says.\Fired?!\What the hell is she...\Such a waste... Just a little more, and...\Fired?\Louise wrote this out and disappeared.\What are you going to do? response:	That's a given!
context: so it says.\Fired?!\What the hell is she...\Such a waste... Just a little more, and...\Fired?\Louise wrote this out and disappeared.\What are you going to do?\That's a given! response:	I'm sure she tagged along with Lady Henrietta.
context: Fired?!\What the hell is she...\Such a waste... Just a little more, and...\Fired?\Louise wrote this out and disappeared.\What are you going to do?\That's a given!\I'm sure she tagged along with Lady Henrietta. response:	With the Princess? Why?
context: What the hell is she...\Such a waste... Just a little more, and...\Fired?\Louise wrote this out and disappeared.\What are you going to do?\That's a given!\I'm sure she tagged along with Lady Henrietta.\With the Princess? Why? response:	War?! Against Albion?
context: Such a waste... Just a little more, and...\Fired?\Louise wrote this out and disappeared.\What are you going to do?\That's a given!\I'm sure she tagged along with Lady Henrietta.\With the Princess? Why?\War?! Against Albion? response:	Guiche signed up too.
context: Fired?\Louise wrote this out and disappeared.\What are you going to do?\That's a given!\I'm sure she tagged along with Lady Henrietta.\With the Princess? Why?\War?! Against Albion?\Guiche signed up too. response:	Well, I'm originally from Germania,
context: Louise wrote this out and disappeared.\What are you going to do?\That's a given!\I'm sure she tagged along with Lady Henrietta.\With the Princess? Why?\War?! Against Albion?\Guiche signed up too.\Well, I'm originally from Germania, response:	so I'm thinking about hurrying back home.
context: What are you going to do?\That's a given!\I'm sure she tagged along with Lady Henrietta.\With the Princess? Why?\War?! Against Albion?\Guiche signed up too.\Well, I'm originally from Germania,\so I'm thinking about hurrying back home. response:	Princess, please let me be at your side...
context: That's a given!\I'm sure she tagged along with Lady Henrietta.\With the Princess? Why?\War?! Against Albion?\Guiche signed up too.\Well, I'm originally from Germania,\so I'm thinking about hurrying back home.\Princess, please let me be at your side... response:	Thank you, Louise.
context: I'm sure she tagged along with Lady Henrietta.\With the Princess? Why?\War?! Against Albion?\Guiche signed up too.\Well, I'm originally from Germania,\so I'm thinking about hurrying back home.\Princess, please let me be at your side...\Thank you, Louise. response:	Hey, Derf. What will you do when I'm gone?
context: With the Princess? Why?\War?! Against Albion?\Guiche signed up too.\Well, I'm originally from Germania,\so I'm thinking about hurrying back home.\Princess, please let me be at your side...\Thank you, Louise.\Hey, Derf. What will you do when I'm gone? response:	I'll be sleeping again in an old item shop. Nothing's gonna change.
context: War?! Against Albion?\Guiche signed up too.\Well, I'm originally from Germania,\so I'm thinking about hurrying back home.\Princess, please let me be at your side...\Thank you, Louise.\Hey, Derf. What will you do when I'm gone?\I'll be sleeping again in an old item shop. Nothing's gonna change. response:	I don't live in this world to begin with,
context: Guiche signed up too.\Well, I'm originally from Germania,\so I'm thinking about hurrying back home.\Princess, please let me be at your side...\Thank you, Louise.\Hey, Derf. What will you do when I'm gone?\I'll be sleeping again in an old item shop. Nothing's gonna change.\I don't live in this world to begin with, response:	so if I go home, the war has nothing to do with me, right?
context: Well, I'm originally from Germania,\so I'm thinking about hurrying back home.\Princess, please let me be at your side...\Thank you, Louise.\Hey, Derf. What will you do when I'm gone?\I'll be sleeping again in an old item shop. Nothing's gonna change.\I don't live in this world to begin with,\so if I go home, the war has nothing to do with me, right? response:	Yeah, that's right.
context: so I'm thinking about hurrying back home.\Princess, please let me be at your side...\Thank you, Louise.\Hey, Derf. What will you do when I'm gone?\I'll be sleeping again in an old item shop. Nothing's gonna change.\I don't live in this world to begin with,\so if I go home, the war has nothing to do with me, right?\Yeah, that's right. response:	Tomorrow is the solar eclipse...
context: Princess, please let me be at your side...\Thank you, Louise.\Hey, Derf. What will you do when I'm gone?\I'll be sleeping again in an old item shop. Nothing's gonna change.\I don't live in this world to begin with,\so if I go home, the war has nothing to do with me, right?\Yeah, that's right.\Tomorrow is the solar eclipse... response:	When I return to the Institute, Mr. Saito will no longer...
context: Thank you, Louise.\Hey, Derf. What will you do when I'm gone?\I'll be sleeping again in an old item shop. Nothing's gonna change.\I don't live in this world to begin with,\so if I go home, the war has nothing to do with me, right?\Yeah, that's right.\Tomorrow is the solar eclipse...\When I return to the Institute, Mr. Saito will no longer... response:	The kingdom of Tristein
context: Hey, Derf. What will you do when I'm gone?\I'll be sleeping again in an old item shop. Nothing's gonna change.\I don't live in this world to begin with,\so if I go home, the war has nothing to do with me, right?\Yeah, that's right.\Tomorrow is the solar eclipse...\When I return to the Institute, Mr. Saito will no longer...\The kingdom of Tristein response:	has declined our kind request to surrender.
context: I'll be sleeping again in an old item shop. Nothing's gonna change.\I don't live in this world to begin with,\so if I go home, the war has nothing to do with me, right?\Yeah, that's right.\Tomorrow is the solar eclipse...\When I return to the Institute, Mr. Saito will no longer...\The kingdom of Tristein\has declined our kind request to surrender. response:	Our proud warriors!
context: I don't live in this world to begin with,\so if I go home, the war has nothing to do with me, right?\Yeah, that's right.\Tomorrow is the solar eclipse...\When I return to the Institute, Mr. Saito will no longer...\The kingdom of Tristein\has declined our kind request to surrender.\Our proud warriors! response:	Under this holy light,
context: so if I go home, the war has nothing to do with me, right?\Yeah, that's right.\Tomorrow is the solar eclipse...\When I return to the Institute, Mr. Saito will no longer...\The kingdom of Tristein\has declined our kind request to surrender.\Our proud warriors!\Under this holy light, response:	use your grand powers to overwhelm Tristein!
context: Yeah, that's right.\Tomorrow is the solar eclipse...\When I return to the Institute, Mr. Saito will no longer...\The kingdom of Tristein\has declined our kind request to surrender.\Our proud warriors!\Under this holy light,\use your grand powers to overwhelm Tristein! response:	What was that?!
context: Tomorrow is the solar eclipse...\When I return to the Institute, Mr. Saito will no longer...\The kingdom of Tristein\has declined our kind request to surrender.\Our proud warriors!\Under this holy light,\use your grand powers to overwhelm Tristein!\What was that?! response:	A battleship has arrived at Talb...
context: When I return to the Institute, Mr. Saito will no longer...\The kingdom of Tristein\has declined our kind request to surrender.\Our proud warriors!\Under this holy light,\use your grand powers to overwhelm Tristein!\What was that?!\A battleship has arrived at Talb... response:	They're already here?
context: The kingdom of Tristein\has declined our kind request to surrender.\Our proud warriors!\Under this holy light,\use your grand powers to overwhelm Tristein!\What was that?!\A battleship has arrived at Talb...\They're already here? response:	Even if it costs my life, I will have Talb back as ours!
context: has declined our kind request to surrender.\Our proud warriors!\Under this holy light,\use your grand powers to overwhelm Tristein!\What was that?!\A battleship has arrived at Talb...\They're already here?\Even if it costs my life, I will have Talb back as ours! response:	May Bremir protect you.
context: Our proud warriors!\Under this holy light,\use your grand powers to overwhelm Tristein!\What was that?!\A battleship has arrived at Talb...\They're already here?\Even if it costs my life, I will have Talb back as ours!\May Bremir protect you. response:	Do you think it will fly?
context: Under this holy light,\use your grand powers to overwhelm Tristein!\What was that?!\A battleship has arrived at Talb...\They're already here?\Even if it costs my life, I will have Talb back as ours!\May Bremir protect you.\Do you think it will fly? response:	I can't really put it to words, but I can tell when I touch it.
context: use your grand powers to overwhelm Tristein!\What was that?!\A battleship has arrived at Talb...\They're already here?\Even if it costs my life, I will have Talb back as ours!\May Bremir protect you.\Do you think it will fly?\I can't really put it to words, but I can tell when I touch it. response:	It'll fly without any problems.
context: What was that?!\A battleship has arrived at Talb...\They're already here?\Even if it costs my life, I will have Talb back as ours!\May Bremir protect you.\Do you think it will fly?\I can't really put it to words, but I can tell when I touch it.\It'll fly without any problems. response:	It's useful to be Gundolf.
context: A battleship has arrived at Talb...\They're already here?\Even if it costs my life, I will have Talb back as ours!\May Bremir protect you.\Do you think it will fly?\I can't really put it to words, but I can tell when I touch it.\It'll fly without any problems.\It's useful to be Gundolf. response:	I guess this is goodbye, darling.
context: They're already here?\Even if it costs my life, I will have Talb back as ours!\May Bremir protect you.\Do you think it will fly?\I can't really put it to words, but I can tell when I touch it.\It'll fly without any problems.\It's useful to be Gundolf.\I guess this is goodbye, darling. response:	But are you sure you're all right with it?
context: Even if it costs my life, I will have Talb back as ours!\May Bremir protect you.\Do you think it will fly?\I can't really put it to words, but I can tell when I touch it.\It'll fly without any problems.\It's useful to be Gundolf.\I guess this is goodbye, darling.\But are you sure you're all right with it? response:	You might never see Louise again, you know.
context: May Bremir protect you.\Do you think it will fly?\I can't really put it to words, but I can tell when I touch it.\It'll fly without any problems.\It's useful to be Gundolf.\I guess this is goodbye, darling.\But are you sure you're all right with it?\You might never see Louise again, you know. response:	Kirche...
context: Do you think it will fly?\I can't really put it to words, but I can tell when I touch it.\It'll fly without any problems.\It's useful to be Gundolf.\I guess this is goodbye, darling.\But are you sure you're all right with it?\You might never see Louise again, you know.\Kirche... response:	Sorry to keep you waiting!
context: I can't really put it to words, but I can tell when I touch it.\It'll fly without any problems.\It's useful to be Gundolf.\I guess this is goodbye, darling.\But are you sure you're all right with it?\You might never see Louise again, you know.\Kirche...\Sorry to keep you waiting! response:	The dragon's blood... Gasoline, was it?
context: It'll fly without any problems.\It's useful to be Gundolf.\I guess this is goodbye, darling.\But are you sure you're all right with it?\You might never see Louise again, you know.\Kirche...\Sorry to keep you waiting!\The dragon's blood... Gasoline, was it? response:	I spent all night, and was able to replicate this much...
context: It's useful to be Gundolf.\I guess this is goodbye, darling.\But are you sure you're all right with it?\You might never see Louise again, you know.\Kirche...\Sorry to keep you waiting!\The dragon's blood... Gasoline, was it?\I spent all night, and was able to replicate this much... response:	Thank you so much, sir.
context: I guess this is goodbye, darling.\But are you sure you're all right with it?\You might never see Louise again, you know.\Kirche...\Sorry to keep you waiting!\The dragon's blood... Gasoline, was it?\I spent all night, and was able to replicate this much...\Thank you so much, sir. response:	If everything was normal,
context: But are you sure you're all right with it?\You might never see Louise again, you know.\Kirche...\Sorry to keep you waiting!\The dragon's blood... Gasoline, was it?\I spent all night, and was able to replicate this much...\Thank you so much, sir.\If everything was normal, response:	the entire Institute would see you off with a grand ceremony, but...
context: You might never see Louise again, you know.\Kirche...\Sorry to keep you waiting!\The dragon's blood... Gasoline, was it?\I spent all night, and was able to replicate this much...\Thank you so much, sir.\If everything was normal,\the entire Institute would see you off with a grand ceremony, but... response:	No... I'd hate to ask for so much at such a hard time.
context: Kirche...\Sorry to keep you waiting!\The dragon's blood... Gasoline, was it?\I spent all night, and was able to replicate this much...\Thank you so much, sir.\If everything was normal,\the entire Institute would see you off with a grand ceremony, but...\No... I'd hate to ask for so much at such a hard time. response:	The enemy army has already planted a battleship
context: Sorry to keep you waiting!\The dragon's blood... Gasoline, was it?\I spent all night, and was able to replicate this much...\Thank you so much, sir.\If everything was normal,\the entire Institute would see you off with a grand ceremony, but...\No... I'd hate to ask for so much at such a hard time.\The enemy army has already planted a battleship response:	in the west end of Tristein, in the village of Talb.
context: The dragon's blood... Gasoline, was it?\I spent all night, and was able to replicate this much...\Thank you so much, sir.\If everything was normal,\the entire Institute would see you off with a grand ceremony, but...\No... I'd hate to ask for so much at such a hard time.\The enemy army has already planted a battleship\in the west end of Tristein, in the village of Talb. response:	Who knows when they'll reach this Institute...
context: I spent all night, and was able to replicate this much...\Thank you so much, sir.\If everything was normal,\the entire Institute would see you off with a grand ceremony, but...\No... I'd hate to ask for so much at such a hard time.\The enemy army has already planted a battleship\in the west end of Tristein, in the village of Talb.\Who knows when they'll reach this Institute... response:	Talb... You mean Siesta's home village?!
context: Thank you so much, sir.\If everything was normal,\the entire Institute would see you off with a grand ceremony, but...\No... I'd hate to ask for so much at such a hard time.\The enemy army has already planted a battleship\in the west end of Tristein, in the village of Talb.\Who knows when they'll reach this Institute...\Talb... You mean Siesta's home village?! response:	Our army has already begun its advance,
context: If everything was normal,\the entire Institute would see you off with a grand ceremony, but...\No... I'd hate to ask for so much at such a hard time.\The enemy army has already planted a battleship\in the west end of Tristein, in the village of Talb.\Who knows when they'll reach this Institute...\Talb... You mean Siesta's home village?!\Our army has already begun its advance, response:	under the leadership of our princess.
context: the entire Institute would see you off with a grand ceremony, but...\No... I'd hate to ask for so much at such a hard time.\The enemy army has already planted a battleship\in the west end of Tristein, in the village of Talb.\Who knows when they'll reach this Institute...\Talb... You mean Siesta's home village?!\Our army has already begun its advance,\under the leadership of our princess. response:	Are you serious?!
context: No... I'd hate to ask for so much at such a hard time.\The enemy army has already planted a battleship\in the west end of Tristein, in the village of Talb.\Who knows when they'll reach this Institute...\Talb... You mean Siesta's home village?!\Our army has already begun its advance,\under the leadership of our princess.\Are you serious?! response:	I feel so much stronger
