context: True Calendar Year 70 Sakimori Academy Entrance Ceremony response:	To all of our new students,
context: True, that store has all kinds of stuff.\Yeah, their stuff is super cute.\Marie... I don't believe it, you're a...\Marie Nobi. Did you pilot a Valvrave?\What? What are you talking about?\This much power, just from adapting the Valvrave tech...\Captain Cain... The Valvraves...\Both go way beyond human understanding. response:	X! Fall back!
context: Yeah, their stuff is super cute.\Marie... I don't believe it, you're a...\Marie Nobi. Did you pilot a Valvrave?\What? What are you talking about?\This much power, just from adapting the Valvrave tech...\Captain Cain... The Valvraves...\Both go way beyond human understanding.\X! Fall back! response:	I used up this much energy?
context: Marie... I don't believe it, you're a...\Marie Nobi. Did you pilot a Valvrave?\What? What are you talking about?\This much power, just from adapting the Valvrave tech...\Captain Cain... The Valvraves...\Both go way beyond human understanding.\X! Fall back!\I used up this much energy? response:	Yamada! Get up!
context: Marie Nobi. Did you pilot a Valvrave?\What? What are you talking about?\This much power, just from adapting the Valvrave tech...\Captain Cain... The Valvraves...\Both go way beyond human understanding.\X! Fall back!\I used up this much energy?\Yamada! Get up! response:	We're Kamitsuki remember? You aren't dead, right?
context: What? What are you talking about?\This much power, just from adapting the Valvrave tech...\Captain Cain... The Valvraves...\Both go way beyond human understanding.\X! Fall back!\I used up this much energy?\Yamada! Get up!\We're Kamitsuki remember? You aren't dead, right? response:	No, somehow...
context: This much power, just from adapting the Valvrave tech...\Captain Cain... The Valvraves...\Both go way beyond human understanding.\X! Fall back!\I used up this much energy?\Yamada! Get up!\We're Kamitsuki remember? You aren't dead, right?\No, somehow... response:	But my temperature's maxed out. I can't move.
context: Captain Cain... The Valvraves...\Both go way beyond human understanding.\X! Fall back!\I used up this much energy?\Yamada! Get up!\We're Kamitsuki remember? You aren't dead, right?\No, somehow...\But my temperature's maxed out. I can't move. response:	Lowenglitzen emission test complete.
context: Both go way beyond human understanding.\X! Fall back!\I used up this much energy?\Yamada! Get up!\We're Kamitsuki remember? You aren't dead, right?\No, somehow...\But my temperature's maxed out. I can't move.\Lowenglitzen emission test complete. response:	Deviation from theoretical values, 0.007.
context: X! Fall back!\I used up this much energy?\Yamada! Get up!\We're Kamitsuki remember? You aren't dead, right?\No, somehow...\But my temperature's maxed out. I can't move.\Lowenglitzen emission test complete.\Deviation from theoretical values, 0.007. response:	Lieutenant X-eins, proceed to Phase 8 after replacing energy pack.
context: I used up this much energy?\Yamada! Get up!\We're Kamitsuki remember? You aren't dead, right?\No, somehow...\But my temperature's maxed out. I can't move.\Lowenglitzen emission test complete.\Deviation from theoretical values, 0.007.\Lieutenant X-eins, proceed to Phase 8 after replacing energy pack. response:	Blitzendegen. Will replace energy pack.
context: Yamada! Get up!\We're Kamitsuki remember? You aren't dead, right?\No, somehow...\But my temperature's maxed out. I can't move.\Lowenglitzen emission test complete.\Deviation from theoretical values, 0.007.\Lieutenant X-eins, proceed to Phase 8 after replacing energy pack.\Blitzendegen. Will replace energy pack. response:	Man, I'm so jealous!
context: We're Kamitsuki remember? You aren't dead, right?\No, somehow...\But my temperature's maxed out. I can't move.\Lowenglitzen emission test complete.\Deviation from theoretical values, 0.007.\Lieutenant X-eins, proceed to Phase 8 after replacing energy pack.\Blitzendegen. Will replace energy pack.\Man, I'm so jealous! response:	I call dibs on a Kirschbaum next time, got it?
context: No, somehow...\But my temperature's maxed out. I can't move.\Lowenglitzen emission test complete.\Deviation from theoretical values, 0.007.\Lieutenant X-eins, proceed to Phase 8 after replacing energy pack.\Blitzendegen. Will replace energy pack.\Man, I'm so jealous!\I call dibs on a Kirschbaum next time, got it? response:	All forces, we're pulling out!
context: But my temperature's maxed out. I can't move.\Lowenglitzen emission test complete.\Deviation from theoretical values, 0.007.\Lieutenant X-eins, proceed to Phase 8 after replacing energy pack.\Blitzendegen. Will replace energy pack.\Man, I'm so jealous!\I call dibs on a Kirschbaum next time, got it?\All forces, we're pulling out! response:	Sir? The place I saw the JIORans is farther up ahead.
context: Lowenglitzen emission test complete.\Deviation from theoretical values, 0.007.\Lieutenant X-eins, proceed to Phase 8 after replacing energy pack.\Blitzendegen. Will replace energy pack.\Man, I'm so jealous!\I call dibs on a Kirschbaum next time, got it?\All forces, we're pulling out!\Sir? The place I saw the JIORans is farther up ahead. response:	This is one of L-elf's plans.
context: Deviation from theoretical values, 0.007.\Lieutenant X-eins, proceed to Phase 8 after replacing energy pack.\Blitzendegen. Will replace energy pack.\Man, I'm so jealous!\I call dibs on a Kirschbaum next time, got it?\All forces, we're pulling out!\Sir? The place I saw the JIORans is farther up ahead.\This is one of L-elf's plans. response:	The other Valvraves are probably lying in ambush up ahead.
context: Lieutenant X-eins, proceed to Phase 8 after replacing energy pack.\Blitzendegen. Will replace energy pack.\Man, I'm so jealous!\I call dibs on a Kirschbaum next time, got it?\All forces, we're pulling out!\Sir? The place I saw the JIORans is farther up ahead.\This is one of L-elf's plans.\The other Valvraves are probably lying in ambush up ahead. response:	Don't go around issuing orders!
context: Blitzendegen. Will replace energy pack.\Man, I'm so jealous!\I call dibs on a Kirschbaum next time, got it?\All forces, we're pulling out!\Sir? The place I saw the JIORans is farther up ahead.\This is one of L-elf's plans.\The other Valvraves are probably lying in ambush up ahead.\Don't go around issuing orders! response:	What should I do?
context: Man, I'm so jealous!\I call dibs on a Kirschbaum next time, got it?\All forces, we're pulling out!\Sir? The place I saw the JIORans is farther up ahead.\This is one of L-elf's plans.\The other Valvraves are probably lying in ambush up ahead.\Don't go around issuing orders!\What should I do? response:	I have command authority here!
context: I call dibs on a Kirschbaum next time, got it?\All forces, we're pulling out!\Sir? The place I saw the JIORans is farther up ahead.\This is one of L-elf's plans.\The other Valvraves are probably lying in ambush up ahead.\Don't go around issuing orders!\What should I do?\I have command authority here! response:	L-elf's plan was to lure the enemy out onto this plateau
context: All forces, we're pulling out!\Sir? The place I saw the JIORans is farther up ahead.\This is one of L-elf's plans.\The other Valvraves are probably lying in ambush up ahead.\Don't go around issuing orders!\What should I do?\I have command authority here!\L-elf's plan was to lure the enemy out onto this plateau response:	- It's too great a risk. - What is?!
context: Sir? The place I saw the JIORans is farther up ahead.\This is one of L-elf's plans.\The other Valvraves are probably lying in ambush up ahead.\Don't go around issuing orders!\What should I do?\I have command authority here!\L-elf's plan was to lure the enemy out onto this plateau\- It's too great a risk. - What is?! response:	and then use bombs to collapse the ground out from under them!
context: This is one of L-elf's plans.\The other Valvraves are probably lying in ambush up ahead.\Don't go around issuing orders!\What should I do?\I have command authority here!\L-elf's plan was to lure the enemy out onto this plateau\- It's too great a risk. - What is?!\and then use bombs to collapse the ground out from under them! response:	L-elf is here.
context: The other Valvraves are probably lying in ambush up ahead.\Don't go around issuing orders!\What should I do?\I have command authority here!\L-elf's plan was to lure the enemy out onto this plateau\- It's too great a risk. - What is?!\and then use bombs to collapse the ground out from under them!\L-elf is here. response:	He not only knows this terrain like the back of his hand,
context: Don't go around issuing orders!\What should I do?\I have command authority here!\L-elf's plan was to lure the enemy out onto this plateau\- It's too great a risk. - What is?!\and then use bombs to collapse the ground out from under them!\L-elf is here.\He not only knows this terrain like the back of his hand, response:	he's also trying to exploit one of its features.
context: What should I do?\I have command authority here!\L-elf's plan was to lure the enemy out onto this plateau\- It's too great a risk. - What is?!\and then use bombs to collapse the ground out from under them!\L-elf is here.\He not only knows this terrain like the back of his hand,\he's also trying to exploit one of its features. response:	I have to risk it...
context: I have command authority here!\L-elf's plan was to lure the enemy out onto this plateau\- It's too great a risk. - What is?!\and then use bombs to collapse the ground out from under them!\L-elf is here.\He not only knows this terrain like the back of his hand,\he's also trying to exploit one of its features.\I have to risk it... response:	Its features?
context: L-elf's plan was to lure the enemy out onto this plateau\- It's too great a risk. - What is?!\and then use bombs to collapse the ground out from under them!\L-elf is here.\He not only knows this terrain like the back of his hand,\he's also trying to exploit one of its features.\I have to risk it...\Its features? response:	There should be five Valvraves, but there are only two here.
context: - It's too great a risk. - What is?!\and then use bombs to collapse the ground out from under them!\L-elf is here.\He not only knows this terrain like the back of his hand,\he's also trying to exploit one of its features.\I have to risk it...\Its features?\There should be five Valvraves, but there are only two here. response:	He has a reason for committing only a small force.
context: and then use bombs to collapse the ground out from under them!\L-elf is here.\He not only knows this terrain like the back of his hand,\he's also trying to exploit one of its features.\I have to risk it...\Its features?\There should be five Valvraves, but there are only two here.\He has a reason for committing only a small force. response:	A-drei? You're Lunar Orbital Navy, what are you doing here?
context: L-elf is here.\He not only knows this terrain like the back of his hand,\he's also trying to exploit one of its features.\I have to risk it...\Its features?\There should be five Valvraves, but there are only two here.\He has a reason for committing only a small force.\A-drei? You're Lunar Orbital Navy, what are you doing here? response:	He must be trying to bait us.
context: He not only knows this terrain like the back of his hand,\he's also trying to exploit one of its features.\I have to risk it...\Its features?\There should be five Valvraves, but there are only two here.\He has a reason for committing only a small force.\A-drei? You're Lunar Orbital Navy, what are you doing here?\He must be trying to bait us. response:	H-neun!
context: he's also trying to exploit one of its features.\I have to risk it...\Its features?\There should be five Valvraves, but there are only two here.\He has a reason for committing only a small force.\A-drei? You're Lunar Orbital Navy, what are you doing here?\He must be trying to bait us.\H-neun! response:	L-elf is hiding in that cave.
context: I have to risk it...\Its features?\There should be five Valvraves, but there are only two here.\He has a reason for committing only a small force.\A-drei? You're Lunar Orbital Navy, what are you doing here?\He must be trying to bait us.\H-neun!\L-elf is hiding in that cave. response:	Bomb it from the air and collapse the bedrock.
context: Its features?\There should be five Valvraves, but there are only two here.\He has a reason for committing only a small force.\A-drei? You're Lunar Orbital Navy, what are you doing here?\He must be trying to bait us.\H-neun!\L-elf is hiding in that cave.\Bomb it from the air and collapse the bedrock. response:	Are you sure?
context: There should be five Valvraves, but there are only two here.\He has a reason for committing only a small force.\A-drei? You're Lunar Orbital Navy, what are you doing here?\He must be trying to bait us.\H-neun!\L-elf is hiding in that cave.\Bomb it from the air and collapse the bedrock.\Are you sure? response:	Settling things once and for all where we all shared in that sin...
context: He has a reason for committing only a small force.\A-drei? You're Lunar Orbital Navy, what are you doing here?\He must be trying to bait us.\H-neun!\L-elf is hiding in that cave.\Bomb it from the air and collapse the bedrock.\Are you sure?\Settling things once and for all where we all shared in that sin... response:	Don't you feel the hand of fate at work?
context: A-drei? You're Lunar Orbital Navy, what are you doing here?\He must be trying to bait us.\H-neun!\L-elf is hiding in that cave.\Bomb it from the air and collapse the bedrock.\Are you sure?\Settling things once and for all where we all shared in that sin...\Don't you feel the hand of fate at work? response:	He's there, huh?
context: He must be trying to bait us.\H-neun!\L-elf is hiding in that cave.\Bomb it from the air and collapse the bedrock.\Are you sure?\Settling things once and for all where we all shared in that sin...\Don't you feel the hand of fate at work?\He's there, huh? response:	Is something happening up top?
context: H-neun!\L-elf is hiding in that cave.\Bomb it from the air and collapse the bedrock.\Are you sure?\Settling things once and for all where we all shared in that sin...\Don't you feel the hand of fate at work?\He's there, huh?\Is something happening up top? response:	Someone is there who knows both me and this cave.
context: L-elf is hiding in that cave.\Bomb it from the air and collapse the bedrock.\Are you sure?\Settling things once and for all where we all shared in that sin...\Don't you feel the hand of fate at work?\He's there, huh?\Is something happening up top?\Someone is there who knows both me and this cave. response:	We'll only catch half of them, but we have no choice.
context: Bomb it from the air and collapse the bedrock.\Are you sure?\Settling things once and for all where we all shared in that sin...\Don't you feel the hand of fate at work?\He's there, huh?\Is something happening up top?\Someone is there who knows both me and this cave.\We'll only catch half of them, but we have no choice. response:	Podded missile volley, fire!
context: Are you sure?\Settling things once and for all where we all shared in that sin...\Don't you feel the hand of fate at work?\He's there, huh?\Is something happening up top?\Someone is there who knows both me and this cave.\We'll only catch half of them, but we have no choice.\Podded missile volley, fire! response:	L-elf... Don't tell me you had the same idea!
context: Settling things once and for all where we all shared in that sin...\Don't you feel the hand of fate at work?\He's there, huh?\Is something happening up top?\Someone is there who knows both me and this cave.\We'll only catch half of them, but we have no choice.\Podded missile volley, fire!\L-elf... Don't tell me you had the same idea! response:	The Valvraves?
context: Don't you feel the hand of fate at work?\He's there, huh?\Is something happening up top?\Someone is there who knows both me and this cave.\We'll only catch half of them, but we have no choice.\Podded missile volley, fire!\L-elf... Don't tell me you had the same idea!\The Valvraves? response:	Yes. I heard that they have come down to Earth.
context: He's there, huh?\Is something happening up top?\Someone is there who knows both me and this cave.\We'll only catch half of them, but we have no choice.\Podded missile volley, fire!\L-elf... Don't tell me you had the same idea!\The Valvraves?\Yes. I heard that they have come down to Earth. response:	And where did you hear this bit of information from?
context: Is something happening up top?\Someone is there who knows both me and this cave.\We'll only catch half of them, but we have no choice.\Podded missile volley, fire!\L-elf... Don't tell me you had the same idea!\The Valvraves?\Yes. I heard that they have come down to Earth.\And where did you hear this bit of information from? response:	I do have one or two friends.
context: Someone is there who knows both me and this cave.\We'll only catch half of them, but we have no choice.\Podded missile volley, fire!\L-elf... Don't tell me you had the same idea!\The Valvraves?\Yes. I heard that they have come down to Earth.\And where did you hear this bit of information from?\I do have one or two friends. response:	Besides,
context: We'll only catch half of them, but we have no choice.\Podded missile volley, fire!\L-elf... Don't tell me you had the same idea!\The Valvraves?\Yes. I heard that they have come down to Earth.\And where did you hear this bit of information from?\I do have one or two friends.\Besides, response:	don't you have dreams of this country of students?
context: Podded missile volley, fire!\L-elf... Don't tell me you had the same idea!\The Valvraves?\Yes. I heard that they have come down to Earth.\And where did you hear this bit of information from?\I do have one or two friends.\Besides,\don't you have dreams of this country of students? response:	A-drei, where are you?! A-drei!
context: L-elf... Don't tell me you had the same idea!\The Valvraves?\Yes. I heard that they have come down to Earth.\And where did you hear this bit of information from?\I do have one or two friends.\Besides,\don't you have dreams of this country of students?\A-drei, where are you?! A-drei! response:	Marie? L-elf?
context: The Valvraves?\Yes. I heard that they have come down to Earth.\And where did you hear this bit of information from?\I do have one or two friends.\Besides,\don't you have dreams of this country of students?\A-drei, where are you?! A-drei!\Marie? L-elf? response:	The Valvrave...
context: Yes. I heard that they have come down to Earth.\And where did you hear this bit of information from?\I do have one or two friends.\Besides,\don't you have dreams of this country of students?\A-drei, where are you?! A-drei!\Marie? L-elf?\The Valvrave... response:	So, you're awake?
context: And where did you hear this bit of information from?\I do have one or two friends.\Besides,\don't you have dreams of this country of students?\A-drei, where are you?! A-drei!\Marie? L-elf?\The Valvrave...\So, you're awake? response:	Don't worry. I no longer have any intention of shooting you.
context: I do have one or two friends.\Besides,\don't you have dreams of this country of students?\A-drei, where are you?! A-drei!\Marie? L-elf?\The Valvrave...\So, you're awake?\Don't worry. I no longer have any intention of shooting you. response:	We've been completely trapped by the cave-in.
context: Besides,\don't you have dreams of this country of students?\A-drei, where are you?! A-drei!\Marie? L-elf?\The Valvrave...\So, you're awake?\Don't worry. I no longer have any intention of shooting you.\We've been completely trapped by the cave-in. response:	Our only way out is to use Unit 1.
context: don't you have dreams of this country of students?\A-drei, where are you?! A-drei!\Marie? L-elf?\The Valvrave...\So, you're awake?\Don't worry. I no longer have any intention of shooting you.\We've been completely trapped by the cave-in.\Our only way out is to use Unit 1. response:	Can you hear me?
context: A-drei, where are you?! A-drei!\Marie? L-elf?\The Valvrave...\So, you're awake?\Don't worry. I no longer have any intention of shooting you.\We've been completely trapped by the cave-in.\Our only way out is to use Unit 1.\Can you hear me? response:	I can hear you. I'm just a little overwhelmed right now...
context: Marie? L-elf?\The Valvrave...\So, you're awake?\Don't worry. I no longer have any intention of shooting you.\We've been completely trapped by the cave-in.\Our only way out is to use Unit 1.\Can you hear me?\I can hear you. I'm just a little overwhelmed right now... response:	What's wrong?
context: The Valvrave...\So, you're awake?\Don't worry. I no longer have any intention of shooting you.\We've been completely trapped by the cave-in.\Our only way out is to use Unit 1.\Can you hear me?\I can hear you. I'm just a little overwhelmed right now...\What's wrong? response:	The wound, it's healed... Why?
context: So, you're awake?\Don't worry. I no longer have any intention of shooting you.\We've been completely trapped by the cave-in.\Our only way out is to use Unit 1.\Can you hear me?\I can hear you. I'm just a little overwhelmed right now...\What's wrong?\The wound, it's healed... Why? response:	You don't know about your own body?
context: Don't worry. I no longer have any intention of shooting you.\We've been completely trapped by the cave-in.\Our only way out is to use Unit 1.\Can you hear me?\I can hear you. I'm just a little overwhelmed right now...\What's wrong?\The wound, it's healed... Why?\You don't know about your own body? response:	I didn't know. I'm like Haruto?
context: We've been completely trapped by the cave-in.\Our only way out is to use Unit 1.\Can you hear me?\I can hear you. I'm just a little overwhelmed right now...\What's wrong?\The wound, it's healed... Why?\You don't know about your own body?\I didn't know. I'm like Haruto? response:	Tell me. What kind of human am I?
context: Our only way out is to use Unit 1.\Can you hear me?\I can hear you. I'm just a little overwhelmed right now...\What's wrong?\The wound, it's healed... Why?\You don't know about your own body?\I didn't know. I'm like Haruto?\Tell me. What kind of human am I? response:	Why am I missing memories?
context: Can you hear me?\I can hear you. I'm just a little overwhelmed right now...\What's wrong?\The wound, it's healed... Why?\You don't know about your own body?\I didn't know. I'm like Haruto?\Tell me. What kind of human am I?\Why am I missing memories? response:	Memories?
context: I can hear you. I'm just a little overwhelmed right now...\What's wrong?\The wound, it's healed... Why?\You don't know about your own body?\I didn't know. I'm like Haruto?\Tell me. What kind of human am I?\Why am I missing memories?\Memories? response:	Yes. I only have two years' worth of memories.
context: What's wrong?\The wound, it's healed... Why?\You don't know about your own body?\I didn't know. I'm like Haruto?\Tell me. What kind of human am I?\Why am I missing memories?\Memories?\Yes. I only have two years' worth of memories. response:	Because I used them.
context: The wound, it's healed... Why?\You don't know about your own body?\I didn't know. I'm like Haruto?\Tell me. What kind of human am I?\Why am I missing memories?\Memories?\Yes. I only have two years' worth of memories.\Because I used them. response:	You're that... from earlier...
context: You don't know about your own body?\I didn't know. I'm like Haruto?\Tell me. What kind of human am I?\Why am I missing memories?\Memories?\Yes. I only have two years' worth of memories.\Because I used them.\You're that... from earlier... response:	It's because I used them.
context: I didn't know. I'm like Haruto?\Tell me. What kind of human am I?\Why am I missing memories?\Memories?\Yes. I only have two years' worth of memories.\Because I used them.\You're that... from earlier...\It's because I used them. response:	It melted?!
context: Tell me. What kind of human am I?\Why am I missing memories?\Memories?\Yes. I only have two years' worth of memories.\Because I used them.\You're that... from earlier...\It's because I used them.\It melted?! response:	Why haven't we heard from L-elf yet?!
context: Why am I missing memories?\Memories?\Yes. I only have two years' worth of memories.\Because I used them.\You're that... from earlier...\It's because I used them.\It melted?!\Why haven't we heard from L-elf yet?! response:	He hasn't checked in!
context: Memories?\Yes. I only have two years' worth of memories.\Because I used them.\You're that... from earlier...\It's because I used them.\It melted?!\Why haven't we heard from L-elf yet?!\He hasn't checked in! response:	It's Units 3 and 5 that are the real problem.
context: Yes. I only have two years' worth of memories.\Because I used them.\You're that... from earlier...\It's because I used them.\It melted?!\Why haven't we heard from L-elf yet?!\He hasn't checked in!\It's Units 3 and 5 that are the real problem. response:	What about Haruto's Unit 1?
context: Because I used them.\You're that... from earlier...\It's because I used them.\It melted?!\Why haven't we heard from L-elf yet?!\He hasn't checked in!\It's Units 3 and 5 that are the real problem.\What about Haruto's Unit 1? response:	I can't reach him.
context: You're that... from earlier...\It's because I used them.\It melted?!\Why haven't we heard from L-elf yet?!\He hasn't checked in!\It's Units 3 and 5 that are the real problem.\What about Haruto's Unit 1?\I can't reach him. response:	Maybe I should go take a look.
context: It's because I used them.\It melted?!\Why haven't we heard from L-elf yet?!\He hasn't checked in!\It's Units 3 and 5 that are the real problem.\What about Haruto's Unit 1?\I can't reach him.\Maybe I should go take a look. response:	It's too dangerous! We're waiting here for L-elf!
context: It melted?!\Why haven't we heard from L-elf yet?!\He hasn't checked in!\It's Units 3 and 5 that are the real problem.\What about Haruto's Unit 1?\I can't reach him.\Maybe I should go take a look.\It's too dangerous! We're waiting here for L-elf! response:	Still no signal...
context: Why haven't we heard from L-elf yet?!\He hasn't checked in!\It's Units 3 and 5 that are the real problem.\What about Haruto's Unit 1?\I can't reach him.\Maybe I should go take a look.\It's too dangerous! We're waiting here for L-elf!\Still no signal... response:	Even though I'm ready and waiting to hack the ship!
