context: New Year's response:	Another New Year
context: Ousai Academy Student Council Rules,\Dum\Cinderella comes running naked at midnight.\What do you even say to that?!\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent. response:	Ultimate legendary days!
context: Dum\Cinderella comes running naked at midnight.\What do you even say to that?!\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days! response:	Do you remember what I told you?
context: Cinderella comes running naked at midnight.\What do you even say to that?!\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you? response:	No problem here.
context: What do you even say to that?!\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here. response:	Of course.
context: Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course. response:	Well-cultured, noble, pure, and innocent!
context: No, I didn't know they stood for something.\Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent! response:	Happy New Year
context: Tell her, Shino-chan.\Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\Happy New Year response:	Happy New Year.
context: Being well-cultured, noble, pure, and innocent.\Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\Happy New Year\Happy New Year. response:	Tsuda Takatoshi here
context: Ultimate legendary days!\Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\Happy New Year\Happy New Year.\Tsuda Takatoshi here response:	Tsuda Takatoshi here.
context: Do you remember what I told you?\No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\Happy New Year\Happy New Year.\Tsuda Takatoshi here\Tsuda Takatoshi here. response:	I'm here at a New Year's sale
context: No problem here.\Of course.\Well-cultured, noble, pure, and innocent!\Happy New Year\Happy New Year.\Tsuda Takatoshi here\Tsuda Takatoshi here.\I'm here at a New Year's sale response:	We've been here since five in the morning
context: Of course.\Well-cultured, noble, pure, and innocent!\Happy New Year\Happy New Year.\Tsuda Takatoshi here\Tsuda Takatoshi here.\I'm here at a New Year's sale\We've been here since five in the morning response:	I'm here at a New Year's sale.
context: Well-cultured, noble, pure, and innocent!\Happy New Year\Happy New Year.\Tsuda Takatoshi here\Tsuda Takatoshi here.\I'm here at a New Year's sale\We've been here since five in the morning\I'm here at a New Year's sale. response:	We've been here since five in the morning.
context: Happy New Year\Happy New Year.\Tsuda Takatoshi here\Tsuda Takatoshi here.\I'm here at a New Year's sale\We've been here since five in the morning\I'm here at a New Year's sale.\We've been here since five in the morning. response:	I didn't think you'd want to come.
context: Happy New Year.\Tsuda Takatoshi here\Tsuda Takatoshi here.\I'm here at a New Year's sale\We've been here since five in the morning\I'm here at a New Year's sale.\We've been here since five in the morning.\I didn't think you'd want to come. response:	I'm a little surprised.
context: Tsuda Takatoshi here\Tsuda Takatoshi here.\I'm here at a New Year's sale\We've been here since five in the morning\I'm here at a New Year's sale.\We've been here since five in the morning.\I didn't think you'd want to come.\I'm a little surprised. response:	I'm here to help my sister carry stuff.
context: Tsuda Takatoshi here.\I'm here at a New Year's sale\We've been here since five in the morning\I'm here at a New Year's sale.\We've been here since five in the morning.\I didn't think you'd want to come.\I'm a little surprised.\I'm here to help my sister carry stuff. response:	Hey, you're not supposed to carry me!
context: I'm here at a New Year's sale\We've been here since five in the morning\I'm here at a New Year's sale.\We've been here since five in the morning.\I didn't think you'd want to come.\I'm a little surprised.\I'm here to help my sister carry stuff.\Hey, you're not supposed to carry me! response:	Right... Sorry.
context: We've been here since five in the morning\I'm here at a New Year's sale.\We've been here since five in the morning.\I didn't think you'd want to come.\I'm a little surprised.\I'm here to help my sister carry stuff.\Hey, you're not supposed to carry me!\Right... Sorry. response:	You sure don't want to be here.
context: I'm here at a New Year's sale.\We've been here since five in the morning.\I didn't think you'd want to come.\I'm a little surprised.\I'm here to help my sister carry stuff.\Hey, you're not supposed to carry me!\Right... Sorry.\You sure don't want to be here. response:	Seitokai Yakuindomo
context: We've been here since five in the morning.\I didn't think you'd want to come.\I'm a little surprised.\I'm here to help my sister carry stuff.\Hey, you're not supposed to carry me!\Right... Sorry.\You sure don't want to be here.\Seitokai Yakuindomo response:	It's Happy New Year's
context: I didn't think you'd want to come.\I'm a little surprised.\I'm here to help my sister carry stuff.\Hey, you're not supposed to carry me!\Right... Sorry.\You sure don't want to be here.\Seitokai Yakuindomo\It's Happy New Year's response:	I brought some hot tea.
context: I'm a little surprised.\I'm here to help my sister carry stuff.\Hey, you're not supposed to carry me!\Right... Sorry.\You sure don't want to be here.\Seitokai Yakuindomo\It's Happy New Year's\I brought some hot tea. response:	Thanks.
context: I'm here to help my sister carry stuff.\Hey, you're not supposed to carry me!\Right... Sorry.\You sure don't want to be here.\Seitokai Yakuindomo\It's Happy New Year's\I brought some hot tea.\Thanks. response:	I feel warmer already.
context: Hey, you're not supposed to carry me!\Right... Sorry.\You sure don't want to be here.\Seitokai Yakuindomo\It's Happy New Year's\I brought some hot tea.\Thanks.\I feel warmer already. response:	But if you drink too much you'll have to take a leak.
context: Right... Sorry.\You sure don't want to be here.\Seitokai Yakuindomo\It's Happy New Year's\I brought some hot tea.\Thanks.\I feel warmer already.\But if you drink too much you'll have to take a leak. response:	Yeah.
context: You sure don't want to be here.\Seitokai Yakuindomo\It's Happy New Year's\I brought some hot tea.\Thanks.\I feel warmer already.\But if you drink too much you'll have to take a leak.\Yeah. response:	Marking territory.
context: Seitokai Yakuindomo\It's Happy New Year's\I brought some hot tea.\Thanks.\I feel warmer already.\But if you drink too much you'll have to take a leak.\Yeah.\Marking territory. response:	Putting down fertilizer.
context: It's Happy New Year's\I brought some hot tea.\Thanks.\I feel warmer already.\But if you drink too much you'll have to take a leak.\Yeah.\Marking territory.\Putting down fertilizer. response:	Why won't you say go to the bathroom?
context: I brought some hot tea.\Thanks.\I feel warmer already.\But if you drink too much you'll have to take a leak.\Yeah.\Marking territory.\Putting down fertilizer.\Why won't you say go to the bathroom? response:	Happy New Year!
context: Thanks.\I feel warmer already.\But if you drink too much you'll have to take a leak.\Yeah.\Marking territory.\Putting down fertilizer.\Why won't you say go to the bathroom?\Happy New Year! response:	We're opening up!
context: I feel warmer already.\But if you drink too much you'll have to take a leak.\Yeah.\Marking territory.\Putting down fertilizer.\Why won't you say go to the bathroom?\Happy New Year!\We're opening up! response:	Oh, it's a mystery bag.
context: But if you drink too much you'll have to take a leak.\Yeah.\Marking territory.\Putting down fertilizer.\Why won't you say go to the bathroom?\Happy New Year!\We're opening up!\Oh, it's a mystery bag. response:	That's up there.
context: Yeah.\Marking territory.\Putting down fertilizer.\Why won't you say go to the bathroom?\Happy New Year!\We're opening up!\Oh, it's a mystery bag.\That's up there. response:	Oh never mind, I can reach it.
context: Marking territory.\Putting down fertilizer.\Why won't you say go to the bathroom?\Happy New Year!\We're opening up!\Oh, it's a mystery bag.\That's up there.\Oh never mind, I can reach it. response:	Right.
context: Putting down fertilizer.\Why won't you say go to the bathroom?\Happy New Year!\We're opening up!\Oh, it's a mystery bag.\That's up there.\Oh never mind, I can reach it.\Right. response:	Oh?
context: Why won't you say go to the bathroom?\Happy New Year!\We're opening up!\Oh, it's a mystery bag.\That's up there.\Oh never mind, I can reach it.\Right.\Oh? response:	Happy New Year.
context: Happy New Year!\We're opening up!\Oh, it's a mystery bag.\That's up there.\Oh never mind, I can reach it.\Right.\Oh?\Happy New Year. response:	Ousai's a relatively well-known school.
context: We're opening up!\Oh, it's a mystery bag.\That's up there.\Oh never mind, I can reach it.\Right.\Oh?\Happy New Year.\Ousai's a relatively well-known school. response:	Make sure you all keep yourselves in line.
context: Oh, it's a mystery bag.\That's up there.\Oh never mind, I can reach it.\Right.\Oh?\Happy New Year.\Ousai's a relatively well-known school.\Make sure you all keep yourselves in line. response:	Especially you, Vice President Tsuda.
context: That's up there.\Oh never mind, I can reach it.\Right.\Oh?\Happy New Year.\Ousai's a relatively well-known school.\Make sure you all keep yourselves in line.\Especially you, Vice President Tsuda. response:	That was pretty good, Igarashi.
context: Oh never mind, I can reach it.\Right.\Oh?\Happy New Year.\Ousai's a relatively well-known school.\Make sure you all keep yourselves in line.\Especially you, Vice President Tsuda.\That was pretty good, Igarashi. response:	Huh?
context: Right.\Oh?\Happy New Year.\Ousai's a relatively well-known school.\Make sure you all keep yourselves in line.\Especially you, Vice President Tsuda.\That was pretty good, Igarashi.\Huh? response:	This is what you meant, right?
context: Oh?\Happy New Year.\Ousai's a relatively well-known school.\Make sure you all keep yourselves in line.\Especially you, Vice President Tsuda.\That was pretty good, Igarashi.\Huh?\This is what you meant, right? response:	well known -> gets around (F) in line -> erect (M)
context: Happy New Year.\Ousai's a relatively well-known school.\Make sure you all keep yourselves in line.\Especially you, Vice President Tsuda.\That was pretty good, Igarashi.\Huh?\This is what you meant, right?\well known -> gets around (F) in line -> erect (M) response:	Hello, everyone.
context: Ousai's a relatively well-known school.\Make sure you all keep yourselves in line.\Especially you, Vice President Tsuda.\That was pretty good, Igarashi.\Huh?\This is what you meant, right?\well known -> gets around (F) in line -> erect (M)\Hello, everyone. response:	Flash
context: Make sure you all keep yourselves in line.\Especially you, Vice President Tsuda.\That was pretty good, Igarashi.\Huh?\This is what you meant, right?\well known -> gets around (F) in line -> erect (M)\Hello, everyone.\Flash response:	Happy New Year.
context: Especially you, Vice President Tsuda.\That was pretty good, Igarashi.\Huh?\This is what you meant, right?\well known -> gets around (F) in line -> erect (M)\Hello, everyone.\Flash\Happy New Year. response:	Oh, Happy New Year.
context: That was pretty good, Igarashi.\Huh?\This is what you meant, right?\well known -> gets around (F) in line -> erect (M)\Hello, everyone.\Flash\Happy New Year.\Oh, Happy New Year. response:	Flashes her peace sign too
context: Huh?\This is what you meant, right?\well known -> gets around (F) in line -> erect (M)\Hello, everyone.\Flash\Happy New Year.\Oh, Happy New Year.\Flashes her peace sign too response:	Huh?
context: This is what you meant, right?\well known -> gets around (F) in line -> erect (M)\Hello, everyone.\Flash\Happy New Year.\Oh, Happy New Year.\Flashes her peace sign too\Huh? response:	It matches my V-line perfectly.
context: well known -> gets around (F) in line -> erect (M)\Hello, everyone.\Flash\Happy New Year.\Oh, Happy New Year.\Flashes her peace sign too\Huh?\It matches my V-line perfectly. response:	Got you now!
context: Hello, everyone.\Flash\Happy New Year.\Oh, Happy New Year.\Flashes her peace sign too\Huh?\It matches my V-line perfectly.\Got you now! response:	Happy New Year, everyone.
context: Flash\Happy New Year.\Oh, Happy New Year.\Flashes her peace sign too\Huh?\It matches my V-line perfectly.\Got you now!\Happy New Year, everyone. response:	Are you taking pictures, Hata-san?
context: Happy New Year.\Oh, Happy New Year.\Flashes her peace sign too\Huh?\It matches my V-line perfectly.\Got you now!\Happy New Year, everyone.\Are you taking pictures, Hata-san? response:	What are you taking pictures of?
context: Oh, Happy New Year.\Flashes her peace sign too\Huh?\It matches my V-line perfectly.\Got you now!\Happy New Year, everyone.\Are you taking pictures, Hata-san?\What are you taking pictures of? response:	Swap pictures.
context: Flashes her peace sign too\Huh?\It matches my V-line perfectly.\Got you now!\Happy New Year, everyone.\Are you taking pictures, Hata-san?\What are you taking pictures of?\Swap pictures. response:	Oh, I mean snap pictures.
context: Huh?\It matches my V-line perfectly.\Got you now!\Happy New Year, everyone.\Are you taking pictures, Hata-san?\What are you taking pictures of?\Swap pictures.\Oh, I mean snap pictures. response:	Messed that up.
context: It matches my V-line perfectly.\Got you now!\Happy New Year, everyone.\Are you taking pictures, Hata-san?\What are you taking pictures of?\Swap pictures.\Oh, I mean snap pictures.\Messed that up. response:	Huh? Did you really?
context: Got you now!\Happy New Year, everyone.\Are you taking pictures, Hata-san?\What are you taking pictures of?\Swap pictures.\Oh, I mean snap pictures.\Messed that up.\Huh? Did you really? response:	Taka-nii!
context: Happy New Year, everyone.\Are you taking pictures, Hata-san?\What are you taking pictures of?\Swap pictures.\Oh, I mean snap pictures.\Messed that up.\Huh? Did you really?\Taka-nii! response:	Let me borrow some money.
context: Are you taking pictures, Hata-san?\What are you taking pictures of?\Swap pictures.\Oh, I mean snap pictures.\Messed that up.\Huh? Did you really?\Taka-nii!\Let me borrow some money. response:	Guess I'll have to.
context: What are you taking pictures of?\Swap pictures.\Oh, I mean snap pictures.\Messed that up.\Huh? Did you really?\Taka-nii!\Let me borrow some money.\Guess I'll have to. response:	But I want it back with some interest.
context: Swap pictures.\Oh, I mean snap pictures.\Messed that up.\Huh? Did you really?\Taka-nii!\Let me borrow some money.\Guess I'll have to.\But I want it back with some interest. response:	Always wanted to say that
context: Oh, I mean snap pictures.\Messed that up.\Huh? Did you really?\Taka-nii!\Let me borrow some money.\Guess I'll have to.\But I want it back with some interest.\Always wanted to say that response:	Taka-nii.
context: Messed that up.\Huh? Did you really?\Taka-nii!\Let me borrow some money.\Guess I'll have to.\But I want it back with some interest.\Always wanted to say that\Taka-nii. response:	You totally took that the wrong way, didn't you?
context: Huh? Did you really?\Taka-nii!\Let me borrow some money.\Guess I'll have to.\But I want it back with some interest.\Always wanted to say that\Taka-nii.\You totally took that the wrong way, didn't you? response:	Third Trimester
context: Taka-nii!\Let me borrow some money.\Guess I'll have to.\But I want it back with some interest.\Always wanted to say that\Taka-nii.\You totally took that the wrong way, didn't you?\Third Trimester response:	What is your resolution this year?
context: Let me borrow some money.\Guess I'll have to.\But I want it back with some interest.\Always wanted to say that\Taka-nii.\You totally took that the wrong way, didn't you?\Third Trimester\What is your resolution this year? response:	I want to make good on my promises.
context: Guess I'll have to.\But I want it back with some interest.\Always wanted to say that\Taka-nii.\You totally took that the wrong way, didn't you?\Third Trimester\What is your resolution this year?\I want to make good on my promises. response:	Makes sense wanting to get things done,
context: But I want it back with some interest.\Always wanted to say that\Taka-nii.\You totally took that the wrong way, didn't you?\Third Trimester\What is your resolution this year?\I want to make good on my promises.\Makes sense wanting to get things done, response:	given you're the President here.
context: Always wanted to say that\Taka-nii.\You totally took that the wrong way, didn't you?\Third Trimester\What is your resolution this year?\I want to make good on my promises.\Makes sense wanting to get things done,\given you're the President here. response:	Prez,
context: Taka-nii.\You totally took that the wrong way, didn't you?\Third Trimester\What is your resolution this year?\I want to make good on my promises.\Makes sense wanting to get things done,\given you're the President here.\Prez, response:	I need your approval on that sign we mentioned ASAP.
context: You totally took that the wrong way, didn't you?\Third Trimester\What is your resolution this year?\I want to make good on my promises.\Makes sense wanting to get things done,\given you're the President here.\Prez,\I need your approval on that sign we mentioned ASAP. response:	Got it.
context: Third Trimester\What is your resolution this year?\I want to make good on my promises.\Makes sense wanting to get things done,\given you're the President here.\Prez,\I need your approval on that sign we mentioned ASAP.\Got it. response:	This is my sign to tell people I need to get laid!
context: What is your resolution this year?\I want to make good on my promises.\Makes sense wanting to get things done,\given you're the President here.\Prez,\I need your approval on that sign we mentioned ASAP.\Got it.\This is my sign to tell people I need to get laid! response:	So you're wrapping your hair around yourself
context: I want to make good on my promises.\Makes sense wanting to get things done,\given you're the President here.\Prez,\I need your approval on that sign we mentioned ASAP.\Got it.\This is my sign to tell people I need to get laid!\So you're wrapping your hair around yourself response:	so they look like tentacles.
context: Makes sense wanting to get things done,\given you're the President here.\Prez,\I need your approval on that sign we mentioned ASAP.\Got it.\This is my sign to tell people I need to get laid!\So you're wrapping your hair around yourself\so they look like tentacles. response:	I don't understand what's going on anymore.
context: given you're the President here.\Prez,\I need your approval on that sign we mentioned ASAP.\Got it.\This is my sign to tell people I need to get laid!\So you're wrapping your hair around yourself\so they look like tentacles.\I don't understand what's going on anymore. response:	My resolution?
context: Prez,\I need your approval on that sign we mentioned ASAP.\Got it.\This is my sign to tell people I need to get laid!\So you're wrapping your hair around yourself\so they look like tentacles.\I don't understand what's going on anymore.\My resolution? response:	I guess I want to make sure I stay fit.
context: I need your approval on that sign we mentioned ASAP.\Got it.\This is my sign to tell people I need to get laid!\So you're wrapping your hair around yourself\so they look like tentacles.\I don't understand what's going on anymore.\My resolution?\I guess I want to make sure I stay fit. response:	Well, that's just boring.
context: Got it.\This is my sign to tell people I need to get laid!\So you're wrapping your hair around yourself\so they look like tentacles.\I don't understand what's going on anymore.\My resolution?\I guess I want to make sure I stay fit.\Well, that's just boring. response:	Boring...
context: This is my sign to tell people I need to get laid!\So you're wrapping your hair around yourself\so they look like tentacles.\I don't understand what's going on anymore.\My resolution?\I guess I want to make sure I stay fit.\Well, that's just boring.\Boring... response:	You're the Vice President, so you should...
context: So you're wrapping your hair around yourself\so they look like tentacles.\I don't understand what's going on anymore.\My resolution?\I guess I want to make sure I stay fit.\Well, that's just boring.\Boring...\You're the Vice President, so you should... response:	Hm?
context: so they look like tentacles.\I don't understand what's going on anymore.\My resolution?\I guess I want to make sure I stay fit.\Well, that's just boring.\Boring...\You're the Vice President, so you should...\Hm? response:	I can't remember what I wanted to say...
context: I don't understand what's going on anymore.\My resolution?\I guess I want to make sure I stay fit.\Well, that's just boring.\Boring...\You're the Vice President, so you should...\Hm?\I can't remember what I wanted to say... response:	I guess I want you to service me more with your mouth?
context: My resolution?\I guess I want to make sure I stay fit.\Well, that's just boring.\Boring...\You're the Vice President, so you should...\Hm?\I can't remember what I wanted to say...\I guess I want you to service me more with your mouth? response:	I think you meant lip service.
context: I guess I want to make sure I stay fit.\Well, that's just boring.\Boring...\You're the Vice President, so you should...\Hm?\I can't remember what I wanted to say...\I guess I want you to service me more with your mouth?\I think you meant lip service. response:	Resolution?
context: Well, that's just boring.\Boring...\You're the Vice President, so you should...\Hm?\I can't remember what I wanted to say...\I guess I want you to service me more with your mouth?\I think you meant lip service.\Resolution? response:	I guess I'd like to develop my arm strength.
context: Boring...\You're the Vice President, so you should...\Hm?\I can't remember what I wanted to say...\I guess I want you to service me more with your mouth?\I think you meant lip service.\Resolution?\I guess I'd like to develop my arm strength. response:	That's rather specific.
context: You're the Vice President, so you should...\Hm?\I can't remember what I wanted to say...\I guess I want you to service me more with your mouth?\I think you meant lip service.\Resolution?\I guess I'd like to develop my arm strength.\That's rather specific. response:	I picked up a ball that fell near me the other day,
context: Hm?\I can't remember what I wanted to say...\I guess I want you to service me more with your mouth?\I think you meant lip service.\Resolution?\I guess I'd like to develop my arm strength.\That's rather specific.\I picked up a ball that fell near me the other day, response:	and this person wanted me to throw it back.
context: I can't remember what I wanted to say...\I guess I want you to service me more with your mouth?\I think you meant lip service.\Resolution?\I guess I'd like to develop my arm strength.\That's rather specific.\I picked up a ball that fell near me the other day,\and this person wanted me to throw it back. response:	There.
context: I guess I want you to service me more with your mouth?\I think you meant lip service.\Resolution?\I guess I'd like to develop my arm strength.\That's rather specific.\I picked up a ball that fell near me the other day,\and this person wanted me to throw it back.\There. response:	Flop
context: I think you meant lip service.\Resolution?\I guess I'd like to develop my arm strength.\That's rather specific.\I picked up a ball that fell near me the other day,\and this person wanted me to throw it back.\There.\Flop response:	And well, it was kind of embarrassing.
context: Resolution?\I guess I'd like to develop my arm strength.\That's rather specific.\I picked up a ball that fell near me the other day,\and this person wanted me to throw it back.\There.\Flop\And well, it was kind of embarrassing. response:	I see.
context: I guess I'd like to develop my arm strength.\That's rather specific.\I picked up a ball that fell near me the other day,\and this person wanted me to throw it back.\There.\Flop\And well, it was kind of embarrassing.\I see. response:	That makes sense, though you'll develop muscles during puberty.
context: That's rather specific.\I picked up a ball that fell near me the other day,\and this person wanted me to throw it back.\There.\Flop\And well, it was kind of embarrassing.\I see.\That makes sense, though you'll develop muscles during puberty. response:	I'm past puberty.
context: I picked up a ball that fell near me the other day,\and this person wanted me to throw it back.\There.\Flop\And well, it was kind of embarrassing.\I see.\That makes sense, though you'll develop muscles during puberty.\I'm past puberty. response:	Resolution?
context: and this person wanted me to throw it back.\There.\Flop\And well, it was kind of embarrassing.\I see.\That makes sense, though you'll develop muscles during puberty.\I'm past puberty.\Resolution? response:	I guess I want to do better under pressures.
context: There.\Flop\And well, it was kind of embarrassing.\I see.\That makes sense, though you'll develop muscles during puberty.\I'm past puberty.\Resolution?\I guess I want to do better under pressures. response:	Oh, no!
context: Flop\And well, it was kind of embarrassing.\I see.\That makes sense, though you'll develop muscles during puberty.\I'm past puberty.\Resolution?\I guess I want to do better under pressures.\Oh, no! response:	Oh no! I messed up when I said that!
context: And well, it was kind of embarrassing.\I see.\That makes sense, though you'll develop muscles during puberty.\I'm past puberty.\Resolution?\I guess I want to do better under pressures.\Oh, no!\Oh no! I messed up when I said that! response:	I can't believe I did that...
context: I see.\That makes sense, though you'll develop muscles during puberty.\I'm past puberty.\Resolution?\I guess I want to do better under pressures.\Oh, no!\Oh no! I messed up when I said that!\I can't believe I did that... response:	You're not acting very calm right now.
context: That makes sense, though you'll develop muscles during puberty.\I'm past puberty.\Resolution?\I guess I want to do better under pressures.\Oh, no!\Oh no! I messed up when I said that!\I can't believe I did that...\You're not acting very calm right now. response:	I keep doing it!
context: I'm past puberty.\Resolution?\I guess I want to do better under pressures.\Oh, no!\Oh no! I messed up when I said that!\I can't believe I did that...\You're not acting very calm right now.\I keep doing it! response:	Blow
context: Resolution?\I guess I want to do better under pressures.\Oh, no!\Oh no! I messed up when I said that!\I can't believe I did that...\You're not acting very calm right now.\I keep doing it!\Blow response:	Hm?
context: I guess I want to do better under pressures.\Oh, no!\Oh no! I messed up when I said that!\I can't believe I did that...\You're not acting very calm right now.\I keep doing it!\Blow\Hm? response:	Also, I...
context: Oh, no!\Oh no! I messed up when I said that!\I can't believe I did that...\You're not acting very calm right now.\I keep doing it!\Blow\Hm?\Also, I... response:	And you kept your calm there, huh?
context: Oh no! I messed up when I said that!\I can't believe I did that...\You're not acting very calm right now.\I keep doing it!\Blow\Hm?\Also, I...\And you kept your calm there, huh? response:	Resolution, huh?
context: I can't believe I did that...\You're not acting very calm right now.\I keep doing it!\Blow\Hm?\Also, I...\And you kept your calm there, huh?\Resolution, huh? response:	I guess I want to be more honest with myself.
context: You're not acting very calm right now.\I keep doing it!\Blow\Hm?\Also, I...\And you kept your calm there, huh?\Resolution, huh?\I guess I want to be more honest with myself. response:	I see.
context: I keep doing it!\Blow\Hm?\Also, I...\And you kept your calm there, huh?\Resolution, huh?\I guess I want to be more honest with myself.\I see. response:	Hey, don't get the wrong idea.
context: Blow\Hm?\Also, I...\And you kept your calm there, huh?\Resolution, huh?\I guess I want to be more honest with myself.\I see.\Hey, don't get the wrong idea. response:	I'm not doing what you think I am.
context: Hm?\Also, I...\And you kept your calm there, huh?\Resolution, huh?\I guess I want to be more honest with myself.\I see.\Hey, don't get the wrong idea.\I'm not doing what you think I am. response:	I'm practicing my soap opera moves.
context: Also, I...\And you kept your calm there, huh?\Resolution, huh?\I guess I want to be more honest with myself.\I see.\Hey, don't get the wrong idea.\I'm not doing what you think I am.\I'm practicing my soap opera moves. response:	I see.
context: And you kept your calm there, huh?\Resolution, huh?\I guess I want to be more honest with myself.\I see.\Hey, don't get the wrong idea.\I'm not doing what you think I am.\I'm practicing my soap opera moves.\I see. response:	My resolution for this year?
context: Resolution, huh?\I guess I want to be more honest with myself.\I see.\Hey, don't get the wrong idea.\I'm not doing what you think I am.\I'm practicing my soap opera moves.\I see.\My resolution for this year? response:	I want to get to the nationals!
context: I guess I want to be more honest with myself.\I see.\Hey, don't get the wrong idea.\I'm not doing what you think I am.\I'm practicing my soap opera moves.\I see.\My resolution for this year?\I want to get to the nationals! response:	You like martial arts too much.
context: I see.\Hey, don't get the wrong idea.\I'm not doing what you think I am.\I'm practicing my soap opera moves.\I see.\My resolution for this year?\I want to get to the nationals!\You like martial arts too much. response:	Why all the passion?
context: Hey, don't get the wrong idea.\I'm not doing what you think I am.\I'm practicing my soap opera moves.\I see.\My resolution for this year?\I want to get to the nationals!\You like martial arts too much.\Why all the passion? response:	I guess because of my parents.
context: I'm not doing what you think I am.\I'm practicing my soap opera moves.\I see.\My resolution for this year?\I want to get to the nationals!\You like martial arts too much.\Why all the passion?\I guess because of my parents. response:	They were always practicing pro wrestling at night.
context: I'm practicing my soap opera moves.\I see.\My resolution for this year?\I want to get to the nationals!\You like martial arts too much.\Why all the passion?\I guess because of my parents.\They were always practicing pro wrestling at night. response:	I guess you grew up innocent.
context: I see.\My resolution for this year?\I want to get to the nationals!\You like martial arts too much.\Why all the passion?\I guess because of my parents.\They were always practicing pro wrestling at night.\I guess you grew up innocent. response:	What about you, Hata? You have a resolution?
