context: Wait! Wait for me! response:	Mukaido
context: Huh?!\Aw, no fair!\Is that how girls become friends?\Girls are amazing.\We'll be timing you guys today!\What are you whining about?\You did it last year too.\All right, let's warm up! response:	Girls, out of the towels.
context: Aw, no fair!\Is that how girls become friends?\Girls are amazing.\We'll be timing you guys today!\What are you whining about?\You did it last year too.\All right, let's warm up!\Girls, out of the towels. response:	No!
context: Is that how girls become friends?\Girls are amazing.\We'll be timing you guys today!\What are you whining about?\You did it last year too.\All right, let's warm up!\Girls, out of the towels.\No! response:	Sexual harassment!
context: Girls are amazing.\We'll be timing you guys today!\What are you whining about?\You did it last year too.\All right, let's warm up!\Girls, out of the towels.\No!\Sexual harassment! response:	Too bad. My strike zone is rather high.
context: We'll be timing you guys today!\What are you whining about?\You did it last year too.\All right, let's warm up!\Girls, out of the towels.\No!\Sexual harassment!\Too bad. My strike zone is rather high. response:	But it's so cold!
context: What are you whining about?\You did it last year too.\All right, let's warm up!\Girls, out of the towels.\No!\Sexual harassment!\Too bad. My strike zone is rather high.\But it's so cold! response:	Well then, you're in luck. It's warmer in the water.
context: You did it last year too.\All right, let's warm up!\Girls, out of the towels.\No!\Sexual harassment!\Too bad. My strike zone is rather high.\But it's so cold!\Well then, you're in luck. It's warmer in the water. response:	All right, knees bends!
context: All right, let's warm up!\Girls, out of the towels.\No!\Sexual harassment!\Too bad. My strike zone is rather high.\But it's so cold!\Well then, you're in luck. It's warmer in the water.\All right, knees bends! response:	One, two, three, four...
context: Girls, out of the towels.\No!\Sexual harassment!\Too bad. My strike zone is rather high.\But it's so cold!\Well then, you're in luck. It's warmer in the water.\All right, knees bends!\One, two, three, four... response:	Five, six, seven, eight...
context: No!\Sexual harassment!\Too bad. My strike zone is rather high.\But it's so cold!\Well then, you're in luck. It's warmer in the water.\All right, knees bends!\One, two, three, four...\Five, six, seven, eight... response:	Now from knee bends to bunny hops!
context: Sexual harassment!\Too bad. My strike zone is rather high.\But it's so cold!\Well then, you're in luck. It's warmer in the water.\All right, knees bends!\One, two, three, four...\Five, six, seven, eight...\Now from knee bends to bunny hops! response:	Warm up? What's the point?
context: Too bad. My strike zone is rather high.\But it's so cold!\Well then, you're in luck. It's warmer in the water.\All right, knees bends!\One, two, three, four...\Five, six, seven, eight...\Now from knee bends to bunny hops!\Warm up? What's the point? response:	What?!
context: But it's so cold!\Well then, you're in luck. It's warmer in the water.\All right, knees bends!\One, two, three, four...\Five, six, seven, eight...\Now from knee bends to bunny hops!\Warm up? What's the point?\What?! response:	No complaining!
context: Well then, you're in luck. It's warmer in the water.\All right, knees bends!\One, two, three, four...\Five, six, seven, eight...\Now from knee bends to bunny hops!\Warm up? What's the point?\What?!\No complaining! response:	Well, people from Shioshishio get arm and leg cramps too, don't they?
context: All right, knees bends!\One, two, three, four...\Five, six, seven, eight...\Now from knee bends to bunny hops!\Warm up? What's the point?\What?!\No complaining!\Well, people from Shioshishio get arm and leg cramps too, don't they? response:	Two, two, three, four, five, six, seven, eight...
context: One, two, three, four...\Five, six, seven, eight...\Now from knee bends to bunny hops!\Warm up? What's the point?\What?!\No complaining!\Well, people from Shioshishio get arm and leg cramps too, don't they?\Two, two, three, four, five, six, seven, eight... response:	You're not going to do them, Hikari?
context: Five, six, seven, eight...\Now from knee bends to bunny hops!\Warm up? What's the point?\What?!\No complaining!\Well, people from Shioshishio get arm and leg cramps too, don't they?\Two, two, three, four, five, six, seven, eight...\You're not going to do them, Hikari? response:	Like I need any preparation to breathe.
context: Now from knee bends to bunny hops!\Warm up? What's the point?\What?!\No complaining!\Well, people from Shioshishio get arm and leg cramps too, don't they?\Two, two, three, four, five, six, seven, eight...\You're not going to do them, Hikari?\Like I need any preparation to breathe. response:	Make sure you state your form.
context: Warm up? What's the point?\What?!\No complaining!\Well, people from Shioshishio get arm and leg cramps too, don't they?\Two, two, three, four, five, six, seven, eight...\You're not going to do them, Hikari?\Like I need any preparation to breathe.\Make sure you state your form. response:	It can be the crawl or even doggy paddle.
context: What?!\No complaining!\Well, people from Shioshishio get arm and leg cramps too, don't they?\Two, two, three, four, five, six, seven, eight...\You're not going to do them, Hikari?\Like I need any preparation to breathe.\Make sure you state your form.\It can be the crawl or even doggy paddle. response:	Tsumugu, what are you going to do?
context: No complaining!\Well, people from Shioshishio get arm and leg cramps too, don't they?\Two, two, three, four, five, six, seven, eight...\You're not going to do them, Hikari?\Like I need any preparation to breathe.\Make sure you state your form.\It can be the crawl or even doggy paddle.\Tsumugu, what are you going to do? response:	Crawl.
context: Well, people from Shioshishio get arm and leg cramps too, don't they?\Two, two, three, four, five, six, seven, eight...\You're not going to do them, Hikari?\Like I need any preparation to breathe.\Make sure you state your form.\It can be the crawl or even doggy paddle.\Tsumugu, what are you going to do?\Crawl. response:	Then I'll do that, too.
context: Two, two, three, four, five, six, seven, eight...\You're not going to do them, Hikari?\Like I need any preparation to breathe.\Make sure you state your form.\It can be the crawl or even doggy paddle.\Tsumugu, what are you going to do?\Crawl.\Then I'll do that, too. response:	Let's swim together.
context: You're not going to do them, Hikari?\Like I need any preparation to breathe.\Make sure you state your form.\It can be the crawl or even doggy paddle.\Tsumugu, what are you going to do?\Crawl.\Then I'll do that, too.\Let's swim together. response:	Sure.
context: Like I need any preparation to breathe.\Make sure you state your form.\It can be the crawl or even doggy paddle.\Tsumugu, what are you going to do?\Crawl.\Then I'll do that, too.\Let's swim together.\Sure. response:	Apparently Kihara-kun and Sakishima-kun are going to swim together.
context: Make sure you state your form.\It can be the crawl or even doggy paddle.\Tsumugu, what are you going to do?\Crawl.\Then I'll do that, too.\Let's swim together.\Sure.\Apparently Kihara-kun and Sakishima-kun are going to swim together. response:	Who are you rooting for?
context: It can be the crawl or even doggy paddle.\Tsumugu, what are you going to do?\Crawl.\Then I'll do that, too.\Let's swim together.\Sure.\Apparently Kihara-kun and Sakishima-kun are going to swim together.\Who are you rooting for? response:	Wasn't Kihara-kun super fast last year?
context: Tsumugu, what are you going to do?\Crawl.\Then I'll do that, too.\Let's swim together.\Sure.\Apparently Kihara-kun and Sakishima-kun are going to swim together.\Who are you rooting for?\Wasn't Kihara-kun super fast last year? response:	Yeah.
context: Crawl.\Then I'll do that, too.\Let's swim together.\Sure.\Apparently Kihara-kun and Sakishima-kun are going to swim together.\Who are you rooting for?\Wasn't Kihara-kun super fast last year?\Yeah. response:	But the kid from Shioshishio might be faster.
context: Then I'll do that, too.\Let's swim together.\Sure.\Apparently Kihara-kun and Sakishima-kun are going to swim together.\Who are you rooting for?\Wasn't Kihara-kun super fast last year?\Yeah.\But the kid from Shioshishio might be faster. response:	Are you two going to root for Sakishima-kun?
context: Let's swim together.\Sure.\Apparently Kihara-kun and Sakishima-kun are going to swim together.\Who are you rooting for?\Wasn't Kihara-kun super fast last year?\Yeah.\But the kid from Shioshishio might be faster.\Are you two going to root for Sakishima-kun? response:	Huh? I-I'm not sure...
context: Sure.\Apparently Kihara-kun and Sakishima-kun are going to swim together.\Who are you rooting for?\Wasn't Kihara-kun super fast last year?\Yeah.\But the kid from Shioshishio might be faster.\Are you two going to root for Sakishima-kun?\Huh? I-I'm not sure... response:	Um... Kaname? And...
context: Apparently Kihara-kun and Sakishima-kun are going to swim together.\Who are you rooting for?\Wasn't Kihara-kun super fast last year?\Yeah.\But the kid from Shioshishio might be faster.\Are you two going to root for Sakishima-kun?\Huh? I-I'm not sure...\Um... Kaname? And... response:	Hii-kun, right?
context: Who are you rooting for?\Wasn't Kihara-kun super fast last year?\Yeah.\But the kid from Shioshishio might be faster.\Are you two going to root for Sakishima-kun?\Huh? I-I'm not sure...\Um... Kaname? And...\Hii-kun, right? response:	Yeah...
context: Wasn't Kihara-kun super fast last year?\Yeah.\But the kid from Shioshishio might be faster.\Are you two going to root for Sakishima-kun?\Huh? I-I'm not sure...\Um... Kaname? And...\Hii-kun, right?\Yeah... response:	Yeah, you'd probably cheer for the other Shishio kids.
context: Yeah.\But the kid from Shioshishio might be faster.\Are you two going to root for Sakishima-kun?\Huh? I-I'm not sure...\Um... Kaname? And...\Hii-kun, right?\Yeah...\Yeah, you'd probably cheer for the other Shishio kids. response:	Then I'm going to root for Shishio, too.
context: But the kid from Shioshishio might be faster.\Are you two going to root for Sakishima-kun?\Huh? I-I'm not sure...\Um... Kaname? And...\Hii-kun, right?\Yeah...\Yeah, you'd probably cheer for the other Shishio kids.\Then I'm going to root for Shishio, too. response:	What the heck?
context: Are you two going to root for Sakishima-kun?\Huh? I-I'm not sure...\Um... Kaname? And...\Hii-kun, right?\Yeah...\Yeah, you'd probably cheer for the other Shishio kids.\Then I'm going to root for Shishio, too.\What the heck? response:	I'm totally rooting for Kihara-kun!
context: Huh? I-I'm not sure...\Um... Kaname? And...\Hii-kun, right?\Yeah...\Yeah, you'd probably cheer for the other Shishio kids.\Then I'm going to root for Shishio, too.\What the heck?\I'm totally rooting for Kihara-kun! response:	All right.
context: Um... Kaname? And...\Hii-kun, right?\Yeah...\Yeah, you'd probably cheer for the other Shishio kids.\Then I'm going to root for Shishio, too.\What the heck?\I'm totally rooting for Kihara-kun!\All right. response:	Ready...
context: Hii-kun, right?\Yeah...\Yeah, you'd probably cheer for the other Shishio kids.\Then I'm going to root for Shishio, too.\What the heck?\I'm totally rooting for Kihara-kun!\All right.\Ready... response:	You can do it!
context: Yeah...\Yeah, you'd probably cheer for the other Shishio kids.\Then I'm going to root for Shishio, too.\What the heck?\I'm totally rooting for Kihara-kun!\All right.\Ready...\You can do it! response:	Huh? Isn't Sakishima-kun a little slow?
context: Yeah, you'd probably cheer for the other Shishio kids.\Then I'm going to root for Shishio, too.\What the heck?\I'm totally rooting for Kihara-kun!\All right.\Ready...\You can do it!\Huh? Isn't Sakishima-kun a little slow? response:	Oh, it's probably because he's not used to it.
context: Then I'm going to root for Shishio, too.\What the heck?\I'm totally rooting for Kihara-kun!\All right.\Ready...\You can do it!\Huh? Isn't Sakishima-kun a little slow?\Oh, it's probably because he's not used to it. response:	To swimming?
context: What the heck?\I'm totally rooting for Kihara-kun!\All right.\Ready...\You can do it!\Huh? Isn't Sakishima-kun a little slow?\Oh, it's probably because he's not used to it.\To swimming? response:	Well, it's sort of weird swimming in between the land and water...
context: I'm totally rooting for Kihara-kun!\All right.\Ready...\You can do it!\Huh? Isn't Sakishima-kun a little slow?\Oh, it's probably because he's not used to it.\To swimming?\Well, it's sort of weird swimming in between the land and water... response:	and he's not used to doing the crawl.
context: All right.\Ready...\You can do it!\Huh? Isn't Sakishima-kun a little slow?\Oh, it's probably because he's not used to it.\To swimming?\Well, it's sort of weird swimming in between the land and water...\and he's not used to doing the crawl. response:	Oh, is that it?
context: Ready...\You can do it!\Huh? Isn't Sakishima-kun a little slow?\Oh, it's probably because he's not used to it.\To swimming?\Well, it's sort of weird swimming in between the land and water...\and he's not used to doing the crawl.\Oh, is that it? response:	Damn it! This isn't easy to do!
context: You can do it!\Huh? Isn't Sakishima-kun a little slow?\Oh, it's probably because he's not used to it.\To swimming?\Well, it's sort of weird swimming in between the land and water...\and he's not used to doing the crawl.\Oh, is that it?\Damn it! This isn't easy to do! response:	If I didn't love them, I wouldn't be so sad!
context: Huh? Isn't Sakishima-kun a little slow?\Oh, it's probably because he's not used to it.\To swimming?\Well, it's sort of weird swimming in between the land and water...\and he's not used to doing the crawl.\Oh, is that it?\Damn it! This isn't easy to do!\If I didn't love them, I wouldn't be so sad! response:	I don't want to think that it's hopeless or useless to love someone.
context: Oh, it's probably because he's not used to it.\To swimming?\Well, it's sort of weird swimming in between the land and water...\and he's not used to doing the crawl.\Oh, is that it?\Damn it! This isn't easy to do!\If I didn't love them, I wouldn't be so sad!\I don't want to think that it's hopeless or useless to love someone. response:	Ow...
context: To swimming?\Well, it's sort of weird swimming in between the land and water...\and he's not used to doing the crawl.\Oh, is that it?\Damn it! This isn't easy to do!\If I didn't love them, I wouldn't be so sad!\I don't want to think that it's hopeless or useless to love someone.\Ow... response:	Hii-kun!
context: Well, it's sort of weird swimming in between the land and water...\and he's not used to doing the crawl.\Oh, is that it?\Damn it! This isn't easy to do!\If I didn't love them, I wouldn't be so sad!\I don't want to think that it's hopeless or useless to love someone.\Ow...\Hii-kun! response:	What's wrong, Sakishima?
context: and he's not used to doing the crawl.\Oh, is that it?\Damn it! This isn't easy to do!\If I didn't love them, I wouldn't be so sad!\I don't want to think that it's hopeless or useless to love someone.\Ow...\Hii-kun!\What's wrong, Sakishima? response:	It's nothing.
context: Oh, is that it?\Damn it! This isn't easy to do!\If I didn't love them, I wouldn't be so sad!\I don't want to think that it's hopeless or useless to love someone.\Ow...\Hii-kun!\What's wrong, Sakishima?\It's nothing. response:	Hii-kun's hurt...
context: Damn it! This isn't easy to do!\If I didn't love them, I wouldn't be so sad!\I don't want to think that it's hopeless or useless to love someone.\Ow...\Hii-kun!\What's wrong, Sakishima?\It's nothing.\Hii-kun's hurt... response:	Shut up, Manaka.
context: If I didn't love them, I wouldn't be so sad!\I don't want to think that it's hopeless or useless to love someone.\Ow...\Hii-kun!\What's wrong, Sakishima?\It's nothing.\Hii-kun's hurt...\Shut up, Manaka. response:	Anyway, come up, both of you.
context: I don't want to think that it's hopeless or useless to love someone.\Ow...\Hii-kun!\What's wrong, Sakishima?\It's nothing.\Hii-kun's hurt...\Shut up, Manaka.\Anyway, come up, both of you. response:	Let's go out, Hii-kun.
context: Ow...\Hii-kun!\What's wrong, Sakishima?\It's nothing.\Hii-kun's hurt...\Shut up, Manaka.\Anyway, come up, both of you.\Let's go out, Hii-kun. response:	Oh, your nail came off...
context: Hii-kun!\What's wrong, Sakishima?\It's nothing.\Hii-kun's hurt...\Shut up, Manaka.\Anyway, come up, both of you.\Let's go out, Hii-kun.\Oh, your nail came off... response:	Who's on duty today?
context: What's wrong, Sakishima?\It's nothing.\Hii-kun's hurt...\Shut up, Manaka.\Anyway, come up, both of you.\Let's go out, Hii-kun.\Oh, your nail came off...\Who's on duty today? response:	I-I am.
context: It's nothing.\Hii-kun's hurt...\Shut up, Manaka.\Anyway, come up, both of you.\Let's go out, Hii-kun.\Oh, your nail came off...\Who's on duty today?\I-I am. response:	Oh, well that works out.
context: Hii-kun's hurt...\Shut up, Manaka.\Anyway, come up, both of you.\Let's go out, Hii-kun.\Oh, your nail came off...\Who's on duty today?\I-I am.\Oh, well that works out. response:	Please take him to the nurse's office.
context: Shut up, Manaka.\Anyway, come up, both of you.\Let's go out, Hii-kun.\Oh, your nail came off...\Who's on duty today?\I-I am.\Oh, well that works out.\Please take him to the nurse's office. response:	Huh?
context: Anyway, come up, both of you.\Let's go out, Hii-kun.\Oh, your nail came off...\Who's on duty today?\I-I am.\Oh, well that works out.\Please take him to the nurse's office.\Huh? response:	Chi... Can Hiradaira-san come with us too?
context: Let's go out, Hii-kun.\Oh, your nail came off...\Who's on duty today?\I-I am.\Oh, well that works out.\Please take him to the nurse's office.\Huh?\Chi... Can Hiradaira-san come with us too? response:	Sensei.
context: Oh, your nail came off...\Who's on duty today?\I-I am.\Oh, well that works out.\Please take him to the nurse's office.\Huh?\Chi... Can Hiradaira-san come with us too?\Sensei. response:	I'll swim next.
context: Who's on duty today?\I-I am.\Oh, well that works out.\Please take him to the nurse's office.\Huh?\Chi... Can Hiradaira-san come with us too?\Sensei.\I'll swim next. response:	Huh?
context: I-I am.\Oh, well that works out.\Please take him to the nurse's office.\Huh?\Chi... Can Hiradaira-san come with us too?\Sensei.\I'll swim next.\Huh? response:	Nurse's Office
context: Oh, well that works out.\Please take him to the nurse's office.\Huh?\Chi... Can Hiradaira-san come with us too?\Sensei.\I'll swim next.\Huh?\Nurse's Office response:	Excuse me...
context: Please take him to the nurse's office.\Huh?\Chi... Can Hiradaira-san come with us too?\Sensei.\I'll swim next.\Huh?\Nurse's Office\Excuse me... response:	What are we going to do? The nurse isn't here.
context: Huh?\Chi... Can Hiradaira-san come with us too?\Sensei.\I'll swim next.\Huh?\Nurse's Office\Excuse me...\What are we going to do? The nurse isn't here. response:	Why are you asking me?
context: Chi... Can Hiradaira-san come with us too?\Sensei.\I'll swim next.\Huh?\Nurse's Office\Excuse me...\What are we going to do? The nurse isn't here.\Why are you asking me? response:	I know.
context: Sensei.\I'll swim next.\Huh?\Nurse's Office\Excuse me...\What are we going to do? The nurse isn't here.\Why are you asking me?\I know. response:	Disinfectant...
context: I'll swim next.\Huh?\Nurse's Office\Excuse me...\What are we going to do? The nurse isn't here.\Why are you asking me?\I know.\Disinfectant... response:	It's fine. I don't need any.
context: Huh?\Nurse's Office\Excuse me...\What are we going to do? The nurse isn't here.\Why are you asking me?\I know.\Disinfectant...\It's fine. I don't need any. response:	But the teacher said to...
context: Nurse's Office\Excuse me...\What are we going to do? The nurse isn't here.\Why are you asking me?\I know.\Disinfectant...\It's fine. I don't need any.\But the teacher said to... response:	Ow!
context: Excuse me...\What are we going to do? The nurse isn't here.\Why are you asking me?\I know.\Disinfectant...\It's fine. I don't need any.\But the teacher said to...\Ow! response:	S-Sorry!
context: What are we going to do? The nurse isn't here.\Why are you asking me?\I know.\Disinfectant...\It's fine. I don't need any.\But the teacher said to...\Ow!\S-Sorry! response:	Damn it!
context: Why are you asking me?\I know.\Disinfectant...\It's fine. I don't need any.\But the teacher said to...\Ow!\S-Sorry!\Damn it! response:	Sorry...
context: I know.\Disinfectant...\It's fine. I don't need any.\But the teacher said to...\Ow!\S-Sorry!\Damn it!\Sorry... response:	that I'm not very good at this.
