context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: but two weeks ago, an entire caravan was wiped out.\Ah, scary, how scary!\It's scary so I'm going to drink more!\I guess I'll keep it in mind.\I pray the magician isn't a woman, then.\Why's that?\You're easily deceived by women.\You're also easily seduced, even if it means you'll get hurt. response:	Ever since then, the price of beer has certainly increased.
context: Ah, scary, how scary!\It's scary so I'm going to drink more!\I guess I'll keep it in mind.\I pray the magician isn't a woman, then.\Why's that?\You're easily deceived by women.\You're also easily seduced, even if it means you'll get hurt.\Ever since then, the price of beer has certainly increased. response:	Ah, hey!
context: It's scary so I'm going to drink more!\I guess I'll keep it in mind.\I pray the magician isn't a woman, then.\Why's that?\You're easily deceived by women.\You're also easily seduced, even if it means you'll get hurt.\Ever since then, the price of beer has certainly increased.\Ah, hey! response:	The Medioh Company must be a huge topic in bars.
context: I guess I'll keep it in mind.\I pray the magician isn't a woman, then.\Why's that?\You're easily deceived by women.\You're also easily seduced, even if it means you'll get hurt.\Ever since then, the price of beer has certainly increased.\Ah, hey!\The Medioh Company must be a huge topic in bars. response:	Men really are foolish creatures.
context: I pray the magician isn't a woman, then.\Why's that?\You're easily deceived by women.\You're also easily seduced, even if it means you'll get hurt.\Ever since then, the price of beer has certainly increased.\Ah, hey!\The Medioh Company must be a huge topic in bars.\Men really are foolish creatures. response:	Sorry for being an idiot.
context: Why's that?\You're easily deceived by women.\You're also easily seduced, even if it means you'll get hurt.\Ever since then, the price of beer has certainly increased.\Ah, hey!\The Medioh Company must be a huge topic in bars.\Men really are foolish creatures.\Sorry for being an idiot. response:	Wolf and Righteous Scale
context: You're easily deceived by women.\You're also easily seduced, even if it means you'll get hurt.\Ever since then, the price of beer has certainly increased.\Ah, hey!\The Medioh Company must be a huge topic in bars.\Men really are foolish creatures.\Sorry for being an idiot.\Wolf and Righteous Scale response:	What an insolent city!
context: You're also easily seduced, even if it means you'll get hurt.\Ever since then, the price of beer has certainly increased.\Ah, hey!\The Medioh Company must be a huge topic in bars.\Men really are foolish creatures.\Sorry for being an idiot.\Wolf and Righteous Scale\What an insolent city! response:	Bars close far too early!
context: Ever since then, the price of beer has certainly increased.\Ah, hey!\The Medioh Company must be a huge topic in bars.\Men really are foolish creatures.\Sorry for being an idiot.\Wolf and Righteous Scale\What an insolent city!\Bars close far too early! response:	That's because this place is under the control of the Church and Rubinhaigen.
context: Ah, hey!\The Medioh Company must be a huge topic in bars.\Men really are foolish creatures.\Sorry for being an idiot.\Wolf and Righteous Scale\What an insolent city!\Bars close far too early!\That's because this place is under the control of the Church and Rubinhaigen. response:	At least they have bars intended for travelers.
context: The Medioh Company must be a huge topic in bars.\Men really are foolish creatures.\Sorry for being an idiot.\Wolf and Righteous Scale\What an insolent city!\Bars close far too early!\That's because this place is under the control of the Church and Rubinhaigen.\At least they have bars intended for travelers. response:	You mean it's a city that's only interested in living humbly and praying to God?
context: Men really are foolish creatures.\Sorry for being an idiot.\Wolf and Righteous Scale\What an insolent city!\Bars close far too early!\That's because this place is under the control of the Church and Rubinhaigen.\At least they have bars intended for travelers.\You mean it's a city that's only interested in living humbly and praying to God? response:	The Church's sermons about virtues, that put you to sleep, are like this city's greeting.
context: Sorry for being an idiot.\Wolf and Righteous Scale\What an insolent city!\Bars close far too early!\That's because this place is under the control of the Church and Rubinhaigen.\At least they have bars intended for travelers.\You mean it's a city that's only interested in living humbly and praying to God?\The Church's sermons about virtues, that put you to sleep, are like this city's greeting. response:	I don't understand what's so fun about it.
context: Wolf and Righteous Scale\What an insolent city!\Bars close far too early!\That's because this place is under the control of the Church and Rubinhaigen.\At least they have bars intended for travelers.\You mean it's a city that's only interested in living humbly and praying to God?\The Church's sermons about virtues, that put you to sleep, are like this city's greeting.\I don't understand what's so fun about it. response:	After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen.
context: What an insolent city!\Bars close far too early!\That's because this place is under the control of the Church and Rubinhaigen.\At least they have bars intended for travelers.\You mean it's a city that's only interested in living humbly and praying to God?\The Church's sermons about virtues, that put you to sleep, are like this city's greeting.\I don't understand what's so fun about it.\After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen. response:	Is it a large town?
context: Bars close far too early!\That's because this place is under the control of the Church and Rubinhaigen.\At least they have bars intended for travelers.\You mean it's a city that's only interested in living humbly and praying to God?\The Church's sermons about virtues, that put you to sleep, are like this city's greeting.\I don't understand what's so fun about it.\After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen.\Is it a large town? response:	Yeah.
context: That's because this place is under the control of the Church and Rubinhaigen.\At least they have bars intended for travelers.\You mean it's a city that's only interested in living humbly and praying to God?\The Church's sermons about virtues, that put you to sleep, are like this city's greeting.\I don't understand what's so fun about it.\After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen.\Is it a large town?\Yeah. response:	It's larger than Pattsio.
context: At least they have bars intended for travelers.\You mean it's a city that's only interested in living humbly and praying to God?\The Church's sermons about virtues, that put you to sleep, are like this city's greeting.\I don't understand what's so fun about it.\After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen.\Is it a large town?\Yeah.\It's larger than Pattsio. response:	It's more of a city than a town.
context: You mean it's a city that's only interested in living humbly and praying to God?\The Church's sermons about virtues, that put you to sleep, are like this city's greeting.\I don't understand what's so fun about it.\After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen.\Is it a large town?\Yeah.\It's larger than Pattsio.\It's more of a city than a town. response:	It's lively, and there are a lot of street stalls.
context: The Church's sermons about virtues, that put you to sleep, are like this city's greeting.\I don't understand what's so fun about it.\After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen.\Is it a large town?\Yeah.\It's larger than Pattsio.\It's more of a city than a town.\It's lively, and there are a lot of street stalls. response:	Do they have apples?
context: I don't understand what's so fun about it.\After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen.\Is it a large town?\Yeah.\It's larger than Pattsio.\It's more of a city than a town.\It's lively, and there are a lot of street stalls.\Do they have apples? response:	I'm not sure about fresh ones.
context: After I sell the pepper and load up some new cargo, I'll take you to Rubinhaigen.\Is it a large town?\Yeah.\It's larger than Pattsio.\It's more of a city than a town.\It's lively, and there are a lot of street stalls.\Do they have apples?\I'm not sure about fresh ones. response:	It's almost winter, so it's about the time they preserve them.
context: Is it a large town?\Yeah.\It's larger than Pattsio.\It's more of a city than a town.\It's lively, and there are a lot of street stalls.\Do they have apples?\I'm not sure about fresh ones.\It's almost winter, so it's about the time they preserve them. response:	Preserve?
context: Yeah.\It's larger than Pattsio.\It's more of a city than a town.\It's lively, and there are a lot of street stalls.\Do they have apples?\I'm not sure about fresh ones.\It's almost winter, so it's about the time they preserve them.\Preserve? response:	They don't use salt, you know, they use honey!
context: It's larger than Pattsio.\It's more of a city than a town.\It's lively, and there are a lot of street stalls.\Do they have apples?\I'm not sure about fresh ones.\It's almost winter, so it's about the time they preserve them.\Preserve?\They don't use salt, you know, they use honey! response:	And it's not just apples, preserved pears in honey are also good.
context: It's more of a city than a town.\It's lively, and there are a lot of street stalls.\Do they have apples?\I'm not sure about fresh ones.\It's almost winter, so it's about the time they preserve them.\Preserve?\They don't use salt, you know, they use honey!\And it's not just apples, preserved pears in honey are also good. response:	Also, in newer areas, they use peaches.
context: It's lively, and there are a lot of street stalls.\Do they have apples?\I'm not sure about fresh ones.\It's almost winter, so it's about the time they preserve them.\Preserve?\They don't use salt, you know, they use honey!\And it's not just apples, preserved pears in honey are also good.\Also, in newer areas, they use peaches. response:	Peaches...
context: Do they have apples?\I'm not sure about fresh ones.\It's almost winter, so it's about the time they preserve them.\Preserve?\They don't use salt, you know, they use honey!\And it's not just apples, preserved pears in honey are also good.\Also, in newer areas, they use peaches.\Peaches... response:	They cut the peaches into thin slices and pack them into a barrel.
context: I'm not sure about fresh ones.\It's almost winter, so it's about the time they preserve them.\Preserve?\They don't use salt, you know, they use honey!\And it's not just apples, preserved pears in honey are also good.\Also, in newer areas, they use peaches.\Peaches...\They cut the peaches into thin slices and pack them into a barrel. response:	The high-class versions of the product might even have almonds in them.
context: It's almost winter, so it's about the time they preserve them.\Preserve?\They don't use salt, you know, they use honey!\And it's not just apples, preserved pears in honey are also good.\Also, in newer areas, they use peaches.\Peaches...\They cut the peaches into thin slices and pack them into a barrel.\The high-class versions of the product might even have almonds in them. response:	They then pour a lot of honey on top and a bit of ginger at the bottom,
context: Preserve?\They don't use salt, you know, they use honey!\And it's not just apples, preserved pears in honey are also good.\Also, in newer areas, they use peaches.\Peaches...\They cut the peaches into thin slices and pack them into a barrel.\The high-class versions of the product might even have almonds in them.\They then pour a lot of honey on top and a bit of ginger at the bottom, response:	and then store it for about two months.
context: They don't use salt, you know, they use honey!\And it's not just apples, preserved pears in honey are also good.\Also, in newer areas, they use peaches.\Peaches...\They cut the peaches into thin slices and pack them into a barrel.\The high-class versions of the product might even have almonds in them.\They then pour a lot of honey on top and a bit of ginger at the bottom,\and then store it for about two months. response:	The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly.
context: And it's not just apples, preserved pears in honey are also good.\Also, in newer areas, they use peaches.\Peaches...\They cut the peaches into thin slices and pack them into a barrel.\The high-class versions of the product might even have almonds in them.\They then pour a lot of honey on top and a bit of ginger at the bottom,\and then store it for about two months.\The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly. response:	The Church prohibits it, though, because of their doctrines-
context: Also, in newer areas, they use peaches.\Peaches...\They cut the peaches into thin slices and pack them into a barrel.\The high-class versions of the product might even have almonds in them.\They then pour a lot of honey on top and a bit of ginger at the bottom,\and then store it for about two months.\The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly.\The Church prohibits it, though, because of their doctrines- response:	Hey, you're drooling.
context: Peaches...\They cut the peaches into thin slices and pack them into a barrel.\The high-class versions of the product might even have almonds in them.\They then pour a lot of honey on top and a bit of ginger at the bottom,\and then store it for about two months.\The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly.\The Church prohibits it, though, because of their doctrines-\Hey, you're drooling. response:	You're not lying, are you?
context: They cut the peaches into thin slices and pack them into a barrel.\The high-class versions of the product might even have almonds in them.\They then pour a lot of honey on top and a bit of ginger at the bottom,\and then store it for about two months.\The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly.\The Church prohibits it, though, because of their doctrines-\Hey, you're drooling.\You're not lying, are you? response:	I'm not lying, but
context: The high-class versions of the product might even have almonds in them.\They then pour a lot of honey on top and a bit of ginger at the bottom,\and then store it for about two months.\The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly.\The Church prohibits it, though, because of their doctrines-\Hey, you're drooling.\You're not lying, are you?\I'm not lying, but response:	generally, only the rich or noble can buy them.
context: They then pour a lot of honey on top and a bit of ginger at the bottom,\and then store it for about two months.\The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly.\The Church prohibits it, though, because of their doctrines-\Hey, you're drooling.\You're not lying, are you?\I'm not lying, but\generally, only the rich or noble can buy them. response:	Stores don't put them on display often.
context: and then store it for about two months.\The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly.\The Church prohibits it, though, because of their doctrines-\Hey, you're drooling.\You're not lying, are you?\I'm not lying, but\generally, only the rich or noble can buy them.\Stores don't put them on display often. response:	W-What if they put it on display?
context: The sweetness you taste when you put it in your mouth is a sweetness that's almost otherworldly.\The Church prohibits it, though, because of their doctrines-\Hey, you're drooling.\You're not lying, are you?\I'm not lying, but\generally, only the rich or noble can buy them.\Stores don't put them on display often.\W-What if they put it on display? response:	What would happen if they put it on display?
context: The Church prohibits it, though, because of their doctrines-\Hey, you're drooling.\You're not lying, are you?\I'm not lying, but\generally, only the rich or noble can buy them.\Stores don't put them on display often.\W-What if they put it on display?\What would happen if they put it on display? response:	A-All right, I'll buy it for you.
context: Hey, you're drooling.\You're not lying, are you?\I'm not lying, but\generally, only the rich or noble can buy them.\Stores don't put them on display often.\W-What if they put it on display?\What would happen if they put it on display?\A-All right, I'll buy it for you. response:	You'd better!
context: You're not lying, are you?\I'm not lying, but\generally, only the rich or noble can buy them.\Stores don't put them on display often.\W-What if they put it on display?\What would happen if they put it on display?\A-All right, I'll buy it for you.\You'd better! response:	But only a little.
context: I'm not lying, but\generally, only the rich or noble can buy them.\Stores don't put them on display often.\W-What if they put it on display?\What would happen if they put it on display?\A-All right, I'll buy it for you.\You'd better!\But only a little. response:	It's a promise, okay?
context: generally, only the rich or noble can buy them.\Stores don't put them on display often.\W-What if they put it on display?\What would happen if they put it on display?\A-All right, I'll buy it for you.\You'd better!\But only a little.\It's a promise, okay? response:	H-Hey, are you listening?
context: Stores don't put them on display often.\W-What if they put it on display?\What would happen if they put it on display?\A-All right, I'll buy it for you.\You'd better!\But only a little.\It's a promise, okay?\H-Hey, are you listening? response:	Let's go, then.
context: W-What if they put it on display?\What would happen if they put it on display?\A-All right, I'll buy it for you.\You'd better!\But only a little.\It's a promise, okay?\H-Hey, are you listening?\Let's go, then. response:	Let's go quickly.
context: What would happen if they put it on display?\A-All right, I'll buy it for you.\You'd better!\But only a little.\It's a promise, okay?\H-Hey, are you listening?\Let's go, then.\Let's go quickly. response:	Go where?
context: A-All right, I'll buy it for you.\You'd better!\But only a little.\It's a promise, okay?\H-Hey, are you listening?\Let's go, then.\Let's go quickly.\Go where? response:	We'll go to the inn, get on the wagon, and go to that whatever-company, of course.
context: You'd better!\But only a little.\It's a promise, okay?\H-Hey, are you listening?\Let's go, then.\Let's go quickly.\Go where?\We'll go to the inn, get on the wagon, and go to that whatever-company, of course. response:	We'll strike the doors until the master awakens, sell the pepper at a high price,
context: But only a little.\It's a promise, okay?\H-Hey, are you listening?\Let's go, then.\Let's go quickly.\Go where?\We'll go to the inn, get on the wagon, and go to that whatever-company, of course.\We'll strike the doors until the master awakens, sell the pepper at a high price, response:	and then immediately depart for Rubinhaigen!
context: It's a promise, okay?\H-Hey, are you listening?\Let's go, then.\Let's go quickly.\Go where?\We'll go to the inn, get on the wagon, and go to that whatever-company, of course.\We'll strike the doors until the master awakens, sell the pepper at a high price,\and then immediately depart for Rubinhaigen! response:	Wait, wait, at a time like this?
context: H-Hey, are you listening?\Let's go, then.\Let's go quickly.\Go where?\We'll go to the inn, get on the wagon, and go to that whatever-company, of course.\We'll strike the doors until the master awakens, sell the pepper at a high price,\and then immediately depart for Rubinhaigen!\Wait, wait, at a time like this? response:	It might be sold out, so all the more reason to go now.
context: Let's go, then.\Let's go quickly.\Go where?\We'll go to the inn, get on the wagon, and go to that whatever-company, of course.\We'll strike the doors until the master awakens, sell the pepper at a high price,\and then immediately depart for Rubinhaigen!\Wait, wait, at a time like this?\It might be sold out, so all the more reason to go now. response:	There's a higher chance of it not being sold rather than being sold out.
context: Let's go quickly.\Go where?\We'll go to the inn, get on the wagon, and go to that whatever-company, of course.\We'll strike the doors until the master awakens, sell the pepper at a high price,\and then immediately depart for Rubinhaigen!\Wait, wait, at a time like this?\It might be sold out, so all the more reason to go now.\There's a higher chance of it not being sold rather than being sold out. response:	Peaches with honey! I can't believe this.
context: Go where?\We'll go to the inn, get on the wagon, and go to that whatever-company, of course.\We'll strike the doors until the master awakens, sell the pepper at a high price,\and then immediately depart for Rubinhaigen!\Wait, wait, at a time like this?\It might be sold out, so all the more reason to go now.\There's a higher chance of it not being sold rather than being sold out.\Peaches with honey! I can't believe this. response:	I just can't believe it!
context: We'll go to the inn, get on the wagon, and go to that whatever-company, of course.\We'll strike the doors until the master awakens, sell the pepper at a high price,\and then immediately depart for Rubinhaigen!\Wait, wait, at a time like this?\It might be sold out, so all the more reason to go now.\There's a higher chance of it not being sold rather than being sold out.\Peaches with honey! I can't believe this.\I just can't believe it! response:	That's only if we're lucky!
context: We'll strike the doors until the master awakens, sell the pepper at a high price,\and then immediately depart for Rubinhaigen!\Wait, wait, at a time like this?\It might be sold out, so all the more reason to go now.\There's a higher chance of it not being sold rather than being sold out.\Peaches with honey! I can't believe this.\I just can't believe it!\That's only if we're lucky! response:	But...
context: and then immediately depart for Rubinhaigen!\Wait, wait, at a time like this?\It might be sold out, so all the more reason to go now.\There's a higher chance of it not being sold rather than being sold out.\Peaches with honey! I can't believe this.\I just can't believe it!\That's only if we're lucky!\But... response:	It'll be hard for me to give up the pears as well.
context: Wait, wait, at a time like this?\It might be sold out, so all the more reason to go now.\There's a higher chance of it not being sold rather than being sold out.\Peaches with honey! I can't believe this.\I just can't believe it!\That's only if we're lucky!\But...\It'll be hard for me to give up the pears as well. response:	We haven't taken that priest's story too much to heart.
context: It might be sold out, so all the more reason to go now.\There's a higher chance of it not being sold rather than being sold out.\Peaches with honey! I can't believe this.\I just can't believe it!\That's only if we're lucky!\But...\It'll be hard for me to give up the pears as well.\We haven't taken that priest's story too much to heart. response:	It's truly a meeting that God has sent to us.
context: There's a higher chance of it not being sold rather than being sold out.\Peaches with honey! I can't believe this.\I just can't believe it!\That's only if we're lucky!\But...\It'll be hard for me to give up the pears as well.\We haven't taken that priest's story too much to heart.\It's truly a meeting that God has sent to us. response:	I wish to impart those words to you as an expression of the devotional feelings that reside in my heart.
context: Peaches with honey! I can't believe this.\I just can't believe it!\That's only if we're lucky!\But...\It'll be hard for me to give up the pears as well.\We haven't taken that priest's story too much to heart.\It's truly a meeting that God has sent to us.\I wish to impart those words to you as an expression of the devotional feelings that reside in my heart. response:	Well, I talked a bit too long, so shall we get down to business?
context: I just can't believe it!\That's only if we're lucky!\But...\It'll be hard for me to give up the pears as well.\We haven't taken that priest's story too much to heart.\It's truly a meeting that God has sent to us.\I wish to impart those words to you as an expression of the devotional feelings that reside in my heart.\Well, I talked a bit too long, so shall we get down to business? response:	Please.
context: That's only if we're lucky!\But...\It'll be hard for me to give up the pears as well.\We haven't taken that priest's story too much to heart.\It's truly a meeting that God has sent to us.\I wish to impart those words to you as an expression of the devotional feelings that reside in my heart.\Well, I talked a bit too long, so shall we get down to business?\Please. response:	What goods did you bring us today?
context: But...\It'll be hard for me to give up the pears as well.\We haven't taken that priest's story too much to heart.\It's truly a meeting that God has sent to us.\I wish to impart those words to you as an expression of the devotional feelings that reside in my heart.\Well, I talked a bit too long, so shall we get down to business?\Please.\What goods did you bring us today? response:	This here.
context: It'll be hard for me to give up the pears as well.\We haven't taken that priest's story too much to heart.\It's truly a meeting that God has sent to us.\I wish to impart those words to you as an expression of the devotional feelings that reside in my heart.\Well, I talked a bit too long, so shall we get down to business?\Please.\What goods did you bring us today?\This here. response:	Pepper, is it?
context: We haven't taken that priest's story too much to heart.\It's truly a meeting that God has sent to us.\I wish to impart those words to you as an expression of the devotional feelings that reside in my heart.\Well, I talked a bit too long, so shall we get down to business?\Please.\What goods did you bring us today?\This here.\Pepper, is it? response:	I'm surprised you could tell.
context: It's truly a meeting that God has sent to us.\I wish to impart those words to you as an expression of the devotional feelings that reside in my heart.\Well, I talked a bit too long, so shall we get down to business?\Please.\What goods did you bring us today?\This here.\Pepper, is it?\I'm surprised you could tell. response:	It's the smell.
context: I wish to impart those words to you as an expression of the devotional feelings that reside in my heart.\Well, I talked a bit too long, so shall we get down to business?\Please.\What goods did you bring us today?\This here.\Pepper, is it?\I'm surprised you could tell.\It's the smell. response:	I'm amazed.
context: Well, I talked a bit too long, so shall we get down to business?\Please.\What goods did you bring us today?\This here.\Pepper, is it?\I'm surprised you could tell.\It's the smell.\I'm amazed. response:	No, no, it's something I learned after doing this for so long.
context: Please.\What goods did you bring us today?\This here.\Pepper, is it?\I'm surprised you could tell.\It's the smell.\I'm amazed.\No, no, it's something I learned after doing this for so long. response:	By the way, did you bring a scale?
context: What goods did you bring us today?\This here.\Pepper, is it?\I'm surprised you could tell.\It's the smell.\I'm amazed.\No, no, it's something I learned after doing this for so long.\By the way, did you bring a scale? response:	No, I didn't, but...
context: This here.\Pepper, is it?\I'm surprised you could tell.\It's the smell.\I'm amazed.\No, no, it's something I learned after doing this for so long.\By the way, did you bring a scale?\No, I didn't, but... response:	I believe in God.
context: Pepper, is it?\I'm surprised you could tell.\It's the smell.\I'm amazed.\No, no, it's something I learned after doing this for so long.\By the way, did you bring a scale?\No, I didn't, but...\I believe in God. response:	But still, it's quite frustrating.
context: I'm surprised you could tell.\It's the smell.\I'm amazed.\No, no, it's something I learned after doing this for so long.\By the way, did you bring a scale?\No, I didn't, but...\I believe in God.\But still, it's quite frustrating. response:	The demand for pepper has been rising lately.
context: It's the smell.\I'm amazed.\No, no, it's something I learned after doing this for so long.\By the way, did you bring a scale?\No, I didn't, but...\I believe in God.\But still, it's quite frustrating.\The demand for pepper has been rising lately. response:	If you had come a week earlier, I could've bought the pepper cheaper.
