context: Minako's boyfriend is a handsome boy who was born in London! response:	But what do you know?!
context: Not here, either.\That leaves...\Sorry for being late.\Oh, I am dead tired.\How was it?\The Japanese confectionery store we checked\wasn't the doorway to the Dark Kingdom's hideout.\I see. So these aren't the places either. response:	Monsters are being sent in
context: That leaves...\Sorry for being late.\Oh, I am dead tired.\How was it?\The Japanese confectionery store we checked\wasn't the doorway to the Dark Kingdom's hideout.\I see. So these aren't the places either.\Monsters are being sent in response:	one after another from the Dark Kingdom.
context: Sorry for being late.\Oh, I am dead tired.\How was it?\The Japanese confectionery store we checked\wasn't the doorway to the Dark Kingdom's hideout.\I see. So these aren't the places either.\Monsters are being sent in\one after another from the Dark Kingdom. response:	There has to be a doorway for them somewhere.
context: Oh, I am dead tired.\How was it?\The Japanese confectionery store we checked\wasn't the doorway to the Dark Kingdom's hideout.\I see. So these aren't the places either.\Monsters are being sent in\one after another from the Dark Kingdom.\There has to be a doorway for them somewhere. response:	Rei, how about the places you guys checked?
context: How was it?\The Japanese confectionery store we checked\wasn't the doorway to the Dark Kingdom's hideout.\I see. So these aren't the places either.\Monsters are being sent in\one after another from the Dark Kingdom.\There has to be a doorway for them somewhere.\Rei, how about the places you guys checked? response:	No leads whatsoever.
context: The Japanese confectionery store we checked\wasn't the doorway to the Dark Kingdom's hideout.\I see. So these aren't the places either.\Monsters are being sent in\one after another from the Dark Kingdom.\There has to be a doorway for them somewhere.\Rei, how about the places you guys checked?\No leads whatsoever. response:	Not one place that looked like the entrance to a hideout.
context: wasn't the doorway to the Dark Kingdom's hideout.\I see. So these aren't the places either.\Monsters are being sent in\one after another from the Dark Kingdom.\There has to be a doorway for them somewhere.\Rei, how about the places you guys checked?\No leads whatsoever.\Not one place that looked like the entrance to a hideout. response:	That just leaves us with Minako.
context: I see. So these aren't the places either.\Monsters are being sent in\one after another from the Dark Kingdom.\There has to be a doorway for them somewhere.\Rei, how about the places you guys checked?\No leads whatsoever.\Not one place that looked like the entrance to a hideout.\That just leaves us with Minako. response:	I'm so tired!
context: Monsters are being sent in\one after another from the Dark Kingdom.\There has to be a doorway for them somewhere.\Rei, how about the places you guys checked?\No leads whatsoever.\Not one place that looked like the entrance to a hideout.\That just leaves us with Minako.\I'm so tired! response:	Usagi, everyone's working hard, so be a little more patient!
context: one after another from the Dark Kingdom.\There has to be a doorway for them somewhere.\Rei, how about the places you guys checked?\No leads whatsoever.\Not one place that looked like the entrance to a hideout.\That just leaves us with Minako.\I'm so tired!\Usagi, everyone's working hard, so be a little more patient! response:	But, I'm starving!
context: There has to be a doorway for them somewhere.\Rei, how about the places you guys checked?\No leads whatsoever.\Not one place that looked like the entrance to a hideout.\That just leaves us with Minako.\I'm so tired!\Usagi, everyone's working hard, so be a little more patient!\But, I'm starving! response:	What did you just eat at that confectionery?
context: Rei, how about the places you guys checked?\No leads whatsoever.\Not one place that looked like the entrance to a hideout.\That just leaves us with Minako.\I'm so tired!\Usagi, everyone's working hard, so be a little more patient!\But, I'm starving!\What did you just eat at that confectionery? response:	Three plates of sweet dumplings and two cups of jelly with fruits!
context: No leads whatsoever.\Not one place that looked like the entrance to a hideout.\That just leaves us with Minako.\I'm so tired!\Usagi, everyone's working hard, so be a little more patient!\But, I'm starving!\What did you just eat at that confectionery?\Three plates of sweet dumplings and two cups of jelly with fruits! response:	It was yummy!
context: Not one place that looked like the entrance to a hideout.\That just leaves us with Minako.\I'm so tired!\Usagi, everyone's working hard, so be a little more patient!\But, I'm starving!\What did you just eat at that confectionery?\Three plates of sweet dumplings and two cups of jelly with fruits!\It was yummy! response:	But that's not close to being enough!
context: That just leaves us with Minako.\I'm so tired!\Usagi, everyone's working hard, so be a little more patient!\But, I'm starving!\What did you just eat at that confectionery?\Three plates of sweet dumplings and two cups of jelly with fruits!\It was yummy!\But that's not close to being enough! response:	You guys are pretty rowdy in here.
context: I'm so tired!\Usagi, everyone's working hard, so be a little more patient!\But, I'm starving!\What did you just eat at that confectionery?\Three plates of sweet dumplings and two cups of jelly with fruits!\It was yummy!\But that's not close to being enough!\You guys are pretty rowdy in here. response:	How was it?
context: Usagi, everyone's working hard, so be a little more patient!\But, I'm starving!\What did you just eat at that confectionery?\Three plates of sweet dumplings and two cups of jelly with fruits!\It was yummy!\But that's not close to being enough!\You guys are pretty rowdy in here.\How was it? response:	Big disappointment.
context: But, I'm starving!\What did you just eat at that confectionery?\Three plates of sweet dumplings and two cups of jelly with fruits!\It was yummy!\But that's not close to being enough!\You guys are pretty rowdy in here.\How was it?\Big disappointment. response:	We checked all the public baths in Tokyo, but we found nothing!
context: What did you just eat at that confectionery?\Three plates of sweet dumplings and two cups of jelly with fruits!\It was yummy!\But that's not close to being enough!\You guys are pretty rowdy in here.\How was it?\Big disappointment.\We checked all the public baths in Tokyo, but we found nothing! response:	I see. Thanks for your hard work.
context: Three plates of sweet dumplings and two cups of jelly with fruits!\It was yummy!\But that's not close to being enough!\You guys are pretty rowdy in here.\How was it?\Big disappointment.\We checked all the public baths in Tokyo, but we found nothing!\I see. Thanks for your hard work. response:	Why don't we call it a night and go home for today?
context: It was yummy!\But that's not close to being enough!\You guys are pretty rowdy in here.\How was it?\Big disappointment.\We checked all the public baths in Tokyo, but we found nothing!\I see. Thanks for your hard work.\Why don't we call it a night and go home for today? response:	Good idea.
context: But that's not close to being enough!\You guys are pretty rowdy in here.\How was it?\Big disappointment.\We checked all the public baths in Tokyo, but we found nothing!\I see. Thanks for your hard work.\Why don't we call it a night and go home for today?\Good idea. response:	Usagi, we're going home!
context: You guys are pretty rowdy in here.\How was it?\Big disappointment.\We checked all the public baths in Tokyo, but we found nothing!\I see. Thanks for your hard work.\Why don't we call it a night and go home for today?\Good idea.\Usagi, we're going home! response:	What is this?!
context: How was it?\Big disappointment.\We checked all the public baths in Tokyo, but we found nothing!\I see. Thanks for your hard work.\Why don't we call it a night and go home for today?\Good idea.\Usagi, we're going home!\What is this?! response:	This is...
context: Big disappointment.\We checked all the public baths in Tokyo, but we found nothing!\I see. Thanks for your hard work.\Why don't we call it a night and go home for today?\Good idea.\Usagi, we're going home!\What is this?!\This is... response:	It's the same as that other time.
context: We checked all the public baths in Tokyo, but we found nothing!\I see. Thanks for your hard work.\Why don't we call it a night and go home for today?\Good idea.\Usagi, we're going home!\What is this?!\This is...\It's the same as that other time. response:	What other time?
context: I see. Thanks for your hard work.\Why don't we call it a night and go home for today?\Good idea.\Usagi, we're going home!\What is this?!\This is...\It's the same as that other time.\What other time? response:	The way the sunspots are spreading...
context: Why don't we call it a night and go home for today?\Good idea.\Usagi, we're going home!\What is this?!\This is...\It's the same as that other time.\What other time?\The way the sunspots are spreading... response:	It's just like when the Moon Kingdom was destroyed long ago.
context: Good idea.\Usagi, we're going home!\What is this?!\This is...\It's the same as that other time.\What other time?\The way the sunspots are spreading...\It's just like when the Moon Kingdom was destroyed long ago. response:	What?!
context: Usagi, we're going home!\What is this?!\This is...\It's the same as that other time.\What other time?\The way the sunspots are spreading...\It's just like when the Moon Kingdom was destroyed long ago.\What?! response:	When the sunspots blanket the sun,
context: What is this?!\This is...\It's the same as that other time.\What other time?\The way the sunspots are spreading...\It's just like when the Moon Kingdom was destroyed long ago.\What?!\When the sunspots blanket the sun, response:	I shall be brought back to life from my eternal slumber.
context: This is...\It's the same as that other time.\What other time?\The way the sunspots are spreading...\It's just like when the Moon Kingdom was destroyed long ago.\What?!\When the sunspots blanket the sun,\I shall be brought back to life from my eternal slumber. response:	Queen Metalia will be revived?
context: It's the same as that other time.\What other time?\The way the sunspots are spreading...\It's just like when the Moon Kingdom was destroyed long ago.\What?!\When the sunspots blanket the sun,\I shall be brought back to life from my eternal slumber.\Queen Metalia will be revived? response:	Once Queen Metalia is revived
context: What other time?\The way the sunspots are spreading...\It's just like when the Moon Kingdom was destroyed long ago.\What?!\When the sunspots blanket the sun,\I shall be brought back to life from my eternal slumber.\Queen Metalia will be revived?\Once Queen Metalia is revived response:	and we get hold of the Silver Crystal, the world will become mine.
context: The way the sunspots are spreading...\It's just like when the Moon Kingdom was destroyed long ago.\What?!\When the sunspots blanket the sun,\I shall be brought back to life from my eternal slumber.\Queen Metalia will be revived?\Once Queen Metalia is revived\and we get hold of the Silver Crystal, the world will become mine. response:	The day you will hold the Silver Crystal should not be too far away.
context: It's just like when the Moon Kingdom was destroyed long ago.\What?!\When the sunspots blanket the sun,\I shall be brought back to life from my eternal slumber.\Queen Metalia will be revived?\Once Queen Metalia is revived\and we get hold of the Silver Crystal, the world will become mine.\The day you will hold the Silver Crystal should not be too far away. response:	What?
context: What?!\When the sunspots blanket the sun,\I shall be brought back to life from my eternal slumber.\Queen Metalia will be revived?\Once Queen Metalia is revived\and we get hold of the Silver Crystal, the world will become mine.\The day you will hold the Silver Crystal should not be too far away.\What? response:	I found somebody who knows Sailor V's true identity.
context: When the sunspots blanket the sun,\I shall be brought back to life from my eternal slumber.\Queen Metalia will be revived?\Once Queen Metalia is revived\and we get hold of the Silver Crystal, the world will become mine.\The day you will hold the Silver Crystal should not be too far away.\What?\I found somebody who knows Sailor V's true identity. response:	What's this?
context: I shall be brought back to life from my eternal slumber.\Queen Metalia will be revived?\Once Queen Metalia is revived\and we get hold of the Silver Crystal, the world will become mine.\The day you will hold the Silver Crystal should not be too far away.\What?\I found somebody who knows Sailor V's true identity.\What's this? response:	She is a policewoman,
context: Queen Metalia will be revived?\Once Queen Metalia is revived\and we get hold of the Silver Crystal, the world will become mine.\The day you will hold the Silver Crystal should not be too far away.\What?\I found somebody who knows Sailor V's true identity.\What's this?\She is a policewoman, response:	who works for Interpol in England.
context: Once Queen Metalia is revived\and we get hold of the Silver Crystal, the world will become mine.\The day you will hold the Silver Crystal should not be too far away.\What?\I found somebody who knows Sailor V's true identity.\What's this?\She is a policewoman,\who works for Interpol in England. response:	I received information that she used to care
context: and we get hold of the Silver Crystal, the world will become mine.\The day you will hold the Silver Crystal should not be too far away.\What?\I found somebody who knows Sailor V's true identity.\What's this?\She is a policewoman,\who works for Interpol in England.\I received information that she used to care response:	for Sailor V like a younger sister.
context: The day you will hold the Silver Crystal should not be too far away.\What?\I found somebody who knows Sailor V's true identity.\What's this?\She is a policewoman,\who works for Interpol in England.\I received information that she used to care\for Sailor V like a younger sister. response:	It sounds interesting.
context: What?\I found somebody who knows Sailor V's true identity.\What's this?\She is a policewoman,\who works for Interpol in England.\I received information that she used to care\for Sailor V like a younger sister.\It sounds interesting. response:	Sailor V is certain to be related to Sailor Moon in some way.
context: I found somebody who knows Sailor V's true identity.\What's this?\She is a policewoman,\who works for Interpol in England.\I received information that she used to care\for Sailor V like a younger sister.\It sounds interesting.\Sailor V is certain to be related to Sailor Moon in some way. response:	I will leave this matter to you.
context: What's this?\She is a policewoman,\who works for Interpol in England.\I received information that she used to care\for Sailor V like a younger sister.\It sounds interesting.\Sailor V is certain to be related to Sailor Moon in some way.\I will leave this matter to you. response:	Yes, my lady.
context: She is a policewoman,\who works for Interpol in England.\I received information that she used to care\for Sailor V like a younger sister.\It sounds interesting.\Sailor V is certain to be related to Sailor Moon in some way.\I will leave this matter to you.\Yes, my lady. response:	What is happening?!
context: who works for Interpol in England.\I received information that she used to care\for Sailor V like a younger sister.\It sounds interesting.\Sailor V is certain to be related to Sailor Moon in some way.\I will leave this matter to you.\Yes, my lady.\What is happening?! response:	This man possesses the same wavelength of energy that I do.
context: I received information that she used to care\for Sailor V like a younger sister.\It sounds interesting.\Sailor V is certain to be related to Sailor Moon in some way.\I will leave this matter to you.\Yes, my lady.\What is happening?!\This man possesses the same wavelength of energy that I do. response:	He is worthy of inheriting my energy.
context: for Sailor V like a younger sister.\It sounds interesting.\Sailor V is certain to be related to Sailor Moon in some way.\I will leave this matter to you.\Yes, my lady.\What is happening?!\This man possesses the same wavelength of energy that I do.\He is worthy of inheriting my energy. response:	What's wrong?
context: It sounds interesting.\Sailor V is certain to be related to Sailor Moon in some way.\I will leave this matter to you.\Yes, my lady.\What is happening?!\This man possesses the same wavelength of energy that I do.\He is worthy of inheriting my energy.\What's wrong? response:	Tuxedo Mask...
context: Sailor V is certain to be related to Sailor Moon in some way.\I will leave this matter to you.\Yes, my lady.\What is happening?!\This man possesses the same wavelength of energy that I do.\He is worthy of inheriting my energy.\What's wrong?\Tuxedo Mask... response:	You must have had a bad dream again.
context: I will leave this matter to you.\Yes, my lady.\What is happening?!\This man possesses the same wavelength of energy that I do.\He is worthy of inheriting my energy.\What's wrong?\Tuxedo Mask...\You must have had a bad dream again. response:	I understand how you feel, Usagi,
context: Yes, my lady.\What is happening?!\This man possesses the same wavelength of energy that I do.\He is worthy of inheriting my energy.\What's wrong?\Tuxedo Mask...\You must have had a bad dream again.\I understand how you feel, Usagi, response:	but it's bad for you if you keep worrying.
context: What is happening?!\This man possesses the same wavelength of energy that I do.\He is worthy of inheriting my energy.\What's wrong?\Tuxedo Mask...\You must have had a bad dream again.\I understand how you feel, Usagi,\but it's bad for you if you keep worrying. response:	You need to get enough sleep and eat properly.
context: This man possesses the same wavelength of energy that I do.\He is worthy of inheriting my energy.\What's wrong?\Tuxedo Mask...\You must have had a bad dream again.\I understand how you feel, Usagi,\but it's bad for you if you keep worrying.\You need to get enough sleep and eat properly. response:	I know...
context: He is worthy of inheriting my energy.\What's wrong?\Tuxedo Mask...\You must have had a bad dream again.\I understand how you feel, Usagi,\but it's bad for you if you keep worrying.\You need to get enough sleep and eat properly.\I know... response:	I have no problem with eating properly, but...
context: What's wrong?\Tuxedo Mask...\You must have had a bad dream again.\I understand how you feel, Usagi,\but it's bad for you if you keep worrying.\You need to get enough sleep and eat properly.\I know...\I have no problem with eating properly, but... response:	I guess I just wasted my time worrying about you.
context: Tuxedo Mask...\You must have had a bad dream again.\I understand how you feel, Usagi,\but it's bad for you if you keep worrying.\You need to get enough sleep and eat properly.\I know...\I have no problem with eating properly, but...\I guess I just wasted my time worrying about you. response:	Somehow, looking at the moon makes dumplings taste better.
context: You must have had a bad dream again.\I understand how you feel, Usagi,\but it's bad for you if you keep worrying.\You need to get enough sleep and eat properly.\I know...\I have no problem with eating properly, but...\I guess I just wasted my time worrying about you.\Somehow, looking at the moon makes dumplings taste better. response:	Oh, I'm so happy!
context: I understand how you feel, Usagi,\but it's bad for you if you keep worrying.\You need to get enough sleep and eat properly.\I know...\I have no problem with eating properly, but...\I guess I just wasted my time worrying about you.\Somehow, looking at the moon makes dumplings taste better.\Oh, I'm so happy! response:	Sorry, Usagi!
context: but it's bad for you if you keep worrying.\You need to get enough sleep and eat properly.\I know...\I have no problem with eating properly, but...\I guess I just wasted my time worrying about you.\Somehow, looking at the moon makes dumplings taste better.\Oh, I'm so happy!\Sorry, Usagi! response:	What's wrong, Artemis?
context: You need to get enough sleep and eat properly.\I know...\I have no problem with eating properly, but...\I guess I just wasted my time worrying about you.\Somehow, looking at the moon makes dumplings taste better.\Oh, I'm so happy!\Sorry, Usagi!\What's wrong, Artemis? response:	It's terrible! Minako's disappeared!
context: I know...\I have no problem with eating properly, but...\I guess I just wasted my time worrying about you.\Somehow, looking at the moon makes dumplings taste better.\Oh, I'm so happy!\Sorry, Usagi!\What's wrong, Artemis?\It's terrible! Minako's disappeared! response:	Water... Give me water!
context: I have no problem with eating properly, but...\I guess I just wasted my time worrying about you.\Somehow, looking at the moon makes dumplings taste better.\Oh, I'm so happy!\Sorry, Usagi!\What's wrong, Artemis?\It's terrible! Minako's disappeared!\Water... Give me water! response:	I wonder if she found the passage
context: I guess I just wasted my time worrying about you.\Somehow, looking at the moon makes dumplings taste better.\Oh, I'm so happy!\Sorry, Usagi!\What's wrong, Artemis?\It's terrible! Minako's disappeared!\Water... Give me water!\I wonder if she found the passage response:	that leads to the Dark Kingdom's hideout?
context: Somehow, looking at the moon makes dumplings taste better.\Oh, I'm so happy!\Sorry, Usagi!\What's wrong, Artemis?\It's terrible! Minako's disappeared!\Water... Give me water!\I wonder if she found the passage\that leads to the Dark Kingdom's hideout? response:	Give me water!
context: Oh, I'm so happy!\Sorry, Usagi!\What's wrong, Artemis?\It's terrible! Minako's disappeared!\Water... Give me water!\I wonder if she found the passage\that leads to the Dark Kingdom's hideout?\Give me water! response:	If she did, she would take me with her.
context: Sorry, Usagi!\What's wrong, Artemis?\It's terrible! Minako's disappeared!\Water... Give me water!\I wonder if she found the passage\that leads to the Dark Kingdom's hideout?\Give me water!\If she did, she would take me with her. response:	Water!
context: What's wrong, Artemis?\It's terrible! Minako's disappeared!\Water... Give me water!\I wonder if she found the passage\that leads to the Dark Kingdom's hideout?\Give me water!\If she did, she would take me with her.\Water! response:	Don't you have any idea where she might be?
context: It's terrible! Minako's disappeared!\Water... Give me water!\I wonder if she found the passage\that leads to the Dark Kingdom's hideout?\Give me water!\If she did, she would take me with her.\Water!\Don't you have any idea where she might be? response:	There is one thing.
context: Water... Give me water!\I wonder if she found the passage\that leads to the Dark Kingdom's hideout?\Give me water!\If she did, she would take me with her.\Water!\Don't you have any idea where she might be?\There is one thing. response:	She got a phone call from a woman named Katarina.
context: I wonder if she found the passage\that leads to the Dark Kingdom's hideout?\Give me water!\If she did, she would take me with her.\Water!\Don't you have any idea where she might be?\There is one thing.\She got a phone call from a woman named Katarina. response:	This might have something to do with that woman.
context: that leads to the Dark Kingdom's hideout?\Give me water!\If she did, she would take me with her.\Water!\Don't you have any idea where she might be?\There is one thing.\She got a phone call from a woman named Katarina.\This might have something to do with that woman. response:	I thought I was gonna die!
context: Give me water!\If she did, she would take me with her.\Water!\Don't you have any idea where she might be?\There is one thing.\She got a phone call from a woman named Katarina.\This might have something to do with that woman.\I thought I was gonna die! response:	Idiot.
context: If she did, she would take me with her.\Water!\Don't you have any idea where she might be?\There is one thing.\She got a phone call from a woman named Katarina.\This might have something to do with that woman.\I thought I was gonna die!\Idiot. response:	Minako...
context: Water!\Don't you have any idea where she might be?\There is one thing.\She got a phone call from a woman named Katarina.\This might have something to do with that woman.\I thought I was gonna die!\Idiot.\Minako... response:	No, Sailor V.
context: Don't you have any idea where she might be?\There is one thing.\She got a phone call from a woman named Katarina.\This might have something to do with that woman.\I thought I was gonna die!\Idiot.\Minako...\No, Sailor V. response:	I was surprised when I learned that you were well.
context: There is one thing.\She got a phone call from a woman named Katarina.\This might have something to do with that woman.\I thought I was gonna die!\Idiot.\Minako...\No, Sailor V.\I was surprised when I learned that you were well. response:	Why didn't you let me know that you were alive?
context: She got a phone call from a woman named Katarina.\This might have something to do with that woman.\I thought I was gonna die!\Idiot.\Minako...\No, Sailor V.\I was surprised when I learned that you were well.\Why didn't you let me know that you were alive? response:	I hear you still transform into Sailor V to do good deeds.
context: This might have something to do with that woman.\I thought I was gonna die!\Idiot.\Minako...\No, Sailor V.\I was surprised when I learned that you were well.\Why didn't you let me know that you were alive?\I hear you still transform into Sailor V to do good deeds. response:	Yes.
context: I thought I was gonna die!\Idiot.\Minako...\No, Sailor V.\I was surprised when I learned that you were well.\Why didn't you let me know that you were alive?\I hear you still transform into Sailor V to do good deeds.\Yes. response:	I want to help you, too.
context: Idiot.\Minako...\No, Sailor V.\I was surprised when I learned that you were well.\Why didn't you let me know that you were alive?\I hear you still transform into Sailor V to do good deeds.\Yes.\I want to help you, too. response:	Say, you're friends with the sailor warriors, aren't you?
context: Minako...\No, Sailor V.\I was surprised when I learned that you were well.\Why didn't you let me know that you were alive?\I hear you still transform into Sailor V to do good deeds.\Yes.\I want to help you, too.\Say, you're friends with the sailor warriors, aren't you? response:	Won't you introduce them to me?
context: No, Sailor V.\I was surprised when I learned that you were well.\Why didn't you let me know that you were alive?\I hear you still transform into Sailor V to do good deeds.\Yes.\I want to help you, too.\Say, you're friends with the sailor warriors, aren't you?\Won't you introduce them to me? response:	What about Allan? Is he doing all right?
context: I was surprised when I learned that you were well.\Why didn't you let me know that you were alive?\I hear you still transform into Sailor V to do good deeds.\Yes.\I want to help you, too.\Say, you're friends with the sailor warriors, aren't you?\Won't you introduce them to me?\What about Allan? Is he doing all right? response:	Yes, he's fine.
context: Why didn't you let me know that you were alive?\I hear you still transform into Sailor V to do good deeds.\Yes.\I want to help you, too.\Say, you're friends with the sailor warriors, aren't you?\Won't you introduce them to me?\What about Allan? Is he doing all right?\Yes, he's fine. response:	Allan wanted to see you, too.
context: I hear you still transform into Sailor V to do good deeds.\Yes.\I want to help you, too.\Say, you're friends with the sailor warriors, aren't you?\Won't you introduce them to me?\What about Allan? Is he doing all right?\Yes, he's fine.\Allan wanted to see you, too. response:	Katarina, I guess you kept wearing that necklace.
context: Yes.\I want to help you, too.\Say, you're friends with the sailor warriors, aren't you?\Won't you introduce them to me?\What about Allan? Is he doing all right?\Yes, he's fine.\Allan wanted to see you, too.\Katarina, I guess you kept wearing that necklace. response:	Of course. You gave it to me for my birthday, after all.
context: I want to help you, too.\Say, you're friends with the sailor warriors, aren't you?\Won't you introduce them to me?\What about Allan? Is he doing all right?\Yes, he's fine.\Allan wanted to see you, too.\Katarina, I guess you kept wearing that necklace.\Of course. You gave it to me for my birthday, after all. response:	Anyway, I want to be of some use to you, too.
