context: I can see it. The reconstruction of this world is already underway. response:	Wha?
context: No. It feels alien.\Has the dark world already eroded so far into this world?\I know what I must do.\Schwartz Shield!\How was your field trip?\It had its ups and downs.\Wasn't it fun?\You two wandered around the city together, right? response:	Hey, you got a new one!
context: Has the dark world already eroded so far into this world?\I know what I must do.\Schwartz Shield!\How was your field trip?\It had its ups and downs.\Wasn't it fun?\You two wandered around the city together, right?\Hey, you got a new one! response:	The Schwartz Z/X Perfect Customized Ghelzonianses!
context: I know what I must do.\Schwartz Shield!\How was your field trip?\It had its ups and downs.\Wasn't it fun?\You two wandered around the city together, right?\Hey, you got a new one!\The Schwartz Z/X Perfect Customized Ghelzonianses! response:	Don't mix that in!
context: Schwartz Shield!\How was your field trip?\It had its ups and downs.\Wasn't it fun?\You two wandered around the city together, right?\Hey, you got a new one!\The Schwartz Z/X Perfect Customized Ghelzonianses!\Don't mix that in! response:	Ghelzoni?
context: How was your field trip?\It had its ups and downs.\Wasn't it fun?\You two wandered around the city together, right?\Hey, you got a new one!\The Schwartz Z/X Perfect Customized Ghelzonianses!\Don't mix that in!\Ghelzoni? response:	Good morning!
context: It had its ups and downs.\Wasn't it fun?\You two wandered around the city together, right?\Hey, you got a new one!\The Schwartz Z/X Perfect Customized Ghelzonianses!\Don't mix that in!\Ghelzoni?\Good morning! response:	Oh, if it isn't Ghelzonianses and my master!
context: Wasn't it fun?\You two wandered around the city together, right?\Hey, you got a new one!\The Schwartz Z/X Perfect Customized Ghelzonianses!\Don't mix that in!\Ghelzoni?\Good morning!\Oh, if it isn't Ghelzonianses and my master! response:	I said, don't mix that in.
context: You two wandered around the city together, right?\Hey, you got a new one!\The Schwartz Z/X Perfect Customized Ghelzonianses!\Don't mix that in!\Ghelzoni?\Good morning!\Oh, if it isn't Ghelzonianses and my master!\I said, don't mix that in. response:	Dekomori.
context: Hey, you got a new one!\The Schwartz Z/X Perfect Customized Ghelzonianses!\Don't mix that in!\Ghelzoni?\Good morning!\Oh, if it isn't Ghelzonianses and my master!\I said, don't mix that in.\Dekomori. response:	Why are you acting so surprised, Master?
context: The Schwartz Z/X Perfect Customized Ghelzonianses!\Don't mix that in!\Ghelzoni?\Good morning!\Oh, if it isn't Ghelzonianses and my master!\I said, don't mix that in.\Dekomori.\Why are you acting so surprised, Master? response:	The dimension really has warped!
context: Don't mix that in!\Ghelzoni?\Good morning!\Oh, if it isn't Ghelzonianses and my master!\I said, don't mix that in.\Dekomori.\Why are you acting so surprised, Master?\The dimension really has warped! response:	EPISODE VIII THE FALSE... MORI SUMMER
context: Ghelzoni?\Good morning!\Oh, if it isn't Ghelzonianses and my master!\I said, don't mix that in.\Dekomori.\Why are you acting so surprised, Master?\The dimension really has warped!\EPISODE VIII THE FALSE... MORI SUMMER response:	The real Mori Summer?!
context: Good morning!\Oh, if it isn't Ghelzonianses and my master!\I said, don't mix that in.\Dekomori.\Why are you acting so surprised, Master?\The dimension really has warped!\EPISODE VIII THE FALSE... MORI SUMMER\The real Mori Summer?! response:	Ssh, not so loud.
context: Oh, if it isn't Ghelzonianses and my master!\I said, don't mix that in.\Dekomori.\Why are you acting so surprised, Master?\The dimension really has warped!\EPISODE VIII THE FALSE... MORI SUMMER\The real Mori Summer?!\Ssh, not so loud. response:	What do you mean?
context: I said, don't mix that in.\Dekomori.\Why are you acting so surprised, Master?\The dimension really has warped!\EPISODE VIII THE FALSE... MORI SUMMER\The real Mori Summer?!\Ssh, not so loud.\What do you mean? response:	There is no real thing. I'm right here.
context: Dekomori.\Why are you acting so surprised, Master?\The dimension really has warped!\EPISODE VIII THE FALSE... MORI SUMMER\The real Mori Summer?!\Ssh, not so loud.\What do you mean?\There is no real thing. I'm right here. response:	But she told me she met her.
context: Why are you acting so surprised, Master?\The dimension really has warped!\EPISODE VIII THE FALSE... MORI SUMMER\The real Mori Summer?!\Ssh, not so loud.\What do you mean?\There is no real thing. I'm right here.\But she told me she met her. response:	I think they became acquainted through her home page
context: The dimension really has warped!\EPISODE VIII THE FALSE... MORI SUMMER\The real Mori Summer?!\Ssh, not so loud.\What do you mean?\There is no real thing. I'm right here.\But she told me she met her.\I think they became acquainted through her home page response:	while you were away on your field trip.
context: EPISODE VIII THE FALSE... MORI SUMMER\The real Mori Summer?!\Ssh, not so loud.\What do you mean?\There is no real thing. I'm right here.\But she told me she met her.\I think they became acquainted through her home page\while you were away on your field trip. response:	She's here.
context: The real Mori Summer?!\Ssh, not so loud.\What do you mean?\There is no real thing. I'm right here.\But she told me she met her.\I think they became acquainted through her home page\while you were away on your field trip.\She's here. response:	H-how do you do?
context: Ssh, not so loud.\What do you mean?\There is no real thing. I'm right here.\But she told me she met her.\I think they became acquainted through her home page\while you were away on your field trip.\She's here.\H-how do you do? response:	I have been expecting you, Mistress Mori Summer.
context: What do you mean?\There is no real thing. I'm right here.\But she told me she met her.\I think they became acquainted through her home page\while you were away on your field trip.\She's here.\H-how do you do?\I have been expecting you, Mistress Mori Summer. response:	How do you do?
context: There is no real thing. I'm right here.\But she told me she met her.\I think they became acquainted through her home page\while you were away on your field trip.\She's here.\H-how do you do?\I have been expecting you, Mistress Mori Summer.\How do you do? response:	I'm sorry to have kept you waiting, Sanja.
context: But she told me she met her.\I think they became acquainted through her home page\while you were away on your field trip.\She's here.\H-how do you do?\I have been expecting you, Mistress Mori Summer.\How do you do?\I'm sorry to have kept you waiting, Sanja. response:	Did she say Sanja?
context: I think they became acquainted through her home page\while you were away on your field trip.\She's here.\H-how do you do?\I have been expecting you, Mistress Mori Summer.\How do you do?\I'm sorry to have kept you waiting, Sanja.\Did she say Sanja? response:	But look at the gemstones on her left hand.
context: while you were away on your field trip.\She's here.\H-how do you do?\I have been expecting you, Mistress Mori Summer.\How do you do?\I'm sorry to have kept you waiting, Sanja.\Did she say Sanja?\But look at the gemstones on her left hand. response:	Those are the Mori Summer trademark.
context: She's here.\H-how do you do?\I have been expecting you, Mistress Mori Summer.\How do you do?\I'm sorry to have kept you waiting, Sanja.\Did she say Sanja?\But look at the gemstones on her left hand.\Those are the Mori Summer trademark. response:	I, the Magician Mori Summer, have come here once again
context: H-how do you do?\I have been expecting you, Mistress Mori Summer.\How do you do?\I'm sorry to have kept you waiting, Sanja.\Did she say Sanja?\But look at the gemstones on her left hand.\Those are the Mori Summer trademark.\I, the Magician Mori Summer, have come here once again response:	to deliver my words of guidance unto you.
context: I have been expecting you, Mistress Mori Summer.\How do you do?\I'm sorry to have kept you waiting, Sanja.\Did she say Sanja?\But look at the gemstones on her left hand.\Those are the Mori Summer trademark.\I, the Magician Mori Summer, have come here once again\to deliver my words of guidance unto you. response:	Yes, ma'am. Thank you.
context: How do you do?\I'm sorry to have kept you waiting, Sanja.\Did she say Sanja?\But look at the gemstones on her left hand.\Those are the Mori Summer trademark.\I, the Magician Mori Summer, have come here once again\to deliver my words of guidance unto you.\Yes, ma'am. Thank you. response:	I will begin with a purification I and the soul spirits will perform.
context: I'm sorry to have kept you waiting, Sanja.\Did she say Sanja?\But look at the gemstones on her left hand.\Those are the Mori Summer trademark.\I, the Magician Mori Summer, have come here once again\to deliver my words of guidance unto you.\Yes, ma'am. Thank you.\I will begin with a purification I and the soul spirits will perform. response:	Please place your hands together and close your eyes peacefully.
context: Did she say Sanja?\But look at the gemstones on her left hand.\Those are the Mori Summer trademark.\I, the Magician Mori Summer, have come here once again\to deliver my words of guidance unto you.\Yes, ma'am. Thank you.\I will begin with a purification I and the soul spirits will perform.\Please place your hands together and close your eyes peacefully. response:	Yes.
context: But look at the gemstones on her left hand.\Those are the Mori Summer trademark.\I, the Magician Mori Summer, have come here once again\to deliver my words of guidance unto you.\Yes, ma'am. Thank you.\I will begin with a purification I and the soul spirits will perform.\Please place your hands together and close your eyes peacefully.\Yes. response:	I am done.
context: Those are the Mori Summer trademark.\I, the Magician Mori Summer, have come here once again\to deliver my words of guidance unto you.\Yes, ma'am. Thank you.\I will begin with a purification I and the soul spirits will perform.\Please place your hands together and close your eyes peacefully.\Yes.\I am done. response:	What the heck was that?
context: I, the Magician Mori Summer, have come here once again\to deliver my words of guidance unto you.\Yes, ma'am. Thank you.\I will begin with a purification I and the soul spirits will perform.\Please place your hands together and close your eyes peacefully.\Yes.\I am done.\What the heck was that? response:	I suspect that was a magical purification device.
context: to deliver my words of guidance unto you.\Yes, ma'am. Thank you.\I will begin with a purification I and the soul spirits will perform.\Please place your hands together and close your eyes peacefully.\Yes.\I am done.\What the heck was that?\I suspect that was a magical purification device. response:	What?!
context: Yes, ma'am. Thank you.\I will begin with a purification I and the soul spirits will perform.\Please place your hands together and close your eyes peacefully.\Yes.\I am done.\What the heck was that?\I suspect that was a magical purification device.\What?! response:	That was obviously a digital camera.
context: I will begin with a purification I and the soul spirits will perform.\Please place your hands together and close your eyes peacefully.\Yes.\I am done.\What the heck was that?\I suspect that was a magical purification device.\What?!\That was obviously a digital camera. response:	Who does that woman think she is anyway?
context: Please place your hands together and close your eyes peacefully.\Yes.\I am done.\What the heck was that?\I suspect that was a magical purification device.\What?!\That was obviously a digital camera.\Who does that woman think she is anyway? response:	And so, you informed them of my existence upon their return?
context: Yes.\I am done.\What the heck was that?\I suspect that was a magical purification device.\What?!\That was obviously a digital camera.\Who does that woman think she is anyway?\And so, you informed them of my existence upon their return? response:	Yes, ma'am. I intend to inform Fake Mori Summer
context: I am done.\What the heck was that?\I suspect that was a magical purification device.\What?!\That was obviously a digital camera.\Who does that woman think she is anyway?\And so, you informed them of my existence upon their return?\Yes, ma'am. I intend to inform Fake Mori Summer response:	of your existence as well, Mistress Mori Summer.
context: What the heck was that?\I suspect that was a magical purification device.\What?!\That was obviously a digital camera.\Who does that woman think she is anyway?\And so, you informed them of my existence upon their return?\Yes, ma'am. I intend to inform Fake Mori Summer\of your existence as well, Mistress Mori Summer. response:	Then she'll be sorry!
context: I suspect that was a magical purification device.\What?!\That was obviously a digital camera.\Who does that woman think she is anyway?\And so, you informed them of my existence upon their return?\Yes, ma'am. I intend to inform Fake Mori Summer\of your existence as well, Mistress Mori Summer.\Then she'll be sorry! response:	Sanja, you mustn't approach others with such evilness in your heart.
context: What?!\That was obviously a digital camera.\Who does that woman think she is anyway?\And so, you informed them of my existence upon their return?\Yes, ma'am. I intend to inform Fake Mori Summer\of your existence as well, Mistress Mori Summer.\Then she'll be sorry!\Sanja, you mustn't approach others with such evilness in your heart. response:	Yes, any commoner who would assume the name of Mori Summer
context: That was obviously a digital camera.\Who does that woman think she is anyway?\And so, you informed them of my existence upon their return?\Yes, ma'am. I intend to inform Fake Mori Summer\of your existence as well, Mistress Mori Summer.\Then she'll be sorry!\Sanja, you mustn't approach others with such evilness in your heart.\Yes, any commoner who would assume the name of Mori Summer response:	is undoubtedly a thoroughly twisted individual with an ugly heart.
context: Who does that woman think she is anyway?\And so, you informed them of my existence upon their return?\Yes, ma'am. I intend to inform Fake Mori Summer\of your existence as well, Mistress Mori Summer.\Then she'll be sorry!\Sanja, you mustn't approach others with such evilness in your heart.\Yes, any commoner who would assume the name of Mori Summer\is undoubtedly a thoroughly twisted individual with an ugly heart. response:	What?!
context: And so, you informed them of my existence upon their return?\Yes, ma'am. I intend to inform Fake Mori Summer\of your existence as well, Mistress Mori Summer.\Then she'll be sorry!\Sanja, you mustn't approach others with such evilness in your heart.\Yes, any commoner who would assume the name of Mori Summer\is undoubtedly a thoroughly twisted individual with an ugly heart.\What?! response:	However, if you entertain hatred for such a person...
context: Yes, ma'am. I intend to inform Fake Mori Summer\of your existence as well, Mistress Mori Summer.\Then she'll be sorry!\Sanja, you mustn't approach others with such evilness in your heart.\Yes, any commoner who would assume the name of Mori Summer\is undoubtedly a thoroughly twisted individual with an ugly heart.\What?!\However, if you entertain hatred for such a person... response:	that hate will only taint your own purity, Sanja.
context: of your existence as well, Mistress Mori Summer.\Then she'll be sorry!\Sanja, you mustn't approach others with such evilness in your heart.\Yes, any commoner who would assume the name of Mori Summer\is undoubtedly a thoroughly twisted individual with an ugly heart.\What?!\However, if you entertain hatred for such a person...\that hate will only taint your own purity, Sanja. response:	Love is most important!
context: Then she'll be sorry!\Sanja, you mustn't approach others with such evilness in your heart.\Yes, any commoner who would assume the name of Mori Summer\is undoubtedly a thoroughly twisted individual with an ugly heart.\What?!\However, if you entertain hatred for such a person...\that hate will only taint your own purity, Sanja.\Love is most important! response:	A foolish, worthless commoner who thrives upon deceit...
context: Sanja, you mustn't approach others with such evilness in your heart.\Yes, any commoner who would assume the name of Mori Summer\is undoubtedly a thoroughly twisted individual with an ugly heart.\What?!\However, if you entertain hatred for such a person...\that hate will only taint your own purity, Sanja.\Love is most important!\A foolish, worthless commoner who thrives upon deceit... response:	is precisely who so desperately needs our guidance!
context: Yes, any commoner who would assume the name of Mori Summer\is undoubtedly a thoroughly twisted individual with an ugly heart.\What?!\However, if you entertain hatred for such a person...\that hate will only taint your own purity, Sanja.\Love is most important!\A foolish, worthless commoner who thrives upon deceit...\is precisely who so desperately needs our guidance! response:	Oh!
context: is undoubtedly a thoroughly twisted individual with an ugly heart.\What?!\However, if you entertain hatred for such a person...\that hate will only taint your own purity, Sanja.\Love is most important!\A foolish, worthless commoner who thrives upon deceit...\is precisely who so desperately needs our guidance!\Oh! response:	Oh, really? That woman is very interesting.
context: What?!\However, if you entertain hatred for such a person...\that hate will only taint your own purity, Sanja.\Love is most important!\A foolish, worthless commoner who thrives upon deceit...\is precisely who so desperately needs our guidance!\Oh!\Oh, really? That woman is very interesting. response:	Hey!
context: However, if you entertain hatred for such a person...\that hate will only taint your own purity, Sanja.\Love is most important!\A foolish, worthless commoner who thrives upon deceit...\is precisely who so desperately needs our guidance!\Oh!\Oh, really? That woman is very interesting.\Hey! response:	It's you, Fake Sum...
context: that hate will only taint your own purity, Sanja.\Love is most important!\A foolish, worthless commoner who thrives upon deceit...\is precisely who so desperately needs our guidance!\Oh!\Oh, really? That woman is very interesting.\Hey!\It's you, Fake Sum... response:	I told you I'm not a fake.
context: Love is most important!\A foolish, worthless commoner who thrives upon deceit...\is precisely who so desperately needs our guidance!\Oh!\Oh, really? That woman is very interesting.\Hey!\It's you, Fake Sum...\I told you I'm not a fake. response:	Oh, dear. Are you the one who has been using my name?
context: A foolish, worthless commoner who thrives upon deceit...\is precisely who so desperately needs our guidance!\Oh!\Oh, really? That woman is very interesting.\Hey!\It's you, Fake Sum...\I told you I'm not a fake.\Oh, dear. Are you the one who has been using my name? response:	Deko!
context: is precisely who so desperately needs our guidance!\Oh!\Oh, really? That woman is very interesting.\Hey!\It's you, Fake Sum...\I told you I'm not a fake.\Oh, dear. Are you the one who has been using my name?\Deko! response:	You're the identity thief! How dare you make a home page?!
context: Oh!\Oh, really? That woman is very interesting.\Hey!\It's you, Fake Sum...\I told you I'm not a fake.\Oh, dear. Are you the one who has been using my name?\Deko!\You're the identity thief! How dare you make a home page?! response:	Oh, my. Sanja told me about you,
context: Oh, really? That woman is very interesting.\Hey!\It's you, Fake Sum...\I told you I'm not a fake.\Oh, dear. Are you the one who has been using my name?\Deko!\You're the identity thief! How dare you make a home page?!\Oh, my. Sanja told me about you, response:	but I had no idea the pretense ran so deep.
context: Hey!\It's you, Fake Sum...\I told you I'm not a fake.\Oh, dear. Are you the one who has been using my name?\Deko!\You're the identity thief! How dare you make a home page?!\Oh, my. Sanja told me about you,\but I had no idea the pretense ran so deep. response:	You must be extremely impure of heart.
context: It's you, Fake Sum...\I told you I'm not a fake.\Oh, dear. Are you the one who has been using my name?\Deko!\You're the identity thief! How dare you make a home page?!\Oh, my. Sanja told me about you,\but I had no idea the pretense ran so deep.\You must be extremely impure of heart. response:	It's easy to see.
context: I told you I'm not a fake.\Oh, dear. Are you the one who has been using my name?\Deko!\You're the identity thief! How dare you make a home page?!\Oh, my. Sanja told me about you,\but I had no idea the pretense ran so deep.\You must be extremely impure of heart.\It's easy to see. response:	Oh, really?
context: Oh, dear. Are you the one who has been using my name?\Deko!\You're the identity thief! How dare you make a home page?!\Oh, my. Sanja told me about you,\but I had no idea the pretense ran so deep.\You must be extremely impure of heart.\It's easy to see.\Oh, really? response:	Mistress Mori Summer!
context: Deko!\You're the identity thief! How dare you make a home page?!\Oh, my. Sanja told me about you,\but I had no idea the pretense ran so deep.\You must be extremely impure of heart.\It's easy to see.\Oh, really?\Mistress Mori Summer! response:	You stand back!
context: You're the identity thief! How dare you make a home page?!\Oh, my. Sanja told me about you,\but I had no idea the pretense ran so deep.\You must be extremely impure of heart.\It's easy to see.\Oh, really?\Mistress Mori Summer!\You stand back! response:	Deko! You stand back!
context: Oh, my. Sanja told me about you,\but I had no idea the pretense ran so deep.\You must be extremely impure of heart.\It's easy to see.\Oh, really?\Mistress Mori Summer!\You stand back!\Deko! You stand back! response:	Sanja!
context: but I had no idea the pretense ran so deep.\You must be extremely impure of heart.\It's easy to see.\Oh, really?\Mistress Mori Summer!\You stand back!\Deko! You stand back!\Sanja! response:	Who are you calling Sanja?! Now listen up!
context: You must be extremely impure of heart.\It's easy to see.\Oh, really?\Mistress Mori Summer!\You stand back!\Deko! You stand back!\Sanja!\Who are you calling Sanja?! Now listen up! response:	I utterly despise women like you who hide who they really are...
context: It's easy to see.\Oh, really?\Mistress Mori Summer!\You stand back!\Deko! You stand back!\Sanja!\Who are you calling Sanja?! Now listen up!\I utterly despise women like you who hide who they really are... response:	Like you can talk.
context: Oh, really?\Mistress Mori Summer!\You stand back!\Deko! You stand back!\Sanja!\Who are you calling Sanja?! Now listen up!\I utterly despise women like you who hide who they really are...\Like you can talk. response:	You butt out.
context: Mistress Mori Summer!\You stand back!\Deko! You stand back!\Sanja!\Who are you calling Sanja?! Now listen up!\I utterly despise women like you who hide who they really are...\Like you can talk.\You butt out. response:	Then are you suggesting that you are the real Mori Summer?
context: You stand back!\Deko! You stand back!\Sanja!\Who are you calling Sanja?! Now listen up!\I utterly despise women like you who hide who they really are...\Like you can talk.\You butt out.\Then are you suggesting that you are the real Mori Summer? response:	I am!
context: Deko! You stand back!\Sanja!\Who are you calling Sanja?! Now listen up!\I utterly despise women like you who hide who they really are...\Like you can talk.\You butt out.\Then are you suggesting that you are the real Mori Summer?\I am! response:	If so, why do you hide who you really are?
context: Sanja!\Who are you calling Sanja?! Now listen up!\I utterly despise women like you who hide who they really are...\Like you can talk.\You butt out.\Then are you suggesting that you are the real Mori Summer?\I am!\If so, why do you hide who you really are? response:	I have been told that you attempted to burn the scripture of the Mabinogion.
context: Who are you calling Sanja?! Now listen up!\I utterly despise women like you who hide who they really are...\Like you can talk.\You butt out.\Then are you suggesting that you are the real Mori Summer?\I am!\If so, why do you hide who you really are?\I have been told that you attempted to burn the scripture of the Mabinogion. response:	Th-that was because...
context: I utterly despise women like you who hide who they really are...\Like you can talk.\You butt out.\Then are you suggesting that you are the real Mori Summer?\I am!\If so, why do you hide who you really are?\I have been told that you attempted to burn the scripture of the Mabinogion.\Th-that was because... response:	That's right! You would only do that because you are the imposter!
context: Like you can talk.\You butt out.\Then are you suggesting that you are the real Mori Summer?\I am!\If so, why do you hide who you really are?\I have been told that you attempted to burn the scripture of the Mabinogion.\Th-that was because...\That's right! You would only do that because you are the imposter! response:	That isn't true!
context: You butt out.\Then are you suggesting that you are the real Mori Summer?\I am!\If so, why do you hide who you really are?\I have been told that you attempted to burn the scripture of the Mabinogion.\Th-that was because...\That's right! You would only do that because you are the imposter!\That isn't true! response:	Then why did you?
context: Then are you suggesting that you are the real Mori Summer?\I am!\If so, why do you hide who you really are?\I have been told that you attempted to burn the scripture of the Mabinogion.\Th-that was because...\That's right! You would only do that because you are the imposter!\That isn't true!\Then why did you? response:	Because...
context: I am!\If so, why do you hide who you really are?\I have been told that you attempted to burn the scripture of the Mabinogion.\Th-that was because...\That's right! You would only do that because you are the imposter!\That isn't true!\Then why did you?\Because... response:	Well...
context: If so, why do you hide who you really are?\I have been told that you attempted to burn the scripture of the Mabinogion.\Th-that was because...\That's right! You would only do that because you are the imposter!\That isn't true!\Then why did you?\Because...\Well... response:	It's complicated.
context: I have been told that you attempted to burn the scripture of the Mabinogion.\Th-that was because...\That's right! You would only do that because you are the imposter!\That isn't true!\Then why did you?\Because...\Well...\It's complicated. response:	Just be quiet.
context: Th-that was because...\That's right! You would only do that because you are the imposter!\That isn't true!\Then why did you?\Because...\Well...\It's complicated.\Just be quiet. response:	Was it wise to tell her you'd bring the proof tomorrow?
context: That's right! You would only do that because you are the imposter!\That isn't true!\Then why did you?\Because...\Well...\It's complicated.\Just be quiet.\Was it wise to tell her you'd bring the proof tomorrow? response:	I couldn't exactly back down.
context: That isn't true!\Then why did you?\Because...\Well...\It's complicated.\Just be quiet.\Was it wise to tell her you'd bring the proof tomorrow?\I couldn't exactly back down. response:	I disposed of my dark history very thoroughly.
context: Then why did you?\Because...\Well...\It's complicated.\Just be quiet.\Was it wise to tell her you'd bring the proof tomorrow?\I couldn't exactly back down.\I disposed of my dark history very thoroughly. response:	There is nothing left.
context: Because...\Well...\It's complicated.\Just be quiet.\Was it wise to tell her you'd bring the proof tomorrow?\I couldn't exactly back down.\I disposed of my dark history very thoroughly.\There is nothing left. response:	The hand accessory isn't enough proof.
context: Well...\It's complicated.\Just be quiet.\Was it wise to tell her you'd bring the proof tomorrow?\I couldn't exactly back down.\I disposed of my dark history very thoroughly.\There is nothing left.\The hand accessory isn't enough proof. response:	Now what?
context: It's complicated.\Just be quiet.\Was it wise to tell her you'd bring the proof tomorrow?\I couldn't exactly back down.\I disposed of my dark history very thoroughly.\There is nothing left.\The hand accessory isn't enough proof.\Now what? response:	It's time for my last resort.
context: Just be quiet.\Was it wise to tell her you'd bring the proof tomorrow?\I couldn't exactly back down.\I disposed of my dark history very thoroughly.\There is nothing left.\The hand accessory isn't enough proof.\Now what?\It's time for my last resort. response:	Spirits, I order you. Please honor my request.
context: Was it wise to tell her you'd bring the proof tomorrow?\I couldn't exactly back down.\I disposed of my dark history very thoroughly.\There is nothing left.\The hand accessory isn't enough proof.\Now what?\It's time for my last resort.\Spirits, I order you. Please honor my request. response:	That's your last resort?!
context: I couldn't exactly back down.\I disposed of my dark history very thoroughly.\There is nothing left.\The hand accessory isn't enough proof.\Now what?\It's time for my last resort.\Spirits, I order you. Please honor my request.\That's your last resort?! response:	I feel the power.
context: I disposed of my dark history very thoroughly.\There is nothing left.\The hand accessory isn't enough proof.\Now what?\It's time for my last resort.\Spirits, I order you. Please honor my request.\That's your last resort?!\I feel the power. response:	It will be fine. This locating method has a 100 success rate.
context: There is nothing left.\The hand accessory isn't enough proof.\Now what?\It's time for my last resort.\Spirits, I order you. Please honor my request.\That's your last resort?!\I feel the power.\It will be fine. This locating method has a 100 success rate. response:	As they say, fortune telling can be unpredictable.
context: The hand accessory isn't enough proof.\Now what?\It's time for my last resort.\Spirits, I order you. Please honor my request.\That's your last resort?!\I feel the power.\It will be fine. This locating method has a 100 success rate.\As they say, fortune telling can be unpredictable. response:	Be quiet. You're distracting me.
context: Now what?\It's time for my last resort.\Spirits, I order you. Please honor my request.\That's your last resort?!\I feel the power.\It will be fine. This locating method has a 100 success rate.\As they say, fortune telling can be unpredictable.\Be quiet. You're distracting me. response:	So, she found nothing.
context: It's time for my last resort.\Spirits, I order you. Please honor my request.\That's your last resort?!\I feel the power.\It will be fine. This locating method has a 100 success rate.\As they say, fortune telling can be unpredictable.\Be quiet. You're distracting me.\So, she found nothing. response:	Is Nibutani really the imposter
context: Spirits, I order you. Please honor my request.\That's your last resort?!\I feel the power.\It will be fine. This locating method has a 100 success rate.\As they say, fortune telling can be unpredictable.\Be quiet. You're distracting me.\So, she found nothing.\Is Nibutani really the imposter response:	as Dekomori claims?
context: That's your last resort?!\I feel the power.\It will be fine. This locating method has a 100 success rate.\As they say, fortune telling can be unpredictable.\Be quiet. You're distracting me.\So, she found nothing.\Is Nibutani really the imposter\as Dekomori claims? response:	No, not at all.
context: I feel the power.\It will be fine. This locating method has a 100 success rate.\As they say, fortune telling can be unpredictable.\Be quiet. You're distracting me.\So, she found nothing.\Is Nibutani really the imposter\as Dekomori claims?\No, not at all. response:	But I don't really see the issue no matter who's the real thing.
context: It will be fine. This locating method has a 100 success rate.\As they say, fortune telling can be unpredictable.\Be quiet. You're distracting me.\So, she found nothing.\Is Nibutani really the imposter\as Dekomori claims?\No, not at all.\But I don't really see the issue no matter who's the real thing. response:	Yuta.
context: As they say, fortune telling can be unpredictable.\Be quiet. You're distracting me.\So, she found nothing.\Is Nibutani really the imposter\as Dekomori claims?\No, not at all.\But I don't really see the issue no matter who's the real thing.\Yuta. response:	Yeah.
context: Be quiet. You're distracting me.\So, she found nothing.\Is Nibutani really the imposter\as Dekomori claims?\No, not at all.\But I don't really see the issue no matter who's the real thing.\Yuta.\Yeah. response:	So, you have no proof then?
context: So, she found nothing.\Is Nibutani really the imposter\as Dekomori claims?\No, not at all.\But I don't really see the issue no matter who's the real thing.\Yuta.\Yeah.\So, you have no proof then? response:	You could say that. But I am the real one.
context: Is Nibutani really the imposter\as Dekomori claims?\No, not at all.\But I don't really see the issue no matter who's the real thing.\Yuta.\Yeah.\So, you have no proof then?\You could say that. But I am the real one. response:	This is what you get for competing with the real thing, Fake Summer!
context: as Dekomori claims?\No, not at all.\But I don't really see the issue no matter who's the real thing.\Yuta.\Yeah.\So, you have no proof then?\You could say that. But I am the real one.\This is what you get for competing with the real thing, Fake Summer! response:	You don't know the sheer scope of your folly!
context: No, not at all.\But I don't really see the issue no matter who's the real thing.\Yuta.\Yeah.\So, you have no proof then?\You could say that. But I am the real one.\This is what you get for competing with the real thing, Fake Summer!\You don't know the sheer scope of your folly! response:	Oh, be quiet! I will also add that I'll bet you don't have any proof either.
