context: The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: Kanata.\You're getting a full workout on that bugle this afternoon.\Eh? Really?\Heref youf hoof.\Gosh...\Where are your manners? Wouldn't your dad cry if he saw you?\Heh... Wike a' cabe\Here, for your tea. response:	Fortune cookies?
context: You're getting a full workout on that bugle this afternoon.\Eh? Really?\Heref youf hoof.\Gosh...\Where are your manners? Wouldn't your dad cry if he saw you?\Heh... Wike a' cabe\Here, for your tea.\Fortune cookies? response:	You really can't stand them, can you?
context: Eh? Really?\Heref youf hoof.\Gosh...\Where are your manners? Wouldn't your dad cry if he saw you?\Heh... Wike a' cabe\Here, for your tea.\Fortune cookies?\You really can't stand them, can you? response:	But you can't blame those kids at the church.
context: Heref youf hoof.\Gosh...\Where are your manners? Wouldn't your dad cry if he saw you?\Heh... Wike a' cabe\Here, for your tea.\Fortune cookies?\You really can't stand them, can you?\But you can't blame those kids at the church. response:	Everyone who takes advantage of worthless superstitions to get some sort of profit is the same.
context: Gosh...\Where are your manners? Wouldn't your dad cry if he saw you?\Heh... Wike a' cabe\Here, for your tea.\Fortune cookies?\You really can't stand them, can you?\But you can't blame those kids at the church.\Everyone who takes advantage of worthless superstitions to get some sort of profit is the same. response:	Not at all.
context: Where are your manners? Wouldn't your dad cry if he saw you?\Heh... Wike a' cabe\Here, for your tea.\Fortune cookies?\You really can't stand them, can you?\But you can't blame those kids at the church.\Everyone who takes advantage of worthless superstitions to get some sort of profit is the same.\Not at all. response:	The ones here taste good.
context: Heh... Wike a' cabe\Here, for your tea.\Fortune cookies?\You really can't stand them, can you?\But you can't blame those kids at the church.\Everyone who takes advantage of worthless superstitions to get some sort of profit is the same.\Not at all.\The ones here taste good. response:	Very Lucky
context: Here, for your tea.\Fortune cookies?\You really can't stand them, can you?\But you can't blame those kids at the church.\Everyone who takes advantage of worthless superstitions to get some sort of profit is the same.\Not at all.\The ones here taste good.\Very Lucky response:	Oh, my.
context: Fortune cookies?\You really can't stand them, can you?\But you can't blame those kids at the church.\Everyone who takes advantage of worthless superstitions to get some sort of profit is the same.\Not at all.\The ones here taste good.\Very Lucky\Oh, my. response:	But Kanata has really gotten used to this place.
context: You really can't stand them, can you?\But you can't blame those kids at the church.\Everyone who takes advantage of worthless superstitions to get some sort of profit is the same.\Not at all.\The ones here taste good.\Very Lucky\Oh, my.\But Kanata has really gotten used to this place. response:	She's always trying so hard, it's cute.
context: But you can't blame those kids at the church.\Everyone who takes advantage of worthless superstitions to get some sort of profit is the same.\Not at all.\The ones here taste good.\Very Lucky\Oh, my.\But Kanata has really gotten used to this place.\She's always trying so hard, it's cute. response:	You think?
context: Everyone who takes advantage of worthless superstitions to get some sort of profit is the same.\Not at all.\The ones here taste good.\Very Lucky\Oh, my.\But Kanata has really gotten used to this place.\She's always trying so hard, it's cute.\You think? response:	I have to admit she's diligent and full of enthusiasm.
context: Not at all.\The ones here taste good.\Very Lucky\Oh, my.\But Kanata has really gotten used to this place.\She's always trying so hard, it's cute.\You think?\I have to admit she's diligent and full of enthusiasm. response:	But I'm not the type to think you can get by with just that.
context: The ones here taste good.\Very Lucky\Oh, my.\But Kanata has really gotten used to this place.\She's always trying so hard, it's cute.\You think?\I have to admit she's diligent and full of enthusiasm.\But I'm not the type to think you can get by with just that. response:	Why are you giving me that look?
context: Very Lucky\Oh, my.\But Kanata has really gotten used to this place.\She's always trying so hard, it's cute.\You think?\I have to admit she's diligent and full of enthusiasm.\But I'm not the type to think you can get by with just that.\Why are you giving me that look? response:	That's a secret.
context: Oh, my.\But Kanata has really gotten used to this place.\She's always trying so hard, it's cute.\You think?\I have to admit she's diligent and full of enthusiasm.\But I'm not the type to think you can get by with just that.\Why are you giving me that look?\That's a secret. response:	Come on. Quit playing me.
context: But Kanata has really gotten used to this place.\She's always trying so hard, it's cute.\You think?\I have to admit she's diligent and full of enthusiasm.\But I'm not the type to think you can get by with just that.\Why are you giving me that look?\That's a secret.\Come on. Quit playing me. response:	Atrocious
context: She's always trying so hard, it's cute.\You think?\I have to admit she's diligent and full of enthusiasm.\But I'm not the type to think you can get by with just that.\Why are you giving me that look?\That's a secret.\Come on. Quit playing me.\Atrocious response:	We'll be going then.
context: You think?\I have to admit she's diligent and full of enthusiasm.\But I'm not the type to think you can get by with just that.\Why are you giving me that look?\That's a secret.\Come on. Quit playing me.\Atrocious\We'll be going then. response:	It might take a while to get back.
context: I have to admit she's diligent and full of enthusiasm.\But I'm not the type to think you can get by with just that.\Why are you giving me that look?\That's a secret.\Come on. Quit playing me.\Atrocious\We'll be going then.\It might take a while to get back. response:	Got you. Take care.
context: But I'm not the type to think you can get by with just that.\Why are you giving me that look?\That's a secret.\Come on. Quit playing me.\Atrocious\We'll be going then.\It might take a while to get back.\Got you. Take care. response:	Don't make any problems for Rio, got it?
context: Why are you giving me that look?\That's a secret.\Come on. Quit playing me.\Atrocious\We'll be going then.\It might take a while to get back.\Got you. Take care.\Don't make any problems for Rio, got it? response:	Sure.
context: That's a secret.\Come on. Quit playing me.\Atrocious\We'll be going then.\It might take a while to get back.\Got you. Take care.\Don't make any problems for Rio, got it?\Sure. response:	Commencing operation.
context: Come on. Quit playing me.\Atrocious\We'll be going then.\It might take a while to get back.\Got you. Take care.\Don't make any problems for Rio, got it?\Sure.\Commencing operation. response:	Drive carefully!
context: Atrocious\We'll be going then.\It might take a while to get back.\Got you. Take care.\Don't make any problems for Rio, got it?\Sure.\Commencing operation.\Drive carefully! response:	I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics.
context: We'll be going then.\It might take a while to get back.\Got you. Take care.\Don't make any problems for Rio, got it?\Sure.\Commencing operation.\Drive carefully!\I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics. response:	Try it.
context: It might take a while to get back.\Got you. Take care.\Don't make any problems for Rio, got it?\Sure.\Commencing operation.\Drive carefully!\I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics.\Try it. response:	Yes, sir.
context: Got you. Take care.\Don't make any problems for Rio, got it?\Sure.\Commencing operation.\Drive carefully!\I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics.\Try it.\Yes, sir. response:	How's life in the fort so far?
context: Don't make any problems for Rio, got it?\Sure.\Commencing operation.\Drive carefully!\I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics.\Try it.\Yes, sir.\How's life in the fort so far? response:	It's fun!
context: Sure.\Commencing operation.\Drive carefully!\I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics.\Try it.\Yes, sir.\How's life in the fort so far?\It's fun! response:	You're lax enough to say it like that.
context: Commencing operation.\Drive carefully!\I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics.\Try it.\Yes, sir.\How's life in the fort so far?\It's fun!\You're lax enough to say it like that. response:	I'm almost kind of jealous.
context: Drive carefully!\I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics.\Try it.\Yes, sir.\How's life in the fort so far?\It's fun!\You're lax enough to say it like that.\I'm almost kind of jealous. response:	While we're still on it, why'd you enlist in the army?
context: I don't expect you to be able to do this, but controlling the note with just the mouthpiece is one of the basics.\Try it.\Yes, sir.\How's life in the fort so far?\It's fun!\You're lax enough to say it like that.\I'm almost kind of jealous.\While we're still on it, why'd you enlist in the army? response:	Well, um...
context: Try it.\Yes, sir.\How's life in the fort so far?\It's fun!\You're lax enough to say it like that.\I'm almost kind of jealous.\While we're still on it, why'd you enlist in the army?\Well, um... response:	I heard I could learn how to play an instrument for free.
context: Yes, sir.\How's life in the fort so far?\It's fun!\You're lax enough to say it like that.\I'm almost kind of jealous.\While we're still on it, why'd you enlist in the army?\Well, um...\I heard I could learn how to play an instrument for free. response:	Oh, but I also thought that it was important to protect my country!
context: How's life in the fort so far?\It's fun!\You're lax enough to say it like that.\I'm almost kind of jealous.\While we're still on it, why'd you enlist in the army?\Well, um...\I heard I could learn how to play an instrument for free.\Oh, but I also thought that it was important to protect my country! response:	I don't mind. Even if it's for money or whatever,
context: It's fun!\You're lax enough to say it like that.\I'm almost kind of jealous.\While we're still on it, why'd you enlist in the army?\Well, um...\I heard I could learn how to play an instrument for free.\Oh, but I also thought that it was important to protect my country!\I don't mind. Even if it's for money or whatever, response:	the ones with some ambition stay around longer.
context: You're lax enough to say it like that.\I'm almost kind of jealous.\While we're still on it, why'd you enlist in the army?\Well, um...\I heard I could learn how to play an instrument for free.\Oh, but I also thought that it was important to protect my country!\I don't mind. Even if it's for money or whatever,\the ones with some ambition stay around longer. response:	Um... I'm honored...
context: I'm almost kind of jealous.\While we're still on it, why'd you enlist in the army?\Well, um...\I heard I could learn how to play an instrument for free.\Oh, but I also thought that it was important to protect my country!\I don't mind. Even if it's for money or whatever,\the ones with some ambition stay around longer.\Um... I'm honored... response:	So, why did you join?
context: While we're still on it, why'd you enlist in the army?\Well, um...\I heard I could learn how to play an instrument for free.\Oh, but I also thought that it was important to protect my country!\I don't mind. Even if it's for money or whatever,\the ones with some ambition stay around longer.\Um... I'm honored...\So, why did you join? response:	Me? Well, probably the opposite of you.
context: Well, um...\I heard I could learn how to play an instrument for free.\Oh, but I also thought that it was important to protect my country!\I don't mind. Even if it's for money or whatever,\the ones with some ambition stay around longer.\Um... I'm honored...\So, why did you join?\Me? Well, probably the opposite of you. response:	They are pretty hard to find these days.
context: I heard I could learn how to play an instrument for free.\Oh, but I also thought that it was important to protect my country!\I don't mind. Even if it's for money or whatever,\the ones with some ambition stay around longer.\Um... I'm honored...\So, why did you join?\Me? Well, probably the opposite of you.\They are pretty hard to find these days. response:	You don't hear brass instruments much outside the army.
context: Oh, but I also thought that it was important to protect my country!\I don't mind. Even if it's for money or whatever,\the ones with some ambition stay around longer.\Um... I'm honored...\So, why did you join?\Me? Well, probably the opposite of you.\They are pretty hard to find these days.\You don't hear brass instruments much outside the army. response:	I heard one a long time ago.
context: I don't mind. Even if it's for money or whatever,\the ones with some ambition stay around longer.\Um... I'm honored...\So, why did you join?\Me? Well, probably the opposite of you.\They are pretty hard to find these days.\You don't hear brass instruments much outside the army.\I heard one a long time ago. response:	Just... like... yours...
context: the ones with some ambition stay around longer.\Um... I'm honored...\So, why did you join?\Me? Well, probably the opposite of you.\They are pretty hard to find these days.\You don't hear brass instruments much outside the army.\I heard one a long time ago.\Just... like... yours... response:	Kanata?
context: Um... I'm honored...\So, why did you join?\Me? Well, probably the opposite of you.\They are pretty hard to find these days.\You don't hear brass instruments much outside the army.\I heard one a long time ago.\Just... like... yours...\Kanata? response:	The sound... of the sky.
context: So, why did you join?\Me? Well, probably the opposite of you.\They are pretty hard to find these days.\You don't hear brass instruments much outside the army.\I heard one a long time ago.\Just... like... yours...\Kanata?\The sound... of the sky. response:	What's wrong? Pull yourself together!
context: Me? Well, probably the opposite of you.\They are pretty hard to find these days.\You don't hear brass instruments much outside the army.\I heard one a long time ago.\Just... like... yours...\Kanata?\The sound... of the sky.\What's wrong? Pull yourself together! response:	Pull yourself together, Kanata!
context: They are pretty hard to find these days.\You don't hear brass instruments much outside the army.\I heard one a long time ago.\Just... like... yours...\Kanata?\The sound... of the sky.\What's wrong? Pull yourself together!\Pull yourself together, Kanata! response:	Answer me!
context: You don't hear brass instruments much outside the army.\I heard one a long time ago.\Just... like... yours...\Kanata?\The sound... of the sky.\What's wrong? Pull yourself together!\Pull yourself together, Kanata!\Answer me! response:	No!
context: I heard one a long time ago.\Just... like... yours...\Kanata?\The sound... of the sky.\What's wrong? Pull yourself together!\Pull yourself together, Kanata!\Answer me!\No! response:	Please, just stay still.
context: Just... like... yours...\Kanata?\The sound... of the sky.\What's wrong? Pull yourself together!\Pull yourself together, Kanata!\Answer me!\No!\Please, just stay still. response:	It's hot!
context: Kanata?\The sound... of the sky.\What's wrong? Pull yourself together!\Pull yourself together, Kanata!\Answer me!\No!\Please, just stay still.\It's hot! response:	It's hot, Mom!
context: The sound... of the sky.\What's wrong? Pull yourself together!\Pull yourself together, Kanata!\Answer me!\No!\Please, just stay still.\It's hot!\It's hot, Mom! response:	Is it hot?
context: What's wrong? Pull yourself together!\Pull yourself together, Kanata!\Answer me!\No!\Please, just stay still.\It's hot!\It's hot, Mom!\Is it hot? response:	Don't worry, you'll be alright.
context: Pull yourself together, Kanata!\Answer me!\No!\Please, just stay still.\It's hot!\It's hot, Mom!\Is it hot?\Don't worry, you'll be alright. response:	You'll be alright.
context: Answer me!\No!\Please, just stay still.\It's hot!\It's hot, Mom!\Is it hot?\Don't worry, you'll be alright.\You'll be alright. response:	Mo-
context: No!\Please, just stay still.\It's hot!\It's hot, Mom!\Is it hot?\Don't worry, you'll be alright.\You'll be alright.\Mo- response:	Mom!
context: Please, just stay still.\It's hot!\It's hot, Mom!\Is it hot?\Don't worry, you'll be alright.\You'll be alright.\Mo-\Mom! response:	What's wrong, Kanata?
context: It's hot!\It's hot, Mom!\Is it hot?\Don't worry, you'll be alright.\You'll be alright.\Mo-\Mom!\What's wrong, Kanata? response:	Kanata!
context: It's hot, Mom!\Is it hot?\Don't worry, you'll be alright.\You'll be alright.\Mo-\Mom!\What's wrong, Kanata?\Kanata! response:	I want to eat... snow.
context: Is it hot?\Don't worry, you'll be alright.\You'll be alright.\Mo-\Mom!\What's wrong, Kanata?\Kanata!\I want to eat... snow. response:	Got it. Wait right there!
context: Don't worry, you'll be alright.\You'll be alright.\Mo-\Mom!\What's wrong, Kanata?\Kanata!\I want to eat... snow.\Got it. Wait right there! response:	Snow. Snow. Snow. Where's the snow?
context: You'll be alright.\Mo-\Mom!\What's wrong, Kanata?\Kanata!\I want to eat... snow.\Got it. Wait right there!\Snow. Snow. Snow. Where's the snow? response:	Why the hell would we have snow?
context: Mo-\Mom!\What's wrong, Kanata?\Kanata!\I want to eat... snow.\Got it. Wait right there!\Snow. Snow. Snow. Where's the snow?\Why the hell would we have snow? response:	Calm down. Calm down.
context: Mom!\What's wrong, Kanata?\Kanata!\I want to eat... snow.\Got it. Wait right there!\Snow. Snow. Snow. Where's the snow?\Why the hell would we have snow?\Calm down. Calm down. response:	Medicine!
context: What's wrong, Kanata?\Kanata!\I want to eat... snow.\Got it. Wait right there!\Snow. Snow. Snow. Where's the snow?\Why the hell would we have snow?\Calm down. Calm down.\Medicine! response:	No. That's the last resort.
context: Kanata!\I want to eat... snow.\Got it. Wait right there!\Snow. Snow. Snow. Where's the snow?\Why the hell would we have snow?\Calm down. Calm down.\Medicine!\No. That's the last resort. response:	Medicine. Medicine.
context: I want to eat... snow.\Got it. Wait right there!\Snow. Snow. Snow. Where's the snow?\Why the hell would we have snow?\Calm down. Calm down.\Medicine!\No. That's the last resort.\Medicine. Medicine. response:	Medicine!
context: Got it. Wait right there!\Snow. Snow. Snow. Where's the snow?\Why the hell would we have snow?\Calm down. Calm down.\Medicine!\No. That's the last resort.\Medicine. Medicine.\Medicine! response:	Here it is!
context: Snow. Snow. Snow. Where's the snow?\Why the hell would we have snow?\Calm down. Calm down.\Medicine!\No. That's the last resort.\Medicine. Medicine.\Medicine!\Here it is! response:	We were just about to run out...
context: Why the hell would we have snow?\Calm down. Calm down.\Medicine!\No. That's the last resort.\Medicine. Medicine.\Medicine!\Here it is!\We were just about to run out... response:	Those idiots!
context: Calm down. Calm down.\Medicine!\No. That's the last resort.\Medicine. Medicine.\Medicine!\Here it is!\We were just about to run out...\Those idiots! response:	Damn the Supply Corps!
context: Medicine!\No. That's the last resort.\Medicine. Medicine.\Medicine!\Here it is!\We were just about to run out...\Those idiots!\Damn the Supply Corps! response:	Dammit! I can't do anything...
context: No. That's the last resort.\Medicine. Medicine.\Medicine!\Here it is!\We were just about to run out...\Those idiots!\Damn the Supply Corps!\Dammit! I can't do anything... response:	What should I do?
context: Medicine. Medicine.\Medicine!\Here it is!\We were just about to run out...\Those idiots!\Damn the Supply Corps!\Dammit! I can't do anything...\What should I do? response:	Dammit!
context: Medicine!\Here it is!\We were just about to run out...\Those idiots!\Damn the Supply Corps!\Dammit! I can't do anything...\What should I do?\Dammit! response:	Sound of the Skies
context: Here it is!\We were just about to run out...\Those idiots!\Damn the Supply Corps!\Dammit! I can't do anything...\What should I do?\Dammit!\Sound of the Skies response:	Sound of the Skies
context: We were just about to run out...\Those idiots!\Damn the Supply Corps!\Dammit! I can't do anything...\What should I do?\Dammit!\Sound of the Skies\Sound of the Skies response:	Um... excuse me...
context: Those idiots!\Damn the Supply Corps!\Dammit! I can't do anything...\What should I do?\Dammit!\Sound of the Skies\Sound of the Skies\Um... excuse me... response:	Can I help you?
context: Damn the Supply Corps!\Dammit! I can't do anything...\What should I do?\Dammit!\Sound of the Skies\Sound of the Skies\Um... excuse me...\Can I help you? response:	I hope the children didn't cause you any-
context: Dammit! I can't do anything...\What should I do?\Dammit!\Sound of the Skies\Sound of the Skies\Um... excuse me...\Can I help you?\I hope the children didn't cause you any- response:	I apologize for my past disrespect!
context: What should I do?\Dammit!\Sound of the Skies\Sound of the Skies\Um... excuse me...\Can I help you?\I hope the children didn't cause you any-\I apologize for my past disrespect! response:	So, please...
context: Dammit!\Sound of the Skies\Sound of the Skies\Um... excuse me...\Can I help you?\I hope the children didn't cause you any-\I apologize for my past disrespect!\So, please... response:	Help me...
context: Sound of the Skies\Sound of the Skies\Um... excuse me...\Can I help you?\I hope the children didn't cause you any-\I apologize for my past disrespect!\So, please...\Help me... response:	Drink this.
context: Sound of the Skies\Um... excuse me...\Can I help you?\I hope the children didn't cause you any-\I apologize for my past disrespect!\So, please...\Help me...\Drink this. response:	Just like that.
context: Um... excuse me...\Can I help you?\I hope the children didn't cause you any-\I apologize for my past disrespect!\So, please...\Help me...\Drink this.\Just like that. response:	Her fever is a bit high, but it should fall now.
context: Can I help you?\I hope the children didn't cause you any-\I apologize for my past disrespect!\So, please...\Help me...\Drink this.\Just like that.\Her fever is a bit high, but it should fall now. response:	Is it a serious disease at all?
context: I hope the children didn't cause you any-\I apologize for my past disrespect!\So, please...\Help me...\Drink this.\Just like that.\Her fever is a bit high, but it should fall now.\Is it a serious disease at all? response:	I think it's malaria.
context: I apologize for my past disrespect!\So, please...\Help me...\Drink this.\Just like that.\Her fever is a bit high, but it should fall now.\Is it a serious disease at all?\I think it's malaria. response:	Malaria? Only kids catch that...
context: So, please...\Help me...\Drink this.\Just like that.\Her fever is a bit high, but it should fall now.\Is it a serious disease at all?\I think it's malaria.\Malaria? Only kids catch that... response:	Adults can catch it under extreme fatigue.
context: Help me...\Drink this.\Just like that.\Her fever is a bit high, but it should fall now.\Is it a serious disease at all?\I think it's malaria.\Malaria? Only kids catch that...\Adults can catch it under extreme fatigue. response:	When we take in new children,
context: Drink this.\Just like that.\Her fever is a bit high, but it should fall now.\Is it a serious disease at all?\I think it's malaria.\Malaria? Only kids catch that...\Adults can catch it under extreme fatigue.\When we take in new children, response:	a lot of them catch it right away.
context: Just like that.\Her fever is a bit high, but it should fall now.\Is it a serious disease at all?\I think it's malaria.\Malaria? Only kids catch that...\Adults can catch it under extreme fatigue.\When we take in new children,\a lot of them catch it right away. response:	The healthier they look, the higher the fever goes.
