context: Huh? response:	Mizusawa High School Athletic Festival
context: How can this be?!\The Karuta club had the best start!\They already have a considerable lead!\But the track team is also fast!\Taichi!\Their second runners take over at almost the exact same time!\Mashima-kun!\The second runner for the Karuta club is just as fast! response:	They're neck and neck with the track team!
context: The Karuta club had the best start!\They already have a considerable lead!\But the track team is also fast!\Taichi!\Their second runners take over at almost the exact same time!\Mashima-kun!\The second runner for the Karuta club is just as fast!\They're neck and neck with the track team! response:	What's this?
context: They already have a considerable lead!\But the track team is also fast!\Taichi!\Their second runners take over at almost the exact same time!\Mashima-kun!\The second runner for the Karuta club is just as fast!\They're neck and neck with the track team!\What's this? response:	The basketball team and soccer team have dropped their batons!
context: But the track team is also fast!\Taichi!\Their second runners take over at almost the exact same time!\Mashima-kun!\The second runner for the Karuta club is just as fast!\They're neck and neck with the track team!\What's this?\The basketball team and soccer team have dropped their batons! response:	The tennis team and baseball team are also having trouble!
context: Taichi!\Their second runners take over at almost the exact same time!\Mashima-kun!\The second runner for the Karuta club is just as fast!\They're neck and neck with the track team!\What's this?\The basketball team and soccer team have dropped their batons!\The tennis team and baseball team are also having trouble! response:	Meanwhile, the track team and Karuta club
context: Their second runners take over at almost the exact same time!\Mashima-kun!\The second runner for the Karuta club is just as fast!\They're neck and neck with the track team!\What's this?\The basketball team and soccer team have dropped their batons!\The tennis team and baseball team are also having trouble!\Meanwhile, the track team and Karuta club response:	are on their third runners!
context: Mashima-kun!\The second runner for the Karuta club is just as fast!\They're neck and neck with the track team!\What's this?\The basketball team and soccer team have dropped their batons!\The tennis team and baseball team are also having trouble!\Meanwhile, the track team and Karuta club\are on their third runners! response:	The cheers are deafening!
context: The second runner for the Karuta club is just as fast!\They're neck and neck with the track team!\What's this?\The basketball team and soccer team have dropped their batons!\The tennis team and baseball team are also having trouble!\Meanwhile, the track team and Karuta club\are on their third runners!\The cheers are deafening! response:	Hang in there, Karuta club!
context: They're neck and neck with the track team!\What's this?\The basketball team and soccer team have dropped their batons!\The tennis team and baseball team are also having trouble!\Meanwhile, the track team and Karuta club\are on their third runners!\The cheers are deafening!\Hang in there, Karuta club! response:	Oh! But the fourth runner is falling behind!
context: What's this?\The basketball team and soccer team have dropped their batons!\The tennis team and baseball team are also having trouble!\Meanwhile, the track team and Karuta club\are on their third runners!\The cheers are deafening!\Hang in there, Karuta club!\Oh! But the fourth runner is falling behind! response:	The baseball team and soccer team have caught up!
context: The basketball team and soccer team have dropped their batons!\The tennis team and baseball team are also having trouble!\Meanwhile, the track team and Karuta club\are on their third runners!\The cheers are deafening!\Hang in there, Karuta club!\Oh! But the fourth runner is falling behind!\The baseball team and soccer team have caught up! response:	And now each team turns to their anchor!
context: The tennis team and baseball team are also having trouble!\Meanwhile, the track team and Karuta club\are on their third runners!\The cheers are deafening!\Hang in there, Karuta club!\Oh! But the fourth runner is falling behind!\The baseball team and soccer team have caught up!\And now each team turns to their anchor! response:	He's fast! Surprisingly fast!
context: Meanwhile, the track team and Karuta club\are on their third runners!\The cheers are deafening!\Hang in there, Karuta club!\Oh! But the fourth runner is falling behind!\The baseball team and soccer team have caught up!\And now each team turns to their anchor!\He's fast! Surprisingly fast! response:	Who said this team wasn't athletic?!
context: are on their third runners!\The cheers are deafening!\Hang in there, Karuta club!\Oh! But the fourth runner is falling behind!\The baseball team and soccer team have caught up!\And now each team turns to their anchor!\He's fast! Surprisingly fast!\Who said this team wasn't athletic?! response:	They're clearly athletes!
context: The cheers are deafening!\Hang in there, Karuta club!\Oh! But the fourth runner is falling behind!\The baseball team and soccer team have caught up!\And now each team turns to their anchor!\He's fast! Surprisingly fast!\Who said this team wasn't athletic?!\They're clearly athletes! response:	Oh, no!
context: Hang in there, Karuta club!\Oh! But the fourth runner is falling behind!\The baseball team and soccer team have caught up!\And now each team turns to their anchor!\He's fast! Surprisingly fast!\Who said this team wasn't athletic?!\They're clearly athletes!\Oh, no! response:	The track team lost their baton!
context: Oh! But the fourth runner is falling behind!\The baseball team and soccer team have caught up!\And now each team turns to their anchor!\He's fast! Surprisingly fast!\Who said this team wasn't athletic?!\They're clearly athletes!\Oh, no!\The track team lost their baton! response:	Our favorite has fallen in the last leg!
context: The baseball team and soccer team have caught up!\And now each team turns to their anchor!\He's fast! Surprisingly fast!\Who said this team wasn't athletic?!\They're clearly athletes!\Oh, no!\The track team lost their baton!\Our favorite has fallen in the last leg! response:	Nobody could have seen this coming!
context: And now each team turns to their anchor!\He's fast! Surprisingly fast!\Who said this team wasn't athletic?!\They're clearly athletes!\Oh, no!\The track team lost their baton!\Our favorite has fallen in the last leg!\Nobody could have seen this coming! response:	As our runners turn the final corner,
context: He's fast! Surprisingly fast!\Who said this team wasn't athletic?!\They're clearly athletes!\Oh, no!\The track team lost their baton!\Our favorite has fallen in the last leg!\Nobody could have seen this coming!\As our runners turn the final corner, response:	the baseball team and Karuta club are in the lead!
context: Who said this team wasn't athletic?!\They're clearly athletes!\Oh, no!\The track team lost their baton!\Our favorite has fallen in the last leg!\Nobody could have seen this coming!\As our runners turn the final corner,\the baseball team and Karuta club are in the lead! response:	Can the Karuta club stage a comeback!
context: They're clearly athletes!\Oh, no!\The track team lost their baton!\Our favorite has fallen in the last leg!\Nobody could have seen this coming!\As our runners turn the final corner,\the baseball team and Karuta club are in the lead!\Can the Karuta club stage a comeback! response:	Will the baseball team hold onto its lead?!
context: Oh, no!\The track team lost their baton!\Our favorite has fallen in the last leg!\Nobody could have seen this coming!\As our runners turn the final corner,\the baseball team and Karuta club are in the lead!\Can the Karuta club stage a comeback!\Will the baseball team hold onto its lead?! response:	Who will be our winner?!
context: The track team lost their baton!\Our favorite has fallen in the last leg!\Nobody could have seen this coming!\As our runners turn the final corner,\the baseball team and Karuta club are in the lead!\Can the Karuta club stage a comeback!\Will the baseball team hold onto its lead?!\Who will be our winner?! response:	Recruiting new members
context: Our favorite has fallen in the last leg!\Nobody could have seen this coming!\As our runners turn the final corner,\the baseball team and Karuta club are in the lead!\Can the Karuta club stage a comeback!\Will the baseball team hold onto its lead?!\Who will be our winner?!\Recruiting new members response:	Incredible! The Karuta club has won!
context: Nobody could have seen this coming!\As our runners turn the final corner,\the baseball team and Karuta club are in the lead!\Can the Karuta club stage a comeback!\Will the baseball team hold onto its lead?!\Who will be our winner?!\Recruiting new members\Incredible! The Karuta club has won! response:	Chihaya Furu
context: As our runners turn the final corner,\the baseball team and Karuta club are in the lead!\Can the Karuta club stage a comeback!\Will the baseball team hold onto its lead?!\Who will be our winner?!\Recruiting new members\Incredible! The Karuta club has won!\Chihaya Furu response:	Verse 17
context: the baseball team and Karuta club are in the lead!\Can the Karuta club stage a comeback!\Will the baseball team hold onto its lead?!\Who will be our winner?!\Recruiting new members\Incredible! The Karuta club has won!\Chihaya Furu\Verse 17 response:	World Offers No Escape
context: Can the Karuta club stage a comeback!\Will the baseball team hold onto its lead?!\Who will be our winner?!\Recruiting new members\Incredible! The Karuta club has won!\Chihaya Furu\Verse 17\World Offers No Escape response:	Nobody's coming...
context: Will the baseball team hold onto its lead?!\Who will be our winner?!\Recruiting new members\Incredible! The Karuta club has won!\Chihaya Furu\Verse 17\World Offers No Escape\Nobody's coming... response:	We worked so hard to win.
context: Who will be our winner?!\Recruiting new members\Incredible! The Karuta club has won!\Chihaya Furu\Verse 17\World Offers No Escape\Nobody's coming...\We worked so hard to win. response:	To get everyone's attention...
context: Recruiting new members\Incredible! The Karuta club has won!\Chihaya Furu\Verse 17\World Offers No Escape\Nobody's coming...\We worked so hard to win.\To get everyone's attention... response:	Chihaya-chan, a girl shouldn't lie on the floor.
context: Incredible! The Karuta club has won!\Chihaya Furu\Verse 17\World Offers No Escape\Nobody's coming...\We worked so hard to win.\To get everyone's attention...\Chihaya-chan, a girl shouldn't lie on the floor. response:	But...
context: Chihaya Furu\Verse 17\World Offers No Escape\Nobody's coming...\We worked so hard to win.\To get everyone's attention...\Chihaya-chan, a girl shouldn't lie on the floor.\But... response:	Some people came to watch us play,
context: Verse 17\World Offers No Escape\Nobody's coming...\We worked so hard to win.\To get everyone's attention...\Chihaya-chan, a girl shouldn't lie on the floor.\But...\Some people came to watch us play, response:	but they left because it looked too hard.
context: World Offers No Escape\Nobody's coming...\We worked so hard to win.\To get everyone's attention...\Chihaya-chan, a girl shouldn't lie on the floor.\But...\Some people came to watch us play,\but they left because it looked too hard. response:	We came in first, but it was mostly luck.
context: Nobody's coming...\We worked so hard to win.\To get everyone's attention...\Chihaya-chan, a girl shouldn't lie on the floor.\But...\Some people came to watch us play,\but they left because it looked too hard.\We came in first, but it was mostly luck. response:	I was slow.
context: We worked so hard to win.\To get everyone's attention...\Chihaya-chan, a girl shouldn't lie on the floor.\But...\Some people came to watch us play,\but they left because it looked too hard.\We came in first, but it was mostly luck.\I was slow. response:	What are you talking about?
context: To get everyone's attention...\Chihaya-chan, a girl shouldn't lie on the floor.\But...\Some people came to watch us play,\but they left because it looked too hard.\We came in first, but it was mostly luck.\I was slow.\What are you talking about? response:	You were fast!
context: Chihaya-chan, a girl shouldn't lie on the floor.\But...\Some people came to watch us play,\but they left because it looked too hard.\We came in first, but it was mostly luck.\I was slow.\What are you talking about?\You were fast! response:	Our summer training really helped!
context: But...\Some people came to watch us play,\but they left because it looked too hard.\We came in first, but it was mostly luck.\I was slow.\What are you talking about?\You were fast!\Our summer training really helped! response:	You think so?
context: Some people came to watch us play,\but they left because it looked too hard.\We came in first, but it was mostly luck.\I was slow.\What are you talking about?\You were fast!\Our summer training really helped!\You think so? response:	Hey, guys. We finished our research.
context: but they left because it looked too hard.\We came in first, but it was mostly luck.\I was slow.\What are you talking about?\You were fast!\Our summer training really helped!\You think so?\Hey, guys. We finished our research. response:	Looking at the tournaments near Tokyo,
context: We came in first, but it was mostly luck.\I was slow.\What are you talking about?\You were fast!\Our summer training really helped!\You think so?\Hey, guys. We finished our research.\Looking at the tournaments near Tokyo, response:	we have the Saitama tournament in late September
context: I was slow.\What are you talking about?\You were fast!\Our summer training really helped!\You think so?\Hey, guys. We finished our research.\Looking at the tournaments near Tokyo,\we have the Saitama tournament in late September response:	and the Kawaguchi tournament in early October.
context: What are you talking about?\You were fast!\Our summer training really helped!\You think so?\Hey, guys. We finished our research.\Looking at the tournaments near Tokyo,\we have the Saitama tournament in late September\and the Kawaguchi tournament in early October. response:	There's also the East Master/Queen qualifier
context: You were fast!\Our summer training really helped!\You think so?\Hey, guys. We finished our research.\Looking at the tournaments near Tokyo,\we have the Saitama tournament in late September\and the Kawaguchi tournament in early October.\There's also the East Master/Queen qualifier response:	for Class A and higher players in late October.
context: Our summer training really helped!\You think so?\Hey, guys. We finished our research.\Looking at the tournaments near Tokyo,\we have the Saitama tournament in late September\and the Kawaguchi tournament in early October.\There's also the East Master/Queen qualifier\for Class A and higher players in late October. response:	The Eastern qualifier...
context: You think so?\Hey, guys. We finished our research.\Looking at the tournaments near Tokyo,\we have the Saitama tournament in late September\and the Kawaguchi tournament in early October.\There's also the East Master/Queen qualifier\for Class A and higher players in late October.\The Eastern qualifier... response:	for deciding the East representative to challenge
context: Hey, guys. We finished our research.\Looking at the tournaments near Tokyo,\we have the Saitama tournament in late September\and the Kawaguchi tournament in early October.\There's also the East Master/Queen qualifier\for Class A and higher players in late October.\The Eastern qualifier...\for deciding the East representative to challenge response:	the Queen next January.
context: Looking at the tournaments near Tokyo,\we have the Saitama tournament in late September\and the Kawaguchi tournament in early October.\There's also the East Master/Queen qualifier\for Class A and higher players in late October.\The Eastern qualifier...\for deciding the East representative to challenge\the Queen next January. response:	The most important tournament every year.
context: we have the Saitama tournament in late September\and the Kawaguchi tournament in early October.\There's also the East Master/Queen qualifier\for Class A and higher players in late October.\The Eastern qualifier...\for deciding the East representative to challenge\the Queen next January.\The most important tournament every year. response:	Chihaya needs to play
context: and the Kawaguchi tournament in early October.\There's also the East Master/Queen qualifier\for Class A and higher players in late October.\The Eastern qualifier...\for deciding the East representative to challenge\the Queen next January.\The most important tournament every year.\Chihaya needs to play response:	more matches to get experience.
context: There's also the East Master/Queen qualifier\for Class A and higher players in late October.\The Eastern qualifier...\for deciding the East representative to challenge\the Queen next January.\The most important tournament every year.\Chihaya needs to play\more matches to get experience. response:	Nishida and I need to win a Class B tournament
context: for Class A and higher players in late October.\The Eastern qualifier...\for deciding the East representative to challenge\the Queen next January.\The most important tournament every year.\Chihaya needs to play\more matches to get experience.\Nishida and I need to win a Class B tournament response:	so we can make Class A.
context: The Eastern qualifier...\for deciding the East representative to challenge\the Queen next January.\The most important tournament every year.\Chihaya needs to play\more matches to get experience.\Nishida and I need to win a Class B tournament\so we can make Class A. response:	Okay!
context: for deciding the East representative to challenge\the Queen next January.\The most important tournament every year.\Chihaya needs to play\more matches to get experience.\Nishida and I need to win a Class B tournament\so we can make Class A.\Okay! response:	Oe-san and Komano, you'll need some Class D wins,
context: the Queen next January.\The most important tournament every year.\Chihaya needs to play\more matches to get experience.\Nishida and I need to win a Class B tournament\so we can make Class A.\Okay!\Oe-san and Komano, you'll need some Class D wins, response:	so you can start moving up.
context: The most important tournament every year.\Chihaya needs to play\more matches to get experience.\Nishida and I need to win a Class B tournament\so we can make Class A.\Okay!\Oe-san and Komano, you'll need some Class D wins,\so you can start moving up. response:	Then we should all focus on our individual g-
context: Chihaya needs to play\more matches to get experience.\Nishida and I need to win a Class B tournament\so we can make Class A.\Okay!\Oe-san and Komano, you'll need some Class D wins,\so you can start moving up.\Then we should all focus on our individual g- response:	Oh, excuse me for a second.
context: more matches to get experience.\Nishida and I need to win a Class B tournament\so we can make Class A.\Okay!\Oe-san and Komano, you'll need some Class D wins,\so you can start moving up.\Then we should all focus on our individual g-\Oh, excuse me for a second. response:	Yeah.
context: Nishida and I need to win a Class B tournament\so we can make Class A.\Okay!\Oe-san and Komano, you'll need some Class D wins,\so you can start moving up.\Then we should all focus on our individual g-\Oh, excuse me for a second.\Yeah. response:	Yeah.
context: so we can make Class A.\Okay!\Oe-san and Komano, you'll need some Class D wins,\so you can start moving up.\Then we should all focus on our individual g-\Oh, excuse me for a second.\Yeah.\Yeah. response:	Okay, fine.
context: Okay!\Oe-san and Komano, you'll need some Class D wins,\so you can start moving up.\Then we should all focus on our individual g-\Oh, excuse me for a second.\Yeah.\Yeah.\Okay, fine. response:	Let's break up.
context: Oe-san and Komano, you'll need some Class D wins,\so you can start moving up.\Then we should all focus on our individual g-\Oh, excuse me for a second.\Yeah.\Yeah.\Okay, fine.\Let's break up. response:	Then we should all focus on our individual goals!
context: so you can start moving up.\Then we should all focus on our individual g-\Oh, excuse me for a second.\Yeah.\Yeah.\Okay, fine.\Let's break up.\Then we should all focus on our individual goals! response:	What?!
context: Then we should all focus on our individual g-\Oh, excuse me for a second.\Yeah.\Yeah.\Okay, fine.\Let's break up.\Then we should all focus on our individual goals!\What?! response:	No luck with girls
context: Oh, excuse me for a second.\Yeah.\Yeah.\Okay, fine.\Let's break up.\Then we should all focus on our individual goals!\What?!\No luck with girls response:	Prez! What was that?!
context: Yeah.\Yeah.\Okay, fine.\Let's break up.\Then we should all focus on our individual goals!\What?!\No luck with girls\Prez! What was that?! response:	No luck with guys
context: Yeah.\Okay, fine.\Let's break up.\Then we should all focus on our individual goals!\What?!\No luck with girls\Prez! What was that?!\No luck with guys response:	Didn't even bat an eye!
context: Okay, fine.\Let's break up.\Then we should all focus on our individual goals!\What?!\No luck with girls\Prez! What was that?!\No luck with guys\Didn't even bat an eye! response:	No luck with girls
context: Let's break up.\Then we should all focus on our individual goals!\What?!\No luck with girls\Prez! What was that?!\No luck with guys\Didn't even bat an eye!\No luck with girls response:	It took him a second to dump her!
context: Then we should all focus on our individual goals!\What?!\No luck with girls\Prez! What was that?!\No luck with guys\Didn't even bat an eye!\No luck with girls\It took him a second to dump her! response:	No luck with guys
context: What?!\No luck with girls\Prez! What was that?!\No luck with guys\Didn't even bat an eye!\No luck with girls\It took him a second to dump her!\No luck with guys response:	I never knew you had a girlfriend!
context: No luck with girls\Prez! What was that?!\No luck with guys\Didn't even bat an eye!\No luck with girls\It took him a second to dump her!\No luck with guys\I never knew you had a girlfriend! response:	Let's practice.
context: Prez! What was that?!\No luck with guys\Didn't even bat an eye!\No luck with girls\It took him a second to dump her!\No luck with guys\I never knew you had a girlfriend!\Let's practice. response:	It was the girl who called him Ta-kun!
context: No luck with guys\Didn't even bat an eye!\No luck with girls\It took him a second to dump her!\No luck with guys\I never knew you had a girlfriend!\Let's practice.\It was the girl who called him Ta-kun! response:	Arata...
context: Didn't even bat an eye!\No luck with girls\It took him a second to dump her!\No luck with guys\I never knew you had a girlfriend!\Let's practice.\It was the girl who called him Ta-kun!\Arata... response:	Will Arata...
context: No luck with girls\It took him a second to dump her!\No luck with guys\I never knew you had a girlfriend!\Let's practice.\It was the girl who called him Ta-kun!\Arata...\Will Arata... response:	be in the Western qualifier?
context: It took him a second to dump her!\No luck with guys\I never knew you had a girlfriend!\Let's practice.\It was the girl who called him Ta-kun!\Arata...\Will Arata...\be in the Western qualifier? response:	people would always ask if I was pining for someone
context: No luck with guys\I never knew you had a girlfriend!\Let's practice.\It was the girl who called him Ta-kun!\Arata...\Will Arata...\be in the Western qualifier?\people would always ask if I was pining for someone response:	After I determined...
context: I never knew you had a girlfriend!\Let's practice.\It was the girl who called him Ta-kun!\Arata...\Will Arata...\be in the Western qualifier?\people would always ask if I was pining for someone\After I determined... response:	I can make it in time!
context: Let's practice.\It was the girl who called him Ta-kun!\Arata...\Will Arata...\be in the Western qualifier?\people would always ask if I was pining for someone\After I determined...\I can make it in time! response:	In the sleepy...
context: It was the girl who called him Ta-kun!\Arata...\Will Arata...\be in the Western qualifier?\people would always ask if I was pining for someone\After I determined...\I can make it in time!\In the sleepy... response:	Make Class A before October...
context: Arata...\Will Arata...\be in the Western qualifier?\people would always ask if I was pining for someone\After I determined...\I can make it in time!\In the sleepy...\Make Class A before October... response:	a whirlwind of flower petals descends
context: Will Arata...\be in the Western qualifier?\people would always ask if I was pining for someone\After I determined...\I can make it in time!\In the sleepy...\Make Class A before October...\a whirlwind of flower petals descends response:	Thank you very much.
context: be in the Western qualifier?\people would always ask if I was pining for someone\After I determined...\I can make it in time!\In the sleepy...\Make Class A before October...\a whirlwind of flower petals descends\Thank you very much. response:	Thank you very much.
context: people would always ask if I was pining for someone\After I determined...\I can make it in time!\In the sleepy...\Make Class A before October...\a whirlwind of flower petals descends\Thank you very much.\Thank you very much. response:	Okay, let's take a ten minute break
context: After I determined...\I can make it in time!\In the sleepy...\Make Class A before October...\a whirlwind of flower petals descends\Thank you very much.\Thank you very much.\Okay, let's take a ten minute break response:	before we get one more match in today.
context: I can make it in time!\In the sleepy...\Make Class A before October...\a whirlwind of flower petals descends\Thank you very much.\Thank you very much.\Okay, let's take a ten minute break\before we get one more match in today. response:	The training we did over the summer
context: In the sleepy...\Make Class A before October...\a whirlwind of flower petals descends\Thank you very much.\Thank you very much.\Okay, let's take a ten minute break\before we get one more match in today.\The training we did over the summer response:	Mizusawa Fight!
context: Make Class A before October...\a whirlwind of flower petals descends\Thank you very much.\Thank you very much.\Okay, let's take a ten minute break\before we get one more match in today.\The training we did over the summer\Mizusawa Fight! response:	was hard, but fun.
context: a whirlwind of flower petals descends\Thank you very much.\Thank you very much.\Okay, let's take a ten minute break\before we get one more match in today.\The training we did over the summer\Mizusawa Fight!\was hard, but fun. response:	On!
context: Thank you very much.\Thank you very much.\Okay, let's take a ten minute break\before we get one more match in today.\The training we did over the summer\Mizusawa Fight!\was hard, but fun.\On! response:	Fight!
context: Thank you very much.\Okay, let's take a ten minute break\before we get one more match in today.\The training we did over the summer\Mizusawa Fight!\was hard, but fun.\On!\Fight! response:	On!
context: Okay, let's take a ten minute break\before we get one more match in today.\The training we did over the summer\Mizusawa Fight!\was hard, but fun.\On!\Fight!\On! response:	Fight!
context: before we get one more match in today.\The training we did over the summer\Mizusawa Fight!\was hard, but fun.\On!\Fight!\On!\Fight! response:	On!
context: The training we did over the summer\Mizusawa Fight!\was hard, but fun.\On!\Fight!\On!\Fight!\On! response:	Mizusawa!
context: Mizusawa Fight!\was hard, but fun.\On!\Fight!\On!\Fight!\On!\Mizusawa! response:	Especially compared to last summer, when I spent
context: was hard, but fun.\On!\Fight!\On!\Fight!\On!\Mizusawa!\Especially compared to last summer, when I spent response:	all my time studying alone.
context: On!\Fight!\On!\Fight!\On!\Mizusawa!\Especially compared to last summer, when I spent\all my time studying alone. response:	But...
context: Fight!\On!\Fight!\On!\Mizusawa!\Especially compared to last summer, when I spent\all my time studying alone.\But... response:	Even though I trained as hard as everyone else,
context: On!\Fight!\On!\Mizusawa!\Especially compared to last summer, when I spent\all my time studying alone.\But...\Even though I trained as hard as everyone else, response:	I'm still small and can't build muscle.
context: Fight!\On!\Mizusawa!\Especially compared to last summer, when I spent\all my time studying alone.\But...\Even though I trained as hard as everyone else,\I'm still small and can't build muscle. response:	Kana-chan.
context: On!\Mizusawa!\Especially compared to last summer, when I spent\all my time studying alone.\But...\Even though I trained as hard as everyone else,\I'm still small and can't build muscle.\Kana-chan. response:	When you have time, you should do sit-ups
context: Mizusawa!\Especially compared to last summer, when I spent\all my time studying alone.\But...\Even though I trained as hard as everyone else,\I'm still small and can't build muscle.\Kana-chan.\When you have time, you should do sit-ups response:	and back extensions at home.
context: Especially compared to last summer, when I spent\all my time studying alone.\But...\Even though I trained as hard as everyone else,\I'm still small and can't build muscle.\Kana-chan.\When you have time, you should do sit-ups\and back extensions at home. response:	Huh?
context: all my time studying alone.\But...\Even though I trained as hard as everyone else,\I'm still small and can't build muscle.\Kana-chan.\When you have time, you should do sit-ups\and back extensions at home.\Huh? response:	I noticed something
context: But...\Even though I trained as hard as everyone else,\I'm still small and can't build muscle.\Kana-chan.\When you have time, you should do sit-ups\and back extensions at home.\Huh?\I noticed something response:	after watching all those matches at nationals.
context: Even though I trained as hard as everyone else,\I'm still small and can't build muscle.\Kana-chan.\When you have time, you should do sit-ups\and back extensions at home.\Huh?\I noticed something\after watching all those matches at nationals. response:	When girls and thinner boys play Karuta,
context: I'm still small and can't build muscle.\Kana-chan.\When you have time, you should do sit-ups\and back extensions at home.\Huh?\I noticed something\after watching all those matches at nationals.\When girls and thinner boys play Karuta, response:	they tend to sit back,
context: Kana-chan.\When you have time, you should do sit-ups\and back extensions at home.\Huh?\I noticed something\after watching all those matches at nationals.\When girls and thinner boys play Karuta,\they tend to sit back, response:	so you end up only using your upper body.
context: When you have time, you should do sit-ups\and back extensions at home.\Huh?\I noticed something\after watching all those matches at nationals.\When girls and thinner boys play Karuta,\they tend to sit back,\so you end up only using your upper body. response:	It's probably because your muscles aren't
context: and back extensions at home.\Huh?\I noticed something\after watching all those matches at nationals.\When girls and thinner boys play Karuta,\they tend to sit back,\so you end up only using your upper body.\It's probably because your muscles aren't response:	strong enough to support your weight.
