context: Ladies and gentlemen, good evening. response:	Anguish. Anxiety.
context: 25 years?\Indeed. 25 years.\I'm glad that you brought me with you.\Seen from space, all the things that I was agonizing over seem so insignificant.\Perhaps, but hatred and malice are amplified in the darkness of space.\Everyone's gone away... Franz has left, and so has Albert.\I'm sorry for asking you to meet me on such short notice, Franz.\That's all right, I'm glad I had the chance to see you. response:	I'm planning on setting out on a trip for a while.
context: Indeed. 25 years.\I'm glad that you brought me with you.\Seen from space, all the things that I was agonizing over seem so insignificant.\Perhaps, but hatred and malice are amplified in the darkness of space.\Everyone's gone away... Franz has left, and so has Albert.\I'm sorry for asking you to meet me on such short notice, Franz.\That's all right, I'm glad I had the chance to see you.\I'm planning on setting out on a trip for a while. response:	Is Albert going with you?
context: I'm glad that you brought me with you.\Seen from space, all the things that I was agonizing over seem so insignificant.\Perhaps, but hatred and malice are amplified in the darkness of space.\Everyone's gone away... Franz has left, and so has Albert.\I'm sorry for asking you to meet me on such short notice, Franz.\That's all right, I'm glad I had the chance to see you.\I'm planning on setting out on a trip for a while.\Is Albert going with you? response:	Apparently, he went off somewhere on a trip of his own.
context: Seen from space, all the things that I was agonizing over seem so insignificant.\Perhaps, but hatred and malice are amplified in the darkness of space.\Everyone's gone away... Franz has left, and so has Albert.\I'm sorry for asking you to meet me on such short notice, Franz.\That's all right, I'm glad I had the chance to see you.\I'm planning on setting out on a trip for a while.\Is Albert going with you?\Apparently, he went off somewhere on a trip of his own. response:	Even though his father's in the middle of an election campaign.
context: Perhaps, but hatred and malice are amplified in the darkness of space.\Everyone's gone away... Franz has left, and so has Albert.\I'm sorry for asking you to meet me on such short notice, Franz.\That's all right, I'm glad I had the chance to see you.\I'm planning on setting out on a trip for a while.\Is Albert going with you?\Apparently, he went off somewhere on a trip of his own.\Even though his father's in the middle of an election campaign. response:	Can you believe that guy?
context: Everyone's gone away... Franz has left, and so has Albert.\I'm sorry for asking you to meet me on such short notice, Franz.\That's all right, I'm glad I had the chance to see you.\I'm planning on setting out on a trip for a while.\Is Albert going with you?\Apparently, he went off somewhere on a trip of his own.\Even though his father's in the middle of an election campaign.\Can you believe that guy? response:	Somewhere? Where do you mean?
context: I'm sorry for asking you to meet me on such short notice, Franz.\That's all right, I'm glad I had the chance to see you.\I'm planning on setting out on a trip for a while.\Is Albert going with you?\Apparently, he went off somewhere on a trip of his own.\Even though his father's in the middle of an election campaign.\Can you believe that guy?\Somewhere? Where do you mean? response:	I'm sorry, I don't know, either.
context: That's all right, I'm glad I had the chance to see you.\I'm planning on setting out on a trip for a while.\Is Albert going with you?\Apparently, he went off somewhere on a trip of his own.\Even though his father's in the middle of an election campaign.\Can you believe that guy?\Somewhere? Where do you mean?\I'm sorry, I don't know, either. response:	Oh.
context: I'm planning on setting out on a trip for a while.\Is Albert going with you?\Apparently, he went off somewhere on a trip of his own.\Even though his father's in the middle of an election campaign.\Can you believe that guy?\Somewhere? Where do you mean?\I'm sorry, I don't know, either.\Oh. response:	The one thing I can say for sure...
context: Is Albert going with you?\Apparently, he went off somewhere on a trip of his own.\Even though his father's in the middle of an election campaign.\Can you believe that guy?\Somewhere? Where do you mean?\I'm sorry, I don't know, either.\Oh.\The one thing I can say for sure... response:	He still hasn't figured that out, though.
context: Apparently, he went off somewhere on a trip of his own.\Even though his father's in the middle of an election campaign.\Can you believe that guy?\Somewhere? Where do you mean?\I'm sorry, I don't know, either.\Oh.\The one thing I can say for sure...\He still hasn't figured that out, though. response:	Franz, I...
context: Even though his father's in the middle of an election campaign.\Can you believe that guy?\Somewhere? Where do you mean?\I'm sorry, I don't know, either.\Oh.\The one thing I can say for sure...\He still hasn't figured that out, though.\Franz, I... response:	I know. You're a victim in all this, too.
context: Can you believe that guy?\Somewhere? Where do you mean?\I'm sorry, I don't know, either.\Oh.\The one thing I can say for sure...\He still hasn't figured that out, though.\Franz, I...\I know. You're a victim in all this, too. response:	Listen, whatever happens, don't forget who you are.
context: Somewhere? Where do you mean?\I'm sorry, I don't know, either.\Oh.\The one thing I can say for sure...\He still hasn't figured that out, though.\Franz, I...\I know. You're a victim in all this, too.\Listen, whatever happens, don't forget who you are. response:	Look for the truth on your own.
context: I'm sorry, I don't know, either.\Oh.\The one thing I can say for sure...\He still hasn't figured that out, though.\Franz, I...\I know. You're a victim in all this, too.\Listen, whatever happens, don't forget who you are.\Look for the truth on your own. response:	Before I made your acquaintance,
context: Oh.\The one thing I can say for sure...\He still hasn't figured that out, though.\Franz, I...\I know. You're a victim in all this, too.\Listen, whatever happens, don't forget who you are.\Look for the truth on your own.\Before I made your acquaintance, response:	You flew a huge ship like this by yourself?!
context: The one thing I can say for sure...\He still hasn't figured that out, though.\Franz, I...\I know. You're a victim in all this, too.\Listen, whatever happens, don't forget who you are.\Look for the truth on your own.\Before I made your acquaintance,\You flew a huge ship like this by yourself?! response:	Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly.
context: He still hasn't figured that out, though.\Franz, I...\I know. You're a victim in all this, too.\Listen, whatever happens, don't forget who you are.\Look for the truth on your own.\Before I made your acquaintance,\You flew a huge ship like this by yourself?!\Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly. response:	Come, take a look at that.
context: Franz, I...\I know. You're a victim in all this, too.\Listen, whatever happens, don't forget who you are.\Look for the truth on your own.\Before I made your acquaintance,\You flew a huge ship like this by yourself?!\Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly.\Come, take a look at that. response:	What is that?
context: I know. You're a victim in all this, too.\Listen, whatever happens, don't forget who you are.\Look for the truth on your own.\Before I made your acquaintance,\You flew a huge ship like this by yourself?!\Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly.\Come, take a look at that.\What is that? response:	The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven.
context: Listen, whatever happens, don't forget who you are.\Look for the truth on your own.\Before I made your acquaintance,\You flew a huge ship like this by yourself?!\Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly.\Come, take a look at that.\What is that?\The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven. response:	The River of Heaven?
context: Look for the truth on your own.\Before I made your acquaintance,\You flew a huge ship like this by yourself?!\Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly.\Come, take a look at that.\What is that?\The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven.\The River of Heaven? response:	This is what I wished to show to you.
context: Before I made your acquaintance,\You flew a huge ship like this by yourself?!\Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly.\Come, take a look at that.\What is that?\The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven.\The River of Heaven?\This is what I wished to show to you. response:	It's so beautiful...
context: You flew a huge ship like this by yourself?!\Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly.\Come, take a look at that.\What is that?\The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven.\The River of Heaven?\This is what I wished to show to you.\It's so beautiful... response:	According to their legends, two lovers lived on the opposite banks...
context: Yes. At the time, I was quite proud of the fact that I was able to operate it single-handedly.\Come, take a look at that.\What is that?\The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven.\The River of Heaven?\This is what I wished to show to you.\It's so beautiful...\According to their legends, two lovers lived on the opposite banks... response:	They say that once a year, they cross the river and are reunited.
context: Come, take a look at that.\What is that?\The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven.\The River of Heaven?\This is what I wished to show to you.\It's so beautiful...\According to their legends, two lovers lived on the opposite banks...\They say that once a year, they cross the river and are reunited. response:	That's a romantic story, don't you think?
context: What is that?\The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven.\The River of Heaven?\This is what I wished to show to you.\It's so beautiful...\According to their legends, two lovers lived on the opposite banks...\They say that once a year, they cross the river and are reunited.\That's a romantic story, don't you think? response:	Long ago, I once had a friend, a sailor who was born in Marseilles.
context: The Milky Way. I am told that in the ancient Orient, it was called the River of Heaven.\The River of Heaven?\This is what I wished to show to you.\It's so beautiful...\According to their legends, two lovers lived on the opposite banks...\They say that once a year, they cross the river and are reunited.\That's a romantic story, don't you think?\Long ago, I once had a friend, a sailor who was born in Marseilles. response:	I heard that story many times from him.
context: The River of Heaven?\This is what I wished to show to you.\It's so beautiful...\According to their legends, two lovers lived on the opposite banks...\They say that once a year, they cross the river and are reunited.\That's a romantic story, don't you think?\Long ago, I once had a friend, a sailor who was born in Marseilles.\I heard that story many times from him. response:	I bet that your friend was in love.
context: This is what I wished to show to you.\It's so beautiful...\According to their legends, two lovers lived on the opposite banks...\They say that once a year, they cross the river and are reunited.\That's a romantic story, don't you think?\Long ago, I once had a friend, a sailor who was born in Marseilles.\I heard that story many times from him.\I bet that your friend was in love. response:	This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around.
context: It's so beautiful...\According to their legends, two lovers lived on the opposite banks...\They say that once a year, they cross the river and are reunited.\That's a romantic story, don't you think?\Long ago, I once had a friend, a sailor who was born in Marseilles.\I heard that story many times from him.\I bet that your friend was in love.\This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around. response:	These three were childhood friends, and were always looking out for each other.
context: According to their legends, two lovers lived on the opposite banks...\They say that once a year, they cross the river and are reunited.\That's a romantic story, don't you think?\Long ago, I once had a friend, a sailor who was born in Marseilles.\I heard that story many times from him.\I bet that your friend was in love.\This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around.\These three were childhood friends, and were always looking out for each other. response:	Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie.
context: They say that once a year, they cross the river and are reunited.\That's a romantic story, don't you think?\Long ago, I once had a friend, a sailor who was born in Marseilles.\I heard that story many times from him.\I bet that your friend was in love.\This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around.\These three were childhood friends, and were always looking out for each other.\Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie. response:	However, the best friend was secretly in love with the sailor's fiancee.
context: That's a romantic story, don't you think?\Long ago, I once had a friend, a sailor who was born in Marseilles.\I heard that story many times from him.\I bet that your friend was in love.\This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around.\These three were childhood friends, and were always looking out for each other.\Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie.\However, the best friend was secretly in love with the sailor's fiancee. response:	And then, the friend, who would stop at nothing to possess the fiancee,
context: Long ago, I once had a friend, a sailor who was born in Marseilles.\I heard that story many times from him.\I bet that your friend was in love.\This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around.\These three were childhood friends, and were always looking out for each other.\Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie.\However, the best friend was secretly in love with the sailor's fiancee.\And then, the friend, who would stop at nothing to possess the fiancee, response:	Unbeknownst to anyone, the poor sailor spent more than a dozen years...
context: I heard that story many times from him.\I bet that your friend was in love.\This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around.\These three were childhood friends, and were always looking out for each other.\Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie.\However, the best friend was secretly in love with the sailor's fiancee.\And then, the friend, who would stop at nothing to possess the fiancee,\Unbeknownst to anyone, the poor sailor spent more than a dozen years... response:	I can't believe it...
context: I bet that your friend was in love.\This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around.\These three were childhood friends, and were always looking out for each other.\Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie.\However, the best friend was secretly in love with the sailor's fiancee.\And then, the friend, who would stop at nothing to possess the fiancee,\Unbeknownst to anyone, the poor sailor spent more than a dozen years...\I can't believe it... response:	However, a miraculous event occurred,
context: This sailor of whom I speak had a beautiful fiancee and a best friend he felt at ease around.\These three were childhood friends, and were always looking out for each other.\Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie.\However, the best friend was secretly in love with the sailor's fiancee.\And then, the friend, who would stop at nothing to possess the fiancee,\Unbeknownst to anyone, the poor sailor spent more than a dozen years...\I can't believe it...\However, a miraculous event occurred, response:	I'm relieved to hear that.
context: These three were childhood friends, and were always looking out for each other.\Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie.\However, the best friend was secretly in love with the sailor's fiancee.\And then, the friend, who would stop at nothing to possess the fiancee,\Unbeknownst to anyone, the poor sailor spent more than a dozen years...\I can't believe it...\However, a miraculous event occurred,\I'm relieved to hear that. response:	However, the beautiful fiancee, rather than waiting for the sailor's return,
context: Indeed, they were much like you, Monsieur Franz, and Mademoiselle Eugenie.\However, the best friend was secretly in love with the sailor's fiancee.\And then, the friend, who would stop at nothing to possess the fiancee,\Unbeknownst to anyone, the poor sailor spent more than a dozen years...\I can't believe it...\However, a miraculous event occurred,\I'm relieved to hear that.\However, the beautiful fiancee, rather than waiting for the sailor's return, response:	That's terrible...
context: However, the best friend was secretly in love with the sailor's fiancee.\And then, the friend, who would stop at nothing to possess the fiancee,\Unbeknownst to anyone, the poor sailor spent more than a dozen years...\I can't believe it...\However, a miraculous event occurred,\I'm relieved to hear that.\However, the beautiful fiancee, rather than waiting for the sailor's return,\That's terrible... response:	I wonder why she didn't wait for the sailor to come home?
context: And then, the friend, who would stop at nothing to possess the fiancee,\Unbeknownst to anyone, the poor sailor spent more than a dozen years...\I can't believe it...\However, a miraculous event occurred,\I'm relieved to hear that.\However, the beautiful fiancee, rather than waiting for the sailor's return,\That's terrible...\I wonder why she didn't wait for the sailor to come home? response:	Also, why did the sailor's friend steal away his fiancee in spite of their friendship?
context: Unbeknownst to anyone, the poor sailor spent more than a dozen years...\I can't believe it...\However, a miraculous event occurred,\I'm relieved to hear that.\However, the beautiful fiancee, rather than waiting for the sailor's return,\That's terrible...\I wonder why she didn't wait for the sailor to come home?\Also, why did the sailor's friend steal away his fiancee in spite of their friendship? response:	The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again.
context: I can't believe it...\However, a miraculous event occurred,\I'm relieved to hear that.\However, the beautiful fiancee, rather than waiting for the sailor's return,\That's terrible...\I wonder why she didn't wait for the sailor to come home?\Also, why did the sailor's friend steal away his fiancee in spite of their friendship?\The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again. response:	Why do you cry?
context: However, a miraculous event occurred,\I'm relieved to hear that.\However, the beautiful fiancee, rather than waiting for the sailor's return,\That's terrible...\I wonder why she didn't wait for the sailor to come home?\Also, why did the sailor's friend steal away his fiancee in spite of their friendship?\The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again.\Why do you cry? response:	I don't know...
context: I'm relieved to hear that.\However, the beautiful fiancee, rather than waiting for the sailor's return,\That's terrible...\I wonder why she didn't wait for the sailor to come home?\Also, why did the sailor's friend steal away his fiancee in spite of their friendship?\The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again.\Why do you cry?\I don't know... response:	Until just recently, I thought that I would never believe in anyone, just as you do.
context: However, the beautiful fiancee, rather than waiting for the sailor's return,\That's terrible...\I wonder why she didn't wait for the sailor to come home?\Also, why did the sailor's friend steal away his fiancee in spite of their friendship?\The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again.\Why do you cry?\I don't know...\Until just recently, I thought that I would never believe in anyone, just as you do. response:	That's what I told myself...
context: That's terrible...\I wonder why she didn't wait for the sailor to come home?\Also, why did the sailor's friend steal away his fiancee in spite of their friendship?\The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again.\Why do you cry?\I don't know...\Until just recently, I thought that I would never believe in anyone, just as you do.\That's what I told myself... response:	But for some reason, when I see your face,
context: I wonder why she didn't wait for the sailor to come home?\Also, why did the sailor's friend steal away his fiancee in spite of their friendship?\The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again.\Why do you cry?\I don't know...\Until just recently, I thought that I would never believe in anyone, just as you do.\That's what I told myself...\But for some reason, when I see your face, response:	Count, let's have faith that our friendship will be the exception to the rule!
context: Also, why did the sailor's friend steal away his fiancee in spite of their friendship?\The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again.\Why do you cry?\I don't know...\Until just recently, I thought that I would never believe in anyone, just as you do.\That's what I told myself...\But for some reason, when I see your face,\Count, let's have faith that our friendship will be the exception to the rule! response:	At the very least, you're the one person that I can trust!
context: The sailor, now betrayed by both his best friend and his fiancee, never returned to Earth again.\Why do you cry?\I don't know...\Until just recently, I thought that I would never believe in anyone, just as you do.\That's what I told myself...\But for some reason, when I see your face,\Count, let's have faith that our friendship will be the exception to the rule!\At the very least, you're the one person that I can trust! response:	Is the watch that I gave you still ticking away?
context: Why do you cry?\I don't know...\Until just recently, I thought that I would never believe in anyone, just as you do.\That's what I told myself...\But for some reason, when I see your face,\Count, let's have faith that our friendship will be the exception to the rule!\At the very least, you're the one person that I can trust!\Is the watch that I gave you still ticking away? response:	Albert, I shall be departing Paris sometime in the near future.
context: I don't know...\Until just recently, I thought that I would never believe in anyone, just as you do.\That's what I told myself...\But for some reason, when I see your face,\Count, let's have faith that our friendship will be the exception to the rule!\At the very least, you're the one person that I can trust!\Is the watch that I gave you still ticking away?\Albert, I shall be departing Paris sometime in the near future. response:	What do you mean, Count?
context: Until just recently, I thought that I would never believe in anyone, just as you do.\That's what I told myself...\But for some reason, when I see your face,\Count, let's have faith that our friendship will be the exception to the rule!\At the very least, you're the one person that I can trust!\Is the watch that I gave you still ticking away?\Albert, I shall be departing Paris sometime in the near future.\What do you mean, Count? response:	It's so sudden!
context: That's what I told myself...\But for some reason, when I see your face,\Count, let's have faith that our friendship will be the exception to the rule!\At the very least, you're the one person that I can trust!\Is the watch that I gave you still ticking away?\Albert, I shall be departing Paris sometime in the near future.\What do you mean, Count?\It's so sudden! response:	Wait, it's not because of your illness, is it?!
context: But for some reason, when I see your face,\Count, let's have faith that our friendship will be the exception to the rule!\At the very least, you're the one person that I can trust!\Is the watch that I gave you still ticking away?\Albert, I shall be departing Paris sometime in the near future.\What do you mean, Count?\It's so sudden!\Wait, it's not because of your illness, is it?! response:	No. There was a certain matter that I had to see to in Paris,
context: Count, let's have faith that our friendship will be the exception to the rule!\At the very least, you're the one person that I can trust!\Is the watch that I gave you still ticking away?\Albert, I shall be departing Paris sometime in the near future.\What do you mean, Count?\It's so sudden!\Wait, it's not because of your illness, is it?!\No. There was a certain matter that I had to see to in Paris, response:	However, the task I came to accomplish will soon be completed.
context: At the very least, you're the one person that I can trust!\Is the watch that I gave you still ticking away?\Albert, I shall be departing Paris sometime in the near future.\What do you mean, Count?\It's so sudden!\Wait, it's not because of your illness, is it?!\No. There was a certain matter that I had to see to in Paris,\However, the task I came to accomplish will soon be completed. response:	Morcerf! Morcerf!
context: Is the watch that I gave you still ticking away?\Albert, I shall be departing Paris sometime in the near future.\What do you mean, Count?\It's so sudden!\Wait, it's not because of your illness, is it?!\No. There was a certain matter that I had to see to in Paris,\However, the task I came to accomplish will soon be completed.\Morcerf! Morcerf! response:	Don't say such things! Please, stay in Paris for good!
context: Albert, I shall be departing Paris sometime in the near future.\What do you mean, Count?\It's so sudden!\Wait, it's not because of your illness, is it?!\No. There was a certain matter that I had to see to in Paris,\However, the task I came to accomplish will soon be completed.\Morcerf! Morcerf!\Don't say such things! Please, stay in Paris for good! response:	Or if that's not possible, please take me with you when you go!
context: What do you mean, Count?\It's so sudden!\Wait, it's not because of your illness, is it?!\No. There was a certain matter that I had to see to in Paris,\However, the task I came to accomplish will soon be completed.\Morcerf! Morcerf!\Don't say such things! Please, stay in Paris for good!\Or if that's not possible, please take me with you when you go! response:	I don't want to be apart from you!
context: It's so sudden!\Wait, it's not because of your illness, is it?!\No. There was a certain matter that I had to see to in Paris,\However, the task I came to accomplish will soon be completed.\Morcerf! Morcerf!\Don't say such things! Please, stay in Paris for good!\Or if that's not possible, please take me with you when you go!\I don't want to be apart from you! response:	Do you think that highly of me?
context: Wait, it's not because of your illness, is it?!\No. There was a certain matter that I had to see to in Paris,\However, the task I came to accomplish will soon be completed.\Morcerf! Morcerf!\Don't say such things! Please, stay in Paris for good!\Or if that's not possible, please take me with you when you go!\I don't want to be apart from you!\Do you think that highly of me? response:	I do!
context: No. There was a certain matter that I had to see to in Paris,\However, the task I came to accomplish will soon be completed.\Morcerf! Morcerf!\Don't say such things! Please, stay in Paris for good!\Or if that's not possible, please take me with you when you go!\I don't want to be apart from you!\Do you think that highly of me?\I do! response:	The ardor of youth eventually cools.
context: However, the task I came to accomplish will soon be completed.\Morcerf! Morcerf!\Don't say such things! Please, stay in Paris for good!\Or if that's not possible, please take me with you when you go!\I don't want to be apart from you!\Do you think that highly of me?\I do!\The ardor of youth eventually cools. response:	That's not true! You... To me, you're...
context: Morcerf! Morcerf!\Don't say such things! Please, stay in Paris for good!\Or if that's not possible, please take me with you when you go!\I don't want to be apart from you!\Do you think that highly of me?\I do!\The ardor of youth eventually cools.\That's not true! You... To me, you're... response:	One day...
context: Don't say such things! Please, stay in Paris for good!\Or if that's not possible, please take me with you when you go!\I don't want to be apart from you!\Do you think that highly of me?\I do!\The ardor of youth eventually cools.\That's not true! You... To me, you're...\One day... response:	One day, I will ask you the same question.
context: Or if that's not possible, please take me with you when you go!\I don't want to be apart from you!\Do you think that highly of me?\I do!\The ardor of youth eventually cools.\That's not true! You... To me, you're...\One day...\One day, I will ask you the same question. response:	I wonder if you will still feel the same way about me then?
context: I don't want to be apart from you!\Do you think that highly of me?\I do!\The ardor of youth eventually cools.\That's not true! You... To me, you're...\One day...\One day, I will ask you the same question.\I wonder if you will still feel the same way about me then? response:	Excellency, there's a message from Paris.
context: Do you think that highly of me?\I do!\The ardor of youth eventually cools.\That's not true! You... To me, you're...\One day...\One day, I will ask you the same question.\I wonder if you will still feel the same way about me then?\Excellency, there's a message from Paris. response:	If you will pardon me for a moment...
context: I do!\The ardor of youth eventually cools.\That's not true! You... To me, you're...\One day...\One day, I will ask you the same question.\I wonder if you will still feel the same way about me then?\Excellency, there's a message from Paris.\If you will pardon me for a moment... response:	Monsieur Noirtier... Please, you have to tell me.
context: The ardor of youth eventually cools.\That's not true! You... To me, you're...\One day...\One day, I will ask you the same question.\I wonder if you will still feel the same way about me then?\Excellency, there's a message from Paris.\If you will pardon me for a moment...\Monsieur Noirtier... Please, you have to tell me. response:	Tell me what Gankutsuou is.
context: That's not true! You... To me, you're...\One day...\One day, I will ask you the same question.\I wonder if you will still feel the same way about me then?\Excellency, there's a message from Paris.\If you will pardon me for a moment...\Monsieur Noirtier... Please, you have to tell me.\Tell me what Gankutsuou is. response:	What's this? Hey, wait a minute!
context: One day...\One day, I will ask you the same question.\I wonder if you will still feel the same way about me then?\Excellency, there's a message from Paris.\If you will pardon me for a moment...\Monsieur Noirtier... Please, you have to tell me.\Tell me what Gankutsuou is.\What's this? Hey, wait a minute! response:	In the event of an emergency, it is possible for a third party who knows the password...
context: One day, I will ask you the same question.\I wonder if you will still feel the same way about me then?\Excellency, there's a message from Paris.\If you will pardon me for a moment...\Monsieur Noirtier... Please, you have to tell me.\Tell me what Gankutsuou is.\What's this? Hey, wait a minute!\In the event of an emergency, it is possible for a third party who knows the password... response:	Does this mean that if I can figure out the password, I can access your mind directly?
context: I wonder if you will still feel the same way about me then?\Excellency, there's a message from Paris.\If you will pardon me for a moment...\Monsieur Noirtier... Please, you have to tell me.\Tell me what Gankutsuou is.\What's this? Hey, wait a minute!\In the event of an emergency, it is possible for a third party who knows the password...\Does this mean that if I can figure out the password, I can access your mind directly? response:	She's so beautiful!
