context: As long as I have the power to protect my friends, that's all I need. response:	If I could trade for that power, I wouldn't care how weak I was.
context: Could... this be...?\Our magic power?\What was that shaking before?\Azuma, I suppose.\My strength... It's being drained.\Sounds like he felled the Tenrou Tree.\He's stealing the magic power from all the people with the mark of Fairy Tail.\What? response:	What the hell is happening?
context: Our magic power?\What was that shaking before?\Azuma, I suppose.\My strength... It's being drained.\Sounds like he felled the Tenrou Tree.\He's stealing the magic power from all the people with the mark of Fairy Tail.\What?\What the hell is happening? response:	I suspect this was an order from Master Hades.
context: What was that shaking before?\Azuma, I suppose.\My strength... It's being drained.\Sounds like he felled the Tenrou Tree.\He's stealing the magic power from all the people with the mark of Fairy Tail.\What?\What the hell is happening?\I suspect this was an order from Master Hades. response:	Why am I helping her?
context: Azuma, I suppose.\My strength... It's being drained.\Sounds like he felled the Tenrou Tree.\He's stealing the magic power from all the people with the mark of Fairy Tail.\What?\What the hell is happening?\I suspect this was an order from Master Hades.\Why am I helping her? response:	I don't really know myself.
context: My strength... It's being drained.\Sounds like he felled the Tenrou Tree.\He's stealing the magic power from all the people with the mark of Fairy Tail.\What?\What the hell is happening?\I suspect this was an order from Master Hades.\Why am I helping her?\I don't really know myself. response:	Erza vs. Azuma!
context: Sounds like he felled the Tenrou Tree.\He's stealing the magic power from all the people with the mark of Fairy Tail.\What?\What the hell is happening?\I suspect this was an order from Master Hades.\Why am I helping her?\I don't really know myself.\Erza vs. Azuma! response:	You fiend!
context: He's stealing the magic power from all the people with the mark of Fairy Tail.\What?\What the hell is happening?\I suspect this was an order from Master Hades.\Why am I helping her?\I don't really know myself.\Erza vs. Azuma!\You fiend! response:	I have control over the island's magic power, but have left yours alone.
context: What?\What the hell is happening?\I suspect this was an order from Master Hades.\Why am I helping her?\I don't really know myself.\Erza vs. Azuma!\You fiend!\I have control over the island's magic power, but have left yours alone. response:	Now, Titania.
context: What the hell is happening?\I suspect this was an order from Master Hades.\Why am I helping her?\I don't really know myself.\Erza vs. Azuma!\You fiend!\I have control over the island's magic power, but have left yours alone.\Now, Titania. response:	All around the island, your comrades are facing certain death.
context: I suspect this was an order from Master Hades.\Why am I helping her?\I don't really know myself.\Erza vs. Azuma!\You fiend!\I have control over the island's magic power, but have left yours alone.\Now, Titania.\All around the island, your comrades are facing certain death. response:	You shall show me just how great this power to protect your friends is.
context: Why am I helping her?\I don't really know myself.\Erza vs. Azuma!\You fiend!\I have control over the island's magic power, but have left yours alone.\Now, Titania.\All around the island, your comrades are facing certain death.\You shall show me just how great this power to protect your friends is. response:	You called yourself Azuma, one of the 7 Kings of Purgatory, yes?
context: I don't really know myself.\Erza vs. Azuma!\You fiend!\I have control over the island's magic power, but have left yours alone.\Now, Titania.\All around the island, your comrades are facing certain death.\You shall show me just how great this power to protect your friends is.\You called yourself Azuma, one of the 7 Kings of Purgatory, yes? response:	Why did you do this?
context: Erza vs. Azuma!\You fiend!\I have control over the island's magic power, but have left yours alone.\Now, Titania.\All around the island, your comrades are facing certain death.\You shall show me just how great this power to protect your friends is.\You called yourself Azuma, one of the 7 Kings of Purgatory, yes?\Why did you do this? response:	It was Master Hades's orders.
context: You fiend!\I have control over the island's magic power, but have left yours alone.\Now, Titania.\All around the island, your comrades are facing certain death.\You shall show me just how great this power to protect your friends is.\You called yourself Azuma, one of the 7 Kings of Purgatory, yes?\Why did you do this?\It was Master Hades's orders. response:	He told us to get rid of every Fairy Tail wizard, without exception.
context: I have control over the island's magic power, but have left yours alone.\Now, Titania.\All around the island, your comrades are facing certain death.\You shall show me just how great this power to protect your friends is.\You called yourself Azuma, one of the 7 Kings of Purgatory, yes?\Why did you do this?\It was Master Hades's orders.\He told us to get rid of every Fairy Tail wizard, without exception. response:	No!
context: Now, Titania.\All around the island, your comrades are facing certain death.\You shall show me just how great this power to protect your friends is.\You called yourself Azuma, one of the 7 Kings of Purgatory, yes?\Why did you do this?\It was Master Hades's orders.\He told us to get rid of every Fairy Tail wizard, without exception.\No! response:	Why is it that you purposefully left me free to act?
context: All around the island, your comrades are facing certain death.\You shall show me just how great this power to protect your friends is.\You called yourself Azuma, one of the 7 Kings of Purgatory, yes?\Why did you do this?\It was Master Hades's orders.\He told us to get rid of every Fairy Tail wizard, without exception.\No!\Why is it that you purposefully left me free to act? response:	I told you why.
context: You shall show me just how great this power to protect your friends is.\You called yourself Azuma, one of the 7 Kings of Purgatory, yes?\Why did you do this?\It was Master Hades's orders.\He told us to get rid of every Fairy Tail wizard, without exception.\No!\Why is it that you purposefully left me free to act?\I told you why. response:	I want to fight you seriously.
context: You called yourself Azuma, one of the 7 Kings of Purgatory, yes?\Why did you do this?\It was Master Hades's orders.\He told us to get rid of every Fairy Tail wizard, without exception.\No!\Why is it that you purposefully left me free to act?\I told you why.\I want to fight you seriously. response:	That's all.
context: Why did you do this?\It was Master Hades's orders.\He told us to get rid of every Fairy Tail wizard, without exception.\No!\Why is it that you purposefully left me free to act?\I told you why.\I want to fight you seriously.\That's all. response:	If that is the truth you speak,
context: It was Master Hades's orders.\He told us to get rid of every Fairy Tail wizard, without exception.\No!\Why is it that you purposefully left me free to act?\I told you why.\I want to fight you seriously.\That's all.\If that is the truth you speak, response:	then the moment I defeat you, you will return everyone's power!
context: He told us to get rid of every Fairy Tail wizard, without exception.\No!\Why is it that you purposefully left me free to act?\I told you why.\I want to fight you seriously.\That's all.\If that is the truth you speak,\then the moment I defeat you, you will return everyone's power! response:	That, I promise.
context: No!\Why is it that you purposefully left me free to act?\I told you why.\I want to fight you seriously.\That's all.\If that is the truth you speak,\then the moment I defeat you, you will return everyone's power!\That, I promise. response:	Honestly, this is not how I would prefer to do things.
context: Why is it that you purposefully left me free to act?\I told you why.\I want to fight you seriously.\That's all.\If that is the truth you speak,\then the moment I defeat you, you will return everyone's power!\That, I promise.\Honestly, this is not how I would prefer to do things. response:	But that's only if you win, of course.
context: I told you why.\I want to fight you seriously.\That's all.\If that is the truth you speak,\then the moment I defeat you, you will return everyone's power!\That, I promise.\Honestly, this is not how I would prefer to do things.\But that's only if you win, of course. response:	My friends' lives lie in the balance!
context: I want to fight you seriously.\That's all.\If that is the truth you speak,\then the moment I defeat you, you will return everyone's power!\That, I promise.\Honestly, this is not how I would prefer to do things.\But that's only if you win, of course.\My friends' lives lie in the balance! response:	I assure you, I...
context: That's all.\If that is the truth you speak,\then the moment I defeat you, you will return everyone's power!\That, I promise.\Honestly, this is not how I would prefer to do things.\But that's only if you win, of course.\My friends' lives lie in the balance!\I assure you, I... response:	Requip! Heaven's Wheel Armor!
context: If that is the truth you speak,\then the moment I defeat you, you will return everyone's power!\That, I promise.\Honestly, this is not how I would prefer to do things.\But that's only if you win, of course.\My friends' lives lie in the balance!\I assure you, I...\Requip! Heaven's Wheel Armor! response:	Heaven's Wheel!
context: then the moment I defeat you, you will return everyone's power!\That, I promise.\Honestly, this is not how I would prefer to do things.\But that's only if you win, of course.\My friends' lives lie in the balance!\I assure you, I...\Requip! Heaven's Wheel Armor!\Heaven's Wheel! response:	Blumenblatt!
context: That, I promise.\Honestly, this is not how I would prefer to do things.\But that's only if you win, of course.\My friends' lives lie in the balance!\I assure you, I...\Requip! Heaven's Wheel Armor!\Heaven's Wheel!\Blumenblatt! response:	Folium Sica!
context: Honestly, this is not how I would prefer to do things.\But that's only if you win, of course.\My friends' lives lie in the balance!\I assure you, I...\Requip! Heaven's Wheel Armor!\Heaven's Wheel!\Blumenblatt!\Folium Sica! response:	Ramus Sica!
context: But that's only if you win, of course.\My friends' lives lie in the balance!\I assure you, I...\Requip! Heaven's Wheel Armor!\Heaven's Wheel!\Blumenblatt!\Folium Sica!\Ramus Sica! response:	This is not the Titania I was expecting.
context: My friends' lives lie in the balance!\I assure you, I...\Requip! Heaven's Wheel Armor!\Heaven's Wheel!\Blumenblatt!\Folium Sica!\Ramus Sica!\This is not the Titania I was expecting. response:	I told you to come at me with all you've got!
context: I assure you, I...\Requip! Heaven's Wheel Armor!\Heaven's Wheel!\Blumenblatt!\Folium Sica!\Ramus Sica!\This is not the Titania I was expecting.\I told you to come at me with all you've got! response:	She's fast...
context: Requip! Heaven's Wheel Armor!\Heaven's Wheel!\Blumenblatt!\Folium Sica!\Ramus Sica!\This is not the Titania I was expecting.\I told you to come at me with all you've got!\She's fast... response:	Is that the Soaring Armor I've heard about?
context: Heaven's Wheel!\Blumenblatt!\Folium Sica!\Ramus Sica!\This is not the Titania I was expecting.\I told you to come at me with all you've got!\She's fast...\Is that the Soaring Armor I've heard about? response:	However...!
context: Blumenblatt!\Folium Sica!\Ramus Sica!\This is not the Titania I was expecting.\I told you to come at me with all you've got!\She's fast...\Is that the Soaring Armor I've heard about?\However...! response:	The Adamantine Armor.
context: Folium Sica!\Ramus Sica!\This is not the Titania I was expecting.\I told you to come at me with all you've got!\She's fast...\Is that the Soaring Armor I've heard about?\However...!\The Adamantine Armor. response:	Ultimate defense.
context: Ramus Sica!\This is not the Titania I was expecting.\I told you to come at me with all you've got!\She's fast...\Is that the Soaring Armor I've heard about?\However...!\The Adamantine Armor.\Ultimate defense. response:	That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter.
context: This is not the Titania I was expecting.\I told you to come at me with all you've got!\She's fast...\Is that the Soaring Armor I've heard about?\However...!\The Adamantine Armor.\Ultimate defense.\That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter. response:	Excellent...
context: I told you to come at me with all you've got!\She's fast...\Is that the Soaring Armor I've heard about?\However...!\The Adamantine Armor.\Ultimate defense.\That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter.\Excellent... response:	But can it defend against this?
context: She's fast...\Is that the Soaring Armor I've heard about?\However...!\The Adamantine Armor.\Ultimate defense.\That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter.\Excellent...\But can it defend against this? response:	I know that one, too.
context: Is that the Soaring Armor I've heard about?\However...!\The Adamantine Armor.\Ultimate defense.\That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter.\Excellent...\But can it defend against this?\I know that one, too. response:	The Thunder Empress Armor.
context: However...!\The Adamantine Armor.\Ultimate defense.\That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter.\Excellent...\But can it defend against this?\I know that one, too.\The Thunder Empress Armor. response:	I see now. Your magic power does justice to your name, Titania.
context: The Adamantine Armor.\Ultimate defense.\That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter.\Excellent...\But can it defend against this?\I know that one, too.\The Thunder Empress Armor.\I see now. Your magic power does justice to your name, Titania. response:	Quick Requipping, and flawless swordsmanship.
context: Ultimate defense.\That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter.\Excellent...\But can it defend against this?\I know that one, too.\The Thunder Empress Armor.\I see now. Your magic power does justice to your name, Titania.\Quick Requipping, and flawless swordsmanship. response:	I'm impressed. This is quite enjoyable.
context: That's the one that defended against a direct hit from the Magic Focusing Cannon, Jupiter.\Excellent...\But can it defend against this?\I know that one, too.\The Thunder Empress Armor.\I see now. Your magic power does justice to your name, Titania.\Quick Requipping, and flawless swordsmanship.\I'm impressed. This is quite enjoyable. response:	So this is Great Tree Ark magic...
context: Excellent...\But can it defend against this?\I know that one, too.\The Thunder Empress Armor.\I see now. Your magic power does justice to your name, Titania.\Quick Requipping, and flawless swordsmanship.\I'm impressed. This is quite enjoyable.\So this is Great Tree Ark magic... response:	This will be a challenge.
context: But can it defend against this?\I know that one, too.\The Thunder Empress Armor.\I see now. Your magic power does justice to your name, Titania.\Quick Requipping, and flawless swordsmanship.\I'm impressed. This is quite enjoyable.\So this is Great Tree Ark magic...\This will be a challenge. response:	I see! It seems you are not just all talk.
context: I know that one, too.\The Thunder Empress Armor.\I see now. Your magic power does justice to your name, Titania.\Quick Requipping, and flawless swordsmanship.\I'm impressed. This is quite enjoyable.\So this is Great Tree Ark magic...\This will be a challenge.\I see! It seems you are not just all talk. response:	You aren't obessed about people's strength for nothing.
context: The Thunder Empress Armor.\I see now. Your magic power does justice to your name, Titania.\Quick Requipping, and flawless swordsmanship.\I'm impressed. This is quite enjoyable.\So this is Great Tree Ark magic...\This will be a challenge.\I see! It seems you are not just all talk.\You aren't obessed about people's strength for nothing. response:	Will you fight me at full strength now?
context: I see now. Your magic power does justice to your name, Titania.\Quick Requipping, and flawless swordsmanship.\I'm impressed. This is quite enjoyable.\So this is Great Tree Ark magic...\This will be a challenge.\I see! It seems you are not just all talk.\You aren't obessed about people's strength for nothing.\Will you fight me at full strength now? response:	But that won't be enough to stop me!
context: Quick Requipping, and flawless swordsmanship.\I'm impressed. This is quite enjoyable.\So this is Great Tree Ark magic...\This will be a challenge.\I see! It seems you are not just all talk.\You aren't obessed about people's strength for nothing.\Will you fight me at full strength now?\But that won't be enough to stop me! response:	Her magic power's increasing?!
context: I'm impressed. This is quite enjoyable.\So this is Great Tree Ark magic...\This will be a challenge.\I see! It seems you are not just all talk.\You aren't obessed about people's strength for nothing.\Will you fight me at full strength now?\But that won't be enough to stop me!\Her magic power's increasing?! response:	I can't break through even with the magic power of the Purgatory Armor?
context: So this is Great Tree Ark magic...\This will be a challenge.\I see! It seems you are not just all talk.\You aren't obessed about people's strength for nothing.\Will you fight me at full strength now?\But that won't be enough to stop me!\Her magic power's increasing?!\I can't break through even with the magic power of the Purgatory Armor? response:	You seem to have overestimated your armor's power.
context: This will be a challenge.\I see! It seems you are not just all talk.\You aren't obessed about people's strength for nothing.\Will you fight me at full strength now?\But that won't be enough to stop me!\Her magic power's increasing?!\I can't break through even with the magic power of the Purgatory Armor?\You seem to have overestimated your armor's power. response:	You were completely unguarded from below!
context: I see! It seems you are not just all talk.\You aren't obessed about people's strength for nothing.\Will you fight me at full strength now?\But that won't be enough to stop me!\Her magic power's increasing?!\I can't break through even with the magic power of the Purgatory Armor?\You seem to have overestimated your armor's power.\You were completely unguarded from below! response:	Tower Burst!
context: You aren't obessed about people's strength for nothing.\Will you fight me at full strength now?\But that won't be enough to stop me!\Her magic power's increasing?!\I can't break through even with the magic power of the Purgatory Armor?\You seem to have overestimated your armor's power.\You were completely unguarded from below!\Tower Burst! response:	This man... What incredible magic power!
context: Will you fight me at full strength now?\But that won't be enough to stop me!\Her magic power's increasing?!\I can't break through even with the magic power of the Purgatory Armor?\You seem to have overestimated your armor's power.\You were completely unguarded from below!\Tower Burst!\This man... What incredible magic power! response:	He is truly strong.
context: But that won't be enough to stop me!\Her magic power's increasing?!\I can't break through even with the magic power of the Purgatory Armor?\You seem to have overestimated your armor's power.\You were completely unguarded from below!\Tower Burst!\This man... What incredible magic power!\He is truly strong. response:	The Fairy's Armor is still damaged...
context: Her magic power's increasing?!\I can't break through even with the magic power of the Purgatory Armor?\You seem to have overestimated your armor's power.\You were completely unguarded from below!\Tower Burst!\This man... What incredible magic power!\He is truly strong.\The Fairy's Armor is still damaged... response:	And I don't have any other armor that'll be a match for him.
context: I can't break through even with the magic power of the Purgatory Armor?\You seem to have overestimated your armor's power.\You were completely unguarded from below!\Tower Burst!\This man... What incredible magic power!\He is truly strong.\The Fairy's Armor is still damaged...\And I don't have any other armor that'll be a match for him. response:	What'll I do?
context: You seem to have overestimated your armor's power.\You were completely unguarded from below!\Tower Burst!\This man... What incredible magic power!\He is truly strong.\The Fairy's Armor is still damaged...\And I don't have any other armor that'll be a match for him.\What'll I do? response:	Now that I think about it...
context: You were completely unguarded from below!\Tower Burst!\This man... What incredible magic power!\He is truly strong.\The Fairy's Armor is still damaged...\And I don't have any other armor that'll be a match for him.\What'll I do?\Now that I think about it... response:	I bought that Seduction Armor last week.
context: Tower Burst!\This man... What incredible magic power!\He is truly strong.\The Fairy's Armor is still damaged...\And I don't have any other armor that'll be a match for him.\What'll I do?\Now that I think about it...\I bought that Seduction Armor last week. response:	With that, I might...
context: This man... What incredible magic power!\He is truly strong.\The Fairy's Armor is still damaged...\And I don't have any other armor that'll be a match for him.\What'll I do?\Now that I think about it...\I bought that Seduction Armor last week.\With that, I might... response:	I refuse!
context: He is truly strong.\The Fairy's Armor is still damaged...\And I don't have any other armor that'll be a match for him.\What'll I do?\Now that I think about it...\I bought that Seduction Armor last week.\With that, I might...\I refuse! response:	I'm not Lucy, damn it!
context: The Fairy's Armor is still damaged...\And I don't have any other armor that'll be a match for him.\What'll I do?\Now that I think about it...\I bought that Seduction Armor last week.\With that, I might...\I refuse!\I'm not Lucy, damn it! response:	Talking to yourself?
context: And I don't have any other armor that'll be a match for him.\What'll I do?\Now that I think about it...\I bought that Seduction Armor last week.\With that, I might...\I refuse!\I'm not Lucy, damn it!\Talking to yourself? response:	So then, what should I do?
context: What'll I do?\Now that I think about it...\I bought that Seduction Armor last week.\With that, I might...\I refuse!\I'm not Lucy, damn it!\Talking to yourself?\So then, what should I do? response:	To overcome his magic power, I have to collect all of mine and focus it into an attack.
context: Now that I think about it...\I bought that Seduction Armor last week.\With that, I might...\I refuse!\I'm not Lucy, damn it!\Talking to yourself?\So then, what should I do?\To overcome his magic power, I have to collect all of mine and focus it into an attack. response:	I can't use any magic power for defense.
context: I bought that Seduction Armor last week.\With that, I might...\I refuse!\I'm not Lucy, damn it!\Talking to yourself?\So then, what should I do?\To overcome his magic power, I have to collect all of mine and focus it into an attack.\I can't use any magic power for defense. response:	Therefore, I won't use any defense!
context: With that, I might...\I refuse!\I'm not Lucy, damn it!\Talking to yourself?\So then, what should I do?\To overcome his magic power, I have to collect all of mine and focus it into an attack.\I can't use any magic power for defense.\Therefore, I won't use any defense! response:	I will concentrate all of my magic into my sword!
context: I refuse!\I'm not Lucy, damn it!\Talking to yourself?\So then, what should I do?\To overcome his magic power, I have to collect all of mine and focus it into an attack.\I can't use any magic power for defense.\Therefore, I won't use any defense!\I will concentrate all of my magic into my sword! response:	A sword you can't even grip unless you discard all defense...
context: I'm not Lucy, damn it!\Talking to yourself?\So then, what should I do?\To overcome his magic power, I have to collect all of mine and focus it into an attack.\I can't use any magic power for defense.\Therefore, I won't use any defense!\I will concentrate all of my magic into my sword!\A sword you can't even grip unless you discard all defense... response:	Behold, the Fairy Sword, Benizakura!
context: Talking to yourself?\So then, what should I do?\To overcome his magic power, I have to collect all of mine and focus it into an attack.\I can't use any magic power for defense.\Therefore, I won't use any defense!\I will concentrate all of my magic into my sword!\A sword you can't even grip unless you discard all defense...\Behold, the Fairy Sword, Benizakura! response:	My defeat means defeat for the guild!
context: So then, what should I do?\To overcome his magic power, I have to collect all of mine and focus it into an attack.\I can't use any magic power for defense.\Therefore, I won't use any defense!\I will concentrate all of my magic into my sword!\A sword you can't even grip unless you discard all defense...\Behold, the Fairy Sword, Benizakura!\My defeat means defeat for the guild! response:	This will be my last stand!
context: To overcome his magic power, I have to collect all of mine and focus it into an attack.\I can't use any magic power for defense.\Therefore, I won't use any defense!\I will concentrate all of my magic into my sword!\A sword you can't even grip unless you discard all defense...\Behold, the Fairy Sword, Benizakura!\My defeat means defeat for the guild!\This will be my last stand! response:	Come, Titania!
