context: Why would you come here? response:	You don't understand anything.
context: And yet,\you're the one who acts as though you're the one suffering most.\I lived my life despising and envying all sorts of things, too.\I thought I could do anything to escape the misery.\You and I may be alike...\and that's why I need to beat the hell out of you.\Huh?\What? response:	You think you're in the right just because you tried to die?
context: you're the one who acts as though you're the one suffering most.\I lived my life despising and envying all sorts of things, too.\I thought I could do anything to escape the misery.\You and I may be alike...\and that's why I need to beat the hell out of you.\Huh?\What?\You think you're in the right just because you tried to die? response:	After you gave the people around you so much hell for it?
context: I lived my life despising and envying all sorts of things, too.\I thought I could do anything to escape the misery.\You and I may be alike...\and that's why I need to beat the hell out of you.\Huh?\What?\You think you're in the right just because you tried to die?\After you gave the people around you so much hell for it? response:	I don't think I'm in the right.
context: I thought I could do anything to escape the misery.\You and I may be alike...\and that's why I need to beat the hell out of you.\Huh?\What?\You think you're in the right just because you tried to die?\After you gave the people around you so much hell for it?\I don't think I'm in the right. response:	Ashen Eye!
context: You and I may be alike...\and that's why I need to beat the hell out of you.\Huh?\What?\You think you're in the right just because you tried to die?\After you gave the people around you so much hell for it?\I don't think I'm in the right.\Ashen Eye! response:	You've become quite strong.
context: and that's why I need to beat the hell out of you.\Huh?\What?\You think you're in the right just because you tried to die?\After you gave the people around you so much hell for it?\I don't think I'm in the right.\Ashen Eye!\You've become quite strong. response:	Why are you here?
context: Huh?\What?\You think you're in the right just because you tried to die?\After you gave the people around you so much hell for it?\I don't think I'm in the right.\Ashen Eye!\You've become quite strong.\Why are you here? response:	I see the human child has served her purpose well.
context: What?\You think you're in the right just because you tried to die?\After you gave the people around you so much hell for it?\I don't think I'm in the right.\Ashen Eye!\You've become quite strong.\Why are you here?\I see the human child has served her purpose well. response:	No...
context: You think you're in the right just because you tried to die?\After you gave the people around you so much hell for it?\I don't think I'm in the right.\Ashen Eye!\You've become quite strong.\Why are you here?\I see the human child has served her purpose well.\No... response:	That's it.
context: After you gave the people around you so much hell for it?\I don't think I'm in the right.\Ashen Eye!\You've become quite strong.\Why are you here?\I see the human child has served her purpose well.\No...\That's it. response:	A human heart in motion is so beautiful.
context: I don't think I'm in the right.\Ashen Eye!\You've become quite strong.\Why are you here?\I see the human child has served her purpose well.\No...\That's it.\A human heart in motion is so beautiful. response:	Joy, sadness, distress, anger...
context: Ashen Eye!\You've become quite strong.\Why are you here?\I see the human child has served her purpose well.\No...\That's it.\A human heart in motion is so beautiful.\Joy, sadness, distress, anger... response:	These are the things that move the world.
context: You've become quite strong.\Why are you here?\I see the human child has served her purpose well.\No...\That's it.\A human heart in motion is so beautiful.\Joy, sadness, distress, anger...\These are the things that move the world. response:	You and he are both very, very beautiful to me.
context: Why are you here?\I see the human child has served her purpose well.\No...\That's it.\A human heart in motion is so beautiful.\Joy, sadness, distress, anger...\These are the things that move the world.\You and he are both very, very beautiful to me. response:	You piss me off.
context: I see the human child has served her purpose well.\No...\That's it.\A human heart in motion is so beautiful.\Joy, sadness, distress, anger...\These are the things that move the world.\You and he are both very, very beautiful to me.\You piss me off. response:	Elias! Ruth!
context: No...\That's it.\A human heart in motion is so beautiful.\Joy, sadness, distress, anger...\These are the things that move the world.\You and he are both very, very beautiful to me.\You piss me off.\Elias! Ruth! response:	Well, well, he's finally arrived.
context: That's it.\A human heart in motion is so beautiful.\Joy, sadness, distress, anger...\These are the things that move the world.\You and he are both very, very beautiful to me.\You piss me off.\Elias! Ruth!\Well, well, he's finally arrived. response:	Ashen Eye!
context: A human heart in motion is so beautiful.\Joy, sadness, distress, anger...\These are the things that move the world.\You and he are both very, very beautiful to me.\You piss me off.\Elias! Ruth!\Well, well, he's finally arrived.\Ashen Eye! response:	Kids these days don't know how to treat their elders.
context: Joy, sadness, distress, anger...\These are the things that move the world.\You and he are both very, very beautiful to me.\You piss me off.\Elias! Ruth!\Well, well, he's finally arrived.\Ashen Eye!\Kids these days don't know how to treat their elders. response:	So you're the ones who scarred this girl so brutally.
context: These are the things that move the world.\You and he are both very, very beautiful to me.\You piss me off.\Elias! Ruth!\Well, well, he's finally arrived.\Ashen Eye!\Kids these days don't know how to treat their elders.\So you're the ones who scarred this girl so brutally. response:	Ariel...
context: You and he are both very, very beautiful to me.\You piss me off.\Elias! Ruth!\Well, well, he's finally arrived.\Ashen Eye!\Kids these days don't know how to treat their elders.\So you're the ones who scarred this girl so brutally.\Ariel... response:	Let's do this, you failure.
context: You piss me off.\Elias! Ruth!\Well, well, he's finally arrived.\Ashen Eye!\Kids these days don't know how to treat their elders.\So you're the ones who scarred this girl so brutally.\Ariel...\Let's do this, you failure. response:	Why?
context: Elias! Ruth!\Well, well, he's finally arrived.\Ashen Eye!\Kids these days don't know how to treat their elders.\So you're the ones who scarred this girl so brutally.\Ariel...\Let's do this, you failure.\Why? response:	I'm not doing this for you.
context: Well, well, he's finally arrived.\Ashen Eye!\Kids these days don't know how to treat their elders.\So you're the ones who scarred this girl so brutally.\Ariel...\Let's do this, you failure.\Why?\I'm not doing this for you. response:	We're aligned in our opinions.
context: Ashen Eye!\Kids these days don't know how to treat their elders.\So you're the ones who scarred this girl so brutally.\Ariel...\Let's do this, you failure.\Why?\I'm not doing this for you.\We're aligned in our opinions. response:	A fairy with a mind?
context: Kids these days don't know how to treat their elders.\So you're the ones who scarred this girl so brutally.\Ariel...\Let's do this, you failure.\Why?\I'm not doing this for you.\We're aligned in our opinions.\A fairy with a mind? response:	She's going to be trouble.
context: So you're the ones who scarred this girl so brutally.\Ariel...\Let's do this, you failure.\Why?\I'm not doing this for you.\We're aligned in our opinions.\A fairy with a mind?\She's going to be trouble. response:	I don't have time for this.
context: Ariel...\Let's do this, you failure.\Why?\I'm not doing this for you.\We're aligned in our opinions.\A fairy with a mind?\She's going to be trouble.\I don't have time for this. response:	Ruth, keep an eye on Chise.
context: Let's do this, you failure.\Why?\I'm not doing this for you.\We're aligned in our opinions.\A fairy with a mind?\She's going to be trouble.\I don't have time for this.\Ruth, keep an eye on Chise. response:	Yeah, got it.
context: Why?\I'm not doing this for you.\We're aligned in our opinions.\A fairy with a mind?\She's going to be trouble.\I don't have time for this.\Ruth, keep an eye on Chise.\Yeah, got it. response:	Ashen Eye!
context: I'm not doing this for you.\We're aligned in our opinions.\A fairy with a mind?\She's going to be trouble.\I don't have time for this.\Ruth, keep an eye on Chise.\Yeah, got it.\Ashen Eye! response:	You aren't going.
context: We're aligned in our opinions.\A fairy with a mind?\She's going to be trouble.\I don't have time for this.\Ruth, keep an eye on Chise.\Yeah, got it.\Ashen Eye!\You aren't going. response:	Nettles in the shadow, ring of holly...
context: A fairy with a mind?\She's going to be trouble.\I don't have time for this.\Ruth, keep an eye on Chise.\Yeah, got it.\Ashen Eye!\You aren't going.\Nettles in the shadow, ring of holly... response:	Maybe you've suffered more than me or anyone I've ever met.
context: She's going to be trouble.\I don't have time for this.\Ruth, keep an eye on Chise.\Yeah, got it.\Ashen Eye!\You aren't going.\Nettles in the shadow, ring of holly...\Maybe you've suffered more than me or anyone I've ever met. response:	But just because it hurts doesn't mean you can make others suffer with you,
context: I don't have time for this.\Ruth, keep an eye on Chise.\Yeah, got it.\Ashen Eye!\You aren't going.\Nettles in the shadow, ring of holly...\Maybe you've suffered more than me or anyone I've ever met.\But just because it hurts doesn't mean you can make others suffer with you, response:	or that you can do anything you want!
context: Ruth, keep an eye on Chise.\Yeah, got it.\Ashen Eye!\You aren't going.\Nettles in the shadow, ring of holly...\Maybe you've suffered more than me or anyone I've ever met.\But just because it hurts doesn't mean you can make others suffer with you,\or that you can do anything you want! response:	So it's only okay if it's you?!
context: Yeah, got it.\Ashen Eye!\You aren't going.\Nettles in the shadow, ring of holly...\Maybe you've suffered more than me or anyone I've ever met.\But just because it hurts doesn't mean you can make others suffer with you,\or that you can do anything you want!\So it's only okay if it's you?! response:	What's the difference between what you tried to earn
context: Ashen Eye!\You aren't going.\Nettles in the shadow, ring of holly...\Maybe you've suffered more than me or anyone I've ever met.\But just because it hurts doesn't mean you can make others suffer with you,\or that you can do anything you want!\So it's only okay if it's you?!\What's the difference between what you tried to earn response:	by sacrificing yourself, and what I want?!
context: You aren't going.\Nettles in the shadow, ring of holly...\Maybe you've suffered more than me or anyone I've ever met.\But just because it hurts doesn't mean you can make others suffer with you,\or that you can do anything you want!\So it's only okay if it's you?!\What's the difference between what you tried to earn\by sacrificing yourself, and what I want?! response:	Ruth!
context: Nettles in the shadow, ring of holly...\Maybe you've suffered more than me or anyone I've ever met.\But just because it hurts doesn't mean you can make others suffer with you,\or that you can do anything you want!\So it's only okay if it's you?!\What's the difference between what you tried to earn\by sacrificing yourself, and what I want?!\Ruth! response:	It's the same.
context: Maybe you've suffered more than me or anyone I've ever met.\But just because it hurts doesn't mean you can make others suffer with you,\or that you can do anything you want!\So it's only okay if it's you?!\What's the difference between what you tried to earn\by sacrificing yourself, and what I want?!\Ruth!\It's the same. response:	So let's end it.
context: But just because it hurts doesn't mean you can make others suffer with you,\or that you can do anything you want!\So it's only okay if it's you?!\What's the difference between what you tried to earn\by sacrificing yourself, and what I want?!\Ruth!\It's the same.\So let's end it. response:	Resound, resound, forest song of the night.
context: or that you can do anything you want!\So it's only okay if it's you?!\What's the difference between what you tried to earn\by sacrificing yourself, and what I want?!\Ruth!\It's the same.\So let's end it.\Resound, resound, forest song of the night. response:	Hear, hear, the howling of the grave keeper.
context: So it's only okay if it's you?!\What's the difference between what you tried to earn\by sacrificing yourself, and what I want?!\Ruth!\It's the same.\So let's end it.\Resound, resound, forest song of the night.\Hear, hear, the howling of the grave keeper. response:	Sleep magic doesn't work on me.
context: What's the difference between what you tried to earn\by sacrificing yourself, and what I want?!\Ruth!\It's the same.\So let's end it.\Resound, resound, forest song of the night.\Hear, hear, the howling of the grave keeper.\Sleep magic doesn't work on me. response:	Not since you're here.
context: by sacrificing yourself, and what I want?!\Ruth!\It's the same.\So let's end it.\Resound, resound, forest song of the night.\Hear, hear, the howling of the grave keeper.\Sleep magic doesn't work on me.\Not since you're here. response:	Too bad.
context: Ruth!\It's the same.\So let's end it.\Resound, resound, forest song of the night.\Hear, hear, the howling of the grave keeper.\Sleep magic doesn't work on me.\Not since you're here.\Too bad. response:	Goodbye.
context: It's the same.\So let's end it.\Resound, resound, forest song of the night.\Hear, hear, the howling of the grave keeper.\Sleep magic doesn't work on me.\Not since you're here.\Too bad.\Goodbye. response:	Got you.
context: So let's end it.\Resound, resound, forest song of the night.\Hear, hear, the howling of the grave keeper.\Sleep magic doesn't work on me.\Not since you're here.\Too bad.\Goodbye.\Got you. response:	Elias,
context: Resound, resound, forest song of the night.\Hear, hear, the howling of the grave keeper.\Sleep magic doesn't work on me.\Not since you're here.\Too bad.\Goodbye.\Got you.\Elias, response:	I want you to bind us together so that
context: Hear, hear, the howling of the grave keeper.\Sleep magic doesn't work on me.\Not since you're here.\Too bad.\Goodbye.\Got you.\Elias,\I want you to bind us together so that response:	no matter what happens, we won't be separated.
context: Sleep magic doesn't work on me.\Not since you're here.\Too bad.\Goodbye.\Got you.\Elias,\I want you to bind us together so that\no matter what happens, we won't be separated. response:	All right.
context: Not since you're here.\Too bad.\Goodbye.\Got you.\Elias,\I want you to bind us together so that\no matter what happens, we won't be separated.\All right. response:	He did it.
context: Too bad.\Goodbye.\Got you.\Elias,\I want you to bind us together so that\no matter what happens, we won't be separated.\All right.\He did it. response:	Let go!
context: Goodbye.\Got you.\Elias,\I want you to bind us together so that\no matter what happens, we won't be separated.\All right.\He did it.\Let go! response:	Let go!
context: Got you.\Elias,\I want you to bind us together so that\no matter what happens, we won't be separated.\All right.\He did it.\Let go!\Let go! response:	Why...
context: Elias,\I want you to bind us together so that\no matter what happens, we won't be separated.\All right.\He did it.\Let go!\Let go!\Why... response:	Why...
context: I want you to bind us together so that\no matter what happens, we won't be separated.\All right.\He did it.\Let go!\Let go!\Why...\Why... response:	It hurts, doesn't it?
context: no matter what happens, we won't be separated.\All right.\He did it.\Let go!\Let go!\Why...\Why...\It hurts, doesn't it? response:	It hurts when no one understands.
context: All right.\He did it.\Let go!\Let go!\Why...\Why...\It hurts, doesn't it?\It hurts when no one understands. response:	One, two, where do you bloom?
context: He did it.\Let go!\Let go!\Why...\Why...\It hurts, doesn't it?\It hurts when no one understands.\One, two, where do you bloom? response:	Under the window where the children sleep,
context: Let go!\Let go!\Why...\Why...\It hurts, doesn't it?\It hurts when no one understands.\One, two, where do you bloom?\Under the window where the children sleep, response:	white flowers on the night of a pale moon...
context: Let go!\Why...\Why...\It hurts, doesn't it?\It hurts when no one understands.\One, two, where do you bloom?\Under the window where the children sleep,\white flowers on the night of a pale moon... response:	Three, four, where do you bloom?
context: Why...\Why...\It hurts, doesn't it?\It hurts when no one understands.\One, two, where do you bloom?\Under the window where the children sleep,\white flowers on the night of a pale moon...\Three, four, where do you bloom? response:	On the frame of Mommy's mirror,
context: Why...\It hurts, doesn't it?\It hurts when no one understands.\One, two, where do you bloom?\Under the window where the children sleep,\white flowers on the night of a pale moon...\Three, four, where do you bloom?\On the frame of Mommy's mirror, response:	a little blue flower blooms...
context: It hurts, doesn't it?\It hurts when no one understands.\One, two, where do you bloom?\Under the window where the children sleep,\white flowers on the night of a pale moon...\Three, four, where do you bloom?\On the frame of Mommy's mirror,\a little blue flower blooms... response:	Let's count, let's count, let's find and count the flowers...
context: It hurts when no one understands.\One, two, where do you bloom?\Under the window where the children sleep,\white flowers on the night of a pale moon...\Three, four, where do you bloom?\On the frame of Mommy's mirror,\a little blue flower blooms...\Let's count, let's count, let's find and count the flowers... response:	Count to seven and eight...
context: One, two, where do you bloom?\Under the window where the children sleep,\white flowers on the night of a pale moon...\Three, four, where do you bloom?\On the frame of Mommy's mirror,\a little blue flower blooms...\Let's count, let's count, let's find and count the flowers...\Count to seven and eight... response:	In the dream in which the child sleeps.
context: Under the window where the children sleep,\white flowers on the night of a pale moon...\Three, four, where do you bloom?\On the frame of Mommy's mirror,\a little blue flower blooms...\Let's count, let's count, let's find and count the flowers...\Count to seven and eight...\In the dream in which the child sleeps. response:	Mommy will give you a bouquet of flowers.
context: white flowers on the night of a pale moon...\Three, four, where do you bloom?\On the frame of Mommy's mirror,\a little blue flower blooms...\Let's count, let's count, let's find and count the flowers...\Count to seven and eight...\In the dream in which the child sleeps.\Mommy will give you a bouquet of flowers. response:	Mommy will give you a bouquet of flowers...
context: Three, four, where do you bloom?\On the frame of Mommy's mirror,\a little blue flower blooms...\Let's count, let's count, let's find and count the flowers...\Count to seven and eight...\In the dream in which the child sleeps.\Mommy will give you a bouquet of flowers.\Mommy will give you a bouquet of flowers... response:	Good night, Cartaphilus, Joseph.
context: On the frame of Mommy's mirror,\a little blue flower blooms...\Let's count, let's count, let's find and count the flowers...\Count to seven and eight...\In the dream in which the child sleeps.\Mommy will give you a bouquet of flowers.\Mommy will give you a bouquet of flowers...\Good night, Cartaphilus, Joseph. response:	Chise!
context: a little blue flower blooms...\Let's count, let's count, let's find and count the flowers...\Count to seven and eight...\In the dream in which the child sleeps.\Mommy will give you a bouquet of flowers.\Mommy will give you a bouquet of flowers...\Good night, Cartaphilus, Joseph.\Chise! response:	He's right. I wouldn't want to do this for millennia.
context: Let's count, let's count, let's find and count the flowers...\Count to seven and eight...\In the dream in which the child sleeps.\Mommy will give you a bouquet of flowers.\Mommy will give you a bouquet of flowers...\Good night, Cartaphilus, Joseph.\Chise!\He's right. I wouldn't want to do this for millennia. response:	Don't try to talk.
context: Count to seven and eight...\In the dream in which the child sleeps.\Mommy will give you a bouquet of flowers.\Mommy will give you a bouquet of flowers...\Good night, Cartaphilus, Joseph.\Chise!\He's right. I wouldn't want to do this for millennia.\Don't try to talk. response:	Elias...
context: In the dream in which the child sleeps.\Mommy will give you a bouquet of flowers.\Mommy will give you a bouquet of flowers...\Good night, Cartaphilus, Joseph.\Chise!\He's right. I wouldn't want to do this for millennia.\Don't try to talk.\Elias... response:	Hey, what's going on?
context: Mommy will give you a bouquet of flowers.\Mommy will give you a bouquet of flowers...\Good night, Cartaphilus, Joseph.\Chise!\He's right. I wouldn't want to do this for millennia.\Don't try to talk.\Elias...\Hey, what's going on? response:	Chise...
context: Mommy will give you a bouquet of flowers...\Good night, Cartaphilus, Joseph.\Chise!\He's right. I wouldn't want to do this for millennia.\Don't try to talk.\Elias...\Hey, what's going on?\Chise... response:	It's a promise.
context: Good night, Cartaphilus, Joseph.\Chise!\He's right. I wouldn't want to do this for millennia.\Don't try to talk.\Elias...\Hey, what's going on?\Chise...\It's a promise. response:	Hello.
context: Chise!\He's right. I wouldn't want to do this for millennia.\Don't try to talk.\Elias...\Hey, what's going on?\Chise...\It's a promise.\Hello. response:	I reached a bit of an understanding with the dragon inside of you.
context: He's right. I wouldn't want to do this for millennia.\Don't try to talk.\Elias...\Hey, what's going on?\Chise...\It's a promise.\Hello.\I reached a bit of an understanding with the dragon inside of you. response:	I'm going to keep you alive, and the dragon will someday kill you.
context: Don't try to talk.\Elias...\Hey, what's going on?\Chise...\It's a promise.\Hello.\I reached a bit of an understanding with the dragon inside of you.\I'm going to keep you alive, and the dragon will someday kill you. response:	We'll be inside of you, keeping each other in check.
context: Elias...\Hey, what's going on?\Chise...\It's a promise.\Hello.\I reached a bit of an understanding with the dragon inside of you.\I'm going to keep you alive, and the dragon will someday kill you.\We'll be inside of you, keeping each other in check. response:	So nothing will happen to you right away.
context: Hey, what's going on?\Chise...\It's a promise.\Hello.\I reached a bit of an understanding with the dragon inside of you.\I'm going to keep you alive, and the dragon will someday kill you.\We'll be inside of you, keeping each other in check.\So nothing will happen to you right away. response:	Oh, but that's how it is for all ordinary beings, isn't it?
context: Chise...\It's a promise.\Hello.\I reached a bit of an understanding with the dragon inside of you.\I'm going to keep you alive, and the dragon will someday kill you.\We'll be inside of you, keeping each other in check.\So nothing will happen to you right away.\Oh, but that's how it is for all ordinary beings, isn't it? response:	Good for you.
context: It's a promise.\Hello.\I reached a bit of an understanding with the dragon inside of you.\I'm going to keep you alive, and the dragon will someday kill you.\We'll be inside of you, keeping each other in check.\So nothing will happen to you right away.\Oh, but that's how it is for all ordinary beings, isn't it?\Good for you. response:	Look, it's time.
context: Hello.\I reached a bit of an understanding with the dragon inside of you.\I'm going to keep you alive, and the dragon will someday kill you.\We'll be inside of you, keeping each other in check.\So nothing will happen to you right away.\Oh, but that's how it is for all ordinary beings, isn't it?\Good for you.\Look, it's time. response:	Chise...
context: I reached a bit of an understanding with the dragon inside of you.\I'm going to keep you alive, and the dragon will someday kill you.\We'll be inside of you, keeping each other in check.\So nothing will happen to you right away.\Oh, but that's how it is for all ordinary beings, isn't it?\Good for you.\Look, it's time.\Chise... response:	Go to the child. He's waiting for you.
context: I'm going to keep you alive, and the dragon will someday kill you.\We'll be inside of you, keeping each other in check.\So nothing will happen to you right away.\Oh, but that's how it is for all ordinary beings, isn't it?\Good for you.\Look, it's time.\Chise...\Go to the child. He's waiting for you. response:	Now, hurry.
context: We'll be inside of you, keeping each other in check.\So nothing will happen to you right away.\Oh, but that's how it is for all ordinary beings, isn't it?\Good for you.\Look, it's time.\Chise...\Go to the child. He's waiting for you.\Now, hurry. response:	I'm home, Elias.
context: So nothing will happen to you right away.\Oh, but that's how it is for all ordinary beings, isn't it?\Good for you.\Look, it's time.\Chise...\Go to the child. He's waiting for you.\Now, hurry.\I'm home, Elias. response:	Now, Elias, let's hear your excuse.
context: Oh, but that's how it is for all ordinary beings, isn't it?\Good for you.\Look, it's time.\Chise...\Go to the child. He's waiting for you.\Now, hurry.\I'm home, Elias.\Now, Elias, let's hear your excuse. response:	Why did you do such a thing to Stella without even talking to me first?
context: Good for you.\Look, it's time.\Chise...\Go to the child. He's waiting for you.\Now, hurry.\I'm home, Elias.\Now, Elias, let's hear your excuse.\Why did you do such a thing to Stella without even talking to me first? response:	If you're going to go there, I have something I want to say, too.
context: Look, it's time.\Chise...\Go to the child. He's waiting for you.\Now, hurry.\I'm home, Elias.\Now, Elias, let's hear your excuse.\Why did you do such a thing to Stella without even talking to me first?\If you're going to go there, I have something I want to say, too. response:	You're always the one who does things without consulting me.
context: Chise...\Go to the child. He's waiting for you.\Now, hurry.\I'm home, Elias.\Now, Elias, let's hear your excuse.\Why did you do such a thing to Stella without even talking to me first?\If you're going to go there, I have something I want to say, too.\You're always the one who does things without consulting me. response:	I already apologized for that!
context: Go to the child. He's waiting for you.\Now, hurry.\I'm home, Elias.\Now, Elias, let's hear your excuse.\Why did you do such a thing to Stella without even talking to me first?\If you're going to go there, I have something I want to say, too.\You're always the one who does things without consulting me.\I already apologized for that! response:	I just said we'd think things through together from now on,
context: Now, hurry.\I'm home, Elias.\Now, Elias, let's hear your excuse.\Why did you do such a thing to Stella without even talking to me first?\If you're going to go there, I have something I want to say, too.\You're always the one who does things without consulting me.\I already apologized for that!\I just said we'd think things through together from now on, response:	and look at what you go and do!
context: I'm home, Elias.\Now, Elias, let's hear your excuse.\Why did you do such a thing to Stella without even talking to me first?\If you're going to go there, I have something I want to say, too.\You're always the one who does things without consulting me.\I already apologized for that!\I just said we'd think things through together from now on,\and look at what you go and do! response:	But...
context: Now, Elias, let's hear your excuse.\Why did you do such a thing to Stella without even talking to me first?\If you're going to go there, I have something I want to say, too.\You're always the one who does things without consulting me.\I already apologized for that!\I just said we'd think things through together from now on,\and look at what you go and do!\But... response:	Silky...
context: Why did you do such a thing to Stella without even talking to me first?\If you're going to go there, I have something I want to say, too.\You're always the one who does things without consulting me.\I already apologized for that!\I just said we'd think things through together from now on,\and look at what you go and do!\But...\Silky... response:	Hang on.
context: If you're going to go there, I have something I want to say, too.\You're always the one who does things without consulting me.\I already apologized for that!\I just said we'd think things through together from now on,\and look at what you go and do!\But...\Silky...\Hang on. response:	I'm not done yet.
context: You're always the one who does things without consulting me.\I already apologized for that!\I just said we'd think things through together from now on,\and look at what you go and do!\But...\Silky...\Hang on.\I'm not done yet. response:	I'm not, either.
context: I already apologized for that!\I just said we'd think things through together from now on,\and look at what you go and do!\But...\Silky...\Hang on.\I'm not done yet.\I'm not, either. response:	You, too, Ruth.
context: I just said we'd think things through together from now on,\and look at what you go and do!\But...\Silky...\Hang on.\I'm not done yet.\I'm not, either.\You, too, Ruth. response:	I'm off now.
context: and look at what you go and do!\But...\Silky...\Hang on.\I'm not done yet.\I'm not, either.\You, too, Ruth.\I'm off now. response:	Chise, stop.
context: But...\Silky...\Hang on.\I'm not done yet.\I'm not, either.\You, too, Ruth.\I'm off now.\Chise, stop. response:	Don't put myself in danger.
context: Silky...\Hang on.\I'm not done yet.\I'm not, either.\You, too, Ruth.\I'm off now.\Chise, stop.\Don't put myself in danger. response:	Back down if I'm about to get hurt.
