context: Notice to Akane! I think I have a crush on Azumi-kun response:	4 Days Until the Meet
context: Can you give me a minute?\Yes, sorry.\No, it's all right.\So hungry...\So hungry...\Here, dig in.\You made way too much, Mom.\Really? response:	Oh, that looks delicious!
context: Yes, sorry.\No, it's all right.\So hungry...\So hungry...\Here, dig in.\You made way too much, Mom.\Really?\Oh, that looks delicious! response:	Let's eat.
context: No, it's all right.\So hungry...\So hungry...\Here, dig in.\You made way too much, Mom.\Really?\Oh, that looks delicious!\Let's eat. response:	Eat up, Akane.
context: So hungry...\So hungry...\Here, dig in.\You made way too much, Mom.\Really?\Oh, that looks delicious!\Let's eat.\Eat up, Akane. response:	Let's eat.
context: So hungry...\Here, dig in.\You made way too much, Mom.\Really?\Oh, that looks delicious!\Let's eat.\Eat up, Akane.\Let's eat. response:	You're competing on Sunday, aren't you?
context: Here, dig in.\You made way too much, Mom.\Really?\Oh, that looks delicious!\Let's eat.\Eat up, Akane.\Let's eat.\You're competing on Sunday, aren't you? response:	Let's eat.
context: You made way too much, Mom.\Really?\Oh, that looks delicious!\Let's eat.\Eat up, Akane.\Let's eat.\You're competing on Sunday, aren't you?\Let's eat. response:	We'll be there to cheer for you.
context: Really?\Oh, that looks delicious!\Let's eat.\Eat up, Akane.\Let's eat.\You're competing on Sunday, aren't you?\Let's eat.\We'll be there to cheer for you. response:	Y-You don't have to.
context: Oh, that looks delicious!\Let's eat.\Eat up, Akane.\Let's eat.\You're competing on Sunday, aren't you?\Let's eat.\We'll be there to cheer for you.\Y-You don't have to. response:	Let's eat.
context: Let's eat.\Eat up, Akane.\Let's eat.\You're competing on Sunday, aren't you?\Let's eat.\We'll be there to cheer for you.\Y-You don't have to.\Let's eat. response:	Why not?
context: Eat up, Akane.\Let's eat.\You're competing on Sunday, aren't you?\Let's eat.\We'll be there to cheer for you.\Y-You don't have to.\Let's eat.\Why not? response:	Akane is a third-year now.
context: Let's eat.\You're competing on Sunday, aren't you?\Let's eat.\We'll be there to cheer for you.\Y-You don't have to.\Let's eat.\Why not?\Akane is a third-year now. response:	So what?
context: You're competing on Sunday, aren't you?\Let's eat.\We'll be there to cheer for you.\Y-You don't have to.\Let's eat.\Why not?\Akane is a third-year now.\So what? response:	Maybe she's got a boyfriend now?
context: Let's eat.\We'll be there to cheer for you.\Y-You don't have to.\Let's eat.\Why not?\Akane is a third-year now.\So what?\Maybe she's got a boyfriend now? response:	Right, Akane?
context: We'll be there to cheer for you.\Y-You don't have to.\Let's eat.\Why not?\Akane is a third-year now.\So what?\Maybe she's got a boyfriend now?\Right, Akane? response:	Oh?
context: Y-You don't have to.\Let's eat.\Why not?\Akane is a third-year now.\So what?\Maybe she's got a boyfriend now?\Right, Akane?\Oh? response:	Oh?
context: Let's eat.\Why not?\Akane is a third-year now.\So what?\Maybe she's got a boyfriend now?\Right, Akane?\Oh?\Oh? response:	Is that true?
context: Why not?\Akane is a third-year now.\So what?\Maybe she's got a boyfriend now?\Right, Akane?\Oh?\Oh?\Is that true? response:	Oh?
context: Akane is a third-year now.\So what?\Maybe she's got a boyfriend now?\Right, Akane?\Oh?\Oh?\Is that true?\Oh? response:	Want to meet in the school library sometime tomorrow morning?
context: So what?\Maybe she's got a boyfriend now?\Right, Akane?\Oh?\Oh?\Is that true?\Oh?\Want to meet in the school library sometime tomorrow morning? response:	I think I have a crush on Azumi-kun
context: Maybe she's got a boyfriend now?\Right, Akane?\Oh?\Oh?\Is that true?\Oh?\Want to meet in the school library sometime tomorrow morning?\I think I have a crush on Azumi-kun response:	crush
context: Right, Akane?\Oh?\Oh?\Is that true?\Oh?\Want to meet in the school library sometime tomorrow morning?\I think I have a crush on Azumi-kun\crush response:	I have something to discuss with you, too.
context: Oh?\Oh?\Is that true?\Oh?\Want to meet in the school library sometime tomorrow morning?\I think I have a crush on Azumi-kun\crush\I have something to discuss with you, too. response:	Let's talk tomorrow.
context: Oh?\Is that true?\Oh?\Want to meet in the school library sometime tomorrow morning?\I think I have a crush on Azumi-kun\crush\I have something to discuss with you, too.\Let's talk tomorrow. response:	Open
context: Is that true?\Oh?\Want to meet in the school library sometime tomorrow morning?\I think I have a crush on Azumi-kun\crush\I have something to discuss with you, too.\Let's talk tomorrow.\Open response:	Morning.
context: Oh?\Want to meet in the school library sometime tomorrow morning?\I think I have a crush on Azumi-kun\crush\I have something to discuss with you, too.\Let's talk tomorrow.\Open\Morning. response:	Hey.
context: Want to meet in the school library sometime tomorrow morning?\I think I have a crush on Azumi-kun\crush\I have something to discuss with you, too.\Let's talk tomorrow.\Open\Morning.\Hey. response:	Really? Wow!
context: I think I have a crush on Azumi-kun\crush\I have something to discuss with you, too.\Let's talk tomorrow.\Open\Morning.\Hey.\Really? Wow! response:	Yeah, the publisher called me and said they wanted to meet with me.
context: crush\I have something to discuss with you, too.\Let's talk tomorrow.\Open\Morning.\Hey.\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me. response:	That's awesome!
context: I have something to discuss with you, too.\Let's talk tomorrow.\Open\Morning.\Hey.\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome! response:	I don't know.
context: Let's talk tomorrow.\Open\Morning.\Hey.\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know. response:	Wow...
context: Open\Morning.\Hey.\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow... response:	I still don't know what they want to say.
context: Morning.\Hey.\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow...\I still don't know what they want to say. response:	You might be winning that award.
context: Hey.\Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award. response:	Dunno...
context: Really? Wow!\Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno... response:	Good for you.
context: Yeah, the publisher called me and said they wanted to meet with me.\That's awesome!\I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you. response:	Yeah.
context: That's awesome!\I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you.\Yeah. response:	It really is amazing.
context: I don't know.\Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you.\Yeah.\It really is amazing. response:	Your dream might come true.
context: Wow...\I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you.\Yeah.\It really is amazing.\Your dream might come true. response:	Yeah.
context: I still don't know what they want to say.\You might be winning that award.\Dunno...\Good for you.\Yeah.\It really is amazing.\Your dream might come true.\Yeah. response:	Oh, but it's this Sunday.
context: You might be winning that award.\Dunno...\Good for you.\Yeah.\It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday. response:	The same day?
context: Dunno...\Good for you.\Yeah.\It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day? response:	Sorry I can't come cheer for you.
context: Good for you.\Yeah.\It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you. response:	It's totally fine.
context: Yeah.\It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine. response:	The same day, huh?
context: It really is amazing.\Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh? response:	Yeah.
context: Your dream might come true.\Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah. response:	Let's both do our best.
context: Yeah.\Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah.\Let's both do our best. response:	Yeah, let's.
context: Oh, but it's this Sunday.\The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's. response:	What about you?
context: The same day?\Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's.\What about you? response:	You said you wanted to talk.
context: Sorry I can't come cheer for you.\It's totally fine.\The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk. response:	Oh, um...
context: It's totally fine.\The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um... response:	No, never mind.
context: The same day, huh?\Yeah.\Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um...\No, never mind. response:	It's okay. Next time.
context: Yeah.\Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time. response:	Are you sure?
context: Let's both do our best.\Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time.\Are you sure? response:	Yeah.
context: Yeah, let's.\What about you?\You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time.\Are you sure?\Yeah. response:	Where are you going?
context: What about you?\You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time.\Are you sure?\Yeah.\Where are you going? response:	The library.
context: You said you wanted to talk.\Oh, um...\No, never mind.\It's okay. Next time.\Are you sure?\Yeah.\Where are you going?\The library. response:	To study? What about lunch?
context: Oh, um...\No, never mind.\It's okay. Next time.\Are you sure?\Yeah.\Where are you going?\The library.\To study? What about lunch? response:	No, thanks.
context: No, never mind.\It's okay. Next time.\Are you sure?\Yeah.\Where are you going?\The library.\To study? What about lunch?\No, thanks. response:	I'll be fine.
context: It's okay. Next time.\Are you sure?\Yeah.\Where are you going?\The library.\To study? What about lunch?\No, thanks.\I'll be fine. response:	Bye.
context: Are you sure?\Yeah.\Where are you going?\The library.\To study? What about lunch?\No, thanks.\I'll be fine.\Bye. response:	Be safe.
context: Yeah.\Where are you going?\The library.\To study? What about lunch?\No, thanks.\I'll be fine.\Bye.\Be safe. response:	Let's see...
context: Where are you going?\The library.\To study? What about lunch?\No, thanks.\I'll be fine.\Bye.\Be safe.\Let's see... response:	So expensive...
context: The library.\To study? What about lunch?\No, thanks.\I'll be fine.\Bye.\Be safe.\Let's see...\So expensive... response:	Azumi-kun
context: To study? What about lunch?\No, thanks.\I'll be fine.\Bye.\Be safe.\Let's see...\So expensive...\Azumi-kun response:	Here goes
context: No, thanks.\I'll be fine.\Bye.\Be safe.\Let's see...\So expensive...\Azumi-kun\Here goes response:	Here goes
context: I'll be fine.\Bye.\Be safe.\Let's see...\So expensive...\Azumi-kun\Here goes\Here goes response:	Pinky promise
context: Bye.\Be safe.\Let's see...\So expensive...\Azumi-kun\Here goes\Here goes\Pinky promise response:	Today's the big day, huh?
context: Be safe.\Let's see...\So expensive...\Azumi-kun\Here goes\Here goes\Pinky promise\Today's the big day, huh? response:	Kumagaya Sports and Cultural Center
context: Let's see...\So expensive...\Azumi-kun\Here goes\Here goes\Pinky promise\Today's the big day, huh?\Kumagaya Sports and Cultural Center response:	Oh, over here.
context: So expensive...\Azumi-kun\Here goes\Here goes\Pinky promise\Today's the big day, huh?\Kumagaya Sports and Cultural Center\Oh, over here. response:	Hi.
context: Azumi-kun\Here goes\Here goes\Pinky promise\Today's the big day, huh?\Kumagaya Sports and Cultural Center\Oh, over here.\Hi. response:	Good morning.
context: Here goes\Here goes\Pinky promise\Today's the big day, huh?\Kumagaya Sports and Cultural Center\Oh, over here.\Hi.\Good morning. response:	Hey...
context: Here goes\Pinky promise\Today's the big day, huh?\Kumagaya Sports and Cultural Center\Oh, over here.\Hi.\Good morning.\Hey... response:	About that LINE message the other day...
context: Pinky promise\Today's the big day, huh?\Kumagaya Sports and Cultural Center\Oh, over here.\Hi.\Good morning.\Hey...\About that LINE message the other day... response:	S-Sorry.
context: Today's the big day, huh?\Kumagaya Sports and Cultural Center\Oh, over here.\Hi.\Good morning.\Hey...\About that LINE message the other day...\S-Sorry. response:	For what?
context: Kumagaya Sports and Cultural Center\Oh, over here.\Hi.\Good morning.\Hey...\About that LINE message the other day...\S-Sorry.\For what? response:	I'm, uh...
context: Oh, over here.\Hi.\Good morning.\Hey...\About that LINE message the other day...\S-Sorry.\For what?\I'm, uh... response:	in... a relationship.
context: Hi.\Good morning.\Hey...\About that LINE message the other day...\S-Sorry.\For what?\I'm, uh...\in... a relationship. response:	W-With Azumi-kun.
context: Good morning.\Hey...\About that LINE message the other day...\S-Sorry.\For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun. response:	I know.
context: Hey...\About that LINE message the other day...\S-Sorry.\For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know. response:	It's obvious.
context: About that LINE message the other day...\S-Sorry.\For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know.\It's obvious. response:	We're friends, after all.
context: S-Sorry.\For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all. response:	Uh...
context: For what?\I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all.\Uh... response:	Thanks for letting me know.
context: I'm, uh...\in... a relationship.\W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know. response:	Set!
context: in... a relationship.\W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know.\Set! response:	Wow, Mizuno's next to Sasaki from Nishi Middle School.
context: W-With Azumi-kun.\I know.\It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know.\Set!\Wow, Mizuno's next to Sasaki from Nishi Middle School. response:	She's super fast.
context: I know.\It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know.\Set!\Wow, Mizuno's next to Sasaki from Nishi Middle School.\She's super fast. response:	Focus, Mizuno!
context: It's obvious.\We're friends, after all.\Uh...\Thanks for letting me know.\Set!\Wow, Mizuno's next to Sasaki from Nishi Middle School.\She's super fast.\Focus, Mizuno! response:	Go!
context: We're friends, after all.\Uh...\Thanks for letting me know.\Set!\Wow, Mizuno's next to Sasaki from Nishi Middle School.\She's super fast.\Focus, Mizuno!\Go! response:	Set!
context: Uh...\Thanks for letting me know.\Set!\Wow, Mizuno's next to Sasaki from Nishi Middle School.\She's super fast.\Focus, Mizuno!\Go!\Set! response:	Mizuno, slow down!
context: Thanks for letting me know.\Set!\Wow, Mizuno's next to Sasaki from Nishi Middle School.\She's super fast.\Focus, Mizuno!\Go!\Set!\Mizuno, slow down! response:	My name is Kitamura.
context: Set!\Wow, Mizuno's next to Sasaki from Nishi Middle School.\She's super fast.\Focus, Mizuno!\Go!\Set!\Mizuno, slow down!\My name is Kitamura. response:	Nice to meet you.
context: Wow, Mizuno's next to Sasaki from Nishi Middle School.\She's super fast.\Focus, Mizuno!\Go!\Set!\Mizuno, slow down!\My name is Kitamura.\Nice to meet you. response:	Sorry to bring you out here.
context: She's super fast.\Focus, Mizuno!\Go!\Set!\Mizuno, slow down!\My name is Kitamura.\Nice to meet you.\Sorry to bring you out here. response:	It's fine.
context: Focus, Mizuno!\Go!\Set!\Mizuno, slow down!\My name is Kitamura.\Nice to meet you.\Sorry to bring you out here.\It's fine. response:	Kitamura Takeshi
context: Go!\Set!\Mizuno, slow down!\My name is Kitamura.\Nice to meet you.\Sorry to bring you out here.\It's fine.\Kitamura Takeshi response:	So, getting right to business...
context: Set!\Mizuno, slow down!\My name is Kitamura.\Nice to meet you.\Sorry to bring you out here.\It's fine.\Kitamura Takeshi\So, getting right to business... response:	I'm an editor for ABC Publishing.
context: Mizuno, slow down!\My name is Kitamura.\Nice to meet you.\Sorry to bring you out here.\It's fine.\Kitamura Takeshi\So, getting right to business...\I'm an editor for ABC Publishing. response:	We're searching for young writers right now.
context: My name is Kitamura.\Nice to meet you.\Sorry to bring you out here.\It's fine.\Kitamura Takeshi\So, getting right to business...\I'm an editor for ABC Publishing.\We're searching for young writers right now. response:	Right.
context: Nice to meet you.\Sorry to bring you out here.\It's fine.\Kitamura Takeshi\So, getting right to business...\I'm an editor for ABC Publishing.\We're searching for young writers right now.\Right. response:	You're in middle school, aren't you?
context: Sorry to bring you out here.\It's fine.\Kitamura Takeshi\So, getting right to business...\I'm an editor for ABC Publishing.\We're searching for young writers right now.\Right.\You're in middle school, aren't you? response:	Yes.
context: It's fine.\Kitamura Takeshi\So, getting right to business...\I'm an editor for ABC Publishing.\We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes. response:	Lucky you, being so young.
context: Kitamura Takeshi\So, getting right to business...\I'm an editor for ABC Publishing.\We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young. response:	Well, to be honest, I don't think you're cut out for serious literature.
context: So, getting right to business...\I'm an editor for ABC Publishing.\We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature. response:	You don't have talent.
context: I'm an editor for ABC Publishing.\We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\You don't have talent. response:	You should give up on it.
context: We're searching for young writers right now.\Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\You don't have talent.\You should give up on it. response:	Honestly, though, serious literature doesn't make any money.
context: Right.\You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\You don't have talent.\You should give up on it.\Honestly, though, serious literature doesn't make any money. response:	I don't recommend it anyway.
context: You're in middle school, aren't you?\Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\You don't have talent.\You should give up on it.\Honestly, though, serious literature doesn't make any money.\I don't recommend it anyway. response:	Why don't you try light novel-type stuff instead?
context: Yes.\Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\You don't have talent.\You should give up on it.\Honestly, though, serious literature doesn't make any money.\I don't recommend it anyway.\Why don't you try light novel-type stuff instead? response:	I have a feeling you could do it, Azumi-san.
context: Lucky you, being so young.\Well, to be honest, I don't think you're cut out for serious literature.\You don't have talent.\You should give up on it.\Honestly, though, serious literature doesn't make any money.\I don't recommend it anyway.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san. response:	I think it'd be a better way to spend your time than chasing after literature awards.
context: Well, to be honest, I don't think you're cut out for serious literature.\You don't have talent.\You should give up on it.\Honestly, though, serious literature doesn't make any money.\I don't recommend it anyway.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\I think it'd be a better way to spend your time than chasing after literature awards. response:	You could get your name out there easily.
context: You don't have talent.\You should give up on it.\Honestly, though, serious literature doesn't make any money.\I don't recommend it anyway.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\I think it'd be a better way to spend your time than chasing after literature awards.\You could get your name out there easily. response:	There are tons of people who end up in their thirties, still trying to become writers.
context: You should give up on it.\Honestly, though, serious literature doesn't make any money.\I don't recommend it anyway.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\I think it'd be a better way to spend your time than chasing after literature awards.\You could get your name out there easily.\There are tons of people who end up in their thirties, still trying to become writers. response:	You should give it a shot while you still have youth on your side.
context: Honestly, though, serious literature doesn't make any money.\I don't recommend it anyway.\Why don't you try light novel-type stuff instead?\I have a feeling you could do it, Azumi-san.\I think it'd be a better way to spend your time than chasing after literature awards.\You could get your name out there easily.\There are tons of people who end up in their thirties, still trying to become writers.\You should give it a shot while you still have youth on your side. response:	Kumagaya Sports and Cultural Center
