context: What was that? response:	Kawachi
context: Talk to you later.\My maternal grandfather died last night.\That dream I had...\Was that Grandpa...\and Mom?\Seems he'd lost touch with all of the relatives...\I come back after all this time and it's for a funeral...\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: My maternal grandfather died last night.\That dream I had...\Was that Grandpa...\and Mom?\Seems he'd lost touch with all of the relatives...\I come back after all this time and it's for a funeral...\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: That dream I had...\Was that Grandpa...\and Mom?\Seems he'd lost touch with all of the relatives...\I come back after all this time and it's for a funeral...\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: Was that Grandpa...\and Mom?\Seems he'd lost touch with all of the relatives...\I come back after all this time and it's for a funeral...\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
context: and Mom?\Seems he'd lost touch with all of the relatives...\I come back after all this time and it's for a funeral...\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: Seems he'd lost touch with all of the relatives...\I come back after all this time and it's for a funeral...\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: I come back after all this time and it's for a funeral...\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Im with you, Im happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	I'm here.
context: I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'm here. response:	Oh, Daikichi, you got here fast.
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'm here.\Oh, Daikichi, you got here fast. response:	Just put your bags in Grandpa's room.
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'm here.\Oh, Daikichi, you got here fast.\Just put your bags in Grandpa's room. response:	Okay.
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'm here.\Oh, Daikichi, you got here fast.\Just put your bags in Grandpa's room.\Okay. response:	By the way, there was a girl in the yard.
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\I'm here.\Oh, Daikichi, you got here fast.\Just put your bags in Grandpa's room.\Okay.\By the way, there was a girl in the yard. response:	I can't remember, is Haruko's girl that age?
context: And those days will be happy, too!\Just wanna make you happy!\I'm here.\Oh, Daikichi, you got here fast.\Just put your bags in Grandpa's room.\Okay.\By the way, there was a girl in the yard.\I can't remember, is Haruko's girl that age? response:	That wasn't Reina-chan...
context: Just wanna make you happy!\I'm here.\Oh, Daikichi, you got here fast.\Just put your bags in Grandpa's room.\Okay.\By the way, there was a girl in the yard.\I can't remember, is Haruko's girl that age?\That wasn't Reina-chan... response:	Whose kid is she?
context: I'm here.\Oh, Daikichi, you got here fast.\Just put your bags in Grandpa's room.\Okay.\By the way, there was a girl in the yard.\I can't remember, is Haruko's girl that age?\That wasn't Reina-chan...\Whose kid is she? response:	Darn it! This kitchen is so inconvenient!
context: Oh, Daikichi, you got here fast.\Just put your bags in Grandpa's room.\Okay.\By the way, there was a girl in the yard.\I can't remember, is Haruko's girl that age?\That wasn't Reina-chan...\Whose kid is she?\Darn it! This kitchen is so inconvenient! response:	I don't know what to do from here on out...
context: Just put your bags in Grandpa's room.\Okay.\By the way, there was a girl in the yard.\I can't remember, is Haruko's girl that age?\That wasn't Reina-chan...\Whose kid is she?\Darn it! This kitchen is so inconvenient!\I don't know what to do from here on out... response:	Well, he was 79 and died a peaceful death, didn't he?
context: Okay.\By the way, there was a girl in the yard.\I can't remember, is Haruko's girl that age?\That wasn't Reina-chan...\Whose kid is she?\Darn it! This kitchen is so inconvenient!\I don't know what to do from here on out...\Well, he was 79 and died a peaceful death, didn't he? response:	Apparently, that girl is Grandpa's illegitimate child...
context: By the way, there was a girl in the yard.\I can't remember, is Haruko's girl that age?\That wasn't Reina-chan...\Whose kid is she?\Darn it! This kitchen is so inconvenient!\I don't know what to do from here on out...\Well, he was 79 and died a peaceful death, didn't he?\Apparently, that girl is Grandpa's illegitimate child... response:	Grandpa's child?!
context: I can't remember, is Haruko's girl that age?\That wasn't Reina-chan...\Whose kid is she?\Darn it! This kitchen is so inconvenient!\I don't know what to do from here on out...\Well, he was 79 and died a peaceful death, didn't he?\Apparently, that girl is Grandpa's illegitimate child...\Grandpa's child?! response:	Grandpa didn't say a thing about it...
context: That wasn't Reina-chan...\Whose kid is she?\Darn it! This kitchen is so inconvenient!\I don't know what to do from here on out...\Well, he was 79 and died a peaceful death, didn't he?\Apparently, that girl is Grandpa's illegitimate child...\Grandpa's child?!\Grandpa didn't say a thing about it... response:	And his lover took off, too...
context: Whose kid is she?\Darn it! This kitchen is so inconvenient!\I don't know what to do from here on out...\Well, he was 79 and died a peaceful death, didn't he?\Apparently, that girl is Grandpa's illegitimate child...\Grandpa's child?!\Grandpa didn't say a thing about it...\And his lover took off, too... response:	His lover?! He was 79 !
context: Darn it! This kitchen is so inconvenient!\I don't know what to do from here on out...\Well, he was 79 and died a peaceful death, didn't he?\Apparently, that girl is Grandpa's illegitimate child...\Grandpa's child?!\Grandpa didn't say a thing about it...\And his lover took off, too...\His lover?! He was 79 ! response:	It's so embarrassing, not to mention shameful...
context: I don't know what to do from here on out...\Well, he was 79 and died a peaceful death, didn't he?\Apparently, that girl is Grandpa's illegitimate child...\Grandpa's child?!\Grandpa didn't say a thing about it...\And his lover took off, too...\His lover?! He was 79 !\It's so embarrassing, not to mention shameful... response:	Then she's...
context: Well, he was 79 and died a peaceful death, didn't he?\Apparently, that girl is Grandpa's illegitimate child...\Grandpa's child?!\Grandpa didn't say a thing about it...\And his lover took off, too...\His lover?! He was 79 !\It's so embarrassing, not to mention shameful...\Then she's... response:	Like your little sister...
context: Apparently, that girl is Grandpa's illegitimate child...\Grandpa's child?!\Grandpa didn't say a thing about it...\And his lover took off, too...\His lover?! He was 79 !\It's so embarrassing, not to mention shameful...\Then she's...\Like your little sister... response:	And my aunt...
context: Grandpa's child?!\Grandpa didn't say a thing about it...\And his lover took off, too...\His lover?! He was 79 !\It's so embarrassing, not to mention shameful...\Then she's...\Like your little sister...\And my aunt... response:	How can you make light of this?!
context: Grandpa didn't say a thing about it...\And his lover took off, too...\His lover?! He was 79 !\It's so embarrassing, not to mention shameful...\Then she's...\Like your little sister...\And my aunt...\How can you make light of this?! response:	You're 30 years old! Old enough not to make such thoughtless remarks!
context: And his lover took off, too...\His lover?! He was 79 !\It's so embarrassing, not to mention shameful...\Then she's...\Like your little sister...\And my aunt...\How can you make light of this?!\You're 30 years old! Old enough not to make such thoughtless remarks! response:	You died at peace, huh, Grandpa?
context: His lover?! He was 79 !\It's so embarrassing, not to mention shameful...\Then she's...\Like your little sister...\And my aunt...\How can you make light of this?!\You're 30 years old! Old enough not to make such thoughtless remarks!\You died at peace, huh, Grandpa? response:	About how much should I put in?
context: It's so embarrassing, not to mention shameful...\Then she's...\Like your little sister...\And my aunt...\How can you make light of this?!\You're 30 years old! Old enough not to make such thoughtless remarks!\You died at peace, huh, Grandpa?\About how much should I put in? response:	As much as you like. It can be any amount.
context: Then she's...\Like your little sister...\And my aunt...\How can you make light of this?!\You're 30 years old! Old enough not to make such thoughtless remarks!\You died at peace, huh, Grandpa?\About how much should I put in?\As much as you like. It can be any amount. response:	I know, but there's a certain standard amount, isn't there?
context: Like your little sister...\And my aunt...\How can you make light of this?!\You're 30 years old! Old enough not to make such thoughtless remarks!\You died at peace, huh, Grandpa?\About how much should I put in?\As much as you like. It can be any amount.\I know, but there's a certain standard amount, isn't there? response:	Honestly, any amount is fine...
context: And my aunt...\How can you make light of this?!\You're 30 years old! Old enough not to make such thoughtless remarks!\You died at peace, huh, Grandpa?\About how much should I put in?\As much as you like. It can be any amount.\I know, but there's a certain standard amount, isn't there?\Honestly, any amount is fine... response:	Although these days, it's very common for sutras to be recited
context: How can you make light of this?!\You're 30 years old! Old enough not to make such thoughtless remarks!\You died at peace, huh, Grandpa?\About how much should I put in?\As much as you like. It can be any amount.\I know, but there's a certain standard amount, isn't there?\Honestly, any amount is fine...\Although these days, it's very common for sutras to be recited response:	and a posthumous Buddhist name to be given...
context: You're 30 years old! Old enough not to make such thoughtless remarks!\You died at peace, huh, Grandpa?\About how much should I put in?\As much as you like. It can be any amount.\I know, but there's a certain standard amount, isn't there?\Honestly, any amount is fine...\Although these days, it's very common for sutras to be recited\and a posthumous Buddhist name to be given... response:	She said 400,000 to 500,000 yen.
context: You died at peace, huh, Grandpa?\About how much should I put in?\As much as you like. It can be any amount.\I know, but there's a certain standard amount, isn't there?\Honestly, any amount is fine...\Although these days, it's very common for sutras to be recited\and a posthumous Buddhist name to be given...\She said 400,000 to 500,000 yen. response:	That's a large sum of money.
context: About how much should I put in?\As much as you like. It can be any amount.\I know, but there's a certain standard amount, isn't there?\Honestly, any amount is fine...\Although these days, it's very common for sutras to be recited\and a posthumous Buddhist name to be given...\She said 400,000 to 500,000 yen.\That's a large sum of money. response:	Hello. It's been a long time.
context: As much as you like. It can be any amount.\I know, but there's a certain standard amount, isn't there?\Honestly, any amount is fine...\Although these days, it's very common for sutras to be recited\and a posthumous Buddhist name to be given...\She said 400,000 to 500,000 yen.\That's a large sum of money.\Hello. It's been a long time. response:	Oh, Daikichi. Long time no see.
context: I know, but there's a certain standard amount, isn't there?\Honestly, any amount is fine...\Although these days, it's very common for sutras to be recited\and a posthumous Buddhist name to be given...\She said 400,000 to 500,000 yen.\That's a large sum of money.\Hello. It's been a long time.\Oh, Daikichi. Long time no see. response:	Have you been busy?
context: Honestly, any amount is fine...\Although these days, it's very common for sutras to be recited\and a posthumous Buddhist name to be given...\She said 400,000 to 500,000 yen.\That's a large sum of money.\Hello. It's been a long time.\Oh, Daikichi. Long time no see.\Have you been busy? response:	Yes, busy enough...
context: Although these days, it's very common for sutras to be recited\and a posthumous Buddhist name to be given...\She said 400,000 to 500,000 yen.\That's a large sum of money.\Hello. It's been a long time.\Oh, Daikichi. Long time no see.\Have you been busy?\Yes, busy enough... response:	You always say you're busy! Too busy to visit your own mother...
context: and a posthumous Buddhist name to be given...\She said 400,000 to 500,000 yen.\That's a large sum of money.\Hello. It's been a long time.\Oh, Daikichi. Long time no see.\Have you been busy?\Yes, busy enough...\You always say you're busy! Too busy to visit your own mother... response:	He didn't even come home for New Year's.
context: She said 400,000 to 500,000 yen.\That's a large sum of money.\Hello. It's been a long time.\Oh, Daikichi. Long time no see.\Have you been busy?\Yes, busy enough...\You always say you're busy! Too busy to visit your own mother...\He didn't even come home for New Year's. response:	Stop running! Reina!
context: That's a large sum of money.\Hello. It's been a long time.\Oh, Daikichi. Long time no see.\Have you been busy?\Yes, busy enough...\You always say you're busy! Too busy to visit your own mother...\He didn't even come home for New Year's.\Stop running! Reina! response:	Stop it! Reina!
context: Hello. It's been a long time.\Oh, Daikichi. Long time no see.\Have you been busy?\Yes, busy enough...\You always say you're busy! Too busy to visit your own mother...\He didn't even come home for New Year's.\Stop running! Reina!\Stop it! Reina! response:	Haruko!
context: Oh, Daikichi. Long time no see.\Have you been busy?\Yes, busy enough...\You always say you're busy! Too busy to visit your own mother...\He didn't even come home for New Year's.\Stop running! Reina!\Stop it! Reina!\Haruko! response:	Oh, Dai-chan! Long time no see!
context: Have you been busy?\Yes, busy enough...\You always say you're busy! Too busy to visit your own mother...\He didn't even come home for New Year's.\Stop running! Reina!\Stop it! Reina!\Haruko!\Oh, Dai-chan! Long time no see! response:	Mama!
context: Yes, busy enough...\You always say you're busy! Too busy to visit your own mother...\He didn't even come home for New Year's.\Stop running! Reina!\Stop it! Reina!\Haruko!\Oh, Dai-chan! Long time no see!\Mama! response:	Reina!
context: You always say you're busy! Too busy to visit your own mother...\He didn't even come home for New Year's.\Stop running! Reina!\Stop it! Reina!\Haruko!\Oh, Dai-chan! Long time no see!\Mama!\Reina! response:	Gotcha!
context: He didn't even come home for New Year's.\Stop running! Reina!\Stop it! Reina!\Haruko!\Oh, Dai-chan! Long time no see!\Mama!\Reina!\Gotcha! response:	Now be a good girl and don't run around!
context: Stop running! Reina!\Stop it! Reina!\Haruko!\Oh, Dai-chan! Long time no see!\Mama!\Reina!\Gotcha!\Now be a good girl and don't run around! response:	No way! I don't wanna!
context: Stop it! Reina!\Haruko!\Oh, Dai-chan! Long time no see!\Mama!\Reina!\Gotcha!\Now be a good girl and don't run around!\No way! I don't wanna! response:	What?
context: Haruko!\Oh, Dai-chan! Long time no see!\Mama!\Reina!\Gotcha!\Now be a good girl and don't run around!\No way! I don't wanna!\What? response:	Nothing...
context: Oh, Dai-chan! Long time no see!\Mama!\Reina!\Gotcha!\Now be a good girl and don't run around!\No way! I don't wanna!\What?\Nothing... response:	You look a lot like your grandfather when he was younger...
context: Mama!\Reina!\Gotcha!\Now be a good girl and don't run around!\No way! I don't wanna!\What?\Nothing...\You look a lot like your grandfather when he was younger... response:	Daikichi, did you hear?
context: Reina!\Gotcha!\Now be a good girl and don't run around!\No way! I don't wanna!\What?\Nothing...\You look a lot like your grandfather when he was younger...\Daikichi, did you hear? response:	Yeah, from my mom earlier...
context: Gotcha!\Now be a good girl and don't run around!\No way! I don't wanna!\What?\Nothing...\You look a lot like your grandfather when he was younger...\Daikichi, did you hear?\Yeah, from my mom earlier... response:	I wonder if it's true.
context: Now be a good girl and don't run around!\No way! I don't wanna!\What?\Nothing...\You look a lot like your grandfather when he was younger...\Daikichi, did you hear?\Yeah, from my mom earlier...\I wonder if it's true. response:	I'm sure my elder brother was lonely living alone, but...
context: No way! I don't wanna!\What?\Nothing...\You look a lot like your grandfather when he was younger...\Daikichi, did you hear?\Yeah, from my mom earlier...\I wonder if it's true.\I'm sure my elder brother was lonely living alone, but... response:	Apparently, there's a maternity health record book.
context: What?\Nothing...\You look a lot like your grandfather when he was younger...\Daikichi, did you hear?\Yeah, from my mom earlier...\I wonder if it's true.\I'm sure my elder brother was lonely living alone, but...\Apparently, there's a maternity health record book. response:	It says her name is Rin.
context: Nothing...\You look a lot like your grandfather when he was younger...\Daikichi, did you hear?\Yeah, from my mom earlier...\I wonder if it's true.\I'm sure my elder brother was lonely living alone, but...\Apparently, there's a maternity health record book.\It says her name is Rin. response:	Nevertheless, we're talking about a 79-year-old man...
context: You look a lot like your grandfather when he was younger...\Daikichi, did you hear?\Yeah, from my mom earlier...\I wonder if it's true.\I'm sure my elder brother was lonely living alone, but...\Apparently, there's a maternity health record book.\It says her name is Rin.\Nevertheless, we're talking about a 79-year-old man... response:	Well, setting aside the question
context: Daikichi, did you hear?\Yeah, from my mom earlier...\I wonder if it's true.\I'm sure my elder brother was lonely living alone, but...\Apparently, there's a maternity health record book.\It says her name is Rin.\Nevertheless, we're talking about a 79-year-old man...\Well, setting aside the question response:	of what your father would or wouldn't have done,
context: Yeah, from my mom earlier...\I wonder if it's true.\I'm sure my elder brother was lonely living alone, but...\Apparently, there's a maternity health record book.\It says her name is Rin.\Nevertheless, we're talking about a 79-year-old man...\Well, setting aside the question\of what your father would or wouldn't have done, response:	I think you've gotta give him his props...
context: I wonder if it's true.\I'm sure my elder brother was lonely living alone, but...\Apparently, there's a maternity health record book.\It says her name is Rin.\Nevertheless, we're talking about a 79-year-old man...\Well, setting aside the question\of what your father would or wouldn't have done,\I think you've gotta give him his props... response:	Daikichi, would you bring the cushions out of the closet for me?
context: I'm sure my elder brother was lonely living alone, but...\Apparently, there's a maternity health record book.\It says her name is Rin.\Nevertheless, we're talking about a 79-year-old man...\Well, setting aside the question\of what your father would or wouldn't have done,\I think you've gotta give him his props...\Daikichi, would you bring the cushions out of the closet for me? response:	Sure.
context: Apparently, there's a maternity health record book.\It says her name is Rin.\Nevertheless, we're talking about a 79-year-old man...\Well, setting aside the question\of what your father would or wouldn't have done,\I think you've gotta give him his props...\Daikichi, would you bring the cushions out of the closet for me?\Sure. response:	What?
context: It says her name is Rin.\Nevertheless, we're talking about a 79-year-old man...\Well, setting aside the question\of what your father would or wouldn't have done,\I think you've gotta give him his props...\Daikichi, would you bring the cushions out of the closet for me?\Sure.\What? response:	Hey...
context: Nevertheless, we're talking about a 79-year-old man...\Well, setting aside the question\of what your father would or wouldn't have done,\I think you've gotta give him his props...\Daikichi, would you bring the cushions out of the closet for me?\Sure.\What?\Hey... response:	Let's swap!
context: Well, setting aside the question\of what your father would or wouldn't have done,\I think you've gotta give him his props...\Daikichi, would you bring the cushions out of the closet for me?\Sure.\What?\Hey...\Let's swap! response:	No!
context: of what your father would or wouldn't have done,\I think you've gotta give him his props...\Daikichi, would you bring the cushions out of the closet for me?\Sure.\What?\Hey...\Let's swap!\No! response:	Leave it like it is!
context: I think you've gotta give him his props...\Daikichi, would you bring the cushions out of the closet for me?\Sure.\What?\Hey...\Let's swap!\No!\Leave it like it is! response:	I did it!
context: Daikichi, would you bring the cushions out of the closet for me?\Sure.\What?\Hey...\Let's swap!\No!\Leave it like it is!\I did it! response:	Hey, look! Look!
context: Sure.\What?\Hey...\Let's swap!\No!\Leave it like it is!\I did it!\Hey, look! Look! response:	Reina, don't run!
context: What?\Hey...\Let's swap!\No!\Leave it like it is!\I did it!\Hey, look! Look!\Reina, don't run! response:	Oh, how clever!
context: Hey...\Let's swap!\No!\Leave it like it is!\I did it!\Hey, look! Look!\Reina, don't run!\Oh, how clever! response:	Is it pretty?
context: Let's swap!\No!\Leave it like it is!\I did it!\Hey, look! Look!\Reina, don't run!\Oh, how clever!\Is it pretty? response:	It certainly is! You're very good at cat's cradle, Reina-chan!
context: No!\Leave it like it is!\I did it!\Hey, look! Look!\Reina, don't run!\Oh, how clever!\Is it pretty?\It certainly is! You're very good at cat's cradle, Reina-chan! response:	Next, try to make a four-square ladder!
context: Leave it like it is!\I did it!\Hey, look! Look!\Reina, don't run!\Oh, how clever!\Is it pretty?\It certainly is! You're very good at cat's cradle, Reina-chan!\Next, try to make a four-square ladder! response:	Mmm...
context: I did it!\Hey, look! Look!\Reina, don't run!\Oh, how clever!\Is it pretty?\It certainly is! You're very good at cat's cradle, Reina-chan!\Next, try to make a four-square ladder!\Mmm... response:	Oh, my, Reina-chan... Here, let me show you...
context: Hey, look! Look!\Reina, don't run!\Oh, how clever!\Is it pretty?\It certainly is! You're very good at cat's cradle, Reina-chan!\Next, try to make a four-square ladder!\Mmm...\Oh, my, Reina-chan... Here, let me show you... response:	Uh-uh!
context: Reina, don't run!\Oh, how clever!\Is it pretty?\It certainly is! You're very good at cat's cradle, Reina-chan!\Next, try to make a four-square ladder!\Mmm...\Oh, my, Reina-chan... Here, let me show you...\Uh-uh! response:	Poop bomb!
context: Oh, how clever!\Is it pretty?\It certainly is! You're very good at cat's cradle, Reina-chan!\Next, try to make a four-square ladder!\Mmm...\Oh, my, Reina-chan... Here, let me show you...\Uh-uh!\Poop bomb! response:	Stop it this instant, Reina!
context: Is it pretty?\It certainly is! You're very good at cat's cradle, Reina-chan!\Next, try to make a four-square ladder!\Mmm...\Oh, my, Reina-chan... Here, let me show you...\Uh-uh!\Poop bomb!\Stop it this instant, Reina! response:	Uncle, Uncle...
context: It certainly is! You're very good at cat's cradle, Reina-chan!\Next, try to make a four-square ladder!\Mmm...\Oh, my, Reina-chan... Here, let me show you...\Uh-uh!\Poop bomb!\Stop it this instant, Reina!\Uncle, Uncle... response:	Please, sleep ahead of me.
context: Next, try to make a four-square ladder!\Mmm...\Oh, my, Reina-chan... Here, let me show you...\Uh-uh!\Poop bomb!\Stop it this instant, Reina!\Uncle, Uncle...\Please, sleep ahead of me. response:	I'll take my turn watching the incense.
context: Mmm...\Oh, my, Reina-chan... Here, let me show you...\Uh-uh!\Poop bomb!\Stop it this instant, Reina!\Uncle, Uncle...\Please, sleep ahead of me.\I'll take my turn watching the incense. response:	I-If you insist...
context: Oh, my, Reina-chan... Here, let me show you...\Uh-uh!\Poop bomb!\Stop it this instant, Reina!\Uncle, Uncle...\Please, sleep ahead of me.\I'll take my turn watching the incense.\I-If you insist... response:	Hey, don't sleep in here!
context: Uh-uh!\Poop bomb!\Stop it this instant, Reina!\Uncle, Uncle...\Please, sleep ahead of me.\I'll take my turn watching the incense.\I-If you insist...\Hey, don't sleep in here! response:	Let's get some rest over there.
context: Poop bomb!\Stop it this instant, Reina!\Uncle, Uncle...\Please, sleep ahead of me.\I'll take my turn watching the incense.\I-If you insist...\Hey, don't sleep in here!\Let's get some rest over there. response:	What about the incense?
context: Stop it this instant, Reina!\Uncle, Uncle...\Please, sleep ahead of me.\I'll take my turn watching the incense.\I-If you insist...\Hey, don't sleep in here!\Let's get some rest over there.\What about the incense? response:	Daikichi says he'll watch over it...
context: Uncle, Uncle...\Please, sleep ahead of me.\I'll take my turn watching the incense.\I-If you insist...\Hey, don't sleep in here!\Let's get some rest over there.\What about the incense?\Daikichi says he'll watch over it... response:	Oof...
context: Please, sleep ahead of me.\I'll take my turn watching the incense.\I-If you insist...\Hey, don't sleep in here!\Let's get some rest over there.\What about the incense?\Daikichi says he'll watch over it...\Oof... response:	Take care of my big brother...
context: I'll take my turn watching the incense.\I-If you insist...\Hey, don't sleep in here!\Let's get some rest over there.\What about the incense?\Daikichi says he'll watch over it...\Oof...\Take care of my big brother... response:	You get some sleep over there, too.
context: I-If you insist...\Hey, don't sleep in here!\Let's get some rest over there.\What about the incense?\Daikichi says he'll watch over it...\Oof...\Take care of my big brother...\You get some sleep over there, too. response:	I'm fine...
context: Hey, don't sleep in here!\Let's get some rest over there.\What about the incense?\Daikichi says he'll watch over it...\Oof...\Take care of my big brother...\You get some sleep over there, too.\I'm fine... response:	Look at that mug...
context: Let's get some rest over there.\What about the incense?\Daikichi says he'll watch over it...\Oof...\Take care of my big brother...\You get some sleep over there, too.\I'm fine...\Look at that mug... response:	All right, everyone...
context: What about the incense?\Daikichi says he'll watch over it...\Oof...\Take care of my big brother...\You get some sleep over there, too.\I'm fine...\Look at that mug...\All right, everyone... response:	Please make your final farewells.
context: Daikichi says he'll watch over it...\Oof...\Take care of my big brother...\You get some sleep over there, too.\I'm fine...\Look at that mug...\All right, everyone...\Please make your final farewells. response:	Rest in peace.
context: Oof...\Take care of my big brother...\You get some sleep over there, too.\I'm fine...\Look at that mug...\All right, everyone...\Please make your final farewells.\Rest in peace. response:	Big brother...
context: Take care of my big brother...\You get some sleep over there, too.\I'm fine...\Look at that mug...\All right, everyone...\Please make your final farewells.\Rest in peace.\Big brother... response:	Grandpa...
