context: Episode 8 Umaru and Christmas and New Year's response:	Onii-chan! It's snowing!
context: Wake up! Wake up!\You're in the way! Go sleep in your own room!\Just one more hour...\Zuzashaan\December 24th\Merry Christmas!\Christmas... It is the celebration of winter!\I'm sure people will go out at night to see the the lights. response:	However, I will not be leaving the house at all!
context: You're in the way! Go sleep in your own room!\Just one more hour...\Zuzashaan\December 24th\Merry Christmas!\Christmas... It is the celebration of winter!\I'm sure people will go out at night to see the the lights.\However, I will not be leaving the house at all! response:	Today, we will have a lazy little party, while eating cake.
context: Just one more hour...\Zuzashaan\December 24th\Merry Christmas!\Christmas... It is the celebration of winter!\I'm sure people will go out at night to see the the lights.\However, I will not be leaving the house at all!\Today, we will have a lazy little party, while eating cake. response:	Now, then...
context: Zuzashaan\December 24th\Merry Christmas!\Christmas... It is the celebration of winter!\I'm sure people will go out at night to see the the lights.\However, I will not be leaving the house at all!\Today, we will have a lazy little party, while eating cake.\Now, then... response:	I wonder when Onii-chan will be home.
context: December 24th\Merry Christmas!\Christmas... It is the celebration of winter!\I'm sure people will go out at night to see the the lights.\However, I will not be leaving the house at all!\Today, we will have a lazy little party, while eating cake.\Now, then...\I wonder when Onii-chan will be home. response:	Overtime on Christmas...
context: Merry Christmas!\Christmas... It is the celebration of winter!\I'm sure people will go out at night to see the the lights.\However, I will not be leaving the house at all!\Today, we will have a lazy little party, while eating cake.\Now, then...\I wonder when Onii-chan will be home.\Overtime on Christmas... response:	You can't be serious!
context: Christmas... It is the celebration of winter!\I'm sure people will go out at night to see the the lights.\However, I will not be leaving the house at all!\Today, we will have a lazy little party, while eating cake.\Now, then...\I wonder when Onii-chan will be home.\Overtime on Christmas...\You can't be serious! response:	What the hell is wrong with this company?!
context: I'm sure people will go out at night to see the the lights.\However, I will not be leaving the house at all!\Today, we will have a lazy little party, while eating cake.\Now, then...\I wonder when Onii-chan will be home.\Overtime on Christmas...\You can't be serious!\What the hell is wrong with this company?! response:	I know how you feel, but don't say it out loud.
context: However, I will not be leaving the house at all!\Today, we will have a lazy little party, while eating cake.\Now, then...\I wonder when Onii-chan will be home.\Overtime on Christmas...\You can't be serious!\What the hell is wrong with this company?!\I know how you feel, but don't say it out loud. response:	Hey, Taihei. Let's quit this stupid company!
context: Today, we will have a lazy little party, while eating cake.\Now, then...\I wonder when Onii-chan will be home.\Overtime on Christmas...\You can't be serious!\What the hell is wrong with this company?!\I know how you feel, but don't say it out loud.\Hey, Taihei. Let's quit this stupid company! response:	It's not that much, so just tough it out.
context: Now, then...\I wonder when Onii-chan will be home.\Overtime on Christmas...\You can't be serious!\What the hell is wrong with this company?!\I know how you feel, but don't say it out loud.\Hey, Taihei. Let's quit this stupid company!\It's not that much, so just tough it out. response:	How is this not that much?! How?!
context: I wonder when Onii-chan will be home.\Overtime on Christmas...\You can't be serious!\What the hell is wrong with this company?!\I know how you feel, but don't say it out loud.\Hey, Taihei. Let's quit this stupid company!\It's not that much, so just tough it out.\How is this not that much?! How?! response:	This sucks. I want to go back to how things used to be.
context: Overtime on Christmas...\You can't be serious!\What the hell is wrong with this company?!\I know how you feel, but don't say it out loud.\Hey, Taihei. Let's quit this stupid company!\It's not that much, so just tough it out.\How is this not that much?! How?!\This sucks. I want to go back to how things used to be. response:	When we were young and free...
context: You can't be serious!\What the hell is wrong with this company?!\I know how you feel, but don't say it out loud.\Hey, Taihei. Let's quit this stupid company!\It's not that much, so just tough it out.\How is this not that much?! How?!\This sucks. I want to go back to how things used to be.\When we were young and free... response:	Hey, don't just run away from reality.
context: What the hell is wrong with this company?!\I know how you feel, but don't say it out loud.\Hey, Taihei. Let's quit this stupid company!\It's not that much, so just tough it out.\How is this not that much?! How?!\This sucks. I want to go back to how things used to be.\When we were young and free...\Hey, don't just run away from reality. response:	More importantly, what are you looking at during work?
context: I know how you feel, but don't say it out loud.\Hey, Taihei. Let's quit this stupid company!\It's not that much, so just tough it out.\How is this not that much?! How?!\This sucks. I want to go back to how things used to be.\When we were young and free...\Hey, don't just run away from reality.\More importantly, what are you looking at during work? response:	Oh, that...
context: Hey, Taihei. Let's quit this stupid company!\It's not that much, so just tough it out.\How is this not that much?! How?!\This sucks. I want to go back to how things used to be.\When we were young and free...\Hey, don't just run away from reality.\More importantly, what are you looking at during work?\Oh, that... response:	It's a Santa outfit.
context: It's not that much, so just tough it out.\How is this not that much?! How?!\This sucks. I want to go back to how things used to be.\When we were young and free...\Hey, don't just run away from reality.\More importantly, what are you looking at during work?\Oh, that...\It's a Santa outfit. response:	Wanna wear one with me, Taihei?
context: How is this not that much?! How?!\This sucks. I want to go back to how things used to be.\When we were young and free...\Hey, don't just run away from reality.\More importantly, what are you looking at during work?\Oh, that...\It's a Santa outfit.\Wanna wear one with me, Taihei? response:	It's not going to come the same day you order it, you idiot.
context: This sucks. I want to go back to how things used to be.\When we were young and free...\Hey, don't just run away from reality.\More importantly, what are you looking at during work?\Oh, that...\It's a Santa outfit.\Wanna wear one with me, Taihei?\It's not going to come the same day you order it, you idiot. response:	True...
context: When we were young and free...\Hey, don't just run away from reality.\More importantly, what are you looking at during work?\Oh, that...\It's a Santa outfit.\Wanna wear one with me, Taihei?\It's not going to come the same day you order it, you idiot.\True... response:	Have you finished your checks?
context: Hey, don't just run away from reality.\More importantly, what are you looking at during work?\Oh, that...\It's a Santa outfit.\Wanna wear one with me, Taihei?\It's not going to come the same day you order it, you idiot.\True...\Have you finished your checks? response:	Ch-Chief Kanau...
context: More importantly, what are you looking at during work?\Oh, that...\It's a Santa outfit.\Wanna wear one with me, Taihei?\It's not going to come the same day you order it, you idiot.\True...\Have you finished your checks?\Ch-Chief Kanau... response:	I-I was just taking a little break...
context: Oh, that...\It's a Santa outfit.\Wanna wear one with me, Taihei?\It's not going to come the same day you order it, you idiot.\True...\Have you finished your checks?\Ch-Chief Kanau...\I-I was just taking a little break... response:	You can quit at any time, A-f-ro.
context: It's a Santa outfit.\Wanna wear one with me, Taihei?\It's not going to come the same day you order it, you idiot.\True...\Have you finished your checks?\Ch-Chief Kanau...\I-I was just taking a little break...\You can quit at any time, A-f-ro. response:	I'm sorry about this, Taihei. I know it's Christmas and all...
context: Wanna wear one with me, Taihei?\It's not going to come the same day you order it, you idiot.\True...\Have you finished your checks?\Ch-Chief Kanau...\I-I was just taking a little break...\You can quit at any time, A-f-ro.\I'm sorry about this, Taihei. I know it's Christmas and all... response:	N-No, it's fine...
context: It's not going to come the same day you order it, you idiot.\True...\Have you finished your checks?\Ch-Chief Kanau...\I-I was just taking a little break...\You can quit at any time, A-f-ro.\I'm sorry about this, Taihei. I know it's Christmas and all...\N-No, it's fine... response:	Your proposal the other day was spectacular.
context: True...\Have you finished your checks?\Ch-Chief Kanau...\I-I was just taking a little break...\You can quit at any time, A-f-ro.\I'm sorry about this, Taihei. I know it's Christmas and all...\N-No, it's fine...\Your proposal the other day was spectacular. response:	The higher-ups that didn't pass it are shit.
context: Have you finished your checks?\Ch-Chief Kanau...\I-I was just taking a little break...\You can quit at any time, A-f-ro.\I'm sorry about this, Taihei. I know it's Christmas and all...\N-No, it's fine...\Your proposal the other day was spectacular.\The higher-ups that didn't pass it are shit. response:	Thank you very much...
context: Ch-Chief Kanau...\I-I was just taking a little break...\You can quit at any time, A-f-ro.\I'm sorry about this, Taihei. I know it's Christmas and all...\N-No, it's fine...\Your proposal the other day was spectacular.\The higher-ups that didn't pass it are shit.\Thank you very much... response:	Say, do you have any plans today?
context: I-I was just taking a little break...\You can quit at any time, A-f-ro.\I'm sorry about this, Taihei. I know it's Christmas and all...\N-No, it's fine...\Your proposal the other day was spectacular.\The higher-ups that didn't pass it are shit.\Thank you very much...\Say, do you have any plans today? response:	Um... I can't see the screen.
context: You can quit at any time, A-f-ro.\I'm sorry about this, Taihei. I know it's Christmas and all...\N-No, it's fine...\Your proposal the other day was spectacular.\The higher-ups that didn't pass it are shit.\Thank you very much...\Say, do you have any plans today?\Um... I can't see the screen. response:	Kirie-chan hasn't tweeted anything today...
context: I'm sorry about this, Taihei. I know it's Christmas and all...\N-No, it's fine...\Your proposal the other day was spectacular.\The higher-ups that didn't pass it are shit.\Thank you very much...\Say, do you have any plans today?\Um... I can't see the screen.\Kirie-chan hasn't tweeted anything today... response:	And Ebina-chan went to visit her parents.
context: N-No, it's fine...\Your proposal the other day was spectacular.\The higher-ups that didn't pass it are shit.\Thank you very much...\Say, do you have any plans today?\Um... I can't see the screen.\Kirie-chan hasn't tweeted anything today...\And Ebina-chan went to visit her parents. response:	I wonder if she's out with her family.
context: Your proposal the other day was spectacular.\The higher-ups that didn't pass it are shit.\Thank you very much...\Say, do you have any plans today?\Um... I can't see the screen.\Kirie-chan hasn't tweeted anything today...\And Ebina-chan went to visit her parents.\I wonder if she's out with her family. response:	I-I wonder who that is.
context: The higher-ups that didn't pass it are shit.\Thank you very much...\Say, do you have any plans today?\Um... I can't see the screen.\Kirie-chan hasn't tweeted anything today...\And Ebina-chan went to visit her parents.\I wonder if she's out with her family.\I-I wonder who that is. response:	Onii-chan would have a key.
context: Thank you very much...\Say, do you have any plans today?\Um... I can't see the screen.\Kirie-chan hasn't tweeted anything today...\And Ebina-chan went to visit her parents.\I wonder if she's out with her family.\I-I wonder who that is.\Onii-chan would have a key. response:	Onii-chan! And Kirie-chan!
context: Say, do you have any plans today?\Um... I can't see the screen.\Kirie-chan hasn't tweeted anything today...\And Ebina-chan went to visit her parents.\I wonder if she's out with her family.\I-I wonder who that is.\Onii-chan would have a key.\Onii-chan! And Kirie-chan! response:	What's going on?
context: Um... I can't see the screen.\Kirie-chan hasn't tweeted anything today...\And Ebina-chan went to visit her parents.\I wonder if she's out with her family.\I-I wonder who that is.\Onii-chan would have a key.\Onii-chan! And Kirie-chan!\What's going on? response:	I just ran into Kirie-chan over there.
context: Kirie-chan hasn't tweeted anything today...\And Ebina-chan went to visit her parents.\I wonder if she's out with her family.\I-I wonder who that is.\Onii-chan would have a key.\Onii-chan! And Kirie-chan!\What's going on?\I just ran into Kirie-chan over there. response:	You guys didn't have plans together?
context: And Ebina-chan went to visit her parents.\I wonder if she's out with her family.\I-I wonder who that is.\Onii-chan would have a key.\Onii-chan! And Kirie-chan!\What's going on?\I just ran into Kirie-chan over there.\You guys didn't have plans together? response:	Huh?
context: I wonder if she's out with her family.\I-I wonder who that is.\Onii-chan would have a key.\Onii-chan! And Kirie-chan!\What's going on?\I just ran into Kirie-chan over there.\You guys didn't have plans together?\Huh? response:	I-I bought a present for you, Master.
context: I-I wonder who that is.\Onii-chan would have a key.\Onii-chan! And Kirie-chan!\What's going on?\I just ran into Kirie-chan over there.\You guys didn't have plans together?\Huh?\I-I bought a present for you, Master. response:	Octopus Santa
context: Onii-chan would have a key.\Onii-chan! And Kirie-chan!\What's going on?\I just ran into Kirie-chan over there.\You guys didn't have plans together?\Huh?\I-I bought a present for you, Master.\Octopus Santa response:	Wh-Why are you dressed as Santa, Onii-san?
context: Onii-chan! And Kirie-chan!\What's going on?\I just ran into Kirie-chan over there.\You guys didn't have plans together?\Huh?\I-I bought a present for you, Master.\Octopus Santa\Wh-Why are you dressed as Santa, Onii-san? response:	Well, I went and bought one with my coworker,
context: What's going on?\I just ran into Kirie-chan over there.\You guys didn't have plans together?\Huh?\I-I bought a present for you, Master.\Octopus Santa\Wh-Why are you dressed as Santa, Onii-san?\Well, I went and bought one with my coworker, response:	and he said I might as well just wear it home.
context: I just ran into Kirie-chan over there.\You guys didn't have plans together?\Huh?\I-I bought a present for you, Master.\Octopus Santa\Wh-Why are you dressed as Santa, Onii-san?\Well, I went and bought one with my coworker,\and he said I might as well just wear it home. response:	Merry Christmas, Umaru-chan! Akita is covered in snow!
context: You guys didn't have plans together?\Huh?\I-I bought a present for you, Master.\Octopus Santa\Wh-Why are you dressed as Santa, Onii-san?\Well, I went and bought one with my coworker,\and he said I might as well just wear it home.\Merry Christmas, Umaru-chan! Akita is covered in snow! response:	Oh, Master! You're a reindeer today!
context: Huh?\I-I bought a present for you, Master.\Octopus Santa\Wh-Why are you dressed as Santa, Onii-san?\Well, I went and bought one with my coworker,\and he said I might as well just wear it home.\Merry Christmas, Umaru-chan! Akita is covered in snow!\Oh, Master! You're a reindeer today! response:	Oh, you're right.
context: I-I bought a present for you, Master.\Octopus Santa\Wh-Why are you dressed as Santa, Onii-san?\Well, I went and bought one with my coworker,\and he said I might as well just wear it home.\Merry Christmas, Umaru-chan! Akita is covered in snow!\Oh, Master! You're a reindeer today!\Oh, you're right. response:	Yep!
context: Octopus Santa\Wh-Why are you dressed as Santa, Onii-san?\Well, I went and bought one with my coworker,\and he said I might as well just wear it home.\Merry Christmas, Umaru-chan! Akita is covered in snow!\Oh, Master! You're a reindeer today!\Oh, you're right.\Yep! response:	Honba
context: Wh-Why are you dressed as Santa, Onii-san?\Well, I went and bought one with my coworker,\and he said I might as well just wear it home.\Merry Christmas, Umaru-chan! Akita is covered in snow!\Oh, Master! You're a reindeer today!\Oh, you're right.\Yep!\Honba response:	Heya, Kirie! Santa's home!
context: Well, I went and bought one with my coworker,\and he said I might as well just wear it home.\Merry Christmas, Umaru-chan! Akita is covered in snow!\Oh, Master! You're a reindeer today!\Oh, you're right.\Yep!\Honba\Heya, Kirie! Santa's home! response:	Huh?
context: and he said I might as well just wear it home.\Merry Christmas, Umaru-chan! Akita is covered in snow!\Oh, Master! You're a reindeer today!\Oh, you're right.\Yep!\Honba\Heya, Kirie! Santa's home!\Huh? response:	New Year's Eve Across the Country
context: Merry Christmas, Umaru-chan! Akita is covered in snow!\Oh, Master! You're a reindeer today!\Oh, you're right.\Yep!\Honba\Heya, Kirie! Santa's home!\Huh?\New Year's Eve Across the Country response:	The year is coming to an end.
context: Oh, Master! You're a reindeer today!\Oh, you're right.\Yep!\Honba\Heya, Kirie! Santa's home!\Huh?\New Year's Eve Across the Country\The year is coming to an end. response:	What was the most memorable part of the year for you?
context: Oh, you're right.\Yep!\Honba\Heya, Kirie! Santa's home!\Huh?\New Year's Eve Across the Country\The year is coming to an end.\What was the most memorable part of the year for you? response:	What about you, Taihei?
context: Yep!\Honba\Heya, Kirie! Santa's home!\Huh?\New Year's Eve Across the Country\The year is coming to an end.\What was the most memorable part of the year for you?\What about you, Taihei? response:	Well, a lot happened...
context: Honba\Heya, Kirie! Santa's home!\Huh?\New Year's Eve Across the Country\The year is coming to an end.\What was the most memorable part of the year for you?\What about you, Taihei?\Well, a lot happened... response:	For me, it was...
context: Heya, Kirie! Santa's home!\Huh?\New Year's Eve Across the Country\The year is coming to an end.\What was the most memorable part of the year for you?\What about you, Taihei?\Well, a lot happened...\For me, it was... response:	Dressing up as Santa and waiting for my sister to come home.
context: Huh?\New Year's Eve Across the Country\The year is coming to an end.\What was the most memorable part of the year for you?\What about you, Taihei?\Well, a lot happened...\For me, it was...\Dressing up as Santa and waiting for my sister to come home. response:	Isn't that really recent?
context: New Year's Eve Across the Country\The year is coming to an end.\What was the most memorable part of the year for you?\What about you, Taihei?\Well, a lot happened...\For me, it was...\Dressing up as Santa and waiting for my sister to come home.\Isn't that really recent? response:	Oh, yeah. And...
context: The year is coming to an end.\What was the most memorable part of the year for you?\What about you, Taihei?\Well, a lot happened...\For me, it was...\Dressing up as Santa and waiting for my sister to come home.\Isn't that really recent?\Oh, yeah. And... response:	She beat the crap out of me when she got home.
context: What was the most memorable part of the year for you?\What about you, Taihei?\Well, a lot happened...\For me, it was...\Dressing up as Santa and waiting for my sister to come home.\Isn't that really recent?\Oh, yeah. And...\She beat the crap out of me when she got home. response:	For me, that steak was really yummy.
context: What about you, Taihei?\Well, a lot happened...\For me, it was...\Dressing up as Santa and waiting for my sister to come home.\Isn't that really recent?\Oh, yeah. And...\She beat the crap out of me when she got home.\For me, that steak was really yummy. response:	I wanna eat it again!
context: Well, a lot happened...\For me, it was...\Dressing up as Santa and waiting for my sister to come home.\Isn't that really recent?\Oh, yeah. And...\She beat the crap out of me when she got home.\For me, that steak was really yummy.\I wanna eat it again! response:	Sure, sometime soon.
context: For me, it was...\Dressing up as Santa and waiting for my sister to come home.\Isn't that really recent?\Oh, yeah. And...\She beat the crap out of me when she got home.\For me, that steak was really yummy.\I wanna eat it again!\Sure, sometime soon. response:	I wanna eat ramen, too.
context: Dressing up as Santa and waiting for my sister to come home.\Isn't that really recent?\Oh, yeah. And...\She beat the crap out of me when she got home.\For me, that steak was really yummy.\I wanna eat it again!\Sure, sometime soon.\I wanna eat ramen, too. response:	When Ebina-chan comes home, let's go again.
context: Isn't that really recent?\Oh, yeah. And...\She beat the crap out of me when she got home.\For me, that steak was really yummy.\I wanna eat it again!\Sure, sometime soon.\I wanna eat ramen, too.\When Ebina-chan comes home, let's go again. response:	Who's Ebina-chan?
context: Oh, yeah. And...\She beat the crap out of me when she got home.\For me, that steak was really yummy.\I wanna eat it again!\Sure, sometime soon.\I wanna eat ramen, too.\When Ebina-chan comes home, let's go again.\Who's Ebina-chan? response:	She's my friend. She's back in Akita right now.
context: She beat the crap out of me when she got home.\For me, that steak was really yummy.\I wanna eat it again!\Sure, sometime soon.\I wanna eat ramen, too.\When Ebina-chan comes home, let's go again.\Who's Ebina-chan?\She's my friend. She's back in Akita right now. response:	I see... Akita, huh?
context: For me, that steak was really yummy.\I wanna eat it again!\Sure, sometime soon.\I wanna eat ramen, too.\When Ebina-chan comes home, let's go again.\Who's Ebina-chan?\She's my friend. She's back in Akita right now.\I see... Akita, huh? response:	Ayup.
