context: Bring it on! response:	The part...
context: For better or worse, you are positive, Natsu.\Even though I told you that the fate of the world is at stake,\all you care about is winning or losing for yourself...\What's wrong with that?!\The weight that we bear on our shoulders is different from yours.\We're prepared to throw away our lives for the sake of our duty.\We're back to that again?\Take a good look, Coco. response:	He's our enemy, but he's got guts.
context: Even though I told you that the fate of the world is at stake,\all you care about is winning or losing for yourself...\What's wrong with that?!\The weight that we bear on our shoulders is different from yours.\We're prepared to throw away our lives for the sake of our duty.\We're back to that again?\Take a good look, Coco.\He's our enemy, but he's got guts. response:	The real fight is just about to start.
context: all you care about is winning or losing for yourself...\What's wrong with that?!\The weight that we bear on our shoulders is different from yours.\We're prepared to throw away our lives for the sake of our duty.\We're back to that again?\Take a good look, Coco.\He's our enemy, but he's got guts.\The real fight is just about to start. response:	Hot! This is totally hot!
context: What's wrong with that?!\The weight that we bear on our shoulders is different from yours.\We're prepared to throw away our lives for the sake of our duty.\We're back to that again?\Take a good look, Coco.\He's our enemy, but he's got guts.\The real fight is just about to start.\Hot! This is totally hot! response:	Right, Salamander and you brats?!
context: The weight that we bear on our shoulders is different from yours.\We're prepared to throw away our lives for the sake of our duty.\We're back to that again?\Take a good look, Coco.\He's our enemy, but he's got guts.\The real fight is just about to start.\Hot! This is totally hot!\Right, Salamander and you brats?! response:	Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best.
context: We're prepared to throw away our lives for the sake of our duty.\We're back to that again?\Take a good look, Coco.\He's our enemy, but he's got guts.\The real fight is just about to start.\Hot! This is totally hot!\Right, Salamander and you brats?!\Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best. response:	What happened to me?!
context: We're back to that again?\Take a good look, Coco.\He's our enemy, but he's got guts.\The real fight is just about to start.\Hot! This is totally hot!\Right, Salamander and you brats?!\Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best.\What happened to me?! response:	You fainted from anemia. You just need to rest a while.
context: Take a good look, Coco.\He's our enemy, but he's got guts.\The real fight is just about to start.\Hot! This is totally hot!\Right, Salamander and you brats?!\Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best.\What happened to me?!\You fainted from anemia. You just need to rest a while. response:	That's not true.
context: He's our enemy, but he's got guts.\The real fight is just about to start.\Hot! This is totally hot!\Right, Salamander and you brats?!\Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best.\What happened to me?!\You fainted from anemia. You just need to rest a while.\That's not true. response:	It has something to do with the magic spell I was under, doesn't it?
context: The real fight is just about to start.\Hot! This is totally hot!\Right, Salamander and you brats?!\Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best.\What happened to me?!\You fainted from anemia. You just need to rest a while.\That's not true.\It has something to do with the magic spell I was under, doesn't it? response:	No matter how hard I try, I can't remember any of the time when I was a snake.
context: Hot! This is totally hot!\Right, Salamander and you brats?!\Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best.\What happened to me?!\You fainted from anemia. You just need to rest a while.\That's not true.\It has something to do with the magic spell I was under, doesn't it?\No matter how hard I try, I can't remember any of the time when I was a snake. response:	But...
context: Right, Salamander and you brats?!\Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best.\What happened to me?!\You fainted from anemia. You just need to rest a while.\That's not true.\It has something to do with the magic spell I was under, doesn't it?\No matter how hard I try, I can't remember any of the time when I was a snake.\But... response:	Would I be able to stay here?
context: Anyway, I'm just lookin' forward to a totally hot battle with you doin' your best.\What happened to me?!\You fainted from anemia. You just need to rest a while.\That's not true.\It has something to do with the magic spell I was under, doesn't it?\No matter how hard I try, I can't remember any of the time when I was a snake.\But...\Would I be able to stay here? response:	You were turned into a snake?!
context: What happened to me?!\You fainted from anemia. You just need to rest a while.\That's not true.\It has something to do with the magic spell I was under, doesn't it?\No matter how hard I try, I can't remember any of the time when I was a snake.\But...\Would I be able to stay here?\You were turned into a snake?! response:	Yeah.
context: You fainted from anemia. You just need to rest a while.\That's not true.\It has something to do with the magic spell I was under, doesn't it?\No matter how hard I try, I can't remember any of the time when I was a snake.\But...\Would I be able to stay here?\You were turned into a snake?!\Yeah. response:	Although I don't remember anything from then...
context: That's not true.\It has something to do with the magic spell I was under, doesn't it?\No matter how hard I try, I can't remember any of the time when I was a snake.\But...\Would I be able to stay here?\You were turned into a snake?!\Yeah.\Although I don't remember anything from then... response:	I just remember one thing, that my friend made me a promise.
context: It has something to do with the magic spell I was under, doesn't it?\No matter how hard I try, I can't remember any of the time when I was a snake.\But...\Would I be able to stay here?\You were turned into a snake?!\Yeah.\Although I don't remember anything from then...\I just remember one thing, that my friend made me a promise. response:	A promise?
context: No matter how hard I try, I can't remember any of the time when I was a snake.\But...\Would I be able to stay here?\You were turned into a snake?!\Yeah.\Although I don't remember anything from then...\I just remember one thing, that my friend made me a promise.\A promise? response:	That even if we were separated,
context: But...\Would I be able to stay here?\You were turned into a snake?!\Yeah.\Although I don't remember anything from then...\I just remember one thing, that my friend made me a promise.\A promise?\That even if we were separated, response:	he would ride a shooting star to come and get me someday.
context: Would I be able to stay here?\You were turned into a snake?!\Yeah.\Although I don't remember anything from then...\I just remember one thing, that my friend made me a promise.\A promise?\That even if we were separated,\he would ride a shooting star to come and get me someday. response:	What the hell is that?!
context: You were turned into a snake?!\Yeah.\Although I don't remember anything from then...\I just remember one thing, that my friend made me a promise.\A promise?\That even if we were separated,\he would ride a shooting star to come and get me someday.\What the hell is that?! response:	Master, that girl...
context: Yeah.\Although I don't remember anything from then...\I just remember one thing, that my friend made me a promise.\A promise?\That even if we were separated,\he would ride a shooting star to come and get me someday.\What the hell is that?!\Master, that girl... response:	She's the snake that was hanging around before.
context: Although I don't remember anything from then...\I just remember one thing, that my friend made me a promise.\A promise?\That even if we were separated,\he would ride a shooting star to come and get me someday.\What the hell is that?!\Master, that girl...\She's the snake that was hanging around before. response:	The snake showed signs of being put under a curse...
context: I just remember one thing, that my friend made me a promise.\A promise?\That even if we were separated,\he would ride a shooting star to come and get me someday.\What the hell is that?!\Master, that girl...\She's the snake that was hanging around before.\The snake showed signs of being put under a curse... response:	And when you lifted the curse, it was really a girl, huh?
context: A promise?\That even if we were separated,\he would ride a shooting star to come and get me someday.\What the hell is that?!\Master, that girl...\She's the snake that was hanging around before.\The snake showed signs of being put under a curse...\And when you lifted the curse, it was really a girl, huh? response:	Except it was a powerful spell, and I couldn't detect its purpose...
context: That even if we were separated,\he would ride a shooting star to come and get me someday.\What the hell is that?!\Master, that girl...\She's the snake that was hanging around before.\The snake showed signs of being put under a curse...\And when you lifted the curse, it was really a girl, huh?\Except it was a powerful spell, and I couldn't detect its purpose... response:	Even now, her condition is unstable.
context: he would ride a shooting star to come and get me someday.\What the hell is that?!\Master, that girl...\She's the snake that was hanging around before.\The snake showed signs of being put under a curse...\And when you lifted the curse, it was really a girl, huh?\Except it was a powerful spell, and I couldn't detect its purpose...\Even now, her condition is unstable. response:	So if she remembers...?
context: What the hell is that?!\Master, that girl...\She's the snake that was hanging around before.\The snake showed signs of being put under a curse...\And when you lifted the curse, it was really a girl, huh?\Except it was a powerful spell, and I couldn't detect its purpose...\Even now, her condition is unstable.\So if she remembers...? response:	Which is why I took her in, so we can keep an eye on her...
context: Master, that girl...\She's the snake that was hanging around before.\The snake showed signs of being put under a curse...\And when you lifted the curse, it was really a girl, huh?\Except it was a powerful spell, and I couldn't detect its purpose...\Even now, her condition is unstable.\So if she remembers...?\Which is why I took her in, so we can keep an eye on her... response:	Meddling old man! Yeesh!
context: She's the snake that was hanging around before.\The snake showed signs of being put under a curse...\And when you lifted the curse, it was really a girl, huh?\Except it was a powerful spell, and I couldn't detect its purpose...\Even now, her condition is unstable.\So if she remembers...?\Which is why I took her in, so we can keep an eye on her...\Meddling old man! Yeesh! response:	A voice that only she can hear...
context: The snake showed signs of being put under a curse...\And when you lifted the curse, it was really a girl, huh?\Except it was a powerful spell, and I couldn't detect its purpose...\Even now, her condition is unstable.\So if she remembers...?\Which is why I took her in, so we can keep an eye on her...\Meddling old man! Yeesh!\A voice that only she can hear... response:	With apologies to Kinana, when her memories of being a snake do return,
context: And when you lifted the curse, it was really a girl, huh?\Except it was a powerful spell, and I couldn't detect its purpose...\Even now, her condition is unstable.\So if she remembers...?\Which is why I took her in, so we can keep an eye on her...\Meddling old man! Yeesh!\A voice that only she can hear...\With apologies to Kinana, when her memories of being a snake do return, response:	it may not be something to celebrate.
context: Except it was a powerful spell, and I couldn't detect its purpose...\Even now, her condition is unstable.\So if she remembers...?\Which is why I took her in, so we can keep an eye on her...\Meddling old man! Yeesh!\A voice that only she can hear...\With apologies to Kinana, when her memories of being a snake do return,\it may not be something to celebrate. response:	Poor kid...
context: Even now, her condition is unstable.\So if she remembers...?\Which is why I took her in, so we can keep an eye on her...\Meddling old man! Yeesh!\A voice that only she can hear...\With apologies to Kinana, when her memories of being a snake do return,\it may not be something to celebrate.\Poor kid... response:	So her memories may prove poisonous, huh?
context: So if she remembers...?\Which is why I took her in, so we can keep an eye on her...\Meddling old man! Yeesh!\A voice that only she can hear...\With apologies to Kinana, when her memories of being a snake do return,\it may not be something to celebrate.\Poor kid...\So her memories may prove poisonous, huh? response:	Well, we'll all watch over her, won't we?
context: Which is why I took her in, so we can keep an eye on her...\Meddling old man! Yeesh!\A voice that only she can hear...\With apologies to Kinana, when her memories of being a snake do return,\it may not be something to celebrate.\Poor kid...\So her memories may prove poisonous, huh?\Well, we'll all watch over her, won't we? response:	Curse, shmurse! You've got nothin' to worry about now!
context: Meddling old man! Yeesh!\A voice that only she can hear...\With apologies to Kinana, when her memories of being a snake do return,\it may not be something to celebrate.\Poor kid...\So her memories may prove poisonous, huh?\Well, we'll all watch over her, won't we?\Curse, shmurse! You've got nothin' to worry about now! response:	'Cause no matter what happens, we'll protect you.
context: A voice that only she can hear...\With apologies to Kinana, when her memories of being a snake do return,\it may not be something to celebrate.\Poor kid...\So her memories may prove poisonous, huh?\Well, we'll all watch over her, won't we?\Curse, shmurse! You've got nothin' to worry about now!\'Cause no matter what happens, we'll protect you. response:	So just hush up and get some rest.
context: With apologies to Kinana, when her memories of being a snake do return,\it may not be something to celebrate.\Poor kid...\So her memories may prove poisonous, huh?\Well, we'll all watch over her, won't we?\Curse, shmurse! You've got nothin' to worry about now!\'Cause no matter what happens, we'll protect you.\So just hush up and get some rest. response:	No...
context: it may not be something to celebrate.\Poor kid...\So her memories may prove poisonous, huh?\Well, we'll all watch over her, won't we?\Curse, shmurse! You've got nothin' to worry about now!\'Cause no matter what happens, we'll protect you.\So just hush up and get some rest.\No... response:	Did you just hear something?
context: Poor kid...\So her memories may prove poisonous, huh?\Well, we'll all watch over her, won't we?\Curse, shmurse! You've got nothin' to worry about now!\'Cause no matter what happens, we'll protect you.\So just hush up and get some rest.\No...\Did you just hear something? response:	No...
context: So her memories may prove poisonous, huh?\Well, we'll all watch over her, won't we?\Curse, shmurse! You've got nothin' to worry about now!\'Cause no matter what happens, we'll protect you.\So just hush up and get some rest.\No...\Did you just hear something?\No... response:	Prepared to throw your lives away for some duty, ya say?
context: Well, we'll all watch over her, won't we?\Curse, shmurse! You've got nothin' to worry about now!\'Cause no matter what happens, we'll protect you.\So just hush up and get some rest.\No...\Did you just hear something?\No...\Prepared to throw your lives away for some duty, ya say? response:	What a bunch of crap!
context: Curse, shmurse! You've got nothin' to worry about now!\'Cause no matter what happens, we'll protect you.\So just hush up and get some rest.\No...\Did you just hear something?\No...\Prepared to throw your lives away for some duty, ya say?\What a bunch of crap! response:	Lives aren't meant to be tossed away like garbage!
context: 'Cause no matter what happens, we'll protect you.\So just hush up and get some rest.\No...\Did you just hear something?\No...\Prepared to throw your lives away for some duty, ya say?\What a bunch of crap!\Lives aren't meant to be tossed away like garbage! response:	We're fightin' because of a friend.
context: So just hush up and get some rest.\No...\Did you just hear something?\No...\Prepared to throw your lives away for some duty, ya say?\What a bunch of crap!\Lives aren't meant to be tossed away like garbage!\We're fightin' because of a friend. response:	And'cause of our bond, we can overcome anything.
context: No...\Did you just hear something?\No...\Prepared to throw your lives away for some duty, ya say?\What a bunch of crap!\Lives aren't meant to be tossed away like garbage!\We're fightin' because of a friend.\And'cause of our bond, we can overcome anything. response:	Friends ain't some tools that you use!
context: Did you just hear something?\No...\Prepared to throw your lives away for some duty, ya say?\What a bunch of crap!\Lives aren't meant to be tossed away like garbage!\We're fightin' because of a friend.\And'cause of our bond, we can overcome anything.\Friends ain't some tools that you use! response:	And they ain't somethin' you can just throw away!
context: No...\Prepared to throw your lives away for some duty, ya say?\What a bunch of crap!\Lives aren't meant to be tossed away like garbage!\We're fightin' because of a friend.\And'cause of our bond, we can overcome anything.\Friends ain't some tools that you use!\And they ain't somethin' you can just throw away! response:	That's what life's about!
context: Prepared to throw your lives away for some duty, ya say?\What a bunch of crap!\Lives aren't meant to be tossed away like garbage!\We're fightin' because of a friend.\And'cause of our bond, we can overcome anything.\Friends ain't some tools that you use!\And they ain't somethin' you can just throw away!\That's what life's about! response:	How many hits has he taken?
context: What a bunch of crap!\Lives aren't meant to be tossed away like garbage!\We're fightin' because of a friend.\And'cause of our bond, we can overcome anything.\Friends ain't some tools that you use!\And they ain't somethin' you can just throw away!\That's what life's about!\How many hits has he taken? response:	But wait... wait and see...
context: Lives aren't meant to be tossed away like garbage!\We're fightin' because of a friend.\And'cause of our bond, we can overcome anything.\Friends ain't some tools that you use!\And they ain't somethin' you can just throw away!\That's what life's about!\How many hits has he taken?\But wait... wait and see... response:	Those eyes don't look anywhere close to giving in.
context: We're fightin' because of a friend.\And'cause of our bond, we can overcome anything.\Friends ain't some tools that you use!\And they ain't somethin' you can just throw away!\That's what life's about!\How many hits has he taken?\But wait... wait and see...\Those eyes don't look anywhere close to giving in. response:	Everyone... Don't even think of gettin' in on this...
context: And'cause of our bond, we can overcome anything.\Friends ain't some tools that you use!\And they ain't somethin' you can just throw away!\That's what life's about!\How many hits has he taken?\But wait... wait and see...\Those eyes don't look anywhere close to giving in.\Everyone... Don't even think of gettin' in on this... response:	I'm takin' this guy down.
context: Friends ain't some tools that you use!\And they ain't somethin' you can just throw away!\That's what life's about!\How many hits has he taken?\But wait... wait and see...\Those eyes don't look anywhere close to giving in.\Everyone... Don't even think of gettin' in on this...\I'm takin' this guy down. response:	As a Fairy Tail wizard, I swear I'll take him...
context: And they ain't somethin' you can just throw away!\That's what life's about!\How many hits has he taken?\But wait... wait and see...\Those eyes don't look anywhere close to giving in.\Everyone... Don't even think of gettin' in on this...\I'm takin' this guy down.\As a Fairy Tail wizard, I swear I'll take him... response:	Natsu-nii!
context: That's what life's about!\How many hits has he taken?\But wait... wait and see...\Those eyes don't look anywhere close to giving in.\Everyone... Don't even think of gettin' in on this...\I'm takin' this guy down.\As a Fairy Tail wizard, I swear I'll take him...\Natsu-nii! response:	At last, he can't even stand...
context: How many hits has he taken?\But wait... wait and see...\Those eyes don't look anywhere close to giving in.\Everyone... Don't even think of gettin' in on this...\I'm takin' this guy down.\As a Fairy Tail wizard, I swear I'll take him...\Natsu-nii!\At last, he can't even stand... response:	Even so, Natsu won't look down.
context: But wait... wait and see...\Those eyes don't look anywhere close to giving in.\Everyone... Don't even think of gettin' in on this...\I'm takin' this guy down.\As a Fairy Tail wizard, I swear I'll take him...\Natsu-nii!\At last, he can't even stand...\Even so, Natsu won't look down. response:	I'm sure... he'll look ahead!
context: Those eyes don't look anywhere close to giving in.\Everyone... Don't even think of gettin' in on this...\I'm takin' this guy down.\As a Fairy Tail wizard, I swear I'll take him...\Natsu-nii!\At last, he can't even stand...\Even so, Natsu won't look down.\I'm sure... he'll look ahead! response:	Even though he's the enemy, kudos to him!
context: Everyone... Don't even think of gettin' in on this...\I'm takin' this guy down.\As a Fairy Tail wizard, I swear I'll take him...\Natsu-nii!\At last, he can't even stand...\Even so, Natsu won't look down.\I'm sure... he'll look ahead!\Even though he's the enemy, kudos to him! response:	I don't understand...
