context: Just up ahead, I'll defeat Erza... response:	and become an S Class wizard!
context: Not like I care, but what's the celebration about?\It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid. response:	He's coming!
context: It's like a festival, Carla!\Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming! response:	Aye!
context: Definitely one festive guild...\It's only natural for everyone to celebrate.\It's been about three years since he came back.\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye! response:	Gildarts, fight me!
context: It's only natural for everyone to celebrate.\It's been about three years since he came back.\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me! response:	Right off the bat with that?!
context: It's been about three years since he came back.\So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?! response:	I told you to fight me!
context: So, the entire city was reconstructed with this in mind?!\That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?!\I told you to fight me! response:	I knew it! He's crazy strong!
context: That's amazing! Isn't it, Carla?\Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?!\I told you to fight me!\I knew it! He's crazy strong! response:	Fairy Tail! As we have done since days long past,
context: Yes. Amazingly stupid.\He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?!\I told you to fight me!\I knew it! He's crazy strong!\Fairy Tail! As we have done since days long past, response:	I will now announce the participants in this year's S Class Wizard Advancement Exam!
context: He's coming!\Aye!\Gildarts, fight me!\Right off the bat with that?!\I told you to fight me!\I knew it! He's crazy strong!\Fairy Tail! As we have done since days long past,\I will now announce the participants in this year's S Class Wizard Advancement Exam! response:	Each of your powers, hearts, and souls...
context: Aye!\Gildarts, fight me!\Right off the bat with that?!\I told you to fight me!\I knew it! He's crazy strong!\Fairy Tail! As we have done since days long past,\I will now announce the participants in this year's S Class Wizard Advancement Exam!\Each of your powers, hearts, and souls... response:	I have judged them all this past year...
context: Gildarts, fight me!\Right off the bat with that?!\I told you to fight me!\I knew it! He's crazy strong!\Fairy Tail! As we have done since days long past,\I will now announce the participants in this year's S Class Wizard Advancement Exam!\Each of your powers, hearts, and souls...\I have judged them all this past year... response:	There will be eight participants!
context: Right off the bat with that?!\I told you to fight me!\I knew it! He's crazy strong!\Fairy Tail! As we have done since days long past,\I will now announce the participants in this year's S Class Wizard Advancement Exam!\Each of your powers, hearts, and souls...\I have judged them all this past year...\There will be eight participants! response:	Natsu Dragneel!
context: I told you to fight me!\I knew it! He's crazy strong!\Fairy Tail! As we have done since days long past,\I will now announce the participants in this year's S Class Wizard Advancement Exam!\Each of your powers, hearts, and souls...\I have judged them all this past year...\There will be eight participants!\Natsu Dragneel! response:	All right!
context: I knew it! He's crazy strong!\Fairy Tail! As we have done since days long past,\I will now announce the participants in this year's S Class Wizard Advancement Exam!\Each of your powers, hearts, and souls...\I have judged them all this past year...\There will be eight participants!\Natsu Dragneel!\All right! response:	Gray Fullbuster!
context: Fairy Tail! As we have done since days long past,\I will now announce the participants in this year's S Class Wizard Advancement Exam!\Each of your powers, hearts, and souls...\I have judged them all this past year...\There will be eight participants!\Natsu Dragneel!\All right!\Gray Fullbuster! response:	Finally, the time has come...
context: I will now announce the participants in this year's S Class Wizard Advancement Exam!\Each of your powers, hearts, and souls...\I have judged them all this past year...\There will be eight participants!\Natsu Dragneel!\All right!\Gray Fullbuster!\Finally, the time has come... response:	Juvia Lockser!
context: Each of your powers, hearts, and souls...\I have judged them all this past year...\There will be eight participants!\Natsu Dragneel!\All right!\Gray Fullbuster!\Finally, the time has come...\Juvia Lockser! response:	Huh? Juvia is participating?
context: I have judged them all this past year...\There will be eight participants!\Natsu Dragneel!\All right!\Gray Fullbuster!\Finally, the time has come...\Juvia Lockser!\Huh? Juvia is participating? response:	Elfman!
context: There will be eight participants!\Natsu Dragneel!\All right!\Gray Fullbuster!\Finally, the time has come...\Juvia Lockser!\Huh? Juvia is participating?\Elfman! response:	Those who are Men should become S Class!
context: Natsu Dragneel!\All right!\Gray Fullbuster!\Finally, the time has come...\Juvia Lockser!\Huh? Juvia is participating?\Elfman!\Those who are Men should become S Class! response:	Cana Alberona!
context: All right!\Gray Fullbuster!\Finally, the time has come...\Juvia Lockser!\Huh? Juvia is participating?\Elfman!\Those who are Men should become S Class!\Cana Alberona! response:	Fried Justine!
context: Gray Fullbuster!\Finally, the time has come...\Juvia Lockser!\Huh? Juvia is participating?\Elfman!\Those who are Men should become S Class!\Cana Alberona!\Fried Justine! response:	Levy McGarden!
context: Finally, the time has come...\Juvia Lockser!\Huh? Juvia is participating?\Elfman!\Those who are Men should become S Class!\Cana Alberona!\Fried Justine!\Levy McGarden! response:	Mest Gryder!
context: Juvia Lockser!\Huh? Juvia is participating?\Elfman!\Those who are Men should become S Class!\Cana Alberona!\Fried Justine!\Levy McGarden!\Mest Gryder! response:	Natsu versus Gildarts.
context: Huh? Juvia is participating?\Elfman!\Those who are Men should become S Class!\Cana Alberona!\Fried Justine!\Levy McGarden!\Mest Gryder!\Natsu versus Gildarts. response:	And this is Tenroujima.
context: Elfman!\Those who are Men should become S Class!\Cana Alberona!\Fried Justine!\Levy McGarden!\Mest Gryder!\Natsu versus Gildarts.\And this is Tenroujima. response:	The first trial is a test of might as well as luck.
context: Those who are Men should become S Class!\Cana Alberona!\Fried Justine!\Levy McGarden!\Mest Gryder!\Natsu versus Gildarts.\And this is Tenroujima.\The first trial is a test of might as well as luck. response:	This is D route, one of the eight possible paths...
context: Cana Alberona!\Fried Justine!\Levy McGarden!\Mest Gryder!\Natsu versus Gildarts.\And this is Tenroujima.\The first trial is a test of might as well as luck.\This is D route, one of the eight possible paths... response:	S-She's strong! I had no idea she was this strong!
context: Fried Justine!\Levy McGarden!\Mest Gryder!\Natsu versus Gildarts.\And this is Tenroujima.\The first trial is a test of might as well as luck.\This is D route, one of the eight possible paths...\S-She's strong! I had no idea she was this strong! response:	It's...
context: Levy McGarden!\Mest Gryder!\Natsu versus Gildarts.\And this is Tenroujima.\The first trial is a test of might as well as luck.\This is D route, one of the eight possible paths...\S-She's strong! I had no idea she was this strong!\It's... response:	What's wrong, Juvia?
context: Mest Gryder!\Natsu versus Gildarts.\And this is Tenroujima.\The first trial is a test of might as well as luck.\This is D route, one of the eight possible paths...\S-She's strong! I had no idea she was this strong!\It's...\What's wrong, Juvia? response:	You won't be able to become an S Class Wizard like this!
context: Natsu versus Gildarts.\And this is Tenroujima.\The first trial is a test of might as well as luck.\This is D route, one of the eight possible paths...\S-She's strong! I had no idea she was this strong!\It's...\What's wrong, Juvia?\You won't be able to become an S Class Wizard like this! response:	Sea Empress Armor...
context: And this is Tenroujima.\The first trial is a test of might as well as luck.\This is D route, one of the eight possible paths...\S-She's strong! I had no idea she was this strong!\It's...\What's wrong, Juvia?\You won't be able to become an S Class Wizard like this!\Sea Empress Armor... response:	Then you intend to nullify Juvia's water attacks!
context: The first trial is a test of might as well as luck.\This is D route, one of the eight possible paths...\S-She's strong! I had no idea she was this strong!\It's...\What's wrong, Juvia?\You won't be able to become an S Class Wizard like this!\Sea Empress Armor...\Then you intend to nullify Juvia's water attacks! response:	Juvia will... beat you!
context: This is D route, one of the eight possible paths...\S-She's strong! I had no idea she was this strong!\It's...\What's wrong, Juvia?\You won't be able to become an S Class Wizard like this!\Sea Empress Armor...\Then you intend to nullify Juvia's water attacks!\Juvia will... beat you! response:	Water Slicer!
context: S-She's strong! I had no idea she was this strong!\It's...\What's wrong, Juvia?\You won't be able to become an S Class Wizard like this!\Sea Empress Armor...\Then you intend to nullify Juvia's water attacks!\Juvia will... beat you!\Water Slicer! response:	You can repel Water Slicer?!
context: It's...\What's wrong, Juvia?\You won't be able to become an S Class Wizard like this!\Sea Empress Armor...\Then you intend to nullify Juvia's water attacks!\Juvia will... beat you!\Water Slicer!\You can repel Water Slicer?! response:	You're mine, Erza!
context: What's wrong, Juvia?\You won't be able to become an S Class Wizard like this!\Sea Empress Armor...\Then you intend to nullify Juvia's water attacks!\Juvia will... beat you!\Water Slicer!\You can repel Water Slicer?!\You're mine, Erza! response:	I'm not done yet!
context: You won't be able to become an S Class Wizard like this!\Sea Empress Armor...\Then you intend to nullify Juvia's water attacks!\Juvia will... beat you!\Water Slicer!\You can repel Water Slicer?!\You're mine, Erza!\I'm not done yet! response:	Take-Over!
context: Sea Empress Armor...\Then you intend to nullify Juvia's water attacks!\Juvia will... beat you!\Water Slicer!\You can repel Water Slicer?!\You're mine, Erza!\I'm not done yet!\Take-Over! response:	Your skill has improved, Lisanna.
context: Then you intend to nullify Juvia's water attacks!\Juvia will... beat you!\Water Slicer!\You can repel Water Slicer?!\You're mine, Erza!\I'm not done yet!\Take-Over!\Your skill has improved, Lisanna. response:	But as always, you have trouble with distances.
context: Juvia will... beat you!\Water Slicer!\You can repel Water Slicer?!\You're mine, Erza!\I'm not done yet!\Take-Over!\Your skill has improved, Lisanna.\But as always, you have trouble with distances. response:	And that makes you a washout!
context: Water Slicer!\You can repel Water Slicer?!\You're mine, Erza!\I'm not done yet!\Take-Over!\Your skill has improved, Lisanna.\But as always, you have trouble with distances.\And that makes you a washout! response:	What am I here for, a critique?!
context: You can repel Water Slicer?!\You're mine, Erza!\I'm not done yet!\Take-Over!\Your skill has improved, Lisanna.\But as always, you have trouble with distances.\And that makes you a washout!\What am I here for, a critique?! response:	I see...
context: You're mine, Erza!\I'm not done yet!\Take-Over!\Your skill has improved, Lisanna.\But as always, you have trouble with distances.\And that makes you a washout!\What am I here for, a critique?!\I see... response:	When Erza-san evaded Lisanna-san's attack,
context: I'm not done yet!\Take-Over!\Your skill has improved, Lisanna.\But as always, you have trouble with distances.\And that makes you a washout!\What am I here for, a critique?!\I see...\When Erza-san evaded Lisanna-san's attack, response:	she left herself open, even if just for a moment...
context: Take-Over!\Your skill has improved, Lisanna.\But as always, you have trouble with distances.\And that makes you a washout!\What am I here for, a critique?!\I see...\When Erza-san evaded Lisanna-san's attack,\she left herself open, even if just for a moment... response:	If I aim for that...
context: Your skill has improved, Lisanna.\But as always, you have trouble with distances.\And that makes you a washout!\What am I here for, a critique?!\I see...\When Erza-san evaded Lisanna-san's attack,\she left herself open, even if just for a moment...\If I aim for that... response:	Then how about this?!
context: But as always, you have trouble with distances.\And that makes you a washout!\What am I here for, a critique?!\I see...\When Erza-san evaded Lisanna-san's attack,\she left herself open, even if just for a moment...\If I aim for that...\Then how about this?! response:	Now! Water Cane!
context: And that makes you a washout!\What am I here for, a critique?!\I see...\When Erza-san evaded Lisanna-san's attack,\she left herself open, even if just for a moment...\If I aim for that...\Then how about this?!\Now! Water Cane! response:	Owww...
context: What am I here for, a critique?!\I see...\When Erza-san evaded Lisanna-san's attack,\she left herself open, even if just for a moment...\If I aim for that...\Then how about this?!\Now! Water Cane!\Owww... response:	Don't make me laugh, Juvia.
context: I see...\When Erza-san evaded Lisanna-san's attack,\she left herself open, even if just for a moment...\If I aim for that...\Then how about this?!\Now! Water Cane!\Owww...\Don't make me laugh, Juvia. response:	When it's two against one, attacking while your foe is busy
context: When Erza-san evaded Lisanna-san's attack,\she left herself open, even if just for a moment...\If I aim for that...\Then how about this?!\Now! Water Cane!\Owww...\Don't make me laugh, Juvia.\When it's two against one, attacking while your foe is busy response:	responding to your partner's attack is all too obvious.
context: she left herself open, even if just for a moment...\If I aim for that...\Then how about this?!\Now! Water Cane!\Owww...\Don't make me laugh, Juvia.\When it's two against one, attacking while your foe is busy\responding to your partner's attack is all too obvious. response:	If I'm expecting such an attack, then I'm not open at all.
context: If I aim for that...\Then how about this?!\Now! Water Cane!\Owww...\Don't make me laugh, Juvia.\When it's two against one, attacking while your foe is busy\responding to your partner's attack is all too obvious.\If I'm expecting such an attack, then I'm not open at all. response:	It's an elementary lesson!
context: Then how about this?!\Now! Water Cane!\Owww...\Don't make me laugh, Juvia.\When it's two against one, attacking while your foe is busy\responding to your partner's attack is all too obvious.\If I'm expecting such an attack, then I'm not open at all.\It's an elementary lesson! response:	The first time I met you, at the Tower of Heaven,
context: Now! Water Cane!\Owww...\Don't make me laugh, Juvia.\When it's two against one, attacking while your foe is busy\responding to your partner's attack is all too obvious.\If I'm expecting such an attack, then I'm not open at all.\It's an elementary lesson!\The first time I met you, at the Tower of Heaven, response:	I sensed you had more drive than this.
context: Owww...\Don't make me laugh, Juvia.\When it's two against one, attacking while your foe is busy\responding to your partner's attack is all too obvious.\If I'm expecting such an attack, then I'm not open at all.\It's an elementary lesson!\The first time I met you, at the Tower of Heaven,\I sensed you had more drive than this. response:	Was I mistaken?
context: Don't make me laugh, Juvia.\When it's two against one, attacking while your foe is busy\responding to your partner's attack is all too obvious.\If I'm expecting such an attack, then I'm not open at all.\It's an elementary lesson!\The first time I met you, at the Tower of Heaven,\I sensed you had more drive than this.\Was I mistaken? response:	I shall give you no quarter, Juvia!
context: When it's two against one, attacking while your foe is busy\responding to your partner's attack is all too obvious.\If I'm expecting such an attack, then I'm not open at all.\It's an elementary lesson!\The first time I met you, at the Tower of Heaven,\I sensed you had more drive than this.\Was I mistaken?\I shall give you no quarter, Juvia! response:	Meanwhile, Lucy and Cana had successfully passed the first trial...
context: responding to your partner's attack is all too obvious.\If I'm expecting such an attack, then I'm not open at all.\It's an elementary lesson!\The first time I met you, at the Tower of Heaven,\I sensed you had more drive than this.\Was I mistaken?\I shall give you no quarter, Juvia!\Meanwhile, Lucy and Cana had successfully passed the first trial... response:	I'm back among the living...
context: If I'm expecting such an attack, then I'm not open at all.\It's an elementary lesson!\The first time I met you, at the Tower of Heaven,\I sensed you had more drive than this.\Was I mistaken?\I shall give you no quarter, Juvia!\Meanwhile, Lucy and Cana had successfully passed the first trial...\I'm back among the living... response:	Doesn't it feel great?
context: It's an elementary lesson!\The first time I met you, at the Tower of Heaven,\I sensed you had more drive than this.\Was I mistaken?\I shall give you no quarter, Juvia!\Meanwhile, Lucy and Cana had successfully passed the first trial...\I'm back among the living...\Doesn't it feel great? response:	You're too sensitive to heat.
context: The first time I met you, at the Tower of Heaven,\I sensed you had more drive than this.\Was I mistaken?\I shall give you no quarter, Juvia!\Meanwhile, Lucy and Cana had successfully passed the first trial...\I'm back among the living...\Doesn't it feel great?\You're too sensitive to heat. response:	What can I say? Too hot is too hot!
context: I sensed you had more drive than this.\Was I mistaken?\I shall give you no quarter, Juvia!\Meanwhile, Lucy and Cana had successfully passed the first trial...\I'm back among the living...\Doesn't it feel great?\You're too sensitive to heat.\What can I say? Too hot is too hot! response:	We'd better get going.
context: Was I mistaken?\I shall give you no quarter, Juvia!\Meanwhile, Lucy and Cana had successfully passed the first trial...\I'm back among the living...\Doesn't it feel great?\You're too sensitive to heat.\What can I say? Too hot is too hot!\We'd better get going. response:	We don't have to leave right away. Just a little longer!
context: I shall give you no quarter, Juvia!\Meanwhile, Lucy and Cana had successfully passed the first trial...\I'm back among the living...\Doesn't it feel great?\You're too sensitive to heat.\What can I say? Too hot is too hot!\We'd better get going.\We don't have to leave right away. Just a little longer! response:	What's with the leisurely attitude?
context: Meanwhile, Lucy and Cana had successfully passed the first trial...\I'm back among the living...\Doesn't it feel great?\You're too sensitive to heat.\What can I say? Too hot is too hot!\We'd better get going.\We don't have to leave right away. Just a little longer!\What's with the leisurely attitude? response:	What?
context: I'm back among the living...\Doesn't it feel great?\You're too sensitive to heat.\What can I say? Too hot is too hot!\We'd better get going.\We don't have to leave right away. Just a little longer!\What's with the leisurely attitude?\What? response:	Has Natsu's stupidity rubbed off on you recently?
context: Doesn't it feel great?\You're too sensitive to heat.\What can I say? Too hot is too hot!\We'd better get going.\We don't have to leave right away. Just a little longer!\What's with the leisurely attitude?\What?\Has Natsu's stupidity rubbed off on you recently? response:	Words will never hurt me...
context: You're too sensitive to heat.\What can I say? Too hot is too hot!\We'd better get going.\We don't have to leave right away. Just a little longer!\What's with the leisurely attitude?\What?\Has Natsu's stupidity rubbed off on you recently?\Words will never hurt me... response:	Anyway, I don't wanna leave here just yet.
context: What can I say? Too hot is too hot!\We'd better get going.\We don't have to leave right away. Just a little longer!\What's with the leisurely attitude?\What?\Has Natsu's stupidity rubbed off on you recently?\Words will never hurt me...\Anyway, I don't wanna leave here just yet. response:	I know! As long as we're here, let's wash our swimsuits!
context: We'd better get going.\We don't have to leave right away. Just a little longer!\What's with the leisurely attitude?\What?\Has Natsu's stupidity rubbed off on you recently?\Words will never hurt me...\Anyway, I don't wanna leave here just yet.\I know! As long as we're here, let's wash our swimsuits! response:	Yeesh...
context: We don't have to leave right away. Just a little longer!\What's with the leisurely attitude?\What?\Has Natsu's stupidity rubbed off on you recently?\Words will never hurt me...\Anyway, I don't wanna leave here just yet.\I know! As long as we're here, let's wash our swimsuits!\Yeesh... response:	And on A route...
context: What's with the leisurely attitude?\What?\Has Natsu's stupidity rubbed off on you recently?\Words will never hurt me...\Anyway, I don't wanna leave here just yet.\I know! As long as we're here, let's wash our swimsuits!\Yeesh...\And on A route... response:	Of all people...
context: What?\Has Natsu's stupidity rubbed off on you recently?\Words will never hurt me...\Anyway, I don't wanna leave here just yet.\I know! As long as we're here, let's wash our swimsuits!\Yeesh...\And on A route...\Of all people... response:	To run into you...
context: Has Natsu's stupidity rubbed off on you recently?\Words will never hurt me...\Anyway, I don't wanna leave here just yet.\I know! As long as we're here, let's wash our swimsuits!\Yeesh...\And on A route...\Of all people...\To run into you... response:	Little brother or not, I'm not gonna treat you with kid gloves, Elfman.
context: Words will never hurt me...\Anyway, I don't wanna leave here just yet.\I know! As long as we're here, let's wash our swimsuits!\Yeesh...\And on A route...\Of all people...\To run into you...\Little brother or not, I'm not gonna treat you with kid gloves, Elfman. response:	W-What the hell?! I'm here too, you know!
context: Anyway, I don't wanna leave here just yet.\I know! As long as we're here, let's wash our swimsuits!\Yeesh...\And on A route...\Of all people...\To run into you...\Little brother or not, I'm not gonna treat you with kid gloves, Elfman.\W-What the hell?! I'm here too, you know! response:	So this is the power...
context: I know! As long as we're here, let's wash our swimsuits!\Yeesh...\And on A route...\Of all people...\To run into you...\Little brother or not, I'm not gonna treat you with kid gloves, Elfman.\W-What the hell?! I'm here too, you know!\So this is the power... response:	I'm no good at holding back...
context: Yeesh...\And on A route...\Of all people...\To run into you...\Little brother or not, I'm not gonna treat you with kid gloves, Elfman.\W-What the hell?! I'm here too, you know!\So this is the power...\I'm no good at holding back... response:	I'm all fired up!
context: And on A route...\Of all people...\To run into you...\Little brother or not, I'm not gonna treat you with kid gloves, Elfman.\W-What the hell?! I'm here too, you know!\So this is the power...\I'm no good at holding back...\I'm all fired up! response:	Er, Happy, what the hell are you doing?
context: Of all people...\To run into you...\Little brother or not, I'm not gonna treat you with kid gloves, Elfman.\W-What the hell?! I'm here too, you know!\So this is the power...\I'm no good at holding back...\I'm all fired up!\Er, Happy, what the hell are you doing? response:	Preparing to go home.
context: To run into you...\Little brother or not, I'm not gonna treat you with kid gloves, Elfman.\W-What the hell?! I'm here too, you know!\So this is the power...\I'm no good at holding back...\I'm all fired up!\Er, Happy, what the hell are you doing?\Preparing to go home. response:	No need. Whether my opponent is Gildarts or whoever...
context: Little brother or not, I'm not gonna treat you with kid gloves, Elfman.\W-What the hell?! I'm here too, you know!\So this is the power...\I'm no good at holding back...\I'm all fired up!\Er, Happy, what the hell are you doing?\Preparing to go home.\No need. Whether my opponent is Gildarts or whoever... response:	My punch is gonna make him cry out, It hurts!
context: W-What the hell?! I'm here too, you know!\So this is the power...\I'm no good at holding back...\I'm all fired up!\Er, Happy, what the hell are you doing?\Preparing to go home.\No need. Whether my opponent is Gildarts or whoever...\My punch is gonna make him cry out, It hurts! response:	It hurts.
context: So this is the power...\I'm no good at holding back...\I'm all fired up!\Er, Happy, what the hell are you doing?\Preparing to go home.\No need. Whether my opponent is Gildarts or whoever...\My punch is gonna make him cry out, It hurts!\It hurts. response:	Too early! I haven't done anything yet!
context: I'm no good at holding back...\I'm all fired up!\Er, Happy, what the hell are you doing?\Preparing to go home.\No need. Whether my opponent is Gildarts or whoever...\My punch is gonna make him cry out, It hurts!\It hurts.\Too early! I haven't done anything yet! response:	Here I go, Gildarts!
context: I'm all fired up!\Er, Happy, what the hell are you doing?\Preparing to go home.\No need. Whether my opponent is Gildarts or whoever...\My punch is gonna make him cry out, It hurts!\It hurts.\Too early! I haven't done anything yet!\Here I go, Gildarts! response:	I'm gonna show you just how strong I've gotten these past 3 years!
context: Er, Happy, what the hell are you doing?\Preparing to go home.\No need. Whether my opponent is Gildarts or whoever...\My punch is gonna make him cry out, It hurts!\It hurts.\Too early! I haven't done anything yet!\Here I go, Gildarts!\I'm gonna show you just how strong I've gotten these past 3 years! response:	Hold on a moment.
context: Preparing to go home.\No need. Whether my opponent is Gildarts or whoever...\My punch is gonna make him cry out, It hurts!\It hurts.\Too early! I haven't done anything yet!\Here I go, Gildarts!\I'm gonna show you just how strong I've gotten these past 3 years!\Hold on a moment. response:	Calm down, Natsu.
context: No need. Whether my opponent is Gildarts or whoever...\My punch is gonna make him cry out, It hurts!\It hurts.\Too early! I haven't done anything yet!\Here I go, Gildarts!\I'm gonna show you just how strong I've gotten these past 3 years!\Hold on a moment.\Calm down, Natsu. response:	I'm not mentally prepared yet...
context: My punch is gonna make him cry out, It hurts!\It hurts.\Too early! I haven't done anything yet!\Here I go, Gildarts!\I'm gonna show you just how strong I've gotten these past 3 years!\Hold on a moment.\Calm down, Natsu.\I'm not mentally prepared yet... response:	Hey...
context: It hurts.\Too early! I haven't done anything yet!\Here I go, Gildarts!\I'm gonna show you just how strong I've gotten these past 3 years!\Hold on a moment.\Calm down, Natsu.\I'm not mentally prepared yet...\Hey... response:	Don't rush him without thinking!
context: Too early! I haven't done anything yet!\Here I go, Gildarts!\I'm gonna show you just how strong I've gotten these past 3 years!\Hold on a moment.\Calm down, Natsu.\I'm not mentally prepared yet...\Hey...\Don't rush him without thinking! response:	Gildarts can pulverize his opponents!
context: Here I go, Gildarts!\I'm gonna show you just how strong I've gotten these past 3 years!\Hold on a moment.\Calm down, Natsu.\I'm not mentally prepared yet...\Hey...\Don't rush him without thinking!\Gildarts can pulverize his opponents! response:	Crash!
context: I'm gonna show you just how strong I've gotten these past 3 years!\Hold on a moment.\Calm down, Natsu.\I'm not mentally prepared yet...\Hey...\Don't rush him without thinking!\Gildarts can pulverize his opponents!\Crash! response:	I just told you I'm no good at holding back...
context: Hold on a moment.\Calm down, Natsu.\I'm not mentally prepared yet...\Hey...\Don't rush him without thinking!\Gildarts can pulverize his opponents!\Crash!\I just told you I'm no good at holding back... response:	N-Natsu's been obliterated...
context: Calm down, Natsu.\I'm not mentally prepared yet...\Hey...\Don't rush him without thinking!\Gildarts can pulverize his opponents!\Crash!\I just told you I'm no good at holding back...\N-Natsu's been obliterated... response:	As if!
context: I'm not mentally prepared yet...\Hey...\Don't rush him without thinking!\Gildarts can pulverize his opponents!\Crash!\I just told you I'm no good at holding back...\N-Natsu's been obliterated...\As if! response:	He crushed the ground and used it as a cushion?!
context: Hey...\Don't rush him without thinking!\Gildarts can pulverize his opponents!\Crash!\I just told you I'm no good at holding back...\N-Natsu's been obliterated...\As if!\He crushed the ground and used it as a cushion?! response:	I'm still goin'!
context: Don't rush him without thinking!\Gildarts can pulverize his opponents!\Crash!\I just told you I'm no good at holding back...\N-Natsu's been obliterated...\As if!\He crushed the ground and used it as a cushion?!\I'm still goin'! response:	He's a punching bag!
context: Gildarts can pulverize his opponents!\Crash!\I just told you I'm no good at holding back...\N-Natsu's been obliterated...\As if!\He crushed the ground and used it as a cushion?!\I'm still goin'!\He's a punching bag! response:	Natsu's face...
