context: C- could he have fallen asleep? response:	I don't know...
context: they may be able to defeat those bad people.\How do you know of the Dragon Balls?\We had them on Earth as well.\What did you say!?\Long ago, during this planet's crisis,\there was a Namekian who made his way to Earth.\That person created our Dragon Balls.\Is that so? I remember now. Katattsu's child. What a surprise. response:	Who would have thought that he would arrive safely on Earth?
context: How do you know of the Dragon Balls?\We had them on Earth as well.\What did you say!?\Long ago, during this planet's crisis,\there was a Namekian who made his way to Earth.\That person created our Dragon Balls.\Is that so? I remember now. Katattsu's child. What a surprise.\Who would have thought that he would arrive safely on Earth? response:	That child was a Dragon-type prodigy, who was capable of creating Dragon Balls.
context: We had them on Earth as well.\What did you say!?\Long ago, during this planet's crisis,\there was a Namekian who made his way to Earth.\That person created our Dragon Balls.\Is that so? I remember now. Katattsu's child. What a surprise.\Who would have thought that he would arrive safely on Earth?\That child was a Dragon-type prodigy, who was capable of creating Dragon Balls. response:	He was killed along with our other friends by the Saiyan Vegeta, who is now here.
context: What did you say!?\Long ago, during this planet's crisis,\there was a Namekian who made his way to Earth.\That person created our Dragon Balls.\Is that so? I remember now. Katattsu's child. What a surprise.\Who would have thought that he would arrive safely on Earth?\That child was a Dragon-type prodigy, who was capable of creating Dragon Balls.\He was killed along with our other friends by the Saiyan Vegeta, who is now here. response:	The Saiyans are indeed terrible. That child prodigy, huh?
context: Long ago, during this planet's crisis,\there was a Namekian who made his way to Earth.\That person created our Dragon Balls.\Is that so? I remember now. Katattsu's child. What a surprise.\Who would have thought that he would arrive safely on Earth?\That child was a Dragon-type prodigy, who was capable of creating Dragon Balls.\He was killed along with our other friends by the Saiyan Vegeta, who is now here.\The Saiyans are indeed terrible. That child prodigy, huh? response:	This Saiyan wouldn't happen to be a Super Saiyan, would he?
context: there was a Namekian who made his way to Earth.\That person created our Dragon Balls.\Is that so? I remember now. Katattsu's child. What a surprise.\Who would have thought that he would arrive safely on Earth?\That child was a Dragon-type prodigy, who was capable of creating Dragon Balls.\He was killed along with our other friends by the Saiyan Vegeta, who is now here.\The Saiyans are indeed terrible. That child prodigy, huh?\This Saiyan wouldn't happen to be a Super Saiyan, would he? response:	Huh? W- what's that?
context: That person created our Dragon Balls.\Is that so? I remember now. Katattsu's child. What a surprise.\Who would have thought that he would arrive safely on Earth?\That child was a Dragon-type prodigy, who was capable of creating Dragon Balls.\He was killed along with our other friends by the Saiyan Vegeta, who is now here.\The Saiyans are indeed terrible. That child prodigy, huh?\This Saiyan wouldn't happen to be a Super Saiyan, would he?\Huh? W- what's that? response:	Gentleman from Earth, could I get you to come over here?
context: Is that so? I remember now. Katattsu's child. What a surprise.\Who would have thought that he would arrive safely on Earth?\That child was a Dragon-type prodigy, who was capable of creating Dragon Balls.\He was killed along with our other friends by the Saiyan Vegeta, who is now here.\The Saiyans are indeed terrible. That child prodigy, huh?\This Saiyan wouldn't happen to be a Super Saiyan, would he?\Huh? W- what's that?\Gentleman from Earth, could I get you to come over here? response:	Please allow me to probe into your past a little.
context: Who would have thought that he would arrive safely on Earth?\That child was a Dragon-type prodigy, who was capable of creating Dragon Balls.\He was killed along with our other friends by the Saiyan Vegeta, who is now here.\The Saiyans are indeed terrible. That child prodigy, huh?\This Saiyan wouldn't happen to be a Super Saiyan, would he?\Huh? W- what's that?\Gentleman from Earth, could I get you to come over here?\Please allow me to probe into your past a little. response:	Past?
context: That child was a Dragon-type prodigy, who was capable of creating Dragon Balls.\He was killed along with our other friends by the Saiyan Vegeta, who is now here.\The Saiyans are indeed terrible. That child prodigy, huh?\This Saiyan wouldn't happen to be a Super Saiyan, would he?\Huh? W- what's that?\Gentleman from Earth, could I get you to come over here?\Please allow me to probe into your past a little.\Past? response:	How can this be!? Once evil made its way inside him, he split into two!?
context: He was killed along with our other friends by the Saiyan Vegeta, who is now here.\The Saiyans are indeed terrible. That child prodigy, huh?\This Saiyan wouldn't happen to be a Super Saiyan, would he?\Huh? W- what's that?\Gentleman from Earth, could I get you to come over here?\Please allow me to probe into your past a little.\Past?\How can this be!? Once evil made its way inside him, he split into two!? response:	So in order for him to become Kami,
context: The Saiyans are indeed terrible. That child prodigy, huh?\This Saiyan wouldn't happen to be a Super Saiyan, would he?\Huh? W- what's that?\Gentleman from Earth, could I get you to come over here?\Please allow me to probe into your past a little.\Past?\How can this be!? Once evil made its way inside him, he split into two!?\So in order for him to become Kami, response:	he couldn't have even the slightest of evil feelings within him, then?
context: This Saiyan wouldn't happen to be a Super Saiyan, would he?\Huh? W- what's that?\Gentleman from Earth, could I get you to come over here?\Please allow me to probe into your past a little.\Past?\How can this be!? Once evil made its way inside him, he split into two!?\So in order for him to become Kami,\he couldn't have even the slightest of evil feelings within him, then? response:	And as a result, the evil Piccolo was born.
context: Huh? W- what's that?\Gentleman from Earth, could I get you to come over here?\Please allow me to probe into your past a little.\Past?\How can this be!? Once evil made its way inside him, he split into two!?\So in order for him to become Kami,\he couldn't have even the slightest of evil feelings within him, then?\And as a result, the evil Piccolo was born. response:	But what a shame.
context: Gentleman from Earth, could I get you to come over here?\Please allow me to probe into your past a little.\Past?\How can this be!? Once evil made its way inside him, he split into two!?\So in order for him to become Kami,\he couldn't have even the slightest of evil feelings within him, then?\And as a result, the evil Piccolo was born.\But what a shame. response:	To think that he should divide the uncanny power he was born with in half.
context: Please allow me to probe into your past a little.\Past?\How can this be!? Once evil made its way inside him, he split into two!?\So in order for him to become Kami,\he couldn't have even the slightest of evil feelings within him, then?\And as a result, the evil Piccolo was born.\But what a shame.\To think that he should divide the uncanny power he was born with in half. response:	If he had become one, as he was before, he may not have had to die.
context: Past?\How can this be!? Once evil made its way inside him, he split into two!?\So in order for him to become Kami,\he couldn't have even the slightest of evil feelings within him, then?\And as a result, the evil Piccolo was born.\But what a shame.\To think that he should divide the uncanny power he was born with in half.\If he had become one, as he was before, he may not have had to die. response:	Become one?
context: How can this be!? Once evil made its way inside him, he split into two!?\So in order for him to become Kami,\he couldn't have even the slightest of evil feelings within him, then?\And as a result, the evil Piccolo was born.\But what a shame.\To think that he should divide the uncanny power he was born with in half.\If he had become one, as he was before, he may not have had to die.\Become one? response:	Well, I guess it would be all right. Your desires are pure,
context: So in order for him to become Kami,\he couldn't have even the slightest of evil feelings within him, then?\And as a result, the evil Piccolo was born.\But what a shame.\To think that he should divide the uncanny power he was born with in half.\If he had become one, as he was before, he may not have had to die.\Become one?\Well, I guess it would be all right. Your desires are pure, response:	and the courage you have displayed up to now is greatly esteemed.
context: he couldn't have even the slightest of evil feelings within him, then?\And as a result, the evil Piccolo was born.\But what a shame.\To think that he should divide the uncanny power he was born with in half.\If he had become one, as he was before, he may not have had to die.\Become one?\Well, I guess it would be all right. Your desires are pure,\and the courage you have displayed up to now is greatly esteemed. response:	I will give this Dragon Ball to you.
context: And as a result, the evil Piccolo was born.\But what a shame.\To think that he should divide the uncanny power he was born with in half.\If he had become one, as he was before, he may not have had to die.\Become one?\Well, I guess it would be all right. Your desires are pure,\and the courage you have displayed up to now is greatly esteemed.\I will give this Dragon Ball to you. response:	Terrific!
context: But what a shame.\To think that he should divide the uncanny power he was born with in half.\If he had become one, as he was before, he may not have had to die.\Become one?\Well, I guess it would be all right. Your desires are pure,\and the courage you have displayed up to now is greatly esteemed.\I will give this Dragon Ball to you.\Terrific! response:	Thank you very much.
context: To think that he should divide the uncanny power he was born with in half.\If he had become one, as he was before, he may not have had to die.\Become one?\Well, I guess it would be all right. Your desires are pure,\and the courage you have displayed up to now is greatly esteemed.\I will give this Dragon Ball to you.\Terrific!\Thank you very much. response:	So this is a Dragon Ball from the homeland. It sure is huge.
context: If he had become one, as he was before, he may not have had to die.\Become one?\Well, I guess it would be all right. Your desires are pure,\and the courage you have displayed up to now is greatly esteemed.\I will give this Dragon Ball to you.\Terrific!\Thank you very much.\So this is a Dragon Ball from the homeland. It sure is huge. response:	Things sure are slow, huh?
context: Become one?\Well, I guess it would be all right. Your desires are pure,\and the courage you have displayed up to now is greatly esteemed.\I will give this Dragon Ball to you.\Terrific!\Thank you very much.\So this is a Dragon Ball from the homeland. It sure is huge.\Things sure are slow, huh? response:	Is someone here!?
context: Well, I guess it would be all right. Your desires are pure,\and the courage you have displayed up to now is greatly esteemed.\I will give this Dragon Ball to you.\Terrific!\Thank you very much.\So this is a Dragon Ball from the homeland. It sure is huge.\Things sure are slow, huh?\Is someone here!? response:	No, I'm bored, so I thought I would do some training.
context: and the courage you have displayed up to now is greatly esteemed.\I will give this Dragon Ball to you.\Terrific!\Thank you very much.\So this is a Dragon Ball from the homeland. It sure is huge.\Things sure are slow, huh?\Is someone here!?\No, I'm bored, so I thought I would do some training. response:	Oh...
context: I will give this Dragon Ball to you.\Terrific!\Thank you very much.\So this is a Dragon Ball from the homeland. It sure is huge.\Things sure are slow, huh?\Is someone here!?\No, I'm bored, so I thought I would do some training.\Oh... response:	Six more to go, huh? I'll do my best.
context: Terrific!\Thank you very much.\So this is a Dragon Ball from the homeland. It sure is huge.\Things sure are slow, huh?\Is someone here!?\No, I'm bored, so I thought I would do some training.\Oh...\Six more to go, huh? I'll do my best. response:	Still, I doubt you will have your wish granted.
context: Thank you very much.\So this is a Dragon Ball from the homeland. It sure is huge.\Things sure are slow, huh?\Is someone here!?\No, I'm bored, so I thought I would do some training.\Oh...\Six more to go, huh? I'll do my best.\Still, I doubt you will have your wish granted. response:	Huh? Why not?
context: So this is a Dragon Ball from the homeland. It sure is huge.\Things sure are slow, huh?\Is someone here!?\No, I'm bored, so I thought I would do some training.\Oh...\Six more to go, huh? I'll do my best.\Still, I doubt you will have your wish granted.\Huh? Why not? response:	Unfortunately, my life will only hold out for another few days.
context: Things sure are slow, huh?\Is someone here!?\No, I'm bored, so I thought I would do some training.\Oh...\Six more to go, huh? I'll do my best.\Still, I doubt you will have your wish granted.\Huh? Why not?\Unfortunately, my life will only hold out for another few days. response:	Can you get the Balls that those bad men have already gathered
context: Is someone here!?\No, I'm bored, so I thought I would do some training.\Oh...\Six more to go, huh? I'll do my best.\Still, I doubt you will have your wish granted.\Huh? Why not?\Unfortunately, my life will only hold out for another few days.\Can you get the Balls that those bad men have already gathered response:	away from them before then?
context: No, I'm bored, so I thought I would do some training.\Oh...\Six more to go, huh? I'll do my best.\Still, I doubt you will have your wish granted.\Huh? Why not?\Unfortunately, my life will only hold out for another few days.\Can you get the Balls that those bad men have already gathered\away from them before then? response:	I would think that would be impossible. Once I die...
context: Oh...\Six more to go, huh? I'll do my best.\Still, I doubt you will have your wish granted.\Huh? Why not?\Unfortunately, my life will only hold out for another few days.\Can you get the Balls that those bad men have already gathered\away from them before then?\I would think that would be impossible. Once I die... response:	It's okay! That can't be helped!
context: Six more to go, huh? I'll do my best.\Still, I doubt you will have your wish granted.\Huh? Why not?\Unfortunately, my life will only hold out for another few days.\Can you get the Balls that those bad men have already gathered\away from them before then?\I would think that would be impossible. Once I die...\It's okay! That can't be helped! response:	For the time being, I will guard this Ball with my life.
context: Still, I doubt you will have your wish granted.\Huh? Why not?\Unfortunately, my life will only hold out for another few days.\Can you get the Balls that those bad men have already gathered\away from them before then?\I would think that would be impossible. Once I die...\It's okay! That can't be helped!\For the time being, I will guard this Ball with my life. response:	That's far better than allowing those guys to gain eternal life, after all.
context: Huh? Why not?\Unfortunately, my life will only hold out for another few days.\Can you get the Balls that those bad men have already gathered\away from them before then?\I would think that would be impossible. Once I die...\It's okay! That can't be helped!\For the time being, I will guard this Ball with my life.\That's far better than allowing those guys to gain eternal life, after all. response:	If you'd be so kind. I cannot guard it anymore with the power I have left.
context: Unfortunately, my life will only hold out for another few days.\Can you get the Balls that those bad men have already gathered\away from them before then?\I would think that would be impossible. Once I die...\It's okay! That can't be helped!\For the time being, I will guard this Ball with my life.\That's far better than allowing those guys to gain eternal life, after all.\If you'd be so kind. I cannot guard it anymore with the power I have left. response:	I will, for sure!
context: Can you get the Balls that those bad men have already gathered\away from them before then?\I would think that would be impossible. Once I die...\It's okay! That can't be helped!\For the time being, I will guard this Ball with my life.\That's far better than allowing those guys to gain eternal life, after all.\If you'd be so kind. I cannot guard it anymore with the power I have left.\I will, for sure! response:	You have such outstanding power.
context: away from them before then?\I would think that would be impossible. Once I die...\It's okay! That can't be helped!\For the time being, I will guard this Ball with my life.\That's far better than allowing those guys to gain eternal life, after all.\If you'd be so kind. I cannot guard it anymore with the power I have left.\I will, for sure!\You have such outstanding power. response:	It's such a waste that you still have power lying dormant.
context: I would think that would be impossible. Once I die...\It's okay! That can't be helped!\For the time being, I will guard this Ball with my life.\That's far better than allowing those guys to gain eternal life, after all.\If you'd be so kind. I cannot guard it anymore with the power I have left.\I will, for sure!\You have such outstanding power.\It's such a waste that you still have power lying dormant. response:	Power lying dormant?
context: It's okay! That can't be helped!\For the time being, I will guard this Ball with my life.\That's far better than allowing those guys to gain eternal life, after all.\If you'd be so kind. I cannot guard it anymore with the power I have left.\I will, for sure!\You have such outstanding power.\It's such a waste that you still have power lying dormant.\Power lying dormant? response:	I will awaken that power for you.
context: For the time being, I will guard this Ball with my life.\That's far better than allowing those guys to gain eternal life, after all.\If you'd be so kind. I cannot guard it anymore with the power I have left.\I will, for sure!\You have such outstanding power.\It's such a waste that you still have power lying dormant.\Power lying dormant?\I will awaken that power for you. response:	I couldn't possibly have any power left.
context: That's far better than allowing those guys to gain eternal life, after all.\If you'd be so kind. I cannot guard it anymore with the power I have left.\I will, for sure!\You have such outstanding power.\It's such a waste that you still have power lying dormant.\Power lying dormant?\I will awaken that power for you.\I couldn't possibly have any power left. response:	I've thoroughly trained myself, after all.
context: If you'd be so kind. I cannot guard it anymore with the power I have left.\I will, for sure!\You have such outstanding power.\It's such a waste that you still have power lying dormant.\Power lying dormant?\I will awaken that power for you.\I couldn't possibly have any power left.\I've thoroughly trained myself, after all. response:	I'm beyond my limits now as it is.
context: I will, for sure!\You have such outstanding power.\It's such a waste that you still have power lying dormant.\Power lying dormant?\I will awaken that power for you.\I couldn't possibly have any power left.\I've thoroughly trained myself, after all.\I'm beyond my limits now as it is. response:	Please escape from their clutches somehow.
context: You have such outstanding power.\It's such a waste that you still have power lying dormant.\Power lying dormant?\I will awaken that power for you.\I couldn't possibly have any power left.\I've thoroughly trained myself, after all.\I'm beyond my limits now as it is.\Please escape from their clutches somehow. response:	My power... my power...
context: It's such a waste that you still have power lying dormant.\Power lying dormant?\I will awaken that power for you.\I couldn't possibly have any power left.\I've thoroughly trained myself, after all.\I'm beyond my limits now as it is.\Please escape from their clutches somehow.\My power... my power... response:	My power has shot up! This is awesome!
context: Power lying dormant?\I will awaken that power for you.\I couldn't possibly have any power left.\I've thoroughly trained myself, after all.\I'm beyond my limits now as it is.\Please escape from their clutches somehow.\My power... my power...\My power has shot up! This is awesome! response:	I- I don't believe it! It feels like I've been reborn!
context: I will awaken that power for you.\I couldn't possibly have any power left.\I've thoroughly trained myself, after all.\I'm beyond my limits now as it is.\Please escape from their clutches somehow.\My power... my power...\My power has shot up! This is awesome!\I- I don't believe it! It feels like I've been reborn! response:	Thank you so much!
context: I couldn't possibly have any power left.\I've thoroughly trained myself, after all.\I'm beyond my limits now as it is.\Please escape from their clutches somehow.\My power... my power...\My power has shot up! This is awesome!\I- I don't believe it! It feels like I've been reborn!\Thank you so much! response:	Um...
context: I've thoroughly trained myself, after all.\I'm beyond my limits now as it is.\Please escape from their clutches somehow.\My power... my power...\My power has shot up! This is awesome!\I- I don't believe it! It feels like I've been reborn!\Thank you so much!\Um... response:	Can you call forth anyone's power? Say, even a little kid's?
context: I'm beyond my limits now as it is.\Please escape from their clutches somehow.\My power... my power...\My power has shot up! This is awesome!\I- I don't believe it! It feels like I've been reborn!\Thank you so much!\Um...\Can you call forth anyone's power? Say, even a little kid's? response:	As long as there is dormant power within them,
context: Please escape from their clutches somehow.\My power... my power...\My power has shot up! This is awesome!\I- I don't believe it! It feels like I've been reborn!\Thank you so much!\Um...\Can you call forth anyone's power? Say, even a little kid's?\As long as there is dormant power within them, response:	it is possible, whomever they may be.
context: My power... my power...\My power has shot up! This is awesome!\I- I don't believe it! It feels like I've been reborn!\Thank you so much!\Um...\Can you call forth anyone's power? Say, even a little kid's?\As long as there is dormant power within them,\it is possible, whomever they may be. response:	I- it won't shorten your life if you do it too much, will it?
context: My power has shot up! This is awesome!\I- I don't believe it! It feels like I've been reborn!\Thank you so much!\Um...\Can you call forth anyone's power? Say, even a little kid's?\As long as there is dormant power within them,\it is possible, whomever they may be.\I- it won't shorten your life if you do it too much, will it? response:	All I do is provide the occasion. It has nothing to do with my life.
context: I- I don't believe it! It feels like I've been reborn!\Thank you so much!\Um...\Can you call forth anyone's power? Say, even a little kid's?\As long as there is dormant power within them,\it is possible, whomever they may be.\I- it won't shorten your life if you do it too much, will it?\All I do is provide the occasion. It has nothing to do with my life. response:	C- could I bring another one of my friends here?
context: Thank you so much!\Um...\Can you call forth anyone's power? Say, even a little kid's?\As long as there is dormant power within them,\it is possible, whomever they may be.\I- it won't shorten your life if you do it too much, will it?\All I do is provide the occasion. It has nothing to do with my life.\C- could I bring another one of my friends here? response:	I am positive that he has an incredible amount of power lying dormant.
context: Um...\Can you call forth anyone's power? Say, even a little kid's?\As long as there is dormant power within them,\it is possible, whomever they may be.\I- it won't shorten your life if you do it too much, will it?\All I do is provide the occasion. It has nothing to do with my life.\C- could I bring another one of my friends here?\I am positive that he has an incredible amount of power lying dormant. response:	Bring him here. The more strong just men we have, the better.
context: Can you call forth anyone's power? Say, even a little kid's?\As long as there is dormant power within them,\it is possible, whomever they may be.\I- it won't shorten your life if you do it too much, will it?\All I do is provide the occasion. It has nothing to do with my life.\C- could I bring another one of my friends here?\I am positive that he has an incredible amount of power lying dormant.\Bring him here. The more strong just men we have, the better. response:	Right! I'll go bring him right now!
context: As long as there is dormant power within them,\it is possible, whomever they may be.\I- it won't shorten your life if you do it too much, will it?\All I do is provide the occasion. It has nothing to do with my life.\C- could I bring another one of my friends here?\I am positive that he has an incredible amount of power lying dormant.\Bring him here. The more strong just men we have, the better.\Right! I'll go bring him right now! response:	U- uh... as for this...
context: it is possible, whomever they may be.\I- it won't shorten your life if you do it too much, will it?\All I do is provide the occasion. It has nothing to do with my life.\C- could I bring another one of my friends here?\I am positive that he has an incredible amount of power lying dormant.\Bring him here. The more strong just men we have, the better.\Right! I'll go bring him right now!\U- uh... as for this... response:	Please take it with you.
context: I- it won't shorten your life if you do it too much, will it?\All I do is provide the occasion. It has nothing to do with my life.\C- could I bring another one of my friends here?\I am positive that he has an incredible amount of power lying dormant.\Bring him here. The more strong just men we have, the better.\Right! I'll go bring him right now!\U- uh... as for this...\Please take it with you. response:	I am leaving the future of this world and the universe to you.
context: All I do is provide the occasion. It has nothing to do with my life.\C- could I bring another one of my friends here?\I am positive that he has an incredible amount of power lying dormant.\Bring him here. The more strong just men we have, the better.\Right! I'll go bring him right now!\U- uh... as for this...\Please take it with you.\I am leaving the future of this world and the universe to you. response:	Dende, wait here. I'll go get Gohan and bring him right back here.
context: C- could I bring another one of my friends here?\I am positive that he has an incredible amount of power lying dormant.\Bring him here. The more strong just men we have, the better.\Right! I'll go bring him right now!\U- uh... as for this...\Please take it with you.\I am leaving the future of this world and the universe to you.\Dende, wait here. I'll go get Gohan and bring him right back here. response:	P- please be careful.
context: I am positive that he has an incredible amount of power lying dormant.\Bring him here. The more strong just men we have, the better.\Right! I'll go bring him right now!\U- uh... as for this...\Please take it with you.\I am leaving the future of this world and the universe to you.\Dende, wait here. I'll go get Gohan and bring him right back here.\P- please be careful. response:	Grand Elder- sama!
context: Bring him here. The more strong just men we have, the better.\Right! I'll go bring him right now!\U- uh... as for this...\Please take it with you.\I am leaving the future of this world and the universe to you.\Dende, wait here. I'll go get Gohan and bring him right back here.\P- please be careful.\Grand Elder- sama! response:	This is awesome! I can't believe I had this kind of power within me!
context: Right! I'll go bring him right now!\U- uh... as for this...\Please take it with you.\I am leaving the future of this world and the universe to you.\Dende, wait here. I'll go get Gohan and bring him right back here.\P- please be careful.\Grand Elder- sama!\This is awesome! I can't believe I had this kind of power within me! response:	I should be able to pick up Gohan in a few hours like this!
context: U- uh... as for this...\Please take it with you.\I am leaving the future of this world and the universe to you.\Dende, wait here. I'll go get Gohan and bring him right back here.\P- please be careful.\Grand Elder- sama!\This is awesome! I can't believe I had this kind of power within me!\I should be able to pick up Gohan in a few hours like this! response:	H- how can this be!?
context: Please take it with you.\I am leaving the future of this world and the universe to you.\Dende, wait here. I'll go get Gohan and bring him right back here.\P- please be careful.\Grand Elder- sama!\This is awesome! I can't believe I had this kind of power within me!\I should be able to pick up Gohan in a few hours like this!\H- how can this be!? response:	A village we haven't attacked yet has been exterminated!
context: I am leaving the future of this world and the universe to you.\Dende, wait here. I'll go get Gohan and bring him right back here.\P- please be careful.\Grand Elder- sama!\This is awesome! I can't believe I had this kind of power within me!\I should be able to pick up Gohan in a few hours like this!\H- how can this be!?\A village we haven't attacked yet has been exterminated! response:	lf I submerge the Dragon Ball here, no one will be able to find it.
context: Dende, wait here. I'll go get Gohan and bring him right back here.\P- please be careful.\Grand Elder- sama!\This is awesome! I can't believe I had this kind of power within me!\I should be able to pick up Gohan in a few hours like this!\H- how can this be!?\A village we haven't attacked yet has been exterminated!\lf I submerge the Dragon Ball here, no one will be able to find it. response:	Whatever it takes, I have to get that Dragon Ball...
context: P- please be careful.\Grand Elder- sama!\This is awesome! I can't believe I had this kind of power within me!\I should be able to pick up Gohan in a few hours like this!\H- how can this be!?\A village we haven't attacked yet has been exterminated!\lf I submerge the Dragon Ball here, no one will be able to find it.\Whatever it takes, I have to get that Dragon Ball... response:	What happened? Who overcame you?
context: Grand Elder- sama!\This is awesome! I can't believe I had this kind of power within me!\I should be able to pick up Gohan in a few hours like this!\H- how can this be!?\A village we haven't attacked yet has been exterminated!\lf I submerge the Dragon Ball here, no one will be able to find it.\Whatever it takes, I have to get that Dragon Ball...\What happened? Who overcame you? response:	A S- Saiyan... came for the Dragon Ball...
context: This is awesome! I can't believe I had this kind of power within me!\I should be able to pick up Gohan in a few hours like this!\H- how can this be!?\A village we haven't attacked yet has been exterminated!\lf I submerge the Dragon Ball here, no one will be able to find it.\Whatever it takes, I have to get that Dragon Ball...\What happened? Who overcame you?\A S- Saiyan... came for the Dragon Ball... response:	So it was Vegeta, was it?
