context: Anyway, I won't leave you before you meet your destined calamity. response:	Who told you that I'm going to meet my destined calamity?
context: High God Mo Yuan!\High God Mo Yuan?\That was High God Mo Yuan in the front!\Greetings to Master!\I've kept all of you waiting.\- Master! - Master!\Zi Lan sent us news a few days ago that\the divine energy in Kunlun Mountain rose greatly response:	and the bell rang on for a long time.
context: High God Mo Yuan?\That was High God Mo Yuan in the front!\Greetings to Master!\I've kept all of you waiting.\- Master! - Master!\Zi Lan sent us news a few days ago that\the divine energy in Kunlun Mountain rose greatly\and the bell rang on for a long time. response:	Although we didn't know what that meant
context: That was High God Mo Yuan in the front!\Greetings to Master!\I've kept all of you waiting.\- Master! - Master!\Zi Lan sent us news a few days ago that\the divine energy in Kunlun Mountain rose greatly\and the bell rang on for a long time.\Although we didn't know what that meant response:	all the disciples rushed back here overnight.
context: Greetings to Master!\I've kept all of you waiting.\- Master! - Master!\Zi Lan sent us news a few days ago that\the divine energy in Kunlun Mountain rose greatly\and the bell rang on for a long time.\Although we didn't know what that meant\all the disciples rushed back here overnight. response:	We didn't know when Master would return to Kunlun Mountain
context: I've kept all of you waiting.\- Master! - Master!\Zi Lan sent us news a few days ago that\the divine energy in Kunlun Mountain rose greatly\and the bell rang on for a long time.\Although we didn't know what that meant\all the disciples rushed back here overnight.\We didn't know when Master would return to Kunlun Mountain response:	but we all knew that you would return to Kunlun Mountain.
context: - Master! - Master!\Zi Lan sent us news a few days ago that\the divine energy in Kunlun Mountain rose greatly\and the bell rang on for a long time.\Although we didn't know what that meant\all the disciples rushed back here overnight.\We didn't know when Master would return to Kunlun Mountain\but we all knew that you would return to Kunlun Mountain. response:	Then in the Eastern Sea
context: Zi Lan sent us news a few days ago that\the divine energy in Kunlun Mountain rose greatly\and the bell rang on for a long time.\Although we didn't know what that meant\all the disciples rushed back here overnight.\We didn't know when Master would return to Kunlun Mountain\but we all knew that you would return to Kunlun Mountain.\Then in the Eastern Sea response:	I learned that Master had borrowed my brother's body to nurse your spirit.
context: the divine energy in Kunlun Mountain rose greatly\and the bell rang on for a long time.\Although we didn't know what that meant\all the disciples rushed back here overnight.\We didn't know when Master would return to Kunlun Mountain\but we all knew that you would return to Kunlun Mountain.\Then in the Eastern Sea\I learned that Master had borrowed my brother's body to nurse your spirit. response:	Although he took the elixir
context: and the bell rang on for a long time.\Although we didn't know what that meant\all the disciples rushed back here overnight.\We didn't know when Master would return to Kunlun Mountain\but we all knew that you would return to Kunlun Mountain.\Then in the Eastern Sea\I learned that Master had borrowed my brother's body to nurse your spirit.\Although he took the elixir response:	I thought that it would at least take three months.
context: Although we didn't know what that meant\all the disciples rushed back here overnight.\We didn't know when Master would return to Kunlun Mountain\but we all knew that you would return to Kunlun Mountain.\Then in the Eastern Sea\I learned that Master had borrowed my brother's body to nurse your spirit.\Although he took the elixir\I thought that it would at least take three months. response:	Yet here in the Grand Hall
context: all the disciples rushed back here overnight.\We didn't know when Master would return to Kunlun Mountain\but we all knew that you would return to Kunlun Mountain.\Then in the Eastern Sea\I learned that Master had borrowed my brother's body to nurse your spirit.\Although he took the elixir\I thought that it would at least take three months.\Yet here in the Grand Hall response:	we could sense your celestial aura lingering outside the entrance.
context: We didn't know when Master would return to Kunlun Mountain\but we all knew that you would return to Kunlun Mountain.\Then in the Eastern Sea\I learned that Master had borrowed my brother's body to nurse your spirit.\Although he took the elixir\I thought that it would at least take three months.\Yet here in the Grand Hall\we could sense your celestial aura lingering outside the entrance. response:	at the entrance of the mountain.
context: but we all knew that you would return to Kunlun Mountain.\Then in the Eastern Sea\I learned that Master had borrowed my brother's body to nurse your spirit.\Although he took the elixir\I thought that it would at least take three months.\Yet here in the Grand Hall\we could sense your celestial aura lingering outside the entrance.\at the entrance of the mountain. response:	Master, you've been away for 70,000 years.
context: Then in the Eastern Sea\I learned that Master had borrowed my brother's body to nurse your spirit.\Although he took the elixir\I thought that it would at least take three months.\Yet here in the Grand Hall\we could sense your celestial aura lingering outside the entrance.\at the entrance of the mountain.\Master, you've been away for 70,000 years. response:	You've finally returned...
context: I learned that Master had borrowed my brother's body to nurse your spirit.\Although he took the elixir\I thought that it would at least take three months.\Yet here in the Grand Hall\we could sense your celestial aura lingering outside the entrance.\at the entrance of the mountain.\Master, you've been away for 70,000 years.\You've finally returned... response:	Get up now.
context: Although he took the elixir\I thought that it would at least take three months.\Yet here in the Grand Hall\we could sense your celestial aura lingering outside the entrance.\at the entrance of the mountain.\Master, you've been away for 70,000 years.\You've finally returned...\Get up now. response:	Get up.
context: I thought that it would at least take three months.\Yet here in the Grand Hall\we could sense your celestial aura lingering outside the entrance.\at the entrance of the mountain.\Master, you've been away for 70,000 years.\You've finally returned...\Get up now.\Get up. response:	Master, I have a matter to report.
context: Yet here in the Grand Hall\we could sense your celestial aura lingering outside the entrance.\at the entrance of the mountain.\Master, you've been away for 70,000 years.\You've finally returned...\Get up now.\Get up.\Master, I have a matter to report. response:	Ever since Master left
context: we could sense your celestial aura lingering outside the entrance.\at the entrance of the mountain.\Master, you've been away for 70,000 years.\You've finally returned...\Get up now.\Get up.\Master, I have a matter to report.\Ever since Master left response:	Seventeenth had also disappeared for some reason unknown.
context: at the entrance of the mountain.\Master, you've been away for 70,000 years.\You've finally returned...\Get up now.\Get up.\Master, I have a matter to report.\Ever since Master left\Seventeenth had also disappeared for some reason unknown. response:	We've been searching for him all these years to no avail.
context: Master, you've been away for 70,000 years.\You've finally returned...\Get up now.\Get up.\Master, I have a matter to report.\Ever since Master left\Seventeenth had also disappeared for some reason unknown.\We've been searching for him all these years to no avail. response:	I'm afraid that he might have come to a grim end.
context: You've finally returned...\Get up now.\Get up.\Master, I have a matter to report.\Ever since Master left\Seventeenth had also disappeared for some reason unknown.\We've been searching for him all these years to no avail.\I'm afraid that he might have come to a grim end. response:	I didn't.
context: Get up now.\Get up.\Master, I have a matter to report.\Ever since Master left\Seventeenth had also disappeared for some reason unknown.\We've been searching for him all these years to no avail.\I'm afraid that he might have come to a grim end.\I didn't. response:	This is...
context: Get up.\Master, I have a matter to report.\Ever since Master left\Seventeenth had also disappeared for some reason unknown.\We've been searching for him all these years to no avail.\I'm afraid that he might have come to a grim end.\I didn't.\This is... response:	Seniors, I am Si Yin.
context: Master, I have a matter to report.\Ever since Master left\Seventeenth had also disappeared for some reason unknown.\We've been searching for him all these years to no avail.\I'm afraid that he might have come to a grim end.\I didn't.\This is...\Seniors, I am Si Yin. response:	- This is... - Master.
context: Ever since Master left\Seventeenth had also disappeared for some reason unknown.\We've been searching for him all these years to no avail.\I'm afraid that he might have come to a grim end.\I didn't.\This is...\Seniors, I am Si Yin.\- This is... - Master. response:	This is...
context: Seventeenth had also disappeared for some reason unknown.\We've been searching for him all these years to no avail.\I'm afraid that he might have come to a grim end.\I didn't.\This is...\Seniors, I am Si Yin.\- This is... - Master.\This is... response:	Master.
context: We've been searching for him all these years to no avail.\I'm afraid that he might have come to a grim end.\I didn't.\This is...\Seniors, I am Si Yin.\- This is... - Master.\This is...\Master. response:	- She's Seventeenth? - Seventeenth?
context: I'm afraid that he might have come to a grim end.\I didn't.\This is...\Seniors, I am Si Yin.\- This is... - Master.\This is...\Master.\- She's Seventeenth? - Seventeenth? response:	Master, I was the one who drugged all my seniors back then.
context: I didn't.\This is...\Seniors, I am Si Yin.\- This is... - Master.\This is...\Master.\- She's Seventeenth? - Seventeenth?\Master, I was the one who drugged all my seniors back then. response:	What?
context: This is...\Seniors, I am Si Yin.\- This is... - Master.\This is...\Master.\- She's Seventeenth? - Seventeenth?\Master, I was the one who drugged all my seniors back then.\What? response:	I then took your body with me down Kunlun Mountain overnight.
context: Seniors, I am Si Yin.\- This is... - Master.\This is...\Master.\- She's Seventeenth? - Seventeenth?\Master, I was the one who drugged all my seniors back then.\What?\I then took your body with me down Kunlun Mountain overnight. response:	I shouldn't have kept this from Master.
context: - This is... - Master.\This is...\Master.\- She's Seventeenth? - Seventeenth?\Master, I was the one who drugged all my seniors back then.\What?\I then took your body with me down Kunlun Mountain overnight.\I shouldn't have kept this from Master. response:	But 16th Senior didn't mention it just now.
context: This is...\Master.\- She's Seventeenth? - Seventeenth?\Master, I was the one who drugged all my seniors back then.\What?\I then took your body with me down Kunlun Mountain overnight.\I shouldn't have kept this from Master.\But 16th Senior didn't mention it just now. response:	He must be trying to cover it up for me.
context: Master.\- She's Seventeenth? - Seventeenth?\Master, I was the one who drugged all my seniors back then.\What?\I then took your body with me down Kunlun Mountain overnight.\I shouldn't have kept this from Master.\But 16th Senior didn't mention it just now.\He must be trying to cover it up for me. response:	- This is... - This is...
context: - She's Seventeenth? - Seventeenth?\Master, I was the one who drugged all my seniors back then.\What?\I then took your body with me down Kunlun Mountain overnight.\I shouldn't have kept this from Master.\But 16th Senior didn't mention it just now.\He must be trying to cover it up for me.\- This is... - This is... response:	Seventeenth?
context: Master, I was the one who drugged all my seniors back then.\What?\I then took your body with me down Kunlun Mountain overnight.\I shouldn't have kept this from Master.\But 16th Senior didn't mention it just now.\He must be trying to cover it up for me.\- This is... - This is...\Seventeenth? response:	Seventeenth!
context: What?\I then took your body with me down Kunlun Mountain overnight.\I shouldn't have kept this from Master.\But 16th Senior didn't mention it just now.\He must be trying to cover it up for me.\- This is... - This is...\Seventeenth?\Seventeenth! response:	10th Senior did say that
context: I then took your body with me down Kunlun Mountain overnight.\I shouldn't have kept this from Master.\But 16th Senior didn't mention it just now.\He must be trying to cover it up for me.\- This is... - This is...\Seventeenth?\Seventeenth!\10th Senior did say that response:	Si Yin must have disguised himself and went into hiding.
context: I shouldn't have kept this from Master.\But 16th Senior didn't mention it just now.\He must be trying to cover it up for me.\- This is... - This is...\Seventeenth?\Seventeenth!\10th Senior did say that\Si Yin must have disguised himself and went into hiding. response:	All these years we've search the four seas
context: But 16th Senior didn't mention it just now.\He must be trying to cover it up for me.\- This is... - This is...\Seventeenth?\Seventeenth!\10th Senior did say that\Si Yin must have disguised himself and went into hiding.\All these years we've search the four seas response:	and all eight Far Lands for you but in vain.
context: He must be trying to cover it up for me.\- This is... - This is...\Seventeenth?\Seventeenth!\10th Senior did say that\Si Yin must have disguised himself and went into hiding.\All these years we've search the four seas\and all eight Far Lands for you but in vain. response:	We know that you were hiding from us, but little did we expect you to...
context: - This is... - This is...\Seventeenth?\Seventeenth!\10th Senior did say that\Si Yin must have disguised himself and went into hiding.\All these years we've search the four seas\and all eight Far Lands for you but in vain.\We know that you were hiding from us, but little did we expect you to... response:	You'd even dress up as a female deity to hide from us?
context: Seventeenth?\Seventeenth!\10th Senior did say that\Si Yin must have disguised himself and went into hiding.\All these years we've search the four seas\and all eight Far Lands for you but in vain.\We know that you were hiding from us, but little did we expect you to...\You'd even dress up as a female deity to hide from us? response:	This is...
context: Seventeenth!\10th Senior did say that\Si Yin must have disguised himself and went into hiding.\All these years we've search the four seas\and all eight Far Lands for you but in vain.\We know that you were hiding from us, but little did we expect you to...\You'd even dress up as a female deity to hide from us?\This is... response:	Senior Zi Lan, do you really think that my face is but a disguise of a man?
context: 10th Senior did say that\Si Yin must have disguised himself and went into hiding.\All these years we've search the four seas\and all eight Far Lands for you but in vain.\We know that you were hiding from us, but little did we expect you to...\You'd even dress up as a female deity to hide from us?\This is...\Senior Zi Lan, do you really think that my face is but a disguise of a man? response:	Is this why you never had a bath with us?
context: Si Yin must have disguised himself and went into hiding.\All these years we've search the four seas\and all eight Far Lands for you but in vain.\We know that you were hiding from us, but little did we expect you to...\You'd even dress up as a female deity to hide from us?\This is...\Senior Zi Lan, do you really think that my face is but a disguise of a man?\Is this why you never had a bath with us? response:	You're actually a girl?
context: All these years we've search the four seas\and all eight Far Lands for you but in vain.\We know that you were hiding from us, but little did we expect you to...\You'd even dress up as a female deity to hide from us?\This is...\Senior Zi Lan, do you really think that my face is but a disguise of a man?\Is this why you never had a bath with us?\You're actually a girl? response:	Exactly, she is a girl.
context: and all eight Far Lands for you but in vain.\We know that you were hiding from us, but little did we expect you to...\You'd even dress up as a female deity to hide from us?\This is...\Senior Zi Lan, do you really think that my face is but a disguise of a man?\Is this why you never had a bath with us?\You're actually a girl?\Exactly, she is a girl. response:	I was worried that you wouldn't confess to it.
context: We know that you were hiding from us, but little did we expect you to...\You'd even dress up as a female deity to hide from us?\This is...\Senior Zi Lan, do you really think that my face is but a disguise of a man?\Is this why you never had a bath with us?\You're actually a girl?\Exactly, she is a girl.\I was worried that you wouldn't confess to it. response:	When you arrived dressed as a woman, I knew what you planned to do.
context: You'd even dress up as a female deity to hide from us?\This is...\Senior Zi Lan, do you really think that my face is but a disguise of a man?\Is this why you never had a bath with us?\You're actually a girl?\Exactly, she is a girl.\I was worried that you wouldn't confess to it.\When you arrived dressed as a woman, I knew what you planned to do. response:	I just didn't dare to say it.
context: This is...\Senior Zi Lan, do you really think that my face is but a disguise of a man?\Is this why you never had a bath with us?\You're actually a girl?\Exactly, she is a girl.\I was worried that you wouldn't confess to it.\When you arrived dressed as a woman, I knew what you planned to do.\I just didn't dare to say it. response:	Senior, you already knew but there you stood watching us like some show?
context: Senior Zi Lan, do you really think that my face is but a disguise of a man?\Is this why you never had a bath with us?\You're actually a girl?\Exactly, she is a girl.\I was worried that you wouldn't confess to it.\When you arrived dressed as a woman, I knew what you planned to do.\I just didn't dare to say it.\Senior, you already knew but there you stood watching us like some show? response:	I wouldn't dare treat it as some show.
context: Is this why you never had a bath with us?\You're actually a girl?\Exactly, she is a girl.\I was worried that you wouldn't confess to it.\When you arrived dressed as a woman, I knew what you planned to do.\I just didn't dare to say it.\Senior, you already knew but there you stood watching us like some show?\I wouldn't dare treat it as some show. response:	Now that Seventeenth is High God Bai Qian of Qing Qiu
context: You're actually a girl?\Exactly, she is a girl.\I was worried that you wouldn't confess to it.\When you arrived dressed as a woman, I knew what you planned to do.\I just didn't dare to say it.\Senior, you already knew but there you stood watching us like some show?\I wouldn't dare treat it as some show.\Now that Seventeenth is High God Bai Qian of Qing Qiu response:	nearly all deities have to address her as Auntie in the realms
context: Exactly, she is a girl.\I was worried that you wouldn't confess to it.\When you arrived dressed as a woman, I knew what you planned to do.\I just didn't dare to say it.\Senior, you already knew but there you stood watching us like some show?\I wouldn't dare treat it as some show.\Now that Seventeenth is High God Bai Qian of Qing Qiu\nearly all deities have to address her as Auntie in the realms response:	I'd have to greet her formally according to our ranks.
context: I was worried that you wouldn't confess to it.\When you arrived dressed as a woman, I knew what you planned to do.\I just didn't dare to say it.\Senior, you already knew but there you stood watching us like some show?\I wouldn't dare treat it as some show.\Now that Seventeenth is High God Bai Qian of Qing Qiu\nearly all deities have to address her as Auntie in the realms\I'd have to greet her formally according to our ranks. response:	Therefore, Sixteenth, how would I dare speak for Seventeenth?
context: When you arrived dressed as a woman, I knew what you planned to do.\I just didn't dare to say it.\Senior, you already knew but there you stood watching us like some show?\I wouldn't dare treat it as some show.\Now that Seventeenth is High God Bai Qian of Qing Qiu\nearly all deities have to address her as Auntie in the realms\I'd have to greet her formally according to our ranks.\Therefore, Sixteenth, how would I dare speak for Seventeenth? response:	How would I dare say a word before she does?
