context: Pre! Preparation! response:	I'm not strong
context: P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff response:	I'm only worrying about things that don't matter
context: P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter response:	How does it feel? It feels like that
context: If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that response:	You're gentle and sincere yet eccentric
context: I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric response:	I pretend to be strong all over and compete against you
context: What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you response:	Just by being honest, it's so stimulating and I feel dizzy
context: But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy response:	I get hurt, I hurt you, in a preparation of pure feelings
context: Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings response:	In my head, there's always a pre-parade of pure feelings all by myself
context: Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself response:	ba ni ra
context: I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra response:	With vanilla salt
context: How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt response:	vanilla
context: You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla response:	If it's just sweet
context: I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet response:	Then let's put salt on
context: Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on response:	Because I want you to know more about me
context: I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me response:	More than anyone else, I want to bare my self
context: In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self response:	But I can't do it, I've got nothing for experience
context: ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience response:	It's too frustrating
context: With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating response:	But a love that's just sweet
context: vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet response:	Is slightly different from what I'm seeking
context: If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking response:	If I'm told it's white
context: Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white response:	I'd say it's black
context: Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black response:	I can't be honest
context: More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest response:	I say one thing but do another
context: But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another response:	If I'm told, I love you
context: It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you response:	I'd say, I hate you
context: But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you response:	I'm happy, but what am I saying?
context: Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying? response:	Like putting salt
context: If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt response:	Into sweet vanilla...
context: I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla... response:	Takasu Ryuuji's Pen
context: I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Takasu Ryuuji's Pen response:	True Stories of Fear
context: I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Takasu Ryuuji's Pen\True Stories of Fear response:	from the Islands of Japan
context: If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Takasu Ryuuji's Pen\True Stories of Fear\from the Islands of Japan response:	- I gave birth to puppies! -
context: I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Takasu Ryuuji's Pen\True Stories of Fear\from the Islands of Japan\- I gave birth to puppies! - response:	You, who are going to the sea
context: I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\Takasu Ryuuji's Pen\True Stories of Fear\from the Islands of Japan\- I gave birth to puppies! -\You, who are going to the sea response:	Next Episode Preview
context: Like putting salt\Into sweet vanilla...\Takasu Ryuuji's Pen\True Stories of Fear\from the Islands of Japan\- I gave birth to puppies! -\You, who are going to the sea\Next Episode Preview response:	Fireworks
context: Into sweet vanilla...\Takasu Ryuuji's Pen\True Stories of Fear\from the Islands of Japan\- I gave birth to puppies! -\You, who are going to the sea\Next Episode Preview\Fireworks response:	Please...
context: Takasu Ryuuji's Pen\True Stories of Fear\from the Islands of Japan\- I gave birth to puppies! -\You, who are going to the sea\Next Episode Preview\Fireworks\Please... response:	Please marry me!
context: True Stories of Fear\from the Islands of Japan\- I gave birth to puppies! -\You, who are going to the sea\Next Episode Preview\Fireworks\Please...\Please marry me! response:	I guess I have no choice.
context: from the Islands of Japan\- I gave birth to puppies! -\You, who are going to the sea\Next Episode Preview\Fireworks\Please...\Please marry me!\I guess I have no choice. response:	If you insist, I'll marry you.
context: - I gave birth to puppies! -\You, who are going to the sea\Next Episode Preview\Fireworks\Please...\Please marry me!\I guess I have no choice.\If you insist, I'll marry you. response:	Ryuu-chan, look, look!
context: You, who are going to the sea\Next Episode Preview\Fireworks\Please...\Please marry me!\I guess I have no choice.\If you insist, I'll marry you.\Ryuu-chan, look, look! response:	Taiga-chan gave birth to so many puppies!
context: Next Episode Preview\Fireworks\Please...\Please marry me!\I guess I have no choice.\If you insist, I'll marry you.\Ryuu-chan, look, look!\Taiga-chan gave birth to so many puppies! response:	They're your kids.
context: Fireworks\Please...\Please marry me!\I guess I have no choice.\If you insist, I'll marry you.\Ryuu-chan, look, look!\Taiga-chan gave birth to so many puppies!\They're your kids. response:	A dream?
context: Please...\Please marry me!\I guess I have no choice.\If you insist, I'll marry you.\Ryuu-chan, look, look!\Taiga-chan gave birth to so many puppies!\They're your kids.\A dream? response:	Even though it's finally summer break,
context: Please marry me!\I guess I have no choice.\If you insist, I'll marry you.\Ryuu-chan, look, look!\Taiga-chan gave birth to so many puppies!\They're your kids.\A dream?\Even though it's finally summer break, response:	I'm having these dreams because of the stupid DVDs we rented.
context: I guess I have no choice.\If you insist, I'll marry you.\Ryuu-chan, look, look!\Taiga-chan gave birth to so many puppies!\They're your kids.\A dream?\Even though it's finally summer break,\I'm having these dreams because of the stupid DVDs we rented. response:	Even for a dream, that's one awful future.
context: If you insist, I'll marry you.\Ryuu-chan, look, look!\Taiga-chan gave birth to so many puppies!\They're your kids.\A dream?\Even though it's finally summer break,\I'm having these dreams because of the stupid DVDs we rented.\Even for a dream, that's one awful future. response:	Oh, Taiga!
context: Ryuu-chan, look, look!\Taiga-chan gave birth to so many puppies!\They're your kids.\A dream?\Even though it's finally summer break,\I'm having these dreams because of the stupid DVDs we rented.\Even for a dream, that's one awful future.\Oh, Taiga! response:	I had a bad dream.
context: Taiga-chan gave birth to so many puppies!\They're your kids.\A dream?\Even though it's finally summer break,\I'm having these dreams because of the stupid DVDs we rented.\Even for a dream, that's one awful future.\Oh, Taiga!\I had a bad dream. response:	You were a dog, and my husband was the dog.
context: They're your kids.\A dream?\Even though it's finally summer break,\I'm having these dreams because of the stupid DVDs we rented.\Even for a dream, that's one awful future.\Oh, Taiga!\I had a bad dream.\You were a dog, and my husband was the dog. response:	Anyway,
context: A dream?\Even though it's finally summer break,\I'm having these dreams because of the stupid DVDs we rented.\Even for a dream, that's one awful future.\Oh, Taiga!\I had a bad dream.\You were a dog, and my husband was the dog.\Anyway, response:	it was a horrible dream.
context: Even though it's finally summer break,\I'm having these dreams because of the stupid DVDs we rented.\Even for a dream, that's one awful future.\Oh, Taiga!\I had a bad dream.\You were a dog, and my husband was the dog.\Anyway,\it was a horrible dream. response:	A premonition?
context: I'm having these dreams because of the stupid DVDs we rented.\Even for a dream, that's one awful future.\Oh, Taiga!\I had a bad dream.\You were a dog, and my husband was the dog.\Anyway,\it was a horrible dream.\A premonition? response:	Yes.
context: Even for a dream, that's one awful future.\Oh, Taiga!\I had a bad dream.\You were a dog, and my husband was the dog.\Anyway,\it was a horrible dream.\A premonition?\Yes. response:	It was a warning,
context: Oh, Taiga!\I had a bad dream.\You were a dog, and my husband was the dog.\Anyway,\it was a horrible dream.\A premonition?\Yes.\It was a warning, response:	telling me that if I don't work out a counter-plan,
context: I had a bad dream.\You were a dog, and my husband was the dog.\Anyway,\it was a horrible dream.\A premonition?\Yes.\It was a warning,\telling me that if I don't work out a counter-plan, response:	that is what the future holds.
context: You were a dog, and my husband was the dog.\Anyway,\it was a horrible dream.\A premonition?\Yes.\It was a warning,\telling me that if I don't work out a counter-plan,\that is what the future holds. response:	That's what that dream was.
context: Anyway,\it was a horrible dream.\A premonition?\Yes.\It was a warning,\telling me that if I don't work out a counter-plan,\that is what the future holds.\That's what that dream was. response:	So to change the future,
context: it was a horrible dream.\A premonition?\Yes.\It was a warning,\telling me that if I don't work out a counter-plan,\that is what the future holds.\That's what that dream was.\So to change the future, response:	one side should fully support the other starting with the trip tomorrow.
context: A premonition?\Yes.\It was a warning,\telling me that if I don't work out a counter-plan,\that is what the future holds.\That's what that dream was.\So to change the future,\one side should fully support the other starting with the trip tomorrow. response:	I understand that, but...
context: Yes.\It was a warning,\telling me that if I don't work out a counter-plan,\that is what the future holds.\That's what that dream was.\So to change the future,\one side should fully support the other starting with the trip tomorrow.\I understand that, but... response:	Like I said,
context: It was a warning,\telling me that if I don't work out a counter-plan,\that is what the future holds.\That's what that dream was.\So to change the future,\one side should fully support the other starting with the trip tomorrow.\I understand that, but...\Like I said, response:	we're going to decide!
context: telling me that if I don't work out a counter-plan,\that is what the future holds.\That's what that dream was.\So to change the future,\one side should fully support the other starting with the trip tomorrow.\I understand that, but...\Like I said,\we're going to decide! response:	Decide who's doing what!
context: that is what the future holds.\That's what that dream was.\So to change the future,\one side should fully support the other starting with the trip tomorrow.\I understand that, but...\Like I said,\we're going to decide!\Decide who's doing what! response:	Listen, be careful when using the stove.
context: That's what that dream was.\So to change the future,\one side should fully support the other starting with the trip tomorrow.\I understand that, but...\Like I said,\we're going to decide!\Decide who's doing what!\Listen, be careful when using the stove. response:	Stir the rice bran once a day.
context: So to change the future,\one side should fully support the other starting with the trip tomorrow.\I understand that, but...\Like I said,\we're going to decide!\Decide who's doing what!\Listen, be careful when using the stove.\Stir the rice bran once a day. response:	Make sure to change Inko-chan's water in the morning.
context: one side should fully support the other starting with the trip tomorrow.\I understand that, but...\Like I said,\we're going to decide!\Decide who's doing what!\Listen, be careful when using the stove.\Stir the rice bran once a day.\Make sure to change Inko-chan's water in the morning. response:	Read the rest in the note I left behind.
context: I understand that, but...\Like I said,\we're going to decide!\Decide who's doing what!\Listen, be careful when using the stove.\Stir the rice bran once a day.\Make sure to change Inko-chan's water in the morning.\Read the rest in the note I left behind. response:	Well, I'll be going, then.
context: Like I said,\we're going to decide!\Decide who's doing what!\Listen, be careful when using the stove.\Stir the rice bran once a day.\Make sure to change Inko-chan's water in the morning.\Read the rest in the note I left behind.\Well, I'll be going, then. response:	Going? Where?
context: we're going to decide!\Decide who's doing what!\Listen, be careful when using the stove.\Stir the rice bran once a day.\Make sure to change Inko-chan's water in the morning.\Read the rest in the note I left behind.\Well, I'll be going, then.\Going? Where? response:	Didn't I tell you already? On a trip.
context: Decide who's doing what!\Listen, be careful when using the stove.\Stir the rice bran once a day.\Make sure to change Inko-chan's water in the morning.\Read the rest in the note I left behind.\Well, I'll be going, then.\Going? Where?\Didn't I tell you already? On a trip. response:	See you, Ya-chan.
context: Listen, be careful when using the stove.\Stir the rice bran once a day.\Make sure to change Inko-chan's water in the morning.\Read the rest in the note I left behind.\Well, I'll be going, then.\Going? Where?\Didn't I tell you already? On a trip.\See you, Ya-chan. response:	Looks like the weather's going to be great!
context: Stir the rice bran once a day.\Make sure to change Inko-chan's water in the morning.\Read the rest in the note I left behind.\Well, I'll be going, then.\Going? Where?\Didn't I tell you already? On a trip.\See you, Ya-chan.\Looks like the weather's going to be great! response:	So I'm counting on you for that plan.
context: Make sure to change Inko-chan's water in the morning.\Read the rest in the note I left behind.\Well, I'll be going, then.\Going? Where?\Didn't I tell you already? On a trip.\See you, Ya-chan.\Looks like the weather's going to be great!\So I'm counting on you for that plan. response:	Hey, you sure it's okay?
context: Read the rest in the note I left behind.\Well, I'll be going, then.\Going? Where?\Didn't I tell you already? On a trip.\See you, Ya-chan.\Looks like the weather's going to be great!\So I'm counting on you for that plan.\Hey, you sure it's okay? response:	Yeah! It's your win, okay?
context: Well, I'll be going, then.\Going? Where?\Didn't I tell you already? On a trip.\See you, Ya-chan.\Looks like the weather's going to be great!\So I'm counting on you for that plan.\Hey, you sure it's okay?\Yeah! It's your win, okay? response:	Now hurry up and get this thing off me!
context: Going? Where?\Didn't I tell you already? On a trip.\See you, Ya-chan.\Looks like the weather's going to be great!\So I'm counting on you for that plan.\Hey, you sure it's okay?\Yeah! It's your win, okay?\Now hurry up and get this thing off me! response:	If it weren't for that dumb dog getting involved, I would have won!
context: Didn't I tell you already? On a trip.\See you, Ya-chan.\Looks like the weather's going to be great!\So I'm counting on you for that plan.\Hey, you sure it's okay?\Yeah! It's your win, okay?\Now hurry up and get this thing off me!\If it weren't for that dumb dog getting involved, I would have won! response:	It was punishment for setting up a match in something you're good at.
context: See you, Ya-chan.\Looks like the weather's going to be great!\So I'm counting on you for that plan.\Hey, you sure it's okay?\Yeah! It's your win, okay?\Now hurry up and get this thing off me!\If it weren't for that dumb dog getting involved, I would have won!\It was punishment for setting up a match in something you're good at. response:	Sheesh. Nothing good ever comes out of anything involving dogs.
context: Looks like the weather's going to be great!\So I'm counting on you for that plan.\Hey, you sure it's okay?\Yeah! It's your win, okay?\Now hurry up and get this thing off me!\If it weren't for that dumb dog getting involved, I would have won!\It was punishment for setting up a match in something you're good at.\Sheesh. Nothing good ever comes out of anything involving dogs. response:	Still, will it really go smoothly?
context: So I'm counting on you for that plan.\Hey, you sure it's okay?\Yeah! It's your win, okay?\Now hurry up and get this thing off me!\If it weren't for that dumb dog getting involved, I would have won!\It was punishment for setting up a match in something you're good at.\Sheesh. Nothing good ever comes out of anything involving dogs.\Still, will it really go smoothly? response:	Just leave it to me.
context: Hey, you sure it's okay?\Yeah! It's your win, okay?\Now hurry up and get this thing off me!\If it weren't for that dumb dog getting involved, I would have won!\It was punishment for setting up a match in something you're good at.\Sheesh. Nothing good ever comes out of anything involving dogs.\Still, will it really go smoothly?\Just leave it to me. response:	When this trip is over, your relationship with Minorin will be -
context: Yeah! It's your win, okay?\Now hurry up and get this thing off me!\If it weren't for that dumb dog getting involved, I would have won!\It was punishment for setting up a match in something you're good at.\Sheesh. Nothing good ever comes out of anything involving dogs.\Still, will it really go smoothly?\Just leave it to me.\When this trip is over, your relationship with Minorin will be - response:	What?
context: Now hurry up and get this thing off me!\If it weren't for that dumb dog getting involved, I would have won!\It was punishment for setting up a match in something you're good at.\Sheesh. Nothing good ever comes out of anything involving dogs.\Still, will it really go smoothly?\Just leave it to me.\When this trip is over, your relationship with Minorin will be -\What? response:	Something wrong?
context: If it weren't for that dumb dog getting involved, I would have won!\It was punishment for setting up a match in something you're good at.\Sheesh. Nothing good ever comes out of anything involving dogs.\Still, will it really go smoothly?\Just leave it to me.\When this trip is over, your relationship with Minorin will be -\What?\Something wrong? response:	Good morning!
context: It was punishment for setting up a match in something you're good at.\Sheesh. Nothing good ever comes out of anything involving dogs.\Still, will it really go smoothly?\Just leave it to me.\When this trip is over, your relationship with Minorin will be -\What?\Something wrong?\Good morning! response:	You're right on time!
context: Sheesh. Nothing good ever comes out of anything involving dogs.\Still, will it really go smoothly?\Just leave it to me.\When this trip is over, your relationship with Minorin will be -\What?\Something wrong?\Good morning!\You're right on time! response:	Fabulous! Simply fabulous!
context: Still, will it really go smoothly?\Just leave it to me.\When this trip is over, your relationship with Minorin will be -\What?\Something wrong?\Good morning!\You're right on time!\Fabulous! Simply fabulous! response:	What's wrong?!
context: Just leave it to me.\When this trip is over, your relationship with Minorin will be -\What?\Something wrong?\Good morning!\You're right on time!\Fabulous! Simply fabulous!\What's wrong?! response:	Where's the energy?!
context: When this trip is over, your relationship with Minorin will be -\What?\Something wrong?\Good morning!\You're right on time!\Fabulous! Simply fabulous!\What's wrong?!\Where's the energy?! response:	Make some noise!
context: What?\Something wrong?\Good morning!\You're right on time!\Fabulous! Simply fabulous!\What's wrong?!\Where's the energy?!\Make some noise! response:	Y-Yeah.
context: Something wrong?\Good morning!\You're right on time!\Fabulous! Simply fabulous!\What's wrong?!\Where's the energy?!\Make some noise!\Y-Yeah. response:	What's that?
context: Good morning!\You're right on time!\Fabulous! Simply fabulous!\What's wrong?!\Where's the energy?!\Make some noise!\Y-Yeah.\What's that? response:	My, the weather seems to be in our favour!
context: You're right on time!\Fabulous! Simply fabulous!\What's wrong?!\Where's the energy?!\Make some noise!\Y-Yeah.\What's that?\My, the weather seems to be in our favour! response:	Don't look!
context: Fabulous! Simply fabulous!\What's wrong?!\Where's the energy?!\Make some noise!\Y-Yeah.\What's that?\My, the weather seems to be in our favour!\Don't look! response:	Y-Yeah.
context: What's wrong?!\Where's the energy?!\Make some noise!\Y-Yeah.\What's that?\My, the weather seems to be in our favour!\Don't look!\Y-Yeah. response:	Come to think of it, Amin's not here yet.
context: Where's the energy?!\Make some noise!\Y-Yeah.\What's that?\My, the weather seems to be in our favour!\Don't look!\Y-Yeah.\Come to think of it, Amin's not here yet. response:	There's still some time left.
context: Make some noise!\Y-Yeah.\What's that?\My, the weather seems to be in our favour!\Don't look!\Y-Yeah.\Come to think of it, Amin's not here yet.\There's still some time left. response:	Okay! I've got an idea!
context: Y-Yeah.\What's that?\My, the weather seems to be in our favour!\Don't look!\Y-Yeah.\Come to think of it, Amin's not here yet.\There's still some time left.\Okay! I've got an idea! response:	Huh?
context: What's that?\My, the weather seems to be in our favour!\Don't look!\Y-Yeah.\Come to think of it, Amin's not here yet.\There's still some time left.\Okay! I've got an idea!\Huh? response:	Huh?
context: My, the weather seems to be in our favour!\Don't look!\Y-Yeah.\Come to think of it, Amin's not here yet.\There's still some time left.\Okay! I've got an idea!\Huh?\Huh? response:	Huh?
context: Don't look!\Y-Yeah.\Come to think of it, Amin's not here yet.\There's still some time left.\Okay! I've got an idea!\Huh?\Huh?\Huh? response:	Where are those guys?
context: Y-Yeah.\Come to think of it, Amin's not here yet.\There's still some time left.\Okay! I've got an idea!\Huh?\Huh?\Huh?\Where are those guys? response:	There's nobody here.
context: Come to think of it, Amin's not here yet.\There's still some time left.\Okay! I've got an idea!\Huh?\Huh?\Huh?\Where are those guys?\There's nobody here. response:	H-Hey!
context: There's still some time left.\Okay! I've got an idea!\Huh?\Huh?\Huh?\Where are those guys?\There's nobody here.\H-Hey! response:	You're two minutes late, Ami!
context: Okay! I've got an idea!\Huh?\Huh?\Huh?\Where are those guys?\There's nobody here.\H-Hey!\You're two minutes late, Ami! response:	Good morning, Amin!
context: Huh?\Huh?\Huh?\Where are those guys?\There's nobody here.\H-Hey!\You're two minutes late, Ami!\Good morning, Amin! response:	You're late, Stupid Chihuahua.
context: Huh?\Huh?\Where are those guys?\There's nobody here.\H-Hey!\You're two minutes late, Ami!\Good morning, Amin!\You're late, Stupid Chihuahua. response:	W-Where is everyone?
context: Huh?\Where are those guys?\There's nobody here.\H-Hey!\You're two minutes late, Ami!\Good morning, Amin!\You're late, Stupid Chihuahua.\W-Where is everyone? response:	Hey! Don't run away, Stupid Chihuahua!
context: Where are those guys?\There's nobody here.\H-Hey!\You're two minutes late, Ami!\Good morning, Amin!\You're late, Stupid Chihuahua.\W-Where is everyone?\Hey! Don't run away, Stupid Chihuahua! response:	Ami, we're right here!
context: There's nobody here.\H-Hey!\You're two minutes late, Ami!\Good morning, Amin!\You're late, Stupid Chihuahua.\W-Where is everyone?\Hey! Don't run away, Stupid Chihuahua!\Ami, we're right here! response:	Whoa, this is great!
context: H-Hey!\You're two minutes late, Ami!\Good morning, Amin!\You're late, Stupid Chihuahua.\W-Where is everyone?\Hey! Don't run away, Stupid Chihuahua!\Ami, we're right here!\Whoa, this is great! response:	There's a plum in this that makes it super plum!
context: You're two minutes late, Ami!\Good morning, Amin!\You're late, Stupid Chihuahua.\W-Where is everyone?\Hey! Don't run away, Stupid Chihuahua!\Ami, we're right here!\Whoa, this is great!\There's a plum in this that makes it super plum! response:	Just what I'd expect from Takasu.
context: Good morning, Amin!\You're late, Stupid Chihuahua.\W-Where is everyone?\Hey! Don't run away, Stupid Chihuahua!\Ami, we're right here!\Whoa, this is great!\There's a plum in this that makes it super plum!\Just what I'd expect from Takasu. response:	Want to marry into my family?
context: You're late, Stupid Chihuahua.\W-Where is everyone?\Hey! Don't run away, Stupid Chihuahua!\Ami, we're right here!\Whoa, this is great!\There's a plum in this that makes it super plum!\Just what I'd expect from Takasu.\Want to marry into my family? response:	No, I don't.
context: W-Where is everyone?\Hey! Don't run away, Stupid Chihuahua!\Ami, we're right here!\Whoa, this is great!\There's a plum in this that makes it super plum!\Just what I'd expect from Takasu.\Want to marry into my family?\No, I don't. response:	Geez, you're mean.
