context: Gust of wind... response:	Yes!
context: It's open to take!\I lost two cards the same way...\Ayase-san's doing a wonderful job.\Is she actually left-handed?\She's winning multi-syllable cards she's struggled with.\I can do this.\I can do this!\I can come back. response:	So spring ends...
context: I lost two cards the same way...\Ayase-san's doing a wonderful job.\Is she actually left-handed?\She's winning multi-syllable cards she's struggled with.\I can do this.\I can do this!\I can come back.\So spring ends... response:	Attack to come back!
context: Ayase-san's doing a wonderful job.\Is she actually left-handed?\She's winning multi-syllable cards she's struggled with.\I can do this.\I can do this!\I can come back.\So spring ends...\Attack to come back! response:	Huh?
context: Is she actually left-handed?\She's winning multi-syllable cards she's struggled with.\I can do this.\I can do this!\I can come back.\So spring ends...\Attack to come back!\Huh? response:	Would the mountain cherry blossoms...
context: She's winning multi-syllable cards she's struggled with.\I can do this.\I can do this!\I can come back.\So spring ends...\Attack to come back!\Huh?\Would the mountain cherry blossoms... response:	What?
context: I can do this.\I can do this!\I can come back.\So spring ends...\Attack to come back!\Huh?\Would the mountain cherry blossoms...\What? response:	When winds send waves...
context: I can do this!\I can come back.\So spring ends...\Attack to come back!\Huh?\Would the mountain cherry blossoms...\What?\When winds send waves... response:	I have no problem taking cards on the opponent's side.
context: I can come back.\So spring ends...\Attack to come back!\Huh?\Would the mountain cherry blossoms...\What?\When winds send waves...\I have no problem taking cards on the opponent's side. response:	So why
context: So spring ends...\Attack to come back!\Huh?\Would the mountain cherry blossoms...\What?\When winds send waves...\I have no problem taking cards on the opponent's side.\So why response:	doesn't my body move when it's on my side?
context: Attack to come back!\Huh?\Would the mountain cherry blossoms...\What?\When winds send waves...\I have no problem taking cards on the opponent's side.\So why\doesn't my body move when it's on my side? response:	What's going on?
context: Huh?\Would the mountain cherry blossoms...\What?\When winds send waves...\I have no problem taking cards on the opponent's side.\So why\doesn't my body move when it's on my side?\What's going on? response:	It feels like riding a bike with the brakes held down halfway.
context: Would the mountain cherry blossoms...\What?\When winds send waves...\I have no problem taking cards on the opponent's side.\So why\doesn't my body move when it's on my side?\What's going on?\It feels like riding a bike with the brakes held down halfway. response:	Thank you very much.
context: What?\When winds send waves...\I have no problem taking cards on the opponent's side.\So why\doesn't my body move when it's on my side?\What's going on?\It feels like riding a bike with the brakes held down halfway.\Thank you very much. response:	Thank you very much.
context: When winds send waves...\I have no problem taking cards on the opponent's side.\So why\doesn't my body move when it's on my side?\What's going on?\It feels like riding a bike with the brakes held down halfway.\Thank you very much.\Thank you very much. response:	Their match is already over?!
context: I have no problem taking cards on the opponent's side.\So why\doesn't my body move when it's on my side?\What's going on?\It feels like riding a bike with the brakes held down halfway.\Thank you very much.\Thank you very much.\Their match is already over?! response:	How?!
context: So why\doesn't my body move when it's on my side?\What's going on?\It feels like riding a bike with the brakes held down halfway.\Thank you very much.\Thank you very much.\Their match is already over?!\How?! response:	There haven't been 25 cards read yet.
context: doesn't my body move when it's on my side?\What's going on?\It feels like riding a bike with the brakes held down halfway.\Thank you very much.\Thank you very much.\Their match is already over?!\How?!\There haven't been 25 cards read yet. response:	He won by 27 cards?!
context: What's going on?\It feels like riding a bike with the brakes held down halfway.\Thank you very much.\Thank you very much.\Their match is already over?!\How?!\There haven't been 25 cards read yet.\He won by 27 cards?! response:	He was perfect, plus he got his opponent to commit two faults?!
context: It feels like riding a bike with the brakes held down halfway.\Thank you very much.\Thank you very much.\Their match is already over?!\How?!\There haven't been 25 cards read yet.\He won by 27 cards?!\He was perfect, plus he got his opponent to commit two faults?! response:	What the hell?
context: Thank you very much.\Thank you very much.\Their match is already over?!\How?!\There haven't been 25 cards read yet.\He won by 27 cards?!\He was perfect, plus he got his opponent to commit two faults?!\What the hell? response:	How does that even work?
context: Thank you very much.\Their match is already over?!\How?!\There haven't been 25 cards read yet.\He won by 27 cards?!\He was perfect, plus he got his opponent to commit two faults?!\What the hell?\How does that even work? response:	May the scarlet kadsuras...
context: Their match is already over?!\How?!\There haven't been 25 cards read yet.\He won by 27 cards?!\He was perfect, plus he got his opponent to commit two faults?!\What the hell?\How does that even work?\May the scarlet kadsuras... response:	The Queen is next to finish.
context: How?!\There haven't been 25 cards read yet.\He won by 27 cards?!\He was perfect, plus he got his opponent to commit two faults?!\What the hell?\How does that even work?\May the scarlet kadsuras...\The Queen is next to finish. response:	She won by a perfect 25-0 score.
context: There haven't been 25 cards read yet.\He won by 27 cards?!\He was perfect, plus he got his opponent to commit two faults?!\What the hell?\How does that even work?\May the scarlet kadsuras...\The Queen is next to finish.\She won by a perfect 25-0 score. response:	What about Chihaya?
context: He won by 27 cards?!\He was perfect, plus he got his opponent to commit two faults?!\What the hell?\How does that even work?\May the scarlet kadsuras...\The Queen is next to finish.\She won by a perfect 25-0 score.\What about Chihaya? response:	What kind of karuta does Chihaya play?
context: He was perfect, plus he got his opponent to commit two faults?!\What the hell?\How does that even work?\May the scarlet kadsuras...\The Queen is next to finish.\She won by a perfect 25-0 score.\What about Chihaya?\What kind of karuta does Chihaya play? response:	How does Chihaya
context: What the hell?\How does that even work?\May the scarlet kadsuras...\The Queen is next to finish.\She won by a perfect 25-0 score.\What about Chihaya?\What kind of karuta does Chihaya play?\How does Chihaya response:	play karuta now?
context: How does that even work?\May the scarlet kadsuras...\The Queen is next to finish.\She won by a perfect 25-0 score.\What about Chihaya?\What kind of karuta does Chihaya play?\How does Chihaya\play karuta now? response:	Huh?
context: May the scarlet kadsuras...\The Queen is next to finish.\She won by a perfect 25-0 score.\What about Chihaya?\What kind of karuta does Chihaya play?\How does Chihaya\play karuta now?\Huh? response:	Her right hand's injured?
context: The Queen is next to finish.\She won by a perfect 25-0 score.\What about Chihaya?\What kind of karuta does Chihaya play?\How does Chihaya\play karuta now?\Huh?\Her right hand's injured? response:	She's using her left hand?!
context: She won by a perfect 25-0 score.\What about Chihaya?\What kind of karuta does Chihaya play?\How does Chihaya\play karuta now?\Huh?\Her right hand's injured?\She's using her left hand?! response:	Impassioned was your promise...
context: What about Chihaya?\What kind of karuta does Chihaya play?\How does Chihaya\play karuta now?\Huh?\Her right hand's injured?\She's using her left hand?!\Impassioned was your promise... response:	My own sleeves are like...
context: What kind of karuta does Chihaya play?\How does Chihaya\play karuta now?\Huh?\Her right hand's injured?\She's using her left hand?!\Impassioned was your promise...\My own sleeves are like... response:	Why?
context: How does Chihaya\play karuta now?\Huh?\Her right hand's injured?\She's using her left hand?!\Impassioned was your promise...\My own sleeves are like...\Why? response:	I can take cards on the opponent's side,
context: play karuta now?\Huh?\Her right hand's injured?\She's using her left hand?!\Impassioned was your promise...\My own sleeves are like...\Why?\I can take cards on the opponent's side, response:	so why can't I take them from my own side?
context: Huh?\Her right hand's injured?\She's using her left hand?!\Impassioned was your promise...\My own sleeves are like...\Why?\I can take cards on the opponent's side,\so why can't I take them from my own side? response:	If I were using my right hand, I could take these without thinking.
context: Her right hand's injured?\She's using her left hand?!\Impassioned was your promise...\My own sleeves are like...\Why?\I can take cards on the opponent's side,\so why can't I take them from my own side?\If I were using my right hand, I could take these without thinking. response:	Why is a brake holding me back?
context: She's using her left hand?!\Impassioned was your promise...\My own sleeves are like...\Why?\I can take cards on the opponent's side,\so why can't I take them from my own side?\If I were using my right hand, I could take these without thinking.\Why is a brake holding me back? response:	That's crazy, Chihaya.
context: Impassioned was your promise...\My own sleeves are like...\Why?\I can take cards on the opponent's side,\so why can't I take them from my own side?\If I were using my right hand, I could take these without thinking.\Why is a brake holding me back?\That's crazy, Chihaya. response:	Karuta isn't that simple.
context: My own sleeves are like...\Why?\I can take cards on the opponent's side,\so why can't I take them from my own side?\If I were using my right hand, I could take these without thinking.\Why is a brake holding me back?\That's crazy, Chihaya.\Karuta isn't that simple. response:	Said bed was cold as I lay awake
context: Why?\I can take cards on the opponent's side,\so why can't I take them from my own side?\If I were using my right hand, I could take these without thinking.\Why is a brake holding me back?\That's crazy, Chihaya.\Karuta isn't that simple.\Said bed was cold as I lay awake response:	You've gotten used to taking cards from your own side
context: I can take cards on the opponent's side,\so why can't I take them from my own side?\If I were using my right hand, I could take these without thinking.\Why is a brake holding me back?\That's crazy, Chihaya.\Karuta isn't that simple.\Said bed was cold as I lay awake\You've gotten used to taking cards from your own side response:	without any thought.
context: so why can't I take them from my own side?\If I were using my right hand, I could take these without thinking.\Why is a brake holding me back?\That's crazy, Chihaya.\Karuta isn't that simple.\Said bed was cold as I lay awake\You've gotten used to taking cards from your own side\without any thought. response:	Your cards are placed for a right-handed player.
context: If I were using my right hand, I could take these without thinking.\Why is a brake holding me back?\That's crazy, Chihaya.\Karuta isn't that simple.\Said bed was cold as I lay awake\You've gotten used to taking cards from your own side\without any thought.\Your cards are placed for a right-handed player. response:	I'm 10 cards up now.
context: Why is a brake holding me back?\That's crazy, Chihaya.\Karuta isn't that simple.\Said bed was cold as I lay awake\You've gotten used to taking cards from your own side\without any thought.\Your cards are placed for a right-handed player.\I'm 10 cards up now. response:	She'll probably give up soon.
context: That's crazy, Chihaya.\Karuta isn't that simple.\Said bed was cold as I lay awake\You've gotten used to taking cards from your own side\without any thought.\Your cards are placed for a right-handed player.\I'm 10 cards up now.\She'll probably give up soon. response:	Most players would give up after injuring their right hand.
context: Karuta isn't that simple.\Said bed was cold as I lay awake\You've gotten used to taking cards from your own side\without any thought.\Your cards are placed for a right-handed player.\I'm 10 cards up now.\She'll probably give up soon.\Most players would give up after injuring their right hand. response:	You worked hard to get here.
context: Said bed was cold as I lay awake\You've gotten used to taking cards from your own side\without any thought.\Your cards are placed for a right-handed player.\I'm 10 cards up now.\She'll probably give up soon.\Most players would give up after injuring their right hand.\You worked hard to get here. response:	You put on a performance worthy of the captain of the team champions.
context: You've gotten used to taking cards from your own side\without any thought.\Your cards are placed for a right-handed player.\I'm 10 cards up now.\She'll probably give up soon.\Most players would give up after injuring their right hand.\You worked hard to get here.\You put on a performance worthy of the captain of the team champions. response:	I should have just played with my right hand.
context: without any thought.\Your cards are placed for a right-handed player.\I'm 10 cards up now.\She'll probably give up soon.\Most players would give up after injuring their right hand.\You worked hard to get here.\You put on a performance worthy of the captain of the team champions.\I should have just played with my right hand. response:	I would have been able to last one match at least.
context: Your cards are placed for a right-handed player.\I'm 10 cards up now.\She'll probably give up soon.\Most players would give up after injuring their right hand.\You worked hard to get here.\You put on a performance worthy of the captain of the team champions.\I should have just played with my right hand.\I would have been able to last one match at least. response:	No.
context: I'm 10 cards up now.\She'll probably give up soon.\Most players would give up after injuring their right hand.\You worked hard to get here.\You put on a performance worthy of the captain of the team champions.\I should have just played with my right hand.\I would have been able to last one match at least.\No. response:	If I only get one match to use my right hand,
context: She'll probably give up soon.\Most players would give up after injuring their right hand.\You worked hard to get here.\You put on a performance worthy of the captain of the team champions.\I should have just played with my right hand.\I would have been able to last one match at least.\No.\If I only get one match to use my right hand, response:	I should save it for Arata!
context: Most players would give up after injuring their right hand.\You worked hard to get here.\You put on a performance worthy of the captain of the team champions.\I should have just played with my right hand.\I would have been able to last one match at least.\No.\If I only get one match to use my right hand,\I should save it for Arata! response:	for the night would drag on when I thought of my beloved
context: You worked hard to get here.\You put on a performance worthy of the captain of the team champions.\I should have just played with my right hand.\I would have been able to last one match at least.\No.\If I only get one match to use my right hand,\I should save it for Arata!\for the night would drag on when I thought of my beloved response:	In the sleepy spring sunlight,
context: You put on a performance worthy of the captain of the team champions.\I should have just played with my right hand.\I would have been able to last one match at least.\No.\If I only get one match to use my right hand,\I should save it for Arata!\for the night would drag on when I thought of my beloved\In the sleepy spring sunlight, response:	She attacks the opponent's side quickly!
context: I should have just played with my right hand.\I would have been able to last one match at least.\No.\If I only get one match to use my right hand,\I should save it for Arata!\for the night would drag on when I thought of my beloved\In the sleepy spring sunlight,\She attacks the opponent's side quickly! response:	Um, excuse me.
context: I would have been able to last one match at least.\No.\If I only get one match to use my right hand,\I should save it for Arata!\for the night would drag on when I thought of my beloved\In the sleepy spring sunlight,\She attacks the opponent's side quickly!\Um, excuse me. response:	Can I move my cards?
context: No.\If I only get one match to use my right hand,\I should save it for Arata!\for the night would drag on when I thought of my beloved\In the sleepy spring sunlight,\She attacks the opponent's side quickly!\Um, excuse me.\Can I move my cards? response:	Uh, sure...
context: If I only get one match to use my right hand,\I should save it for Arata!\for the night would drag on when I thought of my beloved\In the sleepy spring sunlight,\She attacks the opponent's side quickly!\Um, excuse me.\Can I move my cards?\Uh, sure... response:	Sh-She moved all of them?
context: I should save it for Arata!\for the night would drag on when I thought of my beloved\In the sleepy spring sunlight,\She attacks the opponent's side quickly!\Um, excuse me.\Can I move my cards?\Uh, sure...\Sh-She moved all of them? response:	She flipped her cards around?
context: for the night would drag on when I thought of my beloved\In the sleepy spring sunlight,\She attacks the opponent's side quickly!\Um, excuse me.\Can I move my cards?\Uh, sure...\Sh-She moved all of them?\She flipped her cards around? response:	I've never seen this before.
context: In the sleepy spring sunlight,\She attacks the opponent's side quickly!\Um, excuse me.\Can I move my cards?\Uh, sure...\Sh-She moved all of them?\She flipped her cards around?\I've never seen this before. response:	I have to win until I play Arata!
context: She attacks the opponent's side quickly!\Um, excuse me.\Can I move my cards?\Uh, sure...\Sh-She moved all of them?\She flipped her cards around?\I've never seen this before.\I have to win until I play Arata! response:	Wait.
context: Um, excuse me.\Can I move my cards?\Uh, sure...\Sh-She moved all of them?\She flipped her cards around?\I've never seen this before.\I have to win until I play Arata!\Wait. response:	It's bad manners to move so many cards at one time.
context: Can I move my cards?\Uh, sure...\Sh-She moved all of them?\She flipped her cards around?\I've never seen this before.\I have to win until I play Arata!\Wait.\It's bad manners to move so many cards at one time. response:	Of course. I'm sorry.
context: Uh, sure...\Sh-She moved all of them?\She flipped her cards around?\I've never seen this before.\I have to win until I play Arata!\Wait.\It's bad manners to move so many cards at one time.\Of course. I'm sorry. response:	It's fine. Leave them.
context: Sh-She moved all of them?\She flipped her cards around?\I've never seen this before.\I have to win until I play Arata!\Wait.\It's bad manners to move so many cards at one time.\Of course. I'm sorry.\It's fine. Leave them. response:	Huh?
context: She flipped her cards around?\I've never seen this before.\I have to win until I play Arata!\Wait.\It's bad manners to move so many cards at one time.\Of course. I'm sorry.\It's fine. Leave them.\Huh? response:	Leave them in that order.
context: I've never seen this before.\I have to win until I play Arata!\Wait.\It's bad manners to move so many cards at one time.\Of course. I'm sorry.\It's fine. Leave them.\Huh?\Leave them in that order. response:	She's playing with the handicap of having to use her left hand.
context: I have to win until I play Arata!\Wait.\It's bad manners to move so many cards at one time.\Of course. I'm sorry.\It's fine. Leave them.\Huh?\Leave them in that order.\She's playing with the handicap of having to use her left hand. response:	Compared to that, shuffling her cards around is nothing.
