context: The Third Plate response:	Twenty-One
context: Right.\Well, I guess that did happen.\And Nakamura-senpai was in the Polar Star Dormitory like you, right?\If that's true,\why'd he start talking about shutting down the dorm and changing up the academy?\What is this, 21 Questions?\I'm just starting to figure out that I actually don't know\what kind of chef you were before. response:	All right, I'll tell you the story.
context: Well, I guess that did happen.\And Nakamura-senpai was in the Polar Star Dormitory like you, right?\If that's true,\why'd he start talking about shutting down the dorm and changing up the academy?\What is this, 21 Questions?\I'm just starting to figure out that I actually don't know\what kind of chef you were before.\All right, I'll tell you the story. response:	Food Wars
context: And Nakamura-senpai was in the Polar Star Dormitory like you, right?\If that's true,\why'd he start talking about shutting down the dorm and changing up the academy?\What is this, 21 Questions?\I'm just starting to figure out that I actually don't know\what kind of chef you were before.\All right, I'll tell you the story.\Food Wars response:	The Third Plate
context: If that's true,\why'd he start talking about shutting down the dorm and changing up the academy?\What is this, 21 Questions?\I'm just starting to figure out that I actually don't know\what kind of chef you were before.\All right, I'll tell you the story.\Food Wars\The Third Plate response:	Totsuki Train Arc
context: why'd he start talking about shutting down the dorm and changing up the academy?\What is this, 21 Questions?\I'm just starting to figure out that I actually don't know\what kind of chef you were before.\All right, I'll tell you the story.\Food Wars\The Third Plate\Totsuki Train Arc response:	The Pioneer of the Wastelands
context: What is this, 21 Questions?\I'm just starting to figure out that I actually don't know\what kind of chef you were before.\All right, I'll tell you the story.\Food Wars\The Third Plate\Totsuki Train Arc\The Pioneer of the Wastelands response:	Oh?
context: I'm just starting to figure out that I actually don't know\what kind of chef you were before.\All right, I'll tell you the story.\Food Wars\The Third Plate\Totsuki Train Arc\The Pioneer of the Wastelands\Oh? response:	You guys training for the Team Shokugeki already?
context: what kind of chef you were before.\All right, I'll tell you the story.\Food Wars\The Third Plate\Totsuki Train Arc\The Pioneer of the Wastelands\Oh?\You guys training for the Team Shokugeki already? response:	You're so gung-ho.
context: All right, I'll tell you the story.\Food Wars\The Third Plate\Totsuki Train Arc\The Pioneer of the Wastelands\Oh?\You guys training for the Team Shokugeki already?\You're so gung-ho. response:	Well, I intend to crush them utterly if we are going to defeat them anyway.
context: Food Wars\The Third Plate\Totsuki Train Arc\The Pioneer of the Wastelands\Oh?\You guys training for the Team Shokugeki already?\You're so gung-ho.\Well, I intend to crush them utterly if we are going to defeat them anyway. response:	You're so serious, Nene.
context: The Third Plate\Totsuki Train Arc\The Pioneer of the Wastelands\Oh?\You guys training for the Team Shokugeki already?\You're so gung-ho.\Well, I intend to crush them utterly if we are going to defeat them anyway.\You're so serious, Nene. response:	Figuring out what I'm going to eat tomorrow is more important to me.
context: Totsuki Train Arc\The Pioneer of the Wastelands\Oh?\You guys training for the Team Shokugeki already?\You're so gung-ho.\Well, I intend to crush them utterly if we are going to defeat them anyway.\You're so serious, Nene.\Figuring out what I'm going to eat tomorrow is more important to me. response:	Hokkaido Guidebook Map
context: The Pioneer of the Wastelands\Oh?\You guys training for the Team Shokugeki already?\You're so gung-ho.\Well, I intend to crush them utterly if we are going to defeat them anyway.\You're so serious, Nene.\Figuring out what I'm going to eat tomorrow is more important to me.\Hokkaido Guidebook Map response:	What?
context: Oh?\You guys training for the Team Shokugeki already?\You're so gung-ho.\Well, I intend to crush them utterly if we are going to defeat them anyway.\You're so serious, Nene.\Figuring out what I'm going to eat tomorrow is more important to me.\Hokkaido Guidebook Map\What? response:	Nakiri-san already went to sleep?
context: You guys training for the Team Shokugeki already?\You're so gung-ho.\Well, I intend to crush them utterly if we are going to defeat them anyway.\You're so serious, Nene.\Figuring out what I'm going to eat tomorrow is more important to me.\Hokkaido Guidebook Map\What?\Nakiri-san already went to sleep? response:	Yes, she must be exhausted.
context: You're so gung-ho.\Well, I intend to crush them utterly if we are going to defeat them anyway.\You're so serious, Nene.\Figuring out what I'm going to eat tomorrow is more important to me.\Hokkaido Guidebook Map\What?\Nakiri-san already went to sleep?\Yes, she must be exhausted. response:	After all, she stood up to her father for the first time in her life.
context: Well, I intend to crush them utterly if we are going to defeat them anyway.\You're so serious, Nene.\Figuring out what I'm going to eat tomorrow is more important to me.\Hokkaido Guidebook Map\What?\Nakiri-san already went to sleep?\Yes, she must be exhausted.\After all, she stood up to her father for the first time in her life. response:	I will relinquish my responsibilities as the Elite Ten's tenth seat!
context: You're so serious, Nene.\Figuring out what I'm going to eat tomorrow is more important to me.\Hokkaido Guidebook Map\What?\Nakiri-san already went to sleep?\Yes, she must be exhausted.\After all, she stood up to her father for the first time in her life.\I will relinquish my responsibilities as the Elite Ten's tenth seat! response:	From now on, I am just Nakiri Erina!
context: Figuring out what I'm going to eat tomorrow is more important to me.\Hokkaido Guidebook Map\What?\Nakiri-san already went to sleep?\Yes, she must be exhausted.\After all, she stood up to her father for the first time in her life.\I will relinquish my responsibilities as the Elite Ten's tenth seat!\From now on, I am just Nakiri Erina! response:	But I surmise that she must be having the best sleep of her life, too.
context: Hokkaido Guidebook Map\What?\Nakiri-san already went to sleep?\Yes, she must be exhausted.\After all, she stood up to her father for the first time in her life.\I will relinquish my responsibilities as the Elite Ten's tenth seat!\From now on, I am just Nakiri Erina!\But I surmise that she must be having the best sleep of her life, too. response:	Yes, definitely!
context: What?\Nakiri-san already went to sleep?\Yes, she must be exhausted.\After all, she stood up to her father for the first time in her life.\I will relinquish my responsibilities as the Elite Ten's tenth seat!\From now on, I am just Nakiri Erina!\But I surmise that she must be having the best sleep of her life, too.\Yes, definitely! response:	It's been bothering me for a while.
context: Nakiri-san already went to sleep?\Yes, she must be exhausted.\After all, she stood up to her father for the first time in her life.\I will relinquish my responsibilities as the Elite Ten's tenth seat!\From now on, I am just Nakiri Erina!\But I surmise that she must be having the best sleep of her life, too.\Yes, definitely!\It's been bothering me for a while. response:	Why is Nakiri Azami so obsessed with Joichiro-san?
context: Yes, she must be exhausted.\After all, she stood up to her father for the first time in her life.\I will relinquish my responsibilities as the Elite Ten's tenth seat!\From now on, I am just Nakiri Erina!\But I surmise that she must be having the best sleep of her life, too.\Yes, definitely!\It's been bothering me for a while.\Why is Nakiri Azami so obsessed with Joichiro-san? response:	Can you tell me why, Chef Dojima?
context: After all, she stood up to her father for the first time in her life.\I will relinquish my responsibilities as the Elite Ten's tenth seat!\From now on, I am just Nakiri Erina!\But I surmise that she must be having the best sleep of her life, too.\Yes, definitely!\It's been bothering me for a while.\Why is Nakiri Azami so obsessed with Joichiro-san?\Can you tell me why, Chef Dojima? response:	What happened during your time as students?
context: I will relinquish my responsibilities as the Elite Ten's tenth seat!\From now on, I am just Nakiri Erina!\But I surmise that she must be having the best sleep of her life, too.\Yes, definitely!\It's been bothering me for a while.\Why is Nakiri Azami so obsessed with Joichiro-san?\Can you tell me why, Chef Dojima?\What happened during your time as students? response:	True, it is something you should know.
context: From now on, I am just Nakiri Erina!\But I surmise that she must be having the best sleep of her life, too.\Yes, definitely!\It's been bothering me for a while.\Why is Nakiri Azami so obsessed with Joichiro-san?\Can you tell me why, Chef Dojima?\What happened during your time as students?\True, it is something you should know. response:	You should hear this as well, Tadokoro-kun.
context: But I surmise that she must be having the best sleep of her life, too.\Yes, definitely!\It's been bothering me for a while.\Why is Nakiri Azami so obsessed with Joichiro-san?\Can you tell me why, Chef Dojima?\What happened during your time as students?\True, it is something you should know.\You should hear this as well, Tadokoro-kun. response:	Oh, okay.
context: Yes, definitely!\It's been bothering me for a while.\Why is Nakiri Azami so obsessed with Joichiro-san?\Can you tell me why, Chef Dojima?\What happened during your time as students?\True, it is something you should know.\You should hear this as well, Tadokoro-kun.\Oh, okay. response:	This photo was taken when you were students.
context: It's been bothering me for a while.\Why is Nakiri Azami so obsessed with Joichiro-san?\Can you tell me why, Chef Dojima?\What happened during your time as students?\True, it is something you should know.\You should hear this as well, Tadokoro-kun.\Oh, okay.\This photo was taken when you were students. response:	I still remember it like it happened only yesterday.
context: Why is Nakiri Azami so obsessed with Joichiro-san?\Can you tell me why, Chef Dojima?\What happened during your time as students?\True, it is something you should know.\You should hear this as well, Tadokoro-kun.\Oh, okay.\This photo was taken when you were students.\I still remember it like it happened only yesterday. response:	The shining star of our generation was undeniably Joichiro.
context: Can you tell me why, Chef Dojima?\What happened during your time as students?\True, it is something you should know.\You should hear this as well, Tadokoro-kun.\Oh, okay.\This photo was taken when you were students.\I still remember it like it happened only yesterday.\The shining star of our generation was undeniably Joichiro. response:	By my count, of the 121 times he and I had a Shokugeki,
context: What happened during your time as students?\True, it is something you should know.\You should hear this as well, Tadokoro-kun.\Oh, okay.\This photo was taken when you were students.\I still remember it like it happened only yesterday.\The shining star of our generation was undeniably Joichiro.\By my count, of the 121 times he and I had a Shokugeki, response:	121 matches
context: True, it is something you should know.\You should hear this as well, Tadokoro-kun.\Oh, okay.\This photo was taken when you were students.\I still remember it like it happened only yesterday.\The shining star of our generation was undeniably Joichiro.\By my count, of the 121 times he and I had a Shokugeki,\121 matches response:	I won 20 times and lost 101 times.
context: You should hear this as well, Tadokoro-kun.\Oh, okay.\This photo was taken when you were students.\I still remember it like it happened only yesterday.\The shining star of our generation was undeniably Joichiro.\By my count, of the 121 times he and I had a Shokugeki,\121 matches\I won 20 times and lost 101 times. response:	20 wins
context: Oh, okay.\This photo was taken when you were students.\I still remember it like it happened only yesterday.\The shining star of our generation was undeniably Joichiro.\By my count, of the 121 times he and I had a Shokugeki,\121 matches\I won 20 times and lost 101 times.\20 wins response:	101 losses
context: This photo was taken when you were students.\I still remember it like it happened only yesterday.\The shining star of our generation was undeniably Joichiro.\By my count, of the 121 times he and I had a Shokugeki,\121 matches\I won 20 times and lost 101 times.\20 wins\101 losses response:	What?!
context: I still remember it like it happened only yesterday.\The shining star of our generation was undeniably Joichiro.\By my count, of the 121 times he and I had a Shokugeki,\121 matches\I won 20 times and lost 101 times.\20 wins\101 losses\What?! response:	Even you, Chef Dojima?
context: The shining star of our generation was undeniably Joichiro.\By my count, of the 121 times he and I had a Shokugeki,\121 matches\I won 20 times and lost 101 times.\20 wins\101 losses\What?!\Even you, Chef Dojima? response:	You lost that many times?
context: By my count, of the 121 times he and I had a Shokugeki,\121 matches\I won 20 times and lost 101 times.\20 wins\101 losses\What?!\Even you, Chef Dojima?\You lost that many times? response:	Your rank in the Elite Ten is determined not only by Shokugeki outcomes,
context: 121 matches\I won 20 times and lost 101 times.\20 wins\101 losses\What?!\Even you, Chef Dojima?\You lost that many times?\Your rank in the Elite Ten is determined not only by Shokugeki outcomes, response:	but also by factors such as grades and contributions to the Academy.
context: I won 20 times and lost 101 times.\20 wins\101 losses\What?!\Even you, Chef Dojima?\You lost that many times?\Your rank in the Elite Ten is determined not only by Shokugeki outcomes,\but also by factors such as grades and contributions to the Academy. response:	Joichiro may have been number one in terms of culinary skill,
context: 20 wins\101 losses\What?!\Even you, Chef Dojima?\You lost that many times?\Your rank in the Elite Ten is determined not only by Shokugeki outcomes,\but also by factors such as grades and contributions to the Academy.\Joichiro may have been number one in terms of culinary skill, response:	but he was late to classes, if he showed up at all.
context: 101 losses\What?!\Even you, Chef Dojima?\You lost that many times?\Your rank in the Elite Ten is determined not only by Shokugeki outcomes,\but also by factors such as grades and contributions to the Academy.\Joichiro may have been number one in terms of culinary skill,\but he was late to classes, if he showed up at all. response:	Even after joining the Elite Ten, he ignored his responsibilities.
context: What?!\Even you, Chef Dojima?\You lost that many times?\Your rank in the Elite Ten is determined not only by Shokugeki outcomes,\but also by factors such as grades and contributions to the Academy.\Joichiro may have been number one in terms of culinary skill,\but he was late to classes, if he showed up at all.\Even after joining the Elite Ten, he ignored his responsibilities. response:	He was also known as an eccentric.
context: Even you, Chef Dojima?\You lost that many times?\Your rank in the Elite Ten is determined not only by Shokugeki outcomes,\but also by factors such as grades and contributions to the Academy.\Joichiro may have been number one in terms of culinary skill,\but he was late to classes, if he showed up at all.\Even after joining the Elite Ten, he ignored his responsibilities.\He was also known as an eccentric. response:	Like peas in a pod, those two.
context: You lost that many times?\Your rank in the Elite Ten is determined not only by Shokugeki outcomes,\but also by factors such as grades and contributions to the Academy.\Joichiro may have been number one in terms of culinary skill,\but he was late to classes, if he showed up at all.\Even after joining the Elite Ten, he ignored his responsibilities.\He was also known as an eccentric.\Like peas in a pod, those two. response:	Like father, like son.
context: Your rank in the Elite Ten is determined not only by Shokugeki outcomes,\but also by factors such as grades and contributions to the Academy.\Joichiro may have been number one in terms of culinary skill,\but he was late to classes, if he showed up at all.\Even after joining the Elite Ten, he ignored his responsibilities.\He was also known as an eccentric.\Like peas in a pod, those two.\Like father, like son. response:	Alike, huh?
context: but also by factors such as grades and contributions to the Academy.\Joichiro may have been number one in terms of culinary skill,\but he was late to classes, if he showed up at all.\Even after joining the Elite Ten, he ignored his responsibilities.\He was also known as an eccentric.\Like peas in a pod, those two.\Like father, like son.\Alike, huh? response:	Anyway, all of us met him
context: Joichiro may have been number one in terms of culinary skill,\but he was late to classes, if he showed up at all.\Even after joining the Elite Ten, he ignored his responsibilities.\He was also known as an eccentric.\Like peas in a pod, those two.\Like father, like son.\Alike, huh?\Anyway, all of us met him response:	Saiba Joichiro, the chef
context: but he was late to classes, if he showed up at all.\Even after joining the Elite Ten, he ignored his responsibilities.\He was also known as an eccentric.\Like peas in a pod, those two.\Like father, like son.\Alike, huh?\Anyway, all of us met him\Saiba Joichiro, the chef response:	with his genius in full bloom.
context: Even after joining the Elite Ten, he ignored his responsibilities.\He was also known as an eccentric.\Like peas in a pod, those two.\Like father, like son.\Alike, huh?\Anyway, all of us met him\Saiba Joichiro, the chef\with his genius in full bloom. response:	Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition
context: He was also known as an eccentric.\Like peas in a pod, those two.\Like father, like son.\Alike, huh?\Anyway, all of us met him\Saiba Joichiro, the chef\with his genius in full bloom.\Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition response:	Congratulations on joining the Elite Ten Council!
context: Like peas in a pod, those two.\Like father, like son.\Alike, huh?\Anyway, all of us met him\Saiba Joichiro, the chef\with his genius in full bloom.\Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition\Congratulations on joining the Elite Ten Council! response:	1st Year, High School Saiba Joichiro
context: Like father, like son.\Alike, huh?\Anyway, all of us met him\Saiba Joichiro, the chef\with his genius in full bloom.\Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition\Congratulations on joining the Elite Ten Council!\1st Year, High School Saiba Joichiro response:	1st Year, High School Dojima Gin
context: Alike, huh?\Anyway, all of us met him\Saiba Joichiro, the chef\with his genius in full bloom.\Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition\Congratulations on joining the Elite Ten Council!\1st Year, High School Saiba Joichiro\1st Year, High School Dojima Gin response:	Congratulations!
context: Anyway, all of us met him\Saiba Joichiro, the chef\with his genius in full bloom.\Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition\Congratulations on joining the Elite Ten Council!\1st Year, High School Saiba Joichiro\1st Year, High School Dojima Gin\Congratulations! response:	Joichiro-senpai, Gin-senpai, you're both so cool!
context: Saiba Joichiro, the chef\with his genius in full bloom.\Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition\Congratulations on joining the Elite Ten Council!\1st Year, High School Saiba Joichiro\1st Year, High School Dojima Gin\Congratulations!\Joichiro-senpai, Gin-senpai, you're both so cool! response:	You've become the sixth and seventh seats
context: with his genius in full bloom.\Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition\Congratulations on joining the Elite Ten Council!\1st Year, High School Saiba Joichiro\1st Year, High School Dojima Gin\Congratulations!\Joichiro-senpai, Gin-senpai, you're both so cool!\You've become the sixth and seventh seats response:	just as you're about to become second-years!
context: Congratulations!! Dojima Gin, 6th Seat Saiba Joichiro, 7th Seat Also Saiba-Senpai for 1st Place in the Competition\Congratulations on joining the Elite Ten Council!\1st Year, High School Saiba Joichiro\1st Year, High School Dojima Gin\Congratulations!\Joichiro-senpai, Gin-senpai, you're both so cool!\You've become the sixth and seventh seats\just as you're about to become second-years! response:	Well done, both of you!
context: Congratulations on joining the Elite Ten Council!\1st Year, High School Saiba Joichiro\1st Year, High School Dojima Gin\Congratulations!\Joichiro-senpai, Gin-senpai, you're both so cool!\You've become the sixth and seventh seats\just as you're about to become second-years!\Well done, both of you! response:	Oh, thanks.
context: 1st Year, High School Saiba Joichiro\1st Year, High School Dojima Gin\Congratulations!\Joichiro-senpai, Gin-senpai, you're both so cool!\You've become the sixth and seventh seats\just as you're about to become second-years!\Well done, both of you!\Oh, thanks. response:	It hasn't really sunk in yet that I've become one of the Elite Ten.
context: 1st Year, High School Dojima Gin\Congratulations!\Joichiro-senpai, Gin-senpai, you're both so cool!\You've become the sixth and seventh seats\just as you're about to become second-years!\Well done, both of you!\Oh, thanks.\It hasn't really sunk in yet that I've become one of the Elite Ten. response:	Why is Dojima-senpai exhausted?
context: Congratulations!\Joichiro-senpai, Gin-senpai, you're both so cool!\You've become the sixth and seventh seats\just as you're about to become second-years!\Well done, both of you!\Oh, thanks.\It hasn't really sunk in yet that I've become one of the Elite Ten.\Why is Dojima-senpai exhausted? response:	Saiba-kun was competing in an external competition
context: Joichiro-senpai, Gin-senpai, you're both so cool!\You've become the sixth and seventh seats\just as you're about to become second-years!\Well done, both of you!\Oh, thanks.\It hasn't really sunk in yet that I've become one of the Elite Ten.\Why is Dojima-senpai exhausted?\Saiba-kun was competing in an external competition response:	until right before the induction ceremony.
context: You've become the sixth and seventh seats\just as you're about to become second-years!\Well done, both of you!\Oh, thanks.\It hasn't really sunk in yet that I've become one of the Elite Ten.\Why is Dojima-senpai exhausted?\Saiba-kun was competing in an external competition\until right before the induction ceremony. response:	Professional Chefs Association of Japan 40th French Cuisine New Star Competition
context: just as you're about to become second-years!\Well done, both of you!\Oh, thanks.\It hasn't really sunk in yet that I've become one of the Elite Ten.\Why is Dojima-senpai exhausted?\Saiba-kun was competing in an external competition\until right before the induction ceremony.\Professional Chefs Association of Japan 40th French Cuisine New Star Competition response:	Dojima-kun worked really hard to get him back in time.
context: Well done, both of you!\Oh, thanks.\It hasn't really sunk in yet that I've become one of the Elite Ten.\Why is Dojima-senpai exhausted?\Saiba-kun was competing in an external competition\until right before the induction ceremony.\Professional Chefs Association of Japan 40th French Cuisine New Star Competition\Dojima-kun worked really hard to get him back in time. response:	Joichiro!
context: Oh, thanks.\It hasn't really sunk in yet that I've become one of the Elite Ten.\Why is Dojima-senpai exhausted?\Saiba-kun was competing in an external competition\until right before the induction ceremony.\Professional Chefs Association of Japan 40th French Cuisine New Star Competition\Dojima-kun worked really hard to get him back in time.\Joichiro! response:	2nd Year, Junior High Nakamura Azami
context: It hasn't really sunk in yet that I've become one of the Elite Ten.\Why is Dojima-senpai exhausted?\Saiba-kun was competing in an external competition\until right before the induction ceremony.\Professional Chefs Association of Japan 40th French Cuisine New Star Competition\Dojima-kun worked really hard to get him back in time.\Joichiro!\2nd Year, Junior High Nakamura Azami response:	Saiba-senpai, what dish did you win the contest with this time?
context: Why is Dojima-senpai exhausted?\Saiba-kun was competing in an external competition\until right before the induction ceremony.\Professional Chefs Association of Japan 40th French Cuisine New Star Competition\Dojima-kun worked really hard to get him back in time.\Joichiro!\2nd Year, Junior High Nakamura Azami\Saiba-senpai, what dish did you win the contest with this time? response:	Oh, I made this porcini pie dish that was a huge hit.
context: Saiba-kun was competing in an external competition\until right before the induction ceremony.\Professional Chefs Association of Japan 40th French Cuisine New Star Competition\Dojima-kun worked really hard to get him back in time.\Joichiro!\2nd Year, Junior High Nakamura Azami\Saiba-senpai, what dish did you win the contest with this time?\Oh, I made this porcini pie dish that was a huge hit. response:	And, and?
context: until right before the induction ceremony.\Professional Chefs Association of Japan 40th French Cuisine New Star Competition\Dojima-kun worked really hard to get him back in time.\Joichiro!\2nd Year, Junior High Nakamura Azami\Saiba-senpai, what dish did you win the contest with this time?\Oh, I made this porcini pie dish that was a huge hit.\And, and? response:	Oh, and as the finishing touch, I
context: Professional Chefs Association of Japan 40th French Cuisine New Star Competition\Dojima-kun worked really hard to get him back in time.\Joichiro!\2nd Year, Junior High Nakamura Azami\Saiba-senpai, what dish did you win the contest with this time?\Oh, I made this porcini pie dish that was a huge hit.\And, and?\Oh, and as the finishing touch, I response:	Hey, can you stop oozing that dark aura of yours?
context: Dojima-kun worked really hard to get him back in time.\Joichiro!\2nd Year, Junior High Nakamura Azami\Saiba-senpai, what dish did you win the contest with this time?\Oh, I made this porcini pie dish that was a huge hit.\And, and?\Oh, and as the finishing touch, I\Hey, can you stop oozing that dark aura of yours? response:	I can almost hear a voice over saying, Now, tell me what you did
context: Joichiro!\2nd Year, Junior High Nakamura Azami\Saiba-senpai, what dish did you win the contest with this time?\Oh, I made this porcini pie dish that was a huge hit.\And, and?\Oh, and as the finishing touch, I\Hey, can you stop oozing that dark aura of yours?\I can almost hear a voice over saying, Now, tell me what you did response:	so that my cooking will advance.
context: 2nd Year, Junior High Nakamura Azami\Saiba-senpai, what dish did you win the contest with this time?\Oh, I made this porcini pie dish that was a huge hit.\And, and?\Oh, and as the finishing touch, I\Hey, can you stop oozing that dark aura of yours?\I can almost hear a voice over saying, Now, tell me what you did\so that my cooking will advance. response:	That's uncalled for.
context: Saiba-senpai, what dish did you win the contest with this time?\Oh, I made this porcini pie dish that was a huge hit.\And, and?\Oh, and as the finishing touch, I\Hey, can you stop oozing that dark aura of yours?\I can almost hear a voice over saying, Now, tell me what you did\so that my cooking will advance.\That's uncalled for. response:	I'm just hoping that I can get remotely close to your level, Saiba-senpai.
context: Oh, I made this porcini pie dish that was a huge hit.\And, and?\Oh, and as the finishing touch, I\Hey, can you stop oozing that dark aura of yours?\I can almost hear a voice over saying, Now, tell me what you did\so that my cooking will advance.\That's uncalled for.\I'm just hoping that I can get remotely close to your level, Saiba-senpai. response:	Close? You obviously mean surpass.
context: And, and?\Oh, and as the finishing touch, I\Hey, can you stop oozing that dark aura of yours?\I can almost hear a voice over saying, Now, tell me what you did\so that my cooking will advance.\That's uncalled for.\I'm just hoping that I can get remotely close to your level, Saiba-senpai.\Close? You obviously mean surpass. response:	That's not true at all!
context: Oh, and as the finishing touch, I\Hey, can you stop oozing that dark aura of yours?\I can almost hear a voice over saying, Now, tell me what you did\so that my cooking will advance.\That's uncalled for.\I'm just hoping that I can get remotely close to your level, Saiba-senpai.\Close? You obviously mean surpass.\That's not true at all! response:	All right!
context: Hey, can you stop oozing that dark aura of yours?\I can almost hear a voice over saying, Now, tell me what you did\so that my cooking will advance.\That's uncalled for.\I'm just hoping that I can get remotely close to your level, Saiba-senpai.\Close? You obviously mean surpass.\That's not true at all!\All right! response:	Let's have another cooking match today, guys!
context: I can almost hear a voice over saying, Now, tell me what you did\so that my cooking will advance.\That's uncalled for.\I'm just hoping that I can get remotely close to your level, Saiba-senpai.\Close? You obviously mean surpass.\That's not true at all!\All right!\Let's have another cooking match today, guys! response:	What should we wager?
context: so that my cooking will advance.\That's uncalled for.\I'm just hoping that I can get remotely close to your level, Saiba-senpai.\Close? You obviously mean surpass.\That's not true at all!\All right!\Let's have another cooking match today, guys!\What should we wager? response:	The loser will take on bathroom cleaning duties tomorrow!
context: That's uncalled for.\I'm just hoping that I can get remotely close to your level, Saiba-senpai.\Close? You obviously mean surpass.\That's not true at all!\All right!\Let's have another cooking match today, guys!\What should we wager?\The loser will take on bathroom cleaning duties tomorrow! response:	I'll take a pass.
context: I'm just hoping that I can get remotely close to your level, Saiba-senpai.\Close? You obviously mean surpass.\That's not true at all!\All right!\Let's have another cooking match today, guys!\What should we wager?\The loser will take on bathroom cleaning duties tomorrow!\I'll take a pass. response:	Hey!
context: Close? You obviously mean surpass.\That's not true at all!\All right!\Let's have another cooking match today, guys!\What should we wager?\The loser will take on bathroom cleaning duties tomorrow!\I'll take a pass.\Hey! response:	You still haven't gotten over losing to me last time, have you?!
context: That's not true at all!\All right!\Let's have another cooking match today, guys!\What should we wager?\The loser will take on bathroom cleaning duties tomorrow!\I'll take a pass.\Hey!\You still haven't gotten over losing to me last time, have you?! response:	People with thin skin won't succeed in life, you know.
context: All right!\Let's have another cooking match today, guys!\What should we wager?\The loser will take on bathroom cleaning duties tomorrow!\I'll take a pass.\Hey!\You still haven't gotten over losing to me last time, have you?!\People with thin skin won't succeed in life, you know. response:	Joichiro, be nice.
context: Let's have another cooking match today, guys!\What should we wager?\The loser will take on bathroom cleaning duties tomorrow!\I'll take a pass.\Hey!\You still haven't gotten over losing to me last time, have you?!\People with thin skin won't succeed in life, you know.\Joichiro, be nice. response:	Yeah, yeah.
context: What should we wager?\The loser will take on bathroom cleaning duties tomorrow!\I'll take a pass.\Hey!\You still haven't gotten over losing to me last time, have you?!\People with thin skin won't succeed in life, you know.\Joichiro, be nice.\Yeah, yeah. response:	Okay, you can be the judge, Nakamura.
context: The loser will take on bathroom cleaning duties tomorrow!\I'll take a pass.\Hey!\You still haven't gotten over losing to me last time, have you?!\People with thin skin won't succeed in life, you know.\Joichiro, be nice.\Yeah, yeah.\Okay, you can be the judge, Nakamura. response:	All right.
context: I'll take a pass.\Hey!\You still haven't gotten over losing to me last time, have you?!\People with thin skin won't succeed in life, you know.\Joichiro, be nice.\Yeah, yeah.\Okay, you can be the judge, Nakamura.\All right. response:	Let's begin!
