context: No matter what you say, you are the criminal who hurt my brother! response:	That's why you'll die.
context: Please, stop!\I've inherited my brother's name.\I have to do it...\That guy's mine...!\Sorry, Todoroki.\Please stop...\I'm... already...\If you want us to stop, then stand up! response:	Climax
context: I've inherited my brother's name.\I have to do it...\That guy's mine...!\Sorry, Todoroki.\Please stop...\I'm... already...\If you want us to stop, then stand up!\Climax response:	Do you know the Turbo Hero, Ingenium?
context: I have to do it...\That guy's mine...!\Sorry, Todoroki.\Please stop...\I'm... already...\If you want us to stop, then stand up!\Climax\Do you know the Turbo Hero, Ingenium? response:	Of course!
context: That guy's mine...!\Sorry, Todoroki.\Please stop...\I'm... already...\If you want us to stop, then stand up!\Climax\Do you know the Turbo Hero, Ingenium?\Of course! response:	He's a really popular hero who has 65 sidekicks working at his Tokyo agency!
context: Sorry, Todoroki.\Please stop...\I'm... already...\If you want us to stop, then stand up!\Climax\Do you know the Turbo Hero, Ingenium?\Of course!\He's a really popular hero who has 65 sidekicks working at his Tokyo agency! response:	He is my elder brother!
context: Please stop...\I'm... already...\If you want us to stop, then stand up!\Climax\Do you know the Turbo Hero, Ingenium?\Of course!\He's a really popular hero who has 65 sidekicks working at his Tokyo agency!\He is my elder brother! response:	He is a likable hero who honors the rules and leads people.
context: I'm... already...\If you want us to stop, then stand up!\Climax\Do you know the Turbo Hero, Ingenium?\Of course!\He's a really popular hero who has 65 sidekicks working at his Tokyo agency!\He is my elder brother!\He is a likable hero who honors the rules and leads people. response:	I set my sights on being a hero because I want to be like my brother.
context: If you want us to stop, then stand up!\Climax\Do you know the Turbo Hero, Ingenium?\Of course!\He's a really popular hero who has 65 sidekicks working at his Tokyo agency!\He is my elder brother!\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother. response:	Iida...
context: Climax\Do you know the Turbo Hero, Ingenium?\Of course!\He's a really popular hero who has 65 sidekicks working at his Tokyo agency!\He is my elder brother!\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Iida... response:	Look properly at what you want to be!
context: Do you know the Turbo Hero, Ingenium?\Of course!\He's a really popular hero who has 65 sidekicks working at his Tokyo agency!\He is my elder brother!\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Iida...\Look properly at what you want to be! response:	Ingenium. It is the name of the hero who will defeat you!
context: Of course!\He's a really popular hero who has 65 sidekicks working at his Tokyo agency!\He is my elder brother!\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Iida...\Look properly at what you want to be!\Ingenium. It is the name of the hero who will defeat you! response:	What kind of hero am I?
context: He's a really popular hero who has 65 sidekicks working at his Tokyo agency!\He is my elder brother!\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Iida...\Look properly at what you want to be!\Ingenium. It is the name of the hero who will defeat you!\What kind of hero am I? response:	Protected by my friends...
context: He is my elder brother!\He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Iida...\Look properly at what you want to be!\Ingenium. It is the name of the hero who will defeat you!\What kind of hero am I?\Protected by my friends... response:	Having them bleed for me...!
context: He is a likable hero who honors the rules and leads people.\I set my sights on being a hero because I want to be like my brother.\Iida...\Look properly at what you want to be!\Ingenium. It is the name of the hero who will defeat you!\What kind of hero am I?\Protected by my friends...\Having them bleed for me...! response:	Save that guy first.
context: I set my sights on being a hero because I want to be like my brother.\Iida...\Look properly at what you want to be!\Ingenium. It is the name of the hero who will defeat you!\What kind of hero am I?\Protected by my friends...\Having them bleed for me...!\Save that guy first. response:	Hero Killer: Stain.
context: Iida...\Look properly at what you want to be!\Ingenium. It is the name of the hero who will defeat you!\What kind of hero am I?\Protected by my friends...\Having them bleed for me...!\Save that guy first.\Hero Killer: Stain. response:	In order to teach him a lesson, I used my brother's name.
context: Look properly at what you want to be!\Ingenium. It is the name of the hero who will defeat you!\What kind of hero am I?\Protected by my friends...\Having them bleed for me...!\Save that guy first.\Hero Killer: Stain.\In order to teach him a lesson, I used my brother's name. response:	I only saw what was in front of me...
context: Ingenium. It is the name of the hero who will defeat you!\What kind of hero am I?\Protected by my friends...\Having them bleed for me...!\Save that guy first.\Hero Killer: Stain.\In order to teach him a lesson, I used my brother's name.\I only saw what was in front of me... response:	I couldn't see anything except myself...!
context: What kind of hero am I?\Protected by my friends...\Having them bleed for me...!\Save that guy first.\Hero Killer: Stain.\In order to teach him a lesson, I used my brother's name.\I only saw what was in front of me...\I couldn't see anything except myself...! response:	Tenya, you want to be a hero, too?
context: Protected by my friends...\Having them bleed for me...!\Save that guy first.\Hero Killer: Stain.\In order to teach him a lesson, I used my brother's name.\I only saw what was in front of me...\I couldn't see anything except myself...!\Tenya, you want to be a hero, too? response:	Yes. You're cool.
context: Having them bleed for me...!\Save that guy first.\Hero Killer: Stain.\In order to teach him a lesson, I used my brother's name.\I only saw what was in front of me...\I couldn't see anything except myself...!\Tenya, you want to be a hero, too?\Yes. You're cool. response:	What are you, a robot?
context: Save that guy first.\Hero Killer: Stain.\In order to teach him a lesson, I used my brother's name.\I only saw what was in front of me...\I couldn't see anything except myself...!\Tenya, you want to be a hero, too?\Yes. You're cool.\What are you, a robot? response:	Will you tell me something for my future reference?
context: Hero Killer: Stain.\In order to teach him a lesson, I used my brother's name.\I only saw what was in front of me...\I couldn't see anything except myself...!\Tenya, you want to be a hero, too?\Yes. You're cool.\What are you, a robot?\Will you tell me something for my future reference? response:	Pro Hero - Tensei Iida
context: In order to teach him a lesson, I used my brother's name.\I only saw what was in front of me...\I couldn't see anything except myself...!\Tenya, you want to be a hero, too?\Yes. You're cool.\What are you, a robot?\Will you tell me something for my future reference?\Pro Hero - Tensei Iida response:	Why do you continue working as a hero?
context: I only saw what was in front of me...\I couldn't see anything except myself...!\Tenya, you want to be a hero, too?\Yes. You're cool.\What are you, a robot?\Will you tell me something for my future reference?\Pro Hero - Tensei Iida\Why do you continue working as a hero? response:	Well, our grandfather and parents were all heroes,
context: I couldn't see anything except myself...!\Tenya, you want to be a hero, too?\Yes. You're cool.\What are you, a robot?\Will you tell me something for my future reference?\Pro Hero - Tensei Iida\Why do you continue working as a hero?\Well, our grandfather and parents were all heroes, response:	so I was expected to be a hero by those around me.
context: Tenya, you want to be a hero, too?\Yes. You're cool.\What are you, a robot?\Will you tell me something for my future reference?\Pro Hero - Tensei Iida\Why do you continue working as a hero?\Well, our grandfather and parents were all heroes,\so I was expected to be a hero by those around me. response:	Anyway, it's simple, really.
context: Yes. You're cool.\What are you, a robot?\Will you tell me something for my future reference?\Pro Hero - Tensei Iida\Why do you continue working as a hero?\Well, our grandfather and parents were all heroes,\so I was expected to be a hero by those around me.\Anyway, it's simple, really. response:	If someone sees a lost child,
context: What are you, a robot?\Will you tell me something for my future reference?\Pro Hero - Tensei Iida\Why do you continue working as a hero?\Well, our grandfather and parents were all heroes,\so I was expected to be a hero by those around me.\Anyway, it's simple, really.\If someone sees a lost child, response:	they take the child to the service counter for lost children.
context: Will you tell me something for my future reference?\Pro Hero - Tensei Iida\Why do you continue working as a hero?\Well, our grandfather and parents were all heroes,\so I was expected to be a hero by those around me.\Anyway, it's simple, really.\If someone sees a lost child,\they take the child to the service counter for lost children. response:	I think people like that are the coolest.
context: Pro Hero - Tensei Iida\Why do you continue working as a hero?\Well, our grandfather and parents were all heroes,\so I was expected to be a hero by those around me.\Anyway, it's simple, really.\If someone sees a lost child,\they take the child to the service counter for lost children.\I think people like that are the coolest. response:	Then why didn't you decide to work at the service counter for lost children?
context: Why do you continue working as a hero?\Well, our grandfather and parents were all heroes,\so I was expected to be a hero by those around me.\Anyway, it's simple, really.\If someone sees a lost child,\they take the child to the service counter for lost children.\I think people like that are the coolest.\Then why didn't you decide to work at the service counter for lost children? response:	Think about what I'm saying! What are you, a robot?
context: Well, our grandfather and parents were all heroes,\so I was expected to be a hero by those around me.\Anyway, it's simple, really.\If someone sees a lost child,\they take the child to the service counter for lost children.\I think people like that are the coolest.\Then why didn't you decide to work at the service counter for lost children?\Think about what I'm saying! What are you, a robot? response:	You really take everything literally, huh?
context: so I was expected to be a hero by those around me.\Anyway, it's simple, really.\If someone sees a lost child,\they take the child to the service counter for lost children.\I think people like that are the coolest.\Then why didn't you decide to work at the service counter for lost children?\Think about what I'm saying! What are you, a robot?\You really take everything literally, huh? response:	You're way smarter and more athletic than I was at your age, so...
context: Anyway, it's simple, really.\If someone sees a lost child,\they take the child to the service counter for lost children.\I think people like that are the coolest.\Then why didn't you decide to work at the service counter for lost children?\Think about what I'm saying! What are you, a robot?\You really take everything literally, huh?\You're way smarter and more athletic than I was at your age, so... response:	Wait a sec.
context: If someone sees a lost child,\they take the child to the service counter for lost children.\I think people like that are the coolest.\Then why didn't you decide to work at the service counter for lost children?\Think about what I'm saying! What are you, a robot?\You really take everything literally, huh?\You're way smarter and more athletic than I was at your age, so...\Wait a sec. response:	Then that means-
context: they take the child to the service counter for lost children.\I think people like that are the coolest.\Then why didn't you decide to work at the service counter for lost children?\Think about what I'm saying! What are you, a robot?\You really take everything literally, huh?\You're way smarter and more athletic than I was at your age, so...\Wait a sec.\Then that means- response:	If you admire me, Tenya, then I might be an amazing hero.
context: I think people like that are the coolest.\Then why didn't you decide to work at the service counter for lost children?\Think about what I'm saying! What are you, a robot?\You really take everything literally, huh?\You're way smarter and more athletic than I was at your age, so...\Wait a sec.\Then that means-\If you admire me, Tenya, then I might be an amazing hero. response:	Because you're fakes.
context: Then why didn't you decide to work at the service counter for lost children?\Think about what I'm saying! What are you, a robot?\You really take everything literally, huh?\You're way smarter and more athletic than I was at your age, so...\Wait a sec.\Then that means-\If you admire me, Tenya, then I might be an amazing hero.\Because you're fakes. response:	It's just as you say, Hero Killer.
context: Think about what I'm saying! What are you, a robot?\You really take everything literally, huh?\You're way smarter and more athletic than I was at your age, so...\Wait a sec.\Then that means-\If you admire me, Tenya, then I might be an amazing hero.\Because you're fakes.\It's just as you say, Hero Killer. response:	From the right!
context: You really take everything literally, huh?\You're way smarter and more athletic than I was at your age, so...\Wait a sec.\Then that means-\If you admire me, Tenya, then I might be an amazing hero.\Because you're fakes.\It's just as you say, Hero Killer.\From the right! response:	I'm different from them.
context: You're way smarter and more athletic than I was at your age, so...\Wait a sec.\Then that means-\If you admire me, Tenya, then I might be an amazing hero.\Because you're fakes.\It's just as you say, Hero Killer.\From the right!\I'm different from them. response:	I'm immature. I can't hold a candle to them!
context: Wait a sec.\Then that means-\If you admire me, Tenya, then I might be an amazing hero.\Because you're fakes.\It's just as you say, Hero Killer.\From the right!\I'm different from them.\I'm immature. I can't hold a candle to them! response:	Even so...
context: Then that means-\If you admire me, Tenya, then I might be an amazing hero.\Because you're fakes.\It's just as you say, Hero Killer.\From the right!\I'm different from them.\I'm immature. I can't hold a candle to them!\Even so... response:	Ice and flame.
context: If you admire me, Tenya, then I might be an amazing hero.\Because you're fakes.\It's just as you say, Hero Killer.\From the right!\I'm different from them.\I'm immature. I can't hold a candle to them!\Even so...\Ice and flame. response:	I'd like to see you dodge this!
context: Because you're fakes.\It's just as you say, Hero Killer.\From the right!\I'm different from them.\I'm immature. I can't hold a candle to them!\Even so...\Ice and flame.\I'd like to see you dodge this! response:	No one's ever told you?
context: It's just as you say, Hero Killer.\From the right!\I'm different from them.\I'm immature. I can't hold a candle to them!\Even so...\Ice and flame.\I'd like to see you dodge this!\No one's ever told you? response:	You're too focused on your Quirk. You're being careless!
context: From the right!\I'm different from them.\I'm immature. I can't hold a candle to them!\Even so...\Ice and flame.\I'd like to see you dodge this!\No one's ever told you?\You're too focused on your Quirk. You're being careless! response:	He's a monster...!
context: I'm different from them.\I'm immature. I can't hold a candle to them!\Even so...\Ice and flame.\I'd like to see you dodge this!\No one's ever told you?\You're too focused on your Quirk. You're being careless!\He's a monster...! response:	Todoroki!
context: I'm immature. I can't hold a candle to them!\Even so...\Ice and flame.\I'd like to see you dodge this!\No one's ever told you?\You're too focused on your Quirk. You're being careless!\He's a monster...!\Todoroki! response:	If I don't stand right now...
context: Even so...\Ice and flame.\I'd like to see you dodge this!\No one's ever told you?\You're too focused on your Quirk. You're being careless!\He's a monster...!\Todoroki!\If I don't stand right now... response:	Damn it.
context: Ice and flame.\I'd like to see you dodge this!\No one's ever told you?\You're too focused on your Quirk. You're being careless!\He's a monster...!\Todoroki!\If I don't stand right now...\Damn it. response:	It stopped working, huh?
context: I'd like to see you dodge this!\No one's ever told you?\You're too focused on your Quirk. You're being careless!\He's a monster...!\Todoroki!\If I don't stand right now...\Damn it.\It stopped working, huh? response:	Recipro...
context: No one's ever told you?\You're too focused on your Quirk. You're being careless!\He's a monster...!\Todoroki!\If I don't stand right now...\Damn it.\It stopped working, huh?\Recipro... response:	He's fast!
context: You're too focused on your Quirk. You're being careless!\He's a monster...!\Todoroki!\If I don't stand right now...\Damn it.\It stopped working, huh?\Recipro...\He's fast! response:	Iida!
context: He's a monster...!\Todoroki!\If I don't stand right now...\Damn it.\It stopped working, huh?\Recipro...\He's fast!\Iida! response:	You got free?
context: Todoroki!\If I don't stand right now...\Damn it.\It stopped working, huh?\Recipro...\He's fast!\Iida!\You got free? response:	That Quirk isn't as great as I thought.
context: If I don't stand right now...\Damn it.\It stopped working, huh?\Recipro...\He's fast!\Iida!\You got free?\That Quirk isn't as great as I thought. response:	Todoroki, Midoriya, this has nothing to do with you two, and I apologize.
context: Damn it.\It stopped working, huh?\Recipro...\He's fast!\Iida!\You got free?\That Quirk isn't as great as I thought.\Todoroki, Midoriya, this has nothing to do with you two, and I apologize. response:	You're saying that again?
context: It stopped working, huh?\Recipro...\He's fast!\Iida!\You got free?\That Quirk isn't as great as I thought.\Todoroki, Midoriya, this has nothing to do with you two, and I apologize.\You're saying that again? response:	That's why I can't allow you two to bleed more than this!
context: Recipro...\He's fast!\Iida!\You got free?\That Quirk isn't as great as I thought.\Todoroki, Midoriya, this has nothing to do with you two, and I apologize.\You're saying that again?\That's why I can't allow you two to bleed more than this! response:	It's no use trying to be reformed for appearance's sake.
context: He's fast!\Iida!\You got free?\That Quirk isn't as great as I thought.\Todoroki, Midoriya, this has nothing to do with you two, and I apologize.\You're saying that again?\That's why I can't allow you two to bleed more than this!\It's no use trying to be reformed for appearance's sake. response:	A person's essence does not change so easily.
context: Iida!\You got free?\That Quirk isn't as great as I thought.\Todoroki, Midoriya, this has nothing to do with you two, and I apologize.\You're saying that again?\That's why I can't allow you two to bleed more than this!\It's no use trying to be reformed for appearance's sake.\A person's essence does not change so easily. response:	You will never be anything but a fake who prioritizes his own selfish desires.
context: You got free?\That Quirk isn't as great as I thought.\Todoroki, Midoriya, this has nothing to do with you two, and I apologize.\You're saying that again?\That's why I can't allow you two to bleed more than this!\It's no use trying to be reformed for appearance's sake.\A person's essence does not change so easily.\You will never be anything but a fake who prioritizes his own selfish desires. response:	You are a cancer to society that warps the idea of heroes.
context: That Quirk isn't as great as I thought.\Todoroki, Midoriya, this has nothing to do with you two, and I apologize.\You're saying that again?\That's why I can't allow you two to bleed more than this!\It's no use trying to be reformed for appearance's sake.\A person's essence does not change so easily.\You will never be anything but a fake who prioritizes his own selfish desires.\You are a cancer to society that warps the idea of heroes. response:	Someone must set you straight.
context: Todoroki, Midoriya, this has nothing to do with you two, and I apologize.\You're saying that again?\That's why I can't allow you two to bleed more than this!\It's no use trying to be reformed for appearance's sake.\A person's essence does not change so easily.\You will never be anything but a fake who prioritizes his own selfish desires.\You are a cancer to society that warps the idea of heroes.\Someone must set you straight. response:	You're an anachronistic fundamentalist.
context: You're saying that again?\That's why I can't allow you two to bleed more than this!\It's no use trying to be reformed for appearance's sake.\A person's essence does not change so easily.\You will never be anything but a fake who prioritizes his own selfish desires.\You are a cancer to society that warps the idea of heroes.\Someone must set you straight.\You're an anachronistic fundamentalist. response:	Iida, don't listen to the logic of a murderer.
context: That's why I can't allow you two to bleed more than this!\It's no use trying to be reformed for appearance's sake.\A person's essence does not change so easily.\You will never be anything but a fake who prioritizes his own selfish desires.\You are a cancer to society that warps the idea of heroes.\Someone must set you straight.\You're an anachronistic fundamentalist.\Iida, don't listen to the logic of a murderer. response:	No, he's right.
context: It's no use trying to be reformed for appearance's sake.\A person's essence does not change so easily.\You will never be anything but a fake who prioritizes his own selfish desires.\You are a cancer to society that warps the idea of heroes.\Someone must set you straight.\You're an anachronistic fundamentalist.\Iida, don't listen to the logic of a murderer.\No, he's right. response:	I have no right to call myself a hero...
context: A person's essence does not change so easily.\You will never be anything but a fake who prioritizes his own selfish desires.\You are a cancer to society that warps the idea of heroes.\Someone must set you straight.\You're an anachronistic fundamentalist.\Iida, don't listen to the logic of a murderer.\No, he's right.\I have no right to call myself a hero... response:	Even so,
context: You will never be anything but a fake who prioritizes his own selfish desires.\You are a cancer to society that warps the idea of heroes.\Someone must set you straight.\You're an anachronistic fundamentalist.\Iida, don't listen to the logic of a murderer.\No, he's right.\I have no right to call myself a hero...\Even so, response:	I cannot give in.
context: You are a cancer to society that warps the idea of heroes.\Someone must set you straight.\You're an anachronistic fundamentalist.\Iida, don't listen to the logic of a murderer.\No, he's right.\I have no right to call myself a hero...\Even so,\I cannot give in. response:	If I give in, then Ingenium will die.
context: Someone must set you straight.\You're an anachronistic fundamentalist.\Iida, don't listen to the logic of a murderer.\No, he's right.\I have no right to call myself a hero...\Even so,\I cannot give in.\If I give in, then Ingenium will die. response:	Out of the question.
context: You're an anachronistic fundamentalist.\Iida, don't listen to the logic of a murderer.\No, he's right.\I have no right to call myself a hero...\Even so,\I cannot give in.\If I give in, then Ingenium will die.\Out of the question. response:	Idiot! The hero killer is after me and that kid in white armor, right?
context: Iida, don't listen to the logic of a murderer.\No, he's right.\I have no right to call myself a hero...\Even so,\I cannot give in.\If I give in, then Ingenium will die.\Out of the question.\Idiot! The hero killer is after me and that kid in white armor, right? response:	Don't fight back. It'd be better if you ran away!
context: No, he's right.\I have no right to call myself a hero...\Even so,\I cannot give in.\If I give in, then Ingenium will die.\Out of the question.\Idiot! The hero killer is after me and that kid in white armor, right?\Don't fight back. It'd be better if you ran away! response:	It doesn't look like he'll give me an opening to do that.
context: I have no right to call myself a hero...\Even so,\I cannot give in.\If I give in, then Ingenium will die.\Out of the question.\Idiot! The hero killer is after me and that kid in white armor, right?\Don't fight back. It'd be better if you ran away!\It doesn't look like he'll give me an opening to do that. response:	Something clearly changed just now.
context: Even so,\I cannot give in.\If I give in, then Ingenium will die.\Out of the question.\Idiot! The hero killer is after me and that kid in white armor, right?\Don't fight back. It'd be better if you ran away!\It doesn't look like he'll give me an opening to do that.\Something clearly changed just now. response:	He's flustered.
context: I cannot give in.\If I give in, then Ingenium will die.\Out of the question.\Idiot! The hero killer is after me and that kid in white armor, right?\Don't fight back. It'd be better if you ran away!\It doesn't look like he'll give me an opening to do that.\Something clearly changed just now.\He's flustered. response:	There's the uncertain element of blood type, and he needs to get in close for it to work.
context: If I give in, then Ingenium will die.\Out of the question.\Idiot! The hero killer is after me and that kid in white armor, right?\Don't fight back. It'd be better if you ran away!\It doesn't look like he'll give me an opening to do that.\Something clearly changed just now.\He's flustered.\There's the uncertain element of blood type, and he needs to get in close for it to work. response:	On top of that, it doesn't last very long...
context: Out of the question.\Idiot! The hero killer is after me and that kid in white armor, right?\Don't fight back. It'd be better if you ran away!\It doesn't look like he'll give me an opening to do that.\Something clearly changed just now.\He's flustered.\There's the uncertain element of blood type, and he needs to get in close for it to work.\On top of that, it doesn't last very long... response:	Looking at just his Quirk, he's not especially powerful.
context: Idiot! The hero killer is after me and that kid in white armor, right?\Don't fight back. It'd be better if you ran away!\It doesn't look like he'll give me an opening to do that.\Something clearly changed just now.\He's flustered.\There's the uncertain element of blood type, and he needs to get in close for it to work.\On top of that, it doesn't last very long...\Looking at just his Quirk, he's not especially powerful. response:	Taking on multiple opponents alone must be hard for him to deal with.
context: Don't fight back. It'd be better if you ran away!\It doesn't look like he'll give me an opening to do that.\Something clearly changed just now.\He's flustered.\There's the uncertain element of blood type, and he needs to get in close for it to work.\On top of that, it doesn't last very long...\Looking at just his Quirk, he's not especially powerful.\Taking on multiple opponents alone must be hard for him to deal with. response:	He's gotten desperate trying to kill Iida and this person before the pros come.
context: It doesn't look like he'll give me an opening to do that.\Something clearly changed just now.\He's flustered.\There's the uncertain element of blood type, and he needs to get in close for it to work.\On top of that, it doesn't last very long...\Looking at just his Quirk, he's not especially powerful.\Taking on multiple opponents alone must be hard for him to deal with.\He's gotten desperate trying to kill Iida and this person before the pros come. response:	He's got crazy tenacity...
context: Something clearly changed just now.\He's flustered.\There's the uncertain element of blood type, and he needs to get in close for it to work.\On top of that, it doesn't last very long...\Looking at just his Quirk, he's not especially powerful.\Taking on multiple opponents alone must be hard for him to deal with.\He's gotten desperate trying to kill Iida and this person before the pros come.\He's got crazy tenacity... response:	Oh no, Recipro's done.
context: He's flustered.\There's the uncertain element of blood type, and he needs to get in close for it to work.\On top of that, it doesn't last very long...\Looking at just his Quirk, he's not especially powerful.\Taking on multiple opponents alone must be hard for him to deal with.\He's gotten desperate trying to kill Iida and this person before the pros come.\He's got crazy tenacity...\Oh no, Recipro's done. response:	Did I break the radiator during my kick earlier?
context: There's the uncertain element of blood type, and he needs to get in close for it to work.\On top of that, it doesn't last very long...\Looking at just his Quirk, he's not especially powerful.\Taking on multiple opponents alone must be hard for him to deal with.\He's gotten desperate trying to kill Iida and this person before the pros come.\He's got crazy tenacity...\Oh no, Recipro's done.\Did I break the radiator during my kick earlier? response:	Todoroki, can you regulate temperature?
context: On top of that, it doesn't last very long...\Looking at just his Quirk, he's not especially powerful.\Taking on multiple opponents alone must be hard for him to deal with.\He's gotten desperate trying to kill Iida and this person before the pros come.\He's got crazy tenacity...\Oh no, Recipro's done.\Did I break the radiator during my kick earlier?\Todoroki, can you regulate temperature? response:	I'm not used to it with my left yet. Why?
context: Looking at just his Quirk, he's not especially powerful.\Taking on multiple opponents alone must be hard for him to deal with.\He's gotten desperate trying to kill Iida and this person before the pros come.\He's got crazy tenacity...\Oh no, Recipro's done.\Did I break the radiator during my kick earlier?\Todoroki, can you regulate temperature?\I'm not used to it with my left yet. Why? response:	Freeze my legs!
context: Taking on multiple opponents alone must be hard for him to deal with.\He's gotten desperate trying to kill Iida and this person before the pros come.\He's got crazy tenacity...\Oh no, Recipro's done.\Did I break the radiator during my kick earlier?\Todoroki, can you regulate temperature?\I'm not used to it with my left yet. Why?\Freeze my legs! response:	Without plugging up the exhausts!
context: He's gotten desperate trying to kill Iida and this person before the pros come.\He's got crazy tenacity...\Oh no, Recipro's done.\Did I break the radiator during my kick earlier?\Todoroki, can you regulate temperature?\I'm not used to it with my left yet. Why?\Freeze my legs!\Without plugging up the exhausts! response:	You're in the way!
context: He's got crazy tenacity...\Oh no, Recipro's done.\Did I break the radiator during my kick earlier?\Todoroki, can you regulate temperature?\I'm not used to it with my left yet. Why?\Freeze my legs!\Without plugging up the exhausts!\You're in the way! response:	Iida!
