context: Weather conditions clear. response:	Visibility good.
context: Then, we'll work on a new formation for attacking Frigate-class foes.\That will be today's training.\Questions?\Nope.\After Salia Squad launches, get ready for the transport craft landing.\Group Three,\and Group Four, prepare for turnaround.\Help me, Onee-sama. response:	Angelise-oneesama!
context: That will be today's training.\Questions?\Nope.\After Salia Squad launches, get ready for the transport craft landing.\Group Three,\and Group Four, prepare for turnaround.\Help me, Onee-sama.\Angelise-oneesama! response:	Sylvia...
context: Questions?\Nope.\After Salia Squad launches, get ready for the transport craft landing.\Group Three,\and Group Four, prepare for turnaround.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia... response:	Arresting gear connected.
context: Nope.\After Salia Squad launches, get ready for the transport craft landing.\Group Three,\and Group Four, prepare for turnaround.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia...\Arresting gear connected. response:	Launch systems complete.
context: After Salia Squad launches, get ready for the transport craft landing.\Group Three,\and Group Four, prepare for turnaround.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia...\Arresting gear connected.\Launch systems complete. response:	All units ready for liftoff.
context: Group Three,\and Group Four, prepare for turnaround.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia...\Arresting gear connected.\Launch systems complete.\All units ready for liftoff. response:	Salia squad, lifting off.
context: and Group Four, prepare for turnaround.\Help me, Onee-sama.\Angelise-oneesama!\Sylvia...\Arresting gear connected.\Launch systems complete.\All units ready for liftoff.\Salia squad, lifting off. response:	Ange, you are clear for liftoff.
context: Help me, Onee-sama.\Angelise-oneesama!\Sylvia...\Arresting gear connected.\Launch systems complete.\All units ready for liftoff.\Salia squad, lifting off.\Ange, you are clear for liftoff. response:	Ange, you are clear for liftoff.
context: Angelise-oneesama!\Sylvia...\Arresting gear connected.\Launch systems complete.\All units ready for liftoff.\Salia squad, lifting off.\Ange, you are clear for liftoff.\Ange, you are clear for liftoff. response:	Ange, what are you doing?
context: Sylvia...\Arresting gear connected.\Launch systems complete.\All units ready for liftoff.\Salia squad, lifting off.\Ange, you are clear for liftoff.\Ange, you are clear for liftoff.\Ange, what are you doing? response:	We're stuck back here behind you.
context: Arresting gear connected.\Launch systems complete.\All units ready for liftoff.\Salia squad, lifting off.\Ange, you are clear for liftoff.\Ange, you are clear for liftoff.\Ange, what are you doing?\We're stuck back here behind you. response:	Hurry up and go, you constipation bitch!
context: Launch systems complete.\All units ready for liftoff.\Salia squad, lifting off.\Ange, you are clear for liftoff.\Ange, you are clear for liftoff.\Ange, what are you doing?\We're stuck back here behind you.\Hurry up and go, you constipation bitch! response:	Seriously. Who's the burden here?
context: All units ready for liftoff.\Salia squad, lifting off.\Ange, you are clear for liftoff.\Ange, you are clear for liftoff.\Ange, what are you doing?\We're stuck back here behind you.\Hurry up and go, you constipation bitch!\Seriously. Who's the burden here? response:	Right, Hilda?
context: Salia squad, lifting off.\Ange, you are clear for liftoff.\Ange, you are clear for liftoff.\Ange, what are you doing?\We're stuck back here behind you.\Hurry up and go, you constipation bitch!\Seriously. Who's the burden here?\Right, Hilda? response:	Hilda...
context: Ange, you are clear for liftoff.\Ange, you are clear for liftoff.\Ange, what are you doing?\We're stuck back here behind you.\Hurry up and go, you constipation bitch!\Seriously. Who's the burden here?\Right, Hilda?\Hilda... response:	What are you doing?
context: Ange, you are clear for liftoff.\Ange, what are you doing?\We're stuck back here behind you.\Hurry up and go, you constipation bitch!\Seriously. Who's the burden here?\Right, Hilda?\Hilda...\What are you doing? response:	The fleet is right there.
context: Ange, what are you doing?\We're stuck back here behind you.\Hurry up and go, you constipation bitch!\Seriously. Who's the burden here?\Right, Hilda?\Hilda...\What are you doing?\The fleet is right there. response:	Emergency launch, hurry!
context: We're stuck back here behind you.\Hurry up and go, you constipation bitch!\Seriously. Who's the burden here?\Right, Hilda?\Hilda...\What are you doing?\The fleet is right there.\Emergency launch, hurry! response:	Mei, do it.
context: Hurry up and go, you constipation bitch!\Seriously. Who's the burden here?\Right, Hilda?\Hilda...\What are you doing?\The fleet is right there.\Emergency launch, hurry!\Mei, do it. response:	Ange, emergency launch.
context: Seriously. Who's the burden here?\Right, Hilda?\Hilda...\What are you doing?\The fleet is right there.\Emergency launch, hurry!\Mei, do it.\Ange, emergency launch. response:	All stand clear.
context: Right, Hilda?\Hilda...\What are you doing?\The fleet is right there.\Emergency launch, hurry!\Mei, do it.\Ange, emergency launch.\All stand clear. response:	Engaging emergency launch system.
context: Hilda...\What are you doing?\The fleet is right there.\Emergency launch, hurry!\Mei, do it.\Ange, emergency launch.\All stand clear.\Engaging emergency launch system. response:	What was that for?
context: What are you doing?\The fleet is right there.\Emergency launch, hurry!\Mei, do it.\Ange, emergency launch.\All stand clear.\Engaging emergency launch system.\What was that for? response:	You were just sitting there.
context: The fleet is right there.\Emergency launch, hurry!\Mei, do it.\Ange, emergency launch.\All stand clear.\Engaging emergency launch system.\What was that for?\You were just sitting there. response:	The fleet is coming in for landing.
context: Emergency launch, hurry!\Mei, do it.\Ange, emergency launch.\All stand clear.\Engaging emergency launch system.\What was that for?\You were just sitting there.\The fleet is coming in for landing. response:	Again, don't be rude to them.
context: Mei, do it.\Ange, emergency launch.\All stand clear.\Engaging emergency launch system.\What was that for?\You were just sitting there.\The fleet is coming in for landing.\Again, don't be rude to them. response:	Here it comes, the Festa.
context: Ange, emergency launch.\All stand clear.\Engaging emergency launch system.\What was that for?\You were just sitting there.\The fleet is coming in for landing.\Again, don't be rude to them.\Here it comes, the Festa. response:	Festa?
context: All stand clear.\Engaging emergency launch system.\What was that for?\You were just sitting there.\The fleet is coming in for landing.\Again, don't be rude to them.\Here it comes, the Festa.\Festa? response:	You didn't know, Ange-chan?
context: Engaging emergency launch system.\What was that for?\You were just sitting there.\The fleet is coming in for landing.\Again, don't be rude to them.\Here it comes, the Festa.\Festa?\You didn't know, Ange-chan? response:	The Festa is
context: What was that for?\You were just sitting there.\The fleet is coming in for landing.\Again, don't be rude to them.\Here it comes, the Festa.\Festa?\You didn't know, Ange-chan?\The Festa is response:	They fight the DRAGON in those?
context: You were just sitting there.\The fleet is coming in for landing.\Again, don't be rude to them.\Here it comes, the Festa.\Festa?\You didn't know, Ange-chan?\The Festa is\They fight the DRAGON in those? response:	That's correct, Misty-sama.
context: The fleet is coming in for landing.\Again, don't be rude to them.\Here it comes, the Festa.\Festa?\You didn't know, Ange-chan?\The Festa is\They fight the DRAGON in those?\That's correct, Misty-sama. response:	Bikini Escape
context: Again, don't be rude to them.\Here it comes, the Festa.\Festa?\You didn't know, Ange-chan?\The Festa is\They fight the DRAGON in those?\That's correct, Misty-sama.\Bikini Escape response:	It's the Festa!
context: Here it comes, the Festa.\Festa?\You didn't know, Ange-chan?\The Festa is\They fight the DRAGON in those?\That's correct, Misty-sama.\Bikini Escape\It's the Festa! response:	This is the Festa?
context: Festa?\You didn't know, Ange-chan?\The Festa is\They fight the DRAGON in those?\That's correct, Misty-sama.\Bikini Escape\It's the Festa!\This is the Festa? response:	Every year, the humans give us just this one day off.
context: You didn't know, Ange-chan?\The Festa is\They fight the DRAGON in those?\That's correct, Misty-sama.\Bikini Escape\It's the Festa!\This is the Festa?\Every year, the humans give us just this one day off. response:	We're relieved of all training until tomorrow.
context: The Festa is\They fight the DRAGON in those?\That's correct, Misty-sama.\Bikini Escape\It's the Festa!\This is the Festa?\Every year, the humans give us just this one day off.\We're relieved of all training until tomorrow. response:	It's a one-day festival for us Norma.
context: They fight the DRAGON in those?\That's correct, Misty-sama.\Bikini Escape\It's the Festa!\This is the Festa?\Every year, the humans give us just this one day off.\We're relieved of all training until tomorrow.\It's a one-day festival for us Norma. response:	It's a day of hope for us so we can endure our cruel tomorrow.
context: That's correct, Misty-sama.\Bikini Escape\It's the Festa!\This is the Festa?\Every year, the humans give us just this one day off.\We're relieved of all training until tomorrow.\It's a one-day festival for us Norma.\It's a day of hope for us so we can endure our cruel tomorrow. response:	Pero, pero!
context: Bikini Escape\It's the Festa!\This is the Festa?\Every year, the humans give us just this one day off.\We're relieved of all training until tomorrow.\It's a one-day festival for us Norma.\It's a day of hope for us so we can endure our cruel tomorrow.\Pero, pero! response:	Every good girl gets a present from Perolina!
context: It's the Festa!\This is the Festa?\Every year, the humans give us just this one day off.\We're relieved of all training until tomorrow.\It's a one-day festival for us Norma.\It's a day of hope for us so we can endure our cruel tomorrow.\Pero, pero!\Every good girl gets a present from Perolina! response:	Thank you, Perolina.
context: This is the Festa?\Every year, the humans give us just this one day off.\We're relieved of all training until tomorrow.\It's a one-day festival for us Norma.\It's a day of hope for us so we can endure our cruel tomorrow.\Pero, pero!\Every good girl gets a present from Perolina!\Thank you, Perolina. response:	A chance for the slaves to vent steam, huh?
context: Every year, the humans give us just this one day off.\We're relieved of all training until tomorrow.\It's a one-day festival for us Norma.\It's a day of hope for us so we can endure our cruel tomorrow.\Pero, pero!\Every good girl gets a present from Perolina!\Thank you, Perolina.\A chance for the slaves to vent steam, huh? response:	Fine.
context: We're relieved of all training until tomorrow.\It's a one-day festival for us Norma.\It's a day of hope for us so we can endure our cruel tomorrow.\Pero, pero!\Every good girl gets a present from Perolina!\Thank you, Perolina.\A chance for the slaves to vent steam, huh?\Fine. response:	But what's with this?
context: It's a one-day festival for us Norma.\It's a day of hope for us so we can endure our cruel tomorrow.\Pero, pero!\Every good girl gets a present from Perolina!\Thank you, Perolina.\A chance for the slaves to vent steam, huh?\Fine.\But what's with this? response:	It's a tradition.
context: It's a day of hope for us so we can endure our cruel tomorrow.\Pero, pero!\Every good girl gets a present from Perolina!\Thank you, Perolina.\A chance for the slaves to vent steam, huh?\Fine.\But what's with this?\It's a tradition. response:	The uniforms and rider suits are too stuffy.
context: Pero, pero!\Every good girl gets a present from Perolina!\Thank you, Perolina.\A chance for the slaves to vent steam, huh?\Fine.\But what's with this?\It's a tradition.\The uniforms and rider suits are too stuffy. response:	Aren't you embarrassed?
context: Every good girl gets a present from Perolina!\Thank you, Perolina.\A chance for the slaves to vent steam, huh?\Fine.\But what's with this?\It's a tradition.\The uniforms and rider suits are too stuffy.\Aren't you embarrassed? response:	Being in a bathing suit, I mean.
context: Thank you, Perolina.\A chance for the slaves to vent steam, huh?\Fine.\But what's with this?\It's a tradition.\The uniforms and rider suits are too stuffy.\Aren't you embarrassed?\Being in a bathing suit, I mean. response:	Thank you for coming so far, Princess Misty Rosenblum.
context: A chance for the slaves to vent steam, huh?\Fine.\But what's with this?\It's a tradition.\The uniforms and rider suits are too stuffy.\Aren't you embarrassed?\Being in a bathing suit, I mean.\Thank you for coming so far, Princess Misty Rosenblum. response:	Arzenal administration is the Rosenblum family's duty.
context: Fine.\But what's with this?\It's a tradition.\The uniforms and rider suits are too stuffy.\Aren't you embarrassed?\Being in a bathing suit, I mean.\Thank you for coming so far, Princess Misty Rosenblum.\Arzenal administration is the Rosenblum family's duty. response:	You have finished your baptism ritual, haven't you?
context: But what's with this?\It's a tradition.\The uniforms and rider suits are too stuffy.\Aren't you embarrassed?\Being in a bathing suit, I mean.\Thank you for coming so far, Princess Misty Rosenblum.\Arzenal administration is the Rosenblum family's duty.\You have finished your baptism ritual, haven't you? response:	Yes.
context: It's a tradition.\The uniforms and rider suits are too stuffy.\Aren't you embarrassed?\Being in a bathing suit, I mean.\Thank you for coming so far, Princess Misty Rosenblum.\Arzenal administration is the Rosenblum family's duty.\You have finished your baptism ritual, haven't you?\Yes. response:	Congratulations.
context: The uniforms and rider suits are too stuffy.\Aren't you embarrassed?\Being in a bathing suit, I mean.\Thank you for coming so far, Princess Misty Rosenblum.\Arzenal administration is the Rosenblum family's duty.\You have finished your baptism ritual, haven't you?\Yes.\Congratulations. response:	You're now a full member of the royal family.
context: Aren't you embarrassed?\Being in a bathing suit, I mean.\Thank you for coming so far, Princess Misty Rosenblum.\Arzenal administration is the Rosenblum family's duty.\You have finished your baptism ritual, haven't you?\Yes.\Congratulations.\You're now a full member of the royal family. response:	May I ask one thing?
context: Being in a bathing suit, I mean.\Thank you for coming so far, Princess Misty Rosenblum.\Arzenal administration is the Rosenblum family's duty.\You have finished your baptism ritual, haven't you?\Yes.\Congratulations.\You're now a full member of the royal family.\May I ask one thing? response:	Yes, anything.
context: Thank you for coming so far, Princess Misty Rosenblum.\Arzenal administration is the Rosenblum family's duty.\You have finished your baptism ritual, haven't you?\Yes.\Congratulations.\You're now a full member of the royal family.\May I ask one thing?\Yes, anything. response:	I've heard that Angelise-sama is here.
context: Arzenal administration is the Rosenblum family's duty.\You have finished your baptism ritual, haven't you?\Yes.\Congratulations.\You're now a full member of the royal family.\May I ask one thing?\Yes, anything.\I've heard that Angelise-sama is here. response:	The Empire of Misurugi's First Princess, Angelise-sama.
context: You have finished your baptism ritual, haven't you?\Yes.\Congratulations.\You're now a full member of the royal family.\May I ask one thing?\Yes, anything.\I've heard that Angelise-sama is here.\The Empire of Misurugi's First Princess, Angelise-sama. response:	Th-There is no such person here.
context: Yes.\Congratulations.\You're now a full member of the royal family.\May I ask one thing?\Yes, anything.\I've heard that Angelise-sama is here.\The Empire of Misurugi's First Princess, Angelise-sama.\Th-There is no such person here. response:	Then please find her.
context: Congratulations.\You're now a full member of the royal family.\May I ask one thing?\Yes, anything.\I've heard that Angelise-sama is here.\The Empire of Misurugi's First Princess, Angelise-sama.\Th-There is no such person here.\Then please find her. response:	I want to see her.
context: You're now a full member of the royal family.\May I ask one thing?\Yes, anything.\I've heard that Angelise-sama is here.\The Empire of Misurugi's First Princess, Angelise-sama.\Th-There is no such person here.\Then please find her.\I want to see her. response:	No matter what.
context: May I ask one thing?\Yes, anything.\I've heard that Angelise-sama is here.\The Empire of Misurugi's First Princess, Angelise-sama.\Th-There is no such person here.\Then please find her.\I want to see her.\No matter what. response:	That's it, beat them!
context: Yes, anything.\I've heard that Angelise-sama is here.\The Empire of Misurugi's First Princess, Angelise-sama.\Th-There is no such person here.\Then please find her.\I want to see her.\No matter what.\That's it, beat them! response:	Pork Bone Impact!
context: I've heard that Angelise-sama is here.\The Empire of Misurugi's First Princess, Angelise-sama.\Th-There is no such person here.\Then please find her.\I want to see her.\No matter what.\That's it, beat them!\Pork Bone Impact! response:	Yeah, there! Go!
context: The Empire of Misurugi's First Princess, Angelise-sama.\Th-There is no such person here.\Then please find her.\I want to see her.\No matter what.\That's it, beat them!\Pork Bone Impact!\Yeah, there! Go! response:	What's wrong with Hilda?
context: Th-There is no such person here.\Then please find her.\I want to see her.\No matter what.\That's it, beat them!\Pork Bone Impact!\Yeah, there! Go!\What's wrong with Hilda? response:	You idiot!
context: Then please find her.\I want to see her.\No matter what.\That's it, beat them!\Pork Bone Impact!\Yeah, there! Go!\What's wrong with Hilda?\You idiot! response:	I feel like she's been avoiding me lately.
context: I want to see her.\No matter what.\That's it, beat them!\Pork Bone Impact!\Yeah, there! Go!\What's wrong with Hilda?\You idiot!\I feel like she's been avoiding me lately. response:	Go! Go for the last spurt!
context: No matter what.\That's it, beat them!\Pork Bone Impact!\Yeah, there! Go!\What's wrong with Hilda?\You idiot!\I feel like she's been avoiding me lately.\Go! Go for the last spurt! response:	You're the only one that can multiply my cash 307.2 times!
context: That's it, beat them!\Pork Bone Impact!\Yeah, there! Go!\What's wrong with Hilda?\You idiot!\I feel like she's been avoiding me lately.\Go! Go for the last spurt!\You're the only one that can multiply my cash 307.2 times! response:	Rosalie.
context: Pork Bone Impact!\Yeah, there! Go!\What's wrong with Hilda?\You idiot!\I feel like she's been avoiding me lately.\Go! Go for the last spurt!\You're the only one that can multiply my cash 307.2 times!\Rosalie. response:	Wh-What?
context: Yeah, there! Go!\What's wrong with Hilda?\You idiot!\I feel like she's been avoiding me lately.\Go! Go for the last spurt!\You're the only one that can multiply my cash 307.2 times!\Rosalie.\Wh-What? response:	About Hilda.
context: What's wrong with Hilda?\You idiot!\I feel like she's been avoiding me lately.\Go! Go for the last spurt!\You're the only one that can multiply my cash 307.2 times!\Rosalie.\Wh-What?\About Hilda. response:	What?
context: You idiot!\I feel like she's been avoiding me lately.\Go! Go for the last spurt!\You're the only one that can multiply my cash 307.2 times!\Rosalie.\Wh-What?\About Hilda.\What? response:	She's not at the Festa.
context: I feel like she's been avoiding me lately.\Go! Go for the last spurt!\You're the only one that can multiply my cash 307.2 times!\Rosalie.\Wh-What?\About Hilda.\What?\She's not at the Festa. response:	What's wrong with her?
context: Go! Go for the last spurt!\You're the only one that can multiply my cash 307.2 times!\Rosalie.\Wh-What?\About Hilda.\What?\She's not at the Festa.\What's wrong with her? response:	It's probably her period or something.
context: You're the only one that can multiply my cash 307.2 times!\Rosalie.\Wh-What?\About Hilda.\What?\She's not at the Festa.\What's wrong with her?\It's probably her period or something. response:	Shouldn't we go get her?
context: Rosalie.\Wh-What?\About Hilda.\What?\She's not at the Festa.\What's wrong with her?\It's probably her period or something.\Shouldn't we go get her? response:	Leave her.
context: Wh-What?\About Hilda.\What?\She's not at the Festa.\What's wrong with her?\It's probably her period or something.\Shouldn't we go get her?\Leave her. response:	She's not here, so she doesn't want to be with anyone.
context: About Hilda.\What?\She's not at the Festa.\What's wrong with her?\It's probably her period or something.\Shouldn't we go get her?\Leave her.\She's not here, so she doesn't want to be with anyone. response:	But
context: What?\She's not at the Festa.\What's wrong with her?\It's probably her period or something.\Shouldn't we go get her?\Leave her.\She's not here, so she doesn't want to be with anyone.\But response:	Have we ever been able to figure out what Hilda's thinking?
context: She's not at the Festa.\What's wrong with her?\It's probably her period or something.\Shouldn't we go get her?\Leave her.\She's not here, so she doesn't want to be with anyone.\But\Have we ever been able to figure out what Hilda's thinking? response:	Leave her, she'll be back to normal eventually.
context: What's wrong with her?\It's probably her period or something.\Shouldn't we go get her?\Leave her.\She's not here, so she doesn't want to be with anyone.\But\Have we ever been able to figure out what Hilda's thinking?\Leave her, she'll be back to normal eventually. response:	How can you get sniped?
context: It's probably her period or something.\Shouldn't we go get her?\Leave her.\She's not here, so she doesn't want to be with anyone.\But\Have we ever been able to figure out what Hilda's thinking?\Leave her, she'll be back to normal eventually.\How can you get sniped? response:	Pork Bone Impact!
context: Shouldn't we go get her?\Leave her.\She's not here, so she doesn't want to be with anyone.\But\Have we ever been able to figure out what Hilda's thinking?\Leave her, she'll be back to normal eventually.\How can you get sniped?\Pork Bone Impact! response:	Tu m'aime?
context: Leave her.\She's not here, so she doesn't want to be with anyone.\But\Have we ever been able to figure out what Hilda's thinking?\Leave her, she'll be back to normal eventually.\How can you get sniped?\Pork Bone Impact!\Tu m'aime? response:	Je t'aime.
context: She's not here, so she doesn't want to be with anyone.\But\Have we ever been able to figure out what Hilda's thinking?\Leave her, she'll be back to normal eventually.\How can you get sniped?\Pork Bone Impact!\Tu m'aime?\Je t'aime. response:	Je t'aime.
context: But\Have we ever been able to figure out what Hilda's thinking?\Leave her, she'll be back to normal eventually.\How can you get sniped?\Pork Bone Impact!\Tu m'aime?\Je t'aime.\Je t'aime. response:	Je t'aime.
context: Have we ever been able to figure out what Hilda's thinking?\Leave her, she'll be back to normal eventually.\How can you get sniped?\Pork Bone Impact!\Tu m'aime?\Je t'aime.\Je t'aime.\Je t'aime. response:	It sure is lively.
context: Leave her, she'll be back to normal eventually.\How can you get sniped?\Pork Bone Impact!\Tu m'aime?\Je t'aime.\Je t'aime.\Je t'aime.\It sure is lively. response:	It's almost like a school festi
context: How can you get sniped?\Pork Bone Impact!\Tu m'aime?\Je t'aime.\Je t'aime.\Je t'aime.\It sure is lively.\It's almost like a school festi response:	I'm sorry.
context: Pork Bone Impact!\Tu m'aime?\Je t'aime.\Je t'aime.\Je t'aime.\It sure is lively.\It's almost like a school festi\I'm sorry. response:	Angelise-sama.
context: Tu m'aime?\Je t'aime.\Je t'aime.\Je t'aime.\It sure is lively.\It's almost like a school festi\I'm sorry.\Angelise-sama. response:	Sylvia-sama, right?
context: Je t'aime.\Je t'aime.\Je t'aime.\It sure is lively.\It's almost like a school festi\I'm sorry.\Angelise-sama.\Sylvia-sama, right? response:	There's no point worrying about it.
context: Je t'aime.\Je t'aime.\It sure is lively.\It's almost like a school festi\I'm sorry.\Angelise-sama.\Sylvia-sama, right?\There's no point worrying about it. response:	There isn't anything I can do right now anyway.
context: Je t'aime.\It sure is lively.\It's almost like a school festi\I'm sorry.\Angelise-sama.\Sylvia-sama, right?\There's no point worrying about it.\There isn't anything I can do right now anyway. response:	But... I have a call.
context: It sure is lively.\It's almost like a school festi\I'm sorry.\Angelise-sama.\Sylvia-sama, right?\There's no point worrying about it.\There isn't anything I can do right now anyway.\But... I have a call. response:	Sylvia?
context: It's almost like a school festi\I'm sorry.\Angelise-sama.\Sylvia-sama, right?\There's no point worrying about it.\There isn't anything I can do right now anyway.\But... I have a call.\Sylvia? response:	No.
context: I'm sorry.\Angelise-sama.\Sylvia-sama, right?\There's no point worrying about it.\There isn't anything I can do right now anyway.\But... I have a call.\Sylvia?\No. response:	Emma-san.
context: Angelise-sama.\Sylvia-sama, right?\There's no point worrying about it.\There isn't anything I can do right now anyway.\But... I have a call.\Sylvia?\No.\Emma-san. response:	It's from the Officer.
context: Sylvia-sama, right?\There's no point worrying about it.\There isn't anything I can do right now anyway.\But... I have a call.\Sylvia?\No.\Emma-san.\It's from the Officer. response:	Oh. I see.
context: There's no point worrying about it.\There isn't anything I can do right now anyway.\But... I have a call.\Sylvia?\No.\Emma-san.\It's from the Officer.\Oh. I see. response:	Yes, Momoka here.
context: There isn't anything I can do right now anyway.\But... I have a call.\Sylvia?\No.\Emma-san.\It's from the Officer.\Oh. I see.\Yes, Momoka here. response:	Yes.
context: But... I have a call.\Sylvia?\No.\Emma-san.\It's from the Officer.\Oh. I see.\Yes, Momoka here.\Yes. response:	What?
context: Sylvia?\No.\Emma-san.\It's from the Officer.\Oh. I see.\Yes, Momoka here.\Yes.\What? response:	Angelise-sama.
context: No.\Emma-san.\It's from the Officer.\Oh. I see.\Yes, Momoka here.\Yes.\What?\Angelise-sama. response:	What's wrong?
context: Emma-san.\It's from the Officer.\Oh. I see.\Yes, Momoka here.\Yes.\What?\Angelise-sama.\What's wrong? response:	There's someone that would like to meet you.
context: It's from the Officer.\Oh. I see.\Yes, Momoka here.\Yes.\What?\Angelise-sama.\What's wrong?\There's someone that would like to meet you. response:	Me?
context: Oh. I see.\Yes, Momoka here.\Yes.\What?\Angelise-sama.\What's wrong?\There's someone that would like to meet you.\Me? response:	Who?
context: Yes, Momoka here.\Yes.\What?\Angelise-sama.\What's wrong?\There's someone that would like to meet you.\Me?\Who? response:	Misty-sama.
context: Yes.\What?\Angelise-sama.\What's wrong?\There's someone that would like to meet you.\Me?\Who?\Misty-sama. response:	Misty?
context: What?\Angelise-sama.\What's wrong?\There's someone that would like to meet you.\Me?\Who?\Misty-sama.\Misty? response:	Misty Rosenblum?
context: Angelise-sama.\What's wrong?\There's someone that would like to meet you.\Me?\Who?\Misty-sama.\Misty?\Misty Rosenblum? response:	I'm told she's the fleet's representative.
context: What's wrong?\There's someone that would like to meet you.\Me?\Who?\Misty-sama.\Misty?\Misty Rosenblum?\I'm told she's the fleet's representative. response:	She'd like to meet you.
context: There's someone that would like to meet you.\Me?\Who?\Misty-sama.\Misty?\Misty Rosenblum?\I'm told she's the fleet's representative.\She'd like to meet you. response:	What'd be the point?
context: Me?\Who?\Misty-sama.\Misty?\Misty Rosenblum?\I'm told she's the fleet's representative.\She'd like to meet you.\What'd be the point? response:	Does she want to mock me?
context: Who?\Misty-sama.\Misty?\Misty Rosenblum?\I'm told she's the fleet's representative.\She'd like to meet you.\What'd be the point?\Does she want to mock me? response:	W-Well
context: Misty-sama.\Misty?\Misty Rosenblum?\I'm told she's the fleet's representative.\She'd like to meet you.\What'd be the point?\Does she want to mock me?\W-Well response:	Um... Angelise-sama?
context: Misty?\Misty Rosenblum?\I'm told she's the fleet's representative.\She'd like to meet you.\What'd be the point?\Does she want to mock me?\W-Well\Um... Angelise-sama? response:	I don't want to bother. I'm disappearing.
context: Misty Rosenblum?\I'm told she's the fleet's representative.\She'd like to meet you.\What'd be the point?\Does she want to mock me?\W-Well\Um... Angelise-sama?\I don't want to bother. I'm disappearing. response:	Go away.
context: I'm told she's the fleet's representative.\She'd like to meet you.\What'd be the point?\Does she want to mock me?\W-Well\Um... Angelise-sama?\I don't want to bother. I'm disappearing.\Go away. response:	You'll blow my cover if you're near.
context: She'd like to meet you.\What'd be the point?\Does she want to mock me?\W-Well\Um... Angelise-sama?\I don't want to bother. I'm disappearing.\Go away.\You'll blow my cover if you're near. response:	B-But Angelise-sama!
context: What'd be the point?\Does she want to mock me?\W-Well\Um... Angelise-sama?\I don't want to bother. I'm disappearing.\Go away.\You'll blow my cover if you're near.\B-But Angelise-sama! response:	My name is Perolina, pero.
context: Does she want to mock me?\W-Well\Um... Angelise-sama?\I don't want to bother. I'm disappearing.\Go away.\You'll blow my cover if you're near.\B-But Angelise-sama!\My name is Perolina, pero. response:	Perolina-sama.
context: W-Well\Um... Angelise-sama?\I don't want to bother. I'm disappearing.\Go away.\You'll blow my cover if you're near.\B-But Angelise-sama!\My name is Perolina, pero.\Perolina-sama. response:	Barbecue squid is so good.
context: Um... Angelise-sama?\I don't want to bother. I'm disappearing.\Go away.\You'll blow my cover if you're near.\B-But Angelise-sama!\My name is Perolina, pero.\Perolina-sama.\Barbecue squid is so good. response:	You eat so much, Vivian.
context: I don't want to bother. I'm disappearing.\Go away.\You'll blow my cover if you're near.\B-But Angelise-sama!\My name is Perolina, pero.\Perolina-sama.\Barbecue squid is so good.\You eat so much, Vivian. response:	The sports festival's coming up.
context: Go away.\You'll blow my cover if you're near.\B-But Angelise-sama!\My name is Perolina, pero.\Perolina-sama.\Barbecue squid is so good.\You eat so much, Vivian.\The sports festival's coming up. response:	I need to be ready!
