context: Byousoku 5 Centimeters response:	Chapter 1
context: Takaki-kun!\Next year, wouldn't it be good to watch the cherry blossoms together again?\Oukashou\Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while.\It's hot during summer over here... however,\it's much cooler compared to Tokyo.\But come to think of it, I still prefer the sweltering summer in Tokyo.\The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance, response:	and the overly-cold air-conditioning in the department stores and subway.
context: Next year, wouldn't it be good to watch the cherry blossoms together again?\Oukashou\Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while.\It's hot during summer over here... however,\it's much cooler compared to Tokyo.\But come to think of it, I still prefer the sweltering summer in Tokyo.\The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance,\and the overly-cold air-conditioning in the department stores and subway. response:	We last met at the primary school graduation ceremony...
context: Oukashou\Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while.\It's hot during summer over here... however,\it's much cooler compared to Tokyo.\But come to think of it, I still prefer the sweltering summer in Tokyo.\The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance,\and the overly-cold air-conditioning in the department stores and subway.\We last met at the primary school graduation ceremony... response:	It has been half a year since
context: Dear Tohno Takaki-sama, I'm really sorry for not having contacted you in a while.\It's hot during summer over here... however,\it's much cooler compared to Tokyo.\But come to think of it, I still prefer the sweltering summer in Tokyo.\The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance,\and the overly-cold air-conditioning in the department stores and subway.\We last met at the primary school graduation ceremony...\It has been half a year since response:	Hey... Takaki-kun,
context: It's hot during summer over here... however,\it's much cooler compared to Tokyo.\But come to think of it, I still prefer the sweltering summer in Tokyo.\The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance,\and the overly-cold air-conditioning in the department stores and subway.\We last met at the primary school graduation ceremony...\It has been half a year since\Hey... Takaki-kun, response:	do you still remember me?
context: it's much cooler compared to Tokyo.\But come to think of it, I still prefer the sweltering summer in Tokyo.\The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance,\and the overly-cold air-conditioning in the department stores and subway.\We last met at the primary school graduation ceremony...\It has been half a year since\Hey... Takaki-kun,\do you still remember me? response:	Greetings to Takaki-kun!
context: But come to think of it, I still prefer the sweltering summer in Tokyo.\The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance,\and the overly-cold air-conditioning in the department stores and subway.\We last met at the primary school graduation ceremony...\It has been half a year since\Hey... Takaki-kun,\do you still remember me?\Greetings to Takaki-kun! response:	Thanks for the reply. I was really happy about it!
context: The asphalt which looks as though it might melt, the shimmering high-rise buildings in the distance,\and the overly-cold air-conditioning in the department stores and subway.\We last met at the primary school graduation ceremony...\It has been half a year since\Hey... Takaki-kun,\do you still remember me?\Greetings to Takaki-kun!\Thanks for the reply. I was really happy about it! response:	It'll soon be autumn, right? The autumn leaves here are beautiful.
context: and the overly-cold air-conditioning in the department stores and subway.\We last met at the primary school graduation ceremony...\It has been half a year since\Hey... Takaki-kun,\do you still remember me?\Greetings to Takaki-kun!\Thanks for the reply. I was really happy about it!\It'll soon be autumn, right? The autumn leaves here are beautiful. response:	Yesterday, I dug out my first sweater of the year.
context: We last met at the primary school graduation ceremony...\It has been half a year since\Hey... Takaki-kun,\do you still remember me?\Greetings to Takaki-kun!\Thanks for the reply. I was really happy about it!\It'll soon be autumn, right? The autumn leaves here are beautiful.\Yesterday, I dug out my first sweater of the year. response:	Tohno-kun
context: It has been half a year since\Hey... Takaki-kun,\do you still remember me?\Greetings to Takaki-kun!\Thanks for the reply. I was really happy about it!\It'll soon be autumn, right? The autumn leaves here are beautiful.\Yesterday, I dug out my first sweater of the year.\Tohno-kun response:	Senpai
context: Hey... Takaki-kun,\do you still remember me?\Greetings to Takaki-kun!\Thanks for the reply. I was really happy about it!\It'll soon be autumn, right? The autumn leaves here are beautiful.\Yesterday, I dug out my first sweater of the year.\Tohno-kun\Senpai response:	What's that? A love letter?
context: do you still remember me?\Greetings to Takaki-kun!\Thanks for the reply. I was really happy about it!\It'll soon be autumn, right? The autumn leaves here are beautiful.\Yesterday, I dug out my first sweater of the year.\Tohno-kun\Senpai\What's that? A love letter? response:	Ah, that's not it.
context: Greetings to Takaki-kun!\Thanks for the reply. I was really happy about it!\It'll soon be autumn, right? The autumn leaves here are beautiful.\Yesterday, I dug out my first sweater of the year.\Tohno-kun\Senpai\What's that? A love letter?\Ah, that's not it. response:	I'm sorry for leaving you to do all these.
context: Thanks for the reply. I was really happy about it!\It'll soon be autumn, right? The autumn leaves here are beautiful.\Yesterday, I dug out my first sweater of the year.\Tohno-kun\Senpai\What's that? A love letter?\Ah, that's not it.\I'm sorry for leaving you to do all these. response:	It's OK. It'll be finished soon.
context: It'll soon be autumn, right? The autumn leaves here are beautiful.\Yesterday, I dug out my first sweater of the year.\Tohno-kun\Senpai\What's that? A love letter?\Ah, that's not it.\I'm sorry for leaving you to do all these.\It's OK. It'll be finished soon. response:	Thanks. Hey, is it true that you're going to switch schools?
context: Yesterday, I dug out my first sweater of the year.\Tohno-kun\Senpai\What's that? A love letter?\Ah, that's not it.\I'm sorry for leaving you to do all these.\It's OK. It'll be finished soon.\Thanks. Hey, is it true that you're going to switch schools? response:	Ah. Yes. During the third semester.
context: Tohno-kun\Senpai\What's that? A love letter?\Ah, that's not it.\I'm sorry for leaving you to do all these.\It's OK. It'll be finished soon.\Thanks. Hey, is it true that you're going to switch schools?\Ah. Yes. During the third semester. response:	Where to?
context: Senpai\What's that? A love letter?\Ah, that's not it.\I'm sorry for leaving you to do all these.\It's OK. It'll be finished soon.\Thanks. Hey, is it true that you're going to switch schools?\Ah. Yes. During the third semester.\Where to? response:	Over to Kagoshima. It's due to my parents' jobs.
context: What's that? A love letter?\Ah, that's not it.\I'm sorry for leaving you to do all these.\It's OK. It'll be finished soon.\Thanks. Hey, is it true that you're going to switch schools?\Ah. Yes. During the third semester.\Where to?\Over to Kagoshima. It's due to my parents' jobs. response:	Is that so... It'll be lonely then.
context: Ah, that's not it.\I'm sorry for leaving you to do all these.\It's OK. It'll be finished soon.\Thanks. Hey, is it true that you're going to switch schools?\Ah. Yes. During the third semester.\Where to?\Over to Kagoshima. It's due to my parents' jobs.\Is that so... It'll be lonely then. response:	Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train.
context: I'm sorry for leaving you to do all these.\It's OK. It'll be finished soon.\Thanks. Hey, is it true that you're going to switch schools?\Ah. Yes. During the third semester.\Where to?\Over to Kagoshima. It's due to my parents' jobs.\Is that so... It'll be lonely then.\Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train. response:	I just had a haircut recently.
context: It's OK. It'll be finished soon.\Thanks. Hey, is it true that you're going to switch schools?\Ah. Yes. During the third semester.\Where to?\Over to Kagoshima. It's due to my parents' jobs.\Is that so... It'll be lonely then.\Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train.\I just had a haircut recently. response:	It's become short enough to just see my ears.
context: Thanks. Hey, is it true that you're going to switch schools?\Ah. Yes. During the third semester.\Where to?\Over to Kagoshima. It's due to my parents' jobs.\Is that so... It'll be lonely then.\Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train.\I just had a haircut recently.\It's become short enough to just see my ears. response:	If we do meet up, you'll probably won't be able to recognize me right?
context: Ah. Yes. During the third semester.\Where to?\Over to Kagoshima. It's due to my parents' jobs.\Is that so... It'll be lonely then.\Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train.\I just had a haircut recently.\It's become short enough to just see my ears.\If we do meet up, you'll probably won't be able to recognize me right? response:	I'm back.
context: Where to?\Over to Kagoshima. It's due to my parents' jobs.\Is that so... It'll be lonely then.\Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train.\I just had a haircut recently.\It's become short enough to just see my ears.\If we do meet up, you'll probably won't be able to recognize me right?\I'm back. response:	You are also changing bit by bit, aren't you?
context: Over to Kagoshima. It's due to my parents' jobs.\Is that so... It'll be lonely then.\Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train.\I just had a haircut recently.\It's become short enough to just see my ears.\If we do meet up, you'll probably won't be able to recognize me right?\I'm back.\You are also changing bit by bit, aren't you? response:	Salutations. The cold weather continues. How are you doing?
context: Is that so... It'll be lonely then.\Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train.\I just had a haircut recently.\It's become short enough to just see my ears.\If we do meet up, you'll probably won't be able to recognize me right?\I'm back.\You are also changing bit by bit, aren't you?\Salutations. The cold weather continues. How are you doing? response:	It had been snowing here countless times.
context: Club activities have recently started earlier in the morning. That's why I'm currently writing this letter on the train.\I just had a haircut recently.\It's become short enough to just see my ears.\If we do meet up, you'll probably won't be able to recognize me right?\I'm back.\You are also changing bit by bit, aren't you?\Salutations. The cold weather continues. How are you doing?\It had been snowing here countless times. response:	I had to wear really thick clothes to school because of that.
context: I just had a haircut recently.\It's become short enough to just see my ears.\If we do meet up, you'll probably won't be able to recognize me right?\I'm back.\You are also changing bit by bit, aren't you?\Salutations. The cold weather continues. How are you doing?\It had been snowing here countless times.\I had to wear really thick clothes to school because of that. response:	It hasn't started snowing in Tokyo right?
context: It's become short enough to just see my ears.\If we do meet up, you'll probably won't be able to recognize me right?\I'm back.\You are also changing bit by bit, aren't you?\Salutations. The cold weather continues. How are you doing?\It had been snowing here countless times.\I had to wear really thick clothes to school because of that.\It hasn't started snowing in Tokyo right? response:	I haven't gotten used to the move,
context: If we do meet up, you'll probably won't be able to recognize me right?\I'm back.\You are also changing bit by bit, aren't you?\Salutations. The cold weather continues. How are you doing?\It had been snowing here countless times.\I had to wear really thick clothes to school because of that.\It hasn't started snowing in Tokyo right?\I haven't gotten used to the move, response:	so I've been watching Tokyo's weather forecast too.
context: I'm back.\You are also changing bit by bit, aren't you?\Salutations. The cold weather continues. How are you doing?\It had been snowing here countless times.\I had to wear really thick clothes to school because of that.\It hasn't started snowing in Tokyo right?\I haven't gotten used to the move,\so I've been watching Tokyo's weather forecast too. response:	Looks like it's not gonna rain...
context: You are also changing bit by bit, aren't you?\Salutations. The cold weather continues. How are you doing?\It had been snowing here countless times.\I had to wear really thick clothes to school because of that.\It hasn't started snowing in Tokyo right?\I haven't gotten used to the move,\so I've been watching Tokyo's weather forecast too.\Looks like it's not gonna rain... response:	But it's pretty hard being cooped indoors too.
context: Salutations. The cold weather continues. How are you doing?\It had been snowing here countless times.\I had to wear really thick clothes to school because of that.\It hasn't started snowing in Tokyo right?\I haven't gotten used to the move,\so I've been watching Tokyo's weather forecast too.\Looks like it's not gonna rain...\But it's pretty hard being cooped indoors too. response:	Hey, have you guys ever been to Tochigi?
context: It had been snowing here countless times.\I had to wear really thick clothes to school because of that.\It hasn't started snowing in Tokyo right?\I haven't gotten used to the move,\so I've been watching Tokyo's weather forecast too.\Looks like it's not gonna rain...\But it's pretty hard being cooped indoors too.\Hey, have you guys ever been to Tochigi? response:	Huh? Where's that?
context: I had to wear really thick clothes to school because of that.\It hasn't started snowing in Tokyo right?\I haven't gotten used to the move,\so I've been watching Tokyo's weather forecast too.\Looks like it's not gonna rain...\But it's pretty hard being cooped indoors too.\Hey, have you guys ever been to Tochigi?\Huh? Where's that? response:	Tochigi.
context: It hasn't started snowing in Tokyo right?\I haven't gotten used to the move,\so I've been watching Tokyo's weather forecast too.\Looks like it's not gonna rain...\But it's pretty hard being cooped indoors too.\Hey, have you guys ever been to Tochigi?\Huh? Where's that?\Tochigi. response:	Nope.
context: I haven't gotten used to the move,\so I've been watching Tokyo's weather forecast too.\Looks like it's not gonna rain...\But it's pretty hard being cooped indoors too.\Hey, have you guys ever been to Tochigi?\Huh? Where's that?\Tochigi.\Nope. response:	How would I get there...
context: so I've been watching Tokyo's weather forecast too.\Looks like it's not gonna rain...\But it's pretty hard being cooped indoors too.\Hey, have you guys ever been to Tochigi?\Huh? Where's that?\Tochigi.\Nope.\How would I get there... response:	Dunno... take the bullet train?
context: Looks like it's not gonna rain...\But it's pretty hard being cooped indoors too.\Hey, have you guys ever been to Tochigi?\Huh? Where's that?\Tochigi.\Nope.\How would I get there...\Dunno... take the bullet train? response:	It's far, isn't it...
context: But it's pretty hard being cooped indoors too.\Hey, have you guys ever been to Tochigi?\Huh? Where's that?\Tochigi.\Nope.\How would I get there...\Dunno... take the bullet train?\It's far, isn't it... response:	Freshmen!
context: Hey, have you guys ever been to Tochigi?\Huh? Where's that?\Tochigi.\Nope.\How would I get there...\Dunno... take the bullet train?\It's far, isn't it...\Freshmen! response:	Yes!
context: Huh? Where's that?\Tochigi.\Nope.\How would I get there...\Dunno... take the bullet train?\It's far, isn't it...\Freshmen!\Yes! response:	Three weeks to go!
context: Tochigi.\Nope.\How would I get there...\Dunno... take the bullet train?\It's far, isn't it...\Freshmen!\Yes!\Three weeks to go! response:	Fight oh! Fight oh!
context: Nope.\How would I get there...\Dunno... take the bullet train?\It's far, isn't it...\Freshmen!\Yes!\Three weeks to go!\Fight oh! Fight oh! response:	I was pretty shocked when I heard that you were transferring this time.
context: How would I get there...\Dunno... take the bullet train?\It's far, isn't it...\Freshmen!\Yes!\Three weeks to go!\Fight oh! Fight oh!\I was pretty shocked when I heard that you were transferring this time. response:	Have we both become used to transferring schools from having done so for so long?
context: Dunno... take the bullet train?\It's far, isn't it...\Freshmen!\Yes!\Three weeks to go!\Fight oh! Fight oh!\I was pretty shocked when I heard that you were transferring this time.\Have we both become used to transferring schools from having done so for so long? response:	Even still, to transfer to Kagoshima...
context: It's far, isn't it...\Freshmen!\Yes!\Three weeks to go!\Fight oh! Fight oh!\I was pretty shocked when I heard that you were transferring this time.\Have we both become used to transferring schools from having done so for so long?\Even still, to transfer to Kagoshima... response:	It's pretty far away this time, isn't it?
context: Freshmen!\Yes!\Three weeks to go!\Fight oh! Fight oh!\I was pretty shocked when I heard that you were transferring this time.\Have we both become used to transferring schools from having done so for so long?\Even still, to transfer to Kagoshima...\It's pretty far away this time, isn't it? response:	When the time comes,
context: Yes!\Three weeks to go!\Fight oh! Fight oh!\I was pretty shocked when I heard that you were transferring this time.\Have we both become used to transferring schools from having done so for so long?\Even still, to transfer to Kagoshima...\It's pretty far away this time, isn't it?\When the time comes, response:	it will no longer be a distance which would allow us to just get on a train and meet each other.
context: Three weeks to go!\Fight oh! Fight oh!\I was pretty shocked when I heard that you were transferring this time.\Have we both become used to transferring schools from having done so for so long?\Even still, to transfer to Kagoshima...\It's pretty far away this time, isn't it?\When the time comes,\it will no longer be a distance which would allow us to just get on a train and meet each other. response:	As I thought...
context: Fight oh! Fight oh!\I was pretty shocked when I heard that you were transferring this time.\Have we both become used to transferring schools from having done so for so long?\Even still, to transfer to Kagoshima...\It's pretty far away this time, isn't it?\When the time comes,\it will no longer be a distance which would allow us to just get on a train and meet each other.\As I thought... response:	it's going to be a little lonely.
context: I was pretty shocked when I heard that you were transferring this time.\Have we both become used to transferring schools from having done so for so long?\Even still, to transfer to Kagoshima...\It's pretty far away this time, isn't it?\When the time comes,\it will no longer be a distance which would allow us to just get on a train and meet each other.\As I thought...\it's going to be a little lonely. response:	By all means, I wish you the best of health.
context: Have we both become used to transferring schools from having done so for so long?\Even still, to transfer to Kagoshima...\It's pretty far away this time, isn't it?\When the time comes,\it will no longer be a distance which would allow us to just get on a train and meet each other.\As I thought...\it's going to be a little lonely.\By all means, I wish you the best of health. response:	Good day to you, Takaki-kun!
context: Even still, to transfer to Kagoshima...\It's pretty far away this time, isn't it?\When the time comes,\it will no longer be a distance which would allow us to just get on a train and meet each other.\As I thought...\it's going to be a little lonely.\By all means, I wish you the best of health.\Good day to you, Takaki-kun! response:	I'm really happy about the promise to meet up on the 4th of March.
context: It's pretty far away this time, isn't it?\When the time comes,\it will no longer be a distance which would allow us to just get on a train and meet each other.\As I thought...\it's going to be a little lonely.\By all means, I wish you the best of health.\Good day to you, Takaki-kun!\I'm really happy about the promise to meet up on the 4th of March. response:	A year has passed since we last met.
context: When the time comes,\it will no longer be a distance which would allow us to just get on a train and meet each other.\As I thought...\it's going to be a little lonely.\By all means, I wish you the best of health.\Good day to you, Takaki-kun!\I'm really happy about the promise to meet up on the 4th of March.\A year has passed since we last met. response:	Somehow I'm feeling nervous about it.
context: it will no longer be a distance which would allow us to just get on a train and meet each other.\As I thought...\it's going to be a little lonely.\By all means, I wish you the best of health.\Good day to you, Takaki-kun!\I'm really happy about the promise to meet up on the 4th of March.\A year has passed since we last met.\Somehow I'm feeling nervous about it. response:	There's a huge cherry blossom tree near my house.
context: As I thought...\it's going to be a little lonely.\By all means, I wish you the best of health.\Good day to you, Takaki-kun!\I'm really happy about the promise to meet up on the 4th of March.\A year has passed since we last met.\Somehow I'm feeling nervous about it.\There's a huge cherry blossom tree near my house. response:	During spring, that's probably the place where...
context: it's going to be a little lonely.\By all means, I wish you the best of health.\Good day to you, Takaki-kun!\I'm really happy about the promise to meet up on the 4th of March.\A year has passed since we last met.\Somehow I'm feeling nervous about it.\There's a huge cherry blossom tree near my house.\During spring, that's probably the place where... response:	Wouldn't it be nice if I could...
context: By all means, I wish you the best of health.\Good day to you, Takaki-kun!\I'm really happy about the promise to meet up on the 4th of March.\A year has passed since we last met.\Somehow I'm feeling nervous about it.\There's a huge cherry blossom tree near my house.\During spring, that's probably the place where...\Wouldn't it be nice if I could... response:	- Want to drop by my place on the way home? - Yeah, since it's raining anyway.
context: Good day to you, Takaki-kun!\I'm really happy about the promise to meet up on the 4th of March.\A year has passed since we last met.\Somehow I'm feeling nervous about it.\There's a huge cherry blossom tree near my house.\During spring, that's probably the place where...\Wouldn't it be nice if I could...\- Want to drop by my place on the way home? - Yeah, since it's raining anyway. response:	- The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all.
context: I'm really happy about the promise to meet up on the 4th of March.\A year has passed since we last met.\Somehow I'm feeling nervous about it.\There's a huge cherry blossom tree near my house.\During spring, that's probably the place where...\Wouldn't it be nice if I could...\- Want to drop by my place on the way home? - Yeah, since it's raining anyway.\- The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all. response:	It looks like many people are going to catch the cold.
context: A year has passed since we last met.\Somehow I'm feeling nervous about it.\There's a huge cherry blossom tree near my house.\During spring, that's probably the place where...\Wouldn't it be nice if I could...\- Want to drop by my place on the way home? - Yeah, since it's raining anyway.\- The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all.\It looks like many people are going to catch the cold. response:	- Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita.
context: Somehow I'm feeling nervous about it.\There's a huge cherry blossom tree near my house.\During spring, that's probably the place where...\Wouldn't it be nice if I could...\- Want to drop by my place on the way home? - Yeah, since it's raining anyway.\- The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all.\It looks like many people are going to catch the cold.\- Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita. response:	Ah, yes.
context: There's a huge cherry blossom tree near my house.\During spring, that's probably the place where...\Wouldn't it be nice if I could...\- Want to drop by my place on the way home? - Yeah, since it's raining anyway.\- The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all.\It looks like many people are going to catch the cold.\- Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita.\Ah, yes. response:	Tohno...
context: During spring, that's probably the place where...\Wouldn't it be nice if I could...\- Want to drop by my place on the way home? - Yeah, since it's raining anyway.\- The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all.\It looks like many people are going to catch the cold.\- Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita.\Ah, yes.\Tohno... response:	Let's go for our club activities.
context: Wouldn't it be nice if I could...\- Want to drop by my place on the way home? - Yeah, since it's raining anyway.\- The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all.\It looks like many people are going to catch the cold.\- Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita.\Ah, yes.\Tohno...\Let's go for our club activities. response:	Oh...
context: - Want to drop by my place on the way home? - Yeah, since it's raining anyway.\- The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all.\It looks like many people are going to catch the cold.\- Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita.\Ah, yes.\Tohno...\Let's go for our club activities.\Oh... response:	Look here... I don't think I can make it today.
context: - The weather forecast says that the snow will be coming. - Eh... I thought it was getting cold. It's March already after all.\It looks like many people are going to catch the cold.\- Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita.\Ah, yes.\Tohno...\Let's go for our club activities.\Oh...\Look here... I don't think I can make it today. response:	Because of the moving preparations?
context: It looks like many people are going to catch the cold.\- Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita.\Ah, yes.\Tohno...\Let's go for our club activities.\Oh...\Look here... I don't think I can make it today.\Because of the moving preparations? response:	Something like that. Sorry.
context: - Hey, let's grab a bite to eat afterwards. They say that it's gonna rain in Shimokita.\Ah, yes.\Tohno...\Let's go for our club activities.\Oh...\Look here... I don't think I can make it today.\Because of the moving preparations?\Something like that. Sorry. response:	It's a great help that you'll be coming to my local station, but...
context: Ah, yes.\Tohno...\Let's go for our club activities.\Oh...\Look here... I don't think I can make it today.\Because of the moving preparations?\Something like that. Sorry.\It's a great help that you'll be coming to my local station, but... response:	since it's a long journey, please be careful.
context: Tohno...\Let's go for our club activities.\Oh...\Look here... I don't think I can make it today.\Because of the moving preparations?\Something like that. Sorry.\It's a great help that you'll be coming to my local station, but...\since it's a long journey, please be careful. response:	As promised, I will be waiting for you at the waiting room of the station at 7 pm.
context: Let's go for our club activities.\Oh...\Look here... I don't think I can make it today.\Because of the moving preparations?\Something like that. Sorry.\It's a great help that you'll be coming to my local station, but...\since it's a long journey, please be careful.\As promised, I will be waiting for you at the waiting room of the station at 7 pm. response:	On that promised day with Akari, it started snowing after midday.
context: Oh...\Look here... I don't think I can make it today.\Because of the moving preparations?\Something like that. Sorry.\It's a great help that you'll be coming to my local station, but...\since it's a long journey, please be careful.\As promised, I will be waiting for you at the waiting room of the station at 7 pm.\On that promised day with Akari, it started snowing after midday. response:	Ah- Hey, Takaki-kun!
context: Look here... I don't think I can make it today.\Because of the moving preparations?\Something like that. Sorry.\It's a great help that you'll be coming to my local station, but...\since it's a long journey, please be careful.\As promised, I will be waiting for you at the waiting room of the station at 7 pm.\On that promised day with Akari, it started snowing after midday.\Ah- Hey, Takaki-kun! response:	A cat... it's Chobi!
context: Because of the moving preparations?\Something like that. Sorry.\It's a great help that you'll be coming to my local station, but...\since it's a long journey, please be careful.\As promised, I will be waiting for you at the waiting room of the station at 7 pm.\On that promised day with Akari, it started snowing after midday.\Ah- Hey, Takaki-kun!\A cat... it's Chobi! response:	This one's always around here, isn't he?
context: Something like that. Sorry.\It's a great help that you'll be coming to my local station, but...\since it's a long journey, please be careful.\As promised, I will be waiting for you at the waiting room of the station at 7 pm.\On that promised day with Akari, it started snowing after midday.\Ah- Hey, Takaki-kun!\A cat... it's Chobi!\This one's always around here, isn't he? response:	But he looks like he's alone today.
context: It's a great help that you'll be coming to my local station, but...\since it's a long journey, please be careful.\As promised, I will be waiting for you at the waiting room of the station at 7 pm.\On that promised day with Akari, it started snowing after midday.\Ah- Hey, Takaki-kun!\A cat... it's Chobi!\This one's always around here, isn't he?\But he looks like he's alone today. response:	What happened to Mimi? It's lonely by yourself, right?
context: since it's a long journey, please be careful.\As promised, I will be waiting for you at the waiting room of the station at 7 pm.\On that promised day with Akari, it started snowing after midday.\Ah- Hey, Takaki-kun!\A cat... it's Chobi!\This one's always around here, isn't he?\But he looks like he's alone today.\What happened to Mimi? It's lonely by yourself, right? response:	How was the book?
