context: akirame wa shinai dare ni mo watasenai response:	kono yume dake wa kakegaenai mono
context: tachiagatteku n da yo nando tsumazuita tte\Dream of Life\I won't give up on it, won't be persuaded\My dream is the one irreplaceable thing\The chagrin I've felt I always bore with pride\This story will change all my solitude into something positive\Even if we rise above our life, a different one awaits us\I will cut a path for my future response:	Inside my heart lies a dream I wish to protect
context: Dream of Life\I won't give up on it, won't be persuaded\My dream is the one irreplaceable thing\The chagrin I've felt I always bore with pride\This story will change all my solitude into something positive\Even if we rise above our life, a different one awaits us\I will cut a path for my future\Inside my heart lies a dream I wish to protect response:	so I can go on believing, chase the wind and put my hopes on it
context: I won't give up on it, won't be persuaded\My dream is the one irreplaceable thing\The chagrin I've felt I always bore with pride\This story will change all my solitude into something positive\Even if we rise above our life, a different one awaits us\I will cut a path for my future\Inside my heart lies a dream I wish to protect\so I can go on believing, chase the wind and put my hopes on it response:	There is only one place I have my eyes set on: where we can laugh together
context: My dream is the one irreplaceable thing\The chagrin I've felt I always bore with pride\This story will change all my solitude into something positive\Even if we rise above our life, a different one awaits us\I will cut a path for my future\Inside my heart lies a dream I wish to protect\so I can go on believing, chase the wind and put my hopes on it\There is only one place I have my eyes set on: where we can laugh together response:	There lies a light that connects to the dream you gave me
context: The chagrin I've felt I always bore with pride\This story will change all my solitude into something positive\Even if we rise above our life, a different one awaits us\I will cut a path for my future\Inside my heart lies a dream I wish to protect\so I can go on believing, chase the wind and put my hopes on it\There is only one place I have my eyes set on: where we can laugh together\There lies a light that connects to the dream you gave me response:	I will lead you towards a future neither of us is aware of yet
context: This story will change all my solitude into something positive\Even if we rise above our life, a different one awaits us\I will cut a path for my future\Inside my heart lies a dream I wish to protect\so I can go on believing, chase the wind and put my hopes on it\There is only one place I have my eyes set on: where we can laugh together\There lies a light that connects to the dream you gave me\I will lead you towards a future neither of us is aware of yet response:	When I look back I see my footsteps
context: Even if we rise above our life, a different one awaits us\I will cut a path for my future\Inside my heart lies a dream I wish to protect\so I can go on believing, chase the wind and put my hopes on it\There is only one place I have my eyes set on: where we can laugh together\There lies a light that connects to the dream you gave me\I will lead you towards a future neither of us is aware of yet\When I look back I see my footsteps response:	made by countless moments of happiness and sorrow
context: I will cut a path for my future\Inside my heart lies a dream I wish to protect\so I can go on believing, chase the wind and put my hopes on it\There is only one place I have my eyes set on: where we can laugh together\There lies a light that connects to the dream you gave me\I will lead you towards a future neither of us is aware of yet\When I look back I see my footsteps\made by countless moments of happiness and sorrow response:	This proof that I have lived until today is what lends me strength
context: Inside my heart lies a dream I wish to protect\so I can go on believing, chase the wind and put my hopes on it\There is only one place I have my eyes set on: where we can laugh together\There lies a light that connects to the dream you gave me\I will lead you towards a future neither of us is aware of yet\When I look back I see my footsteps\made by countless moments of happiness and sorrow\This proof that I have lived until today is what lends me strength response:	I will engrave it into my chest and walk forward with proud strides
context: so I can go on believing, chase the wind and put my hopes on it\There is only one place I have my eyes set on: where we can laugh together\There lies a light that connects to the dream you gave me\I will lead you towards a future neither of us is aware of yet\When I look back I see my footsteps\made by countless moments of happiness and sorrow\This proof that I have lived until today is what lends me strength\I will engrave it into my chest and walk forward with proud strides response:	I have a dream I want to see through
context: There is only one place I have my eyes set on: where we can laugh together\There lies a light that connects to the dream you gave me\I will lead you towards a future neither of us is aware of yet\When I look back I see my footsteps\made by countless moments of happiness and sorrow\This proof that I have lived until today is what lends me strength\I will engrave it into my chest and walk forward with proud strides\I have a dream I want to see through response:	I can alight my passion, set fire to it
context: There lies a light that connects to the dream you gave me\I will lead you towards a future neither of us is aware of yet\When I look back I see my footsteps\made by countless moments of happiness and sorrow\This proof that I have lived until today is what lends me strength\I will engrave it into my chest and walk forward with proud strides\I have a dream I want to see through\I can alight my passion, set fire to it response:	As we pursue our dreams, we will meet and split
context: I will lead you towards a future neither of us is aware of yet\When I look back I see my footsteps\made by countless moments of happiness and sorrow\This proof that I have lived until today is what lends me strength\I will engrave it into my chest and walk forward with proud strides\I have a dream I want to see through\I can alight my passion, set fire to it\As we pursue our dreams, we will meet and split response:	You taught me a strength only I wield
context: When I look back I see my footsteps\made by countless moments of happiness and sorrow\This proof that I have lived until today is what lends me strength\I will engrave it into my chest and walk forward with proud strides\I have a dream I want to see through\I can alight my passion, set fire to it\As we pursue our dreams, we will meet and split\You taught me a strength only I wield response:	I will stand up, go on, no matter how often I stumble
context: made by countless moments of happiness and sorrow\This proof that I have lived until today is what lends me strength\I will engrave it into my chest and walk forward with proud strides\I have a dream I want to see through\I can alight my passion, set fire to it\As we pursue our dreams, we will meet and split\You taught me a strength only I wield\I will stand up, go on, no matter how often I stumble response:	yume kanaeru made chousen wa tsuzuku
context: This proof that I have lived until today is what lends me strength\I will engrave it into my chest and walk forward with proud strides\I have a dream I want to see through\I can alight my passion, set fire to it\As we pursue our dreams, we will meet and split\You taught me a strength only I wield\I will stand up, go on, no matter how often I stumble\yume kanaeru made chousen wa tsuzuku response:	boku wa dokomade chikazuketandarou?
context: I will engrave it into my chest and walk forward with proud strides\I have a dream I want to see through\I can alight my passion, set fire to it\As we pursue our dreams, we will meet and split\You taught me a strength only I wield\I will stand up, go on, no matter how often I stumble\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou? response:	juunengo no mirai kagayaiteru sugata wa
context: I have a dream I want to see through\I can alight my passion, set fire to it\As we pursue our dreams, we will meet and split\You taught me a strength only I wield\I will stand up, go on, no matter how often I stumble\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa response:	koukai wa shinai jibun de egaita story
context: I can alight my passion, set fire to it\As we pursue our dreams, we will meet and split\You taught me a strength only I wield\I will stand up, go on, no matter how often I stumble\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story response:	fumidaseba yukute habamu genjitsu
context: As we pursue our dreams, we will meet and split\You taught me a strength only I wield\I will stand up, go on, no matter how often I stumble\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu response:	makenai to ima mune ni chikatta
context: You taught me a strength only I wield\I will stand up, go on, no matter how often I stumble\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta response:	kokorozashita tsukamitai yume ga arukara
context: I will stand up, go on, no matter how often I stumble\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara response:	moyashite yuke jounetsu wo atsuku
context: yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku response:	yume no tochuu de meguriau deai to wakare
context: boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare response:	kimi ga oshietekureta boku dake ga motsu chikara
context: juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara response:	tachiagatteikundayo nando tsumazuitatte
context: koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte response:	Dream of life
context: fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life response:	First chapter storyboard...
context: makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\First chapter storyboard... response:	Complete!
context: kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\First chapter storyboard...\Complete! response:	It's way better than before!
context: moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\First chapter storyboard...\Complete!\It's way better than before! response:	Yeah, even I can tell!
context: yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\First chapter storyboard...\Complete!\It's way better than before!\Yeah, even I can tell! response:	Shujin, let Hattori know.
context: kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\First chapter storyboard...\Complete!\It's way better than before!\Yeah, even I can tell!\Shujin, let Hattori know. response:	Right!
context: tachiagatteikundayo nando tsumazuitatte\Dream of life\First chapter storyboard...\Complete!\It's way better than before!\Yeah, even I can tell!\Shujin, let Hattori know.\Right! response:	In only five days, they've redone it from scratch and taken it this far!
context: Dream of life\First chapter storyboard...\Complete!\It's way better than before!\Yeah, even I can tell!\Shujin, let Hattori know.\Right!\In only five days, they've redone it from scratch and taken it this far! response:	It's much better!
context: First chapter storyboard...\Complete!\It's way better than before!\Yeah, even I can tell!\Shujin, let Hattori know.\Right!\In only five days, they've redone it from scratch and taken it this far!\It's much better! response:	Oh thank goodness.
context: Complete!\It's way better than before!\Yeah, even I can tell!\Shujin, let Hattori know.\Right!\In only five days, they've redone it from scratch and taken it this far!\It's much better!\Oh thank goodness. response:	I suppose you two didn't get much sleep?
context: It's way better than before!\Yeah, even I can tell!\Shujin, let Hattori know.\Right!\In only five days, they've redone it from scratch and taken it this far!\It's much better!\Oh thank goodness.\I suppose you two didn't get much sleep? response:	So,
context: Yeah, even I can tell!\Shujin, let Hattori know.\Right!\In only five days, they've redone it from scratch and taken it this far!\It's much better!\Oh thank goodness.\I suppose you two didn't get much sleep?\So, response:	how else can we fix it?!
context: Shujin, let Hattori know.\Right!\In only five days, they've redone it from scratch and taken it this far!\It's much better!\Oh thank goodness.\I suppose you two didn't get much sleep?\So,\how else can we fix it?! response:	Can it get better?!
context: Right!\In only five days, they've redone it from scratch and taken it this far!\It's much better!\Oh thank goodness.\I suppose you two didn't get much sleep?\So,\how else can we fix it?!\Can it get better?! response:	So that it can definitely beat Niizuma!
context: In only five days, they've redone it from scratch and taken it this far!\It's much better!\Oh thank goodness.\I suppose you two didn't get much sleep?\So,\how else can we fix it?!\Can it get better?!\So that it can definitely beat Niizuma! response:	Let's see.
context: It's much better!\Oh thank goodness.\I suppose you two didn't get much sleep?\So,\how else can we fix it?!\Can it get better?!\So that it can definitely beat Niizuma!\Let's see. response:	Is the title okay as is?
context: Oh thank goodness.\I suppose you two didn't get much sleep?\So,\how else can we fix it?!\Can it get better?!\So that it can definitely beat Niizuma!\Let's see.\Is the title okay as is? response:	Perfect Crime Club...
context: I suppose you two didn't get much sleep?\So,\how else can we fix it?!\Can it get better?!\So that it can definitely beat Niizuma!\Let's see.\Is the title okay as is?\Perfect Crime Club... response:	It may be a bit stiff.
context: So,\how else can we fix it?!\Can it get better?!\So that it can definitely beat Niizuma!\Let's see.\Is the title okay as is?\Perfect Crime Club...\It may be a bit stiff. response:	Yeah...
context: how else can we fix it?!\Can it get better?!\So that it can definitely beat Niizuma!\Let's see.\Is the title okay as is?\Perfect Crime Club...\It may be a bit stiff.\Yeah... response:	It should be more shounen manga-like.
context: Can it get better?!\So that it can definitely beat Niizuma!\Let's see.\Is the title okay as is?\Perfect Crime Club...\It may be a bit stiff.\Yeah...\It should be more shounen manga-like. response:	Well, there's the tried and true method of putting the protagonist's name in the title.
context: So that it can definitely beat Niizuma!\Let's see.\Is the title okay as is?\Perfect Crime Club...\It may be a bit stiff.\Yeah...\It should be more shounen manga-like.\Well, there's the tried and true method of putting the protagonist's name in the title. response:	Like Captain Tsubasa?
context: Let's see.\Is the title okay as is?\Perfect Crime Club...\It may be a bit stiff.\Yeah...\It should be more shounen manga-like.\Well, there's the tried and true method of putting the protagonist's name in the title.\Like Captain Tsubasa? response:	Yeah.
context: Is the title okay as is?\Perfect Crime Club...\It may be a bit stiff.\Yeah...\It should be more shounen manga-like.\Well, there's the tried and true method of putting the protagonist's name in the title.\Like Captain Tsubasa?\Yeah. response:	Tanto was like that, too.
context: Perfect Crime Club...\It may be a bit stiff.\Yeah...\It should be more shounen manga-like.\Well, there's the tried and true method of putting the protagonist's name in the title.\Like Captain Tsubasa?\Yeah.\Tanto was like that, too. response:	That way you know right away what it's about and who's the main character.
context: It may be a bit stiff.\Yeah...\It should be more shounen manga-like.\Well, there's the tried and true method of putting the protagonist's name in the title.\Like Captain Tsubasa?\Yeah.\Tanto was like that, too.\That way you know right away what it's about and who's the main character. response:	It's certainly easy to tell from that, and it's simple and easy to remember.
context: Yeah...\It should be more shounen manga-like.\Well, there's the tried and true method of putting the protagonist's name in the title.\Like Captain Tsubasa?\Yeah.\Tanto was like that, too.\That way you know right away what it's about and who's the main character.\It's certainly easy to tell from that, and it's simple and easy to remember. response:	If that's the case, then...
context: It should be more shounen manga-like.\Well, there's the tried and true method of putting the protagonist's name in the title.\Like Captain Tsubasa?\Yeah.\Tanto was like that, too.\That way you know right away what it's about and who's the main character.\It's certainly easy to tell from that, and it's simple and easy to remember.\If that's the case, then... response:	Chimitsu Kei... it doesn't leave much of an impression.
context: Well, there's the tried and true method of putting the protagonist's name in the title.\Like Captain Tsubasa?\Yeah.\Tanto was like that, too.\That way you know right away what it's about and who's the main character.\It's certainly easy to tell from that, and it's simple and easy to remember.\If that's the case, then...\Chimitsu Kei... it doesn't leave much of an impression. response:	It may be too plain for a main character.
context: Like Captain Tsubasa?\Yeah.\Tanto was like that, too.\That way you know right away what it's about and who's the main character.\It's certainly easy to tell from that, and it's simple and easy to remember.\If that's the case, then...\Chimitsu Kei... it doesn't leave much of an impression.\It may be too plain for a main character. response:	Oozora Tsubasa.
context: Yeah.\Tanto was like that, too.\That way you know right away what it's about and who's the main character.\It's certainly easy to tell from that, and it's simple and easy to remember.\If that's the case, then...\Chimitsu Kei... it doesn't leave much of an impression.\It may be too plain for a main character.\Oozora Tsubasa. response:	Sakuragi Hanamichi.
context: Tanto was like that, too.\That way you know right away what it's about and who's the main character.\It's certainly easy to tell from that, and it's simple and easy to remember.\If that's the case, then...\Chimitsu Kei... it doesn't leave much of an impression.\It may be too plain for a main character.\Oozora Tsubasa.\Sakuragi Hanamichi. response:	You want a well-defined name with as much impact as those.
context: That way you know right away what it's about and who's the main character.\It's certainly easy to tell from that, and it's simple and easy to remember.\If that's the case, then...\Chimitsu Kei... it doesn't leave much of an impression.\It may be too plain for a main character.\Oozora Tsubasa.\Sakuragi Hanamichi.\You want a well-defined name with as much impact as those. response:	A name suitable for a main character...
context: It's certainly easy to tell from that, and it's simple and easy to remember.\If that's the case, then...\Chimitsu Kei... it doesn't leave much of an impression.\It may be too plain for a main character.\Oozora Tsubasa.\Sakuragi Hanamichi.\You want a well-defined name with as much impact as those.\A name suitable for a main character... response:	Speaking of main characters, there's one more thing you need to fix.
context: If that's the case, then...\Chimitsu Kei... it doesn't leave much of an impression.\It may be too plain for a main character.\Oozora Tsubasa.\Sakuragi Hanamichi.\You want a well-defined name with as much impact as those.\A name suitable for a main character...\Speaking of main characters, there's one more thing you need to fix. response:	One more thing?
context: Chimitsu Kei... it doesn't leave much of an impression.\It may be too plain for a main character.\Oozora Tsubasa.\Sakuragi Hanamichi.\You want a well-defined name with as much impact as those.\A name suitable for a main character...\Speaking of main characters, there's one more thing you need to fix.\One more thing? response:	A design suitable for a main character.
context: It may be too plain for a main character.\Oozora Tsubasa.\Sakuragi Hanamichi.\You want a well-defined name with as much impact as those.\A name suitable for a main character...\Speaking of main characters, there's one more thing you need to fix.\One more thing?\A design suitable for a main character. response:	Since the setting calls for a normal elementary school kid, we want it to be realistic,
context: Oozora Tsubasa.\Sakuragi Hanamichi.\You want a well-defined name with as much impact as those.\A name suitable for a main character...\Speaking of main characters, there's one more thing you need to fix.\One more thing?\A design suitable for a main character.\Since the setting calls for a normal elementary school kid, we want it to be realistic, response:	so to a certain degree it's okay, but he's just too normal right now.
context: Sakuragi Hanamichi.\You want a well-defined name with as much impact as those.\A name suitable for a main character...\Speaking of main characters, there's one more thing you need to fix.\One more thing?\A design suitable for a main character.\Since the setting calls for a normal elementary school kid, we want it to be realistic,\so to a certain degree it's okay, but he's just too normal right now. response:	There's no difference between him and his classmates.
context: You want a well-defined name with as much impact as those.\A name suitable for a main character...\Speaking of main characters, there's one more thing you need to fix.\One more thing?\A design suitable for a main character.\Since the setting calls for a normal elementary school kid, we want it to be realistic,\so to a certain degree it's okay, but he's just too normal right now.\There's no difference between him and his classmates. response:	The impact of his appearance...
context: A name suitable for a main character...\Speaking of main characters, there's one more thing you need to fix.\One more thing?\A design suitable for a main character.\Since the setting calls for a normal elementary school kid, we want it to be realistic,\so to a certain degree it's okay, but he's just too normal right now.\There's no difference between him and his classmates.\The impact of his appearance... response:	This is more important than his name, isn't it?
context: Speaking of main characters, there's one more thing you need to fix.\One more thing?\A design suitable for a main character.\Since the setting calls for a normal elementary school kid, we want it to be realistic,\so to a certain degree it's okay, but he's just too normal right now.\There's no difference between him and his classmates.\The impact of his appearance...\This is more important than his name, isn't it? response:	You're right.
context: One more thing?\A design suitable for a main character.\Since the setting calls for a normal elementary school kid, we want it to be realistic,\so to a certain degree it's okay, but he's just too normal right now.\There's no difference between him and his classmates.\The impact of his appearance...\This is more important than his name, isn't it?\You're right. response:	He needs to have a special characteristic.
context: A design suitable for a main character.\Since the setting calls for a normal elementary school kid, we want it to be realistic,\so to a certain degree it's okay, but he's just too normal right now.\There's no difference between him and his classmates.\The impact of his appearance...\This is more important than his name, isn't it?\You're right.\He needs to have a special characteristic. response:	I'll do his character design.
context: Since the setting calls for a normal elementary school kid, we want it to be realistic,\so to a certain degree it's okay, but he's just too normal right now.\There's no difference between him and his classmates.\The impact of his appearance...\This is more important than his name, isn't it?\You're right.\He needs to have a special characteristic.\I'll do his character design. response:	Takagi, you worry about the name and the title.
