context: Yukigaoka Kitagawa Daiichi response:	My first and last official match of junior high...
context: I'll be the last one standing.\What were you doing for the last three years?\No, no. There's no mistake.\This guy is Kageyama Tobio!\I met you last year...\But I don't know your name.\M-My name is Hinata Shoyo.\You probably don't remember the team you beat in the first match! response:	I remember you very well.
context: What were you doing for the last three years?\No, no. There's no mistake.\This guy is Kageyama Tobio!\I met you last year...\But I don't know your name.\M-My name is Hinata Shoyo.\You probably don't remember the team you beat in the first match!\I remember you very well. response:	Your well-developed physical agility and reflexes...
context: No, no. There's no mistake.\This guy is Kageyama Tobio!\I met you last year...\But I don't know your name.\M-My name is Hinata Shoyo.\You probably don't remember the team you beat in the first match!\I remember you very well.\Your well-developed physical agility and reflexes... response:	But he doesn't put any of it to good use.
context: This guy is Kageyama Tobio!\I met you last year...\But I don't know your name.\M-My name is Hinata Shoyo.\You probably don't remember the team you beat in the first match!\I remember you very well.\Your well-developed physical agility and reflexes...\But he doesn't put any of it to good use. response:	What? You wanna fight?
context: I met you last year...\But I don't know your name.\M-My name is Hinata Shoyo.\You probably don't remember the team you beat in the first match!\I remember you very well.\Your well-developed physical agility and reflexes...\But he doesn't put any of it to good use.\What? You wanna fight? response:	You were lousy!
context: But I don't know your name.\M-My name is Hinata Shoyo.\You probably don't remember the team you beat in the first match!\I remember you very well.\Your well-developed physical agility and reflexes...\But he doesn't put any of it to good use.\What? You wanna fight?\You were lousy! response:	D-Don't make fun of me.
context: M-My name is Hinata Shoyo.\You probably don't remember the team you beat in the first match!\I remember you very well.\Your well-developed physical agility and reflexes...\But he doesn't put any of it to good use.\What? You wanna fight?\You were lousy!\D-Don't make fun of me. response:	Sure, we got slaughtered by you guys.
context: You probably don't remember the team you beat in the first match!\I remember you very well.\Your well-developed physical agility and reflexes...\But he doesn't put any of it to good use.\What? You wanna fight?\You were lousy!\D-Don't make fun of me.\Sure, we got slaughtered by you guys. response:	Next time, I won't lose!
context: I remember you very well.\Your well-developed physical agility and reflexes...\But he doesn't put any of it to good use.\What? You wanna fight?\You were lousy!\D-Don't make fun of me.\Sure, we got slaughtered by you guys.\Next time, I won't lose! response:	That's what I pledged to myself, so what are you doing here?
context: Your well-developed physical agility and reflexes...\But he doesn't put any of it to good use.\What? You wanna fight?\You were lousy!\D-Don't make fun of me.\Sure, we got slaughtered by you guys.\Next time, I won't lose!\That's what I pledged to myself, so what are you doing here? response:	How can I defeat you if we're on the same team?
context: But he doesn't put any of it to good use.\What? You wanna fight?\You were lousy!\D-Don't make fun of me.\Sure, we got slaughtered by you guys.\Next time, I won't lose!\That's what I pledged to myself, so what are you doing here?\How can I defeat you if we're on the same team? response:	Shouldn't you be at some other school with strong players?
context: What? You wanna fight?\You were lousy!\D-Don't make fun of me.\Sure, we got slaughtered by you guys.\Next time, I won't lose!\That's what I pledged to myself, so what are you doing here?\How can I defeat you if we're on the same team?\Shouldn't you be at some other school with strong players? response:	Why didn't you go there?
context: You were lousy!\D-Don't make fun of me.\Sure, we got slaughtered by you guys.\Next time, I won't lose!\That's what I pledged to myself, so what are you doing here?\How can I defeat you if we're on the same team?\Shouldn't you be at some other school with strong players?\Why didn't you go there? response:	The strongest school in the prefecture...
context: D-Don't make fun of me.\Sure, we got slaughtered by you guys.\Next time, I won't lose!\That's what I pledged to myself, so what are you doing here?\How can I defeat you if we're on the same team?\Shouldn't you be at some other school with strong players?\Why didn't you go there?\The strongest school in the prefecture... response:	rejected me.
context: Sure, we got slaughtered by you guys.\Next time, I won't lose!\That's what I pledged to myself, so what are you doing here?\How can I defeat you if we're on the same team?\Shouldn't you be at some other school with strong players?\Why didn't you go there?\The strongest school in the prefecture...\rejected me. response:	You didn't make it?
context: Next time, I won't lose!\That's what I pledged to myself, so what are you doing here?\How can I defeat you if we're on the same team?\Shouldn't you be at some other school with strong players?\Why didn't you go there?\The strongest school in the prefecture...\rejected me.\You didn't make it? response:	Even though you're the King of the Court?
context: That's what I pledged to myself, so what are you doing here?\How can I defeat you if we're on the same team?\Shouldn't you be at some other school with strong players?\Why didn't you go there?\The strongest school in the prefecture...\rejected me.\You didn't make it?\Even though you're the King of the Court? response:	Don't...
context: How can I defeat you if we're on the same team?\Shouldn't you be at some other school with strong players?\Why didn't you go there?\The strongest school in the prefecture...\rejected me.\You didn't make it?\Even though you're the King of the Court?\Don't... response:	Huh?
context: Shouldn't you be at some other school with strong players?\Why didn't you go there?\The strongest school in the prefecture...\rejected me.\You didn't make it?\Even though you're the King of the Court?\Don't...\Huh? response:	The first setter of Kitagawa is on our team?
context: Why didn't you go there?\The strongest school in the prefecture...\rejected me.\You didn't make it?\Even though you're the King of the Court?\Don't...\Huh?\The first setter of Kitagawa is on our team? response:	But the guy's totally cocky.
context: The strongest school in the prefecture...\rejected me.\You didn't make it?\Even though you're the King of the Court?\Don't...\Huh?\The first setter of Kitagawa is on our team?\But the guy's totally cocky. response:	Don't try and intimidate him, okay?
context: rejected me.\You didn't make it?\Even though you're the King of the Court?\Don't...\Huh?\The first setter of Kitagawa is on our team?\But the guy's totally cocky.\Don't try and intimidate him, okay? response:	I-I wouldn't do something like that.
context: You didn't make it?\Even though you're the King of the Court?\Don't...\Huh?\The first setter of Kitagawa is on our team?\But the guy's totally cocky.\Don't try and intimidate him, okay?\I-I wouldn't do something like that. response:	Hello.
context: Even though you're the King of the Court?\Don't...\Huh?\The first setter of Kitagawa is on our team?\But the guy's totally cocky.\Don't try and intimidate him, okay?\I-I wouldn't do something like that.\Hello. response:	Karasuno High School Volleyball Club
context: Don't...\Huh?\The first setter of Kitagawa is on our team?\But the guy's totally cocky.\Don't try and intimidate him, okay?\I-I wouldn't do something like that.\Hello.\Karasuno High School Volleyball Club response:	Hey, hey, hey. Who said you guys could...
context: Huh?\The first setter of Kitagawa is on our team?\But the guy's totally cocky.\Don't try and intimidate him, okay?\I-I wouldn't do something like that.\Hello.\Karasuno High School Volleyball Club\Hey, hey, hey. Who said you guys could... response:	You're Kageyama?
context: The first setter of Kitagawa is on our team?\But the guy's totally cocky.\Don't try and intimidate him, okay?\I-I wouldn't do something like that.\Hello.\Karasuno High School Volleyball Club\Hey, hey, hey. Who said you guys could...\You're Kageyama? response:	Osu.
context: But the guy's totally cocky.\Don't try and intimidate him, okay?\I-I wouldn't do something like that.\Hello.\Karasuno High School Volleyball Club\Hey, hey, hey. Who said you guys could...\You're Kageyama?\Osu. response:	Glad you're here.
context: Don't try and intimidate him, okay?\I-I wouldn't do something like that.\Hello.\Karasuno High School Volleyball Club\Hey, hey, hey. Who said you guys could...\You're Kageyama?\Osu.\Glad you're here. response:	You're quite tall.
context: I-I wouldn't do something like that.\Hello.\Karasuno High School Volleyball Club\Hey, hey, hey. Who said you guys could...\You're Kageyama?\Osu.\Glad you're here.\You're quite tall. response:	He needs an initiation, Suga-san!
context: Hello.\Karasuno High School Volleyball Club\Hey, hey, hey. Who said you guys could...\You're Kageyama?\Osu.\Glad you're here.\You're quite tall.\He needs an initiation, Suga-san! response:	Let's give him a reason to be intimidated by us third-years!
context: Karasuno High School Volleyball Club\Hey, hey, hey. Who said you guys could...\You're Kageyama?\Osu.\Glad you're here.\You're quite tall.\He needs an initiation, Suga-san!\Let's give him a reason to be intimidated by us third-years! response:	Tanaka, stop with that face.
context: Hey, hey, hey. Who said you guys could...\You're Kageyama?\Osu.\Glad you're here.\You're quite tall.\He needs an initiation, Suga-san!\Let's give him a reason to be intimidated by us third-years!\Tanaka, stop with that face. response:	Kageyama is slightly taller.
context: You're Kageyama?\Osu.\Glad you're here.\You're quite tall.\He needs an initiation, Suga-san!\Let's give him a reason to be intimidated by us third-years!\Tanaka, stop with that face.\Kageyama is slightly taller. response:	But high-schoolers are kinda big...
context: Osu.\Glad you're here.\You're quite tall.\He needs an initiation, Suga-san!\Let's give him a reason to be intimidated by us third-years!\Tanaka, stop with that face.\Kageyama is slightly taller.\But high-schoolers are kinda big... response:	That's right. I'm at Karasuno now.
context: Glad you're here.\You're quite tall.\He needs an initiation, Suga-san!\Let's give him a reason to be intimidated by us third-years!\Tanaka, stop with that face.\Kageyama is slightly taller.\But high-schoolers are kinda big...\That's right. I'm at Karasuno now. response:	Alright...
context: You're quite tall.\He needs an initiation, Suga-san!\Let's give him a reason to be intimidated by us third-years!\Tanaka, stop with that face.\Kageyama is slightly taller.\But high-schoolers are kinda big...\That's right. I'm at Karasuno now.\Alright... response:	Osu!
context: He needs an initiation, Suga-san!\Let's give him a reason to be intimidated by us third-years!\Tanaka, stop with that face.\Kageyama is slightly taller.\But high-schoolers are kinda big...\That's right. I'm at Karasuno now.\Alright...\Osu! response:	How tall are you?
context: Let's give him a reason to be intimidated by us third-years!\Tanaka, stop with that face.\Kageyama is slightly taller.\But high-schoolers are kinda big...\That's right. I'm at Karasuno now.\Alright...\Osu!\How tall are you? response:	180 cm.
context: Tanaka, stop with that face.\Kageyama is slightly taller.\But high-schoolers are kinda big...\That's right. I'm at Karasuno now.\Alright...\Osu!\How tall are you?\180 cm. response:	Oh...
context: Kageyama is slightly taller.\But high-schoolers are kinda big...\That's right. I'm at Karasuno now.\Alright...\Osu!\How tall are you?\180 cm.\Oh... response:	What? You're cocky!
context: But high-schoolers are kinda big...\That's right. I'm at Karasuno now.\Alright...\Osu!\How tall are you?\180 cm.\Oh...\What? You're cocky! response:	Hello!
context: That's right. I'm at Karasuno now.\Alright...\Osu!\How tall are you?\180 cm.\Oh...\What? You're cocky!\Hello! response:	Huh?
context: Alright...\Osu!\How tall are you?\180 cm.\Oh...\What? You're cocky!\Hello!\Huh? response:	Oh! You!
context: Osu!\How tall are you?\180 cm.\Oh...\What? You're cocky!\Hello!\Huh?\Oh! You! response:	Shorty 1!
context: How tall are you?\180 cm.\Oh...\What? You're cocky!\Hello!\Huh?\Oh! You!\Shorty 1! response:	So the other applicant here, Hinata, is...
context: 180 cm.\Oh...\What? You're cocky!\Hello!\Huh?\Oh! You!\Shorty 1!\So the other applicant here, Hinata, is... response:	You?
context: Oh...\What? You're cocky!\Hello!\Huh?\Oh! You!\Shorty 1!\So the other applicant here, Hinata, is...\You? response:	I'm a little surprised...
context: What? You're cocky!\Hello!\Huh?\Oh! You!\Shorty 1!\So the other applicant here, Hinata, is...\You?\I'm a little surprised... response:	I see.
context: Hello!\Huh?\Oh! You!\Shorty 1!\So the other applicant here, Hinata, is...\You?\I'm a little surprised...\I see. response:	So both of you are here at Karasuno.
context: Huh?\Oh! You!\Shorty 1!\So the other applicant here, Hinata, is...\You?\I'm a little surprised...\I see.\So both of you are here at Karasuno. response:	Um...
context: Oh! You!\Shorty 1!\So the other applicant here, Hinata, is...\You?\I'm a little surprised...\I see.\So both of you are here at Karasuno.\Um... response:	We saw your match last year.
context: Shorty 1!\So the other applicant here, Hinata, is...\You?\I'm a little surprised...\I see.\So both of you are here at Karasuno.\Um...\We saw your match last year. response:	You're way short and sucked bad, but you've got guts.
context: So the other applicant here, Hinata, is...\You?\I'm a little surprised...\I see.\So both of you are here at Karasuno.\Um...\We saw your match last year.\You're way short and sucked bad, but you've got guts. response:	Thanks!
context: You?\I'm a little surprised...\I see.\So both of you are here at Karasuno.\Um...\We saw your match last year.\You're way short and sucked bad, but you've got guts.\Thanks! response:	Your jumps were awesome, too.
context: I'm a little surprised...\I see.\So both of you are here at Karasuno.\Um...\We saw your match last year.\You're way short and sucked bad, but you've got guts.\Thanks!\Your jumps were awesome, too. response:	But you haven't grown much since.
context: I see.\So both of you are here at Karasuno.\Um...\We saw your match last year.\You're way short and sucked bad, but you've got guts.\Thanks!\Your jumps were awesome, too.\But you haven't grown much since. response:	I may be little, but I can jump!
context: So both of you are here at Karasuno.\Um...\We saw your match last year.\You're way short and sucked bad, but you've got guts.\Thanks!\Your jumps were awesome, too.\But you haven't grown much since.\I may be little, but I can jump! response:	I'll be Karasuno's ace!
context: Um...\We saw your match last year.\You're way short and sucked bad, but you've got guts.\Thanks!\Your jumps were awesome, too.\But you haven't grown much since.\I may be little, but I can jump!\I'll be Karasuno's ace! response:	Hey, hey.
context: We saw your match last year.\You're way short and sucked bad, but you've got guts.\Thanks!\Your jumps were awesome, too.\But you haven't grown much since.\I may be little, but I can jump!\I'll be Karasuno's ace!\Hey, hey. response:	The newbie says he's gonna be the ace?
context: You're way short and sucked bad, but you've got guts.\Thanks!\Your jumps were awesome, too.\But you haven't grown much since.\I may be little, but I can jump!\I'll be Karasuno's ace!\Hey, hey.\The newbie says he's gonna be the ace? response:	You've got some nerve.
context: Thanks!\Your jumps were awesome, too.\But you haven't grown much since.\I may be little, but I can jump!\I'll be Karasuno's ace!\Hey, hey.\The newbie says he's gonna be the ace?\You've got some nerve. response:	It's good to be ambitious, right?
context: Your jumps were awesome, too.\But you haven't grown much since.\I may be little, but I can jump!\I'll be Karasuno's ace!\Hey, hey.\The newbie says he's gonna be the ace?\You've got some nerve.\It's good to be ambitious, right? response:	I'll do my best.
context: But you haven't grown much since.\I may be little, but I can jump!\I'll be Karasuno's ace!\Hey, hey.\The newbie says he's gonna be the ace?\You've got some nerve.\It's good to be ambitious, right?\I'll do my best. response:	If you want to be the ace, I hope you've improved.
context: I may be little, but I can jump!\I'll be Karasuno's ace!\Hey, hey.\The newbie says he's gonna be the ace?\You've got some nerve.\It's good to be ambitious, right?\I'll do my best.\If you want to be the ace, I hope you've improved. response:	If you goof around, you'll waste another three years.
context: I'll be Karasuno's ace!\Hey, hey.\The newbie says he's gonna be the ace?\You've got some nerve.\It's good to be ambitious, right?\I'll do my best.\If you want to be the ace, I hope you've improved.\If you goof around, you'll waste another three years. response:	What did you say?
context: Hey, hey.\The newbie says he's gonna be the ace?\You've got some nerve.\It's good to be ambitious, right?\I'll do my best.\If you want to be the ace, I hope you've improved.\If you goof around, you'll waste another three years.\What did you say? response:	Why must you say that, Kageyama?
context: The newbie says he's gonna be the ace?\You've got some nerve.\It's good to be ambitious, right?\I'll do my best.\If you want to be the ace, I hope you've improved.\If you goof around, you'll waste another three years.\What did you say?\Why must you say that, Kageyama? response:	I played with all my might.
context: You've got some nerve.\It's good to be ambitious, right?\I'll do my best.\If you want to be the ace, I hope you've improved.\If you goof around, you'll waste another three years.\What did you say?\Why must you say that, Kageyama?\I played with all my might. response:	Yukigaoka Kitagawa Daiichi
context: It's good to be ambitious, right?\I'll do my best.\If you want to be the ace, I hope you've improved.\If you goof around, you'll waste another three years.\What did you say?\Why must you say that, Kageyama?\I played with all my might.\Yukigaoka Kitagawa Daiichi response:	But...
context: I'll do my best.\If you want to be the ace, I hope you've improved.\If you goof around, you'll waste another three years.\What did you say?\Why must you say that, Kageyama?\I played with all my might.\Yukigaoka Kitagawa Daiichi\But... response:	But don't tell me everything I've done is a waste!
context: If you want to be the ace, I hope you've improved.\If you goof around, you'll waste another three years.\What did you say?\Why must you say that, Kageyama?\I played with all my might.\Yukigaoka Kitagawa Daiichi\But...\But don't tell me everything I've done is a waste! response:	Guys...
context: If you goof around, you'll waste another three years.\What did you say?\Why must you say that, Kageyama?\I played with all my might.\Yukigaoka Kitagawa Daiichi\But...\But don't tell me everything I've done is a waste!\Guys... response:	You know, you're not enemies any more.
context: What did you say?\Why must you say that, Kageyama?\I played with all my might.\Yukigaoka Kitagawa Daiichi\But...\But don't tell me everything I've done is a waste!\Guys...\You know, you're not enemies any more. response:	Volleyball is about teamwork
context: Why must you say that, Kageyama?\I played with all my might.\Yukigaoka Kitagawa Daiichi\But...\But don't tell me everything I've done is a waste!\Guys...\You know, you're not enemies any more.\Volleyball is about teamwork response:	I'll challenge you.
context: I played with all my might.\Yukigaoka Kitagawa Daiichi\But...\But don't tell me everything I've done is a waste!\Guys...\You know, you're not enemies any more.\Volleyball is about teamwork\I'll challenge you. response:	Hey! Daichi-san is still talking!
context: Yukigaoka Kitagawa Daiichi\But...\But don't tell me everything I've done is a waste!\Guys...\You know, you're not enemies any more.\Volleyball is about teamwork\I'll challenge you.\Hey! Daichi-san is still talking! response:	Challenge me to what?
context: But...\But don't tell me everything I've done is a waste!\Guys...\You know, you're not enemies any more.\Volleyball is about teamwork\I'll challenge you.\Hey! Daichi-san is still talking!\Challenge me to what? response:	Volleyball, what else?
context: But don't tell me everything I've done is a waste!\Guys...\You know, you're not enemies any more.\Volleyball is about teamwork\I'll challenge you.\Hey! Daichi-san is still talking!\Challenge me to what?\Volleyball, what else? response:	How do you expect to challenge me one-on-one?
context: Guys...\You know, you're not enemies any more.\Volleyball is about teamwork\I'll challenge you.\Hey! Daichi-san is still talking!\Challenge me to what?\Volleyball, what else?\How do you expect to challenge me one-on-one? response:	L-Like a passing contest!
context: You know, you're not enemies any more.\Volleyball is about teamwork\I'll challenge you.\Hey! Daichi-san is still talking!\Challenge me to what?\Volleyball, what else?\How do you expect to challenge me one-on-one?\L-Like a passing contest! response:	How do you compete at passing?
context: Volleyball is about teamwork\I'll challenge you.\Hey! Daichi-san is still talking!\Challenge me to what?\Volleyball, what else?\How do you expect to challenge me one-on-one?\L-Like a passing contest!\How do you compete at passing? response:	Listen, damn it!
context: I'll challenge you.\Hey! Daichi-san is still talking!\Challenge me to what?\Volleyball, what else?\How do you expect to challenge me one-on-one?\L-Like a passing contest!\How do you compete at passing?\Listen, damn it! response:	What's the commotion, volleyball club?
context: Hey! Daichi-san is still talking!\Challenge me to what?\Volleyball, what else?\How do you expect to challenge me one-on-one?\L-Like a passing contest!\How do you compete at passing?\Listen, damn it!\What's the commotion, volleyball club? response:	Yikes. The dean!
context: Challenge me to what?\Volleyball, what else?\How do you expect to challenge me one-on-one?\L-Like a passing contest!\How do you compete at passing?\Listen, damn it!\What's the commotion, volleyball club?\Yikes. The dean! response:	Sensei.
context: Volleyball, what else?\How do you expect to challenge me one-on-one?\L-Like a passing contest!\How do you compete at passing?\Listen, damn it!\What's the commotion, volleyball club?\Yikes. The dean!\Sensei. response:	Sensei.
context: How do you expect to challenge me one-on-one?\L-Like a passing contest!\How do you compete at passing?\Listen, damn it!\What's the commotion, volleyball club?\Yikes. The dean!\Sensei.\Sensei. response:	You'd better not be fighting.
context: L-Like a passing contest!\How do you compete at passing?\Listen, damn it!\What's the commotion, volleyball club?\Yikes. The dean!\Sensei.\Sensei.\You'd better not be fighting. response:	Of course not. Just a friendly rivalry. Right?
context: How do you compete at passing?\Listen, damn it!\What's the commotion, volleyball club?\Yikes. The dean!\Sensei.\Sensei.\You'd better not be fighting.\Of course not. Just a friendly rivalry. Right? response:	This dean likes to make trouble, so keep it down.
context: Listen, damn it!\What's the commotion, volleyball club?\Yikes. The dean!\Sensei.\Sensei.\You'd better not be fighting.\Of course not. Just a friendly rivalry. Right?\This dean likes to make trouble, so keep it down. response:	Serve! I'll return them all.
context: What's the commotion, volleyball club?\Yikes. The dean!\Sensei.\Sensei.\You'd better not be fighting.\Of course not. Just a friendly rivalry. Right?\This dean likes to make trouble, so keep it down.\Serve! I'll return them all. response:	Hey!
context: Yikes. The dean!\Sensei.\Sensei.\You'd better not be fighting.\Of course not. Just a friendly rivalry. Right?\This dean likes to make trouble, so keep it down.\Serve! I'll return them all.\Hey! response:	I was only able to get one of your serves last year.
context: Sensei.\Sensei.\You'd better not be fighting.\Of course not. Just a friendly rivalry. Right?\This dean likes to make trouble, so keep it down.\Serve! I'll return them all.\Hey!\I was only able to get one of your serves last year. response:	Right in the face...
context: Sensei.\You'd better not be fighting.\Of course not. Just a friendly rivalry. Right?\This dean likes to make trouble, so keep it down.\Serve! I'll return them all.\Hey!\I was only able to get one of your serves last year.\Right in the face... response:	But I've been training with all kinds of people.
context: You'd better not be fighting.\Of course not. Just a friendly rivalry. Right?\This dean likes to make trouble, so keep it down.\Serve! I'll return them all.\Hey!\I was only able to get one of your serves last year.\Right in the face...\But I've been training with all kinds of people. response:	I'm not the same person as last year.
context: Of course not. Just a friendly rivalry. Right?\This dean likes to make trouble, so keep it down.\Serve! I'll return them all.\Hey!\I was only able to get one of your serves last year.\Right in the face...\But I've been training with all kinds of people.\I'm not the same person as last year. response:	Not the same as last year, huh?
context: This dean likes to make trouble, so keep it down.\Serve! I'll return them all.\Hey!\I was only able to get one of your serves last year.\Right in the face...\But I've been training with all kinds of people.\I'm not the same person as last year.\Not the same as last year, huh? response:	I'm not the same as last year, either.
context: Serve! I'll return them all.\Hey!\I was only able to get one of your serves last year.\Right in the face...\But I've been training with all kinds of people.\I'm not the same person as last year.\Not the same as last year, huh?\I'm not the same as last year, either. response:	Now, now, guys.
context: Hey!\I was only able to get one of your serves last year.\Right in the face...\But I've been training with all kinds of people.\I'm not the same person as last year.\Not the same as last year, huh?\I'm not the same as last year, either.\Now, now, guys. response:	Let's not get carried away.
context: I was only able to get one of your serves last year.\Right in the face...\But I've been training with all kinds of people.\I'm not the same person as last year.\Not the same as last year, huh?\I'm not the same as last year, either.\Now, now, guys.\Let's not get carried away. response:	Is he a first-year student?
context: Right in the face...\But I've been training with all kinds of people.\I'm not the same person as last year.\Not the same as last year, huh?\I'm not the same as last year, either.\Now, now, guys.\Let's not get carried away.\Is he a first-year student? response:	Relax. Don't be intimidated.
context: But I've been training with all kinds of people.\I'm not the same person as last year.\Not the same as last year, huh?\I'm not the same as last year, either.\Now, now, guys.\Let's not get carried away.\Is he a first-year student?\Relax. Don't be intimidated. response:	Remember, you've trained at this with the old ladies!
context: I'm not the same person as last year.\Not the same as last year, huh?\I'm not the same as last year, either.\Now, now, guys.\Let's not get carried away.\Is he a first-year student?\Relax. Don't be intimidated.\Remember, you've trained at this with the old ladies! response:	Here goes.
context: Not the same as last year, huh?\I'm not the same as last year, either.\Now, now, guys.\Let's not get carried away.\Is he a first-year student?\Relax. Don't be intimidated.\Remember, you've trained at this with the old ladies!\Here goes. response:	A jump serve?
context: I'm not the same as last year, either.\Now, now, guys.\Let's not get carried away.\Is he a first-year student?\Relax. Don't be intimidated.\Remember, you've trained at this with the old ladies!\Here goes.\A jump serve? response:	Last year he didn't
context: Now, now, guys.\Let's not get carried away.\Is he a first-year student?\Relax. Don't be intimidated.\Remember, you've trained at this with the old ladies!\Here goes.\A jump serve?\Last year he didn't response:	I'm not sure I could've returned that one!
context: Let's not get carried away.\Is he a first-year student?\Relax. Don't be intimidated.\Remember, you've trained at this with the old ladies!\Here goes.\A jump serve?\Last year he didn't\I'm not sure I could've returned that one! response:	None of the girl volleyball players or old ladies served like that!
context: Is he a first-year student?\Relax. Don't be intimidated.\Remember, you've trained at this with the old ladies!\Here goes.\A jump serve?\Last year he didn't\I'm not sure I could've returned that one!\None of the girl volleyball players or old ladies served like that! response:	How's that different from last year?
context: Relax. Don't be intimidated.\Remember, you've trained at this with the old ladies!\Here goes.\A jump serve?\Last year he didn't\I'm not sure I could've returned that one!\None of the girl volleyball players or old ladies served like that!\How's that different from last year? response:	One more.
context: Remember, you've trained at this with the old ladies!\Here goes.\A jump serve?\Last year he didn't\I'm not sure I could've returned that one!\None of the girl volleyball players or old ladies served like that!\How's that different from last year?\One more. response:	Hey. Enough is enough.
context: Here goes.\A jump serve?\Last year he didn't\I'm not sure I could've returned that one!\None of the girl volleyball players or old ladies served like that!\How's that different from last year?\One more.\Hey. Enough is enough. response:	They don't listen to their captain.
context: A jump serve?\Last year he didn't\I'm not sure I could've returned that one!\None of the girl volleyball players or old ladies served like that!\How's that different from last year?\One more.\Hey. Enough is enough.\They don't listen to their captain. response:	This could be a problem.
context: Last year he didn't\I'm not sure I could've returned that one!\None of the girl volleyball players or old ladies served like that!\How's that different from last year?\One more.\Hey. Enough is enough.\They don't listen to their captain.\This could be a problem. response:	He has quick reflexes!
