context: Don't let her get that back! response:	What's going on?!
context: - How about me? - Congratulations!\Minato Sahashi,\nineteen years old.\Cherry blossoms fell... a second time.\I'm sorry, Mom. I failed again this year.\Eh? What will you do now?\Will you come back here?\Sorry, please let me think for a while. response:	I'll call you again in a few days, so...
context: Minato Sahashi,\nineteen years old.\Cherry blossoms fell... a second time.\I'm sorry, Mom. I failed again this year.\Eh? What will you do now?\Will you come back here?\Sorry, please let me think for a while.\I'll call you again in a few days, so... response:	Bye.
context: nineteen years old.\Cherry blossoms fell... a second time.\I'm sorry, Mom. I failed again this year.\Eh? What will you do now?\Will you come back here?\Sorry, please let me think for a while.\I'll call you again in a few days, so...\Bye. response:	Continuing on, news on the economy.
context: Cherry blossoms fell... a second time.\I'm sorry, Mom. I failed again this year.\Eh? What will you do now?\Will you come back here?\Sorry, please let me think for a while.\I'll call you again in a few days, so...\Bye.\Continuing on, news on the economy. response:	CEO Minaka of the giant conglomerate MBI
context: I'm sorry, Mom. I failed again this year.\Eh? What will you do now?\Will you come back here?\Sorry, please let me think for a while.\I'll call you again in a few days, so...\Bye.\Continuing on, news on the economy.\CEO Minaka of the giant conglomerate MBI response:	announced that his company bought up 80 of the of Shintou Teito stocks.
context: Eh? What will you do now?\Will you come back here?\Sorry, please let me think for a while.\I'll call you again in a few days, so...\Bye.\Continuing on, news on the economy.\CEO Minaka of the giant conglomerate MBI\announced that his company bought up 80 of the of Shintou Teito stocks. response:	In response to this, Teito organizations objected...
context: Will you come back here?\Sorry, please let me think for a while.\I'll call you again in a few days, so...\Bye.\Continuing on, news on the economy.\CEO Minaka of the giant conglomerate MBI\announced that his company bought up 80 of the of Shintou Teito stocks.\In response to this, Teito organizations objected... response:	A company that can buy out the capital city...
context: Sorry, please let me think for a while.\I'll call you again in a few days, so...\Bye.\Continuing on, news on the economy.\CEO Minaka of the giant conglomerate MBI\announced that his company bought up 80 of the of Shintou Teito stocks.\In response to this, Teito organizations objected...\A company that can buy out the capital city... response:	What is all that about?
context: I'll call you again in a few days, so...\Bye.\Continuing on, news on the economy.\CEO Minaka of the giant conglomerate MBI\announced that his company bought up 80 of the of Shintou Teito stocks.\In response to this, Teito organizations objected...\A company that can buy out the capital city...\What is all that about? response:	MBI, huh?
context: Bye.\Continuing on, news on the economy.\CEO Minaka of the giant conglomerate MBI\announced that his company bought up 80 of the of Shintou Teito stocks.\In response to this, Teito organizations objected...\A company that can buy out the capital city...\What is all that about?\MBI, huh? response:	The company owns that building, right?
context: Continuing on, news on the economy.\CEO Minaka of the giant conglomerate MBI\announced that his company bought up 80 of the of Shintou Teito stocks.\In response to this, Teito organizations objected...\A company that can buy out the capital city...\What is all that about?\MBI, huh?\The company owns that building, right? response:	I heard that's the tallest in the capital.
context: CEO Minaka of the giant conglomerate MBI\announced that his company bought up 80 of the of Shintou Teito stocks.\In response to this, Teito organizations objected...\A company that can buy out the capital city...\What is all that about?\MBI, huh?\The company owns that building, right?\I heard that's the tallest in the capital. response:	Shintou Teito, huh?
context: announced that his company bought up 80 of the of Shintou Teito stocks.\In response to this, Teito organizations objected...\A company that can buy out the capital city...\What is all that about?\MBI, huh?\The company owns that building, right?\I heard that's the tallest in the capital.\Shintou Teito, huh? response:	I was attracted to big city life and came to the capital,
context: In response to this, Teito organizations objected...\A company that can buy out the capital city...\What is all that about?\MBI, huh?\The company owns that building, right?\I heard that's the tallest in the capital.\Shintou Teito, huh?\I was attracted to big city life and came to the capital, response:	but I failed to be accepted by the university twice
context: A company that can buy out the capital city...\What is all that about?\MBI, huh?\The company owns that building, right?\I heard that's the tallest in the capital.\Shintou Teito, huh?\I was attracted to big city life and came to the capital,\but I failed to be accepted by the university twice response:	and I don't have anything else in particular I want to do.
context: What is all that about?\MBI, huh?\The company owns that building, right?\I heard that's the tallest in the capital.\Shintou Teito, huh?\I was attracted to big city life and came to the capital,\but I failed to be accepted by the university twice\and I don't have anything else in particular I want to do. response:	Not to mention, as long as I'm like this, there's no way I can find a girlfriend.
context: MBI, huh?\The company owns that building, right?\I heard that's the tallest in the capital.\Shintou Teito, huh?\I was attracted to big city life and came to the capital,\but I failed to be accepted by the university twice\and I don't have anything else in particular I want to do.\Not to mention, as long as I'm like this, there's no way I can find a girlfriend. response:	Get out of the way, please!
context: The company owns that building, right?\I heard that's the tallest in the capital.\Shintou Teito, huh?\I was attracted to big city life and came to the capital,\but I failed to be accepted by the university twice\and I don't have anything else in particular I want to do.\Not to mention, as long as I'm like this, there's no way I can find a girlfriend.\Get out of the way, please! response:	Eh?!
context: I heard that's the tallest in the capital.\Shintou Teito, huh?\I was attracted to big city life and came to the capital,\but I failed to be accepted by the university twice\and I don't have anything else in particular I want to do.\Not to mention, as long as I'm like this, there's no way I can find a girlfriend.\Get out of the way, please!\Eh?! response:	Please move from there!
context: Shintou Teito, huh?\I was attracted to big city life and came to the capital,\but I failed to be accepted by the university twice\and I don't have anything else in particular I want to do.\Not to mention, as long as I'm like this, there's no way I can find a girlfriend.\Get out of the way, please!\Eh?!\Please move from there! response:	Ah, it was too high to jump from after all.
context: I was attracted to big city life and came to the capital,\but I failed to be accepted by the university twice\and I don't have anything else in particular I want to do.\Not to mention, as long as I'm like this, there's no way I can find a girlfriend.\Get out of the way, please!\Eh?!\Please move from there!\Ah, it was too high to jump from after all. response:	Ah, thank you very much.
context: but I failed to be accepted by the university twice\and I don't have anything else in particular I want to do.\Not to mention, as long as I'm like this, there's no way I can find a girlfriend.\Get out of the way, please!\Eh?!\Please move from there!\Ah, it was too high to jump from after all.\Ah, thank you very much. response:	You caught me, didn't you?
context: and I don't have anything else in particular I want to do.\Not to mention, as long as I'm like this, there's no way I can find a girlfriend.\Get out of the way, please!\Eh?!\Please move from there!\Ah, it was too high to jump from after all.\Ah, thank you very much.\You caught me, didn't you? response:	Well, not really caught...
context: Not to mention, as long as I'm like this, there's no way I can find a girlfriend.\Get out of the way, please!\Eh?!\Please move from there!\Ah, it was too high to jump from after all.\Ah, thank you very much.\You caught me, didn't you?\Well, not really caught... response:	She's so cute!
context: Get out of the way, please!\Eh?!\Please move from there!\Ah, it was too high to jump from after all.\Ah, thank you very much.\You caught me, didn't you?\Well, not really caught...\She's so cute! response:	Watch out!
context: Eh?!\Please move from there!\Ah, it was too high to jump from after all.\Ah, thank you very much.\You caught me, didn't you?\Well, not really caught...\She's so cute!\Watch out! response:	There's no use running away.
context: Please move from there!\Ah, it was too high to jump from after all.\Ah, thank you very much.\You caught me, didn't you?\Well, not really caught...\She's so cute!\Watch out!\There's no use running away. response:	Fight with us.
context: Ah, it was too high to jump from after all.\Ah, thank you very much.\You caught me, didn't you?\Well, not really caught...\She's so cute!\Watch out!\There's no use running away.\Fight with us. response:	I don't fight, yet!
context: Ah, thank you very much.\You caught me, didn't you?\Well, not really caught...\She's so cute!\Watch out!\There's no use running away.\Fight with us.\I don't fight, yet! response:	Even if you don't feel like it...
context: You caught me, didn't you?\Well, not really caught...\She's so cute!\Watch out!\There's no use running away.\Fight with us.\I don't fight, yet!\Even if you don't feel like it... response:	W-What's that zap?
context: Well, not really caught...\She's so cute!\Watch out!\There's no use running away.\Fight with us.\I don't fight, yet!\Even if you don't feel like it...\W-What's that zap? response:	We sure feel like fighting!
context: She's so cute!\Watch out!\There's no use running away.\Fight with us.\I don't fight, yet!\Even if you don't feel like it...\W-What's that zap?\We sure feel like fighting! response:	- Wait! - Why, you!
context: Watch out!\There's no use running away.\Fight with us.\I don't fight, yet!\Even if you don't feel like it...\W-What's that zap?\We sure feel like fighting!\- Wait! - Why, you! response:	Ouch!
context: There's no use running away.\Fight with us.\I don't fight, yet!\Even if you don't feel like it...\W-What's that zap?\We sure feel like fighting!\- Wait! - Why, you!\Ouch! response:	Huh? I tossed and turned in my sleep...
context: Fight with us.\I don't fight, yet!\Even if you don't feel like it...\W-What's that zap?\We sure feel like fighting!\- Wait! - Why, you!\Ouch!\Huh? I tossed and turned in my sleep... response:	And I ended up in such a place...
context: I don't fight, yet!\Even if you don't feel like it...\W-What's that zap?\We sure feel like fighting!\- Wait! - Why, you!\Ouch!\Huh? I tossed and turned in my sleep...\And I ended up in such a place... response:	No! I didn't do anything!
context: Even if you don't feel like it...\W-What's that zap?\We sure feel like fighting!\- Wait! - Why, you!\Ouch!\Huh? I tossed and turned in my sleep...\And I ended up in such a place...\No! I didn't do anything! response:	Huh? Good morning.
context: W-What's that zap?\We sure feel like fighting!\- Wait! - Why, you!\Ouch!\Huh? I tossed and turned in my sleep...\And I ended up in such a place...\No! I didn't do anything!\Huh? Good morning. response:	Thank you very much for the pajamas.
context: We sure feel like fighting!\- Wait! - Why, you!\Ouch!\Huh? I tossed and turned in my sleep...\And I ended up in such a place...\No! I didn't do anything!\Huh? Good morning.\Thank you very much for the pajamas. response:	And I took the futon all to myself... I'm sorry.
context: - Wait! - Why, you!\Ouch!\Huh? I tossed and turned in my sleep...\And I ended up in such a place...\No! I didn't do anything!\Huh? Good morning.\Thank you very much for the pajamas.\And I took the futon all to myself... I'm sorry. response:	Minato-san?
context: Ouch!\Huh? I tossed and turned in my sleep...\And I ended up in such a place...\No! I didn't do anything!\Huh? Good morning.\Thank you very much for the pajamas.\And I took the futon all to myself... I'm sorry.\Minato-san? response:	S-Sorry! You'll change, right?
context: Huh? I tossed and turned in my sleep...\And I ended up in such a place...\No! I didn't do anything!\Huh? Good morning.\Thank you very much for the pajamas.\And I took the futon all to myself... I'm sorry.\Minato-san?\S-Sorry! You'll change, right? response:	I'll wait outside!
context: And I ended up in such a place...\No! I didn't do anything!\Huh? Good morning.\Thank you very much for the pajamas.\And I took the futon all to myself... I'm sorry.\Minato-san?\S-Sorry! You'll change, right?\I'll wait outside! response:	Call me when you're done!
context: No! I didn't do anything!\Huh? Good morning.\Thank you very much for the pajamas.\And I took the futon all to myself... I'm sorry.\Minato-san?\S-Sorry! You'll change, right?\I'll wait outside!\Call me when you're done! response:	This is bad! This is really bad!
context: Huh? Good morning.\Thank you very much for the pajamas.\And I took the futon all to myself... I'm sorry.\Minato-san?\S-Sorry! You'll change, right?\I'll wait outside!\Call me when you're done!\This is bad! This is really bad! response:	Real boo-boo-boobs!
context: Thank you very much for the pajamas.\And I took the futon all to myself... I'm sorry.\Minato-san?\S-Sorry! You'll change, right?\I'll wait outside!\Call me when you're done!\This is bad! This is really bad!\Real boo-boo-boobs! response:	It was not a dream after all.
context: And I took the futon all to myself... I'm sorry.\Minato-san?\S-Sorry! You'll change, right?\I'll wait outside!\Call me when you're done!\This is bad! This is really bad!\Real boo-boo-boobs!\It was not a dream after all. response:	We should be safe here... huh? EEEk!
context: Minato-san?\S-Sorry! You'll change, right?\I'll wait outside!\Call me when you're done!\This is bad! This is really bad!\Real boo-boo-boobs!\It was not a dream after all.\We should be safe here... huh? EEEk! response:	I'm sorry! I'm sorry!
context: S-Sorry! You'll change, right?\I'll wait outside!\Call me when you're done!\This is bad! This is really bad!\Real boo-boo-boobs!\It was not a dream after all.\We should be safe here... huh? EEEk!\I'm sorry! I'm sorry! response:	I'm really sorry!
context: I'll wait outside!\Call me when you're done!\This is bad! This is really bad!\Real boo-boo-boobs!\It was not a dream after all.\We should be safe here... huh? EEEk!\I'm sorry! I'm sorry!\I'm really sorry! response:	For getting you into this.
context: Call me when you're done!\This is bad! This is really bad!\Real boo-boo-boobs!\It was not a dream after all.\We should be safe here... huh? EEEk!\I'm sorry! I'm sorry!\I'm really sorry!\For getting you into this. response:	Why did I do that? I could've run by myself but
context: This is bad! This is really bad!\Real boo-boo-boobs!\It was not a dream after all.\We should be safe here... huh? EEEk!\I'm sorry! I'm sorry!\I'm really sorry!\For getting you into this.\Why did I do that? I could've run by myself but response:	I grabbed your hand without thinking.
context: Real boo-boo-boobs!\It was not a dream after all.\We should be safe here... huh? EEEk!\I'm sorry! I'm sorry!\I'm really sorry!\For getting you into this.\Why did I do that? I could've run by myself but\I grabbed your hand without thinking. response:	It was very soft...
context: It was not a dream after all.\We should be safe here... huh? EEEk!\I'm sorry! I'm sorry!\I'm really sorry!\For getting you into this.\Why did I do that? I could've run by myself but\I grabbed your hand without thinking.\It was very soft... response:	A girl's hand...
context: We should be safe here... huh? EEEk!\I'm sorry! I'm sorry!\I'm really sorry!\For getting you into this.\Why did I do that? I could've run by myself but\I grabbed your hand without thinking.\It was very soft...\A girl's hand... response:	Ah! I'm sorry I haven't introduced myself.
context: I'm sorry! I'm sorry!\I'm really sorry!\For getting you into this.\Why did I do that? I could've run by myself but\I grabbed your hand without thinking.\It was very soft...\A girl's hand...\Ah! I'm sorry I haven't introduced myself. response:	I am Musubi.
context: I'm really sorry!\For getting you into this.\Why did I do that? I could've run by myself but\I grabbed your hand without thinking.\It was very soft...\A girl's hand...\Ah! I'm sorry I haven't introduced myself.\I am Musubi. response:	Ah, I'm Minato Sahashi.
context: For getting you into this.\Why did I do that? I could've run by myself but\I grabbed your hand without thinking.\It was very soft...\A girl's hand...\Ah! I'm sorry I haven't introduced myself.\I am Musubi.\Ah, I'm Minato Sahashi. response:	Minato-san, I thank you again for saving me.
context: Why did I do that? I could've run by myself but\I grabbed your hand without thinking.\It was very soft...\A girl's hand...\Ah! I'm sorry I haven't introduced myself.\I am Musubi.\Ah, I'm Minato Sahashi.\Minato-san, I thank you again for saving me. response:	Oh, no! I really didn't do...
context: I grabbed your hand without thinking.\It was very soft...\A girl's hand...\Ah! I'm sorry I haven't introduced myself.\I am Musubi.\Ah, I'm Minato Sahashi.\Minato-san, I thank you again for saving me.\Oh, no! I really didn't do... response:	What?!
context: It was very soft...\A girl's hand...\Ah! I'm sorry I haven't introduced myself.\I am Musubi.\Ah, I'm Minato Sahashi.\Minato-san, I thank you again for saving me.\Oh, no! I really didn't do...\What?! response:	Mu-Musubi-chan? Musubi-chan?!
context: A girl's hand...\Ah! I'm sorry I haven't introduced myself.\I am Musubi.\Ah, I'm Minato Sahashi.\Minato-san, I thank you again for saving me.\Oh, no! I really didn't do...\What?!\Mu-Musubi-chan? Musubi-chan?! response:	You fainted because of hunger...
context: Ah! I'm sorry I haven't introduced myself.\I am Musubi.\Ah, I'm Minato Sahashi.\Minato-san, I thank you again for saving me.\Oh, no! I really didn't do...\What?!\Mu-Musubi-chan? Musubi-chan?!\You fainted because of hunger... response:	I really, truly owe you my life! Not only did you save me, but you gave me this...
context: I am Musubi.\Ah, I'm Minato Sahashi.\Minato-san, I thank you again for saving me.\Oh, no! I really didn't do...\What?!\Mu-Musubi-chan? Musubi-chan?!\You fainted because of hunger...\I really, truly owe you my life! Not only did you save me, but you gave me this... response:	OK, OK... Just eat as much as you can.
context: Ah, I'm Minato Sahashi.\Minato-san, I thank you again for saving me.\Oh, no! I really didn't do...\What?!\Mu-Musubi-chan? Musubi-chan?!\You fainted because of hunger...\I really, truly owe you my life! Not only did you save me, but you gave me this...\OK, OK... Just eat as much as you can. response:	Yes.
context: Minato-san, I thank you again for saving me.\Oh, no! I really didn't do...\What?!\Mu-Musubi-chan? Musubi-chan?!\You fainted because of hunger...\I really, truly owe you my life! Not only did you save me, but you gave me this...\OK, OK... Just eat as much as you can.\Yes. response:	But still... looking at her unusual clothes...
context: Oh, no! I really didn't do...\What?!\Mu-Musubi-chan? Musubi-chan?!\You fainted because of hunger...\I really, truly owe you my life! Not only did you save me, but you gave me this...\OK, OK... Just eat as much as you can.\Yes.\But still... looking at her unusual clothes... response:	What was that all about?
context: What?!\Mu-Musubi-chan? Musubi-chan?!\You fainted because of hunger...\I really, truly owe you my life! Not only did you save me, but you gave me this...\OK, OK... Just eat as much as you can.\Yes.\But still... looking at her unusual clothes...\What was that all about? response:	Jumping, exploding...
context: Mu-Musubi-chan? Musubi-chan?!\You fainted because of hunger...\I really, truly owe you my life! Not only did you save me, but you gave me this...\OK, OK... Just eat as much as you can.\Yes.\But still... looking at her unusual clothes...\What was that all about?\Jumping, exploding... response:	On top of that, all those zips and zaps...
context: You fainted because of hunger...\I really, truly owe you my life! Not only did you save me, but you gave me this...\OK, OK... Just eat as much as you can.\Yes.\But still... looking at her unusual clothes...\What was that all about?\Jumping, exploding...\On top of that, all those zips and zaps... response:	Minato-san!
context: I really, truly owe you my life! Not only did you save me, but you gave me this...\OK, OK... Just eat as much as you can.\Yes.\But still... looking at her unusual clothes...\What was that all about?\Jumping, exploding...\On top of that, all those zips and zaps...\Minato-san! response:	Yes?
context: OK, OK... Just eat as much as you can.\Yes.\But still... looking at her unusual clothes...\What was that all about?\Jumping, exploding...\On top of that, all those zips and zaps...\Minato-san!\Yes? response:	I'll tell you the truth...
context: Yes.\But still... looking at her unusual clothes...\What was that all about?\Jumping, exploding...\On top of that, all those zips and zaps...\Minato-san!\Yes?\I'll tell you the truth... response:	You don't have anywhere to return to?!
context: But still... looking at her unusual clothes...\What was that all about?\Jumping, exploding...\On top of that, all those zips and zaps...\Minato-san!\Yes?\I'll tell you the truth...\You don't have anywhere to return to?! response:	Well, yes... so...
context: What was that all about?\Jumping, exploding...\On top of that, all those zips and zaps...\Minato-san!\Yes?\I'll tell you the truth...\You don't have anywhere to return to?!\Well, yes... so... response:	If it's not too much trouble for you,
context: Jumping, exploding...\On top of that, all those zips and zaps...\Minato-san!\Yes?\I'll tell you the truth...\You don't have anywhere to return to?!\Well, yes... so...\If it's not too much trouble for you, response:	could you please let me stay tonight?
context: On top of that, all those zips and zaps...\Minato-san!\Yes?\I'll tell you the truth...\You don't have anywhere to return to?!\Well, yes... so...\If it's not too much trouble for you,\could you please let me stay tonight? response:	Huh?!
context: Minato-san!\Yes?\I'll tell you the truth...\You don't have anywhere to return to?!\Well, yes... so...\If it's not too much trouble for you,\could you please let me stay tonight?\Huh?! response:	Ah, eh... I don't mind but...
context: Yes?\I'll tell you the truth...\You don't have anywhere to return to?!\Well, yes... so...\If it's not too much trouble for you,\could you please let me stay tonight?\Huh?!\Ah, eh... I don't mind but... response:	Great! You really are my savior!
context: I'll tell you the truth...\You don't have anywhere to return to?!\Well, yes... so...\If it's not too much trouble for you,\could you please let me stay tonight?\Huh?!\Ah, eh... I don't mind but...\Great! You really are my savior! response:	Uh... by the way, you were chased by somebody a little while ago...
context: You don't have anywhere to return to?!\Well, yes... so...\If it's not too much trouble for you,\could you please let me stay tonight?\Huh?!\Ah, eh... I don't mind but...\Great! You really are my savior!\Uh... by the way, you were chased by somebody a little while ago... response:	W-What?!
context: Well, yes... so...\If it's not too much trouble for you,\could you please let me stay tonight?\Huh?!\Ah, eh... I don't mind but...\Great! You really are my savior!\Uh... by the way, you were chased by somebody a little while ago...\W-What?! response:	I wish someone like you would be my Ashikabi-sama.
context: If it's not too much trouble for you,\could you please let me stay tonight?\Huh?!\Ah, eh... I don't mind but...\Great! You really are my savior!\Uh... by the way, you were chased by somebody a little while ago...\W-What?!\I wish someone like you would be my Ashikabi-sama. response:	Ashikabi?
context: could you please let me stay tonight?\Huh?!\Ah, eh... I don't mind but...\Great! You really are my savior!\Uh... by the way, you were chased by somebody a little while ago...\W-What?!\I wish someone like you would be my Ashikabi-sama.\Ashikabi? response:	Yes. I've been looking for a long time.
context: Huh?!\Ah, eh... I don't mind but...\Great! You really are my savior!\Uh... by the way, you were chased by somebody a little while ago...\W-What?!\I wish someone like you would be my Ashikabi-sama.\Ashikabi?\Yes. I've been looking for a long time. response:	Someone precious, one who I haven't met.
