context: What's happened so far! response:	Our sister, Miyazawa Yukino...
context: Why do you show off like this?!\You said you were going to be honest with yourself!\It's just a little!\Quit nagging.\People can't change that easily.\Ow ow owww...\Until last week, I, Miyazawa Yukino, and Arima Souichiro...\Known all over school for being graced with wit and beauty......excelling at all kinds of sports, response:	and for our pleasant personalities.
context: You said you were going to be honest with yourself!\It's just a little!\Quit nagging.\People can't change that easily.\Ow ow owww...\Until last week, I, Miyazawa Yukino, and Arima Souichiro...\Known all over school for being graced with wit and beauty......excelling at all kinds of sports,\and for our pleasant personalities. response:	But that's not how we really are.
context: It's just a little!\Quit nagging.\People can't change that easily.\Ow ow owww...\Until last week, I, Miyazawa Yukino, and Arima Souichiro...\Known all over school for being graced with wit and beauty......excelling at all kinds of sports,\and for our pleasant personalities.\But that's not how we really are. response:	We've been playing model students.
context: Quit nagging.\People can't change that easily.\Ow ow owww...\Until last week, I, Miyazawa Yukino, and Arima Souichiro...\Known all over school for being graced with wit and beauty......excelling at all kinds of sports,\and for our pleasant personalities.\But that's not how we really are.\We've been playing model students. response:	Arima, to rebel against
context: People can't change that easily.\Ow ow owww...\Until last week, I, Miyazawa Yukino, and Arima Souichiro...\Known all over school for being graced with wit and beauty......excelling at all kinds of sports,\and for our pleasant personalities.\But that's not how we really are.\We've been playing model students.\Arima, to rebel against response:	his unfortunate beginnings...
context: Ow ow owww...\Until last week, I, Miyazawa Yukino, and Arima Souichiro...\Known all over school for being graced with wit and beauty......excelling at all kinds of sports,\and for our pleasant personalities.\But that's not how we really are.\We've been playing model students.\Arima, to rebel against\his unfortunate beginnings... response:	And me, out of a swollen appetite for praise, attention, and getting buttered up.
context: Until last week, I, Miyazawa Yukino, and Arima Souichiro...\Known all over school for being graced with wit and beauty......excelling at all kinds of sports,\and for our pleasant personalities.\But that's not how we really are.\We've been playing model students.\Arima, to rebel against\his unfortunate beginnings...\And me, out of a swollen appetite for praise, attention, and getting buttered up. response:	But we happened to find out the truth about each other...
context: Known all over school for being graced with wit and beauty......excelling at all kinds of sports,\and for our pleasant personalities.\But that's not how we really are.\We've been playing model students.\Arima, to rebel against\his unfortunate beginnings...\And me, out of a swollen appetite for praise, attention, and getting buttered up.\But we happened to find out the truth about each other... response:	To become more like ourselves...
context: and for our pleasant personalities.\But that's not how we really are.\We've been playing model students.\Arima, to rebel against\his unfortunate beginnings...\And me, out of a swollen appetite for praise, attention, and getting buttered up.\But we happened to find out the truth about each other...\To become more like ourselves... response:	But...
context: But that's not how we really are.\We've been playing model students.\Arima, to rebel against\his unfortunate beginnings...\And me, out of a swollen appetite for praise, attention, and getting buttered up.\But we happened to find out the truth about each other...\To become more like ourselves...\But... response:	It takes considerable time and effort to put into practice what you're not used to.
context: We've been playing model students.\Arima, to rebel against\his unfortunate beginnings...\And me, out of a swollen appetite for praise, attention, and getting buttered up.\But we happened to find out the truth about each other...\To become more like ourselves...\But...\It takes considerable time and effort to put into practice what you're not used to. response:	Geez, you're so pushy.
context: Arima, to rebel against\his unfortunate beginnings...\And me, out of a swollen appetite for praise, attention, and getting buttered up.\But we happened to find out the truth about each other...\To become more like ourselves...\But...\It takes considerable time and effort to put into practice what you're not used to.\Geez, you're so pushy. response:	Well, that's fine...
context: his unfortunate beginnings...\And me, out of a swollen appetite for praise, attention, and getting buttered up.\But we happened to find out the truth about each other...\To become more like ourselves...\But...\It takes considerable time and effort to put into practice what you're not used to.\Geez, you're so pushy.\Well, that's fine... response:	Here you go.
context: And me, out of a swollen appetite for praise, attention, and getting buttered up.\But we happened to find out the truth about each other...\To become more like ourselves...\But...\It takes considerable time and effort to put into practice what you're not used to.\Geez, you're so pushy.\Well, that's fine...\Here you go. response:	Oh, the Athletics Festival.
context: But we happened to find out the truth about each other...\To become more like ourselves...\But...\It takes considerable time and effort to put into practice what you're not used to.\Geez, you're so pushy.\Well, that's fine...\Here you go.\Oh, the Athletics Festival. response:	Looks like it's gonna be a pain again.
context: To become more like ourselves...\But...\It takes considerable time and effort to put into practice what you're not used to.\Geez, you're so pushy.\Well, that's fine...\Here you go.\Oh, the Athletics Festival.\Looks like it's gonna be a pain again. response:	- Oh, a typo. - Let's see.
context: But...\It takes considerable time and effort to put into practice what you're not used to.\Geez, you're so pushy.\Well, that's fine...\Here you go.\Oh, the Athletics Festival.\Looks like it's gonna be a pain again.\- Oh, a typo. - Let's see. response:	- Where? - H...h...h...here!
context: It takes considerable time and effort to put into practice what you're not used to.\Geez, you're so pushy.\Well, that's fine...\Here you go.\Oh, the Athletics Festival.\Looks like it's gonna be a pain again.\- Oh, a typo. - Let's see.\- Where? - H...h...h...here! response:	Oh, you're right.
context: Geez, you're so pushy.\Well, that's fine...\Here you go.\Oh, the Athletics Festival.\Looks like it's gonna be a pain again.\- Oh, a typo. - Let's see.\- Where? - H...h...h...here!\Oh, you're right. response:	I was confronted with a serious,
context: Well, that's fine...\Here you go.\Oh, the Athletics Festival.\Looks like it's gonna be a pain again.\- Oh, a typo. - Let's see.\- Where? - H...h...h...here!\Oh, you're right.\I was confronted with a serious, response:	urgent problem.
context: Here you go.\Oh, the Athletics Festival.\Looks like it's gonna be a pain again.\- Oh, a typo. - Let's see.\- Where? - H...h...h...here!\Oh, you're right.\I was confronted with a serious,\urgent problem. response:	We aren't
context: Oh, the Athletics Festival.\Looks like it's gonna be a pain again.\- Oh, a typo. - Let's see.\- Where? - H...h...h...here!\Oh, you're right.\I was confronted with a serious,\urgent problem.\We aren't response:	officially going out yet.
context: Looks like it's gonna be a pain again.\- Oh, a typo. - Let's see.\- Where? - H...h...h...here!\Oh, you're right.\I was confronted with a serious,\urgent problem.\We aren't\officially going out yet. response:	More than friends...Less than lovers...
context: - Oh, a typo. - Let's see.\- Where? - H...h...h...here!\Oh, you're right.\I was confronted with a serious,\urgent problem.\We aren't\officially going out yet.\More than friends...Less than lovers... response:	We stopped just short of being an official couple...
context: - Where? - H...h...h...here!\Oh, you're right.\I was confronted with a serious,\urgent problem.\We aren't\officially going out yet.\More than friends...Less than lovers...\We stopped just short of being an official couple... response:	It was like going out on the highway with a learner's permit.
context: Oh, you're right.\I was confronted with a serious,\urgent problem.\We aren't\officially going out yet.\More than friends...Less than lovers...\We stopped just short of being an official couple...\It was like going out on the highway with a learner's permit. response:	Why?
context: I was confronted with a serious,\urgent problem.\We aren't\officially going out yet.\More than friends...Less than lovers...\We stopped just short of being an official couple...\It was like going out on the highway with a learner's permit.\Why? response:	It all started when he said...
context: urgent problem.\We aren't\officially going out yet.\More than friends...Less than lovers...\We stopped just short of being an official couple...\It was like going out on the highway with a learner's permit.\Why?\It all started when he said... response:	I've liked you the whole time.
context: We aren't\officially going out yet.\More than friends...Less than lovers...\We stopped just short of being an official couple...\It was like going out on the highway with a learner's permit.\Why?\It all started when he said...\I've liked you the whole time. response:	Shall we head home? That's right.
context: officially going out yet.\More than friends...Less than lovers...\We stopped just short of being an official couple...\It was like going out on the highway with a learner's permit.\Why?\It all started when he said...\I've liked you the whole time.\Shall we head home? That's right. response:	What? I failed to say it.
context: More than friends...Less than lovers...\We stopped just short of being an official couple...\It was like going out on the highway with a learner's permit.\Why?\It all started when he said...\I've liked you the whole time.\Shall we head home? That's right.\What? I failed to say it. response:	I never get embarrassed like this!
context: We stopped just short of being an official couple...\It was like going out on the highway with a learner's permit.\Why?\It all started when he said...\I've liked you the whole time.\Shall we head home? That's right.\What? I failed to say it.\I never get embarrassed like this! response:	Idiot, idiot! I'm such an idiot!
context: It was like going out on the highway with a learner's permit.\Why?\It all started when he said...\I've liked you the whole time.\Shall we head home? That's right.\What? I failed to say it.\I never get embarrassed like this!\Idiot, idiot! I'm such an idiot! response:	This is bad!
context: Why?\It all started when he said...\I've liked you the whole time.\Shall we head home? That's right.\What? I failed to say it.\I never get embarrassed like this!\Idiot, idiot! I'm such an idiot!\This is bad! response:	This isn't the time to just Let's things take their course.
context: It all started when he said...\I've liked you the whole time.\Shall we head home? That's right.\What? I failed to say it.\I never get embarrassed like this!\Idiot, idiot! I'm such an idiot!\This is bad!\This isn't the time to just Let's things take their course. response:	I have to do something.
context: I've liked you the whole time.\Shall we head home? That's right.\What? I failed to say it.\I never get embarrassed like this!\Idiot, idiot! I'm such an idiot!\This is bad!\This isn't the time to just Let's things take their course.\I have to do something. response:	Destiny has meaning precisely because you shape it with your own hands.
context: Shall we head home? That's right.\What? I failed to say it.\I never get embarrassed like this!\Idiot, idiot! I'm such an idiot!\This is bad!\This isn't the time to just Let's things take their course.\I have to do something.\Destiny has meaning precisely because you shape it with your own hands. response:	Who cares about being myself right now?!
context: What? I failed to say it.\I never get embarrassed like this!\Idiot, idiot! I'm such an idiot!\This is bad!\This isn't the time to just Let's things take their course.\I have to do something.\Destiny has meaning precisely because you shape it with your own hands.\Who cares about being myself right now?! response:	My absolute top priority is
context: I never get embarrassed like this!\Idiot, idiot! I'm such an idiot!\This is bad!\This isn't the time to just Let's things take their course.\I have to do something.\Destiny has meaning precisely because you shape it with your own hands.\Who cares about being myself right now?!\My absolute top priority is response:	Telling Arima that I like him!
context: Idiot, idiot! I'm such an idiot!\This is bad!\This isn't the time to just Let's things take their course.\I have to do something.\Destiny has meaning precisely because you shape it with your own hands.\Who cares about being myself right now?!\My absolute top priority is\Telling Arima that I like him! response:	However...
context: This is bad!\This isn't the time to just Let's things take their course.\I have to do something.\Destiny has meaning precisely because you shape it with your own hands.\Who cares about being myself right now?!\My absolute top priority is\Telling Arima that I like him!\However... response:	and have successfully gone through with it...
context: This isn't the time to just Let's things take their course.\I have to do something.\Destiny has meaning precisely because you shape it with your own hands.\Who cares about being myself right now?!\My absolute top priority is\Telling Arima that I like him!\However...\and have successfully gone through with it... response:	I've got absolutely no examples and no experience.
context: I have to do something.\Destiny has meaning precisely because you shape it with your own hands.\Who cares about being myself right now?!\My absolute top priority is\Telling Arima that I like him!\However...\and have successfully gone through with it...\I've got absolutely no examples and no experience. response:	But, nothing's going to happen if I just sit here afraid.
context: Destiny has meaning precisely because you shape it with your own hands.\Who cares about being myself right now?!\My absolute top priority is\Telling Arima that I like him!\However...\and have successfully gone through with it...\I've got absolutely no examples and no experience.\But, nothing's going to happen if I just sit here afraid. response:	Arima, Arima.
context: Who cares about being myself right now?!\My absolute top priority is\Telling Arima that I like him!\However...\and have successfully gone through with it...\I've got absolutely no examples and no experience.\But, nothing's going to happen if I just sit here afraid.\Arima, Arima. response:	I'm sorry...
context: My absolute top priority is\Telling Arima that I like him!\However...\and have successfully gone through with it...\I've got absolutely no examples and no experience.\But, nothing's going to happen if I just sit here afraid.\Arima, Arima.\I'm sorry... response:	I was told to pick up a report from Chemistry Room 1...
context: Telling Arima that I like him!\However...\and have successfully gone through with it...\I've got absolutely no examples and no experience.\But, nothing's going to happen if I just sit here afraid.\Arima, Arima.\I'm sorry...\I was told to pick up a report from Chemistry Room 1... response:	Can you get it for me instead?
context: However...\and have successfully gone through with it...\I've got absolutely no examples and no experience.\But, nothing's going to happen if I just sit here afraid.\Arima, Arima.\I'm sorry...\I was told to pick up a report from Chemistry Room 1...\Can you get it for me instead? response:	Sure.
context: and have successfully gone through with it...\I've got absolutely no examples and no experience.\But, nothing's going to happen if I just sit here afraid.\Arima, Arima.\I'm sorry...\I was told to pick up a report from Chemistry Room 1...\Can you get it for me instead?\Sure. response:	This is the plan.
context: I've got absolutely no examples and no experience.\But, nothing's going to happen if I just sit here afraid.\Arima, Arima.\I'm sorry...\I was told to pick up a report from Chemistry Room 1...\Can you get it for me instead?\Sure.\This is the plan. response:	Lure Arima into the deserted science room, and tell him.
context: But, nothing's going to happen if I just sit here afraid.\Arima, Arima.\I'm sorry...\I was told to pick up a report from Chemistry Room 1...\Can you get it for me instead?\Sure.\This is the plan.\Lure Arima into the deserted science room, and tell him. response:	Oh, Miyazawa, what's up?
context: Arima, Arima.\I'm sorry...\I was told to pick up a report from Chemistry Room 1...\Can you get it for me instead?\Sure.\This is the plan.\Lure Arima into the deserted science room, and tell him.\Oh, Miyazawa, what's up? response:	Apparently a fluorescent light broke in the 11th graders' class.
context: I'm sorry...\I was told to pick up a report from Chemistry Room 1...\Can you get it for me instead?\Sure.\This is the plan.\Lure Arima into the deserted science room, and tell him.\Oh, Miyazawa, what's up?\Apparently a fluorescent light broke in the 11th graders' class. response:	The place is a real mess with
context: I was told to pick up a report from Chemistry Room 1...\Can you get it for me instead?\Sure.\This is the plan.\Lure Arima into the deserted science room, and tell him.\Oh, Miyazawa, what's up?\Apparently a fluorescent light broke in the 11th graders' class.\The place is a real mess with response:	broken glass all over. What's wrong?
context: Can you get it for me instead?\Sure.\This is the plan.\Lure Arima into the deserted science room, and tell him.\Oh, Miyazawa, what's up?\Apparently a fluorescent light broke in the 11th graders' class.\The place is a real mess with\broken glass all over. What's wrong? response:	He's alone...I have a second chance already!
context: Sure.\This is the plan.\Lure Arima into the deserted science room, and tell him.\Oh, Miyazawa, what's up?\Apparently a fluorescent light broke in the 11th graders' class.\The place is a real mess with\broken glass all over. What's wrong?\He's alone...I have a second chance already! response:	Oh, Miyazawa.
context: This is the plan.\Lure Arima into the deserted science room, and tell him.\Oh, Miyazawa, what's up?\Apparently a fluorescent light broke in the 11th graders' class.\The place is a real mess with\broken glass all over. What's wrong?\He's alone...I have a second chance already!\Oh, Miyazawa. response:	What was that noise?
context: Lure Arima into the deserted science room, and tell him.\Oh, Miyazawa, what's up?\Apparently a fluorescent light broke in the 11th graders' class.\The place is a real mess with\broken glass all over. What's wrong?\He's alone...I have a second chance already!\Oh, Miyazawa.\What was that noise? response:	Oh, just look at that.
context: Oh, Miyazawa, what's up?\Apparently a fluorescent light broke in the 11th graders' class.\The place is a real mess with\broken glass all over. What's wrong?\He's alone...I have a second chance already!\Oh, Miyazawa.\What was that noise?\Oh, just look at that. response:	Clean it up, okay?
context: Apparently a fluorescent light broke in the 11th graders' class.\The place is a real mess with\broken glass all over. What's wrong?\He's alone...I have a second chance already!\Oh, Miyazawa.\What was that noise?\Oh, just look at that.\Clean it up, okay? response:	Sorry about that.
context: The place is a real mess with\broken glass all over. What's wrong?\He's alone...I have a second chance already!\Oh, Miyazawa.\What was that noise?\Oh, just look at that.\Clean it up, okay?\Sorry about that. response:	Looks like no one's around! Lucky! Third chance!
context: broken glass all over. What's wrong?\He's alone...I have a second chance already!\Oh, Miyazawa.\What was that noise?\Oh, just look at that.\Clean it up, okay?\Sorry about that.\Looks like no one's around! Lucky! Third chance! response:	- Arima! - Y...yeah?
context: He's alone...I have a second chance already!\Oh, Miyazawa.\What was that noise?\Oh, just look at that.\Clean it up, okay?\Sorry about that.\Looks like no one's around! Lucky! Third chance!\- Arima! - Y...yeah? response:	Would First Year Class A Officers Arima and Miyazawa...
context: Oh, Miyazawa.\What was that noise?\Oh, just look at that.\Clean it up, okay?\Sorry about that.\Looks like no one's around! Lucky! Third chance!\- Arima! - Y...yeah?\Would First Year Class A Officers Arima and Miyazawa... response:	Gotta tell him. Gotta tell him.
context: What was that noise?\Oh, just look at that.\Clean it up, okay?\Sorry about that.\Looks like no one's around! Lucky! Third chance!\- Arima! - Y...yeah?\Would First Year Class A Officers Arima and Miyazawa...\Gotta tell him. Gotta tell him. response:	Gottatellhim gottatellhim gottatellhim gottatellhim...
context: Oh, just look at that.\Clean it up, okay?\Sorry about that.\Looks like no one's around! Lucky! Third chance!\- Arima! - Y...yeah?\Would First Year Class A Officers Arima and Miyazawa...\Gotta tell him. Gotta tell him.\Gottatellhim gottatellhim gottatellhim gottatellhim... response:	This is today's last chance!
context: Clean it up, okay?\Sorry about that.\Looks like no one's around! Lucky! Third chance!\- Arima! - Y...yeah?\Would First Year Class A Officers Arima and Miyazawa...\Gotta tell him. Gotta tell him.\Gottatellhim gottatellhim gottatellhim gottatellhim...\This is today's last chance! response:	To get back a chance once
context: Sorry about that.\Looks like no one's around! Lucky! Third chance!\- Arima! - Y...yeah?\Would First Year Class A Officers Arima and Miyazawa...\Gotta tell him. Gotta tell him.\Gottatellhim gottatellhim gottatellhim gottatellhim...\This is today's last chance!\To get back a chance once response:	Lost requires considerable effort.
context: Looks like no one's around! Lucky! Third chance!\- Arima! - Y...yeah?\Would First Year Class A Officers Arima and Miyazawa...\Gotta tell him. Gotta tell him.\Gottatellhim gottatellhim gottatellhim gottatellhim...\This is today's last chance!\To get back a chance once\Lost requires considerable effort. response:	Soon...
context: - Arima! - Y...yeah?\Would First Year Class A Officers Arima and Miyazawa...\Gotta tell him. Gotta tell him.\Gottatellhim gottatellhim gottatellhim gottatellhim...\This is today's last chance!\To get back a chance once\Lost requires considerable effort.\Soon... response:	Gotta tell him... soon...Soon...
context: Would First Year Class A Officers Arima and Miyazawa...\Gotta tell him. Gotta tell him.\Gottatellhim gottatellhim gottatellhim gottatellhim...\This is today's last chance!\To get back a chance once\Lost requires considerable effort.\Soon...\Gotta tell him... soon...Soon... response:	Sis, what're you moaning about?
context: Gotta tell him. Gotta tell him.\Gottatellhim gottatellhim gottatellhim gottatellhim...\This is today's last chance!\To get back a chance once\Lost requires considerable effort.\Soon...\Gotta tell him... soon...Soon...\Sis, what're you moaning about? response:	I swear, she's such a pain.
context: Gottatellhim gottatellhim gottatellhim gottatellhim...\This is today's last chance!\To get back a chance once\Lost requires considerable effort.\Soon...\Gotta tell him... soon...Soon...\Sis, what're you moaning about?\I swear, she's such a pain. response:	Although I keep doing such stupid things...
context: This is today's last chance!\To get back a chance once\Lost requires considerable effort.\Soon...\Gotta tell him... soon...Soon...\Sis, what're you moaning about?\I swear, she's such a pain.\Although I keep doing such stupid things... response:	What about him?
context: To get back a chance once\Lost requires considerable effort.\Soon...\Gotta tell him... soon...Soon...\Sis, what're you moaning about?\I swear, she's such a pain.\Although I keep doing such stupid things...\What about him? response:	Let's's see...
context: Lost requires considerable effort.\Soon...\Gotta tell him... soon...Soon...\Sis, what're you moaning about?\I swear, she's such a pain.\Although I keep doing such stupid things...\What about him?\Let's's see... response:	He's smart and nice, of course...
context: Soon...\Gotta tell him... soon...Soon...\Sis, what're you moaning about?\I swear, she's such a pain.\Although I keep doing such stupid things...\What about him?\Let's's see...\He's smart and nice, of course... response:	And his soft, warm voice is so dreamy...
context: Gotta tell him... soon...Soon...\Sis, what're you moaning about?\I swear, she's such a pain.\Although I keep doing such stupid things...\What about him?\Let's's see...\He's smart and nice, of course...\And his soft, warm voice is so dreamy... response:	His traditional narrow eyes,
context: Sis, what're you moaning about?\I swear, she's such a pain.\Although I keep doing such stupid things...\What about him?\Let's's see...\He's smart and nice, of course...\And his soft, warm voice is so dreamy...\His traditional narrow eyes, response:	his fine hair, and his slim body...
context: I swear, she's such a pain.\Although I keep doing such stupid things...\What about him?\Let's's see...\He's smart and nice, of course...\And his soft, warm voice is so dreamy...\His traditional narrow eyes,\his fine hair, and his slim body... response:	And he says he likes me...
context: Although I keep doing such stupid things...\What about him?\Let's's see...\He's smart and nice, of course...\And his soft, warm voice is so dreamy...\His traditional narrow eyes,\his fine hair, and his slim body...\And he says he likes me... response:	Whatcha' doin, Miyazawa?
context: What about him?\Let's's see...\He's smart and nice, of course...\And his soft, warm voice is so dreamy...\His traditional narrow eyes,\his fine hair, and his slim body...\And he says he likes me...\Whatcha' doin, Miyazawa? response:	We're off to the student council meeting.
context: Let's's see...\He's smart and nice, of course...\And his soft, warm voice is so dreamy...\His traditional narrow eyes,\his fine hair, and his slim body...\And he says he likes me...\Whatcha' doin, Miyazawa?\We're off to the student council meeting. response:	Geez, Arima.
context: He's smart and nice, of course...\And his soft, warm voice is so dreamy...\His traditional narrow eyes,\his fine hair, and his slim body...\And he says he likes me...\Whatcha' doin, Miyazawa?\We're off to the student council meeting.\Geez, Arima. response:	I'm blushing and stammering so much...
context: And his soft, warm voice is so dreamy...\His traditional narrow eyes,\his fine hair, and his slim body...\And he says he likes me...\Whatcha' doin, Miyazawa?\We're off to the student council meeting.\Geez, Arima.\I'm blushing and stammering so much... response:	Why can't you figure it out? Get a clue.
context: His traditional narrow eyes,\his fine hair, and his slim body...\And he says he likes me...\Whatcha' doin, Miyazawa?\We're off to the student council meeting.\Geez, Arima.\I'm blushing and stammering so much...\Why can't you figure it out? Get a clue. response:	Arima hasn't tried to show any hint of love at all since then.
context: his fine hair, and his slim body...\And he says he likes me...\Whatcha' doin, Miyazawa?\We're off to the student council meeting.\Geez, Arima.\I'm blushing and stammering so much...\Why can't you figure it out? Get a clue.\Arima hasn't tried to show any hint of love at all since then. response:	I bet he's thinking that he would annoy me if he's too persistent.
context: And he says he likes me...\Whatcha' doin, Miyazawa?\We're off to the student council meeting.\Geez, Arima.\I'm blushing and stammering so much...\Why can't you figure it out? Get a clue.\Arima hasn't tried to show any hint of love at all since then.\I bet he's thinking that he would annoy me if he's too persistent. response:	He's such a damn gentleman.
context: Whatcha' doin, Miyazawa?\We're off to the student council meeting.\Geez, Arima.\I'm blushing and stammering so much...\Why can't you figure it out? Get a clue.\Arima hasn't tried to show any hint of love at all since then.\I bet he's thinking that he would annoy me if he's too persistent.\He's such a damn gentleman. response:	He has an excellent poker face to begin with.
