context: Skies of Aquaria response:	Next Time
context: By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed... response:	But I'll always be with you, always be in your arms
context: I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms response:	We'll get on a shining ship of light
context: It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light response:	And call forth the wind with our voices
context: I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices response:	kaze ni ubawareta wake janai
context: so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai response:	We weren't spirited away on the wind
context: I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind response:	katamichi bun no yuuki de bokura
context: I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura response:	We knew we could never return, and found the courage
context: If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage response:	higeki wo ukeireru
context: But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru response:	to accept the hardship
context: We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship response:	kokoro ga koko ni atta hazu no kuudou
context: And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou response:	There's an emptiness where my heart used to be
context: kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be response:	motto boku ga ookikereba
context: We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba response:	If only I was stronger
context: katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger response:	kimi wo mirai wo sukueta darou ka
context: We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka response:	I could have saved you, and our future...
context: higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future... response:	taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai
context: to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai response:	I only know of one way to keep the people I love
context: kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love response:	sonna anata ga haguretadayou sora
context: There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora response:	And you left me and disappeared into the sky
context: motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky response:	anata ijou no hito ni deaenai
context: If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai response:	I'll never find anyone like you again
context: kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again response:	tsuki ni aragau nagai furea
context: I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea response:	A long flare reaches out against the moon
context: taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon response:	hajimaru mo sezu owaru monogatari
context: I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari response:	The story ends before it could even begin
context: sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin response:	kizutsukiuru yawarakasa
context: And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa response:	So soft, so fragile
context: anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile response:	tojikometa senritsu kanaderu hodo
context: I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo response:	I will call up the melody locked away
context: tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away response:	utau hodo kowareru hodo ni
context: A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni response:	And sing it until I destroy myself
context: hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself response:	anata ga koishii
context: The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii response:	That's how much I love you
context: kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you response:	Hey there!
context: So soft, so fragile\tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you\Hey there! response:	I have some nice pics.
context: tojikometa senritsu kanaderu hodo\I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you\Hey there!\I have some nice pics. response:	Photos of Rare Iguras!
context: I will call up the melody locked away\utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you\Hey there!\I have some nice pics.\Photos of Rare Iguras! response:	See any you like?
context: utau hodo kowareru hodo ni\And sing it until I destroy myself\anata ga koishii\That's how much I love you\Hey there!\I have some nice pics.\Photos of Rare Iguras!\See any you like? response:	Oh, uh, yeah.
context: And sing it until I destroy myself\anata ga koishii\That's how much I love you\Hey there!\I have some nice pics.\Photos of Rare Iguras!\See any you like?\Oh, uh, yeah. response:	I'll take this one, this one, and this one.
context: anata ga koishii\That's how much I love you\Hey there!\I have some nice pics.\Photos of Rare Iguras!\See any you like?\Oh, uh, yeah.\I'll take this one, this one, and this one. response:	Couldn't make up your mind?
context: That's how much I love you\Hey there!\I have some nice pics.\Photos of Rare Iguras!\See any you like?\Oh, uh, yeah.\I'll take this one, this one, and this one.\Couldn't make up your mind? response:	What? No, these are for investigation!
context: Hey there!\I have some nice pics.\Photos of Rare Iguras!\See any you like?\Oh, uh, yeah.\I'll take this one, this one, and this one.\Couldn't make up your mind?\What? No, these are for investigation! response:	Investigation?
context: I have some nice pics.\Photos of Rare Iguras!\See any you like?\Oh, uh, yeah.\I'll take this one, this one, and this one.\Couldn't make up your mind?\What? No, these are for investigation!\Investigation? response:	Nothing!
context: Photos of Rare Iguras!\See any you like?\Oh, uh, yeah.\I'll take this one, this one, and this one.\Couldn't make up your mind?\What? No, these are for investigation!\Investigation?\Nothing! response:	How much do I owe you?
context: See any you like?\Oh, uh, yeah.\I'll take this one, this one, and this one.\Couldn't make up your mind?\What? No, these are for investigation!\Investigation?\Nothing!\How much do I owe you? response:	I don't want any money.
context: Oh, uh, yeah.\I'll take this one, this one, and this one.\Couldn't make up your mind?\What? No, these are for investigation!\Investigation?\Nothing!\How much do I owe you?\I don't want any money. response:	Instead...
context: I'll take this one, this one, and this one.\Couldn't make up your mind?\What? No, these are for investigation!\Investigation?\Nothing!\How much do I owe you?\I don't want any money.\Instead... response:	Let me take a few shots.
context: Couldn't make up your mind?\What? No, these are for investigation!\Investigation?\Nothing!\How much do I owe you?\I don't want any money.\Instead...\Let me take a few shots. response:	You shouldn't...
context: What? No, these are for investigation!\Investigation?\Nothing!\How much do I owe you?\I don't want any money.\Instead...\Let me take a few shots.\You shouldn't... response:	Oh, I insist.
context: Investigation?\Nothing!\How much do I owe you?\I don't want any money.\Instead...\Let me take a few shots.\You shouldn't...\Oh, I insist. response:	You're shockingly popular.
context: Nothing!\How much do I owe you?\I don't want any money.\Instead...\Let me take a few shots.\You shouldn't...\Oh, I insist.\You're shockingly popular. response:	You're the mysterious transfer student!
context: How much do I owe you?\I don't want any money.\Instead...\Let me take a few shots.\You shouldn't...\Oh, I insist.\You're shockingly popular.\You're the mysterious transfer student! response:	Get him eating the hot dog!
context: I don't want any money.\Instead...\Let me take a few shots.\You shouldn't...\Oh, I insist.\You're shockingly popular.\You're the mysterious transfer student!\Get him eating the hot dog! response:	That's a good idea!
context: Instead...\Let me take a few shots.\You shouldn't...\Oh, I insist.\You're shockingly popular.\You're the mysterious transfer student!\Get him eating the hot dog!\That's a good idea! response:	Do it!
context: Let me take a few shots.\You shouldn't...\Oh, I insist.\You're shockingly popular.\You're the mysterious transfer student!\Get him eating the hot dog!\That's a good idea!\Do it! response:	Here, eat!
context: You shouldn't...\Oh, I insist.\You're shockingly popular.\You're the mysterious transfer student!\Get him eating the hot dog!\That's a good idea!\Do it!\Here, eat! response:	Say ahh...
context: Oh, I insist.\You're shockingly popular.\You're the mysterious transfer student!\Get him eating the hot dog!\That's a good idea!\Do it!\Here, eat!\Say ahh... response:	Quit it!
context: You're shockingly popular.\You're the mysterious transfer student!\Get him eating the hot dog!\That's a good idea!\Do it!\Here, eat!\Say ahh...\Quit it! response:	Jin's making really good progress.
context: You're the mysterious transfer student!\Get him eating the hot dog!\That's a good idea!\Do it!\Here, eat!\Say ahh...\Quit it!\Jin's making really good progress. response:	Good for him.
context: Get him eating the hot dog!\That's a good idea!\Do it!\Here, eat!\Say ahh...\Quit it!\Jin's making really good progress.\Good for him. response:	Are you serious? You didn't get to tell her?
context: That's a good idea!\Do it!\Here, eat!\Say ahh...\Quit it!\Jin's making really good progress.\Good for him.\Are you serious? You didn't get to tell her? response:	No...
context: Do it!\Here, eat!\Say ahh...\Quit it!\Jin's making really good progress.\Good for him.\Are you serious? You didn't get to tell her?\No... response:	All right, all right.
context: Here, eat!\Say ahh...\Quit it!\Jin's making really good progress.\Good for him.\Are you serious? You didn't get to tell her?\No...\All right, all right. response:	Your bro Andy is going to give you a boost, or should I say dig you a hole?
context: Say ahh...\Quit it!\Jin's making really good progress.\Good for him.\Are you serious? You didn't get to tell her?\No...\All right, all right.\Your bro Andy is going to give you a boost, or should I say dig you a hole? response:	You don't have to dig a hole for everything.
context: Quit it!\Jin's making really good progress.\Good for him.\Are you serious? You didn't get to tell her?\No...\All right, all right.\Your bro Andy is going to give you a boost, or should I say dig you a hole?\You don't have to dig a hole for everything. response:	It's way too serious at Neo-Deava anyway.
context: Jin's making really good progress.\Good for him.\Are you serious? You didn't get to tell her?\No...\All right, all right.\Your bro Andy is going to give you a boost, or should I say dig you a hole?\You don't have to dig a hole for everything.\It's way too serious at Neo-Deava anyway. response:	Something exciting, something to get everyone to have fun...
context: Good for him.\Are you serious? You didn't get to tell her?\No...\All right, all right.\Your bro Andy is going to give you a boost, or should I say dig you a hole?\You don't have to dig a hole for everything.\It's way too serious at Neo-Deava anyway.\Something exciting, something to get everyone to have fun... response:	That's what we need around here!
context: Are you serious? You didn't get to tell her?\No...\All right, all right.\Your bro Andy is going to give you a boost, or should I say dig you a hole?\You don't have to dig a hole for everything.\It's way too serious at Neo-Deava anyway.\Something exciting, something to get everyone to have fun...\That's what we need around here! response:	How are you going to excite anyone by digging a hole?
context: No...\All right, all right.\Your bro Andy is going to give you a boost, or should I say dig you a hole?\You don't have to dig a hole for everything.\It's way too serious at Neo-Deava anyway.\Something exciting, something to get everyone to have fun...\That's what we need around here!\How are you going to excite anyone by digging a hole? response:	Dude, I got this.
context: All right, all right.\Your bro Andy is going to give you a boost, or should I say dig you a hole?\You don't have to dig a hole for everything.\It's way too serious at Neo-Deava anyway.\Something exciting, something to get everyone to have fun...\That's what we need around here!\How are you going to excite anyone by digging a hole?\Dude, I got this. response:	You know what's tomorrow, right?
context: Your bro Andy is going to give you a boost, or should I say dig you a hole?\You don't have to dig a hole for everything.\It's way too serious at Neo-Deava anyway.\Something exciting, something to get everyone to have fun...\That's what we need around here!\How are you going to excite anyone by digging a hole?\Dude, I got this.\You know what's tomorrow, right? response:	Tomorrow is the anniversary of Holy Angel Academy's founding.
context: You don't have to dig a hole for everything.\It's way too serious at Neo-Deava anyway.\Something exciting, something to get everyone to have fun...\That's what we need around here!\How are you going to excite anyone by digging a hole?\Dude, I got this.\You know what's tomorrow, right?\Tomorrow is the anniversary of Holy Angel Academy's founding. response:	On that day 12 years ago,
context: It's way too serious at Neo-Deava anyway.\Something exciting, something to get everyone to have fun...\That's what we need around here!\How are you going to excite anyone by digging a hole?\Dude, I got this.\You know what's tomorrow, right?\Tomorrow is the anniversary of Holy Angel Academy's founding.\On that day 12 years ago, response:	the school was founded to gather young Elements,
context: Something exciting, something to get everyone to have fun...\That's what we need around here!\How are you going to excite anyone by digging a hole?\Dude, I got this.\You know what's tomorrow, right?\Tomorrow is the anniversary of Holy Angel Academy's founding.\On that day 12 years ago,\the school was founded to gather young Elements, response:	and prepare them to defend Earth from its attackers.
context: That's what we need around here!\How are you going to excite anyone by digging a hole?\Dude, I got this.\You know what's tomorrow, right?\Tomorrow is the anniversary of Holy Angel Academy's founding.\On that day 12 years ago,\the school was founded to gather young Elements,\and prepare them to defend Earth from its attackers. response:	I expect that each of you will live up to your predecessors
context: How are you going to excite anyone by digging a hole?\Dude, I got this.\You know what's tomorrow, right?\Tomorrow is the anniversary of Holy Angel Academy's founding.\On that day 12 years ago,\the school was founded to gather young Elements,\and prepare them to defend Earth from its attackers.\I expect that each of you will live up to your predecessors response:	No way.
context: Dude, I got this.\You know what's tomorrow, right?\Tomorrow is the anniversary of Holy Angel Academy's founding.\On that day 12 years ago,\the school was founded to gather young Elements,\and prepare them to defend Earth from its attackers.\I expect that each of you will live up to your predecessors\No way. response:	and redouble your work and studies for the future.
context: You know what's tomorrow, right?\Tomorrow is the anniversary of Holy Angel Academy's founding.\On that day 12 years ago,\the school was founded to gather young Elements,\and prepare them to defend Earth from its attackers.\I expect that each of you will live up to your predecessors\No way.\and redouble your work and studies for the future. response:	Tomorrow is the anniversary of our school's founding.
context: Tomorrow is the anniversary of Holy Angel Academy's founding.\On that day 12 years ago,\the school was founded to gather young Elements,\and prepare them to defend Earth from its attackers.\I expect that each of you will live up to your predecessors\No way.\and redouble your work and studies for the future.\Tomorrow is the anniversary of our school's founding. response:	Let's forget about the daily grind and plan our own awesome event!
context: On that day 12 years ago,\the school was founded to gather young Elements,\and prepare them to defend Earth from its attackers.\I expect that each of you will live up to your predecessors\No way.\and redouble your work and studies for the future.\Tomorrow is the anniversary of our school's founding.\Let's forget about the daily grind and plan our own awesome event! response:	We'll have a planning meeting after school in the boys' dorm.
context: the school was founded to gather young Elements,\and prepare them to defend Earth from its attackers.\I expect that each of you will live up to your predecessors\No way.\and redouble your work and studies for the future.\Tomorrow is the anniversary of our school's founding.\Let's forget about the daily grind and plan our own awesome event!\We'll have a planning meeting after school in the boys' dorm. response:	What is this?
context: and prepare them to defend Earth from its attackers.\I expect that each of you will live up to your predecessors\No way.\and redouble your work and studies for the future.\Tomorrow is the anniversary of our school's founding.\Let's forget about the daily grind and plan our own awesome event!\We'll have a planning meeting after school in the boys' dorm.\What is this? response:	Andy wouldn't let it go.
context: I expect that each of you will live up to your predecessors\No way.\and redouble your work and studies for the future.\Tomorrow is the anniversary of our school's founding.\Let's forget about the daily grind and plan our own awesome event!\We'll have a planning meeting after school in the boys' dorm.\What is this?\Andy wouldn't let it go. response:	Hey, what's going on?
context: No way.\and redouble your work and studies for the future.\Tomorrow is the anniversary of our school's founding.\Let's forget about the daily grind and plan our own awesome event!\We'll have a planning meeting after school in the boys' dorm.\What is this?\Andy wouldn't let it go.\Hey, what's going on? response:	You can come too, Zessica.
context: and redouble your work and studies for the future.\Tomorrow is the anniversary of our school's founding.\Let's forget about the daily grind and plan our own awesome event!\We'll have a planning meeting after school in the boys' dorm.\What is this?\Andy wouldn't let it go.\Hey, what's going on?\You can come too, Zessica. response:	What did you invite Zessica for?
