context: Captain Earth response:	I'll install myself into every sentient life form in the galaxy,
context: A planetary sign...\Anyone with an Ego Block can use it.\Of course I can, as well.\And its strength is proportional to your libido's strength.\No one without an Ego Block can break this sign.\Daichi! Teppei!\How does it feel to be ruled by that which you used?\Well, Amarok? response:	That rage is the rage of something that's been used.
context: Anyone with an Ego Block can use it.\Of course I can, as well.\And its strength is proportional to your libido's strength.\No one without an Ego Block can break this sign.\Daichi! Teppei!\How does it feel to be ruled by that which you used?\Well, Amarok?\That rage is the rage of something that's been used. response:	You're the same, Earthlings!
context: Of course I can, as well.\And its strength is proportional to your libido's strength.\No one without an Ego Block can break this sign.\Daichi! Teppei!\How does it feel to be ruled by that which you used?\Well, Amarok?\That rage is the rage of something that's been used.\You're the same, Earthlings! response:	You used the Blume to protect your race, and locked Hana Mutou inside it.
context: And its strength is proportional to your libido's strength.\No one without an Ego Block can break this sign.\Daichi! Teppei!\How does it feel to be ruled by that which you used?\Well, Amarok?\That rage is the rage of something that's been used.\You're the same, Earthlings!\You used the Blume to protect your race, and locked Hana Mutou inside it. response:	As a bio-part, she is deeply connected to the Blume,
context: No one without an Ego Block can break this sign.\Daichi! Teppei!\How does it feel to be ruled by that which you used?\Well, Amarok?\That rage is the rage of something that's been used.\You're the same, Earthlings!\You used the Blume to protect your race, and locked Hana Mutou inside it.\As a bio-part, she is deeply connected to the Blume, response:	and won't be able to leave it anymore.
context: Daichi! Teppei!\How does it feel to be ruled by that which you used?\Well, Amarok?\That rage is the rage of something that's been used.\You're the same, Earthlings!\You used the Blume to protect your race, and locked Hana Mutou inside it.\As a bio-part, she is deeply connected to the Blume,\and won't be able to leave it anymore. response:	At least, not for another few centuries...
context: How does it feel to be ruled by that which you used?\Well, Amarok?\That rage is the rage of something that's been used.\You're the same, Earthlings!\You used the Blume to protect your race, and locked Hana Mutou inside it.\As a bio-part, she is deeply connected to the Blume,\and won't be able to leave it anymore.\At least, not for another few centuries... response:	Is that true, Teppei?
context: Well, Amarok?\That rage is the rage of something that's been used.\You're the same, Earthlings!\You used the Blume to protect your race, and locked Hana Mutou inside it.\As a bio-part, she is deeply connected to the Blume,\and won't be able to leave it anymore.\At least, not for another few centuries...\Is that true, Teppei? response:	Hana made her decision.
context: That rage is the rage of something that's been used.\You're the same, Earthlings!\You used the Blume to protect your race, and locked Hana Mutou inside it.\As a bio-part, she is deeply connected to the Blume,\and won't be able to leave it anymore.\At least, not for another few centuries...\Is that true, Teppei?\Hana made her decision. response:	She believed in this team.
context: You're the same, Earthlings!\You used the Blume to protect your race, and locked Hana Mutou inside it.\As a bio-part, she is deeply connected to the Blume,\and won't be able to leave it anymore.\At least, not for another few centuries...\Is that true, Teppei?\Hana made her decision.\She believed in this team. response:	No...
context: You used the Blume to protect your race, and locked Hana Mutou inside it.\As a bio-part, she is deeply connected to the Blume,\and won't be able to leave it anymore.\At least, not for another few centuries...\Is that true, Teppei?\Hana made her decision.\She believed in this team.\No... response:	I'll bring back Hana, even if it means destroying the Blume.
context: As a bio-part, she is deeply connected to the Blume,\and won't be able to leave it anymore.\At least, not for another few centuries...\Is that true, Teppei?\Hana made her decision.\She believed in this team.\No...\I'll bring back Hana, even if it means destroying the Blume. response:	If you destroy the ship, Hana Mutou will die.
context: and won't be able to leave it anymore.\At least, not for another few centuries...\Is that true, Teppei?\Hana made her decision.\She believed in this team.\No...\I'll bring back Hana, even if it means destroying the Blume.\If you destroy the ship, Hana Mutou will die. response:	I have gained an Ego Block and evolved into a new life form, but she's just a bio-part.
context: At least, not for another few centuries...\Is that true, Teppei?\Hana made her decision.\She believed in this team.\No...\I'll bring back Hana, even if it means destroying the Blume.\If you destroy the ship, Hana Mutou will die.\I have gained an Ego Block and evolved into a new life form, but she's just a bio-part. response:	Hana is human!
context: Is that true, Teppei?\Hana made her decision.\She believed in this team.\No...\I'll bring back Hana, even if it means destroying the Blume.\If you destroy the ship, Hana Mutou will die.\I have gained an Ego Block and evolved into a new life form, but she's just a bio-part.\Hana is human! response:	Only death can cure a fool, I suppose.
context: Hana made her decision.\She believed in this team.\No...\I'll bring back Hana, even if it means destroying the Blume.\If you destroy the ship, Hana Mutou will die.\I have gained an Ego Block and evolved into a new life form, but she's just a bio-part.\Hana is human!\Only death can cure a fool, I suppose. response:	Aiatar!
context: She believed in this team.\No...\I'll bring back Hana, even if it means destroying the Blume.\If you destroy the ship, Hana Mutou will die.\I have gained an Ego Block and evolved into a new life form, but she's just a bio-part.\Hana is human!\Only death can cure a fool, I suppose.\Aiatar! response:	What is this?
context: No...\I'll bring back Hana, even if it means destroying the Blume.\If you destroy the ship, Hana Mutou will die.\I have gained an Ego Block and evolved into a new life form, but she's just a bio-part.\Hana is human!\Only death can cure a fool, I suppose.\Aiatar!\What is this? response:	My body's going weird...
context: I'll bring back Hana, even if it means destroying the Blume.\If you destroy the ship, Hana Mutou will die.\I have gained an Ego Block and evolved into a new life form, but she's just a bio-part.\Hana is human!\Only death can cure a fool, I suppose.\Aiatar!\What is this?\My body's going weird... response:	An Entangle Link?
context: If you destroy the ship, Hana Mutou will die.\I have gained an Ego Block and evolved into a new life form, but she's just a bio-part.\Hana is human!\Only death can cure a fool, I suppose.\Aiatar!\What is this?\My body's going weird...\An Entangle Link? response:	Thanks, Teppei...
context: I have gained an Ego Block and evolved into a new life form, but she's just a bio-part.\Hana is human!\Only death can cure a fool, I suppose.\Aiatar!\What is this?\My body's going weird...\An Entangle Link?\Thanks, Teppei... response:	That Ego Block Entangle Linked.
context: Hana is human!\Only death can cure a fool, I suppose.\Aiatar!\What is this?\My body's going weird...\An Entangle Link?\Thanks, Teppei...\That Ego Block Entangle Linked. response:	Where did Puck go?
context: Only death can cure a fool, I suppose.\Aiatar!\What is this?\My body's going weird...\An Entangle Link?\Thanks, Teppei...\That Ego Block Entangle Linked.\Where did Puck go? response:	Don't worry, Midsummers' Knights.
context: Aiatar!\What is this?\My body's going weird...\An Entangle Link?\Thanks, Teppei...\That Ego Block Entangle Linked.\Where did Puck go?\Don't worry, Midsummers' Knights. response:	The Blume and Hana Mutou will live forever with me.
context: What is this?\My body's going weird...\An Entangle Link?\Thanks, Teppei...\That Ego Block Entangle Linked.\Where did Puck go?\Don't worry, Midsummers' Knights.\The Blume and Hana Mutou will live forever with me. response:	Hana!
context: My body's going weird...\An Entangle Link?\Thanks, Teppei...\That Ego Block Entangle Linked.\Where did Puck go?\Don't worry, Midsummers' Knights.\The Blume and Hana Mutou will live forever with me.\Hana! response:	Puck does not lie.
context: An Entangle Link?\Thanks, Teppei...\That Ego Block Entangle Linked.\Where did Puck go?\Don't worry, Midsummers' Knights.\The Blume and Hana Mutou will live forever with me.\Hana!\Puck does not lie. response:	Hana!
context: Thanks, Teppei...\That Ego Block Entangle Linked.\Where did Puck go?\Don't worry, Midsummers' Knights.\The Blume and Hana Mutou will live forever with me.\Hana!\Puck does not lie.\Hana! response:	Now, come out, Princess of Blume.
context: That Ego Block Entangle Linked.\Where did Puck go?\Don't worry, Midsummers' Knights.\The Blume and Hana Mutou will live forever with me.\Hana!\Puck does not lie.\Hana!\Now, come out, Princess of Blume. response:	At last I have it...
context: Where did Puck go?\Don't worry, Midsummers' Knights.\The Blume and Hana Mutou will live forever with me.\Hana!\Puck does not lie.\Hana!\Now, come out, Princess of Blume.\At last I have it... response:	The body I wanted more than anything, and this.
context: Don't worry, Midsummers' Knights.\The Blume and Hana Mutou will live forever with me.\Hana!\Puck does not lie.\Hana!\Now, come out, Princess of Blume.\At last I have it...\The body I wanted more than anything, and this. response:	Puck installed himself in the Blume?
context: The Blume and Hana Mutou will live forever with me.\Hana!\Puck does not lie.\Hana!\Now, come out, Princess of Blume.\At last I have it...\The body I wanted more than anything, and this.\Puck installed himself in the Blume? response:	I am no longer Puck or the Blume.
context: Hana!\Puck does not lie.\Hana!\Now, come out, Princess of Blume.\At last I have it...\The body I wanted more than anything, and this.\Puck installed himself in the Blume?\I am no longer Puck or the Blume. response:	I am Robin Goodfellow,
context: Puck does not lie.\Hana!\Now, come out, Princess of Blume.\At last I have it...\The body I wanted more than anything, and this.\Puck installed himself in the Blume?\I am no longer Puck or the Blume.\I am Robin Goodfellow, response:	the absolute ruler of this galaxy.
context: Hana!\Now, come out, Princess of Blume.\At last I have it...\The body I wanted more than anything, and this.\Puck installed himself in the Blume?\I am no longer Puck or the Blume.\I am Robin Goodfellow,\the absolute ruler of this galaxy. response:	Robin Goodfellow?
context: Now, come out, Princess of Blume.\At last I have it...\The body I wanted more than anything, and this.\Puck installed himself in the Blume?\I am no longer Puck or the Blume.\I am Robin Goodfellow,\the absolute ruler of this galaxy.\Robin Goodfellow? response:	Hana?
context: At last I have it...\The body I wanted more than anything, and this.\Puck installed himself in the Blume?\I am no longer Puck or the Blume.\I am Robin Goodfellow,\the absolute ruler of this galaxy.\Robin Goodfellow?\Hana? response:	What is this monster?
context: The body I wanted more than anything, and this.\Puck installed himself in the Blume?\I am no longer Puck or the Blume.\I am Robin Goodfellow,\the absolute ruler of this galaxy.\Robin Goodfellow?\Hana?\What is this monster? response:	Now, show me infinite energy.
context: Puck installed himself in the Blume?\I am no longer Puck or the Blume.\I am Robin Goodfellow,\the absolute ruler of this galaxy.\Robin Goodfellow?\Hana?\What is this monster?\Now, show me infinite energy. response:	Why?
context: I am no longer Puck or the Blume.\I am Robin Goodfellow,\the absolute ruler of this galaxy.\Robin Goodfellow?\Hana?\What is this monster?\Now, show me infinite energy.\Why? response:	Why can't I fire the Livlaster?
context: I am Robin Goodfellow,\the absolute ruler of this galaxy.\Robin Goodfellow?\Hana?\What is this monster?\Now, show me infinite energy.\Why?\Why can't I fire the Livlaster? response:	Why isn't there infinite energy?!
context: the absolute ruler of this galaxy.\Robin Goodfellow?\Hana?\What is this monster?\Now, show me infinite energy.\Why?\Why can't I fire the Livlaster?\Why isn't there infinite energy?! response:	So that's it...
context: Robin Goodfellow?\Hana?\What is this monster?\Now, show me infinite energy.\Why?\Why can't I fire the Livlaster?\Why isn't there infinite energy?!\So that's it... response:	She can't fire the Livlaster?
context: Hana?\What is this monster?\Now, show me infinite energy.\Why?\Why can't I fire the Livlaster?\Why isn't there infinite energy?!\So that's it...\She can't fire the Livlaster? response:	Of course not.
context: What is this monster?\Now, show me infinite energy.\Why?\Why can't I fire the Livlaster?\Why isn't there infinite energy?!\So that's it...\She can't fire the Livlaster?\Of course not. response:	That may be Hana's body, but it isn't Hana.
context: Now, show me infinite energy.\Why?\Why can't I fire the Livlaster?\Why isn't there infinite energy?!\So that's it...\She can't fire the Livlaster?\Of course not.\That may be Hana's body, but it isn't Hana. response:	So these things are my true enemies, after all...
context: Why?\Why can't I fire the Livlaster?\Why isn't there infinite energy?!\So that's it...\She can't fire the Livlaster?\Of course not.\That may be Hana's body, but it isn't Hana.\So these things are my true enemies, after all... response:	If I can't control them,
context: Why can't I fire the Livlaster?\Why isn't there infinite energy?!\So that's it...\She can't fire the Livlaster?\Of course not.\That may be Hana's body, but it isn't Hana.\So these things are my true enemies, after all...\If I can't control them, response:	I'll have to eliminate all civilizations that have touched the Livlasters from my new world!
context: Why isn't there infinite energy?!\So that's it...\She can't fire the Livlaster?\Of course not.\That may be Hana's body, but it isn't Hana.\So these things are my true enemies, after all...\If I can't control them,\I'll have to eliminate all civilizations that have touched the Livlasters from my new world! response:	Captain! Teppei!
context: So that's it...\She can't fire the Livlaster?\Of course not.\That may be Hana's body, but it isn't Hana.\So these things are my true enemies, after all...\If I can't control them,\I'll have to eliminate all civilizations that have touched the Livlasters from my new world!\Captain! Teppei! response:	Let's get Hana back!
context: She can't fire the Livlaster?\Of course not.\That may be Hana's body, but it isn't Hana.\So these things are my true enemies, after all...\If I can't control them,\I'll have to eliminate all civilizations that have touched the Livlasters from my new world!\Captain! Teppei!\Let's get Hana back! response:	Roger!
context: Of course not.\That may be Hana's body, but it isn't Hana.\So these things are my true enemies, after all...\If I can't control them,\I'll have to eliminate all civilizations that have touched the Livlasters from my new world!\Captain! Teppei!\Let's get Hana back!\Roger! response:	We cannot allow that thing to exist!
context: That may be Hana's body, but it isn't Hana.\So these things are my true enemies, after all...\If I can't control them,\I'll have to eliminate all civilizations that have touched the Livlasters from my new world!\Captain! Teppei!\Let's get Hana back!\Roger!\We cannot allow that thing to exist! response:	Siren-sama, there's no end to this.
context: So these things are my true enemies, after all...\If I can't control them,\I'll have to eliminate all civilizations that have touched the Livlasters from my new world!\Captain! Teppei!\Let's get Hana back!\Roger!\We cannot allow that thing to exist!\Siren-sama, there's no end to this. response:	There's no way to destroy it except with an Ego Block explosion.
context: If I can't control them,\I'll have to eliminate all civilizations that have touched the Livlasters from my new world!\Captain! Teppei!\Let's get Hana back!\Roger!\We cannot allow that thing to exist!\Siren-sama, there's no end to this.\There's no way to destroy it except with an Ego Block explosion. response:	Siren-sama,
context: I'll have to eliminate all civilizations that have touched the Livlasters from my new world!\Captain! Teppei!\Let's get Hana back!\Roger!\We cannot allow that thing to exist!\Siren-sama, there's no end to this.\There's no way to destroy it except with an Ego Block explosion.\Siren-sama, response:	ever since you got an Earth avatar, you've been acting strangely.
context: Captain! Teppei!\Let's get Hana back!\Roger!\We cannot allow that thing to exist!\Siren-sama, there's no end to this.\There's no way to destroy it except with an Ego Block explosion.\Siren-sama,\ever since you got an Earth avatar, you've been acting strangely. response:	Losing your Ego Block means you aren't one of the Planetary Gears anymore!
context: Let's get Hana back!\Roger!\We cannot allow that thing to exist!\Siren-sama, there's no end to this.\There's no way to destroy it except with an Ego Block explosion.\Siren-sama,\ever since you got an Earth avatar, you've been acting strangely.\Losing your Ego Block means you aren't one of the Planetary Gears anymore! response:	Captain!
context: Roger!\We cannot allow that thing to exist!\Siren-sama, there's no end to this.\There's no way to destroy it except with an Ego Block explosion.\Siren-sama,\ever since you got an Earth avatar, you've been acting strangely.\Losing your Ego Block means you aren't one of the Planetary Gears anymore!\Captain! response:	If we don't wipe that thing out here, it will absorb the entire galaxy.
context: We cannot allow that thing to exist!\Siren-sama, there's no end to this.\There's no way to destroy it except with an Ego Block explosion.\Siren-sama,\ever since you got an Earth avatar, you've been acting strangely.\Losing your Ego Block means you aren't one of the Planetary Gears anymore!\Captain!\If we don't wipe that thing out here, it will absorb the entire galaxy. response:	We Planetary Gears created that mass of desire.
context: Siren-sama, there's no end to this.\There's no way to destroy it except with an Ego Block explosion.\Siren-sama,\ever since you got an Earth avatar, you've been acting strangely.\Losing your Ego Block means you aren't one of the Planetary Gears anymore!\Captain!\If we don't wipe that thing out here, it will absorb the entire galaxy.\We Planetary Gears created that mass of desire. response:	I think I finally understand why we cannot fire the Livlasters.
context: There's no way to destroy it except with an Ego Block explosion.\Siren-sama,\ever since you got an Earth avatar, you've been acting strangely.\Losing your Ego Block means you aren't one of the Planetary Gears anymore!\Captain!\If we don't wipe that thing out here, it will absorb the entire galaxy.\We Planetary Gears created that mass of desire.\I think I finally understand why we cannot fire the Livlasters. response:	Because we're monsters with swollen egos, just like that thing.
context: Siren-sama,\ever since you got an Earth avatar, you've been acting strangely.\Losing your Ego Block means you aren't one of the Planetary Gears anymore!\Captain!\If we don't wipe that thing out here, it will absorb the entire galaxy.\We Planetary Gears created that mass of desire.\I think I finally understand why we cannot fire the Livlasters.\Because we're monsters with swollen egos, just like that thing. response:	But I never would've realized that if not for the time I spent as an Earthling avatar.
context: ever since you got an Earth avatar, you've been acting strangely.\Losing your Ego Block means you aren't one of the Planetary Gears anymore!\Captain!\If we don't wipe that thing out here, it will absorb the entire galaxy.\We Planetary Gears created that mass of desire.\I think I finally understand why we cannot fire the Livlasters.\Because we're monsters with swollen egos, just like that thing.\But I never would've realized that if not for the time I spent as an Earthling avatar. response:	Perhaps we should entrust ourselves to a momentary wind...
context: Losing your Ego Block means you aren't one of the Planetary Gears anymore!\Captain!\If we don't wipe that thing out here, it will absorb the entire galaxy.\We Planetary Gears created that mass of desire.\I think I finally understand why we cannot fire the Livlasters.\Because we're monsters with swollen egos, just like that thing.\But I never would've realized that if not for the time I spent as an Earthling avatar.\Perhaps we should entrust ourselves to a momentary wind... response:	A wind, huh?
context: Captain!\If we don't wipe that thing out here, it will absorb the entire galaxy.\We Planetary Gears created that mass of desire.\I think I finally understand why we cannot fire the Livlasters.\Because we're monsters with swollen egos, just like that thing.\But I never would've realized that if not for the time I spent as an Earthling avatar.\Perhaps we should entrust ourselves to a momentary wind...\A wind, huh? response:	No way... This is impossible.
context: If we don't wipe that thing out here, it will absorb the entire galaxy.\We Planetary Gears created that mass of desire.\I think I finally understand why we cannot fire the Livlasters.\Because we're monsters with swollen egos, just like that thing.\But I never would've realized that if not for the time I spent as an Earthling avatar.\Perhaps we should entrust ourselves to a momentary wind...\A wind, huh?\No way... This is impossible. response:	You can't do that!
context: We Planetary Gears created that mass of desire.\I think I finally understand why we cannot fire the Livlasters.\Because we're monsters with swollen egos, just like that thing.\But I never would've realized that if not for the time I spent as an Earthling avatar.\Perhaps we should entrust ourselves to a momentary wind...\A wind, huh?\No way... This is impossible.\You can't do that! response:	How is it so fast, with that size?
context: I think I finally understand why we cannot fire the Livlasters.\Because we're monsters with swollen egos, just like that thing.\But I never would've realized that if not for the time I spent as an Earthling avatar.\Perhaps we should entrust ourselves to a momentary wind...\A wind, huh?\No way... This is impossible.\You can't do that!\How is it so fast, with that size? response:	Captain!
context: Because we're monsters with swollen egos, just like that thing.\But I never would've realized that if not for the time I spent as an Earthling avatar.\Perhaps we should entrust ourselves to a momentary wind...\A wind, huh?\No way... This is impossible.\You can't do that!\How is it so fast, with that size?\Captain! response:	Captain!
context: But I never would've realized that if not for the time I spent as an Earthling avatar.\Perhaps we should entrust ourselves to a momentary wind...\A wind, huh?\No way... This is impossible.\You can't do that!\How is it so fast, with that size?\Captain!\Captain! response:	What are you doing?
context: Perhaps we should entrust ourselves to a momentary wind...\A wind, huh?\No way... This is impossible.\You can't do that!\How is it so fast, with that size?\Captain!\Captain!\What are you doing? response:	Die.
context: A wind, huh?\No way... This is impossible.\You can't do that!\How is it so fast, with that size?\Captain!\Captain!\What are you doing?\Die. response:	What?
context: No way... This is impossible.\You can't do that!\How is it so fast, with that size?\Captain!\Captain!\What are you doing?\Die.\What? response:	I just don't like having a debt to anyone.
context: You can't do that!\How is it so fast, with that size?\Captain!\Captain!\What are you doing?\Die.\What?\I just don't like having a debt to anyone. response:	D-Debt?
context: How is it so fast, with that size?\Captain!\Captain!\What are you doing?\Die.\What?\I just don't like having a debt to anyone.\D-Debt? response:	Thanks for teaching me that the wind could feel good.
context: Captain!\Captain!\What are you doing?\Die.\What?\I just don't like having a debt to anyone.\D-Debt?\Thanks for teaching me that the wind could feel good. response:	Now, if the power of your planetary sign is proportional to your libido's power...
context: Captain!\What are you doing?\Die.\What?\I just don't like having a debt to anyone.\D-Debt?\Thanks for teaching me that the wind could feel good.\Now, if the power of your planetary sign is proportional to your libido's power... response:	My libido's strong!
context: What are you doing?\Die.\What?\I just don't like having a debt to anyone.\D-Debt?\Thanks for teaching me that the wind could feel good.\Now, if the power of your planetary sign is proportional to your libido's power...\My libido's strong! response:	As strong as yours!
context: Die.\What?\I just don't like having a debt to anyone.\D-Debt?\Thanks for teaching me that the wind could feel good.\Now, if the power of your planetary sign is proportional to your libido's power...\My libido's strong!\As strong as yours! response:	You think so?
context: What?\I just don't like having a debt to anyone.\D-Debt?\Thanks for teaching me that the wind could feel good.\Now, if the power of your planetary sign is proportional to your libido's power...\My libido's strong!\As strong as yours!\You think so? response:	Moco...
context: I just don't like having a debt to anyone.\D-Debt?\Thanks for teaching me that the wind could feel good.\Now, if the power of your planetary sign is proportional to your libido's power...\My libido's strong!\As strong as yours!\You think so?\Moco... response:	That crepe truck we ran together was pretty fun, wasn't it?
context: D-Debt?\Thanks for teaching me that the wind could feel good.\Now, if the power of your planetary sign is proportional to your libido's power...\My libido's strong!\As strong as yours!\You think so?\Moco...\That crepe truck we ran together was pretty fun, wasn't it? response:	What are you talking about?
context: Thanks for teaching me that the wind could feel good.\Now, if the power of your planetary sign is proportional to your libido's power...\My libido's strong!\As strong as yours!\You think so?\Moco...\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about? response:	Amara?
context: Now, if the power of your planetary sign is proportional to your libido's power...\My libido's strong!\As strong as yours!\You think so?\Moco...\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\Amara? response:	No way... Amarok?
context: My libido's strong!\As strong as yours!\You think so?\Moco...\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\Amara?\No way... Amarok? response:	He sacrificed his Ego Block so I could survive...
context: As strong as yours!\You think so?\Moco...\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\Amara?\No way... Amarok?\He sacrificed his Ego Block so I could survive... response:	What is the meaning of life?
context: You think so?\Moco...\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\Amara?\No way... Amarok?\He sacrificed his Ego Block so I could survive...\What is the meaning of life? response:	Someday, death will come...
context: Moco...\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\Amara?\No way... Amarok?\He sacrificed his Ego Block so I could survive...\What is the meaning of life?\Someday, death will come... response:	Before then, you do what you must.
context: That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\Amara?\No way... Amarok?\He sacrificed his Ego Block so I could survive...\What is the meaning of life?\Someday, death will come...\Before then, you do what you must. response:	They said that the strength of those feelings becomes your power.
context: What are you talking about?\Amara?\No way... Amarok?\He sacrificed his Ego Block so I could survive...\What is the meaning of life?\Someday, death will come...\Before then, you do what you must.\They said that the strength of those feelings becomes your power. response:	Is that what it means to be alive?
context: Amara?\No way... Amarok?\He sacrificed his Ego Block so I could survive...\What is the meaning of life?\Someday, death will come...\Before then, you do what you must.\They said that the strength of those feelings becomes your power.\Is that what it means to be alive? response:	Probably.
context: No way... Amarok?\He sacrificed his Ego Block so I could survive...\What is the meaning of life?\Someday, death will come...\Before then, you do what you must.\They said that the strength of those feelings becomes your power.\Is that what it means to be alive?\Probably. response:	In that case, we can only do what we must.
context: He sacrificed his Ego Block so I could survive...\What is the meaning of life?\Someday, death will come...\Before then, you do what you must.\They said that the strength of those feelings becomes your power.\Is that what it means to be alive?\Probably.\In that case, we can only do what we must. response:	We'll go with you.
context: What is the meaning of life?\Someday, death will come...\Before then, you do what you must.\They said that the strength of those feelings becomes your power.\Is that what it means to be alive?\Probably.\In that case, we can only do what we must.\We'll go with you. response:	The Kiltgangs!
context: Someday, death will come...\Before then, you do what you must.\They said that the strength of those feelings becomes your power.\Is that what it means to be alive?\Probably.\In that case, we can only do what we must.\We'll go with you.\The Kiltgangs! response:	An Ego Block explosion?
context: Before then, you do what you must.\They said that the strength of those feelings becomes your power.\Is that what it means to be alive?\Probably.\In that case, we can only do what we must.\We'll go with you.\The Kiltgangs!\An Ego Block explosion? response:	No way!
context: They said that the strength of those feelings becomes your power.\Is that what it means to be alive?\Probably.\In that case, we can only do what we must.\We'll go with you.\The Kiltgangs!\An Ego Block explosion?\No way! response:	Akari, are you all right?
context: Is that what it means to be alive?\Probably.\In that case, we can only do what we must.\We'll go with you.\The Kiltgangs!\An Ego Block explosion?\No way!\Akari, are you all right? response:	Thanks to your barrier, there are no major problems.
context: Probably.\In that case, we can only do what we must.\We'll go with you.\The Kiltgangs!\An Ego Block explosion?\No way!\Akari, are you all right?\Thanks to your barrier, there are no major problems. response:	What happened to him?
context: In that case, we can only do what we must.\We'll go with you.\The Kiltgangs!\An Ego Block explosion?\No way!\Akari, are you all right?\Thanks to your barrier, there are no major problems.\What happened to him? response:	Did we kill him?
