context: Thank you for your help, Kanou-kun. response:	It's nothing.
context: You want to pay me back?\Yeah. First you saved me when a stalker was after me, and then during the sports festival,\and even when I had trouble with Kanou, too.\I don't like being so indebted to you.\Well, then be my maid for a day.\Could you think of something else?\Let's see...\Do you seriously want me to be your maid for a day? response:	I never thought you were that messed up.
context: Yeah. First you saved me when a stalker was after me, and then during the sports festival,\and even when I had trouble with Kanou, too.\I don't like being so indebted to you.\Well, then be my maid for a day.\Could you think of something else?\Let's see...\Do you seriously want me to be your maid for a day?\I never thought you were that messed up. response:	He's serious.
context: and even when I had trouble with Kanou, too.\I don't like being so indebted to you.\Well, then be my maid for a day.\Could you think of something else?\Let's see...\Do you seriously want me to be your maid for a day?\I never thought you were that messed up.\He's serious. response:	It actually worries me that that's the only thing you want.
context: I don't like being so indebted to you.\Well, then be my maid for a day.\Could you think of something else?\Let's see...\Do you seriously want me to be your maid for a day?\I never thought you were that messed up.\He's serious.\It actually worries me that that's the only thing you want. response:	What? You're actually ready for me to do naughty things to you?
context: Well, then be my maid for a day.\Could you think of something else?\Let's see...\Do you seriously want me to be your maid for a day?\I never thought you were that messed up.\He's serious.\It actually worries me that that's the only thing you want.\What? You're actually ready for me to do naughty things to you? response:	Just joking.
context: Could you think of something else?\Let's see...\Do you seriously want me to be your maid for a day?\I never thought you were that messed up.\He's serious.\It actually worries me that that's the only thing you want.\What? You're actually ready for me to do naughty things to you?\Just joking. response:	Time to go to your job, Prez.
context: Let's see...\Do you seriously want me to be your maid for a day?\I never thought you were that messed up.\He's serious.\It actually worries me that that's the only thing you want.\What? You're actually ready for me to do naughty things to you?\Just joking.\Time to go to your job, Prez. response:	How does that idiot want this to end?!
context: Do you seriously want me to be your maid for a day?\I never thought you were that messed up.\He's serious.\It actually worries me that that's the only thing you want.\What? You're actually ready for me to do naughty things to you?\Just joking.\Time to go to your job, Prez.\How does that idiot want this to end?! response:	You may lose something important. Stay strong, Master.
context: I never thought you were that messed up.\He's serious.\It actually worries me that that's the only thing you want.\What? You're actually ready for me to do naughty things to you?\Just joking.\Time to go to your job, Prez.\How does that idiot want this to end?!\You may lose something important. Stay strong, Master. response:	I've done it now!
context: He's serious.\It actually worries me that that's the only thing you want.\What? You're actually ready for me to do naughty things to you?\Just joking.\Time to go to your job, Prez.\How does that idiot want this to end?!\You may lose something important. Stay strong, Master.\I've done it now! response:	What is this important thing it's referring to?!
context: It actually worries me that that's the only thing you want.\What? You're actually ready for me to do naughty things to you?\Just joking.\Time to go to your job, Prez.\How does that idiot want this to end?!\You may lose something important. Stay strong, Master.\I've done it now!\What is this important thing it's referring to?! response:	Is it this? Or that? No, maybe that?!
context: What? You're actually ready for me to do naughty things to you?\Just joking.\Time to go to your job, Prez.\How does that idiot want this to end?!\You may lose something important. Stay strong, Master.\I've done it now!\What is this important thing it's referring to?!\Is it this? Or that? No, maybe that?! response:	He's annoying.
context: Just joking.\Time to go to your job, Prez.\How does that idiot want this to end?!\You may lose something important. Stay strong, Master.\I've done it now!\What is this important thing it's referring to?!\Is it this? Or that? No, maybe that?!\He's annoying. response:	I only made one card that gives horrible luck.
context: Time to go to your job, Prez.\How does that idiot want this to end?!\You may lose something important. Stay strong, Master.\I've done it now!\What is this important thing it's referring to?!\Is it this? Or that? No, maybe that?!\He's annoying.\I only made one card that gives horrible luck. response:	In a way, he's actually amazingly lucky.
context: How does that idiot want this to end?!\You may lose something important. Stay strong, Master.\I've done it now!\What is this important thing it's referring to?!\Is it this? Or that? No, maybe that?!\He's annoying.\I only made one card that gives horrible luck.\In a way, he's actually amazingly lucky. response:	Calm down, Shiroyan.
context: You may lose something important. Stay strong, Master.\I've done it now!\What is this important thing it's referring to?!\Is it this? Or that? No, maybe that?!\He's annoying.\I only made one card that gives horrible luck.\In a way, he's actually amazingly lucky.\Calm down, Shiroyan. response:	Don't worry, we got great luck.
context: I've done it now!\What is this important thing it's referring to?!\Is it this? Or that? No, maybe that?!\He's annoying.\I only made one card that gives horrible luck.\In a way, he's actually amazingly lucky.\Calm down, Shiroyan.\Don't worry, we got great luck. response:	What is this? Trying to show off?!
context: What is this important thing it's referring to?!\Is it this? Or that? No, maybe that?!\He's annoying.\I only made one card that gives horrible luck.\In a way, he's actually amazingly lucky.\Calm down, Shiroyan.\Don't worry, we got great luck.\What is this? Trying to show off?! response:	Please be quiet, Masters!
context: Is it this? Or that? No, maybe that?!\He's annoying.\I only made one card that gives horrible luck.\In a way, he's actually amazingly lucky.\Calm down, Shiroyan.\Don't worry, we got great luck.\What is this? Trying to show off?!\Please be quiet, Masters! response:	It's just a homemade fortune cookie.
context: He's annoying.\I only made one card that gives horrible luck.\In a way, he's actually amazingly lucky.\Calm down, Shiroyan.\Don't worry, we got great luck.\What is this? Trying to show off?!\Please be quiet, Masters!\It's just a homemade fortune cookie. response:	Then you take one, too, Misa-chan.
context: I only made one card that gives horrible luck.\In a way, he's actually amazingly lucky.\Calm down, Shiroyan.\Don't worry, we got great luck.\What is this? Trying to show off?!\Please be quiet, Masters!\It's just a homemade fortune cookie.\Then you take one, too, Misa-chan. response:	If you get the same result, it'll probably make him happy.
context: In a way, he's actually amazingly lucky.\Calm down, Shiroyan.\Don't worry, we got great luck.\What is this? Trying to show off?!\Please be quiet, Masters!\It's just a homemade fortune cookie.\Then you take one, too, Misa-chan.\If you get the same result, it'll probably make him happy. response:	Little luck.
context: Calm down, Shiroyan.\Don't worry, we got great luck.\What is this? Trying to show off?!\Please be quiet, Masters!\It's just a homemade fortune cookie.\Then you take one, too, Misa-chan.\If you get the same result, it'll probably make him happy.\Little luck. response:	How iffy.
context: Don't worry, we got great luck.\What is this? Trying to show off?!\Please be quiet, Masters!\It's just a homemade fortune cookie.\Then you take one, too, Misa-chan.\If you get the same result, it'll probably make him happy.\Little luck.\How iffy. response:	If you owe someone a favor, make sure you pay them back.
context: What is this? Trying to show off?!\Please be quiet, Masters!\It's just a homemade fortune cookie.\Then you take one, too, Misa-chan.\If you get the same result, it'll probably make him happy.\Little luck.\How iffy.\If you owe someone a favor, make sure you pay them back. response:	I'm sorry, Master. We're closing for the day.
context: Please be quiet, Masters!\It's just a homemade fortune cookie.\Then you take one, too, Misa-chan.\If you get the same result, it'll probably make him happy.\Little luck.\How iffy.\If you owe someone a favor, make sure you pay them back.\I'm sorry, Master. We're closing for the day. response:	Please don't be worried.
context: It's just a homemade fortune cookie.\Then you take one, too, Misa-chan.\If you get the same result, it'll probably make him happy.\Little luck.\How iffy.\If you owe someone a favor, make sure you pay them back.\I'm sorry, Master. We're closing for the day.\Please don't be worried. response:	We're not guests.
context: Then you take one, too, Misa-chan.\If you get the same result, it'll probably make him happy.\Little luck.\How iffy.\If you owe someone a favor, make sure you pay them back.\I'm sorry, Master. We're closing for the day.\Please don't be worried.\We're not guests. response:	You're Miyabigaoka's vice president.
context: If you get the same result, it'll probably make him happy.\Little luck.\How iffy.\If you owe someone a favor, make sure you pay them back.\I'm sorry, Master. We're closing for the day.\Please don't be worried.\We're not guests.\You're Miyabigaoka's vice president. response:	Excuse me. Who's the owner of this place?
context: Little luck.\How iffy.\If you owe someone a favor, make sure you pay them back.\I'm sorry, Master. We're closing for the day.\Please don't be worried.\We're not guests.\You're Miyabigaoka's vice president.\Excuse me. Who's the owner of this place? response:	Yes, I'm the manager here. How can I help?
context: How iffy.\If you owe someone a favor, make sure you pay them back.\I'm sorry, Master. We're closing for the day.\Please don't be worried.\We're not guests.\You're Miyabigaoka's vice president.\Excuse me. Who's the owner of this place?\Yes, I'm the manager here. How can I help? response:	I'm sorry about this sudden proposal.
context: If you owe someone a favor, make sure you pay them back.\I'm sorry, Master. We're closing for the day.\Please don't be worried.\We're not guests.\You're Miyabigaoka's vice president.\Excuse me. Who's the owner of this place?\Yes, I'm the manager here. How can I help?\I'm sorry about this sudden proposal. response:	We'd like to buy this shop.
context: I'm sorry, Master. We're closing for the day.\Please don't be worried.\We're not guests.\You're Miyabigaoka's vice president.\Excuse me. Who's the owner of this place?\Yes, I'm the manager here. How can I help?\I'm sorry about this sudden proposal.\We'd like to buy this shop. response:	Sorry for the late introduction.
context: Please don't be worried.\We're not guests.\You're Miyabigaoka's vice president.\Excuse me. Who's the owner of this place?\Yes, I'm the manager here. How can I help?\I'm sorry about this sudden proposal.\We'd like to buy this shop.\Sorry for the late introduction. response:	My name is Maki Kanade.
context: We're not guests.\You're Miyabigaoka's vice president.\Excuse me. Who's the owner of this place?\Yes, I'm the manager here. How can I help?\I'm sorry about this sudden proposal.\We'd like to buy this shop.\Sorry for the late introduction.\My name is Maki Kanade. response:	I'm a member of the Maki Dining Group.
context: You're Miyabigaoka's vice president.\Excuse me. Who's the owner of this place?\Yes, I'm the manager here. How can I help?\I'm sorry about this sudden proposal.\We'd like to buy this shop.\Sorry for the late introduction.\My name is Maki Kanade.\I'm a member of the Maki Dining Group. response:	The Maki Dining?
context: Excuse me. Who's the owner of this place?\Yes, I'm the manager here. How can I help?\I'm sorry about this sudden proposal.\We'd like to buy this shop.\Sorry for the late introduction.\My name is Maki Kanade.\I'm a member of the Maki Dining Group.\The Maki Dining? response:	Is it famous?
context: Yes, I'm the manager here. How can I help?\I'm sorry about this sudden proposal.\We'd like to buy this shop.\Sorry for the late introduction.\My name is Maki Kanade.\I'm a member of the Maki Dining Group.\The Maki Dining?\Is it famous? response:	You don't know them, Aoi-chan?
context: I'm sorry about this sudden proposal.\We'd like to buy this shop.\Sorry for the late introduction.\My name is Maki Kanade.\I'm a member of the Maki Dining Group.\The Maki Dining?\Is it famous?\You don't know them, Aoi-chan? response:	Maki Dining.
context: We'd like to buy this shop.\Sorry for the late introduction.\My name is Maki Kanade.\I'm a member of the Maki Dining Group.\The Maki Dining?\Is it famous?\You don't know them, Aoi-chan?\Maki Dining. response:	They're the biggest player in the food service industry,
context: Sorry for the late introduction.\My name is Maki Kanade.\I'm a member of the Maki Dining Group.\The Maki Dining?\Is it famous?\You don't know them, Aoi-chan?\Maki Dining.\They're the biggest player in the food service industry, response:	running everything from major family restaurants to high class restaurants.
context: My name is Maki Kanade.\I'm a member of the Maki Dining Group.\The Maki Dining?\Is it famous?\You don't know them, Aoi-chan?\Maki Dining.\They're the biggest player in the food service industry,\running everything from major family restaurants to high class restaurants. response:	It's an honor that you're so familiar with my father's company.
context: I'm a member of the Maki Dining Group.\The Maki Dining?\Is it famous?\You don't know them, Aoi-chan?\Maki Dining.\They're the biggest player in the food service industry,\running everything from major family restaurants to high class restaurants.\It's an honor that you're so familiar with my father's company. response:	He's the son of the CEO?
context: The Maki Dining?\Is it famous?\You don't know them, Aoi-chan?\Maki Dining.\They're the biggest player in the food service industry,\running everything from major family restaurants to high class restaurants.\It's an honor that you're so familiar with my father's company.\He's the son of the CEO? response:	You see, we plan on opening a new store.
context: Is it famous?\You don't know them, Aoi-chan?\Maki Dining.\They're the biggest player in the food service industry,\running everything from major family restaurants to high class restaurants.\It's an honor that you're so familiar with my father's company.\He's the son of the CEO?\You see, we plan on opening a new store. response:	When we thought of the target customers, we realized that this location would be the best.
context: You don't know them, Aoi-chan?\Maki Dining.\They're the biggest player in the food service industry,\running everything from major family restaurants to high class restaurants.\It's an honor that you're so familiar with my father's company.\He's the son of the CEO?\You see, we plan on opening a new store.\When we thought of the target customers, we realized that this location would be the best. response:	So I brought up the project proposal several times.
context: Maki Dining.\They're the biggest player in the food service industry,\running everything from major family restaurants to high class restaurants.\It's an honor that you're so familiar with my father's company.\He's the son of the CEO?\You see, we plan on opening a new store.\When we thought of the target customers, we realized that this location would be the best.\So I brought up the project proposal several times. response:	To whom?
context: They're the biggest player in the food service industry,\running everything from major family restaurants to high class restaurants.\It's an honor that you're so familiar with my father's company.\He's the son of the CEO?\You see, we plan on opening a new store.\When we thought of the target customers, we realized that this location would be the best.\So I brought up the project proposal several times.\To whom? response:	To the owner of this building.
context: running everything from major family restaurants to high class restaurants.\It's an honor that you're so familiar with my father's company.\He's the son of the CEO?\You see, we plan on opening a new store.\When we thought of the target customers, we realized that this location would be the best.\So I brought up the project proposal several times.\To whom?\To the owner of this building. response:	The owner of the building?
context: It's an honor that you're so familiar with my father's company.\He's the son of the CEO?\You see, we plan on opening a new store.\When we thought of the target customers, we realized that this location would be the best.\So I brought up the project proposal several times.\To whom?\To the owner of this building.\The owner of the building? response:	You plan on buying the entire building?
context: He's the son of the CEO?\You see, we plan on opening a new store.\When we thought of the target customers, we realized that this location would be the best.\So I brought up the project proposal several times.\To whom?\To the owner of this building.\The owner of the building?\You plan on buying the entire building? response:	Unfortunately, though, he wouldn't assent.
context: You see, we plan on opening a new store.\When we thought of the target customers, we realized that this location would be the best.\So I brought up the project proposal several times.\To whom?\To the owner of this building.\The owner of the building?\You plan on buying the entire building?\Unfortunately, though, he wouldn't assent. response:	I'm protecting this place until the day I die.
context: When we thought of the target customers, we realized that this location would be the best.\So I brought up the project proposal several times.\To whom?\To the owner of this building.\The owner of the building?\You plan on buying the entire building?\Unfortunately, though, he wouldn't assent.\I'm protecting this place until the day I die. response:	I can't trouble any of the tenants.
context: So I brought up the project proposal several times.\To whom?\To the owner of this building.\The owner of the building?\You plan on buying the entire building?\Unfortunately, though, he wouldn't assent.\I'm protecting this place until the day I die.\I can't trouble any of the tenants. response:	Go away!
context: To whom?\To the owner of this building.\The owner of the building?\You plan on buying the entire building?\Unfortunately, though, he wouldn't assent.\I'm protecting this place until the day I die.\I can't trouble any of the tenants.\Go away! response:	That's why I am visiting every tenant, explaining the situation.
context: To the owner of this building.\The owner of the building?\You plan on buying the entire building?\Unfortunately, though, he wouldn't assent.\I'm protecting this place until the day I die.\I can't trouble any of the tenants.\Go away!\That's why I am visiting every tenant, explaining the situation. response:	We're against it, too!
context: The owner of the building?\You plan on buying the entire building?\Unfortunately, though, he wouldn't assent.\I'm protecting this place until the day I die.\I can't trouble any of the tenants.\Go away!\That's why I am visiting every tenant, explaining the situation.\We're against it, too! response:	Basically you're trying to get rid of Maid Latte, right?!
context: You plan on buying the entire building?\Unfortunately, though, he wouldn't assent.\I'm protecting this place until the day I die.\I can't trouble any of the tenants.\Go away!\That's why I am visiting every tenant, explaining the situation.\We're against it, too!\Basically you're trying to get rid of Maid Latte, right?! response:	Go open your store somewhere else!
context: Unfortunately, though, he wouldn't assent.\I'm protecting this place until the day I die.\I can't trouble any of the tenants.\Go away!\That's why I am visiting every tenant, explaining the situation.\We're against it, too!\Basically you're trying to get rid of Maid Latte, right?!\Go open your store somewhere else! response:	And this shop that we're going to start is-
context: I'm protecting this place until the day I die.\I can't trouble any of the tenants.\Go away!\That's why I am visiting every tenant, explaining the situation.\We're against it, too!\Basically you're trying to get rid of Maid Latte, right?!\Go open your store somewhere else!\And this shop that we're going to start is- response:	Listen to us!
context: I can't trouble any of the tenants.\Go away!\That's why I am visiting every tenant, explaining the situation.\We're against it, too!\Basically you're trying to get rid of Maid Latte, right?!\Go open your store somewhere else!\And this shop that we're going to start is-\Listen to us! response:	I don't think a detailed explanation is necessary to those who work here.
context: Go away!\That's why I am visiting every tenant, explaining the situation.\We're against it, too!\Basically you're trying to get rid of Maid Latte, right?!\Go open your store somewhere else!\And this shop that we're going to start is-\Listen to us!\I don't think a detailed explanation is necessary to those who work here. response:	Simply put,
context: That's why I am visiting every tenant, explaining the situation.\We're against it, too!\Basically you're trying to get rid of Maid Latte, right?!\Go open your store somewhere else!\And this shop that we're going to start is-\Listen to us!\I don't think a detailed explanation is necessary to those who work here.\Simply put, response:	it's a butler cafe.
context: We're against it, too!\Basically you're trying to get rid of Maid Latte, right?!\Go open your store somewhere else!\And this shop that we're going to start is-\Listen to us!\I don't think a detailed explanation is necessary to those who work here.\Simply put,\it's a butler cafe. response:	Negative!
context: Basically you're trying to get rid of Maid Latte, right?!\Go open your store somewhere else!\And this shop that we're going to start is-\Listen to us!\I don't think a detailed explanation is necessary to those who work here.\Simply put,\it's a butler cafe.\Negative! response:	Not exciting at all!
context: Go open your store somewhere else!\And this shop that we're going to start is-\Listen to us!\I don't think a detailed explanation is necessary to those who work here.\Simply put,\it's a butler cafe.\Negative!\Not exciting at all! response:	All hail maids!
context: And this shop that we're going to start is-\Listen to us!\I don't think a detailed explanation is necessary to those who work here.\Simply put,\it's a butler cafe.\Negative!\Not exciting at all!\All hail maids! response:	That is why we'd like to open our shop here.
context: Listen to us!\I don't think a detailed explanation is necessary to those who work here.\Simply put,\it's a butler cafe.\Negative!\Not exciting at all!\All hail maids!\That is why we'd like to open our shop here. response:	Please, listen to us!
context: I don't think a detailed explanation is necessary to those who work here.\Simply put,\it's a butler cafe.\Negative!\Not exciting at all!\All hail maids!\That is why we'd like to open our shop here.\Please, listen to us! response:	If it's just a cafe, why are you going for the entire building?
context: Simply put,\it's a butler cafe.\Negative!\Not exciting at all!\All hail maids!\That is why we'd like to open our shop here.\Please, listen to us!\If it's just a cafe, why are you going for the entire building? response:	Well, we plan on demolishing the building and building a western style mansion.
context: it's a butler cafe.\Negative!\Not exciting at all!\All hail maids!\That is why we'd like to open our shop here.\Please, listen to us!\If it's just a cafe, why are you going for the entire building?\Well, we plan on demolishing the building and building a western style mansion. response:	Rather than a cafe, it's closer to being a restaurant.
context: Negative!\Not exciting at all!\All hail maids!\That is why we'd like to open our shop here.\Please, listen to us!\If it's just a cafe, why are you going for the entire building?\Well, we plan on demolishing the building and building a western style mansion.\Rather than a cafe, it's closer to being a restaurant. response:	We plan on serving a full course dinner, too.
context: Not exciting at all!\All hail maids!\That is why we'd like to open our shop here.\Please, listen to us!\If it's just a cafe, why are you going for the entire building?\Well, we plan on demolishing the building and building a western style mansion.\Rather than a cafe, it's closer to being a restaurant.\We plan on serving a full course dinner, too. response:	A slightly fancy butler cafe, I guess.
context: All hail maids!\That is why we'd like to open our shop here.\Please, listen to us!\If it's just a cafe, why are you going for the entire building?\Well, we plan on demolishing the building and building a western style mansion.\Rather than a cafe, it's closer to being a restaurant.\We plan on serving a full course dinner, too.\A slightly fancy butler cafe, I guess. response:	Listen! Butlers and waiters aren't the same!
context: That is why we'd like to open our shop here.\Please, listen to us!\If it's just a cafe, why are you going for the entire building?\Well, we plan on demolishing the building and building a western style mansion.\Rather than a cafe, it's closer to being a restaurant.\We plan on serving a full course dinner, too.\A slightly fancy butler cafe, I guess.\Listen! Butlers and waiters aren't the same! response:	Can you tell the difference?
context: Please, listen to us!\If it's just a cafe, why are you going for the entire building?\Well, we plan on demolishing the building and building a western style mansion.\Rather than a cafe, it's closer to being a restaurant.\We plan on serving a full course dinner, too.\A slightly fancy butler cafe, I guess.\Listen! Butlers and waiters aren't the same!\Can you tell the difference? response:	He can.
context: If it's just a cafe, why are you going for the entire building?\Well, we plan on demolishing the building and building a western style mansion.\Rather than a cafe, it's closer to being a restaurant.\We plan on serving a full course dinner, too.\A slightly fancy butler cafe, I guess.\Listen! Butlers and waiters aren't the same!\Can you tell the difference?\He can. response:	He is Miyabigaoka's proud vice president.
context: Well, we plan on demolishing the building and building a western style mansion.\Rather than a cafe, it's closer to being a restaurant.\We plan on serving a full course dinner, too.\A slightly fancy butler cafe, I guess.\Listen! Butlers and waiters aren't the same!\Can you tell the difference?\He can.\He is Miyabigaoka's proud vice president. response:	Miyabigaoka's Student Council President, Igarashi Tora.
context: Rather than a cafe, it's closer to being a restaurant.\We plan on serving a full course dinner, too.\A slightly fancy butler cafe, I guess.\Listen! Butlers and waiters aren't the same!\Can you tell the difference?\He can.\He is Miyabigaoka's proud vice president.\Miyabigaoka's Student Council President, Igarashi Tora. response:	What is he planning?
context: We plan on serving a full course dinner, too.\A slightly fancy butler cafe, I guess.\Listen! Butlers and waiters aren't the same!\Can you tell the difference?\He can.\He is Miyabigaoka's proud vice president.\Miyabigaoka's Student Council President, Igarashi Tora.\What is he planning? response:	As the vice president, he makes an excellent assistant.
context: A slightly fancy butler cafe, I guess.\Listen! Butlers and waiters aren't the same!\Can you tell the difference?\He can.\He is Miyabigaoka's proud vice president.\Miyabigaoka's Student Council President, Igarashi Tora.\What is he planning?\As the vice president, he makes an excellent assistant. response:	You might say that he knows the joy of working for a master.
context: Listen! Butlers and waiters aren't the same!\Can you tell the difference?\He can.\He is Miyabigaoka's proud vice president.\Miyabigaoka's Student Council President, Igarashi Tora.\What is he planning?\As the vice president, he makes an excellent assistant.\You might say that he knows the joy of working for a master. response:	I believe that he can make a great shop, so I'm supporting him as the president and as his friend.
context: Can you tell the difference?\He can.\He is Miyabigaoka's proud vice president.\Miyabigaoka's Student Council President, Igarashi Tora.\What is he planning?\As the vice president, he makes an excellent assistant.\You might say that he knows the joy of working for a master.\I believe that he can make a great shop, so I'm supporting him as the president and as his friend. response:	I know. If you're worried about his capability as a butler, how about you come to the footman audition held next weekend?
context: He can.\He is Miyabigaoka's proud vice president.\Miyabigaoka's Student Council President, Igarashi Tora.\What is he planning?\As the vice president, he makes an excellent assistant.\You might say that he knows the joy of working for a master.\I believe that he can make a great shop, so I'm supporting him as the president and as his friend.\I know. If you're worried about his capability as a butler, how about you come to the footman audition held next weekend? response:	Footman?
