context: Yes! response:	Matsuoka Rin
context: Go!\Oh, there you are!\Sorry about being late.\Coach Sasabe...\Where were you?!\You're late, Goro-chan!\Thank you for your help the other day.\And I appreciate you taking time from work to come support us. response:	Oh, it's no big deal.
context: Oh, there you are!\Sorry about being late.\Coach Sasabe...\Where were you?!\You're late, Goro-chan!\Thank you for your help the other day.\And I appreciate you taking time from work to come support us.\Oh, it's no big deal. response:	I really think we've met before.
context: Sorry about being late.\Coach Sasabe...\Where were you?!\You're late, Goro-chan!\Thank you for your help the other day.\And I appreciate you taking time from work to come support us.\Oh, it's no big deal.\I really think we've met before. response:	No, I don't think...
context: Coach Sasabe...\Where were you?!\You're late, Goro-chan!\Thank you for your help the other day.\And I appreciate you taking time from work to come support us.\Oh, it's no big deal.\I really think we've met before.\No, I don't think... response:	Jeez, did you come here to hit on girls?
context: Where were you?!\You're late, Goro-chan!\Thank you for your help the other day.\And I appreciate you taking time from work to come support us.\Oh, it's no big deal.\I really think we've met before.\No, I don't think...\Jeez, did you come here to hit on girls? response:	I wasn't hitting on her!
context: You're late, Goro-chan!\Thank you for your help the other day.\And I appreciate you taking time from work to come support us.\Oh, it's no big deal.\I really think we've met before.\No, I don't think...\Jeez, did you come here to hit on girls?\I wasn't hitting on her! response:	Haruka-senpai already swam his freestyle heat.
context: Thank you for your help the other day.\And I appreciate you taking time from work to come support us.\Oh, it's no big deal.\I really think we've met before.\No, I don't think...\Jeez, did you come here to hit on girls?\I wasn't hitting on her!\Haruka-senpai already swam his freestyle heat. response:	Darn, I missed the prelims.
context: And I appreciate you taking time from work to come support us.\Oh, it's no big deal.\I really think we've met before.\No, I don't think...\Jeez, did you come here to hit on girls?\I wasn't hitting on her!\Haruka-senpai already swam his freestyle heat.\Darn, I missed the prelims. response:	But I can still watch the final.
context: Oh, it's no big deal.\I really think we've met before.\No, I don't think...\Jeez, did you come here to hit on girls?\I wasn't hitting on her!\Haruka-senpai already swam his freestyle heat.\Darn, I missed the prelims.\But I can still watch the final. response:	He won't be in the final.
context: I really think we've met before.\No, I don't think...\Jeez, did you come here to hit on girls?\I wasn't hitting on her!\Haruka-senpai already swam his freestyle heat.\Darn, I missed the prelims.\But I can still watch the final.\He won't be in the final. response:	Huh?
context: No, I don't think...\Jeez, did you come here to hit on girls?\I wasn't hitting on her!\Haruka-senpai already swam his freestyle heat.\Darn, I missed the prelims.\But I can still watch the final.\He won't be in the final.\Huh? response:	Haru... didn't pass the prelims.
context: Jeez, did you come here to hit on girls?\I wasn't hitting on her!\Haruka-senpai already swam his freestyle heat.\Darn, I missed the prelims.\But I can still watch the final.\He won't be in the final.\Huh?\Haru... didn't pass the prelims. response:	He lost?!
context: I wasn't hitting on her!\Haruka-senpai already swam his freestyle heat.\Darn, I missed the prelims.\But I can still watch the final.\He won't be in the final.\Huh?\Haru... didn't pass the prelims.\He lost?! response:	I thought I didn't care about winning.
context: Haruka-senpai already swam his freestyle heat.\Darn, I missed the prelims.\But I can still watch the final.\He won't be in the final.\Huh?\Haru... didn't pass the prelims.\He lost?!\I thought I didn't care about winning. response:	Wasn't I...
context: Darn, I missed the prelims.\But I can still watch the final.\He won't be in the final.\Huh?\Haru... didn't pass the prelims.\He lost?!\I thought I didn't care about winning.\Wasn't I... response:	Wasn't I supposed to become free after racing him?
context: But I can still watch the final.\He won't be in the final.\Huh?\Haru... didn't pass the prelims.\He lost?!\I thought I didn't care about winning.\Wasn't I...\Wasn't I supposed to become free after racing him? response:	Matsuoka-senpai!
context: He won't be in the final.\Huh?\Haru... didn't pass the prelims.\He lost?!\I thought I didn't care about winning.\Wasn't I...\Wasn't I supposed to become free after racing him?\Matsuoka-senpai! response:	You did it!
context: Huh?\Haru... didn't pass the prelims.\He lost?!\I thought I didn't care about winning.\Wasn't I...\Wasn't I supposed to become free after racing him?\Matsuoka-senpai!\You did it! response:	You qualified for the final!
context: Haru... didn't pass the prelims.\He lost?!\I thought I didn't care about winning.\Wasn't I...\Wasn't I supposed to become free after racing him?\Matsuoka-senpai!\You did it!\You qualified for the final! response:	And you beat Nanase-san!
context: He lost?!\I thought I didn't care about winning.\Wasn't I...\Wasn't I supposed to become free after racing him?\Matsuoka-senpai!\You did it!\You qualified for the final!\And you beat Nanase-san! response:	Yeah, well.
context: I thought I didn't care about winning.\Wasn't I...\Wasn't I supposed to become free after racing him?\Matsuoka-senpai!\You did it!\You qualified for the final!\And you beat Nanase-san!\Yeah, well. response:	You go kick some butt, too.
context: Wasn't I...\Wasn't I supposed to become free after racing him?\Matsuoka-senpai!\You did it!\You qualified for the final!\And you beat Nanase-san!\Yeah, well.\You go kick some butt, too. response:	Yes!
context: Wasn't I supposed to become free after racing him?\Matsuoka-senpai!\You did it!\You qualified for the final!\And you beat Nanase-san!\Yeah, well.\You go kick some butt, too.\Yes! response:	Samezuka Academy
context: Matsuoka-senpai!\You did it!\You qualified for the final!\And you beat Nanase-san!\Yeah, well.\You go kick some butt, too.\Yes!\Samezuka Academy response:	Mikoshiba-kun in lane 4 has just
context: You did it!\You qualified for the final!\And you beat Nanase-san!\Yeah, well.\You go kick some butt, too.\Yes!\Samezuka Academy\Mikoshiba-kun in lane 4 has just response:	set a new tournament record.
context: You qualified for the final!\And you beat Nanase-san!\Yeah, well.\You go kick some butt, too.\Yes!\Samezuka Academy\Mikoshiba-kun in lane 4 has just\set a new tournament record. response:	Way to go, Mikoshiba!
context: And you beat Nanase-san!\Yeah, well.\You go kick some butt, too.\Yes!\Samezuka Academy\Mikoshiba-kun in lane 4 has just\set a new tournament record.\Way to go, Mikoshiba! response:	Wow, that's impressive.
context: Yeah, well.\You go kick some butt, too.\Yes!\Samezuka Academy\Mikoshiba-kun in lane 4 has just\set a new tournament record.\Way to go, Mikoshiba!\Wow, that's impressive. response:	Isn't Mikoshiba...?
context: You go kick some butt, too.\Yes!\Samezuka Academy\Mikoshiba-kun in lane 4 has just\set a new tournament record.\Way to go, Mikoshiba!\Wow, that's impressive.\Isn't Mikoshiba...? response:	Oh! Samezuka's captain!
context: Yes!\Samezuka Academy\Mikoshiba-kun in lane 4 has just\set a new tournament record.\Way to go, Mikoshiba!\Wow, that's impressive.\Isn't Mikoshiba...?\Oh! Samezuka's captain! response:	I thought he was just an enthusiastic person,
context: Samezuka Academy\Mikoshiba-kun in lane 4 has just\set a new tournament record.\Way to go, Mikoshiba!\Wow, that's impressive.\Isn't Mikoshiba...?\Oh! Samezuka's captain!\I thought he was just an enthusiastic person, response:	but he's actually a good swimmer.
context: Mikoshiba-kun in lane 4 has just\set a new tournament record.\Way to go, Mikoshiba!\Wow, that's impressive.\Isn't Mikoshiba...?\Oh! Samezuka's captain!\I thought he was just an enthusiastic person,\but he's actually a good swimmer. response:	Right, Gou-chan?
context: set a new tournament record.\Way to go, Mikoshiba!\Wow, that's impressive.\Isn't Mikoshiba...?\Oh! Samezuka's captain!\I thought he was just an enthusiastic person,\but he's actually a good swimmer.\Right, Gou-chan? response:	Y-Yeah...
context: Way to go, Mikoshiba!\Wow, that's impressive.\Isn't Mikoshiba...?\Oh! Samezuka's captain!\I thought he was just an enthusiastic person,\but he's actually a good swimmer.\Right, Gou-chan?\Y-Yeah... response:	What's wrong?
context: Wow, that's impressive.\Isn't Mikoshiba...?\Oh! Samezuka's captain!\I thought he was just an enthusiastic person,\but he's actually a good swimmer.\Right, Gou-chan?\Y-Yeah...\What's wrong? response:	Haruka-senpai isn't back yet.
context: Isn't Mikoshiba...?\Oh! Samezuka's captain!\I thought he was just an enthusiastic person,\but he's actually a good swimmer.\Right, Gou-chan?\Y-Yeah...\What's wrong?\Haruka-senpai isn't back yet. response:	Oh, you're right.
context: Oh! Samezuka's captain!\I thought he was just an enthusiastic person,\but he's actually a good swimmer.\Right, Gou-chan?\Y-Yeah...\What's wrong?\Haruka-senpai isn't back yet.\Oh, you're right. response:	He's probably taking a shower.
context: I thought he was just an enthusiastic person,\but he's actually a good swimmer.\Right, Gou-chan?\Y-Yeah...\What's wrong?\Haruka-senpai isn't back yet.\Oh, you're right.\He's probably taking a shower. response:	He's taking a long time though.
context: but he's actually a good swimmer.\Right, Gou-chan?\Y-Yeah...\What's wrong?\Haruka-senpai isn't back yet.\Oh, you're right.\He's probably taking a shower.\He's taking a long time though. response:	I'll go check on him.
context: Right, Gou-chan?\Y-Yeah...\What's wrong?\Haruka-senpai isn't back yet.\Oh, you're right.\He's probably taking a shower.\He's taking a long time though.\I'll go check on him. response:	Rei! Wait up!
context: Y-Yeah...\What's wrong?\Haruka-senpai isn't back yet.\Oh, you're right.\He's probably taking a shower.\He's taking a long time though.\I'll go check on him.\Rei! Wait up! response:	Hold on, Mako-chan! Rei-chan!
context: What's wrong?\Haruka-senpai isn't back yet.\Oh, you're right.\He's probably taking a shower.\He's taking a long time though.\I'll go check on him.\Rei! Wait up!\Hold on, Mako-chan! Rei-chan! response:	Wait up, Rei!
context: Haruka-senpai isn't back yet.\Oh, you're right.\He's probably taking a shower.\He's taking a long time though.\I'll go check on him.\Rei! Wait up!\Hold on, Mako-chan! Rei-chan!\Wait up, Rei! response:	Don't dwell on it.
context: Oh, you're right.\He's probably taking a shower.\He's taking a long time though.\I'll go check on him.\Rei! Wait up!\Hold on, Mako-chan! Rei-chan!\Wait up, Rei!\Don't dwell on it. response:	That's how sports are.
context: He's probably taking a shower.\He's taking a long time though.\I'll go check on him.\Rei! Wait up!\Hold on, Mako-chan! Rei-chan!\Wait up, Rei!\Don't dwell on it.\That's how sports are. response:	That's not it.
context: He's taking a long time though.\I'll go check on him.\Rei! Wait up!\Hold on, Mako-chan! Rei-chan!\Wait up, Rei!\Don't dwell on it.\That's how sports are.\That's not it. response:	Huh?
context: I'll go check on him.\Rei! Wait up!\Hold on, Mako-chan! Rei-chan!\Wait up, Rei!\Don't dwell on it.\That's how sports are.\That's not it.\Huh? response:	I wanted to watch my brother and Haruka-senpai swim together.
context: Rei! Wait up!\Hold on, Mako-chan! Rei-chan!\Wait up, Rei!\Don't dwell on it.\That's how sports are.\That's not it.\Huh?\I wanted to watch my brother and Haruka-senpai swim together. response:	But that wasn't what I was expecting.
context: Hold on, Mako-chan! Rei-chan!\Wait up, Rei!\Don't dwell on it.\That's how sports are.\That's not it.\Huh?\I wanted to watch my brother and Haruka-senpai swim together.\But that wasn't what I was expecting. response:	Wait, Rei!
context: Wait up, Rei!\Don't dwell on it.\That's how sports are.\That's not it.\Huh?\I wanted to watch my brother and Haruka-senpai swim together.\But that wasn't what I was expecting.\Wait, Rei! response:	Why are you stopping me?
context: Don't dwell on it.\That's how sports are.\That's not it.\Huh?\I wanted to watch my brother and Haruka-senpai swim together.\But that wasn't what I was expecting.\Wait, Rei!\Why are you stopping me? response:	Well, it's because...
context: That's how sports are.\That's not it.\Huh?\I wanted to watch my brother and Haruka-senpai swim together.\But that wasn't what I was expecting.\Wait, Rei!\Why are you stopping me?\Well, it's because... response:	Calm down, Rei-chan.
context: That's not it.\Huh?\I wanted to watch my brother and Haruka-senpai swim together.\But that wasn't what I was expecting.\Wait, Rei!\Why are you stopping me?\Well, it's because...\Calm down, Rei-chan. response:	Aren't you worried about Haruka-senpai?
context: Huh?\I wanted to watch my brother and Haruka-senpai swim together.\But that wasn't what I was expecting.\Wait, Rei!\Why are you stopping me?\Well, it's because...\Calm down, Rei-chan.\Aren't you worried about Haruka-senpai? response:	Rin-chan!
context: I wanted to watch my brother and Haruka-senpai swim together.\But that wasn't what I was expecting.\Wait, Rei!\Why are you stopping me?\Well, it's because...\Calm down, Rei-chan.\Aren't you worried about Haruka-senpai?\Rin-chan! response:	You guys.
context: But that wasn't what I was expecting.\Wait, Rei!\Why are you stopping me?\Well, it's because...\Calm down, Rei-chan.\Aren't you worried about Haruka-senpai?\Rin-chan!\You guys. response:	Right, you're all swimming in the tournament.
context: Wait, Rei!\Why are you stopping me?\Well, it's because...\Calm down, Rei-chan.\Aren't you worried about Haruka-senpai?\Rin-chan!\You guys.\Right, you're all swimming in the tournament. response:	Hey, Rin-chan.
context: Why are you stopping me?\Well, it's because...\Calm down, Rei-chan.\Aren't you worried about Haruka-senpai?\Rin-chan!\You guys.\Right, you're all swimming in the tournament.\Hey, Rin-chan. response:	Have you seen Haru-chan?
context: Well, it's because...\Calm down, Rei-chan.\Aren't you worried about Haruka-senpai?\Rin-chan!\You guys.\Right, you're all swimming in the tournament.\Hey, Rin-chan.\Have you seen Haru-chan? response:	Haru?
context: Calm down, Rei-chan.\Aren't you worried about Haruka-senpai?\Rin-chan!\You guys.\Right, you're all swimming in the tournament.\Hey, Rin-chan.\Have you seen Haru-chan?\Haru? response:	He hasn't come back yet.
context: Aren't you worried about Haruka-senpai?\Rin-chan!\You guys.\Right, you're all swimming in the tournament.\Hey, Rin-chan.\Have you seen Haru-chan?\Haru?\He hasn't come back yet. response:	Was losing to me that big of a shock?
context: Rin-chan!\You guys.\Right, you're all swimming in the tournament.\Hey, Rin-chan.\Have you seen Haru-chan?\Haru?\He hasn't come back yet.\Was losing to me that big of a shock? response:	He's the one who said that
context: You guys.\Right, you're all swimming in the tournament.\Hey, Rin-chan.\Have you seen Haru-chan?\Haru?\He hasn't come back yet.\Was losing to me that big of a shock?\He's the one who said that response:	he didn't care about winning or improving his time.
context: Right, you're all swimming in the tournament.\Hey, Rin-chan.\Have you seen Haru-chan?\Haru?\He hasn't come back yet.\Was losing to me that big of a shock?\He's the one who said that\he didn't care about winning or improving his time. response:	He's not upset about losing.
context: Hey, Rin-chan.\Have you seen Haru-chan?\Haru?\He hasn't come back yet.\Was losing to me that big of a shock?\He's the one who said that\he didn't care about winning or improving his time.\He's not upset about losing. response:	There must be some other reason.
context: Have you seen Haru-chan?\Haru?\He hasn't come back yet.\Was losing to me that big of a shock?\He's the one who said that\he didn't care about winning or improving his time.\He's not upset about losing.\There must be some other reason. response:	What?
context: Haru?\He hasn't come back yet.\Was losing to me that big of a shock?\He's the one who said that\he didn't care about winning or improving his time.\He's not upset about losing.\There must be some other reason.\What? response:	What else matters in swimming other than winning?!
context: He hasn't come back yet.\Was losing to me that big of a shock?\He's the one who said that\he didn't care about winning or improving his time.\He's not upset about losing.\There must be some other reason.\What?\What else matters in swimming other than winning?! response:	There is more.
context: Was losing to me that big of a shock?\He's the one who said that\he didn't care about winning or improving his time.\He's not upset about losing.\There must be some other reason.\What?\What else matters in swimming other than winning?!\There is more. response:	At least, Haru thought there was something more.
context: He's the one who said that\he didn't care about winning or improving his time.\He's not upset about losing.\There must be some other reason.\What?\What else matters in swimming other than winning?!\There is more.\At least, Haru thought there was something more. response:	That's why he wanted to race you.
context: he didn't care about winning or improving his time.\He's not upset about losing.\There must be some other reason.\What?\What else matters in swimming other than winning?!\There is more.\At least, Haru thought there was something more.\That's why he wanted to race you. response:	And I'm pretty sure you're the one who taught him
context: He's not upset about losing.\There must be some other reason.\What?\What else matters in swimming other than winning?!\There is more.\At least, Haru thought there was something more.\That's why he wanted to race you.\And I'm pretty sure you're the one who taught him response:	what that something was.
context: There must be some other reason.\What?\What else matters in swimming other than winning?!\There is more.\At least, Haru thought there was something more.\That's why he wanted to race you.\And I'm pretty sure you're the one who taught him\what that something was. response:	When we swam in that relay in grade school, you
context: What?\What else matters in swimming other than winning?!\There is more.\At least, Haru thought there was something more.\That's why he wanted to race you.\And I'm pretty sure you're the one who taught him\what that something was.\When we swam in that relay in grade school, you response:	What do I care?!
context: What else matters in swimming other than winning?!\There is more.\At least, Haru thought there was something more.\That's why he wanted to race you.\And I'm pretty sure you're the one who taught him\what that something was.\When we swam in that relay in grade school, you\What do I care?! response:	I beat Haru!
context: There is more.\At least, Haru thought there was something more.\That's why he wanted to race you.\And I'm pretty sure you're the one who taught him\what that something was.\When we swam in that relay in grade school, you\What do I care?!\I beat Haru! response:	That's all that matters.
context: At least, Haru thought there was something more.\That's why he wanted to race you.\And I'm pretty sure you're the one who taught him\what that something was.\When we swam in that relay in grade school, you\What do I care?!\I beat Haru!\That's all that matters. response:	A relay?
context: That's why he wanted to race you.\And I'm pretty sure you're the one who taught him\what that something was.\When we swam in that relay in grade school, you\What do I care?!\I beat Haru!\That's all that matters.\A relay? response:	Did you guys swim in a relay with him in the past?
context: And I'm pretty sure you're the one who taught him\what that something was.\When we swam in that relay in grade school, you\What do I care?!\I beat Haru!\That's all that matters.\A relay?\Did you guys swim in a relay with him in the past? response:	We didn't mention that?
context: what that something was.\When we swam in that relay in grade school, you\What do I care?!\I beat Haru!\That's all that matters.\A relay?\Did you guys swim in a relay with him in the past?\We didn't mention that? response:	You only told me that things happened in the past.
context: When we swam in that relay in grade school, you\What do I care?!\I beat Haru!\That's all that matters.\A relay?\Did you guys swim in a relay with him in the past?\We didn't mention that?\You only told me that things happened in the past. response:	If you were that close, why are you
context: What do I care?!\I beat Haru!\That's all that matters.\A relay?\Did you guys swim in a relay with him in the past?\We didn't mention that?\You only told me that things happened in the past.\If you were that close, why are you response:	Now, now. Calm down, Rei-chan.
context: I beat Haru!\That's all that matters.\A relay?\Did you guys swim in a relay with him in the past?\We didn't mention that?\You only told me that things happened in the past.\If you were that close, why are you\Now, now. Calm down, Rei-chan. response:	We need to look for Haru-chan right now.
context: That's all that matters.\A relay?\Did you guys swim in a relay with him in the past?\We didn't mention that?\You only told me that things happened in the past.\If you were that close, why are you\Now, now. Calm down, Rei-chan.\We need to look for Haru-chan right now. response:	No, we should let him be.
context: A relay?\Did you guys swim in a relay with him in the past?\We didn't mention that?\You only told me that things happened in the past.\If you were that close, why are you\Now, now. Calm down, Rei-chan.\We need to look for Haru-chan right now.\No, we should let him be. response:	Knowing Haru,
context: Did you guys swim in a relay with him in the past?\We didn't mention that?\You only told me that things happened in the past.\If you were that close, why are you\Now, now. Calm down, Rei-chan.\We need to look for Haru-chan right now.\No, we should let him be.\Knowing Haru, response:	he probably doesn't want to talk to anyone right now.
context: We didn't mention that?\You only told me that things happened in the past.\If you were that close, why are you\Now, now. Calm down, Rei-chan.\We need to look for Haru-chan right now.\No, we should let him be.\Knowing Haru,\he probably doesn't want to talk to anyone right now. response:	And we have our own races coming up.
context: You only told me that things happened in the past.\If you were that close, why are you\Now, now. Calm down, Rei-chan.\We need to look for Haru-chan right now.\No, we should let him be.\Knowing Haru,\he probably doesn't want to talk to anyone right now.\And we have our own races coming up. response:	Let's focus on what we can do right now.
context: If you were that close, why are you\Now, now. Calm down, Rei-chan.\We need to look for Haru-chan right now.\No, we should let him be.\Knowing Haru,\he probably doesn't want to talk to anyone right now.\And we have our own races coming up.\Let's focus on what we can do right now. response:	Yes.
context: Now, now. Calm down, Rei-chan.\We need to look for Haru-chan right now.\No, we should let him be.\Knowing Haru,\he probably doesn't want to talk to anyone right now.\And we have our own races coming up.\Let's focus on what we can do right now.\Yes. response:	Where's Haruka?
context: We need to look for Haru-chan right now.\No, we should let him be.\Knowing Haru,\he probably doesn't want to talk to anyone right now.\And we have our own races coming up.\Let's focus on what we can do right now.\Yes.\Where's Haruka? response:	Oh, we couldn't find him.
context: No, we should let him be.\Knowing Haru,\he probably doesn't want to talk to anyone right now.\And we have our own races coming up.\Let's focus on what we can do right now.\Yes.\Where's Haruka?\Oh, we couldn't find him. response:	Man, what's he doing?
context: Knowing Haru,\he probably doesn't want to talk to anyone right now.\And we have our own races coming up.\Let's focus on what we can do right now.\Yes.\Where's Haruka?\Oh, we couldn't find him.\Man, what's he doing? response:	Makoto's about to swim.
context: he probably doesn't want to talk to anyone right now.\And we have our own races coming up.\Let's focus on what we can do right now.\Yes.\Where's Haruka?\Oh, we couldn't find him.\Man, what's he doing?\Makoto's about to swim. response:	I'm gonna go get him!
context: And we have our own races coming up.\Let's focus on what we can do right now.\Yes.\Where's Haruka?\Oh, we couldn't find him.\Man, what's he doing?\Makoto's about to swim.\I'm gonna go get him! response:	I want Haru-chan to watch us swim!
context: Let's focus on what we can do right now.\Yes.\Where's Haruka?\Oh, we couldn't find him.\Man, what's he doing?\Makoto's about to swim.\I'm gonna go get him!\I want Haru-chan to watch us swim! response:	Nagisa-kun?!
context: Yes.\Where's Haruka?\Oh, we couldn't find him.\Man, what's he doing?\Makoto's about to swim.\I'm gonna go get him!\I want Haru-chan to watch us swim!\Nagisa-kun?! response:	Back then...
context: Where's Haruka?\Oh, we couldn't find him.\Man, what's he doing?\Makoto's about to swim.\I'm gonna go get him!\I want Haru-chan to watch us swim!\Nagisa-kun?!\Back then... response:	If Rin had won,
context: Oh, we couldn't find him.\Man, what's he doing?\Makoto's about to swim.\I'm gonna go get him!\I want Haru-chan to watch us swim!\Nagisa-kun?!\Back then...\If Rin had won, response:	would I feel differently now?
context: Man, what's he doing?\Makoto's about to swim.\I'm gonna go get him!\I want Haru-chan to watch us swim!\Nagisa-kun?!\Back then...\If Rin had won,\would I feel differently now? response:	Rin is swimming to compete in the Olympics.
context: Makoto's about to swim.\I'm gonna go get him!\I want Haru-chan to watch us swim!\Nagisa-kun?!\Back then...\If Rin had won,\would I feel differently now?\Rin is swimming to compete in the Olympics. response:	What about me?
context: I'm gonna go get him!\I want Haru-chan to watch us swim!\Nagisa-kun?!\Back then...\If Rin had won,\would I feel differently now?\Rin is swimming to compete in the Olympics.\What about me? response:	Why do I swim?
context: I want Haru-chan to watch us swim!\Nagisa-kun?!\Back then...\If Rin had won,\would I feel differently now?\Rin is swimming to compete in the Olympics.\What about me?\Why do I swim? response:	Hey! Haru-chan!
context: Nagisa-kun?!\Back then...\If Rin had won,\would I feel differently now?\Rin is swimming to compete in the Olympics.\What about me?\Why do I swim?\Hey! Haru-chan! response:	There you are!
context: Back then...\If Rin had won,\would I feel differently now?\Rin is swimming to compete in the Olympics.\What about me?\Why do I swim?\Hey! Haru-chan!\There you are! response:	Mako-chan's race is about to start!
context: If Rin had won,\would I feel differently now?\Rin is swimming to compete in the Olympics.\What about me?\Why do I swim?\Hey! Haru-chan!\There you are!\Mako-chan's race is about to start! response:	Hurry up!
context: would I feel differently now?\Rin is swimming to compete in the Olympics.\What about me?\Why do I swim?\Hey! Haru-chan!\There you are!\Mako-chan's race is about to start!\Hurry up! response:	I'll pass.
context: Rin is swimming to compete in the Olympics.\What about me?\Why do I swim?\Hey! Haru-chan!\There you are!\Mako-chan's race is about to start!\Hurry up!\I'll pass. response:	I don't think so!
context: What about me?\Why do I swim?\Hey! Haru-chan!\There you are!\Mako-chan's race is about to start!\Hurry up!\I'll pass.\I don't think so! response:	Let's go!
context: Why do I swim?\Hey! Haru-chan!\There you are!\Mako-chan's race is about to start!\Hurry up!\I'll pass.\I don't think so!\Let's go! response:	Go, go, go, go, go, Makoto!
context: Hey! Haru-chan!\There you are!\Mako-chan's race is about to start!\Hurry up!\I'll pass.\I don't think so!\Let's go!\Go, go, go, go, go, Makoto! response:	Go, go, go, go, go, Makoto!
context: There you are!\Mako-chan's race is about to start!\Hurry up!\I'll pass.\I don't think so!\Let's go!\Go, go, go, go, go, Makoto!\Go, go, go, go, go, Makoto! response:	Swim, swim, swim, swim, swim, Makoto!
context: Mako-chan's race is about to start!\Hurry up!\I'll pass.\I don't think so!\Let's go!\Go, go, go, go, go, Makoto!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto! response:	Swim, swim, swim, swim, swim, Makoto!
context: Hurry up!\I'll pass.\I don't think so!\Let's go!\Go, go, go, go, go, Makoto!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Swim, swim, swim, swim, swim, Makoto! response:	Not loud enough!
context: I'll pass.\I don't think so!\Let's go!\Go, go, go, go, go, Makoto!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Not loud enough! response:	You've gotta shout from your belly!
context: I don't think so!\Let's go!\Go, go, go, go, go, Makoto!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Not loud enough!\You've gotta shout from your belly! response:	Especially you, Rei! Don't be shy!
context: Let's go!\Go, go, go, go, go, Makoto!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Not loud enough!\You've gotta shout from your belly!\Especially you, Rei! Don't be shy! response:	Yes!
context: Go, go, go, go, go, Makoto!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Not loud enough!\You've gotta shout from your belly!\Especially you, Rei! Don't be shy!\Yes! response:	Fight, fight, fight, fight, fight, Makoto!
context: Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Not loud enough!\You've gotta shout from your belly!\Especially you, Rei! Don't be shy!\Yes!\Fight, fight, fight, fight, fight, Makoto! response:	Fight, fight, fight, fight, fight, Makoto!
context: Swim, swim, swim, swim, swim, Makoto!\Swim, swim, swim, swim, swim, Makoto!\Not loud enough!\You've gotta shout from your belly!\Especially you, Rei! Don't be shy!\Yes!\Fight, fight, fight, fight, fight, Makoto!\Fight, fight, fight, fight, fight, Makoto! response:	Go, go, go!
context: Swim, swim, swim, swim, swim, Makoto!\Not loud enough!\You've gotta shout from your belly!\Especially you, Rei! Don't be shy!\Yes!\Fight, fight, fight, fight, fight, Makoto!\Fight, fight, fight, fight, fight, Makoto!\Go, go, go! response:	Go, go, go!
context: Not loud enough!\You've gotta shout from your belly!\Especially you, Rei! Don't be shy!\Yes!\Fight, fight, fight, fight, fight, Makoto!\Fight, fight, fight, fight, fight, Makoto!\Go, go, go!\Go, go, go! response:	Go, go, go!
