context: Hey! response:	I'm not doing nothing but practice every day.
context: I'd totally beat them one-on-one.\King.\What?\Sorry, but I'm going for my nighttime jog soon.\See you later.\Are you sure, King?\With what?\If you are, that's fine. response:	Yeah, yeah. My bad.
context: King.\What?\Sorry, but I'm going for my nighttime jog soon.\See you later.\Are you sure, King?\With what?\If you are, that's fine.\Yeah, yeah. My bad. response:	If only we had a DVR.
context: What?\Sorry, but I'm going for my nighttime jog soon.\See you later.\Are you sure, King?\With what?\If you are, that's fine.\Yeah, yeah. My bad.\If only we had a DVR. response:	That's not what I meant.
context: Sorry, but I'm going for my nighttime jog soon.\See you later.\Are you sure, King?\With what?\If you are, that's fine.\Yeah, yeah. My bad.\If only we had a DVR.\That's not what I meant. response:	Thank you.
context: See you later.\Are you sure, King?\With what?\If you are, that's fine.\Yeah, yeah. My bad.\If only we had a DVR.\That's not what I meant.\Thank you. response:	It was a good way to blow off steam.
context: Are you sure, King?\With what?\If you are, that's fine.\Yeah, yeah. My bad.\If only we had a DVR.\That's not what I meant.\Thank you.\It was a good way to blow off steam. response:	Will you go jogging tomorrow?
context: With what?\If you are, that's fine.\Yeah, yeah. My bad.\If only we had a DVR.\That's not what I meant.\Thank you.\It was a good way to blow off steam.\Will you go jogging tomorrow? response:	It'd be a good change of pace.
context: If you are, that's fine.\Yeah, yeah. My bad.\If only we had a DVR.\That's not what I meant.\Thank you.\It was a good way to blow off steam.\Will you go jogging tomorrow?\It'd be a good change of pace. response:	The Emperor's New Clothes
context: Yeah, yeah. My bad.\If only we had a DVR.\That's not what I meant.\Thank you.\It was a good way to blow off steam.\Will you go jogging tomorrow?\It'd be a good change of pace.\The Emperor's New Clothes response:	Let's go jogging again tonight.
context: If only we had a DVR.\That's not what I meant.\Thank you.\It was a good way to blow off steam.\Will you go jogging tomorrow?\It'd be a good change of pace.\The Emperor's New Clothes\Let's go jogging again tonight. response:	Yeah, let's do it!
context: That's not what I meant.\Thank you.\It was a good way to blow off steam.\Will you go jogging tomorrow?\It'd be a good change of pace.\The Emperor's New Clothes\Let's go jogging again tonight.\Yeah, let's do it! response:	Where should we run?
context: Thank you.\It was a good way to blow off steam.\Will you go jogging tomorrow?\It'd be a good change of pace.\The Emperor's New Clothes\Let's go jogging again tonight.\Yeah, let's do it!\Where should we run? response:	Damn honor-roll students.
context: It was a good way to blow off steam.\Will you go jogging tomorrow?\It'd be a good change of pace.\The Emperor's New Clothes\Let's go jogging again tonight.\Yeah, let's do it!\Where should we run?\Damn honor-roll students. response:	Don't blame me if you burn yourselves out and can't run anymore.
context: Will you go jogging tomorrow?\It'd be a good change of pace.\The Emperor's New Clothes\Let's go jogging again tonight.\Yeah, let's do it!\Where should we run?\Damn honor-roll students.\Don't blame me if you burn yourselves out and can't run anymore. response:	You're worried about us?
context: It'd be a good change of pace.\The Emperor's New Clothes\Let's go jogging again tonight.\Yeah, let's do it!\Where should we run?\Damn honor-roll students.\Don't blame me if you burn yourselves out and can't run anymore.\You're worried about us? response:	Yuki, you should run with us.
context: The Emperor's New Clothes\Let's go jogging again tonight.\Yeah, let's do it!\Where should we run?\Damn honor-roll students.\Don't blame me if you burn yourselves out and can't run anymore.\You're worried about us?\Yuki, you should run with us. response:	And why would I do such a thing?
context: Let's go jogging again tonight.\Yeah, let's do it!\Where should we run?\Damn honor-roll students.\Don't blame me if you burn yourselves out and can't run anymore.\You're worried about us?\Yuki, you should run with us.\And why would I do such a thing? response:	Absolutely not. I need my me time.
context: Yeah, let's do it!\Where should we run?\Damn honor-roll students.\Don't blame me if you burn yourselves out and can't run anymore.\You're worried about us?\Yuki, you should run with us.\And why would I do such a thing?\Absolutely not. I need my me time. response:	How about you, Nico-chan Senpai?
context: Where should we run?\Damn honor-roll students.\Don't blame me if you burn yourselves out and can't run anymore.\You're worried about us?\Yuki, you should run with us.\And why would I do such a thing?\Absolutely not. I need my me time.\How about you, Nico-chan Senpai? response:	Huh? Morning and evening's plenty for me.
context: Damn honor-roll students.\Don't blame me if you burn yourselves out and can't run anymore.\You're worried about us?\Yuki, you should run with us.\And why would I do such a thing?\Absolutely not. I need my me time.\How about you, Nico-chan Senpai?\Huh? Morning and evening's plenty for me. response:	That's right. Respect the elderly.
context: Don't blame me if you burn yourselves out and can't run anymore.\You're worried about us?\Yuki, you should run with us.\And why would I do such a thing?\Absolutely not. I need my me time.\How about you, Nico-chan Senpai?\Huh? Morning and evening's plenty for me.\That's right. Respect the elderly. response:	What?!
context: You're worried about us?\Yuki, you should run with us.\And why would I do such a thing?\Absolutely not. I need my me time.\How about you, Nico-chan Senpai?\Huh? Morning and evening's plenty for me.\That's right. Respect the elderly.\What?! response:	But if we don't do well at the track meet, we can't run in the Hakone Ekiden.
context: Yuki, you should run with us.\And why would I do such a thing?\Absolutely not. I need my me time.\How about you, Nico-chan Senpai?\Huh? Morning and evening's plenty for me.\That's right. Respect the elderly.\What?!\But if we don't do well at the track meet, we can't run in the Hakone Ekiden. response:	As if you'll get to run in that, idiot.
context: And why would I do such a thing?\Absolutely not. I need my me time.\How about you, Nico-chan Senpai?\Huh? Morning and evening's plenty for me.\That's right. Respect the elderly.\What?!\But if we don't do well at the track meet, we can't run in the Hakone Ekiden.\As if you'll get to run in that, idiot. response:	Hakone's a distant dream.
context: Absolutely not. I need my me time.\How about you, Nico-chan Senpai?\Huh? Morning and evening's plenty for me.\That's right. Respect the elderly.\What?!\But if we don't do well at the track meet, we can't run in the Hakone Ekiden.\As if you'll get to run in that, idiot.\Hakone's a distant dream. response:	Hey!
context: How about you, Nico-chan Senpai?\Huh? Morning and evening's plenty for me.\That's right. Respect the elderly.\What?!\But if we don't do well at the track meet, we can't run in the Hakone Ekiden.\As if you'll get to run in that, idiot.\Hakone's a distant dream.\Hey! response:	Good morning!
context: Huh? Morning and evening's plenty for me.\That's right. Respect the elderly.\What?!\But if we don't do well at the track meet, we can't run in the Hakone Ekiden.\As if you'll get to run in that, idiot.\Hakone's a distant dream.\Hey!\Good morning! response:	Hey!
context: That's right. Respect the elderly.\What?!\But if we don't do well at the track meet, we can't run in the Hakone Ekiden.\As if you'll get to run in that, idiot.\Hakone's a distant dream.\Hey!\Good morning!\Hey! response:	Hey, it's Hana.
context: What?!\But if we don't do well at the track meet, we can't run in the Hakone Ekiden.\As if you'll get to run in that, idiot.\Hakone's a distant dream.\Hey!\Good morning!\Hey!\Hey, it's Hana. response:	Hana's here.
context: But if we don't do well at the track meet, we can't run in the Hakone Ekiden.\As if you'll get to run in that, idiot.\Hakone's a distant dream.\Hey!\Good morning!\Hey!\Hey, it's Hana.\Hana's here. response:	What? I wanna go on a nighttime jog!
context: As if you'll get to run in that, idiot.\Hakone's a distant dream.\Hey!\Good morning!\Hey!\Hey, it's Hana.\Hana's here.\What? I wanna go on a nighttime jog! response:	Would you like to run with us, Hana?
context: Hakone's a distant dream.\Hey!\Good morning!\Hey!\Hey, it's Hana.\Hana's here.\What? I wanna go on a nighttime jog!\Would you like to run with us, Hana? response:	What? I can't do that. I'll ride my bike.
context: Hey!\Good morning!\Hey!\Hey, it's Hana.\Hana's here.\What? I wanna go on a nighttime jog!\Would you like to run with us, Hana?\What? I can't do that. I'll ride my bike. response:	I'm so hyped! We didn't have a girl manager in high school.
context: Good morning!\Hey!\Hey, it's Hana.\Hana's here.\What? I wanna go on a nighttime jog!\Would you like to run with us, Hana?\What? I can't do that. I'll ride my bike.\I'm so hyped! We didn't have a girl manager in high school. response:	Yeah!
context: Hey!\Hey, it's Hana.\Hana's here.\What? I wanna go on a nighttime jog!\Would you like to run with us, Hana?\What? I can't do that. I'll ride my bike.\I'm so hyped! We didn't have a girl manager in high school.\Yeah! response:	What? Really?
context: Hey, it's Hana.\Hana's here.\What? I wanna go on a nighttime jog!\Would you like to run with us, Hana?\What? I can't do that. I'll ride my bike.\I'm so hyped! We didn't have a girl manager in high school.\Yeah!\What? Really? response:	Yeah, totally!
context: Hana's here.\What? I wanna go on a nighttime jog!\Would you like to run with us, Hana?\What? I can't do that. I'll ride my bike.\I'm so hyped! We didn't have a girl manager in high school.\Yeah!\What? Really?\Yeah, totally! response:	Yeah, yeah!
context: What? I wanna go on a nighttime jog!\Would you like to run with us, Hana?\What? I can't do that. I'll ride my bike.\I'm so hyped! We didn't have a girl manager in high school.\Yeah!\What? Really?\Yeah, totally!\Yeah, yeah! response:	I don't have time. I'm heading home.
context: Would you like to run with us, Hana?\What? I can't do that. I'll ride my bike.\I'm so hyped! We didn't have a girl manager in high school.\Yeah!\What? Really?\Yeah, totally!\Yeah, yeah!\I don't have time. I'm heading home. response:	Let's go together, then.
context: What? I can't do that. I'll ride my bike.\I'm so hyped! We didn't have a girl manager in high school.\Yeah!\What? Really?\Yeah, totally!\Yeah, yeah!\I don't have time. I'm heading home.\Let's go together, then. response:	He's completely closed himself off.
context: I'm so hyped! We didn't have a girl manager in high school.\Yeah!\What? Really?\Yeah, totally!\Yeah, yeah!\I don't have time. I'm heading home.\Let's go together, then.\He's completely closed himself off. response:	You mean King?
context: Yeah!\What? Really?\Yeah, totally!\Yeah, yeah!\I don't have time. I'm heading home.\Let's go together, then.\He's completely closed himself off.\You mean King? response:	Yeah.
context: What? Really?\Yeah, totally!\Yeah, yeah!\I don't have time. I'm heading home.\Let's go together, then.\He's completely closed himself off.\You mean King?\Yeah. response:	Is it his job search?
context: Yeah, totally!\Yeah, yeah!\I don't have time. I'm heading home.\Let's go together, then.\He's completely closed himself off.\You mean King?\Yeah.\Is it his job search? response:	What? But I thought the employment rate was rising.
context: Yeah, yeah!\I don't have time. I'm heading home.\Let's go together, then.\He's completely closed himself off.\You mean King?\Yeah.\Is it his job search?\What? But I thought the employment rate was rising. response:	Maybe it is overall,
context: I don't have time. I'm heading home.\Let's go together, then.\He's completely closed himself off.\You mean King?\Yeah.\Is it his job search?\What? But I thought the employment rate was rising.\Maybe it is overall, response:	but guys who just can't handle it aren't gonna do well.
context: Let's go together, then.\He's completely closed himself off.\You mean King?\Yeah.\Is it his job search?\What? But I thought the employment rate was rising.\Maybe it is overall,\but guys who just can't handle it aren't gonna do well. response:	Yikes.
context: He's completely closed himself off.\You mean King?\Yeah.\Is it his job search?\What? But I thought the employment rate was rising.\Maybe it is overall,\but guys who just can't handle it aren't gonna do well.\Yikes. response:	I'm worried about King,
context: You mean King?\Yeah.\Is it his job search?\What? But I thought the employment rate was rising.\Maybe it is overall,\but guys who just can't handle it aren't gonna do well.\Yikes.\I'm worried about King, response:	but we need to do something about the club budget.
context: Yeah.\Is it his job search?\What? But I thought the employment rate was rising.\Maybe it is overall,\but guys who just can't handle it aren't gonna do well.\Yikes.\I'm worried about King,\but we need to do something about the club budget. response:	We're officially recognized by the university, right?
context: Is it his job search?\What? But I thought the employment rate was rising.\Maybe it is overall,\but guys who just can't handle it aren't gonna do well.\Yikes.\I'm worried about King,\but we need to do something about the club budget.\We're officially recognized by the university, right? response:	Yeah, but...
context: What? But I thought the employment rate was rising.\Maybe it is overall,\but guys who just can't handle it aren't gonna do well.\Yikes.\I'm worried about King,\but we need to do something about the club budget.\We're officially recognized by the university, right?\Yeah, but... response:	We can't even use the university track.
context: Maybe it is overall,\but guys who just can't handle it aren't gonna do well.\Yikes.\I'm worried about King,\but we need to do something about the club budget.\We're officially recognized by the university, right?\Yeah, but...\We can't even use the university track. response:	We don't have any money.
context: but guys who just can't handle it aren't gonna do well.\Yikes.\I'm worried about King,\but we need to do something about the club budget.\We're officially recognized by the university, right?\Yeah, but...\We can't even use the university track.\We don't have any money. response:	If we did, I'd do something about that run-down apartment.
context: Yikes.\I'm worried about King,\but we need to do something about the club budget.\We're officially recognized by the university, right?\Yeah, but...\We can't even use the university track.\We don't have any money.\If we did, I'd do something about that run-down apartment. response:	Of course. Excuse me.
context: I'm worried about King,\but we need to do something about the club budget.\We're officially recognized by the university, right?\Yeah, but...\We can't even use the university track.\We don't have any money.\If we did, I'd do something about that run-down apartment.\Of course. Excuse me. response:	Since you said you'd do it...
context: but we need to do something about the club budget.\We're officially recognized by the university, right?\Yeah, but...\We can't even use the university track.\We don't have any money.\If we did, I'd do something about that run-down apartment.\Of course. Excuse me.\Since you said you'd do it... response:	Since you said you'd do it, I'm allowing it,
context: We're officially recognized by the university, right?\Yeah, but...\We can't even use the university track.\We don't have any money.\If we did, I'd do something about that run-down apartment.\Of course. Excuse me.\Since you said you'd do it...\Since you said you'd do it, I'm allowing it, response:	but this world isn't just about who's fast and who's slow.
context: Yeah, but...\We can't even use the university track.\We don't have any money.\If we did, I'd do something about that run-down apartment.\Of course. Excuse me.\Since you said you'd do it...\Since you said you'd do it, I'm allowing it,\but this world isn't just about who's fast and who's slow. response:	Yes, sir.
context: We can't even use the university track.\We don't have any money.\If we did, I'd do something about that run-down apartment.\Of course. Excuse me.\Since you said you'd do it...\Since you said you'd do it, I'm allowing it,\but this world isn't just about who's fast and who's slow.\Yes, sir. response:	Naturally, you need money as well.
context: We don't have any money.\If we did, I'd do something about that run-down apartment.\Of course. Excuse me.\Since you said you'd do it...\Since you said you'd do it, I'm allowing it,\but this world isn't just about who's fast and who's slow.\Yes, sir.\Naturally, you need money as well. response:	And there's no guarantee your peers will acknowledge you.
context: If we did, I'd do something about that run-down apartment.\Of course. Excuse me.\Since you said you'd do it...\Since you said you'd do it, I'm allowing it,\but this world isn't just about who's fast and who's slow.\Yes, sir.\Naturally, you need money as well.\And there's no guarantee your peers will acknowledge you. response:	I know that.
context: Of course. Excuse me.\Since you said you'd do it...\Since you said you'd do it, I'm allowing it,\but this world isn't just about who's fast and who's slow.\Yes, sir.\Naturally, you need money as well.\And there's no guarantee your peers will acknowledge you.\I know that. response:	That's also part of running.
context: Since you said you'd do it...\Since you said you'd do it, I'm allowing it,\but this world isn't just about who's fast and who's slow.\Yes, sir.\Naturally, you need money as well.\And there's no guarantee your peers will acknowledge you.\I know that.\That's also part of running. response:	Don't tell Haiji I'm working. He'll get mad at me.
context: Since you said you'd do it, I'm allowing it,\but this world isn't just about who's fast and who's slow.\Yes, sir.\Naturally, you need money as well.\And there's no guarantee your peers will acknowledge you.\I know that.\That's also part of running.\Don't tell Haiji I'm working. He'll get mad at me. response:	I'm supposed to be older than him, though.
context: but this world isn't just about who's fast and who's slow.\Yes, sir.\Naturally, you need money as well.\And there's no guarantee your peers will acknowledge you.\I know that.\That's also part of running.\Don't tell Haiji I'm working. He'll get mad at me.\I'm supposed to be older than him, though. response:	So, what do you want?
context: Yes, sir.\Naturally, you need money as well.\And there's no guarantee your peers will acknowledge you.\I know that.\That's also part of running.\Don't tell Haiji I'm working. He'll get mad at me.\I'm supposed to be older than him, though.\So, what do you want? response:	What kind of person is Haiji?
context: Naturally, you need money as well.\And there's no guarantee your peers will acknowledge you.\I know that.\That's also part of running.\Don't tell Haiji I'm working. He'll get mad at me.\I'm supposed to be older than him, though.\So, what do you want?\What kind of person is Haiji? response:	Haiji?
context: And there's no guarantee your peers will acknowledge you.\I know that.\That's also part of running.\Don't tell Haiji I'm working. He'll get mad at me.\I'm supposed to be older than him, though.\So, what do you want?\What kind of person is Haiji?\Haiji? response:	You've been living together since his first year, right?
context: I know that.\That's also part of running.\Don't tell Haiji I'm working. He'll get mad at me.\I'm supposed to be older than him, though.\So, what do you want?\What kind of person is Haiji?\Haiji?\You've been living together since his first year, right? response:	Yeah.
context: That's also part of running.\Don't tell Haiji I'm working. He'll get mad at me.\I'm supposed to be older than him, though.\So, what do you want?\What kind of person is Haiji?\Haiji?\You've been living together since his first year, right?\Yeah. response:	What's he like? Exactly what the way he looks.
context: Don't tell Haiji I'm working. He'll get mad at me.\I'm supposed to be older than him, though.\So, what do you want?\What kind of person is Haiji?\Haiji?\You've been living together since his first year, right?\Yeah.\What's he like? Exactly what the way he looks. response:	How about as a runner?
context: I'm supposed to be older than him, though.\So, what do you want?\What kind of person is Haiji?\Haiji?\You've been living together since his first year, right?\Yeah.\What's he like? Exactly what the way he looks.\How about as a runner? response:	I think Haiji was a good runner.
context: So, what do you want?\What kind of person is Haiji?\Haiji?\You've been living together since his first year, right?\Yeah.\What's he like? Exactly what the way he looks.\How about as a runner?\I think Haiji was a good runner. response:	I've never seen him run all-out, though.
context: What kind of person is Haiji?\Haiji?\You've been living together since his first year, right?\Yeah.\What's he like? Exactly what the way he looks.\How about as a runner?\I think Haiji was a good runner.\I've never seen him run all-out, though. response:	Apparently, he was told to stop for a while.
context: Haiji?\You've been living together since his first year, right?\Yeah.\What's he like? Exactly what the way he looks.\How about as a runner?\I think Haiji was a good runner.\I've never seen him run all-out, though.\Apparently, he was told to stop for a while. response:	He must've wanted to run even though he couldn't.
context: You've been living together since his first year, right?\Yeah.\What's he like? Exactly what the way he looks.\How about as a runner?\I think Haiji was a good runner.\I've never seen him run all-out, though.\Apparently, he was told to stop for a while.\He must've wanted to run even though he couldn't. response:	His first year, when I told him I ran track in high school,
context: Yeah.\What's he like? Exactly what the way he looks.\How about as a runner?\I think Haiji was a good runner.\I've never seen him run all-out, though.\Apparently, he was told to stop for a while.\He must've wanted to run even though he couldn't.\His first year, when I told him I ran track in high school, response:	his eyes were glittering.
context: What's he like? Exactly what the way he looks.\How about as a runner?\I think Haiji was a good runner.\I've never seen him run all-out, though.\Apparently, he was told to stop for a while.\He must've wanted to run even though he couldn't.\His first year, when I told him I ran track in high school,\his eyes were glittering. response:	It was a pain.
context: How about as a runner?\I think Haiji was a good runner.\I've never seen him run all-out, though.\Apparently, he was told to stop for a while.\He must've wanted to run even though he couldn't.\His first year, when I told him I ran track in high school,\his eyes were glittering.\It was a pain. response:	I'd completely quit running.
context: I think Haiji was a good runner.\I've never seen him run all-out, though.\Apparently, he was told to stop for a while.\He must've wanted to run even though he couldn't.\His first year, when I told him I ran track in high school,\his eyes were glittering.\It was a pain.\I'd completely quit running. response:	It's been four years since then, and his eyes are still glittering.
context: I've never seen him run all-out, though.\Apparently, he was told to stop for a while.\He must've wanted to run even though he couldn't.\His first year, when I told him I ran track in high school,\his eyes were glittering.\It was a pain.\I'd completely quit running.\It's been four years since then, and his eyes are still glittering. response:	Surprising, isn't it?
context: Apparently, he was told to stop for a while.\He must've wanted to run even though he couldn't.\His first year, when I told him I ran track in high school,\his eyes were glittering.\It was a pain.\I'd completely quit running.\It's been four years since then, and his eyes are still glittering.\Surprising, isn't it? response:	It's only gotten worse since you showed up.
context: He must've wanted to run even though he couldn't.\His first year, when I told him I ran track in high school,\his eyes were glittering.\It was a pain.\I'd completely quit running.\It's been four years since then, and his eyes are still glittering.\Surprising, isn't it?\It's only gotten worse since you showed up. response:	Even with me on the team, we can't win.
context: His first year, when I told him I ran track in high school,\his eyes were glittering.\It was a pain.\I'd completely quit running.\It's been four years since then, and his eyes are still glittering.\Surprising, isn't it?\It's only gotten worse since you showed up.\Even with me on the team, we can't win. response:	I know.
context: his eyes were glittering.\It was a pain.\I'd completely quit running.\It's been four years since then, and his eyes are still glittering.\Surprising, isn't it?\It's only gotten worse since you showed up.\Even with me on the team, we can't win.\I know. response:	I feel bad for Haiji, but I don't think we can make it to Hakone, either.
context: It was a pain.\I'd completely quit running.\It's been four years since then, and his eyes are still glittering.\Surprising, isn't it?\It's only gotten worse since you showed up.\Even with me on the team, we can't win.\I know.\I feel bad for Haiji, but I don't think we can make it to Hakone, either. response:	Well, it should become clear enough once we run in the track meet.
context: I'd completely quit running.\It's been four years since then, and his eyes are still glittering.\Surprising, isn't it?\It's only gotten worse since you showed up.\Even with me on the team, we can't win.\I know.\I feel bad for Haiji, but I don't think we can make it to Hakone, either.\Well, it should become clear enough once we run in the track meet. response:	Are you serious?!
context: It's been four years since then, and his eyes are still glittering.\Surprising, isn't it?\It's only gotten worse since you showed up.\Even with me on the team, we can't win.\I know.\I feel bad for Haiji, but I don't think we can make it to Hakone, either.\Well, it should become clear enough once we run in the track meet.\Are you serious?! response:	We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!!
context: Surprising, isn't it?\It's only gotten worse since you showed up.\Even with me on the team, we can't win.\I know.\I feel bad for Haiji, but I don't think we can make it to Hakone, either.\Well, it should become clear enough once we run in the track meet.\Are you serious?!\We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!! response:	As long as we're running, I thought we could advertise while doing it.
context: It's only gotten worse since you showed up.\Even with me on the team, we can't win.\I know.\I feel bad for Haiji, but I don't think we can make it to Hakone, either.\Well, it should become clear enough once we run in the track meet.\Are you serious?!\We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!!\As long as we're running, I thought we could advertise while doing it. response:	We're going to promote ourselves by wearing these to and from the track
context: Even with me on the team, we can't win.\I know.\I feel bad for Haiji, but I don't think we can make it to Hakone, either.\Well, it should become clear enough once we run in the track meet.\Are you serious?!\We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!!\As long as we're running, I thought we could advertise while doing it.\We're going to promote ourselves by wearing these to and from the track response:	and during our morning and nighttime jogs.
context: I know.\I feel bad for Haiji, but I don't think we can make it to Hakone, either.\Well, it should become clear enough once we run in the track meet.\Are you serious?!\We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!!\As long as we're running, I thought we could advertise while doing it.\We're going to promote ourselves by wearing these to and from the track\and during our morning and nighttime jogs. response:	We got enough for everyone. We hope you'll wear them.
context: I feel bad for Haiji, but I don't think we can make it to Hakone, either.\Well, it should become clear enough once we run in the track meet.\Are you serious?!\We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!!\As long as we're running, I thought we could advertise while doing it.\We're going to promote ourselves by wearing these to and from the track\and during our morning and nighttime jogs.\We got enough for everyone. We hope you'll wear them. response:	Let's advertise!
context: Well, it should become clear enough once we run in the track meet.\Are you serious?!\We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!!\As long as we're running, I thought we could advertise while doing it.\We're going to promote ourselves by wearing these to and from the track\and during our morning and nighttime jogs.\We got enough for everyone. We hope you'll wear them.\Let's advertise! response:	Here you go. Here!
context: Are you serious?!\We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!!\As long as we're running, I thought we could advertise while doing it.\We're going to promote ourselves by wearing these to and from the track\and during our morning and nighttime jogs.\We got enough for everyone. We hope you'll wear them.\Let's advertise!\Here you go. Here! response:	This isn't going to run when we sweat, is it?
context: We're trying to make it to the Hakone Ekiden. The Kansei University Track and Field Team Fan Club is now recruiting!!\As long as we're running, I thought we could advertise while doing it.\We're going to promote ourselves by wearing these to and from the track\and during our morning and nighttime jogs.\We got enough for everyone. We hope you'll wear them.\Let's advertise!\Here you go. Here!\This isn't going to run when we sweat, is it? response:	I'm sure it'll be fine.
context: As long as we're running, I thought we could advertise while doing it.\We're going to promote ourselves by wearing these to and from the track\and during our morning and nighttime jogs.\We got enough for everyone. We hope you'll wear them.\Let's advertise!\Here you go. Here!\This isn't going to run when we sweat, is it?\I'm sure it'll be fine. response:	It's an oil-based ink.
context: We're going to promote ourselves by wearing these to and from the track\and during our morning and nighttime jogs.\We got enough for everyone. We hope you'll wear them.\Let's advertise!\Here you go. Here!\This isn't going to run when we sweat, is it?\I'm sure it'll be fine.\It's an oil-based ink. response:	We want to form a fan club
context: and during our morning and nighttime jogs.\We got enough for everyone. We hope you'll wear them.\Let's advertise!\Here you go. Here!\This isn't going to run when we sweat, is it?\I'm sure it'll be fine.\It's an oil-based ink.\We want to form a fan club response:	so we can create an environment where we can focus on training.
context: We got enough for everyone. We hope you'll wear them.\Let's advertise!\Here you go. Here!\This isn't going to run when we sweat, is it?\I'm sure it'll be fine.\It's an oil-based ink.\We want to form a fan club\so we can create an environment where we can focus on training. response:	We appreciate your cooperation.
