context: I'm sorry. response:	This is the best I could do right now.
context: And life!\Which means, once you've devoured their memories,\you move on to the information that is their life.\What does he mean, food?!\Why did Marie have to die because of you?\Not me. It was the Valvrave that killed her.\It's the same thing!\The ones to blame are the humans who sealed me in here. response:	So they could use Runes.
context: Which means, once you've devoured their memories,\you move on to the information that is their life.\What does he mean, food?!\Why did Marie have to die because of you?\Not me. It was the Valvrave that killed her.\It's the same thing!\The ones to blame are the humans who sealed me in here.\So they could use Runes. response:	What are you saying?
context: you move on to the information that is their life.\What does he mean, food?!\Why did Marie have to die because of you?\Not me. It was the Valvrave that killed her.\It's the same thing!\The ones to blame are the humans who sealed me in here.\So they could use Runes.\What are you saying? response:	So, JIORan scientists turned you into an engine.
context: What does he mean, food?!\Why did Marie have to die because of you?\Not me. It was the Valvrave that killed her.\It's the same thing!\The ones to blame are the humans who sealed me in here.\So they could use Runes.\What are you saying?\So, JIORan scientists turned you into an engine. response:	Through you, the Valvrave collects and uses Runes.
context: Why did Marie have to die because of you?\Not me. It was the Valvrave that killed her.\It's the same thing!\The ones to blame are the humans who sealed me in here.\So they could use Runes.\What are you saying?\So, JIORan scientists turned you into an engine.\Through you, the Valvrave collects and uses Runes. response:	Yes, yes! That's why it's not my fault!
context: Not me. It was the Valvrave that killed her.\It's the same thing!\The ones to blame are the humans who sealed me in here.\So they could use Runes.\What are you saying?\So, JIORan scientists turned you into an engine.\Through you, the Valvrave collects and uses Runes.\Yes, yes! That's why it's not my fault! response:	I do eat a little, though...
context: It's the same thing!\The ones to blame are the humans who sealed me in here.\So they could use Runes.\What are you saying?\So, JIORan scientists turned you into an engine.\Through you, the Valvrave collects and uses Runes.\Yes, yes! That's why it's not my fault!\I do eat a little, though... response:	What she's saying is probably true.
context: The ones to blame are the humans who sealed me in here.\So they could use Runes.\What are you saying?\So, JIORan scientists turned you into an engine.\Through you, the Valvrave collects and uses Runes.\Yes, yes! That's why it's not my fault!\I do eat a little, though...\What she's saying is probably true. response:	Professor?
context: So they could use Runes.\What are you saying?\So, JIORan scientists turned you into an engine.\Through you, the Valvrave collects and uses Runes.\Yes, yes! That's why it's not my fault!\I do eat a little, though...\What she's saying is probably true.\Professor? response:	Marie's postmortem showed an extremely low concentration
context: What are you saying?\So, JIORan scientists turned you into an engine.\Through you, the Valvrave collects and uses Runes.\Yes, yes! That's why it's not my fault!\I do eat a little, though...\What she's saying is probably true.\Professor?\Marie's postmortem showed an extremely low concentration response:	of kynurenic acid in her brain and red blood cells in her blood.
context: So, JIORan scientists turned you into an engine.\Through you, the Valvrave collects and uses Runes.\Yes, yes! That's why it's not my fault!\I do eat a little, though...\What she's saying is probably true.\Professor?\Marie's postmortem showed an extremely low concentration\of kynurenic acid in her brain and red blood cells in her blood. response:	Far too low for someone who was healthy immediately beforehand.
context: Through you, the Valvrave collects and uses Runes.\Yes, yes! That's why it's not my fault!\I do eat a little, though...\What she's saying is probably true.\Professor?\Marie's postmortem showed an extremely low concentration\of kynurenic acid in her brain and red blood cells in her blood.\Far too low for someone who was healthy immediately beforehand. response:	That's probably evidence that her Runes had been eaten.
context: Yes, yes! That's why it's not my fault!\I do eat a little, though...\What she's saying is probably true.\Professor?\Marie's postmortem showed an extremely low concentration\of kynurenic acid in her brain and red blood cells in her blood.\Far too low for someone who was healthy immediately beforehand.\That's probably evidence that her Runes had been eaten. response:	And you, Tokishima.
context: I do eat a little, though...\What she's saying is probably true.\Professor?\Marie's postmortem showed an extremely low concentration\of kynurenic acid in her brain and red blood cells in her blood.\Far too low for someone who was healthy immediately beforehand.\That's probably evidence that her Runes had been eaten.\And you, Tokishima. response:	Your physical exams show the same
context: What she's saying is probably true.\Professor?\Marie's postmortem showed an extremely low concentration\of kynurenic acid in her brain and red blood cells in her blood.\Far too low for someone who was healthy immediately beforehand.\That's probably evidence that her Runes had been eaten.\And you, Tokishima.\Your physical exams show the same response:	symptoms as Marie, although much less pronounced.
context: Professor?\Marie's postmortem showed an extremely low concentration\of kynurenic acid in her brain and red blood cells in her blood.\Far too low for someone who was healthy immediately beforehand.\That's probably evidence that her Runes had been eaten.\And you, Tokishima.\Your physical exams show the same\symptoms as Marie, although much less pronounced. response:	Are you saying I...
context: Marie's postmortem showed an extremely low concentration\of kynurenic acid in her brain and red blood cells in her blood.\Far too low for someone who was healthy immediately beforehand.\That's probably evidence that her Runes had been eaten.\And you, Tokishima.\Your physical exams show the same\symptoms as Marie, although much less pronounced.\Are you saying I... response:	If you go on piloting the Valvrave, you'll end up just like Marie.
context: of kynurenic acid in her brain and red blood cells in her blood.\Far too low for someone who was healthy immediately beforehand.\That's probably evidence that her Runes had been eaten.\And you, Tokishima.\Your physical exams show the same\symptoms as Marie, although much less pronounced.\Are you saying I...\If you go on piloting the Valvrave, you'll end up just like Marie. response:	An empty husk.
context: Far too low for someone who was healthy immediately beforehand.\That's probably evidence that her Runes had been eaten.\And you, Tokishima.\Your physical exams show the same\symptoms as Marie, although much less pronounced.\Are you saying I...\If you go on piloting the Valvrave, you'll end up just like Marie.\An empty husk. response:	Huh? Am I in the right...
context: That's probably evidence that her Runes had been eaten.\And you, Tokishima.\Your physical exams show the same\symptoms as Marie, although much less pronounced.\Are you saying I...\If you go on piloting the Valvrave, you'll end up just like Marie.\An empty husk.\Huh? Am I in the right... response:	Huh? Who are you?
context: And you, Tokishima.\Your physical exams show the same\symptoms as Marie, although much less pronounced.\Are you saying I...\If you go on piloting the Valvrave, you'll end up just like Marie.\An empty husk.\Huh? Am I in the right...\Huh? Who are you? response:	Me? I'm...
context: Your physical exams show the same\symptoms as Marie, although much less pronounced.\Are you saying I...\If you go on piloting the Valvrave, you'll end up just like Marie.\An empty husk.\Huh? Am I in the right...\Huh? Who are you?\Me? I'm... response:	Hey, who are you?
context: symptoms as Marie, although much less pronounced.\Are you saying I...\If you go on piloting the Valvrave, you'll end up just like Marie.\An empty husk.\Huh? Am I in the right...\Huh? Who are you?\Me? I'm...\Hey, who are you? response:	Uh, I'm...
context: Are you saying I...\If you go on piloting the Valvrave, you'll end up just like Marie.\An empty husk.\Huh? Am I in the right...\Huh? Who are you?\Me? I'm...\Hey, who are you?\Uh, I'm... response:	You there! Mystery man!
context: If you go on piloting the Valvrave, you'll end up just like Marie.\An empty husk.\Huh? Am I in the right...\Huh? Who are you?\Me? I'm...\Hey, who are you?\Uh, I'm...\You there! Mystery man! response:	Where did you guys...
context: An empty husk.\Huh? Am I in the right...\Huh? Who are you?\Me? I'm...\Hey, who are you?\Uh, I'm...\You there! Mystery man!\Where did you guys... response:	Haruto.
context: Huh? Am I in the right...\Huh? Who are you?\Me? I'm...\Hey, who are you?\Uh, I'm...\You there! Mystery man!\Where did you guys...\Haruto. response:	Huh?
context: Huh? Who are you?\Me? I'm...\Hey, who are you?\Uh, I'm...\You there! Mystery man!\Where did you guys...\Haruto.\Huh? response:	Haruto... Oh, right, I'm Haruto.
context: Me? I'm...\Hey, who are you?\Uh, I'm...\You there! Mystery man!\Where did you guys...\Haruto.\Huh?\Haruto... Oh, right, I'm Haruto. response:	Do you know me?
context: Hey, who are you?\Uh, I'm...\You there! Mystery man!\Where did you guys...\Haruto.\Huh?\Haruto... Oh, right, I'm Haruto.\Do you know me? response:	Haruto... Haruto...
context: Uh, I'm...\You there! Mystery man!\Where did you guys...\Haruto.\Huh?\Haruto... Oh, right, I'm Haruto.\Do you know me?\Haruto... Haruto... response:	Who's Haruto?
context: You there! Mystery man!\Where did you guys...\Haruto.\Huh?\Haruto... Oh, right, I'm Haruto.\Do you know me?\Haruto... Haruto...\Who's Haruto? response:	You...
context: Where did you guys...\Haruto.\Huh?\Haruto... Oh, right, I'm Haruto.\Do you know me?\Haruto... Haruto...\Who's Haruto?\You... response:	Get back! Stay away from me!
context: Haruto.\Huh?\Haruto... Oh, right, I'm Haruto.\Do you know me?\Haruto... Haruto...\Who's Haruto?\You...\Get back! Stay away from me! response:	Who am I?! What are you?!
context: Huh?\Haruto... Oh, right, I'm Haruto.\Do you know me?\Haruto... Haruto...\Who's Haruto?\You...\Get back! Stay away from me!\Who am I?! What are you?! response:	Tokishima! Tokishima!
context: Haruto... Oh, right, I'm Haruto.\Do you know me?\Haruto... Haruto...\Who's Haruto?\You...\Get back! Stay away from me!\Who am I?! What are you?!\Tokishima! Tokishima! response:	There's an alert, so please launch in your Valvrave.
context: Do you know me?\Haruto... Haruto...\Who's Haruto?\You...\Get back! Stay away from me!\Who am I?! What are you?!\Tokishima! Tokishima!\There's an alert, so please launch in your Valvrave. response:	Valvrave...
context: Haruto... Haruto...\Who's Haruto?\You...\Get back! Stay away from me!\Who am I?! What are you?!\Tokishima! Tokishima!\There's an alert, so please launch in your Valvrave.\Valvrave... response:	Unit 5 goes first! Got that, Haruto?
context: Who's Haruto?\You...\Get back! Stay away from me!\Who am I?! What are you?!\Tokishima! Tokishima!\There's an alert, so please launch in your Valvrave.\Valvrave...\Unit 5 goes first! Got that, Haruto? response:	Hm? Hey! Haruto!
context: You...\Get back! Stay away from me!\Who am I?! What are you?!\Tokishima! Tokishima!\There's an alert, so please launch in your Valvrave.\Valvrave...\Unit 5 goes first! Got that, Haruto?\Hm? Hey! Haruto! response:	Haruto, what are you doing?
context: Get back! Stay away from me!\Who am I?! What are you?!\Tokishima! Tokishima!\There's an alert, so please launch in your Valvrave.\Valvrave...\Unit 5 goes first! Got that, Haruto?\Hm? Hey! Haruto!\Haruto, what are you doing? response:	Sorry!
context: Who am I?! What are you?!\Tokishima! Tokishima!\There's an alert, so please launch in your Valvrave.\Valvrave...\Unit 5 goes first! Got that, Haruto?\Hm? Hey! Haruto!\Haruto, what are you doing?\Sorry! response:	Are you okay? Can you stand?
context: Tokishima! Tokishima!\There's an alert, so please launch in your Valvrave.\Valvrave...\Unit 5 goes first! Got that, Haruto?\Hm? Hey! Haruto!\Haruto, what are you doing?\Sorry!\Are you okay? Can you stand? response:	Yes, I'm fine.
context: There's an alert, so please launch in your Valvrave.\Valvrave...\Unit 5 goes first! Got that, Haruto?\Hm? Hey! Haruto!\Haruto, what are you doing?\Sorry!\Are you okay? Can you stand?\Yes, I'm fine. response:	Hey! Stand aside! I'm going first!
context: Valvrave...\Unit 5 goes first! Got that, Haruto?\Hm? Hey! Haruto!\Haruto, what are you doing?\Sorry!\Are you okay? Can you stand?\Yes, I'm fine.\Hey! Stand aside! I'm going first! response:	There's no need.
context: Unit 5 goes first! Got that, Haruto?\Hm? Hey! Haruto!\Haruto, what are you doing?\Sorry!\Are you okay? Can you stand?\Yes, I'm fine.\Hey! Stand aside! I'm going first!\There's no need. response:	Huh?
context: Hm? Hey! Haruto!\Haruto, what are you doing?\Sorry!\Are you okay? Can you stand?\Yes, I'm fine.\Hey! Stand aside! I'm going first!\There's no need.\Huh? response:	But we have incoming enemies!
context: Haruto, what are you doing?\Sorry!\Are you okay? Can you stand?\Yes, I'm fine.\Hey! Stand aside! I'm going first!\There's no need.\Huh?\But we have incoming enemies! response:	We don't.
context: Sorry!\Are you okay? Can you stand?\Yes, I'm fine.\Hey! Stand aside! I'm going first!\There's no need.\Huh?\But we have incoming enemies!\We don't. response:	I'm the one who sounded the false alarm.
context: Are you okay? Can you stand?\Yes, I'm fine.\Hey! Stand aside! I'm going first!\There's no need.\Huh?\But we have incoming enemies!\We don't.\I'm the one who sounded the false alarm. response:	Before the operation, I needed to ascertain whether or
context: Yes, I'm fine.\Hey! Stand aside! I'm going first!\There's no need.\Huh?\But we have incoming enemies!\We don't.\I'm the one who sounded the false alarm.\Before the operation, I needed to ascertain whether or response:	not our weapons were functioning properly.
context: Hey! Stand aside! I'm going first!\There's no need.\Huh?\But we have incoming enemies!\We don't.\I'm the one who sounded the false alarm.\Before the operation, I needed to ascertain whether or\not our weapons were functioning properly. response:	That jerk was testing me...
context: There's no need.\Huh?\But we have incoming enemies!\We don't.\I'm the one who sounded the false alarm.\Before the operation, I needed to ascertain whether or\not our weapons were functioning properly.\That jerk was testing me... response:	We are entering into a temporary partnership with the Dorssian Royalists.
context: Huh?\But we have incoming enemies!\We don't.\I'm the one who sounded the false alarm.\Before the operation, I needed to ascertain whether or\not our weapons were functioning properly.\That jerk was testing me...\We are entering into a temporary partnership with the Dorssian Royalists. response:	Dorssian Royalists?
context: But we have incoming enemies!\We don't.\I'm the one who sounded the false alarm.\Before the operation, I needed to ascertain whether or\not our weapons were functioning properly.\That jerk was testing me...\We are entering into a temporary partnership with the Dorssian Royalists.\Dorssian Royalists? response:	They want the royalty-based political system that existed before the coup.
context: We don't.\I'm the one who sounded the false alarm.\Before the operation, I needed to ascertain whether or\not our weapons were functioning properly.\That jerk was testing me...\We are entering into a temporary partnership with the Dorssian Royalists.\Dorssian Royalists?\They want the royalty-based political system that existed before the coup. response:	Put simply, an anti-government organization.
context: I'm the one who sounded the false alarm.\Before the operation, I needed to ascertain whether or\not our weapons were functioning properly.\That jerk was testing me...\We are entering into a temporary partnership with the Dorssian Royalists.\Dorssian Royalists?\They want the royalty-based political system that existed before the coup.\Put simply, an anti-government organization. response:	They offered to provide us with supplies, didn't they?
context: Before the operation, I needed to ascertain whether or\not our weapons were functioning properly.\That jerk was testing me...\We are entering into a temporary partnership with the Dorssian Royalists.\Dorssian Royalists?\They want the royalty-based political system that existed before the coup.\Put simply, an anti-government organization.\They offered to provide us with supplies, didn't they? response:	Why would they want to work with us?
context: not our weapons were functioning properly.\That jerk was testing me...\We are entering into a temporary partnership with the Dorssian Royalists.\Dorssian Royalists?\They want the royalty-based political system that existed before the coup.\Put simply, an anti-government organization.\They offered to provide us with supplies, didn't they?\Why would they want to work with us? response:	It's simple.
context: That jerk was testing me...\We are entering into a temporary partnership with the Dorssian Royalists.\Dorssian Royalists?\They want the royalty-based political system that existed before the coup.\Put simply, an anti-government organization.\They offered to provide us with supplies, didn't they?\Why would they want to work with us?\It's simple. response:	The Royalists need our help as much as we need theirs.
context: We are entering into a temporary partnership with the Dorssian Royalists.\Dorssian Royalists?\They want the royalty-based political system that existed before the coup.\Put simply, an anti-government organization.\They offered to provide us with supplies, didn't they?\Why would they want to work with us?\It's simple.\The Royalists need our help as much as we need theirs. response:	A Dorssian submarine known as The Phantom.
context: Dorssian Royalists?\They want the royalty-based political system that existed before the coup.\Put simply, an anti-government organization.\They offered to provide us with supplies, didn't they?\Why would they want to work with us?\It's simple.\The Royalists need our help as much as we need theirs.\A Dorssian submarine known as The Phantom. response:	Their condition for giving us supplies is that we destroy this.
context: They want the royalty-based political system that existed before the coup.\Put simply, an anti-government organization.\They offered to provide us with supplies, didn't they?\Why would they want to work with us?\It's simple.\The Royalists need our help as much as we need theirs.\A Dorssian submarine known as The Phantom.\Their condition for giving us supplies is that we destroy this. response:	Now I get it.
context: Put simply, an anti-government organization.\They offered to provide us with supplies, didn't they?\Why would they want to work with us?\It's simple.\The Royalists need our help as much as we need theirs.\A Dorssian submarine known as The Phantom.\Their condition for giving us supplies is that we destroy this.\Now I get it. response:	We scratch their back, they scratch ours.
context: They offered to provide us with supplies, didn't they?\Why would they want to work with us?\It's simple.\The Royalists need our help as much as we need theirs.\A Dorssian submarine known as The Phantom.\Their condition for giving us supplies is that we destroy this.\Now I get it.\We scratch their back, they scratch ours. response:	The operation is set to commence in 32 hours.
context: Why would they want to work with us?\It's simple.\The Royalists need our help as much as we need theirs.\A Dorssian submarine known as The Phantom.\Their condition for giving us supplies is that we destroy this.\Now I get it.\We scratch their back, they scratch ours.\The operation is set to commence in 32 hours. response:	I will tell everyone their work assignments one hour from now.
context: It's simple.\The Royalists need our help as much as we need theirs.\A Dorssian submarine known as The Phantom.\Their condition for giving us supplies is that we destroy this.\Now I get it.\We scratch their back, they scratch ours.\The operation is set to commence in 32 hours.\I will tell everyone their work assignments one hour from now. response:	An operation, huh?
context: The Royalists need our help as much as we need theirs.\A Dorssian submarine known as The Phantom.\Their condition for giving us supplies is that we destroy this.\Now I get it.\We scratch their back, they scratch ours.\The operation is set to commence in 32 hours.\I will tell everyone their work assignments one hour from now.\An operation, huh? response:	Hey, wait!
context: A Dorssian submarine known as The Phantom.\Their condition for giving us supplies is that we destroy this.\Now I get it.\We scratch their back, they scratch ours.\The operation is set to commence in 32 hours.\I will tell everyone their work assignments one hour from now.\An operation, huh?\Hey, wait! response:	Shouldn't looking for Miss Rukino come first?
context: Their condition for giving us supplies is that we destroy this.\Now I get it.\We scratch their back, they scratch ours.\The operation is set to commence in 32 hours.\I will tell everyone their work assignments one hour from now.\An operation, huh?\Hey, wait!\Shouldn't looking for Miss Rukino come first? response:	She's still missing, remember?
context: Now I get it.\We scratch their back, they scratch ours.\The operation is set to commence in 32 hours.\I will tell everyone their work assignments one hour from now.\An operation, huh?\Hey, wait!\Shouldn't looking for Miss Rukino come first?\She's still missing, remember? response:	Remember this.
context: We scratch their back, they scratch ours.\The operation is set to commence in 32 hours.\I will tell everyone their work assignments one hour from now.\An operation, huh?\Hey, wait!\Shouldn't looking for Miss Rukino come first?\She's still missing, remember?\Remember this. response:	The most important thing for a soldier is to come home alive.
context: The operation is set to commence in 32 hours.\I will tell everyone their work assignments one hour from now.\An operation, huh?\Hey, wait!\Shouldn't looking for Miss Rukino come first?\She's still missing, remember?\Remember this.\The most important thing for a soldier is to come home alive. response:	You're hurt!
context: I will tell everyone their work assignments one hour from now.\An operation, huh?\Hey, wait!\Shouldn't looking for Miss Rukino come first?\She's still missing, remember?\Remember this.\The most important thing for a soldier is to come home alive.\You're hurt! response:	It's nothing to be concerned about.
context: An operation, huh?\Hey, wait!\Shouldn't looking for Miss Rukino come first?\She's still missing, remember?\Remember this.\The most important thing for a soldier is to come home alive.\You're hurt!\It's nothing to be concerned about. response:	Compared to your life, this is trivial.
context: Hey, wait!\Shouldn't looking for Miss Rukino come first?\She's still missing, remember?\Remember this.\The most important thing for a soldier is to come home alive.\You're hurt!\It's nothing to be concerned about.\Compared to your life, this is trivial. response:	He saved my life? Back during the cave-in?
context: Shouldn't looking for Miss Rukino come first?\She's still missing, remember?\Remember this.\The most important thing for a soldier is to come home alive.\You're hurt!\It's nothing to be concerned about.\Compared to your life, this is trivial.\He saved my life? Back during the cave-in? response:	Good workout!
context: She's still missing, remember?\Remember this.\The most important thing for a soldier is to come home alive.\You're hurt!\It's nothing to be concerned about.\Compared to your life, this is trivial.\He saved my life? Back during the cave-in?\Good workout! response:	Isn't this early for you?
context: Remember this.\The most important thing for a soldier is to come home alive.\You're hurt!\It's nothing to be concerned about.\Compared to your life, this is trivial.\He saved my life? Back during the cave-in?\Good workout!\Isn't this early for you? response:	I've been known to come in early sometimes.
context: The most important thing for a soldier is to come home alive.\You're hurt!\It's nothing to be concerned about.\Compared to your life, this is trivial.\He saved my life? Back during the cave-in?\Good workout!\Isn't this early for you?\I've been known to come in early sometimes. response:	I hear that they located A-drei.
context: You're hurt!\It's nothing to be concerned about.\Compared to your life, this is trivial.\He saved my life? Back during the cave-in?\Good workout!\Isn't this early for you?\I've been known to come in early sometimes.\I hear that they located A-drei. response:	I heard, I heard.
context: It's nothing to be concerned about.\Compared to your life, this is trivial.\He saved my life? Back during the cave-in?\Good workout!\Isn't this early for you?\I've been known to come in early sometimes.\I hear that they located A-drei.\I heard, I heard. response:	They said his injuries weren't very severe, either.
context: Compared to your life, this is trivial.\He saved my life? Back during the cave-in?\Good workout!\Isn't this early for you?\I've been known to come in early sometimes.\I hear that they located A-drei.\I heard, I heard.\They said his injuries weren't very severe, either. response:	That's good to hear.
context: He saved my life? Back during the cave-in?\Good workout!\Isn't this early for you?\I've been known to come in early sometimes.\I hear that they located A-drei.\I heard, I heard.\They said his injuries weren't very severe, either.\That's good to hear. response:	That guy has the devil's own luck.
context: Good workout!\Isn't this early for you?\I've been known to come in early sometimes.\I hear that they located A-drei.\I heard, I heard.\They said his injuries weren't very severe, either.\That's good to hear.\That guy has the devil's own luck. response:	For former royalty, he's got a knack for survival.
context: Isn't this early for you?\I've been known to come in early sometimes.\I hear that they located A-drei.\I heard, I heard.\They said his injuries weren't very severe, either.\That's good to hear.\That guy has the devil's own luck.\For former royalty, he's got a knack for survival. response:	Survival, huh?
context: I've been known to come in early sometimes.\I hear that they located A-drei.\I heard, I heard.\They said his injuries weren't very severe, either.\That's good to hear.\That guy has the devil's own luck.\For former royalty, he's got a knack for survival.\Survival, huh? response:	You, on the other hand, don't.
context: I hear that they located A-drei.\I heard, I heard.\They said his injuries weren't very severe, either.\That's good to hear.\That guy has the devil's own luck.\For former royalty, he's got a knack for survival.\Survival, huh?\You, on the other hand, don't. response:	Who was it who forced me to survive?
context: I heard, I heard.\They said his injuries weren't very severe, either.\That's good to hear.\That guy has the devil's own luck.\For former royalty, he's got a knack for survival.\Survival, huh?\You, on the other hand, don't.\Who was it who forced me to survive? response:	Huh?
context: They said his injuries weren't very severe, either.\That's good to hear.\That guy has the devil's own luck.\For former royalty, he's got a knack for survival.\Survival, huh?\You, on the other hand, don't.\Who was it who forced me to survive?\Huh? response:	That incident 12 years ago.
context: That's good to hear.\That guy has the devil's own luck.\For former royalty, he's got a knack for survival.\Survival, huh?\You, on the other hand, don't.\Who was it who forced me to survive?\Huh?\That incident 12 years ago. response:	Don't you remember?
context: That guy has the devil's own luck.\For former royalty, he's got a knack for survival.\Survival, huh?\You, on the other hand, don't.\Who was it who forced me to survive?\Huh?\That incident 12 years ago.\Don't you remember? response:	Oh, right!
context: For former royalty, he's got a knack for survival.\Survival, huh?\You, on the other hand, don't.\Who was it who forced me to survive?\Huh?\That incident 12 years ago.\Don't you remember?\Oh, right! response:	That was the first time I'd ever felt
context: Survival, huh?\You, on the other hand, don't.\Who was it who forced me to survive?\Huh?\That incident 12 years ago.\Don't you remember?\Oh, right!\That was the first time I'd ever felt response:	death breathing down my neck.
context: You, on the other hand, don't.\Who was it who forced me to survive?\Huh?\That incident 12 years ago.\Don't you remember?\Oh, right!\That was the first time I'd ever felt\death breathing down my neck. response:	Man, what a disaster that was.
context: Who was it who forced me to survive?\Huh?\That incident 12 years ago.\Don't you remember?\Oh, right!\That was the first time I'd ever felt\death breathing down my neck.\Man, what a disaster that was. response:	We were sent out to eliminate a terrorist group,
context: Huh?\That incident 12 years ago.\Don't you remember?\Oh, right!\That was the first time I'd ever felt\death breathing down my neck.\Man, what a disaster that was.\We were sent out to eliminate a terrorist group, response:	but you'd only equipped us with handguns.
context: That incident 12 years ago.\Don't you remember?\Oh, right!\That was the first time I'd ever felt\death breathing down my neck.\Man, what a disaster that was.\We were sent out to eliminate a terrorist group,\but you'd only equipped us with handguns. response:	What? You're the one who rushed out ahead of us without
context: Don't you remember?\Oh, right!\That was the first time I'd ever felt\death breathing down my neck.\Man, what a disaster that was.\We were sent out to eliminate a terrorist group,\but you'd only equipped us with handguns.\What? You're the one who rushed out ahead of us without response:	a proper weapon, H-neun!
context: Oh, right!\That was the first time I'd ever felt\death breathing down my neck.\Man, what a disaster that was.\We were sent out to eliminate a terrorist group,\but you'd only equipped us with handguns.\What? You're the one who rushed out ahead of us without\a proper weapon, H-neun! response:	My intent was to be meticulous in my preparations.
context: That was the first time I'd ever felt\death breathing down my neck.\Man, what a disaster that was.\We were sent out to eliminate a terrorist group,\but you'd only equipped us with handguns.\What? You're the one who rushed out ahead of us without\a proper weapon, H-neun!\My intent was to be meticulous in my preparations. response:	Oh? Was it, now?
context: death breathing down my neck.\Man, what a disaster that was.\We were sent out to eliminate a terrorist group,\but you'd only equipped us with handguns.\What? You're the one who rushed out ahead of us without\a proper weapon, H-neun!\My intent was to be meticulous in my preparations.\Oh? Was it, now? response:	You're the who says crazy things about not going by the book.
context: Man, what a disaster that was.\We were sent out to eliminate a terrorist group,\but you'd only equipped us with handguns.\What? You're the one who rushed out ahead of us without\a proper weapon, H-neun!\My intent was to be meticulous in my preparations.\Oh? Was it, now?\You're the who says crazy things about not going by the book. response:	You were a bookworm then, and you're a bookworm now.
context: We were sent out to eliminate a terrorist group,\but you'd only equipped us with handguns.\What? You're the one who rushed out ahead of us without\a proper weapon, H-neun!\My intent was to be meticulous in my preparations.\Oh? Was it, now?\You're the who says crazy things about not going by the book.\You were a bookworm then, and you're a bookworm now. response:	You probably just took too long to get ready.
context: but you'd only equipped us with handguns.\What? You're the one who rushed out ahead of us without\a proper weapon, H-neun!\My intent was to be meticulous in my preparations.\Oh? Was it, now?\You're the who says crazy things about not going by the book.\You were a bookworm then, and you're a bookworm now.\You probably just took too long to get ready. response:	You instantly forget things when it's in your best interest to do so.
context: What? You're the one who rushed out ahead of us without\a proper weapon, H-neun!\My intent was to be meticulous in my preparations.\Oh? Was it, now?\You're the who says crazy things about not going by the book.\You were a bookworm then, and you're a bookworm now.\You probably just took too long to get ready.\You instantly forget things when it's in your best interest to do so. response:	Fine, fine.
context: a proper weapon, H-neun!\My intent was to be meticulous in my preparations.\Oh? Was it, now?\You're the who says crazy things about not going by the book.\You were a bookworm then, and you're a bookworm now.\You probably just took too long to get ready.\You instantly forget things when it's in your best interest to do so.\Fine, fine. response:	We came this close to dying.
context: My intent was to be meticulous in my preparations.\Oh? Was it, now?\You're the who says crazy things about not going by the book.\You were a bookworm then, and you're a bookworm now.\You probably just took too long to get ready.\You instantly forget things when it's in your best interest to do so.\Fine, fine.\We came this close to dying. response:	I guess we had the devil's own luck, too.
context: Oh? Was it, now?\You're the who says crazy things about not going by the book.\You were a bookworm then, and you're a bookworm now.\You probably just took too long to get ready.\You instantly forget things when it's in your best interest to do so.\Fine, fine.\We came this close to dying.\I guess we had the devil's own luck, too. response:	You're wrong. What saved us was Captain Cain.
