context: Summer Camps response:	Libra
context: and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
context: What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender response:	Jun!
context: The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\Jun! response:	Are you all right?
context: I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\Jun!\Are you all right? response:	Hmm? What is it?
context: and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\Jun!\Are you all right?\Hmm? What is it? response:	Thank you very much.
context: You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\Jun!\Are you all right?\Hmm? What is it?\Thank you very much. response:	There's no need to blame yourself. You're only human, aren't you?
context: and, We will always be together\Your hands as I held them were warm\and tender\Jun!\Are you all right?\Hmm? What is it?\Thank you very much.\There's no need to blame yourself. You're only human, aren't you? response:	What a shame.
context: Your hands as I held them were warm\and tender\Jun!\Are you all right?\Hmm? What is it?\Thank you very much.\There's no need to blame yourself. You're only human, aren't you?\What a shame. response:	We let them escape, eh?
context: and tender\Jun!\Are you all right?\Hmm? What is it?\Thank you very much.\There's no need to blame yourself. You're only human, aren't you?\What a shame.\We let them escape, eh? response:	It seems as though we have a bingo.
context: Jun!\Are you all right?\Hmm? What is it?\Thank you very much.\There's no need to blame yourself. You're only human, aren't you?\What a shame.\We let them escape, eh?\It seems as though we have a bingo. response:	Okay, I'm gonna start filming!
context: Are you all right?\Hmm? What is it?\Thank you very much.\There's no need to blame yourself. You're only human, aren't you?\What a shame.\We let them escape, eh?\It seems as though we have a bingo.\Okay, I'm gonna start filming! response:	Scene where the heroine finds out about her lover's death, take five!
context: Hmm? What is it?\Thank you very much.\There's no need to blame yourself. You're only human, aren't you?\What a shame.\We let them escape, eh?\It seems as though we have a bingo.\Okay, I'm gonna start filming!\Scene where the heroine finds out about her lover's death, take five! response:	One week?
context: Thank you very much.\There's no need to blame yourself. You're only human, aren't you?\What a shame.\We let them escape, eh?\It seems as though we have a bingo.\Okay, I'm gonna start filming!\Scene where the heroine finds out about her lover's death, take five!\One week? response:	Isn't it bad for the leader to be gone that long?
context: There's no need to blame yourself. You're only human, aren't you?\What a shame.\We let them escape, eh?\It seems as though we have a bingo.\Okay, I'm gonna start filming!\Scene where the heroine finds out about her lover's death, take five!\One week?\Isn't it bad for the leader to be gone that long? response:	Some matters can't be settled unless I go in person.
context: What a shame.\We let them escape, eh?\It seems as though we have a bingo.\Okay, I'm gonna start filming!\Scene where the heroine finds out about her lover's death, take five!\One week?\Isn't it bad for the leader to be gone that long?\Some matters can't be settled unless I go in person. response:	Behave yourself and enjoy school for a while.
context: We let them escape, eh?\It seems as though we have a bingo.\Okay, I'm gonna start filming!\Scene where the heroine finds out about her lover's death, take five!\One week?\Isn't it bad for the leader to be gone that long?\Some matters can't be settled unless I go in person.\Behave yourself and enjoy school for a while. response:	Yeah, yeah, I'll be a good boy.
context: It seems as though we have a bingo.\Okay, I'm gonna start filming!\Scene where the heroine finds out about her lover's death, take five!\One week?\Isn't it bad for the leader to be gone that long?\Some matters can't be settled unless I go in person.\Behave yourself and enjoy school for a while.\Yeah, yeah, I'll be a good boy. response:	It's not true. I can't believe it.
context: Okay, I'm gonna start filming!\Scene where the heroine finds out about her lover's death, take five!\One week?\Isn't it bad for the leader to be gone that long?\Some matters can't be settled unless I go in person.\Behave yourself and enjoy school for a while.\Yeah, yeah, I'll be a good boy.\It's not true. I can't believe it. response:	Cut, cut!
context: Scene where the heroine finds out about her lover's death, take five!\One week?\Isn't it bad for the leader to be gone that long?\Some matters can't be settled unless I go in person.\Behave yourself and enjoy school for a while.\Yeah, yeah, I'll be a good boy.\It's not true. I can't believe it.\Cut, cut! response:	Shu's just different lately, somehow. Bolder, or something...
context: One week?\Isn't it bad for the leader to be gone that long?\Some matters can't be settled unless I go in person.\Behave yourself and enjoy school for a while.\Yeah, yeah, I'll be a good boy.\It's not true. I can't believe it.\Cut, cut!\Shu's just different lately, somehow. Bolder, or something... response:	He's like a different person.
context: Isn't it bad for the leader to be gone that long?\Some matters can't be settled unless I go in person.\Behave yourself and enjoy school for a while.\Yeah, yeah, I'll be a good boy.\It's not true. I can't believe it.\Cut, cut!\Shu's just different lately, somehow. Bolder, or something...\He's like a different person. response:	Maybe something happened in Oshima.
context: Some matters can't be settled unless I go in person.\Behave yourself and enjoy school for a while.\Yeah, yeah, I'll be a good boy.\It's not true. I can't believe it.\Cut, cut!\Shu's just different lately, somehow. Bolder, or something...\He's like a different person.\Maybe something happened in Oshima. response:	Huh?
context: Behave yourself and enjoy school for a while.\Yeah, yeah, I'll be a good boy.\It's not true. I can't believe it.\Cut, cut!\Shu's just different lately, somehow. Bolder, or something...\He's like a different person.\Maybe something happened in Oshima.\Huh? response:	A vacation on a southern island! A summer love affair!
context: Yeah, yeah, I'll be a good boy.\It's not true. I can't believe it.\Cut, cut!\Shu's just different lately, somehow. Bolder, or something...\He's like a different person.\Maybe something happened in Oshima.\Huh?\A vacation on a southern island! A summer love affair! response:	And so the young man climbs the stairway to adulthood!
context: It's not true. I can't believe it.\Cut, cut!\Shu's just different lately, somehow. Bolder, or something...\He's like a different person.\Maybe something happened in Oshima.\Huh?\A vacation on a southern island! A summer love affair!\And so the young man climbs the stairway to adulthood! response:	Stop it!
context: Cut, cut!\Shu's just different lately, somehow. Bolder, or something...\He's like a different person.\Maybe something happened in Oshima.\Huh?\A vacation on a southern island! A summer love affair!\And so the young man climbs the stairway to adulthood!\Stop it! response:	Seriously, though,
context: Shu's just different lately, somehow. Bolder, or something...\He's like a different person.\Maybe something happened in Oshima.\Huh?\A vacation on a southern island! A summer love affair!\And so the young man climbs the stairway to adulthood!\Stop it!\Seriously, though, response:	Life really doesn't go the way we want it to, does it?
context: He's like a different person.\Maybe something happened in Oshima.\Huh?\A vacation on a southern island! A summer love affair!\And so the young man climbs the stairway to adulthood!\Stop it!\Seriously, though,\Life really doesn't go the way we want it to, does it? response:	Are you talking about Yahiro?
context: Maybe something happened in Oshima.\Huh?\A vacation on a southern island! A summer love affair!\And so the young man climbs the stairway to adulthood!\Stop it!\Seriously, though,\Life really doesn't go the way we want it to, does it?\Are you talking about Yahiro? response:	I even went to the orphanage, but they say he hasn't visited.
context: Huh?\A vacation on a southern island! A summer love affair!\And so the young man climbs the stairway to adulthood!\Stop it!\Seriously, though,\Life really doesn't go the way we want it to, does it?\Are you talking about Yahiro?\I even went to the orphanage, but they say he hasn't visited. response:	We used to play there together all the time as kids, too...
context: A vacation on a southern island! A summer love affair!\And so the young man climbs the stairway to adulthood!\Stop it!\Seriously, though,\Life really doesn't go the way we want it to, does it?\Are you talking about Yahiro?\I even went to the orphanage, but they say he hasn't visited.\We used to play there together all the time as kids, too... response:	What I'm looking for is at the aquarium?
context: And so the young man climbs the stairway to adulthood!\Stop it!\Seriously, though,\Life really doesn't go the way we want it to, does it?\Are you talking about Yahiro?\I even went to the orphanage, but they say he hasn't visited.\We used to play there together all the time as kids, too...\What I'm looking for is at the aquarium? response:	I'm not looking for a fish, you know...
context: Stop it!\Seriously, though,\Life really doesn't go the way we want it to, does it?\Are you talking about Yahiro?\I even went to the orphanage, but they say he hasn't visited.\We used to play there together all the time as kids, too...\What I'm looking for is at the aquarium?\I'm not looking for a fish, you know... response:	What about you?
context: Seriously, though,\Life really doesn't go the way we want it to, does it?\Are you talking about Yahiro?\I even went to the orphanage, but they say he hasn't visited.\We used to play there together all the time as kids, too...\What I'm looking for is at the aquarium?\I'm not looking for a fish, you know...\What about you? response:	Um, Your lucky item of love is a tiger-striped tea kettle.
context: Life really doesn't go the way we want it to, does it?\Are you talking about Yahiro?\I even went to the orphanage, but they say he hasn't visited.\We used to play there together all the time as kids, too...\What I'm looking for is at the aquarium?\I'm not looking for a fish, you know...\What about you?\Um, Your lucky item of love is a tiger-striped tea kettle. response:	Huh?! Where are you supposed to find that?
context: Are you talking about Yahiro?\I even went to the orphanage, but they say he hasn't visited.\We used to play there together all the time as kids, too...\What I'm looking for is at the aquarium?\I'm not looking for a fish, you know...\What about you?\Um, Your lucky item of love is a tiger-striped tea kettle.\Huh?! Where are you supposed to find that? response:	It's a...
context: I even went to the orphanage, but they say he hasn't visited.\We used to play there together all the time as kids, too...\What I'm looking for is at the aquarium?\I'm not looking for a fish, you know...\What about you?\Um, Your lucky item of love is a tiger-striped tea kettle.\Huh?! Where are you supposed to find that?\It's a... response:	tiger-striped tea kettle.
context: We used to play there together all the time as kids, too...\What I'm looking for is at the aquarium?\I'm not looking for a fish, you know...\What about you?\Um, Your lucky item of love is a tiger-striped tea kettle.\Huh?! Where are you supposed to find that?\It's a...\tiger-striped tea kettle. response:	Yeah...
context: What I'm looking for is at the aquarium?\I'm not looking for a fish, you know...\What about you?\Um, Your lucky item of love is a tiger-striped tea kettle.\Huh?! Where are you supposed to find that?\It's a...\tiger-striped tea kettle.\Yeah... response:	Pardon me!
context: I'm not looking for a fish, you know...\What about you?\Um, Your lucky item of love is a tiger-striped tea kettle.\Huh?! Where are you supposed to find that?\It's a...\tiger-striped tea kettle.\Yeah...\Pardon me! response:	Shu!
context: What about you?\Um, Your lucky item of love is a tiger-striped tea kettle.\Huh?! Where are you supposed to find that?\It's a...\tiger-striped tea kettle.\Yeah...\Pardon me!\Shu! response:	Huh, so you two haven't gone home yet?
context: Um, Your lucky item of love is a tiger-striped tea kettle.\Huh?! Where are you supposed to find that?\It's a...\tiger-striped tea kettle.\Yeah...\Pardon me!\Shu!\Huh, so you two haven't gone home yet? response:	Is this yours, Ouma?
context: Huh?! Where are you supposed to find that?\It's a...\tiger-striped tea kettle.\Yeah...\Pardon me!\Shu!\Huh, so you two haven't gone home yet?\Is this yours, Ouma? response:	Souta's using it for the film. It's the lover's... memento, I guess?
context: It's a...\tiger-striped tea kettle.\Yeah...\Pardon me!\Shu!\Huh, so you two haven't gone home yet?\Is this yours, Ouma?\Souta's using it for the film. It's the lover's... memento, I guess? response:	Anyway, he says he's gonna have Inori hold it.
context: tiger-striped tea kettle.\Yeah...\Pardon me!\Shu!\Huh, so you two haven't gone home yet?\Is this yours, Ouma?\Souta's using it for the film. It's the lover's... memento, I guess?\Anyway, he says he's gonna have Inori hold it. response:	I forgot something in the club room!
context: Yeah...\Pardon me!\Shu!\Huh, so you two haven't gone home yet?\Is this yours, Ouma?\Souta's using it for the film. It's the lover's... memento, I guess?\Anyway, he says he's gonna have Inori hold it.\I forgot something in the club room! response:	I'll go deliver this for you, so you go shopping with Hare for me, okay?
context: Pardon me!\Shu!\Huh, so you two haven't gone home yet?\Is this yours, Ouma?\Souta's using it for the film. It's the lover's... memento, I guess?\Anyway, he says he's gonna have Inori hold it.\I forgot something in the club room!\I'll go deliver this for you, so you go shopping with Hare for me, okay? response:	Um, sure?
context: Shu!\Huh, so you two haven't gone home yet?\Is this yours, Ouma?\Souta's using it for the film. It's the lover's... memento, I guess?\Anyway, he says he's gonna have Inori hold it.\I forgot something in the club room!\I'll go deliver this for you, so you go shopping with Hare for me, okay?\Um, sure? response:	Wai Kanon!
context: Huh, so you two haven't gone home yet?\Is this yours, Ouma?\Souta's using it for the film. It's the lover's... memento, I guess?\Anyway, he says he's gonna have Inori hold it.\I forgot something in the club room!\I'll go deliver this for you, so you go shopping with Hare for me, okay?\Um, sure?\Wai Kanon! response:	It's your lucky chance!
context: Is this yours, Ouma?\Souta's using it for the film. It's the lover's... memento, I guess?\Anyway, he says he's gonna have Inori hold it.\I forgot something in the club room!\I'll go deliver this for you, so you go shopping with Hare for me, okay?\Um, sure?\Wai Kanon!\It's your lucky chance! response:	Go for it.
context: Souta's using it for the film. It's the lover's... memento, I guess?\Anyway, he says he's gonna have Inori hold it.\I forgot something in the club room!\I'll go deliver this for you, so you go shopping with Hare for me, okay?\Um, sure?\Wai Kanon!\It's your lucky chance!\Go for it. response:	Go for it! Lucky chance!
context: Anyway, he says he's gonna have Inori hold it.\I forgot something in the club room!\I'll go deliver this for you, so you go shopping with Hare for me, okay?\Um, sure?\Wai Kanon!\It's your lucky chance!\Go for it.\Go for it! Lucky chance! response:	What does she mean, lucky chance?
context: I forgot something in the club room!\I'll go deliver this for you, so you go shopping with Hare for me, okay?\Um, sure?\Wai Kanon!\It's your lucky chance!\Go for it.\Go for it! Lucky chance!\What does she mean, lucky chance? response:	I'm told there's a ghost about.
context: I'll go deliver this for you, so you go shopping with Hare for me, okay?\Um, sure?\Wai Kanon!\It's your lucky chance!\Go for it.\Go for it! Lucky chance!\What does she mean, lucky chance?\I'm told there's a ghost about. response:	Someone entered the Oshima lab with Dr. Ouma Kurosu's ID.
context: Um, sure?\Wai Kanon!\It's your lucky chance!\Go for it.\Go for it! Lucky chance!\What does she mean, lucky chance?\I'm told there's a ghost about.\Someone entered the Oshima lab with Dr. Ouma Kurosu's ID. response:	Dr. Keido Shuichiro, you were once close colleagues.
context: Wai Kanon!\It's your lucky chance!\Go for it.\Go for it! Lucky chance!\What does she mean, lucky chance?\I'm told there's a ghost about.\Someone entered the Oshima lab with Dr. Ouma Kurosu's ID.\Dr. Keido Shuichiro, you were once close colleagues. response:	Can you offer any explanation?
context: It's your lucky chance!\Go for it.\Go for it! Lucky chance!\What does she mean, lucky chance?\I'm told there's a ghost about.\Someone entered the Oshima lab with Dr. Ouma Kurosu's ID.\Dr. Keido Shuichiro, you were once close colleagues.\Can you offer any explanation? response:	No, Sir, I can't.
context: Go for it.\Go for it! Lucky chance!\What does she mean, lucky chance?\I'm told there's a ghost about.\Someone entered the Oshima lab with Dr. Ouma Kurosu's ID.\Dr. Keido Shuichiro, you were once close colleagues.\Can you offer any explanation?\No, Sir, I can't. response:	Hey.
context: Go for it! Lucky chance!\What does she mean, lucky chance?\I'm told there's a ghost about.\Someone entered the Oshima lab with Dr. Ouma Kurosu's ID.\Dr. Keido Shuichiro, you were once close colleagues.\Can you offer any explanation?\No, Sir, I can't.\Hey. response:	Where are we getting off? For your shopping.
context: What does she mean, lucky chance?\I'm told there's a ghost about.\Someone entered the Oshima lab with Dr. Ouma Kurosu's ID.\Dr. Keido Shuichiro, you were once close colleagues.\Can you offer any explanation?\No, Sir, I can't.\Hey.\Where are we getting off? For your shopping. response:	Will you have lots of bags?
context: I'm told there's a ghost about.\Someone entered the Oshima lab with Dr. Ouma Kurosu's ID.\Dr. Keido Shuichiro, you were once close colleagues.\Can you offer any explanation?\No, Sir, I can't.\Hey.\Where are we getting off? For your shopping.\Will you have lots of bags? response:	Oh! Yeah, I will.
context: Someone entered the Oshima lab with Dr. Ouma Kurosu's ID.\Dr. Keido Shuichiro, you were once close colleagues.\Can you offer any explanation?\No, Sir, I can't.\Hey.\Where are we getting off? For your shopping.\Will you have lots of bags?\Oh! Yeah, I will. response:	I wonder if we'll be able to carry them all...
context: Dr. Keido Shuichiro, you were once close colleagues.\Can you offer any explanation?\No, Sir, I can't.\Hey.\Where are we getting off? For your shopping.\Will you have lots of bags?\Oh! Yeah, I will.\I wonder if we'll be able to carry them all... response:	Um!
context: Can you offer any explanation?\No, Sir, I can't.\Hey.\Where are we getting off? For your shopping.\Will you have lots of bags?\Oh! Yeah, I will.\I wonder if we'll be able to carry them all...\Um! response:	Hare... are you okay?
context: No, Sir, I can't.\Hey.\Where are we getting off? For your shopping.\Will you have lots of bags?\Oh! Yeah, I will.\I wonder if we'll be able to carry them all...\Um!\Hare... are you okay? response:	Shu, I...
context: Hey.\Where are we getting off? For your shopping.\Will you have lots of bags?\Oh! Yeah, I will.\I wonder if we'll be able to carry them all...\Um!\Hare... are you okay?\Shu, I... response:	To me, you're...
context: Where are we getting off? For your shopping.\Will you have lots of bags?\Oh! Yeah, I will.\I wonder if we'll be able to carry them all...\Um!\Hare... are you okay?\Shu, I...\To me, you're... response:	Dammit.
context: Will you have lots of bags?\Oh! Yeah, I will.\I wonder if we'll be able to carry them all...\Um!\Hare... are you okay?\Shu, I...\To me, you're...\Dammit. response:	Yahiro.
context: Oh! Yeah, I will.\I wonder if we'll be able to carry them all...\Um!\Hare... are you okay?\Shu, I...\To me, you're...\Dammit.\Yahiro. response:	Shu.
context: I wonder if we'll be able to carry them all...\Um!\Hare... are you okay?\Shu, I...\To me, you're...\Dammit.\Yahiro.\Shu. response:	Oho, having a little fun?
context: Um!\Hare... are you okay?\Shu, I...\To me, you're...\Dammit.\Yahiro.\Shu.\Oho, having a little fun? response:	No, Yahiro, this is just
context: Hare... are you okay?\Shu, I...\To me, you're...\Dammit.\Yahiro.\Shu.\Oho, having a little fun?\No, Yahiro, this is just response:	Yahiro. Is that all you have to say to me?
context: Shu, I...\To me, you're...\Dammit.\Yahiro.\Shu.\Oho, having a little fun?\No, Yahiro, this is just\Yahiro. Is that all you have to say to me? response:	What do you want me to say? You want to air everything out right here?
context: To me, you're...\Dammit.\Yahiro.\Shu.\Oho, having a little fun?\No, Yahiro, this is just\Yahiro. Is that all you have to say to me?\What do you want me to say? You want to air everything out right here? response:	Hare, I need you to go shopping by yourself, please.
context: Dammit.\Yahiro.\Shu.\Oho, having a little fun?\No, Yahiro, this is just\Yahiro. Is that all you have to say to me?\What do you want me to say? You want to air everything out right here?\Hare, I need you to go shopping by yourself, please. response:	Huh? But...
context: Yahiro.\Shu.\Oho, having a little fun?\No, Yahiro, this is just\Yahiro. Is that all you have to say to me?\What do you want me to say? You want to air everything out right here?\Hare, I need you to go shopping by yourself, please.\Huh? But... response:	There's something I want to talk with Yahiro about.
context: Shu.\Oho, having a little fun?\No, Yahiro, this is just\Yahiro. Is that all you have to say to me?\What do you want me to say? You want to air everything out right here?\Hare, I need you to go shopping by yourself, please.\Huh? But...\There's something I want to talk with Yahiro about. response:	Ouma Shu. Keeping an eye on you...
context: Oho, having a little fun?\No, Yahiro, this is just\Yahiro. Is that all you have to say to me?\What do you want me to say? You want to air everything out right here?\Hare, I need you to go shopping by yourself, please.\Huh? But...\There's something I want to talk with Yahiro about.\Ouma Shu. Keeping an eye on you... response:	They told me they were going to put Jun down.
context: No, Yahiro, this is just\Yahiro. Is that all you have to say to me?\What do you want me to say? You want to air everything out right here?\Hare, I need you to go shopping by yourself, please.\Huh? But...\There's something I want to talk with Yahiro about.\Ouma Shu. Keeping an eye on you...\They told me they were going to put Jun down. response:	So we took advantage of the confusion and ran away.
context: Yahiro. Is that all you have to say to me?\What do you want me to say? You want to air everything out right here?\Hare, I need you to go shopping by yourself, please.\Huh? But...\There's something I want to talk with Yahiro about.\Ouma Shu. Keeping an eye on you...\They told me they were going to put Jun down.\So we took advantage of the confusion and ran away. response:	I figured I couldn't let him stay there any longer.
context: What do you want me to say? You want to air everything out right here?\Hare, I need you to go shopping by yourself, please.\Huh? But...\There's something I want to talk with Yahiro about.\Ouma Shu. Keeping an eye on you...\They told me they were going to put Jun down.\So we took advantage of the confusion and ran away.\I figured I couldn't let him stay there any longer. response:	Go ahead and laugh.
context: Hare, I need you to go shopping by yourself, please.\Huh? But...\There's something I want to talk with Yahiro about.\Ouma Shu. Keeping an eye on you...\They told me they were going to put Jun down.\So we took advantage of the confusion and ran away.\I figured I couldn't let him stay there any longer.\Go ahead and laugh. response:	I sold you out to get us into that place,
context: Huh? But...\There's something I want to talk with Yahiro about.\Ouma Shu. Keeping an eye on you...\They told me they were going to put Jun down.\So we took advantage of the confusion and ran away.\I figured I couldn't let him stay there any longer.\Go ahead and laugh.\I sold you out to get us into that place, response:	and in the end I ran away from it.
context: There's something I want to talk with Yahiro about.\Ouma Shu. Keeping an eye on you...\They told me they were going to put Jun down.\So we took advantage of the confusion and ran away.\I figured I couldn't let him stay there any longer.\Go ahead and laugh.\I sold you out to get us into that place,\and in the end I ran away from it. response:	Jun!
context: Ouma Shu. Keeping an eye on you...\They told me they were going to put Jun down.\So we took advantage of the confusion and ran away.\I figured I couldn't let him stay there any longer.\Go ahead and laugh.\I sold you out to get us into that place,\and in the end I ran away from it.\Jun! response:	Did you fall again? Do you hurt anywhere?
context: They told me they were going to put Jun down.\So we took advantage of the confusion and ran away.\I figured I couldn't let him stay there any longer.\Go ahead and laugh.\I sold you out to get us into that place,\and in the end I ran away from it.\Jun!\Did you fall again? Do you hurt anywhere? response:	It's okay, Jun.
context: So we took advantage of the confusion and ran away.\I figured I couldn't let him stay there any longer.\Go ahead and laugh.\I sold you out to get us into that place,\and in the end I ran away from it.\Jun!\Did you fall again? Do you hurt anywhere?\It's okay, Jun. response:	This is my...
context: I figured I couldn't let him stay there any longer.\Go ahead and laugh.\I sold you out to get us into that place,\and in the end I ran away from it.\Jun!\Did you fall again? Do you hurt anywhere?\It's okay, Jun.\This is my... response:	friend.
context: Go ahead and laugh.\I sold you out to get us into that place,\and in the end I ran away from it.\Jun!\Did you fall again? Do you hurt anywhere?\It's okay, Jun.\This is my...\friend. response:	We've acquired the fugitive Cancerous.
context: I sold you out to get us into that place,\and in the end I ran away from it.\Jun!\Did you fall again? Do you hurt anywhere?\It's okay, Jun.\This is my...\friend.\We've acquired the fugitive Cancerous. response:	Hell yeah! Nice guts!
context: and in the end I ran away from it.\Jun!\Did you fall again? Do you hurt anywhere?\It's okay, Jun.\This is my...\friend.\We've acquired the fugitive Cancerous.\Hell yeah! Nice guts! response:	Do you really need my Endlave for a simple little Cancerous hunt?
context: Jun!\Did you fall again? Do you hurt anywhere?\It's okay, Jun.\This is my...\friend.\We've acquired the fugitive Cancerous.\Hell yeah! Nice guts!\Do you really need my Endlave for a simple little Cancerous hunt? response:	No, no, boy!
context: Did you fall again? Do you hurt anywhere?\It's okay, Jun.\This is my...\friend.\We've acquired the fugitive Cancerous.\Hell yeah! Nice guts!\Do you really need my Endlave for a simple little Cancerous hunt?\No, no, boy! response:	You know what they say, a dragon goes full force even against a slime!
