context: Miyazawa? response:	Thanks for the notes.
context: She's smart... sweet... cute...\Yes!\I wish I could be like you.\I never would have thought\such perfect people existed.\Yes!\Miyazawa, you're amazing!\She's smart... sweet... cute... response:	So that's how I look in other people's eyes.
context: Yes!\I wish I could be like you.\I never would have thought\such perfect people existed.\Yes!\Miyazawa, you're amazing!\She's smart... sweet... cute...\So that's how I look in other people's eyes. response:	Towering above the crowd.
context: I wish I could be like you.\I never would have thought\such perfect people existed.\Yes!\Miyazawa, you're amazing!\She's smart... sweet... cute...\So that's how I look in other people's eyes.\Towering above the crowd. response:	The object of admiration.
context: I never would have thought\such perfect people existed.\Yes!\Miyazawa, you're amazing!\She's smart... sweet... cute...\So that's how I look in other people's eyes.\Towering above the crowd.\The object of admiration. response:	That's what I love about myself.
context: such perfect people existed.\Yes!\Miyazawa, you're amazing!\She's smart... sweet... cute...\So that's how I look in other people's eyes.\Towering above the crowd.\The object of admiration.\That's what I love about myself. response:	But...since entering this high school,
context: Yes!\Miyazawa, you're amazing!\She's smart... sweet... cute...\So that's how I look in other people's eyes.\Towering above the crowd.\The object of admiration.\That's what I love about myself.\But...since entering this high school, response:	I've been irritated.
context: Miyazawa, you're amazing!\She's smart... sweet... cute...\So that's how I look in other people's eyes.\Towering above the crowd.\The object of admiration.\That's what I love about myself.\But...since entering this high school,\I've been irritated. response:	Both our class chairs are
context: She's smart... sweet... cute...\So that's how I look in other people's eyes.\Towering above the crowd.\The object of admiration.\That's what I love about myself.\But...since entering this high school,\I've been irritated.\Both our class chairs are response:	really awesome,
context: So that's how I look in other people's eyes.\Towering above the crowd.\The object of admiration.\That's what I love about myself.\But...since entering this high school,\I've been irritated.\Both our class chairs are\really awesome, response:	aren't they?
context: Towering above the crowd.\The object of admiration.\That's what I love about myself.\But...since entering this high school,\I've been irritated.\Both our class chairs are\really awesome,\aren't they? response:	Why?
context: The object of admiration.\That's what I love about myself.\But...since entering this high school,\I've been irritated.\Both our class chairs are\really awesome,\aren't they?\Why? response:	Because...
context: That's what I love about myself.\But...since entering this high school,\I've been irritated.\Both our class chairs are\really awesome,\aren't they?\Why?\Because... response:	We're so glad we're in the same class as you!
context: But...since entering this high school,\I've been irritated.\Both our class chairs are\really awesome,\aren't they?\Why?\Because...\We're so glad we're in the same class as you! response:	It's all because of him!
context: I've been irritated.\Both our class chairs are\really awesome,\aren't they?\Why?\Because...\We're so glad we're in the same class as you!\It's all because of him! response:	Oh, Arima!
context: Both our class chairs are\really awesome,\aren't they?\Why?\Because...\We're so glad we're in the same class as you!\It's all because of him!\Oh, Arima! response:	We're home!
context: really awesome,\aren't they?\Why?\Because...\We're so glad we're in the same class as you!\It's all because of him!\Oh, Arima!\We're home! response:	Sis! We're home!
context: aren't they?\Why?\Because...\We're so glad we're in the same class as you!\It's all because of him!\Oh, Arima!\We're home!\Sis! We're home! response:	Sis, you always dress so goofy.
context: Why?\Because...\We're so glad we're in the same class as you!\It's all because of him!\Oh, Arima!\We're home!\Sis! We're home!\Sis, you always dress so goofy. response:	Hey, what's wrong with this?
context: Because...\We're so glad we're in the same class as you!\It's all because of him!\Oh, Arima!\We're home!\Sis! We're home!\Sis, you always dress so goofy.\Hey, what's wrong with this? response:	I study best wearing this.
context: We're so glad we're in the same class as you!\It's all because of him!\Oh, Arima!\We're home!\Sis! We're home!\Sis, you always dress so goofy.\Hey, what's wrong with this?\I study best wearing this. response:	Everyone, you may be thinking...
context: It's all because of him!\Oh, Arima!\We're home!\Sis! We're home!\Sis, you always dress so goofy.\Hey, what's wrong with this?\I study best wearing this.\Everyone, you may be thinking... response:	Ain't there some major difference
context: Oh, Arima!\We're home!\Sis! We're home!\Sis, you always dress so goofy.\Hey, what's wrong with this?\I study best wearing this.\Everyone, you may be thinking...\Ain't there some major difference response:	between this and school?
context: We're home!\Sis! We're home!\Sis, you always dress so goofy.\Hey, what's wrong with this?\I study best wearing this.\Everyone, you may be thinking...\Ain't there some major difference\between this and school? response:	Yes, I'm...
context: Sis! We're home!\Sis, you always dress so goofy.\Hey, what's wrong with this?\I study best wearing this.\Everyone, you may be thinking...\Ain't there some major difference\between this and school?\Yes, I'm... response:	That graceful image is just a facade.
context: Sis, you always dress so goofy.\Hey, what's wrong with this?\I study best wearing this.\Everyone, you may be thinking...\Ain't there some major difference\between this and school?\Yes, I'm...\That graceful image is just a facade. response:	Being sweet is a big lie.
context: Hey, what's wrong with this?\I study best wearing this.\Everyone, you may be thinking...\Ain't there some major difference\between this and school?\Yes, I'm...\That graceful image is just a facade.\Being sweet is a big lie. response:	I really love
context: I study best wearing this.\Everyone, you may be thinking...\Ain't there some major difference\between this and school?\Yes, I'm...\That graceful image is just a facade.\Being sweet is a big lie.\I really love response:	being esteemed...
context: Everyone, you may be thinking...\Ain't there some major difference\between this and school?\Yes, I'm...\That graceful image is just a facade.\Being sweet is a big lie.\I really love\being esteemed... response:	In other words, I'm just...the Queen of Vanity!
context: Ain't there some major difference\between this and school?\Yes, I'm...\That graceful image is just a facade.\Being sweet is a big lie.\I really love\being esteemed...\In other words, I'm just...the Queen of Vanity! response:	Sis, you're trying to strike a pose even when you're dressed like that...?
context: between this and school?\Yes, I'm...\That graceful image is just a facade.\Being sweet is a big lie.\I really love\being esteemed...\In other words, I'm just...the Queen of Vanity!\Sis, you're trying to strike a pose even when you're dressed like that...? response:	Let's's eat!
context: Yes, I'm...\That graceful image is just a facade.\Being sweet is a big lie.\I really love\being esteemed...\In other words, I'm just...the Queen of Vanity!\Sis, you're trying to strike a pose even when you're dressed like that...?\Let's's eat! response:	But you know, Sis' passion for
context: That graceful image is just a facade.\Being sweet is a big lie.\I really love\being esteemed...\In other words, I'm just...the Queen of Vanity!\Sis, you're trying to strike a pose even when you're dressed like that...?\Let's's eat!\But you know, Sis' passion for response:	showing off is really something.
context: Being sweet is a big lie.\I really love\being esteemed...\In other words, I'm just...the Queen of Vanity!\Sis, you're trying to strike a pose even when you're dressed like that...?\Let's's eat!\But you know, Sis' passion for\showing off is really something. response:	If it means being number one,
context: I really love\being esteemed...\In other words, I'm just...the Queen of Vanity!\Sis, you're trying to strike a pose even when you're dressed like that...?\Let's's eat!\But you know, Sis' passion for\showing off is really something.\If it means being number one, response:	she'll pull an all-nighter in a heartbeat.
context: being esteemed...\In other words, I'm just...the Queen of Vanity!\Sis, you're trying to strike a pose even when you're dressed like that...?\Let's's eat!\But you know, Sis' passion for\showing off is really something.\If it means being number one,\she'll pull an all-nighter in a heartbeat. response:	To be the heroine of P.E.
context: In other words, I'm just...the Queen of Vanity!\Sis, you're trying to strike a pose even when you're dressed like that...?\Let's's eat!\But you know, Sis' passion for\showing off is really something.\If it means being number one,\she'll pull an all-nighter in a heartbeat.\To be the heroine of P.E. response:	she won't hesitate to do secret special training.
context: Sis, you're trying to strike a pose even when you're dressed like that...?\Let's's eat!\But you know, Sis' passion for\showing off is really something.\If it means being number one,\she'll pull an all-nighter in a heartbeat.\To be the heroine of P.E.\she won't hesitate to do secret special training. response:	And to look even slightly more beautiful,
context: Let's's eat!\But you know, Sis' passion for\showing off is really something.\If it means being number one,\she'll pull an all-nighter in a heartbeat.\To be the heroine of P.E.\she won't hesitate to do secret special training.\And to look even slightly more beautiful, response:	she goes to the trouble of researching beauty.
context: But you know, Sis' passion for\showing off is really something.\If it means being number one,\she'll pull an all-nighter in a heartbeat.\To be the heroine of P.E.\she won't hesitate to do secret special training.\And to look even slightly more beautiful,\she goes to the trouble of researching beauty. response:	But at home you totally loaf around
context: showing off is really something.\If it means being number one,\she'll pull an all-nighter in a heartbeat.\To be the heroine of P.E.\she won't hesitate to do secret special training.\And to look even slightly more beautiful,\she goes to the trouble of researching beauty.\But at home you totally loaf around response:	and are a selfish, stubborn, spoiled brat.
context: If it means being number one,\she'll pull an all-nighter in a heartbeat.\To be the heroine of P.E.\she won't hesitate to do secret special training.\And to look even slightly more beautiful,\she goes to the trouble of researching beauty.\But at home you totally loaf around\and are a selfish, stubborn, spoiled brat. response:	Mmm, this grilled eggplant is good...l
context: she'll pull an all-nighter in a heartbeat.\To be the heroine of P.E.\she won't hesitate to do secret special training.\And to look even slightly more beautiful,\she goes to the trouble of researching beauty.\But at home you totally loaf around\and are a selfish, stubborn, spoiled brat.\Mmm, this grilled eggplant is good...l response:	It's like, You'd really go that far to get people to admire you?!
context: To be the heroine of P.E.\she won't hesitate to do secret special training.\And to look even slightly more beautiful,\she goes to the trouble of researching beauty.\But at home you totally loaf around\and are a selfish, stubborn, spoiled brat.\Mmm, this grilled eggplant is good...l\It's like, You'd really go that far to get people to admire you?! response:	What's wrong with that?!
context: she won't hesitate to do secret special training.\And to look even slightly more beautiful,\she goes to the trouble of researching beauty.\But at home you totally loaf around\and are a selfish, stubborn, spoiled brat.\Mmm, this grilled eggplant is good...l\It's like, You'd really go that far to get people to admire you?!\What's wrong with that?! response:	If I can't let things slide at home,
context: And to look even slightly more beautiful,\she goes to the trouble of researching beauty.\But at home you totally loaf around\and are a selfish, stubborn, spoiled brat.\Mmm, this grilled eggplant is good...l\It's like, You'd really go that far to get people to admire you?!\What's wrong with that?!\If I can't let things slide at home, response:	I'm gonna get exhausted!
context: she goes to the trouble of researching beauty.\But at home you totally loaf around\and are a selfish, stubborn, spoiled brat.\Mmm, this grilled eggplant is good...l\It's like, You'd really go that far to get people to admire you?!\What's wrong with that?!\If I can't let things slide at home,\I'm gonna get exhausted! response:	Then why don't you just knock off the acting?
context: But at home you totally loaf around\and are a selfish, stubborn, spoiled brat.\Mmm, this grilled eggplant is good...l\It's like, You'd really go that far to get people to admire you?!\What's wrong with that?!\If I can't let things slide at home,\I'm gonna get exhausted!\Then why don't you just knock off the acting? response:	Yeah. When we see you outside
context: and are a selfish, stubborn, spoiled brat.\Mmm, this grilled eggplant is good...l\It's like, You'd really go that far to get people to admire you?!\What's wrong with that?!\If I can't let things slide at home,\I'm gonna get exhausted!\Then why don't you just knock off the acting?\Yeah. When we see you outside response:	we don't even recognize you for a moment.
context: Mmm, this grilled eggplant is good...l\It's like, You'd really go that far to get people to admire you?!\What's wrong with that?!\If I can't let things slide at home,\I'm gonna get exhausted!\Then why don't you just knock off the acting?\Yeah. When we see you outside\we don't even recognize you for a moment. response:	I mean, until last year she was in the same middle school as us.
context: It's like, You'd really go that far to get people to admire you?!\What's wrong with that?!\If I can't let things slide at home,\I'm gonna get exhausted!\Then why don't you just knock off the acting?\Yeah. When we see you outside\we don't even recognize you for a moment.\I mean, until last year she was in the same middle school as us. response:	Every time I saw her breezing through the halls it gave me the shivers.
context: What's wrong with that?!\If I can't let things slide at home,\I'm gonna get exhausted!\Then why don't you just knock off the acting?\Yeah. When we see you outside\we don't even recognize you for a moment.\I mean, until last year she was in the same middle school as us.\Every time I saw her breezing through the halls it gave me the shivers. response:	Though once I got used to it,
context: If I can't let things slide at home,\I'm gonna get exhausted!\Then why don't you just knock off the acting?\Yeah. When we see you outside\we don't even recognize you for a moment.\I mean, until last year she was in the same middle school as us.\Every time I saw her breezing through the halls it gave me the shivers.\Though once I got used to it, response:	it was pretty funny.
context: I'm gonna get exhausted!\Then why don't you just knock off the acting?\Yeah. When we see you outside\we don't even recognize you for a moment.\I mean, until last year she was in the same middle school as us.\Every time I saw her breezing through the halls it gave me the shivers.\Though once I got used to it,\it was pretty funny. response:	Yeah.
context: Then why don't you just knock off the acting?\Yeah. When we see you outside\we don't even recognize you for a moment.\I mean, until last year she was in the same middle school as us.\Every time I saw her breezing through the halls it gave me the shivers.\Though once I got used to it,\it was pretty funny.\Yeah. response:	She scatters her charm all over the neighborhood.
context: Yeah. When we see you outside\we don't even recognize you for a moment.\I mean, until last year she was in the same middle school as us.\Every time I saw her breezing through the halls it gave me the shivers.\Though once I got used to it,\it was pretty funny.\Yeah.\She scatters her charm all over the neighborhood. response:	Every time people tell me
context: we don't even recognize you for a moment.\I mean, until last year she was in the same middle school as us.\Every time I saw her breezing through the halls it gave me the shivers.\Though once I got used to it,\it was pretty funny.\Yeah.\She scatters her charm all over the neighborhood.\Every time people tell me response:	You have such an elegant daughter...
context: I mean, until last year she was in the same middle school as us.\Every time I saw her breezing through the halls it gave me the shivers.\Though once I got used to it,\it was pretty funny.\Yeah.\She scatters her charm all over the neighborhood.\Every time people tell me\You have such an elegant daughter... response:	Yukino's put on an act in public ever since kindergarten.
context: Every time I saw her breezing through the halls it gave me the shivers.\Though once I got used to it,\it was pretty funny.\Yeah.\She scatters her charm all over the neighborhood.\Every time people tell me\You have such an elegant daughter...\Yukino's put on an act in public ever since kindergarten. response:	Maybe that vanity has become
context: Though once I got used to it,\it was pretty funny.\Yeah.\She scatters her charm all over the neighborhood.\Every time people tell me\You have such an elegant daughter...\Yukino's put on an act in public ever since kindergarten.\Maybe that vanity has become response:	an integral part of her.
context: it was pretty funny.\Yeah.\She scatters her charm all over the neighborhood.\Every time people tell me\You have such an elegant daughter...\Yukino's put on an act in public ever since kindergarten.\Maybe that vanity has become\an integral part of her. response:	I just can't see
context: Yeah.\She scatters her charm all over the neighborhood.\Every time people tell me\You have such an elegant daughter...\Yukino's put on an act in public ever since kindergarten.\Maybe that vanity has become\an integral part of her.\I just can't see response:	how you can all stand to act normally.
context: She scatters her charm all over the neighborhood.\Every time people tell me\You have such an elegant daughter...\Yukino's put on an act in public ever since kindergarten.\Maybe that vanity has become\an integral part of her.\I just can't see\how you can all stand to act normally. response:	Whenever they look at me with eyes full of respect and admiration...
context: Every time people tell me\You have such an elegant daughter...\Yukino's put on an act in public ever since kindergarten.\Maybe that vanity has become\an integral part of her.\I just can't see\how you can all stand to act normally.\Whenever they look at me with eyes full of respect and admiration... response:	There's a pervert...
context: You have such an elegant daughter...\Yukino's put on an act in public ever since kindergarten.\Maybe that vanity has become\an integral part of her.\I just can't see\how you can all stand to act normally.\Whenever they look at me with eyes full of respect and admiration...\There's a pervert... response:	There's a pervert among us.
context: Yukino's put on an act in public ever since kindergarten.\Maybe that vanity has become\an integral part of her.\I just can't see\how you can all stand to act normally.\Whenever they look at me with eyes full of respect and admiration...\There's a pervert...\There's a pervert among us. response:	Keeping up that wonderful image...
context: Maybe that vanity has become\an integral part of her.\I just can't see\how you can all stand to act normally.\Whenever they look at me with eyes full of respect and admiration...\There's a pervert...\There's a pervert among us.\Keeping up that wonderful image... response:	I think being carefree is better,
context: an integral part of her.\I just can't see\how you can all stand to act normally.\Whenever they look at me with eyes full of respect and admiration...\There's a pervert...\There's a pervert among us.\Keeping up that wonderful image...\I think being carefree is better, response:	even if it means being ordinary...
context: I just can't see\how you can all stand to act normally.\Whenever they look at me with eyes full of respect and admiration...\There's a pervert...\There's a pervert among us.\Keeping up that wonderful image...\I think being carefree is better,\even if it means being ordinary... response:	It's better than being a pervert, anyway.
context: how you can all stand to act normally.\Whenever they look at me with eyes full of respect and admiration...\There's a pervert...\There's a pervert among us.\Keeping up that wonderful image...\I think being carefree is better,\even if it means being ordinary...\It's better than being a pervert, anyway. response:	Yeah...
context: Whenever they look at me with eyes full of respect and admiration...\There's a pervert...\There's a pervert among us.\Keeping up that wonderful image...\I think being carefree is better,\even if it means being ordinary...\It's better than being a pervert, anyway.\Yeah... response:	But, Sis, you recently got an enemy, didn't you?
context: There's a pervert...\There's a pervert among us.\Keeping up that wonderful image...\I think being carefree is better,\even if it means being ordinary...\It's better than being a pervert, anyway.\Yeah...\But, Sis, you recently got an enemy, didn't you? response:	Right!
context: There's a pervert among us.\Keeping up that wonderful image...\I think being carefree is better,\even if it means being ordinary...\It's better than being a pervert, anyway.\Yeah...\But, Sis, you recently got an enemy, didn't you?\Right! response:	I can't let him beat me now!
context: Keeping up that wonderful image...\I think being carefree is better,\even if it means being ordinary...\It's better than being a pervert, anyway.\Yeah...\But, Sis, you recently got an enemy, didn't you?\Right!\I can't let him beat me now! response:	That's right.
context: I think being carefree is better,\even if it means being ordinary...\It's better than being a pervert, anyway.\Yeah...\But, Sis, you recently got an enemy, didn't you?\Right!\I can't let him beat me now!\That's right. response:	I was able to keep on fooling the world just fine all the way up through middle school.
context: even if it means being ordinary...\It's better than being a pervert, anyway.\Yeah...\But, Sis, you recently got an enemy, didn't you?\Right!\I can't let him beat me now!\That's right.\I was able to keep on fooling the world just fine all the way up through middle school. response:	But then an enemy appeared for the first time.
context: It's better than being a pervert, anyway.\Yeah...\But, Sis, you recently got an enemy, didn't you?\Right!\I can't let him beat me now!\That's right.\I was able to keep on fooling the world just fine all the way up through middle school.\But then an enemy appeared for the first time. response:	The story goes back to the April Opening Ceremony.
context: Yeah...\But, Sis, you recently got an enemy, didn't you?\Right!\I can't let him beat me now!\That's right.\I was able to keep on fooling the world just fine all the way up through middle school.\But then an enemy appeared for the first time.\The story goes back to the April Opening Ceremony. response:	I was a bit miffed.
context: But, Sis, you recently got an enemy, didn't you?\Right!\I can't let him beat me now!\That's right.\I was able to keep on fooling the world just fine all the way up through middle school.\But then an enemy appeared for the first time.\The story goes back to the April Opening Ceremony.\I was a bit miffed. response:	Because even though
context: Right!\I can't let him beat me now!\That's right.\I was able to keep on fooling the world just fine all the way up through middle school.\But then an enemy appeared for the first time.\The story goes back to the April Opening Ceremony.\I was a bit miffed.\Because even though response:	I worked my butt off...
context: I can't let him beat me now!\That's right.\I was able to keep on fooling the world just fine all the way up through middle school.\But then an enemy appeared for the first time.\The story goes back to the April Opening Ceremony.\I was a bit miffed.\Because even though\I worked my butt off... response:	And after I studied so hard...!
context: That's right.\I was able to keep on fooling the world just fine all the way up through middle school.\But then an enemy appeared for the first time.\The story goes back to the April Opening Ceremony.\I was a bit miffed.\Because even though\I worked my butt off...\And after I studied so hard...! response:	How could someone be better than me?!
context: I was able to keep on fooling the world just fine all the way up through middle school.\But then an enemy appeared for the first time.\The story goes back to the April Opening Ceremony.\I was a bit miffed.\Because even though\I worked my butt off...\And after I studied so hard...!\How could someone be better than me?! response:	I was planning on becoming the speaker and instantly dropping a bomb with my presence.
context: But then an enemy appeared for the first time.\The story goes back to the April Opening Ceremony.\I was a bit miffed.\Because even though\I worked my butt off...\And after I studied so hard...!\How could someone be better than me?!\I was planning on becoming the speaker and instantly dropping a bomb with my presence. response:	My plans for my high school debut are all screwed up.
context: The story goes back to the April Opening Ceremony.\I was a bit miffed.\Because even though\I worked my butt off...\And after I studied so hard...!\How could someone be better than me?!\I was planning on becoming the speaker and instantly dropping a bomb with my presence.\My plans for my high school debut are all screwed up. response:	Whoever's standing in the way of my plans must be some dreary, hard-core nerd!
context: I was a bit miffed.\Because even though\I worked my butt off...\And after I studied so hard...!\How could someone be better than me?!\I was planning on becoming the speaker and instantly dropping a bomb with my presence.\My plans for my high school debut are all screwed up.\Whoever's standing in the way of my plans must be some dreary, hard-core nerd! response:	The Representative Speaker for the Incoming Class, Arima Souichirou...
context: Because even though\I worked my butt off...\And after I studied so hard...!\How could someone be better than me?!\I was planning on becoming the speaker and instantly dropping a bomb with my presence.\My plans for my high school debut are all screwed up.\Whoever's standing in the way of my plans must be some dreary, hard-core nerd!\The Representative Speaker for the Incoming Class, Arima Souichirou... response:	Here.
context: I worked my butt off...\And after I studied so hard...!\How could someone be better than me?!\I was planning on becoming the speaker and instantly dropping a bomb with my presence.\My plans for my high school debut are all screwed up.\Whoever's standing in the way of my plans must be some dreary, hard-core nerd!\The Representative Speaker for the Incoming Class, Arima Souichirou...\Here. response:	Just as I feared, he monopolized the attention of the entire class
context: And after I studied so hard...!\How could someone be better than me?!\I was planning on becoming the speaker and instantly dropping a bomb with my presence.\My plans for my high school debut are all screwed up.\Whoever's standing in the way of my plans must be some dreary, hard-core nerd!\The Representative Speaker for the Incoming Class, Arima Souichirou...\Here.\Just as I feared, he monopolized the attention of the entire class response:	This is the worst humiliation in all my 15 years.
context: How could someone be better than me?!\I was planning on becoming the speaker and instantly dropping a bomb with my presence.\My plans for my high school debut are all screwed up.\Whoever's standing in the way of my plans must be some dreary, hard-core nerd!\The Representative Speaker for the Incoming Class, Arima Souichirou...\Here.\Just as I feared, he monopolized the attention of the entire class\This is the worst humiliation in all my 15 years. response:	So I've made up my mind!
context: I was planning on becoming the speaker and instantly dropping a bomb with my presence.\My plans for my high school debut are all screwed up.\Whoever's standing in the way of my plans must be some dreary, hard-core nerd!\The Representative Speaker for the Incoming Class, Arima Souichirou...\Here.\Just as I feared, he monopolized the attention of the entire class\This is the worst humiliation in all my 15 years.\So I've made up my mind! response:	I'm gonna defeat him no matter what!
context: My plans for my high school debut are all screwed up.\Whoever's standing in the way of my plans must be some dreary, hard-core nerd!\The Representative Speaker for the Incoming Class, Arima Souichirou...\Here.\Just as I feared, he monopolized the attention of the entire class\This is the worst humiliation in all my 15 years.\So I've made up my mind!\I'm gonna defeat him no matter what! response:	And I've got to make everyone notice how wonderful I am!
context: Whoever's standing in the way of my plans must be some dreary, hard-core nerd!\The Representative Speaker for the Incoming Class, Arima Souichirou...\Here.\Just as I feared, he monopolized the attention of the entire class\This is the worst humiliation in all my 15 years.\So I've made up my mind!\I'm gonna defeat him no matter what!\And I've got to make everyone notice how wonderful I am! response:	In other words, what was supposed to be
context: The Representative Speaker for the Incoming Class, Arima Souichirou...\Here.\Just as I feared, he monopolized the attention of the entire class\This is the worst humiliation in all my 15 years.\So I've made up my mind!\I'm gonna defeat him no matter what!\And I've got to make everyone notice how wonderful I am!\In other words, what was supposed to be response:	your debut turned into his debut instead.
context: Here.\Just as I feared, he monopolized the attention of the entire class\This is the worst humiliation in all my 15 years.\So I've made up my mind!\I'm gonna defeat him no matter what!\And I've got to make everyone notice how wonderful I am!\In other words, what was supposed to be\your debut turned into his debut instead. response:	Sis, you'd go that far to be the center of attention...?
context: Just as I feared, he monopolized the attention of the entire class\This is the worst humiliation in all my 15 years.\So I've made up my mind!\I'm gonna defeat him no matter what!\And I've got to make everyone notice how wonderful I am!\In other words, what was supposed to be\your debut turned into his debut instead.\Sis, you'd go that far to be the center of attention...? response:	Hell yes!
context: This is the worst humiliation in all my 15 years.\So I've made up my mind!\I'm gonna defeat him no matter what!\And I've got to make everyone notice how wonderful I am!\In other words, what was supposed to be\your debut turned into his debut instead.\Sis, you'd go that far to be the center of attention...?\Hell yes! response:	Words of praise are the source of life energy!
context: So I've made up my mind!\I'm gonna defeat him no matter what!\And I've got to make everyone notice how wonderful I am!\In other words, what was supposed to be\your debut turned into his debut instead.\Sis, you'd go that far to be the center of attention...?\Hell yes!\Words of praise are the source of life energy! response:	And to make matters worse,
context: I'm gonna defeat him no matter what!\And I've got to make everyone notice how wonderful I am!\In other words, what was supposed to be\your debut turned into his debut instead.\Sis, you'd go that far to be the center of attention...?\Hell yes!\Words of praise are the source of life energy!\And to make matters worse, response:	they say he's nice, and good at sports...
context: And I've got to make everyone notice how wonderful I am!\In other words, what was supposed to be\your debut turned into his debut instead.\Sis, you'd go that far to be the center of attention...?\Hell yes!\Words of praise are the source of life energy!\And to make matters worse,\they say he's nice, and good at sports... response:	He makes me so mad!
context: In other words, what was supposed to be\your debut turned into his debut instead.\Sis, you'd go that far to be the center of attention...?\Hell yes!\Words of praise are the source of life energy!\And to make matters worse,\they say he's nice, and good at sports...\He makes me so mad! response:	I'll never let him be number one again!
context: your debut turned into his debut instead.\Sis, you'd go that far to be the center of attention...?\Hell yes!\Words of praise are the source of life energy!\And to make matters worse,\they say he's nice, and good at sports...\He makes me so mad!\I'll never let him be number one again! response:	I'll obstruct him again and again and again...
context: Sis, you'd go that far to be the center of attention...?\Hell yes!\Words of praise are the source of life energy!\And to make matters worse,\they say he's nice, and good at sports...\He makes me so mad!\I'll never let him be number one again!\I'll obstruct him again and again and again... response:	I'll show that little mister rich-boy just how tough life can be!
