context: Huh?! What's this? response:	It's a powerful miasma.
context: Well, since you're being so kind,\Buddha will punish me if I don't accept.\Changing his mind because of the young girls.\He really is a lecher priest.\These beans are so delicious!\It's so yummy! They're great!\It's been so long since we've had such great food!\What's the matter, Sango? You haven't touched your food. response:	Hmm... I can see in your palm that you will be blessed with children.
context: Buddha will punish me if I don't accept.\Changing his mind because of the young girls.\He really is a lecher priest.\These beans are so delicious!\It's so yummy! They're great!\It's been so long since we've had such great food!\What's the matter, Sango? You haven't touched your food.\Hmm... I can see in your palm that you will be blessed with children. response:	Miss, will you be army children?
context: Changing his mind because of the young girls.\He really is a lecher priest.\These beans are so delicious!\It's so yummy! They're great!\It's been so long since we've had such great food!\What's the matter, Sango? You haven't touched your food.\Hmm... I can see in your palm that you will be blessed with children.\Miss, will you be army children? response:	Y-Yes!
context: He really is a lecher priest.\These beans are so delicious!\It's so yummy! They're great!\It's been so long since we've had such great food!\What's the matter, Sango? You haven't touched your food.\Hmm... I can see in your palm that you will be blessed with children.\Miss, will you be army children?\Y-Yes! response:	I'll have as many as you want.
context: These beans are so delicious!\It's so yummy! They're great!\It's been so long since we've had such great food!\What's the matter, Sango? You haven't touched your food.\Hmm... I can see in your palm that you will be blessed with children.\Miss, will you be army children?\Y-Yes!\I'll have as many as you want. response:	Fifteen, sixteen... It makes no difference.
context: It's so yummy! They're great!\It's been so long since we've had such great food!\What's the matter, Sango? You haven't touched your food.\Hmm... I can see in your palm that you will be blessed with children.\Miss, will you be army children?\Y-Yes!\I'll have as many as you want.\Fifteen, sixteen... It makes no difference. response:	Now then!
context: It's been so long since we've had such great food!\What's the matter, Sango? You haven't touched your food.\Hmm... I can see in your palm that you will be blessed with children.\Miss, will you be army children?\Y-Yes!\I'll have as many as you want.\Fifteen, sixteen... It makes no difference.\Now then! response:	H-Hey... Sango!
context: What's the matter, Sango? You haven't touched your food.\Hmm... I can see in your palm that you will be blessed with children.\Miss, will you be army children?\Y-Yes!\I'll have as many as you want.\Fifteen, sixteen... It makes no difference.\Now then!\H-Hey... Sango! response:	Don't just sit there and watch! Help me!
context: Hmm... I can see in your palm that you will be blessed with children.\Miss, will you be army children?\Y-Yes!\I'll have as many as you want.\Fifteen, sixteen... It makes no difference.\Now then!\H-Hey... Sango!\Don't just sit there and watch! Help me! response:	Why don't you father two, even three children?
context: Miss, will you be army children?\Y-Yes!\I'll have as many as you want.\Fifteen, sixteen... It makes no difference.\Now then!\H-Hey... Sango!\Don't just sit there and watch! Help me!\Why don't you father two, even three children? response:	Just do as you please.
context: Y-Yes!\I'll have as many as you want.\Fifteen, sixteen... It makes no difference.\Now then!\H-Hey... Sango!\Don't just sit there and watch! Help me!\Why don't you father two, even three children?\Just do as you please. response:	Sango is scary!
context: I'll have as many as you want.\Fifteen, sixteen... It makes no difference.\Now then!\H-Hey... Sango!\Don't just sit there and watch! Help me!\Why don't you father two, even three children?\Just do as you please.\Sango is scary! response:	Now, now!
context: Fifteen, sixteen... It makes no difference.\Now then!\H-Hey... Sango!\Don't just sit there and watch! Help me!\Why don't you father two, even three children?\Just do as you please.\Sango is scary!\Now, now! response:	Old woman, you're always so healthy.
context: Now then!\H-Hey... Sango!\Don't just sit there and watch! Help me!\Why don't you father two, even three children?\Just do as you please.\Sango is scary!\Now, now!\Old woman, you're always so healthy. response:	I still can bear a child or two!
context: H-Hey... Sango!\Don't just sit there and watch! Help me!\Why don't you father two, even three children?\Just do as you please.\Sango is scary!\Now, now!\Old woman, you're always so healthy.\I still can bear a child or two! response:	Even in this age, they had lively family communions.
context: Don't just sit there and watch! Help me!\Why don't you father two, even three children?\Just do as you please.\Sango is scary!\Now, now!\Old woman, you're always so healthy.\I still can bear a child or two!\Even in this age, they had lively family communions. response:	That's nice to know.
context: Why don't you father two, even three children?\Just do as you please.\Sango is scary!\Now, now!\Old woman, you're always so healthy.\I still can bear a child or two!\Even in this age, they had lively family communions.\That's nice to know. response:	What's a family communion?
context: Just do as you please.\Sango is scary!\Now, now!\Old woman, you're always so healthy.\I still can bear a child or two!\Even in this age, they had lively family communions.\That's nice to know.\What's a family communion? response:	Well...
context: Sango is scary!\Now, now!\Old woman, you're always so healthy.\I still can bear a child or two!\Even in this age, they had lively family communions.\That's nice to know.\What's a family communion?\Well... response:	Oh, moms, dads and grandparents and siblings all dining together and
context: Now, now!\Old woman, you're always so healthy.\I still can bear a child or two!\Even in this age, they had lively family communions.\That's nice to know.\What's a family communion?\Well...\Oh, moms, dads and grandparents and siblings all dining together and response:	enjoying each other's company.
context: Old woman, you're always so healthy.\I still can bear a child or two!\Even in this age, they had lively family communions.\That's nice to know.\What's a family communion?\Well...\Oh, moms, dads and grandparents and siblings all dining together and\enjoying each other's company. response:	Oh...
context: I still can bear a child or two!\Even in this age, they had lively family communions.\That's nice to know.\What's a family communion?\Well...\Oh, moms, dads and grandparents and siblings all dining together and\enjoying each other's company.\Oh... response:	What's nice about that?!
context: Even in this age, they had lively family communions.\That's nice to know.\What's a family communion?\Well...\Oh, moms, dads and grandparents and siblings all dining together and\enjoying each other's company.\Oh...\What's nice about that?! response:	Such bad manners!
context: That's nice to know.\What's a family communion?\Well...\Oh, moms, dads and grandparents and siblings all dining together and\enjoying each other's company.\Oh...\What's nice about that?!\Such bad manners! response:	If you lie down right after eating, you'll end up a cow!
context: What's a family communion?\Well...\Oh, moms, dads and grandparents and siblings all dining together and\enjoying each other's company.\Oh...\What's nice about that?!\Such bad manners!\If you lie down right after eating, you'll end up a cow! response:	Who cares?!
context: Well...\Oh, moms, dads and grandparents and siblings all dining together and\enjoying each other's company.\Oh...\What's nice about that?!\Such bad manners!\If you lie down right after eating, you'll end up a cow!\Who cares?! response:	Myoga!
context: Oh, moms, dads and grandparents and siblings all dining together and\enjoying each other's company.\Oh...\What's nice about that?!\Such bad manners!\If you lie down right after eating, you'll end up a cow!\Who cares?!\Myoga! response:	I was a bit concerned about you, Inuyasha.
context: enjoying each other's company.\Oh...\What's nice about that?!\Such bad manners!\If you lie down right after eating, you'll end up a cow!\Who cares?!\Myoga!\I was a bit concerned about you, Inuyasha. response:	So I came... only to find you battling a giant centipede.
context: Oh...\What's nice about that?!\Such bad manners!\If you lie down right after eating, you'll end up a cow!\Who cares?!\Myoga!\I was a bit concerned about you, Inuyasha.\So I came... only to find you battling a giant centipede. response:	I'm so glad you are okay.
context: What's nice about that?!\Such bad manners!\If you lie down right after eating, you'll end up a cow!\Who cares?!\Myoga!\I was a bit concerned about you, Inuyasha.\So I came... only to find you battling a giant centipede.\I'm so glad you are okay. response:	When the fighting's on, you're nowhere to be found.
context: Such bad manners!\If you lie down right after eating, you'll end up a cow!\Who cares?!\Myoga!\I was a bit concerned about you, Inuyasha.\So I came... only to find you battling a giant centipede.\I'm so glad you are okay.\When the fighting's on, you're nowhere to be found. response:	But you always appear at times like this.
context: If you lie down right after eating, you'll end up a cow!\Who cares?!\Myoga!\I was a bit concerned about you, Inuyasha.\So I came... only to find you battling a giant centipede.\I'm so glad you are okay.\When the fighting's on, you're nowhere to be found.\But you always appear at times like this. response:	What a schemer you are!
context: Who cares?!\Myoga!\I was a bit concerned about you, Inuyasha.\So I came... only to find you battling a giant centipede.\I'm so glad you are okay.\When the fighting's on, you're nowhere to be found.\But you always appear at times like this.\What a schemer you are! response:	Oh, come now...
context: Myoga!\I was a bit concerned about you, Inuyasha.\So I came... only to find you battling a giant centipede.\I'm so glad you are okay.\When the fighting's on, you're nowhere to be found.\But you always appear at times like this.\What a schemer you are!\Oh, come now... response:	Where've you been, anyway?
context: I was a bit concerned about you, Inuyasha.\So I came... only to find you battling a giant centipede.\I'm so glad you are okay.\When the fighting's on, you're nowhere to be found.\But you always appear at times like this.\What a schemer you are!\Oh, come now...\Where've you been, anyway? response:	Even an old one like me
context: So I came... only to find you battling a giant centipede.\I'm so glad you are okay.\When the fighting's on, you're nowhere to be found.\But you always appear at times like this.\What a schemer you are!\Oh, come now...\Where've you been, anyway?\Even an old one like me response:	has some secrets he'd prefer to keep.
context: I'm so glad you are okay.\When the fighting's on, you're nowhere to be found.\But you always appear at times like this.\What a schemer you are!\Oh, come now...\Where've you been, anyway?\Even an old one like me\has some secrets he'd prefer to keep. response:	You give me the creeps!
context: When the fighting's on, you're nowhere to be found.\But you always appear at times like this.\What a schemer you are!\Oh, come now...\Where've you been, anyway?\Even an old one like me\has some secrets he'd prefer to keep.\You give me the creeps! response:	Hot! Hot!
context: But you always appear at times like this.\What a schemer you are!\Oh, come now...\Where've you been, anyway?\Even an old one like me\has some secrets he'd prefer to keep.\You give me the creeps!\Hot! Hot! response:	I'm so full.
context: What a schemer you are!\Oh, come now...\Where've you been, anyway?\Even an old one like me\has some secrets he'd prefer to keep.\You give me the creeps!\Hot! Hot!\I'm so full. response:	Quietly, silently... tippy-tippy-toe!
context: Oh, come now...\Where've you been, anyway?\Even an old one like me\has some secrets he'd prefer to keep.\You give me the creeps!\Hot! Hot!\I'm so full.\Quietly, silently... tippy-tippy-toe! response:	There it comes.
context: Where've you been, anyway?\Even an old one like me\has some secrets he'd prefer to keep.\You give me the creeps!\Hot! Hot!\I'm so full.\Quietly, silently... tippy-tippy-toe!\There it comes. response:	I've heard of child spirits lingering on
context: Even an old one like me\has some secrets he'd prefer to keep.\You give me the creeps!\Hot! Hot!\I'm so full.\Quietly, silently... tippy-tippy-toe!\There it comes.\I've heard of child spirits lingering on response:	in an old mansion like this, but is that all this is?
context: has some secrets he'd prefer to keep.\You give me the creeps!\Hot! Hot!\I'm so full.\Quietly, silently... tippy-tippy-toe!\There it comes.\I've heard of child spirits lingering on\in an old mansion like this, but is that all this is? response:	W-What's!?
context: You give me the creeps!\Hot! Hot!\I'm so full.\Quietly, silently... tippy-tippy-toe!\There it comes.\I've heard of child spirits lingering on\in an old mansion like this, but is that all this is?\W-What's!? response:	Wanna pee!
context: Hot! Hot!\I'm so full.\Quietly, silently... tippy-tippy-toe!\There it comes.\I've heard of child spirits lingering on\in an old mansion like this, but is that all this is?\W-What's!?\Wanna pee! response:	Stop!
context: I'm so full.\Quietly, silently... tippy-tippy-toe!\There it comes.\I've heard of child spirits lingering on\in an old mansion like this, but is that all this is?\W-What's!?\Wanna pee!\Stop! response:	Gotta pee!
context: Quietly, silently... tippy-tippy-toe!\There it comes.\I've heard of child spirits lingering on\in an old mansion like this, but is that all this is?\W-What's!?\Wanna pee!\Stop!\Gotta pee! response:	Wait!
context: There it comes.\I've heard of child spirits lingering on\in an old mansion like this, but is that all this is?\W-What's!?\Wanna pee!\Stop!\Gotta pee!\Wait! response:	This is not the toilet!
context: I've heard of child spirits lingering on\in an old mansion like this, but is that all this is?\W-What's!?\Wanna pee!\Stop!\Gotta pee!\Wait!\This is not the toilet! response:	My goodness... What a way to be awakened.
context: in an old mansion like this, but is that all this is?\W-What's!?\Wanna pee!\Stop!\Gotta pee!\Wait!\This is not the toilet!\My goodness... What a way to be awakened. response:	You want to pee again? You can go by yourself, can't you?
context: W-What's!?\Wanna pee!\Stop!\Gotta pee!\Wait!\This is not the toilet!\My goodness... What a way to be awakened.\You want to pee again? You can go by yourself, can't you? response:	Sango...
context: Wanna pee!\Stop!\Gotta pee!\Wait!\This is not the toilet!\My goodness... What a way to be awakened.\You want to pee again? You can go by yourself, can't you?\Sango... response:	Do you know what time it is?
context: Stop!\Gotta pee!\Wait!\This is not the toilet!\My goodness... What a way to be awakened.\You want to pee again? You can go by yourself, can't you?\Sango...\Do you know what time it is? response:	She's come sneaking into my bed! Such luck!
context: Gotta pee!\Wait!\This is not the toilet!\My goodness... What a way to be awakened.\You want to pee again? You can go by yourself, can't you?\Sango...\Do you know what time it is?\She's come sneaking into my bed! Such luck! response:	Come and join me...
context: Wait!\This is not the toilet!\My goodness... What a way to be awakened.\You want to pee again? You can go by yourself, can't you?\Sango...\Do you know what time it is?\She's come sneaking into my bed! Such luck!\Come and join me... response:	Don't tell me you're still angry about earlier?
context: This is not the toilet!\My goodness... What a way to be awakened.\You want to pee again? You can go by yourself, can't you?\Sango...\Do you know what time it is?\She's come sneaking into my bed! Such luck!\Come and join me...\Don't tell me you're still angry about earlier? response:	The old woman was just joking!
context: My goodness... What a way to be awakened.\You want to pee again? You can go by yourself, can't you?\Sango...\Do you know what time it is?\She's come sneaking into my bed! Such luck!\Come and join me...\Don't tell me you're still angry about earlier?\The old woman was just joking! response:	What's all that ruckus?!
context: You want to pee again? You can go by yourself, can't you?\Sango...\Do you know what time it is?\She's come sneaking into my bed! Such luck!\Come and join me...\Don't tell me you're still angry about earlier?\The old woman was just joking!\What's all that ruckus?! response:	Sango! You don't have to be so angry!
context: Sango...\Do you know what time it is?\She's come sneaking into my bed! Such luck!\Come and join me...\Don't tell me you're still angry about earlier?\The old woman was just joking!\What's all that ruckus?!\Sango! You don't have to be so angry! response:	She's sleepwalking.
context: Do you know what time it is?\She's come sneaking into my bed! Such luck!\Come and join me...\Don't tell me you're still angry about earlier?\The old woman was just joking!\What's all that ruckus?!\Sango! You don't have to be so angry!\She's sleepwalking. response:	Cripes! Can't you be more quiet when you fight?
context: She's come sneaking into my bed! Such luck!\Come and join me...\Don't tell me you're still angry about earlier?\The old woman was just joking!\What's all that ruckus?!\Sango! You don't have to be so angry!\She's sleepwalking.\Cripes! Can't you be more quiet when you fight? response:	Wait!
context: Come and join me...\Don't tell me you're still angry about earlier?\The old woman was just joking!\What's all that ruckus?!\Sango! You don't have to be so angry!\She's sleepwalking.\Cripes! Can't you be more quiet when you fight?\Wait! response:	Sango is possessed!
context: Don't tell me you're still angry about earlier?\The old woman was just joking!\What's all that ruckus?!\Sango! You don't have to be so angry!\She's sleepwalking.\Cripes! Can't you be more quiet when you fight?\Wait!\Sango is possessed! response:	Stop, Sango!
context: The old woman was just joking!\What's all that ruckus?!\Sango! You don't have to be so angry!\She's sleepwalking.\Cripes! Can't you be more quiet when you fight?\Wait!\Sango is possessed!\Stop, Sango! response:	Stop it, Sango!
context: What's all that ruckus?!\Sango! You don't have to be so angry!\She's sleepwalking.\Cripes! Can't you be more quiet when you fight?\Wait!\Sango is possessed!\Stop, Sango!\Stop it, Sango! response:	Sango!
context: Sango! You don't have to be so angry!\She's sleepwalking.\Cripes! Can't you be more quiet when you fight?\Wait!\Sango is possessed!\Stop, Sango!\Stop it, Sango!\Sango! response:	Are you all right?
context: She's sleepwalking.\Cripes! Can't you be more quiet when you fight?\Wait!\Sango is possessed!\Stop, Sango!\Stop it, Sango!\Sango!\Are you all right? response:	Huh?
context: Cripes! Can't you be more quiet when you fight?\Wait!\Sango is possessed!\Stop, Sango!\Stop it, Sango!\Sango!\Are you all right?\Huh? response:	Why am I here?
context: Wait!\Sango is possessed!\Stop, Sango!\Stop it, Sango!\Sango!\Are you all right?\Huh?\Why am I here? response:	What happened, Miroku?
context: Sango is possessed!\Stop, Sango!\Stop it, Sango!\Sango!\Are you all right?\Huh?\Why am I here?\What happened, Miroku? response:	She slapped him before she came to.
context: Stop, Sango!\Stop it, Sango!\Sango!\Are you all right?\Huh?\Why am I here?\What happened, Miroku?\She slapped him before she came to. response:	There's no doubt that someone bewitched Sango.
context: Stop it, Sango!\Sango!\Are you all right?\Huh?\Why am I here?\What happened, Miroku?\She slapped him before she came to.\There's no doubt that someone bewitched Sango. response:	I don't remember a thing.
context: Sango!\Are you all right?\Huh?\Why am I here?\What happened, Miroku?\She slapped him before she came to.\There's no doubt that someone bewitched Sango.\I don't remember a thing. response:	But who would bewitch her?
context: Are you all right?\Huh?\Why am I here?\What happened, Miroku?\She slapped him before she came to.\There's no doubt that someone bewitched Sango.\I don't remember a thing.\But who would bewitch her? response:	I don't sense anything suspicious around here.
context: Huh?\Why am I here?\What happened, Miroku?\She slapped him before she came to.\There's no doubt that someone bewitched Sango.\I don't remember a thing.\But who would bewitch her?\I don't sense anything suspicious around here. response:	A-Are you sure?
context: Why am I here?\What happened, Miroku?\She slapped him before she came to.\There's no doubt that someone bewitched Sango.\I don't remember a thing.\But who would bewitch her?\I don't sense anything suspicious around here.\A-Are you sure? response:	Myoga! When did you hop onto Miroku?
context: What happened, Miroku?\She slapped him before she came to.\There's no doubt that someone bewitched Sango.\I don't remember a thing.\But who would bewitch her?\I don't sense anything suspicious around here.\A-Are you sure?\Myoga! When did you hop onto Miroku? response:	Are you sure you don't sense anything suspicious?
context: She slapped him before she came to.\There's no doubt that someone bewitched Sango.\I don't remember a thing.\But who would bewitch her?\I don't sense anything suspicious around here.\A-Are you sure?\Myoga! When did you hop onto Miroku?\Are you sure you don't sense anything suspicious? response:	I'll bet you're hiding something!
context: There's no doubt that someone bewitched Sango.\I don't remember a thing.\But who would bewitch her?\I don't sense anything suspicious around here.\A-Are you sure?\Myoga! When did you hop onto Miroku?\Are you sure you don't sense anything suspicious?\I'll bet you're hiding something! response:	Err... no...
context: I don't remember a thing.\But who would bewitch her?\I don't sense anything suspicious around here.\A-Are you sure?\Myoga! When did you hop onto Miroku?\Are you sure you don't sense anything suspicious?\I'll bet you're hiding something!\Err... no... response:	I remember...
context: But who would bewitch her?\I don't sense anything suspicious around here.\A-Are you sure?\Myoga! When did you hop onto Miroku?\Are you sure you don't sense anything suspicious?\I'll bet you're hiding something!\Err... no...\I remember... response:	Long ago, my father told me of demons who
context: I don't sense anything suspicious around here.\A-Are you sure?\Myoga! When did you hop onto Miroku?\Are you sure you don't sense anything suspicious?\I'll bet you're hiding something!\Err... no...\I remember...\Long ago, my father told me of demons who response:	realize their power for the first time after death.
context: A-Are you sure?\Myoga! When did you hop onto Miroku?\Are you sure you don't sense anything suspicious?\I'll bet you're hiding something!\Err... no...\I remember...\Long ago, my father told me of demons who\realize their power for the first time after death. response:	For the first time after death?
context: Myoga! When did you hop onto Miroku?\Are you sure you don't sense anything suspicious?\I'll bet you're hiding something!\Err... no...\I remember...\Long ago, my father told me of demons who\realize their power for the first time after death.\For the first time after death? response:	The most recent demon we destroyed was...
context: Are you sure you don't sense anything suspicious?\I'll bet you're hiding something!\Err... no...\I remember...\Long ago, my father told me of demons who\realize their power for the first time after death.\For the first time after death?\The most recent demon we destroyed was... response:	Oh!
context: I'll bet you're hiding something!\Err... no...\I remember...\Long ago, my father told me of demons who\realize their power for the first time after death.\For the first time after death?\The most recent demon we destroyed was...\Oh! response:	Then that weak, giant centipede is the culprit?
context: Err... no...\I remember...\Long ago, my father told me of demons who\realize their power for the first time after death.\For the first time after death?\The most recent demon we destroyed was...\Oh!\Then that weak, giant centipede is the culprit? response:	Then we must make sure it's permanently sealed again.
context: I remember...\Long ago, my father told me of demons who\realize their power for the first time after death.\For the first time after death?\The most recent demon we destroyed was...\Oh!\Then that weak, giant centipede is the culprit?\Then we must make sure it's permanently sealed again. response:	What's the matter, Myoga?
context: Long ago, my father told me of demons who\realize their power for the first time after death.\For the first time after death?\The most recent demon we destroyed was...\Oh!\Then that weak, giant centipede is the culprit?\Then we must make sure it's permanently sealed again.\What's the matter, Myoga? response:	Nothing... It's nothing.
context: realize their power for the first time after death.\For the first time after death?\The most recent demon we destroyed was...\Oh!\Then that weak, giant centipede is the culprit?\Then we must make sure it's permanently sealed again.\What's the matter, Myoga?\Nothing... It's nothing. response:	There!
context: For the first time after death?\The most recent demon we destroyed was...\Oh!\Then that weak, giant centipede is the culprit?\Then we must make sure it's permanently sealed again.\What's the matter, Myoga?\Nothing... It's nothing.\There! response:	It's just a carcass.
context: The most recent demon we destroyed was...\Oh!\Then that weak, giant centipede is the culprit?\Then we must make sure it's permanently sealed again.\What's the matter, Myoga?\Nothing... It's nothing.\There!\It's just a carcass. response:	Nothing scary about it.
context: Oh!\Then that weak, giant centipede is the culprit?\Then we must make sure it's permanently sealed again.\What's the matter, Myoga?\Nothing... It's nothing.\There!\It's just a carcass.\Nothing scary about it. response:	In any case, let's seal it with a sutra charm.
context: Then that weak, giant centipede is the culprit?\Then we must make sure it's permanently sealed again.\What's the matter, Myoga?\Nothing... It's nothing.\There!\It's just a carcass.\Nothing scary about it.\In any case, let's seal it with a sutra charm. response:	Kagome, you don't have any luck with men.
context: Then we must make sure it's permanently sealed again.\What's the matter, Myoga?\Nothing... It's nothing.\There!\It's just a carcass.\Nothing scary about it.\In any case, let's seal it with a sutra charm.\Kagome, you don't have any luck with men. response:	R-Really?
context: What's the matter, Myoga?\Nothing... It's nothing.\There!\It's just a carcass.\Nothing scary about it.\In any case, let's seal it with a sutra charm.\Kagome, you don't have any luck with men.\R-Really? response:	Unless you leave your current fellow,
context: Nothing... It's nothing.\There!\It's just a carcass.\Nothing scary about it.\In any case, let's seal it with a sutra charm.\Kagome, you don't have any luck with men.\R-Really?\Unless you leave your current fellow, response:	you won't find peace or happiness.
context: There!\It's just a carcass.\Nothing scary about it.\In any case, let's seal it with a sutra charm.\Kagome, you don't have any luck with men.\R-Really?\Unless you leave your current fellow,\you won't find peace or happiness. response:	What about you, Sango?
context: It's just a carcass.\Nothing scary about it.\In any case, let's seal it with a sutra charm.\Kagome, you don't have any luck with men.\R-Really?\Unless you leave your current fellow,\you won't find peace or happiness.\What about you, Sango? response:	Hmmm... Let's see... Hmm... You're no better with men!
