context: Yes, and they're the wild hunters. response:	They're all specially trained to catch all of the ghosts within twelve days.
context: How could I possibly not make use of such an entertaining chance.\This is the place from the rumors, right?\If you buy some of these goods, they'll ward off at least some of the negative ghost mojo.\It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night.\It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night.\I think that drew all these occult fans here.\It must've been fake.\Was that the wind? response:	Did you just feel a chill?
context: This is the place from the rumors, right?\If you buy some of these goods, they'll ward off at least some of the negative ghost mojo.\It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night.\It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night.\I think that drew all these occult fans here.\It must've been fake.\Was that the wind?\Did you just feel a chill? response:	Let's raise anchor!
context: If you buy some of these goods, they'll ward off at least some of the negative ghost mojo.\It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night.\It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night.\I think that drew all these occult fans here.\It must've been fake.\Was that the wind?\Did you just feel a chill?\Let's raise anchor! response:	Isn't it kinda noisy?
context: It seems that talk of a ghost sighting in the plains around Blytonbury was trending online last night.\It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night.\I think that drew all these occult fans here.\It must've been fake.\Was that the wind?\Did you just feel a chill?\Let's raise anchor!\Isn't it kinda noisy? response:	What the hell is this thing?!
context: It seems that talk of a ghost sighting in Blytonbury's fields was trending online last night.\I think that drew all these occult fans here.\It must've been fake.\Was that the wind?\Did you just feel a chill?\Let's raise anchor!\Isn't it kinda noisy?\What the hell is this thing?! response:	Our burning souls turned into magic power!
context: I think that drew all these occult fans here.\It must've been fake.\Was that the wind?\Did you just feel a chill?\Let's raise anchor!\Isn't it kinda noisy?\What the hell is this thing?!\Our burning souls turned into magic power! response:	The shining seven stars of justice!
context: It must've been fake.\Was that the wind?\Did you just feel a chill?\Let's raise anchor!\Isn't it kinda noisy?\What the hell is this thing?!\Our burning souls turned into magic power!\The shining seven stars of justice! response:	Complete!
context: Was that the wind?\Did you just feel a chill?\Let's raise anchor!\Isn't it kinda noisy?\What the hell is this thing?!\Our burning souls turned into magic power!\The shining seven stars of justice!\Complete! response:	They must be idiots.
context: Did you just feel a chill?\Let's raise anchor!\Isn't it kinda noisy?\What the hell is this thing?!\Our burning souls turned into magic power!\The shining seven stars of justice!\Complete!\They must be idiots. response:	You mean we used it up for the transformation?
context: Let's raise anchor!\Isn't it kinda noisy?\What the hell is this thing?!\Our burning souls turned into magic power!\The shining seven stars of justice!\Complete!\They must be idiots.\You mean we used it up for the transformation? response:	But we had so much before!
context: Isn't it kinda noisy?\What the hell is this thing?!\Our burning souls turned into magic power!\The shining seven stars of justice!\Complete!\They must be idiots.\You mean we used it up for the transformation?\But we had so much before! response:	Attention hunters!
context: What the hell is this thing?!\Our burning souls turned into magic power!\The shining seven stars of justice!\Complete!\They must be idiots.\You mean we used it up for the transformation?\But we had so much before!\Attention hunters! response:	The Wild Hunt is going to be ruined if something isn't done.
context: Our burning souls turned into magic power!\The shining seven stars of justice!\Complete!\They must be idiots.\You mean we used it up for the transformation?\But we had so much before!\Attention hunters!\The Wild Hunt is going to be ruined if something isn't done. response:	Magic at a hundred-twenty percent!
context: The shining seven stars of justice!\Complete!\They must be idiots.\You mean we used it up for the transformation?\But we had so much before!\Attention hunters!\The Wild Hunt is going to be ruined if something isn't done.\Magic at a hundred-twenty percent! response:	Miracle Magical Shining Tornado Punch!
context: Complete!\They must be idiots.\You mean we used it up for the transformation?\But we had so much before!\Attention hunters!\The Wild Hunt is going to be ruined if something isn't done.\Magic at a hundred-twenty percent!\Miracle Magical Shining Tornado Punch! response:	Wild Hunt is the best!
context: They must be idiots.\You mean we used it up for the transformation?\But we had so much before!\Attention hunters!\The Wild Hunt is going to be ruined if something isn't done.\Magic at a hundred-twenty percent!\Miracle Magical Shining Tornado Punch!\Wild Hunt is the best! response:	It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit.
context: You mean we used it up for the transformation?\But we had so much before!\Attention hunters!\The Wild Hunt is going to be ruined if something isn't done.\Magic at a hundred-twenty percent!\Miracle Magical Shining Tornado Punch!\Wild Hunt is the best!\It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit. response:	Just what are you trying to do here?!
context: But we had so much before!\Attention hunters!\The Wild Hunt is going to be ruined if something isn't done.\Magic at a hundred-twenty percent!\Miracle Magical Shining Tornado Punch!\Wild Hunt is the best!\It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit.\Just what are you trying to do here?! response:	Just what are you planning to do?
context: Attention hunters!\The Wild Hunt is going to be ruined if something isn't done.\Magic at a hundred-twenty percent!\Miracle Magical Shining Tornado Punch!\Wild Hunt is the best!\It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit.\Just what are you trying to do here?!\Just what are you planning to do? response:	There's nothing you can do to stop me from reaching them.
context: The Wild Hunt is going to be ruined if something isn't done.\Magic at a hundred-twenty percent!\Miracle Magical Shining Tornado Punch!\Wild Hunt is the best!\It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit.\Just what are you trying to do here?!\Just what are you planning to do?\There's nothing you can do to stop me from reaching them. response:	There's not a single thing you can do about it.
context: Magic at a hundred-twenty percent!\Miracle Magical Shining Tornado Punch!\Wild Hunt is the best!\It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit.\Just what are you trying to do here?!\Just what are you planning to do?\There's nothing you can do to stop me from reaching them.\There's not a single thing you can do about it. response:	This is the Wild Hunt?
context: Miracle Magical Shining Tornado Punch!\Wild Hunt is the best!\It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit.\Just what are you trying to do here?!\Just what are you planning to do?\There's nothing you can do to stop me from reaching them.\There's not a single thing you can do about it.\This is the Wild Hunt? response:	Yes, and those guys are the wild hunters.
context: Wild Hunt is the best!\It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit.\Just what are you trying to do here?!\Just what are you planning to do?\There's nothing you can do to stop me from reaching them.\There's not a single thing you can do about it.\This is the Wild Hunt?\Yes, and those guys are the wild hunters. response:	They're aces who are specially trained to catch all of the ghosts within twelve days.
context: It was all an experiment to cause a panic and measure the reaction of emotional energy, fuel spirit.\Just what are you trying to do here?!\Just what are you planning to do?\There's nothing you can do to stop me from reaching them.\There's not a single thing you can do about it.\This is the Wild Hunt?\Yes, and those guys are the wild hunters.\They're aces who are specially trained to catch all of the ghosts within twelve days. response:	You've got to catch all of this year's ghosts before the year ends.
context: Just what are you trying to do here?!\Just what are you planning to do?\There's nothing you can do to stop me from reaching them.\There's not a single thing you can do about it.\This is the Wild Hunt?\Yes, and those guys are the wild hunters.\They're aces who are specially trained to catch all of the ghosts within twelve days.\You've got to catch all of this year's ghosts before the year ends. response:	Does that mean they're coming to Blytonbury too?
context: Just what are you planning to do?\There's nothing you can do to stop me from reaching them.\There's not a single thing you can do about it.\This is the Wild Hunt?\Yes, and those guys are the wild hunters.\They're aces who are specially trained to catch all of the ghosts within twelve days.\You've got to catch all of this year's ghosts before the year ends.\Does that mean they're coming to Blytonbury too? response:	On the final day, the twelfth night.
context: There's nothing you can do to stop me from reaching them.\There's not a single thing you can do about it.\This is the Wild Hunt?\Yes, and those guys are the wild hunters.\They're aces who are specially trained to catch all of the ghosts within twelve days.\You've got to catch all of this year's ghosts before the year ends.\Does that mean they're coming to Blytonbury too?\On the final day, the twelfth night. response:	Then we get to see them here in person?
context: There's not a single thing you can do about it.\This is the Wild Hunt?\Yes, and those guys are the wild hunters.\They're aces who are specially trained to catch all of the ghosts within twelve days.\You've got to catch all of this year's ghosts before the year ends.\Does that mean they're coming to Blytonbury too?\On the final day, the twelfth night.\Then we get to see them here in person? response:	Yes, even the other teachers are in high spirits.
context: This is the Wild Hunt?\Yes, and those guys are the wild hunters.\They're aces who are specially trained to catch all of the ghosts within twelve days.\You've got to catch all of this year's ghosts before the year ends.\Does that mean they're coming to Blytonbury too?\On the final day, the twelfth night.\Then we get to see them here in person?\Yes, even the other teachers are in high spirits. response:	So thrilling and exciting!
context: Yes, and those guys are the wild hunters.\They're aces who are specially trained to catch all of the ghosts within twelve days.\You've got to catch all of this year's ghosts before the year ends.\Does that mean they're coming to Blytonbury too?\On the final day, the twelfth night.\Then we get to see them here in person?\Yes, even the other teachers are in high spirits.\So thrilling and exciting! response:	Professor, is something the matter?
context: They're aces who are specially trained to catch all of the ghosts within twelve days.\You've got to catch all of this year's ghosts before the year ends.\Does that mean they're coming to Blytonbury too?\On the final day, the twelfth night.\Then we get to see them here in person?\Yes, even the other teachers are in high spirits.\So thrilling and exciting!\Professor, is something the matter? response:	Huh? Oh, nothing at all.
context: You've got to catch all of this year's ghosts before the year ends.\Does that mean they're coming to Blytonbury too?\On the final day, the twelfth night.\Then we get to see them here in person?\Yes, even the other teachers are in high spirits.\So thrilling and exciting!\Professor, is something the matter?\Huh? Oh, nothing at all. response:	Huh? That's Constanze's...
context: Does that mean they're coming to Blytonbury too?\On the final day, the twelfth night.\Then we get to see them here in person?\Yes, even the other teachers are in high spirits.\So thrilling and exciting!\Professor, is something the matter?\Huh? Oh, nothing at all.\Huh? That's Constanze's... response:	Wait up!
context: On the final day, the twelfth night.\Then we get to see them here in person?\Yes, even the other teachers are in high spirits.\So thrilling and exciting!\Professor, is something the matter?\Huh? Oh, nothing at all.\Huh? That's Constanze's...\Wait up! response:	Hold on! You dropped this!
context: Then we get to see them here in person?\Yes, even the other teachers are in high spirits.\So thrilling and exciting!\Professor, is something the matter?\Huh? Oh, nothing at all.\Huh? That's Constanze's...\Wait up!\Hold on! You dropped this! response:	Ouch...
context: Yes, even the other teachers are in high spirits.\So thrilling and exciting!\Professor, is something the matter?\Huh? Oh, nothing at all.\Huh? That's Constanze's...\Wait up!\Hold on! You dropped this!\Ouch... response:	Whoops...
context: So thrilling and exciting!\Professor, is something the matter?\Huh? Oh, nothing at all.\Huh? That's Constanze's...\Wait up!\Hold on! You dropped this!\Ouch...\Whoops... response:	Take action!
context: Professor, is something the matter?\Huh? Oh, nothing at all.\Huh? That's Constanze's...\Wait up!\Hold on! You dropped this!\Ouch...\Whoops...\Take action! response:	Take action!
context: Huh? Oh, nothing at all.\Huh? That's Constanze's...\Wait up!\Hold on! You dropped this!\Ouch...\Whoops...\Take action!\Take action! response:	Raise your hands!
context: Huh? That's Constanze's...\Wait up!\Hold on! You dropped this!\Ouch...\Whoops...\Take action!\Take action!\Raise your hands! response:	Raise your hands!
context: Wait up!\Hold on! You dropped this!\Ouch...\Whoops...\Take action!\Take action!\Raise your hands!\Raise your hands! response:	Release the shutter on this scene like it's the moment of a lifetime
context: Hold on! You dropped this!\Ouch...\Whoops...\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Ouch...\Whoops...\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Release the shutter on this scene like it's the moment of a lifetime
context: Whoops...\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Turn it into a story that can speak for itself
context: Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself response:	tsukuriageru na mo naki hitotsu no story
context: Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story response:	Turn it into a story that can speak for itself
context: Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself response:	tsukuriageru na mo naki hitotsu no story
context: Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story response:	Every single one of us can become a hero
context: One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero response:	watashitachi wa dare datte hiiro ni nareru
context: Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru response:	Every single one of us can become a hero
context: One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero response:	watashitachi wa dare datte hiiro ni nareru
context: Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru response:	The possibility hides within us, don't you think?
context: tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think? response:	kanousei wo himeta sonzai, sou deshou?
context: Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou? response:	The possibility hides within us, don't you think?
context: tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think? response:	kanousei wo himeta sonzai, sou deshou?
context: Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou? response:	Your first steps forward can be small to start
context: watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Your first steps forward can be small to start
