context: When you're gazing out at the sea, surrounded by the sound of waves... response:	It just goes to show that it's better to be busy.
context: We're sorry, pui Closed Today We look forward to your next visit Aria Company Right? Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company\Dear Ai, today is the Aria Company's anniversary.\That's right, it's the day that Grandma founded the Aria Company!\We'll be closed all day today, and together with Alicia and President Aria,\We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria,\the three of us are going on a little trip. We've been looking forward to it for a while. response:	My, my.
context: We're sorry, pui Closed Today We look forward to your next visit Aria Company Okay, space-out time is over!\We're sorry, pui Closed Today We look forward to your next visit Aria Company\Dear Ai, today is the Aria Company's anniversary.\That's right, it's the day that Grandma founded the Aria Company!\We'll be closed all day today, and together with Alicia and President Aria,\We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria,\the three of us are going on a little trip. We've been looking forward to it for a while.\My, my. response:	Do you remember that day Oboeteimasuka ano hi o
context: We're sorry, pui Closed Today We look forward to your next visit Aria Company\Dear Ai, today is the Aria Company's anniversary.\That's right, it's the day that Grandma founded the Aria Company!\We'll be closed all day today, and together with Alicia and President Aria,\We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria,\the three of us are going on a little trip. We've been looking forward to it for a while.\My, my.\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: Dear Ai, today is the Aria Company's anniversary.\That's right, it's the day that Grandma founded the Aria Company!\We'll be closed all day today, and together with Alicia and President Aria,\We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria,\the three of us are going on a little trip. We've been looking forward to it for a while.\My, my.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: That's right, it's the day that Grandma founded the Aria Company!\We'll be closed all day today, and together with Alicia and President Aria,\We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria,\the three of us are going on a little trip. We've been looking forward to it for a while.\My, my.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: We'll be closed all day today, and together with Alicia and President Aria,\We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria,\the three of us are going on a little trip. We've been looking forward to it for a while.\My, my.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: We're sorry, pui Closed Today We look forward to your next visit Aria Company We'll be closed all day today, and together with Alicia and President Aria,\the three of us are going on a little trip. We've been looking forward to it for a while.\My, my.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: the three of us are going on a little trip. We've been looking forward to it for a while.\My, my.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: My, my.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	An eternal spiral Zutto supiraare Wow! It's a bicycle!
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\An eternal spiral Zutto supiraare Wow! It's a bicycle! response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle!
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\An eternal spiral Zutto supiraare Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle! response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles.
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\An eternal spiral Zutto supiraare Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles. response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua.
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\An eternal spiral Zutto supiraare Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles.\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua. response:	When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua.
context: I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\An eternal spiral Zutto supiraare Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles.\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua. response:	When you climb the next hill, Tsugi no saka o nobottara
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\An eternal spiral Zutto supiraare Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles.\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: An eternal spiral Zutto supiraare\An eternal spiral Zutto supiraare Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles.\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	There are a lot of colorful houses, aren't there?
context: An eternal spiral Zutto supiraare Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles.\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\There are a lot of colorful houses, aren't there? response:	Burano Island back on Manhome was also a fishing village, just like this one.
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru Wow! It's a bicycle!\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles.\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\There are a lot of colorful houses, aren't there?\Burano Island back on Manhome was also a fishing village, just like this one. response:	It's said that the fishermen's wives painted the houses in various colors...
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru On Neo-Burano Island, children up to twelve years old are allowed to ride bicycles.\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\There are a lot of colorful houses, aren't there?\Burano Island back on Manhome was also a fishing village, just like this one.\It's said that the fishermen's wives painted the houses in various colors... response:	It seems that tradition is still alive and well here today.
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\There are a lot of colorful houses, aren't there?\Burano Island back on Manhome was also a fishing village, just like this one.\It's said that the fishermen's wives painted the houses in various colors...\It seems that tradition is still alive and well here today. response:	This is the Venetian lace that was popular in Manhome's Venice, isn't it?
context: When you climb the next hill, Tsugi no saka o nobottara This is the first time I've seen a bicycle since coming to Aqua.\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\There are a lot of colorful houses, aren't there?\Burano Island back on Manhome was also a fishing village, just like this one.\It's said that the fishermen's wives painted the houses in various colors...\It seems that tradition is still alive and well here today.\This is the Venetian lace that was popular in Manhome's Venice, isn't it? response:	Yes. Nets are necessary to fish, right?
context: When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\There are a lot of colorful houses, aren't there?\Burano Island back on Manhome was also a fishing village, just like this one.\It's said that the fishermen's wives painted the houses in various colors...\It seems that tradition is still alive and well here today.\This is the Venetian lace that was popular in Manhome's Venice, isn't it?\Yes. Nets are necessary to fish, right? response:	So lace was developed from the art of weaving nets.
context: Let's meet again Mata aimashou\There are a lot of colorful houses, aren't there?\Burano Island back on Manhome was also a fishing village, just like this one.\It's said that the fishermen's wives painted the houses in various colors...\It seems that tradition is still alive and well here today.\This is the Venetian lace that was popular in Manhome's Venice, isn't it?\Yes. Nets are necessary to fish, right?\So lace was developed from the art of weaving nets. response:	It looks like the art of lace-making has been passed down to Aqua, hasn't it?
context: There are a lot of colorful houses, aren't there?\Burano Island back on Manhome was also a fishing village, just like this one.\It's said that the fishermen's wives painted the houses in various colors...\It seems that tradition is still alive and well here today.\This is the Venetian lace that was popular in Manhome's Venice, isn't it?\Yes. Nets are necessary to fish, right?\So lace was developed from the art of weaving nets.\It looks like the art of lace-making has been passed down to Aqua, hasn't it? response:	I'm sure the bride who wears that dress will look stunning.
context: Burano Island back on Manhome was also a fishing village, just like this one.\It's said that the fishermen's wives painted the houses in various colors...\It seems that tradition is still alive and well here today.\This is the Venetian lace that was popular in Manhome's Venice, isn't it?\Yes. Nets are necessary to fish, right?\So lace was developed from the art of weaving nets.\It looks like the art of lace-making has been passed down to Aqua, hasn't it?\I'm sure the bride who wears that dress will look stunning. response:	The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress.
context: It's said that the fishermen's wives painted the houses in various colors...\It seems that tradition is still alive and well here today.\This is the Venetian lace that was popular in Manhome's Venice, isn't it?\Yes. Nets are necessary to fish, right?\So lace was developed from the art of weaving nets.\It looks like the art of lace-making has been passed down to Aqua, hasn't it?\I'm sure the bride who wears that dress will look stunning.\The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress. response:	Really?
context: It seems that tradition is still alive and well here today.\This is the Venetian lace that was popular in Manhome's Venice, isn't it?\Yes. Nets are necessary to fish, right?\So lace was developed from the art of weaving nets.\It looks like the art of lace-making has been passed down to Aqua, hasn't it?\I'm sure the bride who wears that dress will look stunning.\The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress.\Really? response:	Um, so what kind of person is Anna?
context: This is the Venetian lace that was popular in Manhome's Venice, isn't it?\Yes. Nets are necessary to fish, right?\So lace was developed from the art of weaving nets.\It looks like the art of lace-making has been passed down to Aqua, hasn't it?\I'm sure the bride who wears that dress will look stunning.\The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress.\Really?\Um, so what kind of person is Anna? response:	Let's see... She was a cheerful and glamorous Undine.
context: Yes. Nets are necessary to fish, right?\So lace was developed from the art of weaving nets.\It looks like the art of lace-making has been passed down to Aqua, hasn't it?\I'm sure the bride who wears that dress will look stunning.\The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress.\Really?\Um, so what kind of person is Anna?\Let's see... She was a cheerful and glamorous Undine. response:	She had many male fans, and was much busier than I am now.
context: So lace was developed from the art of weaving nets.\It looks like the art of lace-making has been passed down to Aqua, hasn't it?\I'm sure the bride who wears that dress will look stunning.\The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress.\Really?\Um, so what kind of person is Anna?\Let's see... She was a cheerful and glamorous Undine.\She had many male fans, and was much busier than I am now. response:	Wow! She sounds amazing! It makes me kind of nervous.
context: It looks like the art of lace-making has been passed down to Aqua, hasn't it?\I'm sure the bride who wears that dress will look stunning.\The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress.\Really?\Um, so what kind of person is Anna?\Let's see... She was a cheerful and glamorous Undine.\She had many male fans, and was much busier than I am now.\Wow! She sounds amazing! It makes me kind of nervous. response:	My, my.
context: I'm sure the bride who wears that dress will look stunning.\The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress.\Really?\Um, so what kind of person is Anna?\Let's see... She was a cheerful and glamorous Undine.\She had many male fans, and was much busier than I am now.\Wow! She sounds amazing! It makes me kind of nervous.\My, my. response:	In That Gently Passing Time...
context: The woman we're going to visit now, Anna, was also very beautiful in her lace wedding dress.\Really?\Um, so what kind of person is Anna?\Let's see... She was a cheerful and glamorous Undine.\She had many male fans, and was much busier than I am now.\Wow! She sounds amazing! It makes me kind of nervous.\My, my.\In That Gently Passing Time... response:	It's this house, Alicia.
context: Really?\Um, so what kind of person is Anna?\Let's see... She was a cheerful and glamorous Undine.\She had many male fans, and was much busier than I am now.\Wow! She sounds amazing! It makes me kind of nervous.\My, my.\In That Gently Passing Time...\It's this house, Alicia. response:	Hello!
context: Um, so what kind of person is Anna?\Let's see... She was a cheerful and glamorous Undine.\She had many male fans, and was much busier than I am now.\Wow! She sounds amazing! It makes me kind of nervous.\My, my.\In That Gently Passing Time...\It's this house, Alicia.\Hello! response:	Huh...
context: Let's see... She was a cheerful and glamorous Undine.\She had many male fans, and was much busier than I am now.\Wow! She sounds amazing! It makes me kind of nervous.\My, my.\In That Gently Passing Time...\It's this house, Alicia.\Hello!\Huh... response:	Maybe she's not home? I'm pretty sure this is the time we agreed on, but...
context: She had many male fans, and was much busier than I am now.\Wow! She sounds amazing! It makes me kind of nervous.\My, my.\In That Gently Passing Time...\It's this house, Alicia.\Hello!\Huh...\Maybe she's not home? I'm pretty sure this is the time we agreed on, but... response:	Huh?
context: Wow! She sounds amazing! It makes me kind of nervous.\My, my.\In That Gently Passing Time...\It's this house, Alicia.\Hello!\Huh...\Maybe she's not home? I'm pretty sure this is the time we agreed on, but...\Huh? response:	Huh? Huh?
context: My, my.\In That Gently Passing Time...\It's this house, Alicia.\Hello!\Huh...\Maybe she's not home? I'm pretty sure this is the time we agreed on, but...\Huh?\Huh? Huh? response:	Hello!
context: In That Gently Passing Time...\It's this house, Alicia.\Hello!\Huh...\Maybe she's not home? I'm pretty sure this is the time we agreed on, but...\Huh?\Huh? Huh?\Hello! response:	Wha?
context: It's this house, Alicia.\Hello!\Huh...\Maybe she's not home? I'm pretty sure this is the time we agreed on, but...\Huh?\Huh? Huh?\Hello!\Wha? response:	Please wait! There's something I'd like to ask you!
context: Hello!\Huh...\Maybe she's not home? I'm pretty sure this is the time we agreed on, but...\Huh?\Huh? Huh?\Hello!\Wha?\Please wait! There's something I'd like to ask you! response:	That boy...
context: Huh...\Maybe she's not home? I'm pretty sure this is the time we agreed on, but...\Huh?\Huh? Huh?\Hello!\Wha?\Please wait! There's something I'd like to ask you!\That boy... response:	What's the matter?
context: Maybe she's not home? I'm pretty sure this is the time we agreed on, but...\Huh?\Huh? Huh?\Hello!\Wha?\Please wait! There's something I'd like to ask you!\That boy...\What's the matter? response:	There were two ladies at our gate.
context: Huh?\Huh? Huh?\Hello!\Wha?\Please wait! There's something I'd like to ask you!\That boy...\What's the matter?\There were two ladies at our gate. response:	U-Umm...
context: Huh? Huh?\Hello!\Wha?\Please wait! There's something I'd like to ask you!\That boy...\What's the matter?\There were two ladies at our gate.\U-Umm... response:	That uniform...
context: Hello!\Wha?\Please wait! There's something I'd like to ask you!\That boy...\What's the matter?\There were two ladies at our gate.\U-Umm...\That uniform... response:	Anna.
context: Wha?\Please wait! There's something I'd like to ask you!\That boy...\What's the matter?\There were two ladies at our gate.\U-Umm...\That uniform...\Anna. response:	Long time no see, Alicia.
context: Please wait! There's something I'd like to ask you!\That boy...\What's the matter?\There were two ladies at our gate.\U-Umm...\That uniform...\Anna.\Long time no see, Alicia. response:	Then, you must be...
context: That boy...\What's the matter?\There were two ladies at our gate.\U-Umm...\That uniform...\Anna.\Long time no see, Alicia.\Then, you must be... response:	Ah, yes. Pleased to meet you! I'm Akari Mizunashi.
context: What's the matter?\There were two ladies at our gate.\U-Umm...\That uniform...\Anna.\Long time no see, Alicia.\Then, you must be...\Ah, yes. Pleased to meet you! I'm Akari Mizunashi. response:	Hello, Akari. I'm Anna.
context: There were two ladies at our gate.\U-Umm...\That uniform...\Anna.\Long time no see, Alicia.\Then, you must be...\Ah, yes. Pleased to meet you! I'm Akari Mizunashi.\Hello, Akari. I'm Anna. response:	And this is my son, Ahito.
context: U-Umm...\That uniform...\Anna.\Long time no see, Alicia.\Then, you must be...\Ah, yes. Pleased to meet you! I'm Akari Mizunashi.\Hello, Akari. I'm Anna.\And this is my son, Ahito. response:	Hello, Ahito.
context: That uniform...\Anna.\Long time no see, Alicia.\Then, you must be...\Ah, yes. Pleased to meet you! I'm Akari Mizunashi.\Hello, Akari. I'm Anna.\And this is my son, Ahito.\Hello, Ahito. response:	H-Hello.
context: Anna.\Long time no see, Alicia.\Then, you must be...\Ah, yes. Pleased to meet you! I'm Akari Mizunashi.\Hello, Akari. I'm Anna.\And this is my son, Ahito.\Hello, Ahito.\H-Hello. response:	Oh? What's this, Ahito? You're blushing.
context: Long time no see, Alicia.\Then, you must be...\Ah, yes. Pleased to meet you! I'm Akari Mizunashi.\Hello, Akari. I'm Anna.\And this is my son, Ahito.\Hello, Ahito.\H-Hello.\Oh? What's this, Ahito? You're blushing. response:	I'm not blushing!
context: Then, you must be...\Ah, yes. Pleased to meet you! I'm Akari Mizunashi.\Hello, Akari. I'm Anna.\And this is my son, Ahito.\Hello, Ahito.\H-Hello.\Oh? What's this, Ahito? You're blushing.\I'm not blushing! response:	My, my. Are you flustered?
context: Ah, yes. Pleased to meet you! I'm Akari Mizunashi.\Hello, Akari. I'm Anna.\And this is my son, Ahito.\Hello, Ahito.\H-Hello.\Oh? What's this, Ahito? You're blushing.\I'm not blushing!\My, my. Are you flustered? response:	Shut up, hag!
context: Hello, Akari. I'm Anna.\And this is my son, Ahito.\Hello, Ahito.\H-Hello.\Oh? What's this, Ahito? You're blushing.\I'm not blushing!\My, my. Are you flustered?\Shut up, hag! response:	Whaaat?!
context: And this is my son, Ahito.\Hello, Ahito.\H-Hello.\Oh? What's this, Ahito? You're blushing.\I'm not blushing!\My, my. Are you flustered?\Shut up, hag!\Whaaat?! response:	Stop it!
context: Hello, Ahito.\H-Hello.\Oh? What's this, Ahito? You're blushing.\I'm not blushing!\My, my. Are you flustered?\Shut up, hag!\Whaaat?!\Stop it! response:	My, my.
context: H-Hello.\Oh? What's this, Ahito? You're blushing.\I'm not blushing!\My, my. Are you flustered?\Shut up, hag!\Whaaat?!\Stop it!\My, my. response:	Such beautiful lace work.
