context: I knew that Ren wanted a child. response:	I also knew that having a child wouldn't stop me from singing.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME.\You're here again? response:	You're the one who called me over!
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME.\You're here again?\You're the one who called me over! response:	Did you videotape it?
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME.\You're here again?\You're the one who called me over!\Did you videotape it? response:	You keep making such dumb excuses to get me to come over every day!
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME.\You're here again?\You're the one who called me over!\Did you videotape it?\You keep making such dumb excuses to get me to come over every day! response:	What do you mean dumb excuses?
context: This sky is torn\By a single overflowing word\REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME.\You're here again?\You're the one who called me over!\Did you videotape it?\You keep making such dumb excuses to get me to come over every day!\What do you mean dumb excuses? response:	We were both orphans, too.
context: By a single overflowing word\REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME.\You're here again?\You're the one who called me over!\Did you videotape it?\You keep making such dumb excuses to get me to come over every day!\What do you mean dumb excuses?\We were both orphans, too. response:	Watch it, and you're sure to be in tears.
context: REN FROM 1:00 A.M. PLEASE RECORD HUTCH FOR ME.\You're here again?\You're the one who called me over!\Did you videotape it?\You keep making such dumb excuses to get me to come over every day!\What do you mean dumb excuses?\We were both orphans, too.\Watch it, and you're sure to be in tears. response:	Cry on your own! I'm going to sleep.
context: You're here again?\You're the one who called me over!\Did you videotape it?\You keep making such dumb excuses to get me to come over every day!\What do you mean dumb excuses?\We were both orphans, too.\Watch it, and you're sure to be in tears.\Cry on your own! I'm going to sleep. response:	Good morning.
context: You're the one who called me over!\Did you videotape it?\You keep making such dumb excuses to get me to come over every day!\What do you mean dumb excuses?\We were both orphans, too.\Watch it, and you're sure to be in tears.\Cry on your own! I'm going to sleep.\Good morning. response:	How are you feeling today, Miss Hachiko?
context: Did you videotape it?\You keep making such dumb excuses to get me to come over every day!\What do you mean dumb excuses?\We were both orphans, too.\Watch it, and you're sure to be in tears.\Cry on your own! I'm going to sleep.\Good morning.\How are you feeling today, Miss Hachiko? response:	Fine. Sorry if I made you worry.
context: You keep making such dumb excuses to get me to come over every day!\What do you mean dumb excuses?\We were both orphans, too.\Watch it, and you're sure to be in tears.\Cry on your own! I'm going to sleep.\Good morning.\How are you feeling today, Miss Hachiko?\Fine. Sorry if I made you worry. response:	I think it's just the summer heat getting to me,
context: What do you mean dumb excuses?\We were both orphans, too.\Watch it, and you're sure to be in tears.\Cry on your own! I'm going to sleep.\Good morning.\How are you feeling today, Miss Hachiko?\Fine. Sorry if I made you worry.\I think it's just the summer heat getting to me, response:	but I'll go see a doctor just in case.
context: We were both orphans, too.\Watch it, and you're sure to be in tears.\Cry on your own! I'm going to sleep.\Good morning.\How are you feeling today, Miss Hachiko?\Fine. Sorry if I made you worry.\I think it's just the summer heat getting to me,\but I'll go see a doctor just in case. response:	I'd better get well soon or I won't be able to go to work, right?
context: Watch it, and you're sure to be in tears.\Cry on your own! I'm going to sleep.\Good morning.\How are you feeling today, Miss Hachiko?\Fine. Sorry if I made you worry.\I think it's just the summer heat getting to me,\but I'll go see a doctor just in case.\I'd better get well soon or I won't be able to go to work, right? response:	That's a good idea! I'll come with you!
context: Cry on your own! I'm going to sleep.\Good morning.\How are you feeling today, Miss Hachiko?\Fine. Sorry if I made you worry.\I think it's just the summer heat getting to me,\but I'll go see a doctor just in case.\I'd better get well soon or I won't be able to go to work, right?\That's a good idea! I'll come with you! response:	What are you saying?
context: Good morning.\How are you feeling today, Miss Hachiko?\Fine. Sorry if I made you worry.\I think it's just the summer heat getting to me,\but I'll go see a doctor just in case.\I'd better get well soon or I won't be able to go to work, right?\That's a good idea! I'll come with you!\What are you saying? response:	You need to stay here and finish your homework today.
context: How are you feeling today, Miss Hachiko?\Fine. Sorry if I made you worry.\I think it's just the summer heat getting to me,\but I'll go see a doctor just in case.\I'd better get well soon or I won't be able to go to work, right?\That's a good idea! I'll come with you!\What are you saying?\You need to stay here and finish your homework today. response:	Please don't remind me about that.
context: Fine. Sorry if I made you worry.\I think it's just the summer heat getting to me,\but I'll go see a doctor just in case.\I'd better get well soon or I won't be able to go to work, right?\That's a good idea! I'll come with you!\What are you saying?\You need to stay here and finish your homework today.\Please don't remind me about that. response:	Now, stay focused. I'll help you when I get back.
context: I think it's just the summer heat getting to me,\but I'll go see a doctor just in case.\I'd better get well soon or I won't be able to go to work, right?\That's a good idea! I'll come with you!\What are you saying?\You need to stay here and finish your homework today.\Please don't remind me about that.\Now, stay focused. I'll help you when I get back. response:	Thank you so much.
context: but I'll go see a doctor just in case.\I'd better get well soon or I won't be able to go to work, right?\That's a good idea! I'll come with you!\What are you saying?\You need to stay here and finish your homework today.\Please don't remind me about that.\Now, stay focused. I'll help you when I get back.\Thank you so much. response:	Also, please don't tell Nana or the others
context: I'd better get well soon or I won't be able to go to work, right?\That's a good idea! I'll come with you!\What are you saying?\You need to stay here and finish your homework today.\Please don't remind me about that.\Now, stay focused. I'll help you when I get back.\Thank you so much.\Also, please don't tell Nana or the others response:	that I'm not feeling well, okay?
context: That's a good idea! I'll come with you!\What are you saying?\You need to stay here and finish your homework today.\Please don't remind me about that.\Now, stay focused. I'll help you when I get back.\Thank you so much.\Also, please don't tell Nana or the others\that I'm not feeling well, okay? response:	It's an important time for them with their debut coming up,
context: What are you saying?\You need to stay here and finish your homework today.\Please don't remind me about that.\Now, stay focused. I'll help you when I get back.\Thank you so much.\Also, please don't tell Nana or the others\that I'm not feeling well, okay?\It's an important time for them with their debut coming up, response:	so I don't want them worrying about me.
context: You need to stay here and finish your homework today.\Please don't remind me about that.\Now, stay focused. I'll help you when I get back.\Thank you so much.\Also, please don't tell Nana or the others\that I'm not feeling well, okay?\It's an important time for them with their debut coming up,\so I don't want them worrying about me. response:	But I'll be returning home tomorrow. Will you be all right on your own?
context: Please don't remind me about that.\Now, stay focused. I'll help you when I get back.\Thank you so much.\Also, please don't tell Nana or the others\that I'm not feeling well, okay?\It's an important time for them with their debut coming up,\so I don't want them worrying about me.\But I'll be returning home tomorrow. Will you be all right on your own? response:	You should at least talk with Miss Nana and have her look after you.
context: Now, stay focused. I'll help you when I get back.\Thank you so much.\Also, please don't tell Nana or the others\that I'm not feeling well, okay?\It's an important time for them with their debut coming up,\so I don't want them worrying about me.\But I'll be returning home tomorrow. Will you be all right on your own?\You should at least talk with Miss Nana and have her look after you. response:	Thanks, but I'll be all right.
context: Thank you so much.\Also, please don't tell Nana or the others\that I'm not feeling well, okay?\It's an important time for them with their debut coming up,\so I don't want them worrying about me.\But I'll be returning home tomorrow. Will you be all right on your own?\You should at least talk with Miss Nana and have her look after you.\Thanks, but I'll be all right. response:	OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC
context: Also, please don't tell Nana or the others\that I'm not feeling well, okay?\It's an important time for them with their debut coming up,\so I don't want them worrying about me.\But I'll be returning home tomorrow. Will you be all right on your own?\You should at least talk with Miss Nana and have her look after you.\Thanks, but I'll be all right.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC response:	Miss Komatsu. Miss Nana Komatsu.
context: that I'm not feeling well, okay?\It's an important time for them with their debut coming up,\so I don't want them worrying about me.\But I'll be returning home tomorrow. Will you be all right on your own?\You should at least talk with Miss Nana and have her look after you.\Thanks, but I'll be all right.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\Miss Komatsu. Miss Nana Komatsu. response:	Your urine test came back positive. When was your last period?
context: It's an important time for them with their debut coming up,\so I don't want them worrying about me.\But I'll be returning home tomorrow. Will you be all right on your own?\You should at least talk with Miss Nana and have her look after you.\Thanks, but I'll be all right.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\Miss Komatsu. Miss Nana Komatsu.\Your urine test came back positive. When was your last period? response:	July sixteenth. It lasted about five days.
context: so I don't want them worrying about me.\But I'll be returning home tomorrow. Will you be all right on your own?\You should at least talk with Miss Nana and have her look after you.\Thanks, but I'll be all right.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\Miss Komatsu. Miss Nana Komatsu.\Your urine test came back positive. When was your last period?\July sixteenth. It lasted about five days. response:	Should you be pregnant, are you planning on keeping it?
context: But I'll be returning home tomorrow. Will you be all right on your own?\You should at least talk with Miss Nana and have her look after you.\Thanks, but I'll be all right.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\Miss Komatsu. Miss Nana Komatsu.\Your urine test came back positive. When was your last period?\July sixteenth. It lasted about five days.\Should you be pregnant, are you planning on keeping it? response:	We'll begin with a pelvic examination. Over there please.
context: You should at least talk with Miss Nana and have her look after you.\Thanks, but I'll be all right.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\Miss Komatsu. Miss Nana Komatsu.\Your urine test came back positive. When was your last period?\July sixteenth. It lasted about five days.\Should you be pregnant, are you planning on keeping it?\We'll begin with a pelvic examination. Over there please. response:	Please come in, Miss Komatsu.
context: Thanks, but I'll be all right.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\Miss Komatsu. Miss Nana Komatsu.\Your urine test came back positive. When was your last period?\July sixteenth. It lasted about five days.\Should you be pregnant, are you planning on keeping it?\We'll begin with a pelvic examination. Over there please.\Please come in, Miss Komatsu. response:	Please take off your underwear and sit on the examination table.
context: OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\Miss Komatsu. Miss Nana Komatsu.\Your urine test came back positive. When was your last period?\July sixteenth. It lasted about five days.\Should you be pregnant, are you planning on keeping it?\We'll begin with a pelvic examination. Over there please.\Please come in, Miss Komatsu.\Please take off your underwear and sit on the examination table. response:	You may keep your skirt on.
context: Miss Komatsu. Miss Nana Komatsu.\Your urine test came back positive. When was your last period?\July sixteenth. It lasted about five days.\Should you be pregnant, are you planning on keeping it?\We'll begin with a pelvic examination. Over there please.\Please come in, Miss Komatsu.\Please take off your underwear and sit on the examination table.\You may keep your skirt on. response:	Ah, yes.
context: Your urine test came back positive. When was your last period?\July sixteenth. It lasted about five days.\Should you be pregnant, are you planning on keeping it?\We'll begin with a pelvic examination. Over there please.\Please come in, Miss Komatsu.\Please take off your underwear and sit on the examination table.\You may keep your skirt on.\Ah, yes. response:	I don't deal well with inconveniences like that.
context: July sixteenth. It lasted about five days.\Should you be pregnant, are you planning on keeping it?\We'll begin with a pelvic examination. Over there please.\Please come in, Miss Komatsu.\Please take off your underwear and sit on the examination table.\You may keep your skirt on.\Ah, yes.\I don't deal well with inconveniences like that. response:	Miss Komatsu, please relax.
context: Should you be pregnant, are you planning on keeping it?\We'll begin with a pelvic examination. Over there please.\Please come in, Miss Komatsu.\Please take off your underwear and sit on the examination table.\You may keep your skirt on.\Ah, yes.\I don't deal well with inconveniences like that.\Miss Komatsu, please relax. response:	I'll be waiting faithfully.
context: We'll begin with a pelvic examination. Over there please.\Please come in, Miss Komatsu.\Please take off your underwear and sit on the examination table.\You may keep your skirt on.\Ah, yes.\I don't deal well with inconveniences like that.\Miss Komatsu, please relax.\I'll be waiting faithfully. response:	You are pregnant.
context: Please come in, Miss Komatsu.\Please take off your underwear and sit on the examination table.\You may keep your skirt on.\Ah, yes.\I don't deal well with inconveniences like that.\Miss Komatsu, please relax.\I'll be waiting faithfully.\You are pregnant. response:	This small black circle you see is the sack that contains your baby.
context: Please take off your underwear and sit on the examination table.\You may keep your skirt on.\Ah, yes.\I don't deal well with inconveniences like that.\Miss Komatsu, please relax.\I'll be waiting faithfully.\You are pregnant.\This small black circle you see is the sack that contains your baby. response:	And the little dot you see inside it is your baby.
context: You may keep your skirt on.\Ah, yes.\I don't deal well with inconveniences like that.\Miss Komatsu, please relax.\I'll be waiting faithfully.\You are pregnant.\This small black circle you see is the sack that contains your baby.\And the little dot you see inside it is your baby. response:	Now, we count the first week from the day of your last period
context: Ah, yes.\I don't deal well with inconveniences like that.\Miss Komatsu, please relax.\I'll be waiting faithfully.\You are pregnant.\This small black circle you see is the sack that contains your baby.\And the little dot you see inside it is your baby.\Now, we count the first week from the day of your last period response:	as week zero,
context: I don't deal well with inconveniences like that.\Miss Komatsu, please relax.\I'll be waiting faithfully.\You are pregnant.\This small black circle you see is the sack that contains your baby.\And the little dot you see inside it is your baby.\Now, we count the first week from the day of your last period\as week zero, response:	so you're in the middle of your sixth week.
context: Miss Komatsu, please relax.\I'll be waiting faithfully.\You are pregnant.\This small black circle you see is the sack that contains your baby.\And the little dot you see inside it is your baby.\Now, we count the first week from the day of your last period\as week zero,\so you're in the middle of your sixth week. response:	If you're planning on keeping your child,
context: I'll be waiting faithfully.\You are pregnant.\This small black circle you see is the sack that contains your baby.\And the little dot you see inside it is your baby.\Now, we count the first week from the day of your last period\as week zero,\so you're in the middle of your sixth week.\If you're planning on keeping your child, response:	come for another check-up in two weeks.
context: You are pregnant.\This small black circle you see is the sack that contains your baby.\And the little dot you see inside it is your baby.\Now, we count the first week from the day of your last period\as week zero,\so you're in the middle of your sixth week.\If you're planning on keeping your child,\come for another check-up in two weeks. response:	If you wish to have an abortion,
context: This small black circle you see is the sack that contains your baby.\And the little dot you see inside it is your baby.\Now, we count the first week from the day of your last period\as week zero,\so you're in the middle of your sixth week.\If you're planning on keeping your child,\come for another check-up in two weeks.\If you wish to have an abortion, response:	the sooner the better for your body's sake.
context: And the little dot you see inside it is your baby.\Now, we count the first week from the day of your last period\as week zero,\so you're in the middle of your sixth week.\If you're planning on keeping your child,\come for another check-up in two weeks.\If you wish to have an abortion,\the sooner the better for your body's sake. response:	Would you like to take home the photo?
context: Now, we count the first week from the day of your last period\as week zero,\so you're in the middle of your sixth week.\If you're planning on keeping your child,\come for another check-up in two weeks.\If you wish to have an abortion,\the sooner the better for your body's sake.\Would you like to take home the photo? response:	Yes.
context: as week zero,\so you're in the middle of your sixth week.\If you're planning on keeping your child,\come for another check-up in two weeks.\If you wish to have an abortion,\the sooner the better for your body's sake.\Would you like to take home the photo?\Yes. response:	What? He grew up abroad?
context: so you're in the middle of your sixth week.\If you're planning on keeping your child,\come for another check-up in two weeks.\If you wish to have an abortion,\the sooner the better for your body's sake.\Would you like to take home the photo?\Yes.\What? He grew up abroad? response:	Where?
context: If you're planning on keeping your child,\come for another check-up in two weeks.\If you wish to have an abortion,\the sooner the better for your body's sake.\Would you like to take home the photo?\Yes.\What? He grew up abroad?\Where? response:	I didn't get around to asking him. So you didn't know either.
context: come for another check-up in two weeks.\If you wish to have an abortion,\the sooner the better for your body's sake.\Would you like to take home the photo?\Yes.\What? He grew up abroad?\Where?\I didn't get around to asking him. So you didn't know either. response:	Did you know about it?
context: If you wish to have an abortion,\the sooner the better for your body's sake.\Would you like to take home the photo?\Yes.\What? He grew up abroad?\Where?\I didn't get around to asking him. So you didn't know either.\Did you know about it? response:	No. I heard about it from Misato as well,
context: the sooner the better for your body's sake.\Would you like to take home the photo?\Yes.\What? He grew up abroad?\Where?\I didn't get around to asking him. So you didn't know either.\Did you know about it?\No. I heard about it from Misato as well, response:	and was surprised at first.
context: Would you like to take home the photo?\Yes.\What? He grew up abroad?\Where?\I didn't get around to asking him. So you didn't know either.\Did you know about it?\No. I heard about it from Misato as well,\and was surprised at first. response:	But thinking back, for one,
context: Yes.\What? He grew up abroad?\Where?\I didn't get around to asking him. So you didn't know either.\Did you know about it?\No. I heard about it from Misato as well,\and was surprised at first.\But thinking back, for one, response:	he didn't know about the Tanabata festivities.
context: What? He grew up abroad?\Where?\I didn't get around to asking him. So you didn't know either.\Did you know about it?\No. I heard about it from Misato as well,\and was surprised at first.\But thinking back, for one,\he didn't know about the Tanabata festivities. response:	This explains some things I thought were odd about him.
context: Where?\I didn't get around to asking him. So you didn't know either.\Did you know about it?\No. I heard about it from Misato as well,\and was surprised at first.\But thinking back, for one,\he didn't know about the Tanabata festivities.\This explains some things I thought were odd about him. response:	Yeah, I guess so.
context: I didn't get around to asking him. So you didn't know either.\Did you know about it?\No. I heard about it from Misato as well,\and was surprised at first.\But thinking back, for one,\he didn't know about the Tanabata festivities.\This explains some things I thought were odd about him.\Yeah, I guess so. response:	But if his parents are Japanese,
context: Did you know about it?\No. I heard about it from Misato as well,\and was surprised at first.\But thinking back, for one,\he didn't know about the Tanabata festivities.\This explains some things I thought were odd about him.\Yeah, I guess so.\But if his parents are Japanese, response:	I'd think they would've at least told him about Tanabata.
context: No. I heard about it from Misato as well,\and was surprised at first.\But thinking back, for one,\he didn't know about the Tanabata festivities.\This explains some things I thought were odd about him.\Yeah, I guess so.\But if his parents are Japanese,\I'd think they would've at least told him about Tanabata. response:	Are you ready to order?
context: and was surprised at first.\But thinking back, for one,\he didn't know about the Tanabata festivities.\This explains some things I thought were odd about him.\Yeah, I guess so.\But if his parents are Japanese,\I'd think they would've at least told him about Tanabata.\Are you ready to order? response:	Have you decided, Miss Hachiko?
context: But thinking back, for one,\he didn't know about the Tanabata festivities.\This explains some things I thought were odd about him.\Yeah, I guess so.\But if his parents are Japanese,\I'd think they would've at least told him about Tanabata.\Are you ready to order?\Have you decided, Miss Hachiko? response:	Yeah.
context: he didn't know about the Tanabata festivities.\This explains some things I thought were odd about him.\Yeah, I guess so.\But if his parents are Japanese,\I'd think they would've at least told him about Tanabata.\Are you ready to order?\Have you decided, Miss Hachiko?\Yeah. response:	I'll have the grapefruit juice.
context: This explains some things I thought were odd about him.\Yeah, I guess so.\But if his parents are Japanese,\I'd think they would've at least told him about Tanabata.\Are you ready to order?\Have you decided, Miss Hachiko?\Yeah.\I'll have the grapefruit juice. response:	Aren't you eating?
context: Yeah, I guess so.\But if his parents are Japanese,\I'd think they would've at least told him about Tanabata.\Are you ready to order?\Have you decided, Miss Hachiko?\Yeah.\I'll have the grapefruit juice.\Aren't you eating? response:	I'm not hungry.
context: But if his parents are Japanese,\I'd think they would've at least told him about Tanabata.\Are you ready to order?\Have you decided, Miss Hachiko?\Yeah.\I'll have the grapefruit juice.\Aren't you eating?\I'm not hungry. response:	Really? Also, two mixed sandwiches and two cafe au laits.
context: I'd think they would've at least told him about Tanabata.\Are you ready to order?\Have you decided, Miss Hachiko?\Yeah.\I'll have the grapefruit juice.\Aren't you eating?\I'm not hungry.\Really? Also, two mixed sandwiches and two cafe au laits. response:	All right.
context: Are you ready to order?\Have you decided, Miss Hachiko?\Yeah.\I'll have the grapefruit juice.\Aren't you eating?\I'm not hungry.\Really? Also, two mixed sandwiches and two cafe au laits.\All right. response:	Miss Nana, would it be possible for you
context: Have you decided, Miss Hachiko?\Yeah.\I'll have the grapefruit juice.\Aren't you eating?\I'm not hungry.\Really? Also, two mixed sandwiches and two cafe au laits.\All right.\Miss Nana, would it be possible for you response:	to return to your home for a while starting tonight?
context: Yeah.\I'll have the grapefruit juice.\Aren't you eating?\I'm not hungry.\Really? Also, two mixed sandwiches and two cafe au laits.\All right.\Miss Nana, would it be possible for you\to return to your home for a while starting tonight? response:	The truth is, Miss Hachiko hasn't been feeling well lately.
context: I'll have the grapefruit juice.\Aren't you eating?\I'm not hungry.\Really? Also, two mixed sandwiches and two cafe au laits.\All right.\Miss Nana, would it be possible for you\to return to your home for a while starting tonight?\The truth is, Miss Hachiko hasn't been feeling well lately. response:	Really? Is that why you look like you're under the weather?
context: Aren't you eating?\I'm not hungry.\Really? Also, two mixed sandwiches and two cafe au laits.\All right.\Miss Nana, would it be possible for you\to return to your home for a while starting tonight?\The truth is, Miss Hachiko hasn't been feeling well lately.\Really? Is that why you look like you're under the weather? response:	Oh, but it's just the summer heat. I'm all right.
context: I'm not hungry.\Really? Also, two mixed sandwiches and two cafe au laits.\All right.\Miss Nana, would it be possible for you\to return to your home for a while starting tonight?\The truth is, Miss Hachiko hasn't been feeling well lately.\Really? Is that why you look like you're under the weather?\Oh, but it's just the summer heat. I'm all right. response:	The doctor said so, too.
context: Really? Also, two mixed sandwiches and two cafe au laits.\All right.\Miss Nana, would it be possible for you\to return to your home for a while starting tonight?\The truth is, Miss Hachiko hasn't been feeling well lately.\Really? Is that why you look like you're under the weather?\Oh, but it's just the summer heat. I'm all right.\The doctor said so, too. response:	It's bad enough that you had to see a doctor?!
context: All right.\Miss Nana, would it be possible for you\to return to your home for a while starting tonight?\The truth is, Miss Hachiko hasn't been feeling well lately.\Really? Is that why you look like you're under the weather?\Oh, but it's just the summer heat. I'm all right.\The doctor said so, too.\It's bad enough that you had to see a doctor?! response:	That's definitely not all right!
context: Miss Nana, would it be possible for you\to return to your home for a while starting tonight?\The truth is, Miss Hachiko hasn't been feeling well lately.\Really? Is that why you look like you're under the weather?\Oh, but it's just the summer heat. I'm all right.\The doctor said so, too.\It's bad enough that you had to see a doctor?!\That's definitely not all right! response:	But the doctor said I'm fine, so it's all right.
context: to return to your home for a while starting tonight?\The truth is, Miss Hachiko hasn't been feeling well lately.\Really? Is that why you look like you're under the weather?\Oh, but it's just the summer heat. I'm all right.\The doctor said so, too.\It's bad enough that you had to see a doctor?!\That's definitely not all right!\But the doctor said I'm fine, so it's all right. response:	That's not the issue here.
context: The truth is, Miss Hachiko hasn't been feeling well lately.\Really? Is that why you look like you're under the weather?\Oh, but it's just the summer heat. I'm all right.\The doctor said so, too.\It's bad enough that you had to see a doctor?!\That's definitely not all right!\But the doctor said I'm fine, so it's all right.\That's not the issue here. response:	All right, Misato. I'll return home starting tonight, so don't worry.
context: Really? Is that why you look like you're under the weather?\Oh, but it's just the summer heat. I'm all right.\The doctor said so, too.\It's bad enough that you had to see a doctor?!\That's definitely not all right!\But the doctor said I'm fine, so it's all right.\That's not the issue here.\All right, Misato. I'll return home starting tonight, so don't worry. response:	Yes. Thank you very much.
context: Oh, but it's just the summer heat. I'm all right.\The doctor said so, too.\It's bad enough that you had to see a doctor?!\That's definitely not all right!\But the doctor said I'm fine, so it's all right.\That's not the issue here.\All right, Misato. I'll return home starting tonight, so don't worry.\Yes. Thank you very much. response:	Oh, going back to what I was saying about Shin...
context: The doctor said so, too.\It's bad enough that you had to see a doctor?!\That's definitely not all right!\But the doctor said I'm fine, so it's all right.\That's not the issue here.\All right, Misato. I'll return home starting tonight, so don't worry.\Yes. Thank you very much.\Oh, going back to what I was saying about Shin... response:	I assumed he was half Japanese. So without thinking, I told him
context: It's bad enough that you had to see a doctor?!\That's definitely not all right!\But the doctor said I'm fine, so it's all right.\That's not the issue here.\All right, Misato. I'll return home starting tonight, so don't worry.\Yes. Thank you very much.\Oh, going back to what I was saying about Shin...\I assumed he was half Japanese. So without thinking, I told him response:	I wasn't convinced that his parents were both Japanese.
context: That's definitely not all right!\But the doctor said I'm fine, so it's all right.\That's not the issue here.\All right, Misato. I'll return home starting tonight, so don't worry.\Yes. Thank you very much.\Oh, going back to what I was saying about Shin...\I assumed he was half Japanese. So without thinking, I told him\I wasn't convinced that his parents were both Japanese. response:	Then he told me he wasn't convinced either.
context: But the doctor said I'm fine, so it's all right.\That's not the issue here.\All right, Misato. I'll return home starting tonight, so don't worry.\Yes. Thank you very much.\Oh, going back to what I was saying about Shin...\I assumed he was half Japanese. So without thinking, I told him\I wasn't convinced that his parents were both Japanese.\Then he told me he wasn't convinced either. response:	That his parents shouldn't have given birth to him.
context: That's not the issue here.\All right, Misato. I'll return home starting tonight, so don't worry.\Yes. Thank you very much.\Oh, going back to what I was saying about Shin...\I assumed he was half Japanese. So without thinking, I told him\I wasn't convinced that his parents were both Japanese.\Then he told me he wasn't convinced either.\That his parents shouldn't have given birth to him. response:	Miss Hachiko and I were discussing that
context: All right, Misato. I'll return home starting tonight, so don't worry.\Yes. Thank you very much.\Oh, going back to what I was saying about Shin...\I assumed he was half Japanese. So without thinking, I told him\I wasn't convinced that his parents were both Japanese.\Then he told me he wasn't convinced either.\That his parents shouldn't have given birth to him.\Miss Hachiko and I were discussing that response:	that sorta thinking is like him denying his own existence.
