context: Dad? You mean him? response:	So he's having an affair?
context: Sayu!\I don't like your dad either.\He's got a kid and he's trying to get with a younger woman...\He's not fit for Akari... my big sister.\Your sister's the one who's tricking him!\But...\Hey!\Wh-Why you response:	I don't like playing dirty like you, Miuna.
context: I don't like your dad either.\He's got a kid and he's trying to get with a younger woman...\He's not fit for Akari... my big sister.\Your sister's the one who's tricking him!\But...\Hey!\Wh-Why you\I don't like playing dirty like you, Miuna. response:	See ya.
context: He's got a kid and he's trying to get with a younger woman...\He's not fit for Akari... my big sister.\Your sister's the one who's tricking him!\But...\Hey!\Wh-Why you\I don't like playing dirty like you, Miuna.\See ya. response:	Wh-What's his problem?!
context: He's not fit for Akari... my big sister.\Your sister's the one who's tricking him!\But...\Hey!\Wh-Why you\I don't like playing dirty like you, Miuna.\See ya.\Wh-What's his problem?! response:	He won't get away with that!
context: Your sister's the one who's tricking him!\But...\Hey!\Wh-Why you\I don't like playing dirty like you, Miuna.\See ya.\Wh-What's his problem?!\He won't get away with that! response:	Miuna! Let's fry him up!
context: But...\Hey!\Wh-Why you\I don't like playing dirty like you, Miuna.\See ya.\Wh-What's his problem?!\He won't get away with that!\Miuna! Let's fry him up! response:	We'll make him into takoyaki!
context: Hey!\Wh-Why you\I don't like playing dirty like you, Miuna.\See ya.\Wh-What's his problem?!\He won't get away with that!\Miuna! Let's fry him up!\We'll make him into takoyaki! response:	Miuna?
context: Wh-Why you\I don't like playing dirty like you, Miuna.\See ya.\Wh-What's his problem?!\He won't get away with that!\Miuna! Let's fry him up!\We'll make him into takoyaki!\Miuna? response:	Episode 4: Because We're Friends
context: I don't like playing dirty like you, Miuna.\See ya.\Wh-What's his problem?!\He won't get away with that!\Miuna! Let's fry him up!\We'll make him into takoyaki!\Miuna?\Episode 4: Because We're Friends response:	Wow, that's amazing, Hii-kun!
context: See ya.\Wh-What's his problem?!\He won't get away with that!\Miuna! Let's fry him up!\We'll make him into takoyaki!\Miuna?\Episode 4: Because We're Friends\Wow, that's amazing, Hii-kun! response:	You're really good.
context: Wh-What's his problem?!\He won't get away with that!\Miuna! Let's fry him up!\We'll make him into takoyaki!\Miuna?\Episode 4: Because We're Friends\Wow, that's amazing, Hii-kun!\You're really good. response:	It's not a big deal...
context: He won't get away with that!\Miuna! Let's fry him up!\We'll make him into takoyaki!\Miuna?\Episode 4: Because We're Friends\Wow, that's amazing, Hii-kun!\You're really good.\It's not a big deal... response:	Your cheek's twitching.
context: Miuna! Let's fry him up!\We'll make him into takoyaki!\Miuna?\Episode 4: Because We're Friends\Wow, that's amazing, Hii-kun!\You're really good.\It's not a big deal...\Your cheek's twitching. response:	You're really good too, Tsumugu-kun.
context: We'll make him into takoyaki!\Miuna?\Episode 4: Because We're Friends\Wow, that's amazing, Hii-kun!\You're really good.\It's not a big deal...\Your cheek's twitching.\You're really good too, Tsumugu-kun. response:	When did you learn how to cook?
context: Miuna?\Episode 4: Because We're Friends\Wow, that's amazing, Hii-kun!\You're really good.\It's not a big deal...\Your cheek's twitching.\You're really good too, Tsumugu-kun.\When did you learn how to cook? response:	I've always been cooking.
context: Episode 4: Because We're Friends\Wow, that's amazing, Hii-kun!\You're really good.\It's not a big deal...\Your cheek's twitching.\You're really good too, Tsumugu-kun.\When did you learn how to cook?\I've always been cooking. response:	It's always been just me and Gramps, so...
context: Wow, that's amazing, Hii-kun!\You're really good.\It's not a big deal...\Your cheek's twitching.\You're really good too, Tsumugu-kun.\When did you learn how to cook?\I've always been cooking.\It's always been just me and Gramps, so... response:	I see. That's very admirable.
context: You're really good.\It's not a big deal...\Your cheek's twitching.\You're really good too, Tsumugu-kun.\When did you learn how to cook?\I've always been cooking.\It's always been just me and Gramps, so...\I see. That's very admirable. response:	W-We don't need that much Chinese cabbage...
context: It's not a big deal...\Your cheek's twitching.\You're really good too, Tsumugu-kun.\When did you learn how to cook?\I've always been cooking.\It's always been just me and Gramps, so...\I see. That's very admirable.\W-We don't need that much Chinese cabbage... response:	So good!
context: Your cheek's twitching.\You're really good too, Tsumugu-kun.\When did you learn how to cook?\I've always been cooking.\It's always been just me and Gramps, so...\I see. That's very admirable.\W-We don't need that much Chinese cabbage...\So good! response:	All right. Let's all go around to the other groups and try their food.
context: You're really good too, Tsumugu-kun.\When did you learn how to cook?\I've always been cooking.\It's always been just me and Gramps, so...\I see. That's very admirable.\W-We don't need that much Chinese cabbage...\So good!\All right. Let's all go around to the other groups and try their food. response:	Okay.
context: When did you learn how to cook?\I've always been cooking.\It's always been just me and Gramps, so...\I see. That's very admirable.\W-We don't need that much Chinese cabbage...\So good!\All right. Let's all go around to the other groups and try their food.\Okay. response:	Huh?
context: I've always been cooking.\It's always been just me and Gramps, so...\I see. That's very admirable.\W-We don't need that much Chinese cabbage...\So good!\All right. Let's all go around to the other groups and try their food.\Okay.\Huh? response:	Hey, give me some.
context: It's always been just me and Gramps, so...\I see. That's very admirable.\W-We don't need that much Chinese cabbage...\So good!\All right. Let's all go around to the other groups and try their food.\Okay.\Huh?\Hey, give me some. response:	What is this? The carrot's so big.
context: I see. That's very admirable.\W-We don't need that much Chinese cabbage...\So good!\All right. Let's all go around to the other groups and try their food.\Okay.\Huh?\Hey, give me some.\What is this? The carrot's so big. response:	What do you want to do?
context: W-We don't need that much Chinese cabbage...\So good!\All right. Let's all go around to the other groups and try their food.\Okay.\Huh?\Hey, give me some.\What is this? The carrot's so big.\What do you want to do? response:	I'm not sure...
context: So good!\All right. Let's all go around to the other groups and try their food.\Okay.\Huh?\Hey, give me some.\What is this? The carrot's so big.\What do you want to do?\I'm not sure... response:	E-Excuse me...
context: All right. Let's all go around to the other groups and try their food.\Okay.\Huh?\Hey, give me some.\What is this? The carrot's so big.\What do you want to do?\I'm not sure...\E-Excuse me... response:	Please... try this if you'd like.
context: Okay.\Huh?\Hey, give me some.\What is this? The carrot's so big.\What do you want to do?\I'm not sure...\E-Excuse me...\Please... try this if you'd like. response:	Manaka!
context: Huh?\Hey, give me some.\What is this? The carrot's so big.\What do you want to do?\I'm not sure...\E-Excuse me...\Please... try this if you'd like.\Manaka! response:	Try this?
context: Hey, give me some.\What is this? The carrot's so big.\What do you want to do?\I'm not sure...\E-Excuse me...\Please... try this if you'd like.\Manaka!\Try this? response:	Like there's any way we could eat anything you sea people make.
context: What is this? The carrot's so big.\What do you want to do?\I'm not sure...\E-Excuse me...\Please... try this if you'd like.\Manaka!\Try this?\Like there's any way we could eat anything you sea people make. response:	Wha...
context: What do you want to do?\I'm not sure...\E-Excuse me...\Please... try this if you'd like.\Manaka!\Try this?\Like there's any way we could eat anything you sea people make.\Wha... response:	It smells pretty fishy.
context: I'm not sure...\E-Excuse me...\Please... try this if you'd like.\Manaka!\Try this?\Like there's any way we could eat anything you sea people make.\Wha...\It smells pretty fishy. response:	Right?
context: E-Excuse me...\Please... try this if you'd like.\Manaka!\Try this?\Like there's any way we could eat anything you sea people make.\Wha...\It smells pretty fishy.\Right? response:	B-But... there isn't even any fish in it.
context: Please... try this if you'd like.\Manaka!\Try this?\Like there's any way we could eat anything you sea people make.\Wha...\It smells pretty fishy.\Right?\B-But... there isn't even any fish in it. response:	I don't want any.
context: Manaka!\Try this?\Like there's any way we could eat anything you sea people make.\Wha...\It smells pretty fishy.\Right?\B-But... there isn't even any fish in it.\I don't want any. response:	I think it's fine...
context: Try this?\Like there's any way we could eat anything you sea people make.\Wha...\It smells pretty fishy.\Right?\B-But... there isn't even any fish in it.\I don't want any.\I think it's fine... response:	I said I don't want any!
context: Like there's any way we could eat anything you sea people make.\Wha...\It smells pretty fishy.\Right?\B-But... there isn't even any fish in it.\I don't want any.\I think it's fine...\I said I don't want any! response:	Why you...
context: Wha...\It smells pretty fishy.\Right?\B-But... there isn't even any fish in it.\I don't want any.\I think it's fine...\I said I don't want any!\Why you... response:	Apologize.
context: It smells pretty fishy.\Right?\B-But... there isn't even any fish in it.\I don't want any.\I think it's fine...\I said I don't want any!\Why you...\Apologize. response:	Tsumugu-kun...
context: Right?\B-But... there isn't even any fish in it.\I don't want any.\I think it's fine...\I said I don't want any!\Why you...\Apologize.\Tsumugu-kun... response:	What for? My hand just accidentally bumped her.
context: B-But... there isn't even any fish in it.\I don't want any.\I think it's fine...\I said I don't want any!\Why you...\Apologize.\Tsumugu-kun...\What for? My hand just accidentally bumped her. response:	Yeah...
context: I don't want any.\I think it's fine...\I said I don't want any!\Why you...\Apologize.\Tsumugu-kun...\What for? My hand just accidentally bumped her.\Yeah... response:	Right?
context: I think it's fine...\I said I don't want any!\Why you...\Apologize.\Tsumugu-kun...\What for? My hand just accidentally bumped her.\Yeah...\Right? response:	Hey, what's going on here?
context: I said I don't want any!\Why you...\Apologize.\Tsumugu-kun...\What for? My hand just accidentally bumped her.\Yeah...\Right?\Hey, what's going on here? response:	Oh...
context: Why you...\Apologize.\Tsumugu-kun...\What for? My hand just accidentally bumped her.\Yeah...\Right?\Hey, what's going on here?\Oh... response:	Sorry...
context: Apologize.\Tsumugu-kun...\What for? My hand just accidentally bumped her.\Yeah...\Right?\Hey, what's going on here?\Oh...\Sorry... response:	You're not going to eat your lunch?
context: Tsumugu-kun...\What for? My hand just accidentally bumped her.\Yeah...\Right?\Hey, what's going on here?\Oh...\Sorry...\You're not going to eat your lunch? response:	We just ate...
context: What for? My hand just accidentally bumped her.\Yeah...\Right?\Hey, what's going on here?\Oh...\Sorry...\You're not going to eat your lunch?\We just ate... response:	I'm gonna go work on Ojoshi-sama.
context: Yeah...\Right?\Hey, what's going on here?\Oh...\Sorry...\You're not going to eat your lunch?\We just ate...\I'm gonna go work on Ojoshi-sama. response:	Oh, I'll go, too.
context: Right?\Hey, what's going on here?\Oh...\Sorry...\You're not going to eat your lunch?\We just ate...\I'm gonna go work on Ojoshi-sama.\Oh, I'll go, too. response:	Hey...
context: Hey, what's going on here?\Oh...\Sorry...\You're not going to eat your lunch?\We just ate...\I'm gonna go work on Ojoshi-sama.\Oh, I'll go, too.\Hey... response:	Maybe we should try harder to get along with them.
context: Oh...\Sorry...\You're not going to eat your lunch?\We just ate...\I'm gonna go work on Ojoshi-sama.\Oh, I'll go, too.\Hey...\Maybe we should try harder to get along with them. response:	Wood Shop Room
context: Sorry...\You're not going to eat your lunch?\We just ate...\I'm gonna go work on Ojoshi-sama.\Oh, I'll go, too.\Hey...\Maybe we should try harder to get along with them.\Wood Shop Room response:	With the guys that waste food?
context: You're not going to eat your lunch?\We just ate...\I'm gonna go work on Ojoshi-sama.\Oh, I'll go, too.\Hey...\Maybe we should try harder to get along with them.\Wood Shop Room\With the guys that waste food? response:	Wha...
context: We just ate...\I'm gonna go work on Ojoshi-sama.\Oh, I'll go, too.\Hey...\Maybe we should try harder to get along with them.\Wood Shop Room\With the guys that waste food?\Wha... response:	This is horrible!
context: I'm gonna go work on Ojoshi-sama.\Oh, I'll go, too.\Hey...\Maybe we should try harder to get along with them.\Wood Shop Room\With the guys that waste food?\Wha...\This is horrible! response:	Who would do this...
context: Oh, I'll go, too.\Hey...\Maybe we should try harder to get along with them.\Wood Shop Room\With the guys that waste food?\Wha...\This is horrible!\Who would do this... response:	It's them.
context: Hey...\Maybe we should try harder to get along with them.\Wood Shop Room\With the guys that waste food?\Wha...\This is horrible!\Who would do this...\It's them. response:	Wait, Hikari!
context: Maybe we should try harder to get along with them.\Wood Shop Room\With the guys that waste food?\Wha...\This is horrible!\Who would do this...\It's them.\Wait, Hikari! response:	Half arm suplex!
context: Wood Shop Room\With the guys that waste food?\Wha...\This is horrible!\Who would do this...\It's them.\Wait, Hikari!\Half arm suplex! response:	Hey, stop!
context: With the guys that waste food?\Wha...\This is horrible!\Who would do this...\It's them.\Wait, Hikari!\Half arm suplex!\Hey, stop! response:	Chest!
context: Wha...\This is horrible!\Who would do this...\It's them.\Wait, Hikari!\Half arm suplex!\Hey, stop!\Chest! response:	Hikari!
context: This is horrible!\Who would do this...\It's them.\Wait, Hikari!\Half arm suplex!\Hey, stop!\Chest!\Hikari! response:	It's wrong that the Ojoshi-sama was broken, but still...
context: Who would do this...\It's them.\Wait, Hikari!\Half arm suplex!\Hey, stop!\Chest!\Hikari!\It's wrong that the Ojoshi-sama was broken, but still... response:	We didn't do that!
context: It's them.\Wait, Hikari!\Half arm suplex!\Hey, stop!\Chest!\Hikari!\It's wrong that the Ojoshi-sama was broken, but still...\We didn't do that! response:	Stop lying! Then who the hell did it?!
context: Wait, Hikari!\Half arm suplex!\Hey, stop!\Chest!\Hikari!\It's wrong that the Ojoshi-sama was broken, but still...\We didn't do that!\Stop lying! Then who the hell did it?! response:	Hey, stop. Stop.
context: Half arm suplex!\Hey, stop!\Chest!\Hikari!\It's wrong that the Ojoshi-sama was broken, but still...\We didn't do that!\Stop lying! Then who the hell did it?!\Hey, stop. Stop. response:	Hii-kun...
context: Hey, stop!\Chest!\Hikari!\It's wrong that the Ojoshi-sama was broken, but still...\We didn't do that!\Stop lying! Then who the hell did it?!\Hey, stop. Stop.\Hii-kun... response:	You're a little too excited today, so this isn't going anywhere.
context: Chest!\Hikari!\It's wrong that the Ojoshi-sama was broken, but still...\We didn't do that!\Stop lying! Then who the hell did it?!\Hey, stop. Stop.\Hii-kun...\You're a little too excited today, so this isn't going anywhere. response:	We'll talk about this further tomorrow.
context: Hikari!\It's wrong that the Ojoshi-sama was broken, but still...\We didn't do that!\Stop lying! Then who the hell did it?!\Hey, stop. Stop.\Hii-kun...\You're a little too excited today, so this isn't going anywhere.\We'll talk about this further tomorrow. response:	Right.
context: It's wrong that the Ojoshi-sama was broken, but still...\We didn't do that!\Stop lying! Then who the hell did it?!\Hey, stop. Stop.\Hii-kun...\You're a little too excited today, so this isn't going anywhere.\We'll talk about this further tomorrow.\Right. response:	Hikari, you can go home for now.
context: We didn't do that!\Stop lying! Then who the hell did it?!\Hey, stop. Stop.\Hii-kun...\You're a little too excited today, so this isn't going anywhere.\We'll talk about this further tomorrow.\Right.\Hikari, you can go home for now. response:	I'm the only one you're sending home?!
context: Stop lying! Then who the hell did it?!\Hey, stop. Stop.\Hii-kun...\You're a little too excited today, so this isn't going anywhere.\We'll talk about this further tomorrow.\Right.\Hikari, you can go home for now.\I'm the only one you're sending home?! response:	Am I the only bad guy?
context: Hey, stop. Stop.\Hii-kun...\You're a little too excited today, so this isn't going anywhere.\We'll talk about this further tomorrow.\Right.\Hikari, you can go home for now.\I'm the only one you're sending home?!\Am I the only bad guy? response:	Hikari!
context: Hii-kun...\You're a little too excited today, so this isn't going anywhere.\We'll talk about this further tomorrow.\Right.\Hikari, you can go home for now.\I'm the only one you're sending home?!\Am I the only bad guy?\Hikari! response:	Well, excuse me!
context: You're a little too excited today, so this isn't going anywhere.\We'll talk about this further tomorrow.\Right.\Hikari, you can go home for now.\I'm the only one you're sending home?!\Am I the only bad guy?\Hikari!\Well, excuse me! response:	Hikari...
context: We'll talk about this further tomorrow.\Right.\Hikari, you can go home for now.\I'm the only one you're sending home?!\Am I the only bad guy?\Hikari!\Well, excuse me!\Hikari... response:	I'm going home, too.
context: Right.\Hikari, you can go home for now.\I'm the only one you're sending home?!\Am I the only bad guy?\Hikari!\Well, excuse me!\Hikari...\I'm going home, too. response:	You, too?
context: Hikari, you can go home for now.\I'm the only one you're sending home?!\Am I the only bad guy?\Hikari!\Well, excuse me!\Hikari...\I'm going home, too.\You, too? response:	Aw, but you can't.
context: I'm the only one you're sending home?!\Am I the only bad guy?\Hikari!\Well, excuse me!\Hikari...\I'm going home, too.\You, too?\Aw, but you can't. response:	You still have fourth period...
context: Am I the only bad guy?\Hikari!\Well, excuse me!\Hikari...\I'm going home, too.\You, too?\Aw, but you can't.\You still have fourth period... response:	I want to go home, so I'm going home!
context: Hikari!\Well, excuse me!\Hikari...\I'm going home, too.\You, too?\Aw, but you can't.\You still have fourth period...\I want to go home, so I'm going home! response:	O-Okay?
context: Well, excuse me!\Hikari...\I'm going home, too.\You, too?\Aw, but you can't.\You still have fourth period...\I want to go home, so I'm going home!\O-Okay? response:	Manaka is really stubborn when she gets like that...
context: Hikari...\I'm going home, too.\You, too?\Aw, but you can't.\You still have fourth period...\I want to go home, so I'm going home!\O-Okay?\Manaka is really stubborn when she gets like that... response:	This isn't coming off very well.
context: I'm going home, too.\You, too?\Aw, but you can't.\You still have fourth period...\I want to go home, so I'm going home!\O-Okay?\Manaka is really stubborn when she gets like that...\This isn't coming off very well. response:	Manaka's so cute.
context: You, too?\Aw, but you can't.\You still have fourth period...\I want to go home, so I'm going home!\O-Okay?\Manaka is really stubborn when she gets like that...\This isn't coming off very well.\Manaka's so cute. response:	She's a scaredy cat, but has a strong will...
context: Aw, but you can't.\You still have fourth period...\I want to go home, so I'm going home!\O-Okay?\Manaka is really stubborn when she gets like that...\This isn't coming off very well.\Manaka's so cute.\She's a scaredy cat, but has a strong will... response:	a gorgeous body... big, round eyes...
context: You still have fourth period...\I want to go home, so I'm going home!\O-Okay?\Manaka is really stubborn when she gets like that...\This isn't coming off very well.\Manaka's so cute.\She's a scaredy cat, but has a strong will...\a gorgeous body... big, round eyes... response:	and she's always trying so hard.
context: I want to go home, so I'm going home!\O-Okay?\Manaka is really stubborn when she gets like that...\This isn't coming off very well.\Manaka's so cute.\She's a scaredy cat, but has a strong will...\a gorgeous body... big, round eyes...\and she's always trying so hard. response:	And you're big.
context: O-Okay?\Manaka is really stubborn when she gets like that...\This isn't coming off very well.\Manaka's so cute.\She's a scaredy cat, but has a strong will...\a gorgeous body... big, round eyes...\and she's always trying so hard.\And you're big. response:	You're too blunt, Kaname.
context: Manaka is really stubborn when she gets like that...\This isn't coming off very well.\Manaka's so cute.\She's a scaredy cat, but has a strong will...\a gorgeous body... big, round eyes...\and she's always trying so hard.\And you're big.\You're too blunt, Kaname. response:	There are guys who prefer bigger.
context: This isn't coming off very well.\Manaka's so cute.\She's a scaredy cat, but has a strong will...\a gorgeous body... big, round eyes...\and she's always trying so hard.\And you're big.\You're too blunt, Kaname.\There are guys who prefer bigger. response:	You think so?
context: Manaka's so cute.\She's a scaredy cat, but has a strong will...\a gorgeous body... big, round eyes...\and she's always trying so hard.\And you're big.\You're too blunt, Kaname.\There are guys who prefer bigger.\You think so? response:	Apparently middle-aged men prefer it when girls aren't so skinny.
context: She's a scaredy cat, but has a strong will...\a gorgeous body... big, round eyes...\and she's always trying so hard.\And you're big.\You're too blunt, Kaname.\There are guys who prefer bigger.\You think so?\Apparently middle-aged men prefer it when girls aren't so skinny. response:	Following with that doesn't help.
context: a gorgeous body... big, round eyes...\and she's always trying so hard.\And you're big.\You're too blunt, Kaname.\There are guys who prefer bigger.\You think so?\Apparently middle-aged men prefer it when girls aren't so skinny.\Following with that doesn't help. response:	You should just be honest and be happy.
context: and she's always trying so hard.\And you're big.\You're too blunt, Kaname.\There are guys who prefer bigger.\You think so?\Apparently middle-aged men prefer it when girls aren't so skinny.\Following with that doesn't help.\You should just be honest and be happy. response:	You're right...
context: And you're big.\You're too blunt, Kaname.\There are guys who prefer bigger.\You think so?\Apparently middle-aged men prefer it when girls aren't so skinny.\Following with that doesn't help.\You should just be honest and be happy.\You're right... response:	I really should be more honest like Manaka.
context: You're too blunt, Kaname.\There are guys who prefer bigger.\You think so?\Apparently middle-aged men prefer it when girls aren't so skinny.\Following with that doesn't help.\You should just be honest and be happy.\You're right...\I really should be more honest like Manaka. response:	Sayu has arrived?
context: There are guys who prefer bigger.\You think so?\Apparently middle-aged men prefer it when girls aren't so skinny.\Following with that doesn't help.\You should just be honest and be happy.\You're right...\I really should be more honest like Manaka.\Sayu has arrived? response:	Sayu?
context: You think so?\Apparently middle-aged men prefer it when girls aren't so skinny.\Following with that doesn't help.\You should just be honest and be happy.\You're right...\I really should be more honest like Manaka.\Sayu has arrived?\Sayu? response:	Do you know her?
context: Apparently middle-aged men prefer it when girls aren't so skinny.\Following with that doesn't help.\You should just be honest and be happy.\You're right...\I really should be more honest like Manaka.\Sayu has arrived?\Sayu?\Do you know her? response:	Yeah.
context: Following with that doesn't help.\You should just be honest and be happy.\You're right...\I really should be more honest like Manaka.\Sayu has arrived?\Sayu?\Do you know her?\Yeah. response:	She's one of the mysterious grade school kids that has a grudge against Hikari.
context: You should just be honest and be happy.\You're right...\I really should be more honest like Manaka.\Sayu has arrived?\Sayu?\Do you know her?\Yeah.\She's one of the mysterious grade school kids that has a grudge against Hikari. response:	Grade school kids...
context: You're right...\I really should be more honest like Manaka.\Sayu has arrived?\Sayu?\Do you know her?\Yeah.\She's one of the mysterious grade school kids that has a grudge against Hikari.\Grade school kids... response:	That's a rather blunt criminal declaration.
context: I really should be more honest like Manaka.\Sayu has arrived?\Sayu?\Do you know her?\Yeah.\She's one of the mysterious grade school kids that has a grudge against Hikari.\Grade school kids...\That's a rather blunt criminal declaration. response:	So it wasn't the guys from our class.
context: Sayu has arrived?\Sayu?\Do you know her?\Yeah.\She's one of the mysterious grade school kids that has a grudge against Hikari.\Grade school kids...\That's a rather blunt criminal declaration.\So it wasn't the guys from our class. response:	Chisaki?
context: Sayu?\Do you know her?\Yeah.\She's one of the mysterious grade school kids that has a grudge against Hikari.\Grade school kids...\That's a rather blunt criminal declaration.\So it wasn't the guys from our class.\Chisaki? response:	Let's keep this a secret.
context: Do you know her?\Yeah.\She's one of the mysterious grade school kids that has a grudge against Hikari.\Grade school kids...\That's a rather blunt criminal declaration.\So it wasn't the guys from our class.\Chisaki?\Let's keep this a secret. response:	Let's keep this between us, Kaname.
context: Yeah.\She's one of the mysterious grade school kids that has a grudge against Hikari.\Grade school kids...\That's a rather blunt criminal declaration.\So it wasn't the guys from our class.\Chisaki?\Let's keep this a secret.\Let's keep this between us, Kaname. response:	Huh? Why?
context: She's one of the mysterious grade school kids that has a grudge against Hikari.\Grade school kids...\That's a rather blunt criminal declaration.\So it wasn't the guys from our class.\Chisaki?\Let's keep this a secret.\Let's keep this between us, Kaname.\Huh? Why? response:	Because if everyone else finds out about this,
context: Grade school kids...\That's a rather blunt criminal declaration.\So it wasn't the guys from our class.\Chisaki?\Let's keep this a secret.\Let's keep this between us, Kaname.\Huh? Why?\Because if everyone else finds out about this, response:	Hikari will end up the bad guy.
context: That's a rather blunt criminal declaration.\So it wasn't the guys from our class.\Chisaki?\Let's keep this a secret.\Let's keep this between us, Kaname.\Huh? Why?\Because if everyone else finds out about this,\Hikari will end up the bad guy. response:	But...
context: So it wasn't the guys from our class.\Chisaki?\Let's keep this a secret.\Let's keep this between us, Kaname.\Huh? Why?\Because if everyone else finds out about this,\Hikari will end up the bad guy.\But... response:	I can't watch Hikari being hurt any further.
context: Chisaki?\Let's keep this a secret.\Let's keep this between us, Kaname.\Huh? Why?\Because if everyone else finds out about this,\Hikari will end up the bad guy.\But...\I can't watch Hikari being hurt any further. response:	Bad guy or not, it's true that it was a misunderstanding.
context: Let's keep this a secret.\Let's keep this between us, Kaname.\Huh? Why?\Because if everyone else finds out about this,\Hikari will end up the bad guy.\But...\I can't watch Hikari being hurt any further.\Bad guy or not, it's true that it was a misunderstanding. response:	It's not a good thing to lie.
context: Let's keep this between us, Kaname.\Huh? Why?\Because if everyone else finds out about this,\Hikari will end up the bad guy.\But...\I can't watch Hikari being hurt any further.\Bad guy or not, it's true that it was a misunderstanding.\It's not a good thing to lie. response:	It'll just isolate you even more.
context: Huh? Why?\Because if everyone else finds out about this,\Hikari will end up the bad guy.\But...\I can't watch Hikari being hurt any further.\Bad guy or not, it's true that it was a misunderstanding.\It's not a good thing to lie.\It'll just isolate you even more. response:	That's not true!
context: Because if everyone else finds out about this,\Hikari will end up the bad guy.\But...\I can't watch Hikari being hurt any further.\Bad guy or not, it's true that it was a misunderstanding.\It's not a good thing to lie.\It'll just isolate you even more.\That's not true! response:	They're people who were saying that our food smelled fishy!
context: Hikari will end up the bad guy.\But...\I can't watch Hikari being hurt any further.\Bad guy or not, it's true that it was a misunderstanding.\It's not a good thing to lie.\It'll just isolate you even more.\That's not true!\They're people who were saying that our food smelled fishy! response:	They're really not bad people.
context: But...\I can't watch Hikari being hurt any further.\Bad guy or not, it's true that it was a misunderstanding.\It's not a good thing to lie.\It'll just isolate you even more.\That's not true!\They're people who were saying that our food smelled fishy!\They're really not bad people. response:	The people who purposely spilled the sushi bowl?!
context: I can't watch Hikari being hurt any further.\Bad guy or not, it's true that it was a misunderstanding.\It's not a good thing to lie.\It'll just isolate you even more.\That's not true!\They're people who were saying that our food smelled fishy!\They're really not bad people.\The people who purposely spilled the sushi bowl?! response:	I thought you were a good person,
context: Bad guy or not, it's true that it was a misunderstanding.\It's not a good thing to lie.\It'll just isolate you even more.\That's not true!\They're people who were saying that our food smelled fishy!\They're really not bad people.\The people who purposely spilled the sushi bowl?!\I thought you were a good person, response:	but I guess you're a person from the surface after all.
context: It's not a good thing to lie.\It'll just isolate you even more.\That's not true!\They're people who were saying that our food smelled fishy!\They're really not bad people.\The people who purposely spilled the sushi bowl?!\I thought you were a good person,\but I guess you're a person from the surface after all. response:	Don't take it personally.
context: It'll just isolate you even more.\That's not true!\They're people who were saying that our food smelled fishy!\They're really not bad people.\The people who purposely spilled the sushi bowl?!\I thought you were a good person,\but I guess you're a person from the surface after all.\Don't take it personally. response:	Chisaki loses her head when it comes to Hikari or Manaka.
context: That's not true!\They're people who were saying that our food smelled fishy!\They're really not bad people.\The people who purposely spilled the sushi bowl?!\I thought you were a good person,\but I guess you're a person from the surface after all.\Don't take it personally.\Chisaki loses her head when it comes to Hikari or Manaka. response:	I know.
context: They're people who were saying that our food smelled fishy!\They're really not bad people.\The people who purposely spilled the sushi bowl?!\I thought you were a good person,\but I guess you're a person from the surface after all.\Don't take it personally.\Chisaki loses her head when it comes to Hikari or Manaka.\I know. response:	I love the ocean, and the people of Shishio.
